标题,开发商,房子信息,发布信息,售价/万,单价
电力湖心路双阳台户型-一期实用高户型-业主保养好,家和城一期 -白藤头,3室2厅 | 113.31平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 10天以前发布,180,"15,886元/平"
小区安静舒适，生活方便，业主诚心出售,绿茵豪庭 -吉大,3室2厅 | 105.51平米 | 南 | 其他 | 中楼层(共13层)  | 板楼,11人关注 / 3个月以前发布,285,"27,012元/平"
南北双阳台，实用五房，三个连号车位可售，*,云顶澜山 -上冲,5室1厅 | 186平米 | 南 | 毛坯 | 中楼层(共31层)  | 塔楼,2人关注 / 一年前发布,409,"21,990元/平"
湖心新城 成熟西江月电梯两房 精装南向,西江月 -白藤头,2室1厅 | 86.4平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,13人关注 / 11个月以前发布,97,"11,227元/平"
此房看小区园林，配套设施齐，出租中，即买即收租,金领公寓 -三灶镇,1室1厅 | 31.87平米 | 南 | 精装 | 中楼层(共12层)  | 板塔结合,1人关注 / 18天以前发布,25,"7,845元/平"
户型方正，中间楼层，单价便宜，,星晴公寓 -吉大,1室1厅 | 34.3平米 | 东 | 简装 | 中楼层(共12层)  | 平房,0人关注 / 10天以前发布,55,"16,035元/平"
格局方正 配套齐  商圈成熟交通便利 采光通风好,银厦广场 -新香洲,3室2厅 | 114平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 15天以前发布,205,"17,983元/平"
业主急卖 电梯刷卡入户   南屏双城汇1房,锦绣四季花园三期·双城汇 -南屏,1室0厅 | 35.31平米 | 北 | 精装 | 低楼层(共27层)  | 塔楼,20人关注 / 7个月以前发布,56,"15,860元/平"
近环宇城大型购物 首付10万 无欠款 纯住宅70年产权,中联国际 -兰埔,1室0厅 | 32.82平米 | 西北 | 简装 | 高楼层(共28层)  | 板塔结合,0人关注 / 3个月以前发布,62,"18,891元/平"
近文园 精装朝南两房  户型方正采光好，低价,瀚高花园 -新香洲,2室1厅 | 65平米 | 南 | 精装 | 高楼层(共7层)  | 塔楼,0人关注 / 3个月以前发布,190,"29,231元/平"
凤凰兰亭 兴业快线出入口，品质小区 精致2房， 急售,凤凰兰亭 -唐家湾镇,2室2厅 | 74.86平米 | 南 北 | 精装 | 21层  | 板塔结合,7人关注 / 6个月以前发布,216,"28,854元/平"
仁恒星园三期 不看山塔  南向小三房中间楼层 看房方便,仁恒星园 -新香洲,3室2厅 | 94.79平米 | 东南 | 精装 | 低楼层(共28层)  | 板楼,19人关注 / 7个月以前发布,368,"38,823元/平"
此房户型方正，采光充足，通风好，交通出行方便,公园道 -南湾,2室2厅 | 84平米 | 东南 | 精装 | 31层  | 塔楼,0人关注 / 1个月以前发布,231,"27,500元/平"
前山新城小区中间电梯高层精装修二房二厅西南向,前山新城 -前山,2室1厅 | 60.92平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,2人关注 / 2个月以前发布,140,"22,981元/平"
满五 中高楼层 视野开阔 采光好,华发城建未来荟 -上冲,1室1厅 | 47.3平米 | 东南 | 精装 | 中楼层(共38层)  | 板塔结合,14人关注 / 4个月以前发布,115,"24,313元/平"
香宁花园北区少有南向两房 业主诚意出售,香柠花园北区 -柠溪,2室2厅 | 72.46平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,13人关注 / 7个月以前发布,96,"13,249元/平"
奥园广场 精装复式 格局方正业主诚心出售 看房方便,奥园商业广场 -上冲,1室1厅 | 38.41平米 | 东南 北 | 精装 | 中楼层(共22层)  | 塔楼,134人关注 / 一年前发布,70,"18,225元/平"
富华里商圈南油花园标准一房一厅小户型,南油花园 -拱北,1室1厅 | 42.8平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,78.5,"18,342元/平"
金图大厦 高层两房 格局方正  中等装修 采光通风好,金图大厦 -兰埔,3室2厅 | 82.31平米 | 东 | 精装 | 中楼层(共28层)  | 板楼,4人关注 / 7个月以前发布,130,"15,794元/平"
拱北富华里银石雅园中层大2房看房方便价格美丽,银石雅园 -拱北,2室2厅 | 68.54平米 | 南 北 | 精装 | 高楼层(共12层)  | 板塔结合,0人关注 / 1个月以前发布,165,"24,074元/平"
中信红树湾二期 65平精装1房1厅 220万,中信红树湾二期 -南湾,1室1厅 | 65.16平米 | 西 | 精装 | 31层  | 塔楼,1人关注 / 2个月以前发布,198,"30,387元/平"
忠信桃源居2-2-1-1 89.50m²,忠信桃源居 -白蕉镇,2室2厅 | 89.5平米 | 东南 | 精装 | 中楼层(共19层)  | 板塔结合,1人关注 / 4个月以前发布,75,"8,380元/平"
幸福里电梯二房，56平可三房 使用率高，各付各税。,幸福里 -翠微,2室2厅 | 55.65平米 | 南 西 | 精装 | 中楼层(共22层)  | 板楼,6人关注 / 5个月以前发布,127.5,"22,912元/平"
佳兆业御金山 黄杨山脚下 青山绿水 天然氧吧,佳兆业御金山 -斗门镇,1室1厅 | 52.19平米 | 西北 | 毛坯 | 中楼层(共9层)  | 板塔结合,0人关注 / 4个月以前发布,49.5,"9,485元/平"
业主长心出售，房子格局方方正正，采光通风也很好,正邦岭秀城公寓楼 -拱北,1室0厅 | 34.01平米 | 东北 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 4个月以前发布,76,"22,347元/平"
此房带大平台，东南朝向，正规两房，外带一个杂物房,兰埔花园 -兰埔,2室2厅 | 66.67平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,6人关注 / 1个月以前发布,128,"19,200元/平"
春泽名园小区中间电梯高层南向一房一厅，很少放盘出来,春泽名园 -夏湾,1室1厅 | 39.51平米 | 东南 | 精装 | 高楼层(共9层)  | 板塔结合,0人关注 / 4个月以前发布,80,"20,249元/平"
精装，实用二房，采光通风好，户型方正,浩益花园 -前山,2室1厅 | 41.67平米 | 西南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,94,"22,559元/平"
华发世纪城三期朝东复式精装修出售,华发世纪城三期 -南湾,1室1厅 | 56.05平米 | 东 | 精装 | 20层  | 板塔结合,0人关注 / 3个月以前发布,157,"28,011元/平"
翠云花园，楼梯高层，通风采光好，小区安静。,翠云花园 -前山,3室1厅 | 76.92平米 | 西北 | 简装 | 高楼层(共7层)  | 板楼,11人关注 / 9个月以前发布,90,"11,701元/平"
大三房，东南朝向，精装修， 未住过,世荣碧水岸 -井岸镇,3室2厅 | 124平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,9人关注 / 一年前发布,140,"11,291元/平"
已经出证 业主诚心出售 各付 市区次新明星小区,万科城 -上冲,3室2厅 | 121平米 | 东南 | 精装 | 高楼层(共34层)  | 塔楼,1人关注 / 2个月以前发布,235,"19,422元/平"
靠华发商都  六期小三房  保养好税少 售242万,华发新城六期 -南湾,3室2厅 | 89.13平米 | 北 | 精装 | 32层  | 板塔结合,10人关注 / 3个月以前发布,242,"27,152元/平"
航空新城 金地三房 精装修 急售,金地格林春晓二三期 -航空新城,3室2厅 | 80.99平米 | 东南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,100,"12,348元/平"
航空新城 近华发商都 精装凤凰楼层 视野风景好,保利时代 -航空新城,3室2厅 | 100平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,4人关注 / 11个月以前发布,190,"19,000元/平"
带装修三房两厅，户型实用，采光通风佳,东第花园二期 -白蕉镇,3室2厅 | 89.03平米 | 西南 | 简装 | 高楼层(共18层)  | 板塔结合,2人关注 / 1个月以前发布,82,"9,211元/平"
西海岸两房，价格便宜，看房可提前约。,西海岸花园 -平沙镇,2室1厅 | 83.51平米 | 南 | 简装 | 低楼层(共23层)  | 暂无数据,21人关注 / 一年前发布,65.3,"7,820元/平"
后环华发蔚蓝堡，85平精装三房，精装未住，看房有钥匙,华发蔚蓝堡三期 -唐家湾镇,3室2厅 | 84.98平米 | 北 | 精装 | 高楼层(共28层)  | 板塔结合,3人关注 / 1个月以前发布,225,"26,477元/平"
此房格局方正，客厅带阳台，小区配套成熟。,新世界康桥 -三灶镇,2室1厅 | 85平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,111,"13,059元/平"
航空新城 温馨的家 格局方正，生活有序更舒适,保利香槟国际花园 -航空新城,2室2厅 | 83.7平米 | 南 西南 | 精装 | 低楼层(共33层)  | 塔楼,51人关注 / 9个月以前发布,140,"16,727元/平"
翠湖香山 近北师大 朝南三房两厅 精装修 景观好,翠湖香山玉兰苑 -唐家湾镇,3室2厅 | 113.98平米 | 南 | 精装 | 36层  | 板塔结合,14人关注 / 8个月以前发布,320,"28,076元/平"
金湾中珠物业 精装刚需南向两房 满五电梯低层,中珠上品 -三灶镇,2室1厅 | 63平米 | 东南 | 精装 | 低楼层(共18层)  | 板楼,7人关注 / 6个月以前发布,75,"11,905元/平"
看河景，看园林，又看泳池，房子保养好,招商依云水岸 -白蕉镇,3室2厅 | 87平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,97,"11,150元/平"
华发又一城毛坯小三房，高层，无遮挡,华发又一城二期 -井岸镇,3室2厅 | 88平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,19人关注 / 7个月以前发布,108,"12,273元/平"
天庆金海岸，三房两厅两卫一厨，东南向,天庆晋海岸 -三灶镇,3室2厅 | 91.5平米 | 东南 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 一年前发布,123,"13,443元/平"
天庆晋海岸。电梯15楼。精装3房末入住过,天庆晋海岸 -三灶镇,3室2厅 | 87.01平米 | 东南 | 精装 | 中楼层(共30层)  | 板楼,3人关注 / 一年前发布,126,"14,482元/平"
金湾《蔚蓝美域》南向三房 高楼层  景观视野好,蔚蓝美域 -三灶镇,3室1厅 | 94平米 | 南 | 精装 | 高楼层(共23层)  | 板塔结合,1人关注 / 7个月以前发布,122,"12,979元/平"
华发又一城二期 3室2厅 东南,华发又一城二期 -井岸镇,3室2厅 | 99平米 | 东南 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 3个月以前发布,120,"12,122元/平"
文园十九小 南向 中层三房 价格实惠 看房方便,新加坡花园二三期 -新香洲,3室2厅 | 96.78平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,10人关注 / 一年前发布,258,"26,659元/平"
电梯高层精装二房，温馨舒适，采光良好,中珠新村幸福时光 -夏湾,2室1厅 | 70.72平米 | 北 | 简装 | 高楼层(共11层)  | 塔楼,1人关注 / 1个月以前发布,156,"22,059元/平"
白蕉新城 万科品质小区  业主重新装修定制家具 中层,万科魅力之城一期 -白蕉镇,4室2厅 | 94.5平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,8人关注 / 8个月以前发布,114,"12,064元/平"
两房价格买精装三房，城轨上物业，近湾仔口岸,水岸华都 -湾仔,3室2厅 | 90.53平米 | 西北 | 精装 | 中楼层(共30层)  | 塔楼,2人关注 / 4个月以前发布,235,"25,959元/平"
厅出阳台新香洲体育场 2012年次新房 南向精装,御景国际 -新香洲,3室2厅 | 89.25平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 1个月以前发布,320,"35,855元/平"
业主诚心出售 空置电梯中层东南向看小区 满五次新房,万科城市花园 -三灶镇,3室2厅 | 87平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 1个月以前发布,130,"14,943元/平"
白蕉新城，金地品质小区 实用三房刚需必备 未住过,金地格林泊乐一期 -白蕉镇,3室2厅 | 81.47平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 3个月以前发布,94,"11,538元/平"
近横琴口岸，84平精装修南1 向3房。物业管理规范,荔枝湾花园（南区） -横琴,3室2厅 | 84.3平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,2人关注 / 2个月以前发布,380,"45,078元/平"
华发蔚蓝堡精装三房  通透户型 视野好,华发蔚蓝堡 -唐家湾镇,3室2厅 | 118平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,11人关注 / 一年前发布,288,"24,407元/平"
房子低楼层楼梯房，生活配套成熟，交通便利,安宇花园 -南水镇,3室2厅 | 91.68平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,20人关注 / 一年前发布,65,"7,090元/平"
航空城 品质小区 中海左岸 精装三房 东边位,中海左岸岚庭 -航空新城,3室2厅 | 89.4平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,1人关注 / 2个月以前发布,208,"23,267元/平"
碧水岸精装三房出售，看小区园林，视野开阔,世荣碧水岸 -井岸镇,3室2厅 | 96.41平米 | 北 | 精装 | 低楼层(共18层)  | 板塔结合,38人关注 / 一年前发布,98,"10,165元/平"
海湾东苑，电梯中层，一两户，南向，价格实惠,海湾东苑 -吉大,3室2厅 | 98.22平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 1个月以前发布,232,"23,621元/平"
珠海暨南大学正立面，小区前排户型，视野好，户型方正,财富世家一期 -前山,3室2厅 | 94平米 | 北 | 简装 | 中楼层(共17层)  | 板塔结合,4人关注 / 4个月以前发布,200,"21,277元/平"
步行过关、摩尔广场《岭秀城》精装一房首付25万！！,正邦岭秀城公寓楼 -拱北,1室1厅 | 49.58平米 | 西 | 精装 | 高楼层(共28层)  | 板楼,3人关注 / 一年前发布,125,"25,212元/平"
第八学府 锦绣柠溪 直接入住 精致二房,锦绣柠溪 -柠溪,2室2厅 | 81.44平米 | 北 | 精装 | 高楼层(共7层)  | 板楼,27人关注 / 7个月以前发布,165,"20,261元/平"
房子格局方正，高楼层，东南向，七米大阳台，诚心出售,华发峰景湾 -湾仔,3室2厅 | 116.73平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,350,"29,984元/平"
珠海暨南大学正立面，小区前排户型，视野好，户型方正,财富世家一期 -前山,3室2厅 | 94平米 | 北 | 简装 | 中楼层(共17层)  | 板塔结合,4人关注 / 4个月以前发布,200,"21,277元/平"
海湾东苑，电梯中层，一两户，南向，价格实惠,海湾东苑 -吉大,3室2厅 | 98.22平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 1个月以前发布,232,"23,621元/平"
户型方正，朝向好，业主诚心卖。,御景国际 -新香洲,3室2厅 | 87.87平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,23人关注 / 5个月以前发布,315,"35,849元/平"
中间楼层  采光充足  边位  大两房  交通便利,华发城建未来荟 -上冲,2室1厅 | 65平米 | 东北 | 精装 | 中楼层(共27层)  | 塔楼,0人关注 / 一年前发布,145,"22,308元/平"
碧水岸精装三房出售，看小区园林，视野开阔,世荣碧水岸 -井岸镇,3室2厅 | 96.41平米 | 北 | 精装 | 低楼层(共18层)  | 板塔结合,38人关注 / 一年前发布,98,"10,165元/平"
吉大中芯位置，交通便利，房子格局方正，明厨明卫。,新天地大厦 -吉大,1室1厅 | 25.42平米 | 西 | 简装 | 高楼层(共19层)  | 板塔结合,0人关注 / 20天以前发布,47,"18,490元/平"
楼层好 视野开阔。采光充足，房子格局好,怡海大厦 -吉大,3室2厅 | 95平米 | 西南 | 简装 | 低楼层(共25层)  | 板楼,28人关注 / 一年前发布,180,"18,948元/平"
航空新城 次新小区 标准大房 新房未住,怡景豪庭 -航空新城,2室2厅 | 79.23平米 | 南 | 精装 | 低楼层(共29层)  | 板塔结合,15人关注 / 8个月以前发布,149,"18,807元/平"
楼层高，格局方正，通风采光好。大阳台视野开阔,前山新城 -前山,2室2厅 | 73.81平米 | 东北 | 精装 | 高楼层(共31层)  | 板楼,45人关注 / 一年前发布,176,"23,846元/平"
珠海航空城北 上郡花园电梯高层南向精装两房住家方便,中珠上郡 -红旗镇,2室2厅 | 66.04平米 | 东南 | 精装 | 高楼层(共17层)  | 板楼,6人关注 / 8个月以前发布,90,"13,629元/平"
小区里面安静舒适，坐落园林包围，阳台南面阳光入户。,西江月 -白藤头,2室2厅 | 67平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 11个月以前发布,75,"11,195元/平"
中海左岸岚庭 高楼层 精装修 南北通4房,中海左岸岚庭 -航空新城,4室2厅 | 123平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,1人关注 / 8个月以前发布,301,"24,472元/平"
岭秀城，三房二厅  精装修，小区中间,正邦岭秀城 -拱北,3室2厅 | 136.4平米 | 北 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 一年前发布,335,"24,561元/平"
吉大精装三房，高层东南向看海，通风采光好，看房方便,海湾花园 -吉大,3室2厅 | 138.89平米 | 东南 | 精装 | 中楼层(共25层)  | 板塔结合,2人关注 / 1个月以前发布,295,"21,240元/平"
湖心路品质小区洋房，使用率高，东面边位，居住舒适,家和城一期 -白藤头,4室2厅 | 168平米 | 南 | 毛坯 | 中楼层(共5层)  | 板塔结合,11人关注 / 一年前发布,230,"13,691元/平"
航空城 中航品质小区 大三房 高层看海 价格划算,中航花园 -航空新城,3室2厅 | 116.59平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 3个月以前发布,245,"21,014元/平"
华发新城三，136平3三房，南北通透,华发新城三期 -南湾,3室2厅 | 136平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,400,"29,412元/平"
拱北近关口 御花园精装3房 朝东南 采光,御花园 -拱北,3室2厅 | 96.23平米 | 南 | 简装 | 高楼层(共21层)  | 板楼,14人关注 / 一年前发布,220,"22,862元/平"
