标题,开发商,房子信息,发布信息,售价/万,单价
观江府4-2-1-2 118.00m² 房东急售 江景房,观江府 -大兴,4室2厅 | 118平米 | 东南 | 毛坯 | 高楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,88,"7,458元/平"
此房小区环境好商圈成熟，房东全款购买，过户方便,龙溪源 -大兴,3室2厅 | 101.68平米 | 东南 | 毛坯 | 中楼层(共14层)  | 暂无数据,1人关注 / 5个月以前发布,56,"5,508元/平"
领地天屿-套四双卫-户型  产证满二税费低 两梯两户,领地天屿 -姚桥,4室2厅 | 138平米 | 南 | 毛坯 | 中楼层(共25层)  | 板楼,4人关注 / 一年前发布,128,"9,276元/平"
房东急卖正黄一期全江景 套三  带车位出售  诚心议价,正黄金域首府一期 -姚桥,3室2厅 | 109.7平米 | 东南 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,2人关注 / 一年前发布,92.3,"8,414元/平"
房东急卖正黄一期全江景 套三  带车位出售  诚心议价,正黄金域首府一期 -姚桥,3室2厅 | 109.7平米 | 东南 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,2人关注 / 一年前发布,92.3,"8,414元/平"
领地天屿-套四双卫-户型  产证满二税费低 两梯两户,领地天屿 -姚桥,4室2厅 | 138平米 | 南 | 毛坯 | 中楼层(共25层)  | 板楼,4人关注 / 一年前发布,128,"9,276元/平"
领地一期精装套三双卫 当清水处理,领地.凯旋帝景1期B1 -姚桥,3室2厅 | 94.27平米 | 西北 | 精装 | 低楼层(共6层)  | 板楼,4人关注 / 9个月以前发布,74,"7,850元/平"
大兴国际新城高品质小区套3双卫自带100平方大平台,龙溪源 -大兴,3室2厅 | 108平米 | 东南 | 毛坯 | 低楼层(共15层)  | 暂无数据,4人关注 / 6个月以前发布,48,"4,445元/平"
和平小区c区，精装修，房东置换出售,和平小区C区 -姚桥,3室2厅 | 95.5平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,58,"6,074元/平"
观江府 3室2厅 南,观江府 -大兴,3室2厅 | 96.32平米 | 南 | 毛坯 | 高楼层(共8层)  | 暂无数据,2人关注 / 7个月以前发布,68,"7,060元/平"
一梯两户前后通透 户型方正随时看房,领地蘭台府云璟 -大兴,4室2厅 | 118平米 | 东南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 5个月以前发布,85,"7,204元/平"
蘭台府3期 3室2厅 西北,蘭台府3期 -大兴,3室2厅 | 98平米 | 西北 | 毛坯 | 低楼层(共17层)  | 塔楼,0人关注 / 4个月以前发布,72,"7,347元/平"
3室2厅2卫，户型格局方正规整，方便实用，明厨明卫,正黄金色雅郡 -姚桥,3室2厅 | 106平米 | 南 | 毛坯 | 高楼层(共23层)  | 塔楼,2人关注 / 一年前发布,60,"5,661元/平"
观江府江  景房 南北通透小高层  电梯入户 带车位,观江府 -大兴,3室2厅 | 101平米 | 东南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,76.8,"7,604元/平"
"格局方正,双南设计,全明通透,气派彰显无疑",拓海第一江岸1期 -姚桥,3室2厅 | 100平米 | 东南 | 毛坯 | 低楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,76,"7,600元/平"
领地天屿 两梯两户 满二  带车位随时看房,领地天屿 -姚桥,4室2厅 | 138平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,0人关注 / 9个月以前发布,130,"9,421元/平"
万达附 近 经典套三 凤 凰 楼 层,先锋小区 -姚桥,3室2厅 | 95.6平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,2人关注 / 7个月以前发布,42,"4,394元/平"
观江府 清水套三双卫 诚心出售 看房方便,观江府 -大兴,3室2厅 | 106平米 | 东南 | 毛坯 | 低楼层(共16层)  | 暂无数据,1人关注 / 2个月以前发布,75,"7,076元/平"
四季名城二期122平套三双卫带地下车位，诚心出售,四季名城 -名山区,3室2厅 | 122平米 | 东南 | 精装 | 中楼层(共23层)  | 塔楼,0人关注 / 1个月以前发布,82,"6,722元/平"
花香里，带子母车位，实得面积大，看房方便,众成花香里 -名山区,4室2厅 | 130平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 6个月以前发布,88,"6,770元/平"
四季名城，套三双卫，一梯2户，采光好,四季名城 -名山区,3室2厅 | 121.45平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,2人关注 / 9个月以前发布,66,"5,435元/平"
名城御景 套三清水 楼层好 户型方正 采光好,名城御景 -名山区,3室2厅 | 130平米 | 南 | 毛坯 | 高楼层(共18层)  | 塔楼,1人关注 / 7个月以前发布,66,"5,077元/平"
名邸小区 3室2厅 装修9成新 楼层巴适,名邸 -名山区,3室2厅 | 120平米 | 东南 | 精装 | 高楼层(共17层)  | 暂无数据,0人关注 / 4个月以前发布,68.8,"5,734元/平"
大兴现房 桥头堡精装套三 平台花园房,西网江湾城 -大兴,3室2厅 | 115平米 | 西北 | 精装 | 低楼层(共6层)  | 暂无数据,3人关注 / 5个月以前发布,163,"14,174元/平"
房子是配套成熟 错过拍大腿 免费停车,先锋小区 -姚桥,2室2厅 | 56.11平米 | 南 | 简装 | 中楼层(共6层)  | 塔楼,0人关注 / 12天以前发布,35,"6,238元/平"
如意街174号 3室2厅 南,如意街174号 -康藏路区域,3室2厅 | 96.4平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 5天以前发布,35,"3,631元/平"
价格美丽 可议  装修温馨  预约看房,富邦名城B区 -姚桥,3室1厅 | 94平米 | 东南 | 简装 | 高楼层(共22层)  | 板楼,0人关注 / 8天以前发布,54.8,"5,830元/平"
韩城一期，房东急售，先到先得，,翰城1981一期 -姚桥,3室1厅 | 89平米 | 南 北 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 1天以前发布,79,"8,877元/平"
金科天宸雅郡，套3双卫，清水，楼层好,金科天宸雅郡 -大兴,3室2厅 | 97平米 | 东南 | 毛坯 | 中楼层(共21层)  | 板塔结合,0人关注 / 1天以前发布,66,"6,805元/平"
房东紧急出售沙湾川航小区住房，装修较新 可拎包入住,沙湾川航小区 -姚桥,3室1厅 | 98.5平米 | 东南 东 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 1天以前发布,60,"6,092元/平"
正黄一期 中间楼层 中庭户型 带车位出售,正黄金域首府一期 -姚桥,2室2厅 | 86平米 | 东南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 2天以前发布,78.5,"9,128元/平"
套四双卫带储藏室，衣帽间，前后都是花园,金科天宸雅苑 -大兴,4室2厅 | 137平米 | 东南 | 毛坯 | 低楼层(共10层)  | 暂无数据,0人关注 / 1个月以前发布,150,"10,949元/平"
金科天宸雅郡 4室2厅 东南,金科天宸雅郡 -大兴,4室2厅 | 135平米 | 东南 | 毛坯 | 低楼层(共10层)  | 暂无数据,0人关注 / 1个月以前发布,126,"9,334元/平"
蒙山国际精装大套三，带车位拎包入住,七彩雅安 -名山区,3室2厅 | 113平米 | 南 | 精装 | 中楼层(共15层)  | 塔楼,0人关注 / 1个月以前发布,72,"6,372元/平"
老城区电梯大套三，中间楼层，户型方正通透,名城御景 -名山区,3室2厅 | 130平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,75,"5,770元/平"
"户型方正 业主诚意卖房,看房方便",青衣雅苑 -姚桥,2室2厅 | 97平米 | 东南 | 精装 | 高楼层(共27层)  | 塔楼,0人关注 / 1个月以前发布,66,"6,805元/平"
老城区的电梯房，户型方正，布局合理.,太雅坊 -康藏路区域,3室1厅 | 101.5平米 | 东南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 30天以前发布,65,"6,404元/平"
奥斯卡装修小洋房 当清水房底价出售,滨江奥斯卡 -草坝,3室2厅 | 126.24平米 | 东南 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 29天以前发布,38,"3,011元/平"
正黄套三双卫， 户型方正 装修大。气 看房方便,正黄金域首府一期 -姚桥,3室2厅 | 113平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 27天以前发布,93.8,"8,301元/平"
四季名城套三双卫，带地下车位一个,四季名城 -名山区,3室2厅 | 122平米 | 南 | 精装 | 中楼层(共24层)  | 塔楼,0人关注 / 26天以前发布,85,"6,968元/平"
电梯 平台 跃2层 5个房间 3个卫生间 还可以看江,水岸书香 -三雅园,5室2厅 | 226平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,1人关注 / 24天以前发布,123,"5,443元/平"
正江景房   视野开阔   房东急售,十里原湾 -上坝区域,5室2厅 | 193平米 | 东南 | 毛坯 | 低楼层(共25层)  | 塔楼,0人关注 / 1个月以前发布,179.8,"9,317元/平"
茶都大道123号 3室2厅 东,茶都大道123号 -名山区,3室2厅 | 101平米 | 东 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 24天以前发布,39,"3,862元/平"
雅雨家园半装修套三，可过户，诚心出售。,雅雨家园 -三雅园,3室2厅 | 105平米 | 东北 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 20天以前发布,56.8,"5,410元/平"
品质小区，一梯两户，总高7层洋房，前后通透。,凯悦天地 -大兴,4室2厅 | 135平米 | 东南 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 22天以前发布,110,"8,149元/平"
凯悦天地带40平左右花园.套四双卫,凯悦天地 -大兴,4室2厅 | 135平米 | 东南 | 毛坯 | 低楼层(共7层)  | 板塔结合,0人关注 / 19天以前发布,130,"9,630元/平"
此房是毛坯房，可随意装修看房方便房东诚心出售,龙溪源 -大兴,3室1厅 | 112平米 | 东南 | 毛坯 | 高楼层(共14层)  | 板塔结合,0人关注 / 22天以前发布,64,"5,715元/平"
此房满5年，出行方便，精装，套四双卫，,交警队家属区 -康藏路区域,4室2厅 | 204平米 | 东南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 20天以前发布,91.8,"4,500元/平"
金域华府套三双卫，视野开阔，采光巴适,正黄金域华府 -大兴,3室1厅 | 95平米 | 东南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 28天以前发布,69,"7,264元/平"
雅中旁 精装修 套三双卫 带平台 拎包入住,花间集 -大兴,3室2厅 | 111平米 | 西北 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 24天以前发布,88,"7,928元/平"
蒙山花园 大套三  交通便利 小区环境干净舒适,蒙山花园 -名山区,3室2厅 | 130平米 | 东 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,56.8,"4,370元/平"
此房不满两年，出行方便，户型方正，居住方便舒适,水岸康居 -名山区,3室2厅 | 122.95平米 | 南 | 毛坯 | 高楼层(共15层)  | 板塔结合,0人关注 / 24天以前发布,59,"4,799元/平"
西网江湾城 3室2厅 交通便利 小区环境干净舒适,西网江湾城 -大兴,3室2厅 | 116.5平米 | 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 19天以前发布,88,"7,554元/平"
蒙山花园 大套三 带车库出售 交通便利,蒙山花园 -名山区,3室2厅 | 118平米 | 东 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 31天以前发布,56,"4,746元/平"
此房满二地段好。小区安静，室内干净宽敞，带车库,民生苑 -名山区,3室2厅 | 154.2平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 26天以前发布,52,"3,373元/平"
此房满二，位置好城中，心，大板桥旁边，,滨河路85号 -名山区,3室2厅 | 127.4平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 25天以前发布,48,"3,768元/平"
品质小区 中间楼层，视野很好，户型方正，采光充足,翡翠云庭 -姚桥,3室2厅 | 107平米 | 东南 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 19天以前发布,83,"7,758元/平"
此房满五年出行方便，户型方正居住方便,拓海第一江岸1期 -姚桥,3室1厅 | 104平米 | 东 东南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 21天以前发布,85,"8,174元/平"
老城区的电梯房，户型方正，布局合理.,太雅坊 -康藏路区域,4室2厅 | 112平米 | 南 | 其他 | 低楼层(共26层)  | 暂无数据,1人关注 / 29天以前发布,78,"6,965元/平"
四季名城，小区环境好适合老人和小孩一家人一起居住。,四季名城 -名山区,3室2厅 | 122平米 | 北 | 简装 | 低楼层(共11层)  | 板楼,0人关注 / 19天以前发布,78,"6,394元/平"
文曲新座 3室2厅 小区环境干净舒适 适合居住,城投文曲新座 -城后区域,3室2厅 | 97平米 | 南 | 精装 | 中楼层(共19层)  | 塔楼,0人关注 / 19天以前发布,70,"7,217元/平"
金科天宸雅郡3室2厅2卫小区环境干净舒适、适合居住,金科天宸雅郡 -大兴,3室2厅 | 96平米 | 南 | 毛坯 | 高楼层(共21层)  | 板塔结合,0人关注 / 19天以前发布,61,"6,355元/平"
籣台府精装套三双卫 带60平的平台还有车位打包出售,领地蘭台府云璟 -大兴,3室2厅 | 99.11平米 | 南 | 精装 | 低楼层(共17层)  | 暂无数据,0人关注 / 19天以前发布,110,"11,099元/平"
凯悦精装套四双卫，装修花了老多钱了,凯悦天地 -大兴,4室2厅 | 125平米 | 南 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 24天以前发布,128,"10,240元/平"
金科天宸雅郡.精装修.套3单卫.楼层好,金科天宸雅郡 -大兴,3室2厅 | 87平米 | 东南 | 精装 | 低楼层(共21层)  | 板塔结合,0人关注 / 19天以前发布,68.8,"7,909元/平"
教师新村 精装套三 可拎包入住 楼层巴适 房东诚心出售,教师新村 -名山区,3室2厅 | 108平米 | 东 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 26天以前发布,43.8,"4,056元/平"
此房面积大，适合一大家人居住，清水房可随意装修,正黄金域华府 -大兴,4室1厅 | 115平米 | 南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 27天以前发布,73.6,"6,400元/平"
花间集江景房，标准套二，环境好，视野好,花间集 -大兴,2室2厅 | 80平米 | 南 | 毛坯 | 高楼层(共16层)  | 暂无数据,0人关注 / 3个月以前发布,54.8,"6,850元/平"
房东急售 此房觉得太大 想换一个小户型的,灯塔雅舍 -康藏路区域,2室1厅 | 87.25平米 | 东 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 4个月以前发布,41,"4,700元/平"
万达装修套二  配套齐全 拎包入住,先锋小区 -姚桥,2室1厅 | 77平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,45,"5,845元/平"
新城区房，花园小区，依山环水，交通便利,水岸康居 -名山区,2室2厅 | 78平米 | 南 | 毛坯 | 中楼层(共15层)  | 板塔结合,0人关注 / 18天以前发布,37,"4,744元/平"
蒙山国际 2室2厅 交通便利 小区环境干净舒适 适合居住,七彩雅安 -名山区,2室2厅 | 76平米 | 东南 | 精装 | 高楼层(共15层)  | 塔楼,1人关注 / 6个月以前发布,45,"5,922元/平"
此房通风，采光都好，楼层好，视野好，配套设施齐全,通工小区 -姚桥,2室1厅 | 74.89平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,40.8,"5,448元/平"
彩虹名居 精装套二 家电家具齐全 房东诚心出售,彩虹名居 -名山区,2室2厅 | 84.77平米 | 东南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 11个月以前发布,43,"5,073元/平"
先锋小区 房东诚心 万达天梯旁满五唯一 两室精装,先锋小区 -姚桥,2室2厅 | 56.24平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,2人关注 / 5个月以前发布,33.8,"6,010元/平"
花香里 99平跃层 房东诚心出售,众成花香里 -名山区,4室2厅 | 99平米 | 东 | 毛坯 | 中楼层(共15层)  | 板塔结合,0人关注 / 30天以前发布,55.8,"5,637元/平"
先锋小区， 二室一厅一厨一卫，拎包入住，户型采光好,先锋小区 -姚桥,2室1厅 | 57平米 | 东南 | 简装 | 高楼层(共6层)  | 塔楼,0人关注 / 1个月以前发布,32,"5,615元/平"
房东急卖   户型方正 诚心卖，可以先看房,城投文曲新座 -城后区域,3室1厅 | 96.62平米 | 东南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,62,"6,417元/平"
南四路套二诚心出售，拎包入住。,南四路49号 -康藏路区域,2室1厅 | 81.9平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 21天以前发布,36.8,"4,494元/平"
"金科天宸雅郡.套3单卫.满2,.看房有钥匙",金科天宸雅郡 -大兴,3室2厅 | 88平米 | 东南 | 毛坯 | 中楼层(共21层)  | 板塔结合,0人关注 / 19天以前发布,53,"6,023元/平"
此房满两年 精装套2 拎包入住 房东诚心出售,灯塔魅力印象 -河北区域,2室1厅 | 86.16平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 31天以前发布,59.8,"6,941元/平"
山水豪庭跃层清水房！四室两厅双卫！,山水豪庭 -三雅园,4室2厅 | 152平米 | 东 | 其他 | 高楼层(共28层)  | 塔楼,2人关注 / 一年前发布,100,"6,579元/平"
金科二期的B区 产权面积107平 清水套三双卫,金科天宸雅郡 -大兴,3室2厅 | 105.25平米 | 南 西南 | 毛坯 | 中楼层(共18层)  | 塔楼,2人关注 / 一年前发布,73,"6,936元/平"
基本不需要任何改动，可直接入住，适合不想装修的朋友,科盛金色家园 -三雅园,3室2厅 | 148平米 | 南 | 简装 | 中楼层(共19层)  | 塔楼,6人关注 / 一年前发布,98,"6,622元/平"
川航小区，楼层好，布局好，简单装修。,沙湾川航小区 -姚桥,3室2厅 | 119平米 | 南 | 简装 | 中楼层(共7层)  | 平房,2人关注 / 一年前发布,52,"4,370元/平"
卫校宿舍套二  满二  可拎包入住,卫校宿舍 -东城区域,2室1厅 | 67.5平米 | 东 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,33,"4,889元/平"
蜀西名苑二期套三房屋出售，房东诚心出售,蜀西名苑二期 -河北区域,3室1厅 | 119.17平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,74.6,"6,260元/平"
文教新城滨江奥斯卡大户型清水跃层房东急售,滨江奥斯卡 -草坝,5室2厅 | 158.9平米 | 东南 | 其他 | 高楼层(共6层)  | 平房,2人关注 / 一年前发布,55,"3,462元/平"
