标题,开发商,房子信息,发布信息,售价/万,单价
御龙湾，东上首户型，好楼层，诚心出售。,金鹰御珑湾 -东台市,3室2厅 | 132平米 | 南 北 | 精装 | 低楼层(共26层)  | 塔楼,1人关注 / 15天以前发布,210,"15,910元/平"
五星车站商圈 五星公寓低总价精装三房带车库,五星公寓 -五星车站商圈,3室2厅 | 96.65平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 25天以前发布,79.8,"8,257元/平"
解放路BRT 位置优越 婚房装修 基本未住,棕榈泉广场公寓 -聚龙湖商圈,3室2厅 | 140.44平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 22天以前发布,180,"12,817元/平"
中海万锦北园 毛坯四房 产证满2年 中高楼层 采光充足,中海万锦北园 -中南商圈,4室2厅 | 133.03平米 | 南 北 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 26天以前发布,218,"16,388元/平"
晨光满园，三室两厅，103.03平，精装修,晨光满园 -东台市,3室2厅 | 103.03平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 23天以前发布,93.8,"9,105元/平"
金水湾一期精装修 好楼层 有15平的车库,金水湾 -东台市,3室2厅 | 115.67平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 25天以前发布,138.8,"12,000元/平"
龙晶河滨花园5-2-1-2 224.18m² 诚心出 看房提前约！,龙晶河滨花园 -东台市,5室2厅 | 224.18平米 | 南 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 17天以前发布,172.8,"7,709元/平"
物业管理到位，，改善一步到位，改善孩子的..,文景花园 -缤纷亚洲商圈,3室2厅 | 105平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,1人关注 / 20天以前发布,188,"17,905元/平"
华建雅园，城东景山解放路旁，采光好，精装，满两,华建雅园 -亭湖高中商圈,3室2厅 | 99.17平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 25天以前发布,122,"12,303元/平"
麦德龙商圈  清华学仕园精装三房  采光好,清华学仕园 -麦德龙商圈,3室2厅 | 123.5平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 21天以前发布,150,"12,146元/平"
城中花园 小区环境好 南北通风，配套设施齐全,城中花园(东台市) -东台市,3室1厅 | 123平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,1人关注 / 28天以前发布,121,"9,838元/平"
小区物业管理严格，服务到家让你生活放心,金融城 -聚龙湖商圈,2室2厅 | 91.8平米 | 南 | 毛坯 | 低楼层(共36层)  | 暂无数据,0人关注 / 一年前发布,200,"21,787元/平"
温馨花园空中叠墅 满五唯一 高得房率 户型方正 采光好,温馨花园南区 -缤纷亚洲商圈,5室2厅 | 189.82平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 29天以前发布,330,"17,385元/平"
中南世纪城瑞城 精装两室 生活配套方便 家电家具齐全,中南世纪城瑞城 -中南商圈,2室2厅 | 89.12平米 | 南 北 | 精装 | 低楼层(共31层)  | 塔楼,0人关注 / 17天以前发布,119.8,"13,443元/平"
老城区南门桥金鹰海华解放路生活交通便利双元路,怡景花园 南苑 -永基广场商圈,4室2厅 | 173.28平米 | 南 | 精装 | 高楼层(共9层)  | 板塔结合,0人关注 / 25天以前发布,223.8,"12,916元/平"
大露台，大阳台，阔景复式大宅。,珺悦府 -滨海体育中心商圈,6室1厅 | 238.5平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,2人关注 / 7个月以前发布,238,"9,980元/平"
欧堡利亚臻园，别墅上下三层，有车位车库，随时看房,欧堡利亚臻园 -滨海体育中心商圈,7室3厅 | 240平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 4个月以前发布,408,"17,000元/平"
大平层 四房带一个小储物间 楼层低,碧桂园凤凰城 -麦德龙商圈,4室2厅 | 232平米 | 南 北 | 毛坯 | 低楼层(共14层)  | 暂无数据,11人关注 / 一年前发布,349.8,"15,078元/平"
设施完善，出门就有大型商场，环境好,钱江绿洲 -崇礼路商圈,4室2厅 | 142.07平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,3人关注 / 一年前发布,160,"11,263元/平"
宁科商业广场，楼层高采光佳，精装修随时可看房,宁科商业广场 -滨海公园商圈,2室2厅 | 106平米 | 南 | 精装 | 高楼层(共23层)  | 暂无数据,0人关注 / 17天以前发布,106.8,"10,076元/平"
聚龙湖 欧风花街 华厦绿城 精装两室 采光好 有车库,华厦绿城 -聚龙湖商圈,2室2厅 | 98平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 18天以前发布,125,"12,756元/平"
城西南 香城世家199平洋房，诚心出售,香城世家 -麦德龙商圈,4室2厅 | 199平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,368,"18,493元/平"
"双松巷二室两厅楼层好采光充足，视野开阔, 交通便利",双松巷12号 -东台市,2室2厅 | 66.05平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 15天以前发布,60,"9,085元/平"
房主诚心出售，有25平大车库，采光充足.,城中花园(东台市) -东台市,2室1厅 | 86.44平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 16天以前发布,96.8,"11,199元/平"
此房是精装修，拎包入住，好楼层，采光充足，视野开阔,时代豪庭 -东台市,2室2厅 | 88.6平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 17天以前发布,108.8,"12,280元/平"
独栋大开间，双层采光好，环境优美，高品质,清沁苑 -缤纷亚洲商圈,5室2厅 | 250.27平米 | 南 | 精装 | 低楼层(共2层)  | 暂无数据,6人关注 / 一年前发布,718,"28,690元/平"
此房满二年，楼层好，视野宽阔，采光充足,悦达悦珑湾 -五星车站商圈,2室2厅 | 93.49平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 15天以前发布,165,"17,649元/平"
龙园新村高楼层，视野宽阔，采光充足。户型方正,龙园新村 -亭湖商圈,6室3厅 | 202平米 | 南 | 毛坯 | 高楼层(共7层)  | 暂无数据,15人关注 / 一年前发布,98,"4,852元/平"
此房格局方正，楼层好，视野宽阔，采光充足配套全,世福花园 -滨海公园商圈,5室2厅 | 125平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,105.8,"8,464元/平"
悦达十里香溪，南北通风格局，楼层好，采光充足，,悦达十里香溪 -亭湖商圈,6室3厅 | 381平米 | 南 | 毛坯 | 低楼层(共1层)  | 板楼,6人关注 / 一年前发布,790,"20,735元/平"
滨河花园，视野开阔，配套实施齐全,滨河花园(东台) -东台市,5室2厅 | 224.91平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 11天以前发布,258,"11,472元/平"
中海世纪公馆联排别墅，单价低，诚心卖，看房提前联系,中海世纪公馆 -聚龙湖商圈,4室3厅 | 286.44平米 | 南 北 | 毛坯 | 3层  | 板楼 | 联排别墅 ,38人关注 / 一年前发布,508,"17,735元/平"
聚龙湖商圈 瑞尔花园 电梯精装两房 看房提前联系,瑞尔花园 -聚龙湖商圈,2室2厅 | 83.72平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,0人关注 / 15天以前发布,138,"16,484元/平"
滨河花园  南北朝向 视野宽阔  采光充足 房东急售,滨河花园(东台) -东台市,3室2厅 | 121.21平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 14天以前发布,83.8,"6,914元/平"
八林新寓得房率高   生活方便   小区配套全,八林新寓二期 -东台市,2室1厅 | 108.07平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 14天以前发布,108.8,"10,068元/平"
业主急售！城东亭湖实验迎宾花苑旁华景园精装带车库,华景园 -富康路商圈,4室2厅 | 136.47平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 24天以前发布,160,"11,725元/平"
万水清华3房2厅品牌精装基本没住，高楼层，边户通透,万水清华 -东台市,3室2厅 | 118.3平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 28天以前发布,211.9,"17,913元/平"
万科悦达翡翠书院 3室2厅 南 北,万科悦达翡翠书院 -亭湖高中商圈,3室2厅 | 110平米 | 南 北 | 精装 | 低楼层(共14层)  | 暂无数据,0人关注 / 23天以前发布,135,"12,273元/平"
此房户型正，楼层好，采光佳，房东诚心出售,金麟府 -滨海清水湖商圈,3室2厅 | 106平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 17天以前发布,106,"10,000元/平"
中庚海德公园 精装三室 带地暖 中上楼层 采光无遮挡,中庚海德公园 -中南商圈,3室2厅 | 121平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 19天以前发布,165,"13,637元/平"
金麟府房型好，户型好，毛坯现房出售,金麟府 -滨海清水湖商圈,3室2厅 | 129.25平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 17天以前发布,130,"10,059元/平"
高品质小区，精装大两房，有钥匙随时看房。,香城美地 -聚龙湖商圈,2室2厅 | 93.74平米 | 南 | 精装 | 中楼层(共13层)  | 板楼,1人关注 / 5个月以前发布,152,"16,216元/平"
聚龙湖旁 凤凰汇挑高公寓 精装修 中间层 随时看房,凤凰汇 -聚龙湖商圈,2室1厅 | 47.31平米 | 东 | 精装 | 中楼层(共16层)  | 塔楼,2人关注 / 一年前发布,70.8,"14,966元/平"
荷塘月色 ，有钥匙，看房方便，房东诚心出售,荷塘月色 -盐都商圈,4室2厅 | 133.98平米 | 南 北 | 毛坯 | 低楼层(共23层)  | 板楼,0人关注 / 一年前发布,148,"11,047元/平"
青年路高架  荷塘月色 前排别墅，东边户，采光无遮挡,荷塘月色 -盐都商圈,3室2厅 | 124.27平米 | 东 南 | 毛坯 | 高楼层(共23层)  | 板楼,3人关注 / 9个月以前发布,156,"12,554元/平"
紧靠青年路高架 采光很好   前排别墅   交通方便,荷塘月色 -盐都商圈,3室2厅 | 117平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 8个月以前发布,125,"10,684元/平"
高新区城西高品质小区毛坯大三房,荷塘月色 -盐都商圈,3室2厅 | 108平米 | 南 | 毛坯 | 中楼层(共23层)  | 板楼,8人关注 / 一年前发布,110,"10,186元/平"
观湖名邸 中上好楼层 户型好毛坯自由发挥,观湖名邸 -聚龙湖商圈,3室2厅 | 114.87平米 | 南 | 毛坯 | 高楼层(共24层)  | 塔楼,2人关注 / 一年前发布,179.8,"15,653元/平"
急售！有钥匙看房方便，中南世纪城旁，双阳台看房方便,中南世纪城珺城 -中南商圈,3室1厅 | 94.41平米 | 北 南 | 精装 | 低楼层(共21层)  | 塔楼,2人关注 / 10个月以前发布,166,"17,583元/平"
此房满五年，中装修 采光好，出门100米就是公园,人民中路 -滨海公园商圈,3室2厅 | 119.46平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,98.8,"8,271元/平"
前进小区 房东诚心出售 有个15 平车库,前进小区 -双元西路商圈,3室2厅 | 110.22平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,128.2,"11,632元/平"
八十间大户型4房诚意出售看房方便,八十间小区北区 -海华商圈,4室2厅 | 139平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,179,"12,878元/平"
恒大帝景3-2-1-2 诚心出售 欢迎各位小主看房！,恒大帝景 -聚龙湖商圈,3室2厅 | 121.75平米 | 南 北 | 精装 | 中楼层(共32层)  | 暂无数据,1人关注 / 4个月以前发布,172,"14,128元/平"
圆融广场边德驰华府阳光好空气新鲜,德驰华府 -东台市,3室2厅 | 131.21平米 | 南 北 | 毛坯 | 高楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,173.8,"13,246元/平"
此房好楼层 南北通风，采光充足  毛坯房,金水湾 -东台市,3室2厅 | 133.18平米 | 南 | 毛坯 | 低楼层(共15层)  | 板塔结合,0人关注 / 9个月以前发布,210,"15,769元/平"
聚龙湖旁 观湖名邸 毛坯三房 自由装修 随时看房,观湖名邸 -聚龙湖商圈,3室2厅 | 118.65平米 | 南 | 毛坯 | 高楼层(共24层)  | 塔楼,0人关注 / 6个月以前发布,210,"17,700元/平"
长坝小区 二期 精装三房 采光*好 看房方便,长坝小区 -双元西路商圈,3室2厅 | 82.56平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,6人关注 / 一年前发布,87.8,"10,635元/平"
业主诚心出售 采光刺眼 看房方便,兴诚公寓 -双元西路商圈,3室1厅 | 99.85平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,106,"10,616元/平"
师苑路3-1-1-1 83.49平方  76.8万,师苑路 -滨海公园商圈,3室1厅 | 83.49平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,76.8,"9,199元/平"
文林新村 精装修 两室一厅一厨一卫 采光好,文林新村 -东台市,3室2厅 | 85.49平米 | 南 北 | 精装 | 高楼层(共5层)  | 板塔结合,0人关注 / 9个月以前发布,74.8,"8,750元/平"
现房 毛坯3房，有钥匙随时看房，满2年,凤凰汇紫园 -聚龙湖商圈,3室2厅 | 93.2平米 | 南 | 毛坯 | 中楼层(共15层)  | 板塔结合,2人关注 / 7个月以前发布,249,"26,717元/平"
此房是精装修，朝南方向，楼层好 采光充足,嘉业上郡 -白马商圈,3室2厅 | 100.56平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,2人关注 / 5个月以前发布,145,"14,420元/平"
此房19年新房，户型方正，适合一家人居住，户型好,中梁聚龙首府 -中南商圈,4室2厅 | 123.55平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 7个月以前发布,200,"16,188元/平"
城南新弄里南一院旁中南世纪城5期精装四房家电齐全,中南世纪城五期 -中南商圈,4室2厅 | 139.8平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,4人关注 / 一年前发布,242,"17,311元/平"
这套房子小区环境好，采光好，交通便利。,中梁聚龙首府 -中南商圈,4室2厅 | 123.55平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,3人关注 / 一年前发布,200,"16,188元/平"
保利紫荆公馆  位置好  环境好  四房双卫户型,保利紫荆公馆 -亭湖高中商圈,4室2厅 | 140.11平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,2人关注 / 7个月以前发布,220,"15,702元/平"
城东解放路景山 东润华庭 精装修三房诚心出售,东润华庭 -亭湖高中商圈,3室2厅 | 90.87平米 | 南 | 精装 | 中楼层(共14层)  | 暂无数据,5人关注 / 一年前发布,108,"11,886元/平"
中梁望府景园 户型方正，适合一家人居住，户型好,中梁聚龙首府 -中南商圈,4室2厅 | 129.42平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,231,"17,849元/平"
娱乐花园，满五年，电梯房，采光视野好，安静不临街,娱乐花园 -缤纷亚洲商圈,4室2厅 | 125.1平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 6个月以前发布,322,"25,740元/平"
新苑小区 三房 清爽装修 诚心卖,新苑小区一区 -缤纷亚洲商圈,3室2厅 | 89平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 8个月以前发布,158,"17,753元/平"
步行街旁出让满五唯一，精装修三房朝南，带朝南车库,和平小区 -东台市,3室2厅 | 111平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,122.8,"11,064元/平"
兴城国际花园3-1-1-2 139.50m²,兴城国际花园 -东台市,3室1厅 | 139.63平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 4个月以前发布,162.8,"11,660元/平"
中梁望府景园 户型方正，适合一家人居住，户型好,中梁聚龙首府 -中南商圈,4室2厅 | 129.42平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,231,"17,849元/平"
娱乐花园，满五年，电梯房，采光视野好，安静不临街,娱乐花园 -缤纷亚洲商圈,4室2厅 | 125.1平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 6个月以前发布,322,"25,740元/平"
北金鹰商圈 | 张庄街道 | 高架高速出行方便 | 有车库,金都华城 -张庄商圈,3室1厅 | 129.99平米 | 南 | 毛坯 | 低楼层(共16层)  | 板塔结合,0人关注 / 3个月以前发布,90,"6,924元/平"
精装三大房 看房有钥匙 房东置换 诚心出售,月湖花城 -缤纷亚洲商圈,3室1厅 | 100.14平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 一年前发布,270,"26,963元/平"
金鑫花园3-2-1-1 116.04m²,金鑫花园 -东台市,3室2厅 | 116.04平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,61,"5,257元/平"
此房恒大开发商精装修，可拎包入住，房东诚心出售。,恒大翡翠华庭 -东台市,3室2厅 | 122平米 | 南 | 精装 | 高楼层(共22层)  | 暂无数据,0人关注 / 3个月以前发布,119.8,"9,820元/平"
绿洲半岛三室二厅精装修105平9楼,绿洲半岛(亭湖区) -亭湖商圈,3室2厅 | 105.47平米 | 东南 | 精装 | 高楼层(共9层)  | 板楼,1人关注 / 8个月以前发布,90,"8,534元/平"
新日月翠洲嘉园 好楼层 采光充足 房东急售！,新日月翠洲嘉园 -万达商圈,6室3厅 | 113.86平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,3人关注 / 8个月以前发布,125,"10,979元/平"
玉龙路3室2厅1卫  96.80平米   简装,玉龙路 -滨海公园商圈,3室2厅 | 96.23平米 | 南 | 简装 | 高楼层(共4层)  | 暂无数据,2人关注 / 一年前发布,86,"8,937元/平"
此房装修很新，入住次数很少，房东诚心出售,北海花园南区 -东台市,3室2厅 | 113.87平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,128,"11,241元/平"
新日月翠洲嘉园 3室1厅 南 北,新日月翠洲嘉园 -万达商圈,3室1厅 | 125.48平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 4个月以前发布,145,"11,556元/平"
