标题,开发商,房子信息,发布信息,售价/万,单价
东方明珠三村 中间楼层 精装修 大三房 拎包入住。,东方明珠三村 -江东,3室2厅 | 128.62平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 6天以前发布,198,"15,395元/平"
汇成上东 3室2厅 南,汇成上东 -解放路,3室2厅 | 119.65平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 15天以前发布,170,"14,209元/平"
花园新村南区，顶楼，采光充足，视野宽阔,花园新村南区 -解放路,2室1厅 | 59.96平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 15天以前发布,35,"5,838元/平"
西湖花园 小高层 电梯房 满两年 一室两厅装修户型,西湖花园 -解放路,1室2厅 | 71.04平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 8天以前发布,78,"10,980元/平"
向机新村，五楼好房，采光无遮挡,向机新村 -解放路,2室1厅 | 89.26平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 18天以前发布,66,"7,395元/平"
春江雅苑 3室1厅 南,春江雅苑 -佳山,3室1厅 | 89.93平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 16天以前发布,82,"9,119元/平"
伟星壹号院 高层 中间楼层 房东诚意出售,伟星壹号院 -霍里,3室1厅 | 110.09平米 | 南 | 其他 | 高楼层(共26层)  | 板塔结合,0人关注 / 12天以前发布,175,"15,897元/平"
盛泰名邸 中上层精装两室朝南 景观房！！！,盛泰名邸 -安民,2室2厅 | 93.74平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,0人关注 / 7天以前发布,97,"10,348元/平"
大溪地联排别墅 精装满2 共计5层 70年产权 价格可谈,大溪地伊顿庄园 -雨山,3室3厅 | 139.64平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 15天以前发布,260,"18,620元/平"
桥山嘉苑三室一厅，户型南北通透，采光好,桥山嘉苑一区 -霍里,3室1厅 | 95.07平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,0人关注 / 14天以前发布,85,"8,941元/平"
此房满2年 采光好婚房精装修拎包入住,金桥雅苑 -霍里,3室2厅 | 107.4平米 | 南 | 其他 | 高楼层(共24层)  | 板塔结合,0人关注 / 11天以前发布,82,"7,636元/平"
此房满2年 采光好婚房精装修拎包入住,金桥雅苑 -霍里,3室2厅 | 107.4平米 | 南 | 其他 | 高楼层(共24层)  | 板塔结合,0人关注 / 11天以前发布,82,"7,636元/平"
此房满2年 采光好楼层好两室朝南 拎包入住,东方明珠六村 -江东,2室2厅 | 89.58平米 | 南 北 | 其他 | 中楼层(共18层)  | 塔楼,0人关注 / 6天以前发布,115,"12,838元/平"
通透格局，楼层好视野宽阔，慈湖河景色尽收眼底,朝辉东方城二区 -霍里,4室2厅 | 143.59平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 12天以前发布,210,"14,625元/平"
满五，精装修，房东自住，保养好，拎包入住。,东南名苑 -桃园,3室2厅 | 120.45平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 10天以前发布,152,"12,620元/平"
玉兰园 6楼 总高7楼 采光好   房东诚心出售,玉蘭园 -桃园,2室1厅 | 56.42平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 11天以前发布,32,"5,672元/平"
恒大御景湾 中间楼层 可直观景观湖 诚心出售 价格好谈,恒大御景湾 -霍里,2室2厅 | 85.5平米 | 南 | 其他 | 中楼层(共24层)  | 板塔结合,0人关注 / 10天以前发布,95,"11,112元/平"
金汇城市花园，欧尚商圈，南北通透，满五唯一，拎包住,金汇城市花园 -桃园,3室2厅 | 137.12平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 15天以前发布,178,"12,982元/平"
此房满五唯一，两房朝南 ，采光无遮挡！,八一大院 -安民,2室1厅 | 63.61平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,45,"7,075元/平"
此房位于湖东路中段，金鹰隔壁，居住成熟板块出行便利,湖东二村 -沙塘,2室2厅 | 87.96平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 10天以前发布,88,"10,005元/平"
东林小区，房东诚心出售，看房方便,东林小区 -解放路,2室2厅 | 85.32平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 13天以前发布,65,"7,619元/平"
华海城市广场 2室2厅 南,华海城市广场 -解放路,2室2厅 | 92.14平米 | 南 | 精装 | 高楼层(共20层)  | 板塔结合,0人关注 / 9天以前发布,125,"13,567元/平"
此房满二，毛坯可按自己喜好装修，单价低。,金山嘉苑一区 -未知商圈,2室1厅 | 75.27平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 12天以前发布,44,"5,846元/平"
业主诚意出售，满五唯一，南北通透，不靠马路！,江南御花园 -佳山,2室1厅 | 103.72平米 | 南 北 | 其他 | 低楼层(共12层)  | 板楼,0人关注 / 2天以前发布,108,"10,413元/平"
深业华府小高层不靠马路95平3房，户型方正，满二,深业华府春天里 -安民,3室2厅 | 94.17平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 2天以前发布,102,"10,832元/平"
此房满五唯一2楼.配套设施完善.交通便利.采光好.,八亩塘 -解放路,3室0厅 | 67.67平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 8天以前发布,56,"8,276元/平"
泰和天成  东边户  三室二厅 采光不挡,泰和天成 -佳山,3室2厅 | 120.28平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板塔结合,1人关注 / 29天以前发布,143,"11,889元/平"
西湖花园经典大三房 采光刺眼 配套成熟,西湖花园 -解放路,3室2厅 | 126平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 21天以前发布,130,"10,318元/平"
房东诚心卖，采光好，位置好，户型方正,信达公园郡一期 -采石,4室1厅 | 118平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 22天以前发布,138,"11,695元/平"
银河湾城市茗苑 3室2厅 南,银河湾城市茗苑 -佳山,3室2厅 | 128.84平米 | 南 | 简装 | 低楼层(共11层)  | 板塔结合,0人关注 / 17天以前发布,139,"10,789元/平"
成熟地段 ，经典三房，生活方便，可贷款,新建村 -雨山,3室1厅 | 95.17平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,1人关注 / 一年前发布,65,"6,830元/平"
此房是多层的，生活便利，交通方便,湖北东路479号 -解放路,3室2厅 | 126.33平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,110,"8,708元/平"
此房满五唯一，采光好。位置佳，,金星新村 -解放路,2室2厅 | 84.3平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,102.8,"12,195元/平"
湖北东路456号 3室1厅 南,湖北东路456号 -解放路,3室1厅 | 84.94平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 一年前发布,85,"10,008元/平"
此房满两年 精装修一天未住 房东诚心出售 看房方便,东方丽景 -佳山,3室2厅 | 116平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,13人关注 / 一年前发布,150,"12,932元/平"
湖北东路477号 3室1厅 南,湖北东路477号 -解放路,3室1厅 | 90.58平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,89,"9,826元/平"
深业华府春天里 边户三室 满二年 看房有钥匙,深业华府春天里 -安民,3室2厅 | 112.79平米 | 南 北 | 简装 | 低楼层(共34层)  | 板塔结合,5人关注 / 6个月以前发布,155,"13,743元/平"
此房满二，南北通透格局，釆光好,金山嘉苑一区 -未知商圈,3室2厅 | 124.82平米 | 南 北 | 其他 | 低楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,85.5,"6,850元/平"
此套房 楼层好 景观楼层 采光视野全天无遮挡 视野开阔,盛世华府 -桃园,3室2厅 | 112.39平米 | 南 | 其他 | 中楼层(共55层)  | 板楼,1人关注 / 11个月以前发布,148,"13,169元/平"
东湖瑞景中间楼层湖景房好房诚心出售,东湖瑞景 -佳山,4室2厅 | 142.24平米 | 南 | 其他 | 低楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,185,"13,007元/平"
中丞国宾府四室两厅一厨两卫 毛坯房 满2年 有钥匙,中丞国宾府 -佳山,4室2厅 | 132平米 | 南 北 | 其他 | 中楼层(共8层)  | 板塔结合,2人关注 / 11个月以前发布,208,"15,758元/平"
沙塘路，满5唯一，2室1厅，采光充足,沙塘路 -沙塘,2室1厅 | 70.76平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,34,"4,805元/平"
楼栋位置好，采光无遮挡，顶楼复式,金瑞新城四村 -江东,3室2厅 | 101.45平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 8个月以前发布,69,"6,802元/平"
盛世华府 新空毛坯三房 凤凰层满两年 房东诚心出售,盛世华府 -桃园,3室2厅 | 102.29平米 | 南 | 其他 | 高楼层(共31层)  | 板楼,6人关注 / 一年前发布,144.5,"14,127元/平"
好户型好楼层泰和天成房源诚意出，视野开阔采光足,泰和天成 -佳山,3室2厅 | 122.85平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,16人关注 / 一年前发布,163,"13,269元/平"
春晖悦府 电梯洋房 一梯两户，跃层带露台  业主诚心卖,春晖悦府 -安民,4室2厅 | 128.4平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,34人关注 / 一年前发布,310,"24,144元/平"
此房三室二厅，楼层好，边户，交通便利，看房方便,瑞祥家园 -桃园,3室2厅 | 97.41平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,5人关注 / 10个月以前发布,93,"9,548元/平"
此房满两年，好楼层，采光好，交通便利,恒生阳光城小区 -当涂县,4室2厅 | 149.78平米 | 南 | 毛坯 | 低楼层(共21层)  | 暂无数据,2人关注 / 一年前发布,111,"7,411元/平"
滨江郡 电梯小高层 房型方正 采光无遮挡看房方便,滨江郡 -采石,3室2厅 | 86.56平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 8个月以前发布,51,"5,892元/平"
位于城中，生活娱乐购物出行设施齐全，,青莲花园东苑 -当涂县,3室2厅 | 176平米 | 南 北 | 其他 | 高楼层(共5层)  | 板塔结合,3人关注 / 一年前发布,77,"4,375元/平"
此房自住满五唯不一，视野采光都好，税费底。,钢城花园三村 -安民,3室1厅 | 104.9平米 | 南 北 | 其他 | 高楼层(共5层)  | 板塔结合,0人关注 / 4个月以前发布,108,"10,296元/平"
精装电梯好房 一次未住过 适合年轻人婚房或者父母养老,滨江郡 -采石,3室2厅 | 101平米 | 南 北 | 其他 | 低楼层(共18层)  | 板塔结合,4人关注 / 10个月以前发布,74,"7,327元/平"
太白尚海城，毛坯大三房，南北通透飞机户型，诚心出售,尚海城 -当涂县,3室2厅 | 102.78平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,38.9,"3,785元/平"
东方翡翠顶复  三房 中等装修 带露台,东方翡翠北苑 -佳山,3室2厅 | 81.73平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,70,"8,565元/平"
房型方正 采光充足 三室两厅 双阳台 八中西+东苑,金星新村 -解放路,3室2厅 | 145.26平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,142.6,"9,817元/平"
鸳鸯二村 2室1厅 南,鸳鸯二村 -安民,2室1厅 | 72.42平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,7人关注 / 4个月以前发布,48,"6,629元/平"
九韵国际 城中小区 生活方便 看房方便,九韵国际 -当涂县,3室2厅 | 105.2平米 | 南 | 简装 | 中楼层(共17层)  | 暂无数据,26人关注 / 一年前发布,57,"5,419元/平"
多层2楼，户型采光都好，房东急售，价格可谈,金山嘉苑一区 -未知商圈,3室1厅 | 91.8平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,3人关注 / 8个月以前发布,59,"6,428元/平"
此房满五不唯一，小区环境好，生活方便，,晨光花园 -佳山,3室1厅 | 105.69平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,2人关注 / 9个月以前发布,83,"7,854元/平"
达观天下二期 中间楼层 精装修拎包入住 位置安静,达观天下悦城 -佳山,4室2厅 | 67.86平米 | 南 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 5个月以前发布,68,"10,021元/平"
中丞国宾府 一楼有南院 户型方正  诚心出售,中丞国宾府 -佳山,3室2厅 | 124.49平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,211,"16,950元/平"
经济 适用 满五 三房。。。。。。。。。,杨秣小区 -沙塘,3室1厅 | 86.56平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,16人关注 / 一年前发布,79.5,"9,185元/平"
此房毛坯，复式空间大，楼下两房，满二，客厅可隔开,金瑞新城三村 -江东,3室1厅 | 104.06平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,52,"4,998元/平"
此房满二唯一 三室一南一东一北 房间采光充足,佳山墅 -解放路,3室2厅 | 119.67平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,9人关注 / 一年前发布,208,"17,382元/平"
金色里程  简装好房   买到即可出租   小三房,金色里程 -当涂县,3室2厅 | 94.79平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,6人关注 / 一年前发布,62,"6,541元/平"
深业华府春天里三房二厅，毛坯房房东诚意出售,深业华府春天里 -安民,3室2厅 | 112.76平米 | 南 | 其他 | 中楼层(共34层)  | 板楼,3人关注 / 6个月以前发布,142,"12,594元/平"
"西塘名苑 三室,低楼层，随时看房",西塘名苑 -佳山,3室2厅 | 113.42平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,29人关注 / 一年前发布,88,"7,759元/平"
急售学府里   毛坯中上楼层  大面积  价格美丽,达观天下学府里 -佳山,4室2厅 | 123.23平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,110,"8,927元/平"
房子满五年唯一住房，多层的4楼，明厨明卫,湖东北路27号 -解放路,3室1厅 | 92.06平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,5人关注 / 4个月以前发布,56,"6,083元/平"
给您一个温暖的家，让您的孩子赢在起跑线上,东苑小区 -解放路,3室1厅 | 105.47平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,22人关注 / 一年前发布,95,"9,008元/平"
恒泰学府路 精装三室 一次未住 看房方便,达观天下学府里 -佳山,3室2厅 | 97.41平米 | 南 北 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 3个月以前发布,105,"10,780元/平"
房子满五年唯一住房，多层的4楼，明厨明卫,湖东北路27号 -解放路,3室1厅 | 92.06平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,5人关注 / 4个月以前发布,56,"6,083元/平"
恒泰学府路 精装三室 一次未住 看房方便,达观天下学府里 -佳山,3室2厅 | 97.41平米 | 南 北 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 3个月以前发布,105,"10,780元/平"
泰和文苑，小区入口处，五楼复式房，房东诚心卖！,泰和文苑 -解放路,4室1厅 | 102.36平米 | 南 | 其他 | 高楼层(共5层)  | 板塔结合,1人关注 / 4个月以前发布,170,"16,609元/平"
鑫福家园 精装好房 低楼层 满两年,鑫福家园 -佳山,3室2厅 | 127.44平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,125,"9,809元/平"
香榭美地北区  精装三房  婚房装修 拎包入住 生活方便,香榭美地北区 -当涂县,3室1厅 | 111.68平米 | 南 北 | 精装 | 高楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,83.5,"7,477元/平"
阳湖花园  多层二楼   采光无遮挡,阳湖花园 -佳山,2室2厅 | 83.28平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,2人关注 / 6个月以前发布,68,"8,166元/平"
楼层视线好，小区环境好，安静 随时可看房,滨江郡 -采石,3室1厅 | 87.87平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,1人关注 / 8个月以前发布,50,"5,691元/平"
金海岸名邸 精装修楼层好 视野好,金海岸名邸 -采石,4室2厅 | 192.98平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,0人关注 / 1个月以前发布,228,"11,815元/平"
满五唯一好房，看房方便，大平层居住舒适，带车位,金海岸名邸 -采石,4室2厅 | 192.98平米 | 南 北 | 其他 | 高楼层(共28层)  | 塔楼,1人关注 / 4个月以前发布,225,"11,660元/平"
此房一期毛坯三房满两年中高楼层，采光无遮挡，有车位,奥园/誉湖湾 -江东,3室1厅 | 116.54平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,101,"8,667元/平"
年底满二，看房方便，楼栋楼层好，俯瞰锦绣园,深业华府春天里 -安民,3室2厅 | 96.31平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板塔结合,1人关注 / 一年前发布,135,"14,018元/平"
盛世华府高楼层，凤凰楼层。可俯瞰整个马鞍山,盛世华府 -桃园,4室2厅 | 149.11平米 | 南 | 毛坯 | 高楼层(共55层)  | 板楼,5人关注 / 一年前发布,199,"13,346元/平"
碧桂嘉苑 5室3厅 南,碧桂嘉苑 -解放路,5室3厅 | 184平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 15天以前发布,150,"8,153元/平"
绿地大三房    诚心出售 有钥匙,新里西斯莱公馆 -霍里,3室2厅 | 103.92平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,24人关注 / 一年前发布,135,"12,991元/平"
鹊桥小区一村 3室1厅 南,鹊桥小区一村 -安民,3室1厅 | 70.67平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,1人关注 / 7个月以前发布,95,"13,443元/平"
城东位置，带跃层，采光丰富，小区环境好，居住惬意,东一城 -当涂县,3室2厅 | 124.67平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,77,"6,177元/平"
