标题,开发商,房子信息,发布信息,售价/万,单价
宝龙城江南墅边，交通便利。小区环境佳,瑞景名苑 -轮渡路,1室1厅 | 34平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 27天以前发布,75,"22,059元/平"
诚售学府水岸   129平方305万包一个产权车位,学府水岸小区 -轮渡路,3室2厅 | 129.5平米 | 南 | 毛坯 | 低楼层(共25层)  | 板楼,1人关注 / 一年前发布,305,"23,553元/平"
城东新交付小区，户行方正，格局好，居住舒适,金地·中城广场 -机场北路,3室2厅 | 130平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 7个月以前发布,290,"22,308元/平"
房东诚卖 位置优越 环境舒适 采光无遮挡,碧桂园·保利玖樟台 -体育场,4室2厅 | 143平米 | 南 | 毛坯 | 低楼层(共25层)  | 暂无数据,2人关注 / 一年前发布,430,"30,070元/平"
叠墅采光好，大露台可以烧烤，环境好，。。。。,朗成江南墅 -市府,4室2厅 | 220平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,5人关注 / 一年前发布,950,"43,182元/平"
悦城水岸，四室两厅两卫，视野好，无遮挡,悦城水岸 -轮渡路,4室2厅 | 144平米 | 南 | 简装 | 中楼层(共28层)  | 平房,1人关注 / 8个月以前发布,388,"26,945元/平"
采光充足，全明户型 双阳台 三朝南 简单装修 ！,国宾壹号 -温岭市,4室2厅 | 129.7平米 | 东南 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,350,"26,986元/平"
出售景联东苑南区带大露台+车位毛坯，税很少,景联东苑南区 -机场北路,3室2厅 | 146.39平米 | 南 | 毛坯 | 低楼层(共13层)  | 板楼,5人关注 / 一年前发布,238,"16,258元/平"
"好楼栋，南面湖，四室四朝南,欧式精装修拎包入住。",新明半岛北区映荷轩 -东平路,3室2厅 | 168平米 | 南 | 精装 | 高楼层(共9层)  | 板塔结合,4人关注 / 6个月以前发布,355,"21,131元/平"
小区绿化好得房率高，小区有配套公立幼儿园近高铁站,文鼎苑 -东平路,4室2厅 | 128平米 | 南 | 毛坯 | 高楼层(共12层)  | 板楼,0人关注 / 9个月以前发布,282,"22,032元/平"
金地中诚广场  隐私花园  彩光好,金地·中城广场 -机场北路,3室2厅 | 115.82平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,218,"18,823元/平"
蓝庭花园 3室2厅 南,蓝庭花园 -体育场,3室2厅 | 160平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,368,"23,000元/平"
三水润园此房满2年，户型方正， 采光好,开元三水润园 -洪家,4室1厅 | 173平米 | 南 | 简装 | 中楼层(共15层)  | 板楼,1人关注 / 3个月以前发布,288,"16,648元/平"
房子地段佳 楼层适中 南北朝向 采光好，带阳台舒适,中山西路 -轮渡路,3室1厅 | 75.53平米 | 南 | 简装 | 高楼层(共4层)  | 暂无数据,19人关注 / 11个月以前发布,90,"11,916元/平"
绿城海棠花苑4-2-1-3 208.00m²,绿城海棠花苑 -体育场,4室2厅 | 208平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,0人关注 / 5个月以前发布,688,"33,077元/平"
型方正看房方便，诚心出售不临街,中山小区东区 -轮渡路,3室2厅 | 141平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,165,"11,703元/平"
此房满两年 好楼层 东灿 采光良好 看房方便,城市港湾A区 -洪家,4室2厅 | 185平米 | 南 | 毛坯 | 中楼层(共23层)  | 塔楼,2人关注 / 一年前发布,195,"10,541元/平"
滨江悦131平，小区品质高，配套方便。,悦城水岸 -轮渡路,3室2厅 | 131平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,3人关注 / 一年前发布,275,"20,993元/平"
房子位置好，采光好，200平方大露台可以用,理想花苑 -轮渡路,3室2厅 | 94平米 | 西南 | 精装 | 低楼层(共17层)  | 板楼,3人关注 / 一年前发布,238,"25,320元/平"
银泰商圈 双九龙 双阳台 三朝南 边套,国宾壹号 -温岭市,3室2厅 | 119平米 | 南 | 简装 | 低楼层(共18层)  | 暂无数据,0人关注 / 11个月以前发布,328,"27,564元/平"
3室2厅2卫1厨户型方正，全明格局，无遮挡,悦城水岸 -轮渡路,3室2厅 | 131平米 | 南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 8个月以前发布,358,"27,329元/平"
户型方正，产权清晰，楼间距宽，采光无遮挡,学府水岸小区 -轮渡路,3室2厅 | 128.97平米 | 南 北 | 简装 | 高楼层(共25层)  | 板楼,2人关注 / 6个月以前发布,314,"24,347元/平"
出售悦城水岸，新小区，环境好，,悦城水岸 -轮渡路,4室2厅 | 131平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,1人关注 / 一年前发布,315,"24,046元/平"
价格便宜  业主诚心出售  视野好,悦城水岸 -轮渡路,3室2厅 | 118平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,5人关注 / 10个月以前发布,280,"23,729元/平"
悦城水岸3室2厅2卫，采光好，小区环景好，生活方便,悦城水岸 -轮渡路,3室2厅 | 131平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 一年前发布,308,"23,512元/平"
新明·丽江 2室1厅 南,新明·丽江 -轮渡路,2室1厅 | 88.45平米 | 南 | 毛坯 | 低楼层(共23层)  | 板楼,1人关注 / 一年前发布,165,"18,655元/平"
小区设施齐全，环境好，采光充足,悦城水岸 -轮渡路,4室2厅 | 143平米 | 南 | 精装 | 高楼层(共28层)  | 暂无数据,0人关注 / 一年前发布,443,"30,980元/平"
户型方正，全明格局，视野好，楼间距大,学府水岸小区 -轮渡路,3室2厅 | 140平米 | 南 | 毛坯 | 中楼层(共20层)  | 暂无数据,0人关注 / 8个月以前发布,325,"23,215元/平"
新小区刚交付 环境好 房子户型方正 南北通 毛坯交付,珑悦名苑 -东平路,4室2厅 | 180平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 一年前发布,368,"20,445元/平"
碧桂园海门公馆电梯好房有车位带前后露台业主诚售,碧桂园海门公馆 -机场北路,4室2厅 | 131平米 | 南 | 其他 | 低楼层(共15层)  | 暂无数据,2人关注 / 一年前发布,197,"15,039元/平"
颐景名苑 109高楼层 南北朝向 毛坯 带车房出,颐景名苑 -东平路,2室1厅 | 102平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,16人关注 / 一年前发布,215,"21,079元/平"
名*门嘉苑 大润发旁边 繁华地段,名门嘉苑 -螺洋,3室2厅 | 120.2平米 | 南 北 | 精装 | 高楼层(共10层)  | 板塔结合,0人关注 / 6个月以前发布,205,"17,055元/平"
御庭壹号大套 五室两厅三卫三阳台 毛坯 双车位,御庭壹号 -东平路,5室2厅 | 243.7平米 | 南 | 毛坯 | 低楼层(共24层)  | 板楼,0人关注 / 4个月以前发布,580,"23,800元/平"
博雅苑 2室1厅 南,博雅苑 -温岭市,2室1厅 | 89平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,215,"24,158元/平"
出售  飞霞港湾  位置好 户型好  阳光充足 无遮挡,飞霞港湾 -轮渡路,3室2厅 | 121.6平米 | 南 | 其他 | 中楼层(共14层)  | 板塔结合,5人关注 / 一年前发布,175,"14,392元/平"
新明丽江，小区环境好，配套齐全。,新明·丽江 -轮渡路,3室2厅 | 117平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,2人关注 / 8个月以前发布,258,"22,052元/平"
出售  学府水岸  位置好  楼层好,学府水岸小区 -轮渡路,3室2厅 | 130平米 | 南 | 毛坯 | 高楼层(共25层)  | 塔楼,0人关注 / 9个月以前发布,338,"26,000元/平"
小区设施齐全，环境好，采光充足,朗成江南墅 -市府,3室2厅 | 144平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,450,"31,250元/平"
小区设施齐全，环境好，采光充足,朗成江南墅 -市府,3室2厅 | 143平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,398,"27,833元/平"
香榭水岸  别墅后排  房东诚心卖  随时看房,香榭水岸 -机场北路,3室2厅 | 139.8平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,265.6,"18,999元/平"
小区设施齐全，环境好，采光充足,悦城水岸 -轮渡路,3室2厅 | 131.26平米 | 南 | 其他 | 中楼层(共33层)  | 暂无数据,1人关注 / 一年前发布,328,"24,989元/平"
小区设施齐全，环境好，采光充足,悦城水岸 -轮渡路,3室2厅 | 131平米 | 南 | 简装 | 中楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,355,"27,100元/平"
双阳台·楼间距好，绿化高，低密度，采光.,海尚望府 -洪家,4室2厅 | 118平米 | 南 | 毛坯 | 低楼层(共26层)  | 塔楼,0人关注 / 6个月以前发布,247.8,"21,000元/平"
业主置换 诚心出售 看房方便  随时可签约 ...,飞霞港湾 -轮渡路,3室2厅 | 123平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,10人关注 / 一年前发布,168,"13,659元/平"
满两年，采光良好，南北通，自住装修,飞霞港湾 -轮渡路,3室2厅 | 126平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,9人关注 / 一年前发布,183,"14,524元/平"
出售  永华大厦  位置好  格局好,永华大厦 -轮渡路,3室2厅 | 97.28平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,98.2,"10,095元/平"
户型方正，全明格局，视野好，无遮挡,悦城水岸 -轮渡路,3室2厅 | 131.7平米 | 南 | 简装 | 中楼层(共33层)  | 塔楼,0人关注 / 一年前发布,305,"23,159元/平"
小区设施齐全，环境好，采光充足,学府水岸小区 -轮渡路,5室2厅 | 199.4平米 | 南 | 毛坯 | 中楼层(共25层)  | 暂无数据,1人关注 / 4个月以前发布,557.2,"27,944元/平"
业主诚心出售，看房啊方便，有多套便宜的房子出售,悦城水岸 -轮渡路,4室2厅 | 143平米 | 南 北 | 精装 | 低楼层(共28层)  | 平房,1人关注 / 8个月以前发布,350,"24,476元/平"
西子花园 标准套2 114平 200万,西子花园 -温岭市,2室1厅 | 114平米 | 南 | 毛坯 | 低楼层(共24层)  | 塔楼,3人关注 / 一年前发布,185,"16,229元/平"
德邻北苑近宝龙广场大桥公园客运总站一江两岸好户型,德邻北苑 -轮渡路,3室2厅 | 131平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 暂无数据,1人关注 / 5个月以前发布,228,"17,405元/平"
高层3朝南好户型，一手毛坯不看庙，诚意出售随时看房,颐景名苑 -东平路,3室1厅 | 106平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,15人关注 / 一年前发布,225,"21,227元/平"
三朝南 高层采光好  看房方便,悦城水岸 -轮渡路,3室2厅 | 118平米 | 南 | 简装 | 高楼层(共33层)  | 暂无数据,28人关注 / 10个月以前发布,275,"23,306元/平"
S1轻轨旁 户型好 采光好 小区出行方便,碧桂园·保利玖樟台 -体育场,5室2厅 | 283平米 | 南 | 其他 | 中楼层(共25层)  | 板楼,1人关注 / 一年前发布,850,"30,036元/平"
户型方正，全明格局，无遮挡，四室,悦城水岸 -轮渡路,3室2厅 | 116平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 6个月以前发布,280,"24,138元/平"
户型方正，全明格局，视野好，楼间距大，无遮挡,学府水岸小区 -轮渡路,3室1厅 | 129平米 | 南 | 简装 | 高楼层(共25层)  | 塔楼,0人关注 / 一年前发布,335,"25,969元/平"
滨江苑，悦城水岸，华师大公立，房东诚售，江景,悦城水岸 -轮渡路,4室2厅 | 132平米 | 北 南 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 7个月以前发布,350,"26,516元/平"
房东诚心出售 位置好 配套齐全,東泰華庭 -东平路,3室2厅 | 138平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,10人关注 / 5个月以前发布,265,"19,203元/平"
体育馆旁边四室大平层全新装修高层视野好,中南远洋樾府 -体育场,4室2厅 | 178平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,567,"31,854元/平"
远洲丽庭  中高层，采光充足，环境优美 视野开阔,远洲丽廷 -体育场,3室2厅 | 113.52平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,60人关注 / 一年前发布,175,"15,416元/平"
心海金源三室 诚心出售 价格包含一个车位,心海金源 -洪家,3室2厅 | 139.17平米 | 南 | 毛坯 | 高楼层(共23层)  | 板楼,3人关注 / 一年前发布,276,"19,832元/平"
悦城水岸户型方正，全明格局，视野好，无遮挡,悦城水岸 -轮渡路,4室2厅 | 143平米 | 南 | 精装 | 高楼层(共28层)  | 暂无数据,2人关注 / 一年前发布,355,"24,826元/平"
文鼎苑143平高层毛坯，新小区，得房率高,文鼎苑 -东平路,4室2厅 | 143平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,11人关注 / 一年前发布,295,"20,630元/平"
心海金源 精装修 空调一体 地暖 全屋定制 有车位,心海金源 -洪家,4室2厅 | 162.4平米 | 南 | 精装 | 中楼层(共22层)  | 板楼,0人关注 / 5个月以前发布,325,"20,013元/平"
南北通，采光充足，配套齐，交通方便,中央花园 -东平路,3室2厅 | 150平米 | 南 | 简装 | 中楼层(共22层)  | 板塔结合,2人关注 / 9个月以前发布,398,"26,534元/平"
小区设施齐全，环境好，采光充足,飞霞港湾 -轮渡路,3室2厅 | 183平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,5人关注 / 4个月以前发布,238,"13,006元/平"
小区设施齐全，环境好，采光充足,悦城水岸 -轮渡路,3室2厅 | 131平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,300,"22,901元/平"
小区设施齐全，环境好，采光充足,悦城水岸 -轮渡路,4室2厅 | 143平米 | 南 | 精装 | 低楼层(共28层)  | 平房,1人关注 / 一年前发布,365,"25,525元/平"
小区设施齐全，环境好，采光充足,悦城水岸 -轮渡路,3室2厅 | 115平米 | 南 | 简装 | 中楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,310,"26,957元/平"
学府水岸 中层 毛坯 三室 看房方便,学府水岸小区 -轮渡路,3室2厅 | 124平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 暂无数据,1人关注 / 一年前发布,310,"25,000元/平"
小区设施齐全，环境好，采光充足,学府水岸小区 -轮渡路,3室2厅 | 137.4平米 | 南 | 毛坯 | 中楼层(共25层)  | 板塔结合,0人关注 / 4个月以前发布,336,"24,455元/平"
小区设施齐全，环境好，采光充足,悦城水岸 -轮渡路,3室2厅 | 131平米 | 南 | 简装 | 高楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,330,"25,191元/平"
"小区设施齐全,环境好,采光充足",德加公馆 -轮渡路,4室2厅 | 134.4平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,320,"23,810元/平"
小区设施齐全，环境好，采光充足,悦城水岸 -轮渡路,3室2厅 | 118平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,1人关注 / 一年前发布,295,"25,000元/平"
小区设施齐全，环境好，采光充足,朗成江南墅 -市府,3室2厅 | 143平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,386,"26,994元/平"
大户型 视野开阔三朝南，华师大,德加公馆 -轮渡路,4室2厅 | 163平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,492,"30,185元/平"
小区中间好位置  有小河 喷泉  近广场,碧海明珠花园南区 -东平路,4室2厅 | 151平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,10人关注 / 7个月以前发布,238,"15,762元/平"
台州香格里拉花园162平  三室二厅  带装修,台州▪香格里拉花园 -市府,3室2厅 | 162平米 | 南 | 精装 | 中楼层(共22层)  | 板楼,3人关注 / 一年前发布,344.8,"21,284元/平"
悦城水岸户型方正，全明格局，视野好，无遮挡,悦城水岸 -轮渡路,4室2厅 | 143平米 | 南 | 精装 | 高楼层(共28层)  | 暂无数据,2人关注 / 一年前发布,355,"24,826元/平"
文鼎苑143平高层毛坯，新小区，得房率高,文鼎苑 -东平路,4室2厅 | 143平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,11人关注 / 一年前发布,295,"20,630元/平"
出售学府水岸139平 带车位 未满2年 看房方便,学府水岸小区 -轮渡路,3室2厅 | 139平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 10个月以前发布,358,"25,756元/平"
出售学府水岸124平 毛坯 未满2年 看房方便,学府水岸小区 -轮渡路,3室1厅 | 124平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,2人关注 / 10个月以前发布,315,"25,404元/平"
颐景名苑 顶跃带露台 精装三房 看房方便,颐景名苑 -东平路,3室2厅 | 143平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,6人关注 / 8个月以前发布,328,"22,938元/平"
出售悦城水岸131平，高楼层采光好，未满2年，,悦城水岸 -轮渡路,3室2厅 | 131平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,385,"29,390元/平"
春天华庭有车位车棚博物馆边户型好楼层好采光很好,春天华庭 -靖江,3室2厅 | 89.61平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,195,"21,761元/平"
采光充足，全明户型 双阳台 三朝南 简单装修 ！,国宾壹号 -温岭市,3室2厅 | 119平米 | 东南 | 简装 | 高楼层(共17层)  | 板楼,1人关注 / 一年前发布,353,"29,664元/平"
天璟誉府，带两百平的大露台，采光好，三朝南房间,天璟誉府 -机场北路,3室2厅 | 118平米 | 南 | 精装 | 低楼层(共15层)  | 暂无数据,3人关注 / 一年前发布,295,"25,000元/平"
户型方正，全明格局，视野好，楼间距大，无遮挡,学府水岸小区 -轮渡路,3室2厅 | 102.6平米 | 南 | 简装 | 高楼层(共25层)  | 塔楼,3人关注 / 6个月以前发布,276,"26,901元/平"
