标题,开发商,房子信息,发布信息,售价/万,单价
龙湖澜岸小区三室两厅两卫，户型方正，适合居住,龙湖澜岸 -华龙区,3室2厅 | 126.36平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,77,"6,094元/平"
房子精装修 采光很好  有地下室 有车位,建业桂园 -华龙区,2室2厅 | 87平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,6人关注 / 7个月以前发布,67,"7,702元/平"
中堂府邸，电梯洋房，公摊小，出行方便,中堂府邸 -濮阳县,3室1厅 | 139平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,67.9,"4,885元/平"
万基·花香四季 3室2厅 东,万基·花香四季 -濮阳县,3室2厅 | 129.8平米 | 东 | 毛坯 | 低楼层(共18层)  | 暂无数据,1人关注 / 4个月以前发布,62,"4,777元/平"
绿化多。交通便利。道路宽敞。离湖边近，散步可到,建业森林半岛 -华龙区,3室2厅 | 137.28平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,125,"9,106元/平"
此房满X年，此房满X年，环卫局家属院72平两室一厅,环卫局家属院 -华龙区,2室1厅 | 72平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,40,"5,556元/平"
龙湖澜岸三室两厅一厨一卫，业主诚心出售,龙湖澜岸 -华龙区,3室2厅 | 110平米 | 南 北 | 其他 | 低楼层(共26层)  | 板楼,2人关注 / 11个月以前发布,65,"5,910元/平"
龙湖壹号新时代 湖景房  三室两厅两卫,龙湖壹号新时代 -华龙区,3室2厅 | 141平米 | 南 北 | 其他 | 高楼层(共25层)  | 板塔结合,8人关注 / 5个月以前发布,112,"7,944元/平"
非凡景致小区电梯15楼，精装修，采光好，拎包入住，,非凡景致小区 -华龙区,3室2厅 | 128平米 | 南 | 其他 | 高楼层(共16层)  | 暂无数据,0人关注 / 3个月以前发布,91,"7,110元/平"
星河湾湖景房三室两厅两卫看房方便,星河湾 -华龙区,3室2厅 | 149.29平米 | 南 北 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,138,"9,244元/平"
石化四厂家属院，步梯二楼，三室精装，拎包入住，,石化四厂家属院 -华龙区,3室2厅 | 86.65平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 4个月以前发布,62,"7,156元/平"
，装修风格简单温馨，您可以选择直接拎包入住,花半里二期 -华龙区,3室2厅 | 128平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,90,"7,032元/平"
房子精装修，户型方正，中间楼层，采光充足,技术监督局住宅楼 -华龙区,3室2厅 | 115.9平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,88,"7,593元/平"
德胜国际三室两厅两卫户型方正，交通便利,德胜国际 -濮阳县,3室2厅 | 123平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,4人关注 / 9个月以前发布,52,"4,228元/平"
绿洲风景 4室2厅 南 北,绿洲风景 -华龙区,4室2厅 | 178平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,110,"6,180元/平"
房子格局好户型方正，满北通透，格局好,师苑小区 -华龙区,2室2厅 | 73.36平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,52,"7,089元/平"
医药公司家属院（石化东路） 3室1厅 南 北,医药公司家属院（石化东路） -华龙区,3室1厅 | 84.84平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,45,"5,305元/平"
龙城国际三室电梯房，采光好楼层好毛坯随意装支持贷款,龙城国际西区 -华龙区,3室2厅 | 108.11平米 | 东南 | 毛坯 | 高楼层(共33层)  | 暂无数据,1人关注 / 7个月以前发布,60,"5,550元/平"
房子是步梯四楼精装修的三居室，支持贷款，有地下室！,盟东新区 -华龙区,3室2厅 | 94.63平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,72,"7,609元/平"
思达电子厂家属院，精装修四室两厅两卫，看房方便,思达电子厂家属院 -华龙区,4室2厅 | 129平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 5个月以前发布,80,"6,202元/平"
工行家属院小区三大三室的房子出行方便，随时可以看房,油田工行家属院南院 -华龙区,3室2厅 | 106平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,90,"8,491元/平"
华清文苑 3室 小区环境优美 看房方便,华清文苑一期 -华龙区,3室1厅 | 98平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,64,"6,531元/平"
小区出行方便，交通便利。居住方便舒适,东方花园一期 -华龙区,2室1厅 | 78平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,59,"7,565元/平"
龙润华府濮北新区电梯洋房三楼东边户,龙润华府 -清丰县,3室2厅 | 130平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,58,"4,462元/平"
龙湖澜岸三室两厅精装修业主诚心出售,龙湖澜岸 -华龙区,3室2厅 | 108平米 | 南 北 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 2个月以前发布,78,"7,223元/平"
水岸星城 3室2厅 南 北,水岸星城 -华龙区,3室2厅 | 107平米 | 南 北 | 其他 | 中楼层(共22层)  | 塔楼,0人关注 / 4个月以前发布,74.8,"6,991元/平"
建业新城，两室两厅，毛坯房，电梯房，契税满两年,建业新城 -华龙区,2室2厅 | 87平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,6人关注 / 4个月以前发布,47.5,"5,460元/平"
中堂观邸，三室两厅，一厨一卫交通便利，小区环境干净,中堂观邸 -濮阳县,3室2厅 | 97平米 | 西 | 其他 | 高楼层(共17层)  | 暂无数据,2人关注 / 一年前发布,48,"4,949元/平"
洪翠园 3室2厅 交通便利 小区环境干净舒适 适合居住,洪翠园 -濮阳县,3室2厅 | 122.62平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,58,"4,731元/平"
此房已经满五年了，价位低，地理位置佳，业主诚心出售,红旗小区 -濮阳县,3室2厅 | 98平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,1人关注 / 10个月以前发布,35,"3,572元/平"
交通便利小区环境干净舒适适合居住,建业新城 -华龙区,3室2厅 | 114.07平米 | 西 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 2个月以前发布,68,"5,962元/平"
心怡花园，三室两厅两卫，成熟小区，配套齐全，出行方,心怡花园 -濮阳县,3室2厅 | 120平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,3人关注 / 9个月以前发布,45,"3,750元/平"
建业新城小区 3室2厅 交通便利 小区环境干净舒适,建业新城三期 -华龙区,3室2厅 | 142平米 | 南 | 毛坯 | 中楼层(共25层)  | 暂无数据,1人关注 / 一年前发布,85,"5,986元/平"
法院家属院小区，户型方正，通透性好，采光不错,法院家属院 -华龙区,3室2厅 | 124平米 | 东 西 | 其他 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,78,"6,291元/平"
翰林世家一楼带院 毛坯现房 户型方正 南北通透 采光好,翰林世家 -华龙区,3室2厅 | 116平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,1人关注 / 7个月以前发布,87,"7,500元/平"
兴乐花园小区三室两厅两卫，交通便利小区环境干净舒适,兴乐花园 -南乐县,3室2厅 | 138平米 | 南 | 精装 | 高楼层(共16层)  | 板塔结合,2人关注 / 一年前发布,75,"5,435元/平"
南城都市花园108平三室两厅一卫,龙城花园南区 -濮阳县,3室2厅 | 108平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,43,"3,982元/平"
"出行方便，户型方正，居住方便舒适,",瑞景新城 -华龙区,2室2厅 | 90.12平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,68,"7,546元/平"
昆濮尚城 精装3室 地理位置佳 看房方便,昆濮尚城 -华龙区,3室2厅 | 125平米 | 南 北 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 4个月以前发布,106,"8,480元/平"
桃源里三室两厅一厨两卫，户型好,冶都桃源里 -清丰县,3室2厅 | 129平米 | 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,1人关注 / 7个月以前发布,70,"5,427元/平"
和枫雅居小区，四室两厅一厨一卫，一楼带院,汇丰和枫雅居 -华龙区,4室2厅 | 120平米 | 西 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,145,"12,084元/平"
泰和花园。交通便利。有幼儿园出行方便。初中门市很多,泰和花园北区 -华龙区,3室2厅 | 131平米 | 南 | 其他 | 中楼层(共12层)  | 板楼,1人关注 / 8个月以前发布,118,"9,008元/平"
四季果岭小区3室两厅，交通便利小区环境干净，舒适,四季果岭 -华龙区,3室2厅 | 113.93平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,73,"6,408元/平"
建业春天里小区 四室两厅交通便利 小区环境干净舒适,建业春天里2期 -濮阳县,4室2厅 | 147平米 | 西 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 10个月以前发布,83,"5,647元/平"
交通便利 小区环境干净舒适 适合居住,龙城花园北区 -濮阳县,2室1厅 | 80.85平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,33,"4,082元/平"
建业城，三室，公摊小，小区物业好，交通方便,建业城1期 -濮阳县,3室2厅 | 127.06平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,59,"4,644元/平"
建业春天里电梯洋房  3室2厅2卫  一楼带院,建业春天里2期 -濮阳县,3室2厅 | 116.9平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,88,"7,528元/平"
都市花园 步梯五楼 两室中装 带家具家电,都市花园小区 -华龙区,2室2厅 | 88.08平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,62,"7,040元/平"
引黄处家属院，楼层低，三室朝阳，户型好，南北通透,引黄处家属院 -华龙区,3室1厅 | 81.7平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 7个月以前发布,80,"9,792元/平"
三室两厅两卫，交通便利，小区环境干净舒适，适合居住,泰和新城 -南乐县,3室2厅 | 126平米 | 西 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 10个月以前发布,66,"5,239元/平"
都市花园 步梯五楼 两室中装 带家具家电,都市花园小区 -华龙区,2室2厅 | 88.08平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,62,"7,040元/平"
弘毅立方郡小区环境好业主诚心出售看房子房便,弘毅立方郡 -华龙区,2室1厅 | 50.5平米 | 南 | 其他 | 高楼层(共9层)  | 暂无数据,1人关注 / 3个月以前发布,52,"10,298元/平"
房评标题，和谐花园小区，交通方便，小区环境干净舒,和谐花园 -濮阳县,2室2厅 | 81.74平米 | 西 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,44.8,"5,481元/平"
房子满二唯一 ，中间楼层，明月湖公园旁，小区环境好,冶都中央公园 -清丰县,2室1厅 | 95平米 | 东 西 | 精装 | 中楼层(共21层)  | 暂无数据,0人关注 / 7个月以前发布,55,"5,790元/平"
盘锦花园两室一厅一通便链小区环境干净舒适,盘锦花园 -华龙区,2室1厅 | 70平米 | 南 北 | 简装 | 中楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,55,"7,858元/平"
四季花城，两室一厅的房子，精装修,四季花城 -华龙区,2室1厅 | 65平米 | 南 | 精装 | 高楼层(共22层)  | 暂无数据,0人关注 / 5个月以前发布,42.5,"6,539元/平"
龙城新村，步梯5楼，2室1厅1厨1卫,龙城新村 -濮阳县,2室1厅 | 84平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,36,"4,286元/平"
华府山水精装修家具家电齐全位置好，出行方便带地下室,华府山水 -华龙区,2室2厅 | 89.9平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,67,"7,453元/平"
绿景花园精装两室明厨明卫首付低单价低,绿景花园 -华龙区,2室1厅 | 89.98平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,73.5,"8,169元/平"
铁三局家属院两室一厅一卫业主诚心出售,铁三局职工家属院 -华龙区,2室1厅 | 69.31平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 6个月以前发布,55.5,"8,008元/平"
华府山水   精装修  带家具家电  房子很干净,华府山水 -华龙区,1室2厅 | 62.97平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,9人关注 / 4个月以前发布,45.8,"7,274元/平"
盘锦花园小区电梯房，一提两户。两室两厅，一厨两卫。,盘锦花园 -华龙区,2室2厅 | 103平米 | 南 北 | 简装 | 中楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,78,"7,573元/平"
此房两室一厅，户型方正，南北通透，交通便利，,中心小区（胜利中路） -华龙区,2室1厅 | 67.5平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 4个月以前发布,46,"6,815元/平"
南乐县城泰和新城三室两厅一卫中等装修,泰和新城 -南乐县,3室1厅 | 110平米 | 西 | 简装 | 中楼层(共12层)  | 暂无数据,0人关注 / 2个月以前发布,65,"5,910元/平"
凌云小区步梯二楼业主诚心出售8月20号租户到期,凌云小区 -华龙区,2室1厅 | 53平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 6个月以前发布,40,"7,548元/平"
慧竹丽景两室一厅，精装修，交通便利,慧竹丽景 -华龙区,2室1厅 | 74平米 | 东 | 精装 | 中楼层(共16层)  | 板楼,3人关注 / 7个月以前发布,51,"6,892元/平"
龙城国际西区 2室1厅 南,龙城国际西区 -华龙区,2室1厅 | 85.57平米 | 南 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 6个月以前发布,56,"6,545元/平"
支持首付   全款贷款都支持  看房提前打电话 电梯房,东城花园 -华龙区,2室2厅 | 97.02平米 | 南 北 | 简装 | 中楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,68,"7,009元/平"
四季果岭小区二室一厅一厨一卫小区环境优雅成熟小区,四季果岭 -华龙区,2室1厅 | 62.3平米 | 北 | 其他 | 低楼层(共18层)  | 塔楼,1人关注 / 3个月以前发布,42,"6,742元/平"
庆北南区  交通便利 小区环境干净舒适 适合居住,庆北小区 -华龙区,2室1厅 | 55.57平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 2个月以前发布,39,"7,019元/平"
光明小区两室一厅一卫，交通便利，小区环境干净舒适，,光明小区 -华龙区,2室1厅 | 58平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,1人关注 / 5个月以前发布,30,"5,173元/平"
中央城精装修小户型家具家电齐全基本都是全新,中央城 -华龙区,1室1厅 | 46.61平米 | 东 南 | 其他 | 中楼层(共24层)  | 暂无数据,1人关注 / 7个月以前发布,36,"7,724元/平"
城上城小区，小区环境优美适合老人和小孩居住。,城上城 -华龙区,2室1厅 | 65平米 | 西北 | 其他 | 高楼层(共24层)  | 塔楼,0人关注 / 5个月以前发布,55,"8,462元/平"
公园一品精装修两室好楼层有证产权清晰,公园一品 -濮阳县,2室2厅 | 74.56平米 | 南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 2个月以前发布,42,"5,634元/平"
超越小区 两室一厅 交通便利 小区环境干净舒适,超越小区 -华龙区,2室1厅 | 58平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 4个月以前发布,43,"7,414元/平"
房子户型好，格局好，经典户型南北通透两室一厅一般装,四季果岭 -华龙区,2室2厅 | 76.5平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 7个月以前发布,54,"7,059元/平"
交通便利 小区环境干净舒适 适合居住,龙城新村 -濮阳县,2室1厅 | 84平米 | 西 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,42,"5,000元/平"
采油五厂家属院，精装修，家居家电齐全,中原油田分公司濮东采油厂家属区 -濮阳县,2室1厅 | 57.85平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,2人关注 / 7个月以前发布,25,"4,322元/平"
交通便利 小区环境干净舒适 适合居住,心怡花园 -濮阳县,2室2厅 | 91平米 | 西 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,52,"5,715元/平"
添运小区位置好，房子已满5年不唯一！户型方正！,添运小区(南海路) -华龙区,2室1厅 | 50.89平米 | 南 北 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 6个月以前发布,47,"9,236元/平"
房子正在出售 小区都是1室2室  没有三,四季花城 -华龙区,2室1厅 | 65平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,52,"8,000元/平"
干城小区 南北通透 随时看房  随时签约,干城小区 -华龙区,2室1厅 | 57.87平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 8个月以前发布,46,"7,949元/平"
