标题,开发商,房子信息,发布信息,售价/万,单价
自在澜湾空中别墅，西面看湖，东面观海。,自在澜湾 -荣成市,4室3厅 | 205.8平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 塔楼,104人关注 / 一年前发布,110,"5,345元/平"
急售华夏石榴花园带电梯两室位置楼层好有山有水有塔,石榴东花园 -华夏,2室2厅 | 84.58平米 | 南 北 | 简装 | 低楼层(共10层)  | 板楼,7人关注 / 一年前发布,68,"8,040元/平"
龙跃国际精装三室诚意出售随时看房,龙跃国际 -九龙湾,3室2厅 | 93.01平米 | 南 北 | 精装 | 中楼层(共23层)  | 板楼,36人关注 / 一年前发布,102.8,"11,053元/平"
滨海龙城 精装 拎包入住 多层小三居室,滨海龙城 -蒿泊,3室1厅 | 78.14平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,105,"13,438元/平"
蓝天广场三室，盛德世纪家园，高区政务大楼旁，100平,蓝天广场 -海水浴场,3室1厅 | 100.37平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,102,"10,163元/平"
市中间， 就学方便，医院在北处，万达广场旁边 。,望海园永康里 -望岛,2室1厅 | 68.57平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,66,"9,626元/平"
急售华夏石榴花园带电梯两室位置楼层好有山有水有塔,石榴东花园 -华夏,2室2厅 | 84.58平米 | 南 北 | 简装 | 低楼层(共10层)  | 板楼,7人关注 / 一年前发布,68,"8,040元/平"
滨海龙城 精装 拎包入住 多层小三居室,滨海龙城 -蒿泊,3室1厅 | 78.14平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,105,"13,438元/平"
蓝天广场三室，盛德世纪家园，高区政务大楼旁，100平,蓝天广场 -海水浴场,3室1厅 | 100.37平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,102,"10,163元/平"
龙跃国际精装三室诚意出售随时看房,龙跃国际 -九龙湾,3室2厅 | 93.01平米 | 南 北 | 精装 | 中楼层(共23层)  | 板楼,36人关注 / 一年前发布,102.8,"11,053元/平"
竹岛  陶家夼社区   住人三楼 南北通透,陶家夼社区 -竹岛,2室2厅 | 63.12平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 11个月以前发布,56.8,"8,999元/平"
九龙城商圈 阳光海上城89.49平 南向 采光好 全明户型,阳光海上城 -九龙湾,2室2厅 | 89.49平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,39人关注 / 一年前发布,86,"9,611元/平"
紫薇花园 多层精装 三室边户 一楼带院 南北通透 全明,紫薇花园 -华夏,3室2厅 | 93.14平米 | 南 北 西 | 精装 | 低楼层(共6层)  | 板楼,14人关注 / 一年前发布,105,"11,274元/平"
紫藤花园小高层五楼  两室带一个储藏室有电梯,紫藤花园 -华夏,2室2厅 | 74.83平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 5个月以前发布,72.5,"9,689元/平"
：电梯房9楼拎包入住通透两室简单装修拎包入住,玫瑰花园 -华夏,2室2厅 | 93平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,2人关注 / 8个月以前发布,79.8,"8,581元/平"
西郊春山华居西区多层顶楼简单装修配套齐全,西郊春山华居西区 -田村（田和）,2室2厅 | 66.75平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,58.7,"8,795元/平"
华润湾九里 精装两居 南北通透 东边户全明户型,华润威海湾九里 -竹岛,2室1厅 | 89.99平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,12人关注 / 一年前发布,121,"13,446元/平"
城南人家多层2楼，精装修全明通透无大税,城南人家 -临港区,2室2厅 | 73.34平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,14人关注 / 一年前发布,48,"6,545元/平"
临大花瓶 东边户 3室全明户型 拎包入住 生活配套齐全,银河海景御花园 -银滩旅游度假区,3室2厅 | 114.16平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,11人关注 / 一年前发布,39.8,"3,487元/平"
湾九里经典南北两居户型 视野开阔精装修拎包入住,华润威海湾九里 -竹岛,2室1厅 | 92.02平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 10个月以前发布,135,"14,671元/平"
一线海景房 三室二卫 全明户型  水电暖改好了,信泰龙润 -九龙湾,3室2厅 | 150.85平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,14人关注 / 一年前发布,146,"9,679元/平"
小城故事西侧 一楼三室 精装带储藏室,小城熙苑 -天东&南曲阜,3室2厅 | 92.65平米 | 南 北 | 精装 | 低楼层(共13层)  | 板楼,4人关注 / 一年前发布,83,"8,959元/平"
此房满五，南北通透，采光好拎包入住,陶家夼社区 -竹岛,2室2厅 | 64.05平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,46.8,"7,307元/平"
采光好 交通便利 配套齐全    有钥匙看房方便,四方社区 -竹岛,2室1厅 | 66.87平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,59.4,"8,883元/平"
竹岛四方路陶家夼矮楼层2楼两室房,陶家夼社区 -竹岛,2室1厅 | 68.42平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,61,"8,916元/平"
永安街大平方，三室两厅，业主一手装修，84.8万,天福社区园 -文登市区,3室2厅 | 133平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,83,"6,241元/平"
大拇指广场后身忆海苑小区88平米两室两厅,忆海苑 -银滩旅游度假区,2室1厅 | 88.7平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,6人关注 / 1个月以前发布,14.2,"1,601元/平"
美庐苑 多层住人2楼 两室南北通透 带储藏室 毛坯房,美庐苑小区 -天东&南曲阜,2室1厅 | 70平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,53.8,"7,686元/平"
精装电梯南向采光好位置好温泉入户海景房,海裕城 -环翠楼,2室1厅 | 70.45平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,12人关注 / 一年前发布,88.5,"12,563元/平"
满两年 西南向 毛坯有钥匙 电梯两室,金城尚珑海域 -海水浴场,2室2厅 | 81.08平米 | 南 西 | 毛坯 | 中楼层(共18层)  | 板楼,9人关注 / 一年前发布,80,"9,867元/平"
世昌大道 现代家园 多层框架 精装修  边户,现代家园 -田村（田和）,3室2厅 | 123.3平米 | 南 西 北 | 简装 | 中楼层(共7层)  | 板楼,11人关注 / 一年前发布,107.8,"8,743元/平"
九龙湾封闭小区，多层住宅，南北通透好楼层，带储藏室,华能威海电厂小区 -九龙湾,3室2厅 | 89.15平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,6人关注 / 10个月以前发布,48,"5,385元/平"
戚家夼社区 双证齐全 南北通透 采光好 4楼,戚家夼社区 -竹岛,2室1厅 | 61平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,48,"7,869元/平"
海水浴场，海信海景壹号，公园大海之间的家,海景壹号 -海水浴场,3室2厅 | 135.95平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,1人关注 / 3个月以前发布,230.5,"16,955元/平"
四方路塔山十中塔山小区四楼东边户户型好带储藏室出售,塔山中路 -环翠楼,3室2厅 | 124.74平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,133.8,"10,727元/平"
悦海世家旁悦海花园二期2020年交付的新小区 可看海,悦海花园二期 -悦海,3室2厅 | 148.74平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 暂无数据,1人关注 / 6个月以前发布,228,"15,329元/平"
四方路塔山十中塔山小区四楼东边户户型好带储藏室出售,塔山中路 -环翠楼,3室2厅 | 124.74平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,133.8,"10,727元/平"
新都花园一区 框架结构 好楼层 三室 南北通透,新都花园一区 -凤林&宋家洼,3室1厅 | 78.83平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,85,"10,783元/平"
经区海景洋房建东悦海湾150.42平375万带车位,建东悦海湾 -悦海,3室2厅 | 150.42平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,6人关注 / 8个月以前发布,374,"24,864元/平"
经区新都一区2008年框架房 81平2室南北通透卫生间带窗,新都花园一区 -凤林&宋家洼,2室2厅 | 81.34平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,89,"10,942元/平"
大岚寺小区 西边户 大方厅 三室  带草厦子 出售,大岚寺生活小区 -寨子,3室2厅 | 98.8平米 | 南 北 西 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 8个月以前发布,65,"6,579元/平"
阮家寺 二楼带储藏室，西边户，经典三室，双阳台,阮家寺生活小区 -寨子,3室1厅 | 80.15平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,11人关注 / 一年前发布,56,"6,987元/平"
天福社区园大两室精装修未住，住人一楼，看房方便,天福社区园 -文登市区,2室2厅 | 111平米 | 东 北 南 | 精装 | 低楼层(共7层)  | 暂无数据,2人关注 / 10个月以前发布,68.8,"6,199元/平"
天润城 精装修2室1厅1卫 电梯房,天润城居民小区 -文登市区,2室2厅 | 87.15平米 | 北 南 | 精装 | 中楼层(共12层)  | 板楼,3人关注 / 一年前发布,68.3,"7,838元/平"
山海华府 高档封闭小区 上叠 毛坯 有院 大露台可看海,山海華府 -孙家疃,3室2厅 | 163.77平米 | 南 北 | 毛坯 | 上叠(共4层)  | 板楼 | 叠拼别墅 ,30人关注 / 一年前发布,300,"18,319元/平"
经区翡翠城A区 电梯房三室精装修 采光好 交通便利,翡翠城A区 -天东&南曲阜,3室2厅 | 111.12平米 | 南 | 精装 | 高楼层(共9层)  | 板楼,10人关注 / 一年前发布,98,"8,820元/平"
北宫街小区3-1-1-1 70.00m²，随时看房,北宫街小区 -文登市区,3室1厅 | 70平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,28,"4,000元/平"
百合世家9楼东边户   南北通透   精装拎包入住,百合世家 -华夏,2室1厅 | 76.08平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,7人关注 / 一年前发布,79,"10,384元/平"
房东诚心出售海滨南路皇冠中区三室视野佳！89平85.3万,海滨南路 -皇冠,3室2厅 | 89.26平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,79.8,"8,941元/平"
天润城 封闭小区 大润发 利群 生活配套齐全,天润城居民小区 -文登市区,3室2厅 | 195.95平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,7人关注 / 一年前发布,78,"3,981元/平"
楼层好 采光充足  顶楼阁楼 带南向的车库 带大平台,新都花园一区 -凤林&宋家洼,4室2厅 | 111平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 11个月以前发布,92,"8,289元/平"
华夏宅库花园多层好楼层出门就是市场生活方便交通方便,宅库花园小区 -华夏,3室1厅 | 64.43平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,54,"8,382元/平"
新都精装修 全新大三居 三室朝阳 全明通透,新都花园二区 -凤林&宋家洼,3室2厅 | 109.24平米 | 南 西 北 | 精装 | 高楼层(共7层)  | 板楼,71人关注 / 一年前发布,93,"8,514元/平"
秀山公园山下抱山街3楼，70左右平，全屋品牌家具家电,抱山街 -文登市区,2室2厅 | 72.32平米 | 南 | 精装 | 中楼层(共4层)  | 暂无数据,5人关注 / 一年前发布,38.5,"5,324元/平"
青岛路边新都小区 顶加阁带露台户型好采光好,新都花园二区 -凤林&宋家洼,4室2厅 | 104平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,6人关注 / 8个月以前发布,74.8,"7,193元/平"
经区九龙湾多层三居精装修南北通透带飘窗,富海家园 -九龙湾,3室2厅 | 84.6平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 10个月以前发布,76,"8,984元/平"
塔山 戚家夼社区  精装2居  南北通透  采光好,戚家夼社区 -竹岛,2室1厅 | 62.98平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,6人关注 / 一年前发布,50,"7,940元/平"
带院子可停车种菜，前面没有遮挡，通风采光不错,柳沟花园小区 -张村,4室2厅 | 158.28平米 | 南 北 | 简装 | 2层  | 板楼 | 双拼别墅 ,16人关注 / 一年前发布,205,"12,952元/平"
市政供暖维利亚小区步梯3楼三室全明,维利亚花园 -银滩旅游度假区,3室2厅 | 95.45平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,37,"3,877元/平"
九龙华发齐鲁老集东海路大庆路海林依景二室二厅一卫,海林依景 -九龙湾,2室2厅 | 108.64平米 | 东南 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,90,"8,285元/平"
临港区上海大公馆花园洋房顶2毛坯,上海大公馆 -临港区,3室2厅 | 99.57平米 | 南 北 | 毛坯 | 低楼层(共1层)  | 板楼,8人关注 / 一年前发布,60,"6,026元/平"
户型南北朝向的 无遮挡 采光好 视野开阔，看房方便,北宫盛世花园 -文登市区,2室2厅 | 96.9平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,54.5,"5,625元/平"
柴峰 黄家沟 北区精装修好楼层   南向外开门储,黄家沟小区 -田村（田和）,2室1厅 | 68.56平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,59.8,"8,723元/平"
天富泰和苑小高层电梯6楼 南向 2室户型方正采光明亮,天富泰合苑 -田村（田和）,2室1厅 | 57.71平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,31人关注 / 一年前发布,48,"8,318元/平"
一楼带小院 经区 新都 齐鲁商城旁边 三室两厅一卫,福源居 -凤林&宋家洼,3室2厅 | 99.11平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,145,"14,631元/平"
峰山花园框架楼电梯小高层住人四楼，楼层好户型佳,峰山花园 -文登市区,2室1厅 | 102.31平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,56,"5,474元/平"
带院子可停车种菜，前面没有遮挡，通风采光不错,柳沟花园小区 -张村,4室2厅 | 158.28平米 | 南 北 | 简装 | 2层  | 板楼 | 双拼别墅 ,16人关注 / 一年前发布,205,"12,952元/平"
经区九龙湾多层三居精装修南北通透带飘窗,富海家园 -九龙湾,3室2厅 | 84.6平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 10个月以前发布,76,"8,984元/平"
旅游惠园公寓 六楼顶二 简单装修可拎包入住 北向,旅游惠园公寓 -海水浴场,3室2厅 | 128.48平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 8个月以前发布,98.8,"7,690元/平"
九龙华发齐鲁老集东海路大庆路海林依景二室二厅一卫,海林依景 -九龙湾,2室2厅 | 108.64平米 | 东南 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,90,"8,285元/平"
市政供暖维利亚小区步梯3楼三室全明,维利亚花园 -银滩旅游度假区,3室2厅 | 95.45平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,37,"3,877元/平"
竹岛一楼，满五好房！52平42万,沧口路小区 -竹岛,2室1厅 | 51.68平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,4人关注 / 5个月以前发布,45.8,"8,863元/平"
高层一览海景房，无遮挡，尽情晒太阳,保利红叶谷 -竹岛,2室1厅 | 77.66平米 | 南 | 毛坯 | 高楼层(共24层)  | 板楼,5人关注 / 一年前发布,89,"11,461元/平"
竹岛四方路精装中楼层两室南北通透免费停车南向草厦子,四方社区 -竹岛,2室1厅 | 60.25平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,6人关注 / 11个月以前发布,57.8,"9,594元/平"
华新家园多层四楼精装修，洗手间带窗户，有储藏室,华新家园 -凤林&宋家洼,2室1厅 | 69.04平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,57.8,"8,372元/平"
华发九龙湾一期一楼带下跃复式六室三卫，楼座位置安静,华发九龙湾一期 -九龙湾,6室4厅 | 131.45平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,16人关注 / 一年前发布,288,"21,910元/平"
精装修，人车分流，装修保持的好。,蓝星万象城 -皇冠,2室1厅 | 91.12平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 8个月以前发布,138,"15,145元/平"
世昌大道南欧乐坊商圈，多层住人1楼，精装未住3室2卫,福山路 -田村（田和）,3室2厅 | 91.17平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 3个月以前发布,79.6,"8,731元/平"
东骏阅山，顶加阁，毛坯。房东着急出售！！！,东骏阅山 -天东&南曲阜,3室1厅 | 76.65平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,59.8,"7,802元/平"
南北通透精装多层三居可拎包入住,华辉东方城 -张村,3室2厅 | 90平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,95,"10,556元/平"
三室两厅两卫，南北通透，威海一中西边,凤凰城二期 -卧龙山,3室2厅 | 137.76平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,150,"10,889元/平"
田村西区精装修配套齐全交通便利,田村A区西区 -田村（田和）,2室1厅 | 75.24平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,63.6,"8,453元/平"
蔚海新天地商品房 多层五楼 三室带储藏室 户型方正！,蔚海新天地 -天东&南曲阜,3室2厅 | 83.89平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,74.5,"8,881元/平"
