标题,开发商,房子信息,发布信息,售价/万,单价
名仕康城.小区绿化好.楼层好.采光好.户型南北通透,名仕康城 -大市场商圈,4室2厅 | 143.82平米 | 南 北 | 毛坯 | 高楼层(共19层)  | 板塔结合,14人关注 / 一年前发布,81,"5,633元/平"
三江信州府 3室2厅 南,三江信州府 -大市场商圈,3室2厅 | 129平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 12天以前发布,110,"8,528元/平"
阳光福邸 3室2厅 南 北,阳光福邸 -七六路商圈,3室2厅 | 132.36平米 | 南 北 | 毛坯 | 高楼层(共13层)  | 板塔结合,0人关注 / 4天以前发布,94,"7,102元/平"
视野开阔，户型设计合理，户型通透，业主诚心出售,上坤·滨江四季 -大市场商圈,3室2厅 | 115.85平米 | 南 | 毛坯 | 中楼层(共9层)  | 暂无数据,0人关注 / 8天以前发布,110,"9,496元/平"
小户型大风景，俯瞰小区美景，温馨小三房,汇成观邸 -行政中心商圈,3室2厅 | 87.59平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 12天以前发布,83,"9,476元/平"
福达家园 3室2厅 南,福达家园 -十一小商圈,3室2厅 | 115平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 10天以前发布,92,"8,000元/平"
视野开阔，户型设计合理，户型通透，业主诚心出售,上坤·滨江四季 -大市场商圈,3室2厅 | 115.85平米 | 南 | 毛坯 | 中楼层(共9层)  | 暂无数据,0人关注 / 8天以前发布,110,"9,496元/平"
新上房源、楼层好、精装修、生活便利、交通便捷,碧桂园天樾 -商贸城商圈,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 9天以前发布,140,"11,865元/平"
阳光福邸 3室2厅 南 北,阳光福邸 -七六路商圈,3室2厅 | 132.36平米 | 南 北 | 毛坯 | 高楼层(共13层)  | 板塔结合,0人关注 / 4天以前发布,94,"7,102元/平"
房子满五唯一，楼层好南北通透，交通便利。,北園 -大市场商圈,4室2厅 | 163.8平米 | 南 北 | 简装 | 中楼层(共7层)  | 塔楼,0人关注 / 8天以前发布,120,"7,327元/平"
新上房+毛坯+单价低+新小区+诚心售,碧桂园天樾 -商贸城商圈,4室2厅 | 143.57平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 12天以前发布,117.8,"8,206元/平"
铁路螺丝山精装修2房带家具家电急售,螺丝山路 -十一小商圈,2室1厅 | 52.79平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1天以前发布,59.8,"11,328元/平"
上海广场电梯房出售，楼层好，价格实惠！,上海广场 -商贸城商圈,3室2厅 | 89.12平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 6天以前发布,67,"7,518元/平"
小区在经开高中边上，小区环境好，出行便捷。,龙都尚品 -经开区商圈,3室2厅 | 118.62平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 4天以前发布,85,"7,166元/平"
翼天城 3室2厅 南,翼天城 -十一小商圈,3室2厅 | 117平米 | 南 | 毛坯 | 低楼层(共18层)  | 平房,0人关注 / 4天以前发布,102,"8,718元/平"
上饶市政板块带入户花园随时可看房满2年房东诚心出售,汇成观邸 -行政中心商圈,3室2厅 | 99平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 8天以前发布,96,"9,697元/平"
万达商圈 交通便捷 繁华地带 御景新苑南二区 朝南好房,御景新苑南二区 -亿升商圈,3室2厅 | 116.4平米 | 南 | 简装 | 中楼层(共18层)  | 塔楼,0人关注 / 10天以前发布,115,"9,880元/平"
东升公寓 2室2厅 南,东升公寓 -十一小商圈,2室2厅 | 106.16平米 | 南 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 10天以前发布,70,"6,594元/平"
凤凰主干道  简单装修 户型端 满五唯一,翡翠城 -经开区商圈,3室2厅 | 115.3平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 5天以前发布,73,"6,332元/平"
新房源+诚心卖+单价低+中间层+钥匙+视野好,晶科滨江1号 -上饶高铁站商圈,3室2厅 | 107平米 | 南 北 | 毛坯 | 中楼层(共10层)  | 暂无数据,0人关注 / 15天以前发布,101,"9,440元/平"
友邦壹号公馆，东边套视野好，中间楼层,友邦壹号公馆 -十一小商圈,4室2厅 | 135.45平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 11天以前发布,170,"12,551元/平"
业主诚意出售，看房方便，近紫阳公园,紫景園 -紫阳商圈,3室1厅 | 136.34平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 6天以前发布,116,"8,509元/平"
上下两层的使用面积 产证满二税费低 带院子,和锦園 -行政中心商圈,5室2厅 | 116平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,0人关注 / 7天以前发布,135,"11,638元/平"
市政府旁新天地，总价低，孩子读书方便,新天第凤凰小区 -行政中心商圈,4室2厅 | 162.67平米 | 东南 | 毛坯 | 中楼层(共12层)  | 板楼,1人关注 / 一年前发布,110,"6,763元/平"
"怡和楼两房诚心出售,价美好谈。。",怡和楼 -十一小商圈,2室2厅 | 115平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,75.5,"6,566元/平"
全别墅小区。环境优美，适合居住，素质人群,珑山林·麓园 -经开区商圈,5室3厅 | 264.45平米 | 南 | 毛坯 | 低楼层(共4层)  | 暂无数据,0人关注 / 一年前发布,210,"7,942元/平"
县广场边上的步梯中层简装，房子户型端正，采光充足,天一尊邸 -经开区商圈,2室2厅 | 77.36平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,61.5,"7,950元/平"
位置好，读书就在边上，出行方便，总价低,旭日南大道81号 -旭日商圈,3室2厅 | 83.85平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,70,"8,349元/平"
好房推荐   一楼门面房可以营业,带湖路45号 -十一小商圈,3室2厅 | 106.9平米 | 南 | 简装 | 低楼层(共8层)  | 板楼,3人关注 / 11个月以前发布,99.8,"9,336元/平"
月泉花城 4室2厅 东南,月泉花城 -十一小商圈,4室2厅 | 140.26平米 | 东南 | 精装 | 高楼层(共6层)  | 塔楼,1人关注 / 一年前发布,122,"8,699元/平"
天居家园办公场所价优出售，方便看房,天居家园 -商贸城商圈,5室1厅 | 528.49平米 | 南 | 精装 | 低楼层(共15层)  | 塔楼,0人关注 / 一年前发布,489,"9,253元/平"
友邦名居 3室2厅 南,友邦名居 -旭日商圈,3室2厅 | 137.24平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 7个月以前发布,92,"6,704元/平"
博能信江府信江府位于信江边樱花公园旁视野开阔,博能信江府 -七六路商圈,6室2厅 | 334.98平米 | 东南 | 毛坯 | 3层  | 板塔结合 | 联排别墅 ,3人关注 / 一年前发布,465,"13,882元/平"
采光好，楼层好，环境好后面没遮挡。,天一尊邸 -经开区商圈,3室2厅 | 121.88平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,29人关注 / 一年前发布,85,"6,975元/平"
采光好，楼层好，环境好后面没遮挡。,天一尊邸 -经开区商圈,3室2厅 | 121.88平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,29人关注 / 一年前发布,85,"6,975元/平"
4a生态住区，洋房中高楼层，全明户型,十里风荷 -旭日商圈,3室2厅 | 129.92平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 5个月以前发布,99,"7,621元/平"
楼梯房中上楼层，采光好，大三房。,茂林雅轩 -旭日商圈,3室2厅 | 137.22平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,73.8,"5,379元/平"
天一尊邸  精装修  楼层好  采光好  拎包入住,天一尊邸 -经开区商圈,4室2厅 | 130.64平米 | 南 | 精装 | 中楼层(共22层)  | 板楼,2人关注 / 11个月以前发布,126,"9,645元/平"
瀚林院小区环境好电梯高层可看江景，看房方便随时,瀚林印象 -大市场商圈,3室2厅 | 122.13平米 | 南 北 | 毛坯 | 高楼层(共23层)  | 板楼,9人关注 / 一年前发布,89,"7,288元/平"
美地印象 现房 精装修 拎包入住,美地印象 -经开区商圈,3室2厅 | 142.3平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,5人关注 / 一年前发布,83,"5,833元/平"
一线江景房，空气好陪读自住离校近,丰溪路10号 -水南街商圈,3室2厅 | 105.87平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,63,"5,951元/平"
万达旁月泉花城毛坯大三居满五年诚心出售,月泉花城 -十一小商圈,3室2厅 | 106.73平米 | 南 | 简装 | 高楼层(共7层)  | 塔楼,0人关注 / 2个月以前发布,90,"8,433元/平"
东江汽运小区 3室2厅 南,东江汽运小区 -上饶高铁站商圈,3室2厅 | 141.78平米 | 南 | 毛坯 | 低楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,70,"4,938元/平"
单价低  阳光充足  生活便利,信江中路138号 -亿升商圈,3室1厅 | 123.13平米 | 南 | 简装 | 高楼层(共7层)  | 平房,6人关注 / 一年前发布,67.5,"5,483元/平"
中山路小面积步梯4楼，1楼有储物间，得房率高,三清路11号 -亿升商圈,2室2厅 | 78.58平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,62,"7,891元/平"
御景天下大三房不沿街，南北通透，采光好，毛坯好装修,御景天下 -行政中心商圈,3室2厅 | 134.48平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板楼,6人关注 / 一年前发布,139,"10,337元/平"
产证满5，  好楼层适合大众人群。配套齐全，交通便利,凤凰首府 -经开区商圈,2室1厅 | 90.61平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,54,"5,960元/平"
新天第难得的好户型，南北通透，采光良好,新天第凤凰小区 -行政中心商圈,4室2厅 | 163平米 | 南 北 | 毛坯 | 中楼层(共12层)  | 板楼,0人关注 / 11个月以前发布,110,"6,749元/平"
龙华世纪城中高楼层西边套，采光通风好,龙华世纪城 -行政中心商圈,3室2厅 | 125.81平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 一年前发布,112.8,"8,966元/平"
万和九龙湖 电梯中层 满二年 税费少 毛坯房,万和·九龙湖 -行政中心商圈,3室2厅 | 96.68平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,96,"9,930元/平"
新城吾悦广场4室2厅3卫房东急售,新城吾悦广场 -旭日商圈,4室2厅 | 165.38平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,1人关注 / 8个月以前发布,132,"7,982元/平"
两层复式楼、客厅高挑，户型方正，格局合理，看房方便,名仕康城二期 -大市场商圈,4室2厅 | 125.53平米 | 南 | 毛坯 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,136,"10,835元/平"
房子是复式层 跟别墅差不多 环境视野很棒,滨江上城 -万力商圈,3室2厅 | 183.99平米 | 南 北 | 毛坯 | 下叠(共5层)  | 板楼 | 叠拼别墅 ,26人关注 / 一年前发布,157,"8,534元/平"
金洋帆小区，万力时代旁边房东诚心买，二 小  四中旁,金洋帆名邸 -亿升商圈,3室2厅 | 143.51平米 | 南 | 简装 | 高楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,107.9,"7,519元/平"
业主置换诚心出售，有合适价格立马出手,明阳大学公馆 -大市场商圈,3室2厅 | 131.21平米 | 东南 | 毛坯 | 高楼层(共17层)  | 板塔结合,1人关注 / 9个月以前发布,95,"7,241元/平"
城市老广场处的心脏，交通方便即买即住，无抵,润丰广场 -亿升商圈,2室2厅 | 135.72平米 | 北 | 简装 | 中楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,90,"6,632元/平"
北门村巷268号老小区好房出售,北门村巷268号 -亿升商圈,3室2厅 | 140平米 | 南 西南 | 简装 | 高楼层(共5层)  | 板楼,1人关注 / 11个月以前发布,78,"5,572元/平"
金洋帆名邸 3室2厅 南,金洋帆名邸 -亿升商圈,3室2厅 | 129.42平米 | 南 | 简装 | 高楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,97.2,"7,511元/平"
：户型方正，南北格局，生活配套成熟，出行便利。,河中巷 -亿升商圈,3室2厅 | 108.54平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,6人关注 / 一年前发布,55,"5,068元/平"
逸夫小正面。过一条马路，生活便利，交通方便,中山西路135号 -亿升商圈,3室2厅 | 85.83平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,91,"10,603元/平"
紧靠市政府，视野无遮挡，产证满五唯一，税费低,月泉花城 -十一小商圈,3室2厅 | 131.43平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,16人关注 / 一年前发布,93,"7,077元/平"
诚心出售，精装修带车位四个空调，好楼层，视野好。,美地印象 -经开区商圈,4室2厅 | 159.9平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,1人关注 / 4个月以前发布,100,"6,254元/平"
满五唯一江景房，四米三层高，可利用率高,云天楼 -亿升商圈,2室2厅 | 109.5平米 | 东 西 | 简装 | 高楼层(共13层)  | 板塔结合,1人关注 / 7个月以前发布,70,"6,393元/平"
楼此房满五唯一，户型好，视野宽阔,信阳路3号 -亿升商圈,3室2厅 | 151.77平米 | 南 | 简装 | 高楼层(共9层)  | 暂无数据,0人关注 / 7个月以前发布,92,"6,062元/平"
城市老广场处的心脏，交通方便即买即住，无抵,润丰广场 -亿升商圈,2室2厅 | 135.72平米 | 北 | 简装 | 中楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,90,"6,632元/平"
怀玉谷优质别墅房东诚意出售，小区依山傍水环境好,怀玉谷 -水南街商圈,5室2厅 | 306.79平米 | 南 北 | 毛坯 | 2层  | 板楼 | 双拼别墅 ,3人关注 / 7个月以前发布,292,"9,518元/平"
金洋帆名邸 3室2厅 南,金洋帆名邸 -亿升商圈,3室2厅 | 129.42平米 | 南 | 简装 | 高楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,97.2,"7,511元/平"
紧靠市政府，视野无遮挡，产证满五唯一，税费低,月泉花城 -十一小商圈,3室2厅 | 131.43平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,16人关注 / 一年前发布,93,"7,077元/平"
吾悦广场旁步梯中层带60平大露台 露台出租收租2万,锦绣年华1期 -旭日商圈,3室2厅 | 106.58平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,1人关注 / 3个月以前发布,75,"7,037元/平"
美地印象三房两厅户型   毛坯    中高楼层  视野好,美地印象 -经开区商圈,3室2厅 | 117.48平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,1人关注 / 4个月以前发布,77,"6,555元/平"
龙华世纪城8栋1单元2401室的房源点评,龙华世纪城 -行政中心商圈,3室2厅 | 125.65平米 | 东南 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,113,"8,994元/平"
三卧室朝南 中楼层视野开阔采光佳南北通透 冬暖夏凉,金马楼 -亿升商圈,3室2厅 | 147.91平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,93,"6,288元/平"
品质小区坏境优美楼层好，视野宽阔，采光好,樱花半岛 -七六路商圈,3室2厅 | 147.4平米 | 东南 | 毛坯 | 高楼层(共16层)  | 板楼,0人关注 / 2个月以前发布,145,"9,838元/平"
近市政府，小区环境好，采光充足......,和锦園 -行政中心商圈,3室2厅 | 103.96平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,91,"8,754元/平"
九州奥城南北通透3房 产证满五年唯一 房东诚心卖,九州奥城 -十一小商圈,3室2厅 | 127.15平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,44人关注 / 一年前发布,94,"7,393元/平"
友邦玫瑰公馆 毛坯3房 中高层视野好 产证满二税费低,友邦玫瑰公馆 -行政中心商圈,3室2厅 | 101.68平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,83,"8,163元/平"
产证满二年，楼层好，景观佳，交通便利,龙华世纪城 -行政中心商圈,3室2厅 | 125.81平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,120,"9,539元/平"
毗临紫阳公园的小区，生活配套齐全,清林桃花源 -紫阳商圈,3室2厅 | 90.66平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,80,"8,825元/平"
即将 满二 税点低  配套  完善居住舒适,友邦玫瑰公馆 -行政中心商圈,3室2厅 | 114.56平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,18人关注 / 8个月以前发布,93,"8,119元/平"
龙潭湖公园旁 纯洋房别墅小区，东边套 看房方便,滨江棕榈公园壹号 -行政中心商圈,4室2厅 | 138.7平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 9个月以前发布,175,"12,618元/平"
带湖花城步梯中层采光好，公摊少得房率高,带湖花城 -十一小商圈,4室2厅 | 162.85平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,6人关注 / 一年前发布,128,"7,860元/平"
电梯中层位置好，交通方便，采光好，停车方便，,汇景花园 -十一小商圈,4室2厅 | 172.24平米 | 东南 | 毛坯 | 中楼层(共7层)  | 暂无数据,19人关注 / 一年前发布,115,"6,677元/平"
怀玉谷优质别墅房东诚意出售，小区依山傍水环境好,怀玉谷 -水南街商圈,5室2厅 | 331.29平米 | 南 北 | 毛坯 | 2层  | 板楼 | 双拼别墅 ,3人关注 / 7个月以前发布,315,"9,509元/平"
十 一 小边中富花园 一楼带北花园,中富花园 -十一小商圈,3室2厅 | 115.66平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,1人关注 / 一年前发布,160.8,"13,903元/平"
