标题,开发商,房子信息,发布信息,售价/万,单价
采光好，阳光充足，六房二卫有露台.诚心出售,星西兰花园 -红湾大道以北,6室2厅 | 207平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,120,"5,798元/平"
业主诚心出售，卖掉置换房子，看房有钥匙，拎包入住,静安里九里象湖城 -象湖,3室2厅 | 119.6平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,96.8,"8,094元/平"
繁华地段，方正3房，业主诚心出售。,IM乐盈广场 -紫荆路,3室1厅 | 94.15平米 | 南 | 毛坯 | 高楼层(共18层)  | 塔楼,9人关注 / 11个月以前发布,87,"9,241元/平"
诚心出售 带30平露台 全天太阳 适合居家 配套完善,海亮尊园 -江坊,2室1厅 | 85.35平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,7人关注 / 4个月以前发布,99.8,"11,694元/平"
楼层好采光充足视野开阔，业主诚心出售，,大唐东汇 -新城吾悦,3室2厅 | 92.11平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,145,"15,743元/平"
近红谷滩，交通方便，2房2厅，业主急售,舍里甲社区南泥小区 -蛟桥,2室2厅 | 89.58平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 11个月以前发布,54,"6,029元/平"
网红夜市旁金桥慧景精装房 房东急售！,金桥慧景 -紫荆路,3室1厅 | 92平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,5人关注 / 5个月以前发布,69,"7,500元/平"
婚房装修品质很高，中间楼层，看房方便,景河星宫 -青山湖区,2室2厅 | 86.6平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,105,"12,125元/平"
国博博君2房 带装修 中间楼层 业主诚意出售,绿地国际博览城二期博君 -九龙湖,2室2厅 | 80.53平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,12人关注 / 10个月以前发布,120,"14,902元/平"
三公园环伺，产证在手，地铁口，融创茂旁,万达文化旅游城A2区 -九龙湖,2室2厅 | 78.96平米 | 北 南 | 简装 | 28层  | 塔楼,0人关注 / 5个月以前发布,86,"10,892元/平"
硕丰西湖里2房 好楼层，视野采光佳 南昌市的房产证,硕丰西湖里 -象湖,2室2厅 | 60.43平米 | 北 | 毛坯 | 中楼层(共28层)  | 暂无数据,0人关注 / 3个月以前发布,53,"8,771元/平"
艾溪湖东绿都温莎城堡精装两房出售，楼层好，视野开阔,绿都·温莎城堡 -艾溪湖东,2室2厅 | 74.99平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,5人关注 / 3个月以前发布,105,"14,002元/平"
成熟小区  配套齐全  诚心出售！！！,洪客隆英伦联邦 -紫荆路,4室1厅 | 127.64平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,1人关注 / 5个月以前发布,145,"11,361元/平"
华润紫云府毛坯小三房诚意出售，楼层好，阳光充足。,华润紫云府 -红湾大道以南,3室2厅 | 86.79平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,3人关注 / 一年前发布,95,"10,946元/平"
三房二厅一卫30平米阳光露台。实际面积大。地铁口,碧海云天 -塘山广场,3室2厅 | 48.88平米 | 南 | 精装 | 低楼层(共3层)  | 板塔结合,24人关注 / 一年前发布,96.5,"19,743元/平"
正荣物业，正规大三房，阳光充足，观湖房,正荣大湖之都·凌湖峰 -昌南,3室2厅 | 114.98平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,13人关注 / 一年前发布,80,"6,958元/平"
保利蓝海嘉居  近地铁  配套齐全,保利蓝海嘉居 -红谷滩,2室2厅 | 83平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,56,"6,747元/平"
70年产权的小面积迎宾大道3号线邓埠地铁站旁配套齐全,天伦华庭 -昌南,1室1厅 | 43.8平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,35,"7,991元/平"
新城吾悦广场大型购物商场 阳光充足 配套成熟,新城吾悦广场 -新城吾悦,3室2厅 | 98.72平米 | 南 | 毛坯 | 低楼层(共27层)  | 板楼,19人关注 / 一年前发布,125,"12,663元/平"
楼层采光充足 ，楼层好，成熟社区配套齐全,万科四季花城北区 -新城吾悦,3室1厅 | 119.93平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,10人关注 / 11个月以前发布,186,"15,510元/平"
世纪风情三期 3室2厅 南,世纪风情三期 -青山湖区,3室2厅 | 94.13平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,106,"11,262元/平"
户型方正日照充足，小区配套齐全，交通便利,洪客隆英伦联邦 -紫荆路,4室2厅 | 127.45平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 塔楼,8人关注 / 一年前发布,156,"12,241元/平"
南北格局通透楼层好，视野宽阔采光充足，配套设施齐全,磨盘山8号 -天宁路,2室2厅 | 87平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,55,"6,322元/平"
世纪风情三期 2室2厅 南,世纪风情三期 -青山湖区,2室2厅 | 80.82平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,105,"12,992元/平"
经开公园 旭辉广场 经开正荣府 双港西大街 洋房,经开正荣府 -紫荆路,4室1厅 | 118平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,1人关注 / 5个月以前发布,150,"12,712元/平"
户型方正，采光好，视野开阔，房东诚心卖！,中凯蓝域 -新城吾悦,2室2厅 | 85.42平米 | 南 | 简装 | 高楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,120,"14,049元/平"
经开公园昌北二 小 旁青岚嘉园 户型端正,青岚嘉园 -紫荆路,2室2厅 | 62.8平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,11人关注 / 10个月以前发布,40,"6,370元/平"
地铁口新力楼盘得两房诚心出售 小区优质位置 绿化高,新力钰珑湾北区 -红谷滩,2室1厅 | 67.83平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 塔楼,1人关注 / 2个月以前发布,54,"7,962元/平"
户型方正，楼层佳，采光很好，设计合理，得房率高,凤凰苑 -庐山南大道,2室1厅 | 77.03平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,3人关注 / 11个月以前发布,108,"14,021元/平"
中间楼层 房东诚心出售 价格合适,贵都国际花城小区 -银三角,2室2厅 | 93平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,66.8,"7,183元/平"
带储藏间和车位的房子 ，入住方便，采光视野佳,路通沁园 -艾溪湖东,2室2厅 | 95.12平米 | 南 | 毛坯 | 低楼层(共24层)  | 板塔结合,1人关注 / 11个月以前发布,125,"13,142元/平"
火车站东广场 铁路八村 精装三房 拎包入住带储藏间,铁路八村 -青山湖区,3室2厅 | 52.26平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,59,"11,290元/平"
红谷新城 业主诚售 交通便利 精装修,红谷·新城 -红湾大道以南,3室2厅 | 93.69平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,6人关注 / 一年前发布,116.8,"12,467元/平"
业主自住装修拎包入住！诚意出售随时看房！,盛世经典 -岭口路,2室2厅 | 80.5平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 3个月以前发布,142,"17,640元/平"
九龙湖国博一期两房，地铁口楼层佳阳光足视野好,绿地国际博览城一期君珑 -九龙湖,2室2厅 | 77.79平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,31人关注 / 一年前发布,105,"13,498元/平"
莲花家园2房2厅。业主诚心在售。。,莲花家园 -莲塘,2室2厅 | 98平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,13人关注 / 一年前发布,68,"6,939元/平"
地铁口精装彡房 户型通透 采光充足 价钱看中可以谈,汇仁阳光花园 -莲塘,3室2厅 | 89.57平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,2人关注 / 5个月以前发布,95,"10,607元/平"
中大青山湖花园，户型端正，出行购物方便,中大青山湖花园 -李家庄,2室2厅 | 92.39平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,11人关注 / 7个月以前发布,116,"12,556元/平"
公园旁世纪风情三期复式，诚心出售。,世纪风情三期 -青山湖区,2室2厅 | 82.54平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,96,"11,631元/平"
九里象湖城   楼层好户型方正 业主急售,九里坊九里象湖城 -象湖,2室2厅 | 92平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,71,"7,718元/平"
红谷新城 业主诚售 交通便利 精装修,红谷·新城 -红湾大道以南,3室2厅 | 93.69平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,6人关注 / 一年前发布,116.8,"12,467元/平"
业主自住装修拎包入住！诚意出售随时看房！,盛世经典 -岭口路,2室2厅 | 80.5平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 3个月以前发布,142,"17,640元/平"
紫金城旁正规两房 朝南物业便宜,东湖花园小区 -滨江中心,2室2厅 | 65.85平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,70,"10,631元/平"
户型端正，南北格局空间大阳光充足，视野开阔,阳光家园B区 -城南家园,2室2厅 | 89.41平米 | 南 | 毛坯 | 低楼层(共16层)  | 板楼,2人关注 / 11个月以前发布,75,"8,389元/平"
朝阳新城 九洲天虹旁地 铁口 随时看房  房东诚心售。,九洲上郡 -朝阳新城,3室2厅 | 109.84平米 | 南 | 简装 | 中楼层(共29层)  | 板楼,35人关注 / 9个月以前发布,170,"15,478元/平"
公园旁世纪风情三期复式，诚心出售。,世纪风情三期 -青山湖区,2室2厅 | 82.54平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,96,"11,631元/平"
铜锣湾省人民医院旁 精装2房朝南 近地铁口,凤凰苑 -庐山南大道,2室2厅 | 77.5平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,14人关注 / 4个月以前发布,107,"13,807元/平"
得房率高 朝南两房 采光好  诚心出售,红谷春天花园 -翠苑路,2室2厅 | 80.75平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,23人关注 / 一年前发布,128,"15,852元/平"
世纪中 央城 70年产权住宅 正规一室一厅 可读书,世纪中央城二期 -秋水广场,1室1厅 | 47.12平米 | 北 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,120,"25,467元/平"
体育馆社区，配套齐全 医疗，购物，娱乐,体育馆社区 -莲塘,2室2厅 | 75平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,55,"7,334元/平"
正宗大四房，业主诚心出售，看房提前联系，,红谷·新城 -红湾大道以南,4室2厅 | 115平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,155,"13,479元/平"
保利中航城  次新房精装修 中间楼层 诚心出售！,保利中航城 -洪都,3室2厅 | 101.11平米 | 东南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,135,"13,352元/平"
房子户型规正 日照充足 交通便利，出门就是枫生快速..,洪客隆英伦联邦 -紫荆路,4室1厅 | 102.9平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,152,"14,772元/平"
龙江花园 3室2厅 南,龙江花园 -新城吾悦,3室2厅 | 95.99平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,140,"14,585元/平"
此房位置居中 近玺悦城 楼层好 视野开阔,星洲国际 -莲塘,3室2厅 | 89平米 | 南 北 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,120,"13,484元/平"
金桥慧景 4室2厅 南 北,金桥慧景 -紫荆路,4室2厅 | 117平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,97,"8,291元/平"
业主称心出售.....精装..随时可拎包入住,保利心语花园 -青山湖区,3室1厅 | 108.86平米 | 东南 | 精装 | 高楼层(共22层)  | 板塔结合,15人关注 / 一年前发布,106,"9,738元/平"
天兴翰林苑 7室2厅 南,天兴翰林苑 -红湾大道以南,7室2厅 | 174平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,149,"8,564元/平"
桃苑大街南昌外国语旁开放式小区通透两房间间有窗,振中小区 -朝阳洲,2室2厅 | 89.08平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,106,"11,900元/平"
恒锦花苑一区在售端户 、 八月份契税满两年,恒锦花苑一区 -九龙湖,3室2厅 | 98.34平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 6个月以前发布,155,"15,762元/平"
华侨城万科 带新风系统，入户露台，宽1.5米阳台！,华侨城万科云屿 -朝阳新城,3室2厅 | 99.79平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 6个月以前发布,225,"22,548元/平"
中鼎珑园精装3房 全屋精品 中间楼层 视野开阔,中鼎珑园 -市政公共广场,3室2厅 | 105.44平米 | 南 北 | 精装 | 中楼层(共11层)  | 塔楼,17人关注 / 5个月以前发布,170,"16,123元/平"
满五唯一，采光好，楼层好，视野开阔，精装修,永通澄湖国际商业街 -莲塘,4室2厅 | 102平米 | 南 | 精装 | 低楼层(共28层)  | 塔楼,0人关注 / 4个月以前发布,122,"11,961元/平"
金色学府 2室1厅 东南,金色学府 -莲塘,2室1厅 | 46.96平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 3个月以前发布,56,"11,926元/平"
公元九龙毛坯房房东诚心出售湖景房,银凯公元·九珑 -红谷滩,3室2厅 | 98.15平米 | 南 | 毛坯 | 低楼层(共31层)  | 板楼,0人关注 / 6个月以前发布,68,"6,929元/平"
房东诚心出售 出行便利 教育资源优质 小区环境好,远东国际花园 -朝阳洲,3室2厅 | 142.46平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,19人关注 / 一年前发布,169,"11,863元/平"
屋内装修保养很好，视野广阔采光好，普装三房诚心出售,保利香槟国际（艾溪湖二路66号） -艾溪湖东,3室2厅 | 92.25平米 | 南 | 精装 | 31层  | 塔楼,11人关注 / 一年前发布,151,"16,369元/平"
房子可看湖景，一号线地铁延伸线，配套齐全,朗贤·奥特莱斯小镇 -瑶湖东,2室2厅 | 79.63平米 | 南 | 毛坯 | 低楼层(共16层)  | 板楼,3人关注 / 5个月以前发布,55,"6,907元/平"
保利香槟国际精装修 带子母车位 得房率高,保利香槟国际（艾溪湖二路66号） -艾溪湖东,3室2厅 | 91.42平米 | 南 | 精装 | 31层  | 塔楼,0人关注 / 2个月以前发布,150,"16,408元/平"
绿地外滩 地铁口 户型方正 业主诚心出售,绿地外滩公馆 -凤凰洲,3室2厅 | 93.18平米 | 南 | 简装 | 低楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,280,"30,050元/平"
位于红谷滩CBD中轴线上，距红谷万达较近,洪客隆英伦联邦 -紫荆路,3室2厅 | 88平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,1人关注 / 一年前发布,118,"13,410元/平"
正荣大湖长岛装修入住了3年，自带一个大院子居住舒适,正荣大湖之都 -昌南,3室2厅 | 85.76平米 | 南 | 精装 | 低楼层(共5层)  | 塔楼,6人关注 / 5个月以前发布,80,"9,329元/平"
坐北朝南端正大三房全天太阳环境优美金装修和全屋空调,华侨城万科天鹅堡 -朝阳新城,3室2厅 | 100.53平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,10人关注 / 6个月以前发布,195,"19,398元/平"
精装修，户型通透，全款房，免个税,万达华府 -翠苑路,3室2厅 | 128.16平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,220,"17,167元/平"
买一层得两层 另带50平米花园 实际面积大 装修好,水岸菁华 -塘山广场,4室2厅 | 84.23平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,19人关注 / 9个月以前发布,150,"17,809元/平"
房子位置好，小区环境好，旁边配套齐全交通便利无遮挡,天奥·经纬府邸 -滨江中心,3室2厅 | 138.08平米 | 南 北 | 精装 | 高楼层(共16层)  | 暂无数据,0人关注 / 2个月以前发布,205,"14,847元/平"
新出温馨小三房，房东诚售，可直接拎包入住,绿地玫瑰城西区 -新城吾悦,3室2厅 | 91.11平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,0人关注 / 2个月以前发布,142,"15,586元/平"
魏玛峰尚 精装修 三房 双阳台,博泰魏玛峰尚一期 -洪都航空工业园,3室2厅 | 108.1平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,112,"10,361元/平"
万科品质楼盘 一线湖景房 视野开阔 近四号线地铁,万科金色名郡 -塘山广场,3室2厅 | 113.22平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,1人关注 / 7个月以前发布,158,"13,956元/平"
经开区！庐山南大道万科玖里旁，南泥小区3房诚售,舍里甲社区南泥小区 -蛟桥,3室2厅 | 139.08平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,70,"5,034元/平"
一线江景，精装修，直接拎包入住,紫阳花园 -其它,3室2厅 | 106平米 | 南 北 | 简装 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,86,"8,114元/平"
奢华电梯洋房让生活空间更惬意 让一家欢聚的余音绕梁,天香雅居 -塘山广场,3室2厅 | 88.1平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,8人关注 / 4个月以前发布,106.2,"12,055元/平"
地铁口正规三房，大院卫，医院旁宜居,南昌大学医学院住宅区 -贤士湖,3室2厅 | 104.2平米 | 南 北 | 精装 | 高楼层(共6层)  | 平房,2人关注 / 6个月以前发布,76,"7,294元/平"
