标题,开发商,房子信息,发布信息,售价/万,单价
绿地二期 好房出售 中间楼层 产证满二 可按揭价格便宜,智慧金融城H区 -兰州新区,3室2厅 | 105.75平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 17天以前发布,62,"5,863元/平"
文曲湖景园住宅小区 3室2厅 南 北,文曲湖景园住宅小区 -兰州新区,3室2厅 | 103.68平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 12天以前发布,40,"3,859元/平"
东苑小区，房子三方位通透，户型方正，中楼层，采光好,东苑小区 -西固城,2室1厅 | 50平米 | 南 西 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 一年前发布,55,"11,000元/平"
七里河区西客站南广场土门墩两室一厅,土门墩小区 -晏家坪,2室1厅 | 75.67平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 8个月以前发布,57,"7,533元/平"
锦绣华庭 2室2厅 南 北,锦绣华庭 -九州,2室2厅 | 95.06平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 8天以前发布,68,"7,154元/平"
怡景新苑，电梯房，户型方正，看房方便。,怡景新苑 -黄河北,3室2厅 | 105.17平米 | 南 北 | 精装 | 中楼层(共19层)  | 板楼,0人关注 / 7天以前发布,110,"10,460元/平"
文曲湖南区湖景房   看房随时可看,文曲湖景园住宅小区 -兰州新区,3室2厅 | 103.17平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,0人关注 / 24天以前发布,44.9,"4,353元/平"
机车厂一区家属院 2室1厅 南 北,机车厂一区家属院 -建工局,2室1厅 | 40.32平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 20天以前发布,44,"10,913元/平"
定西路  工商局家属院 东西户型,工商局家属院（定西路） -兰大盘旋路,2室1厅 | 59.3平米 | 东 西 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,57,"9,613元/平"
兰石润安小区 2室1厅 南,兰石润安小区 -仁恒美林郡,2室1厅 | 63.74平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,71.5,"11,218元/平"
此房满五不唯一，通透户型方正，配套设施齐全,畅家巷小区 -东方红广场,2室1厅 | 70平米 | 南 西 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,116,"16,572元/平"
铁路局达祥小区 牟家庄采光无遮挡,达祥苑小区 -火车站,2室1厅 | 48.02平米 | 东 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,52,"10,829元/平"
万里东村 南北通透 两居室房 急售,万里厂家属院东村 -费家营,2室0厅 | 43平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 板塔结合,0人关注 / 6个月以前发布,40,"9,303元/平"
兰州市城建物业家属院 3室2厅 南 北,兰州市城建物业家属院 -东部,3室2厅 | 75.35平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,70,"9,290元/平"
濱河壹号 3室2厅 南 北,濱河壹号 -莫高大道,3室2厅 | 127平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 31天以前发布,145,"11,418元/平"
十三街区小户型楼层好朝阳户型！,天鹅湖小区西区 -天鹅湖,1室1厅 | 32.4平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,43.8,"13,519元/平"
十五街区 2室0厅 南 北,十五街区 -西固城,2室0厅 | 58.88平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 2个月以前发布,45,"7,643元/平"
七里河 塑料厂 晏家坪 建工苑景2室电梯房 出售,建工苑景 -晏家坪,2室1厅 | 93.4平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,76,"8,138元/平"
华鼎中央都会 3室2厅 南 北,华鼎中央都会 -东部,3室2厅 | 132平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,160,"12,122元/平"
火星街十字 可按揭 采光视野好 首付低,一毛厂家属院（敦煌路东） -金港城,1室1厅 | 38.6平米 | 西 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,42,"10,881元/平"
东苑小区，楼层6层，交通方便，阳光充足。,东苑小区 -西固城,2室1厅 | 52平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,58,"11,154元/平"
龚家湾 产权房 可按揭 看房方便 急售,蘭州工業學院家属楼 -晏家坪,3室1厅 | 68平米 | 南 | 简装 | 低楼层(共6层)  | 塔楼,0人关注 / 2个月以前发布,58,"8,530元/平"
兰石睿智名居 3室2厅 南 北,兰石睿智名居 -兰州新区,3室2厅 | 108平米 | 南 北 | 其他 | 中楼层(共14层)  | 板楼,0人关注 / 2个月以前发布,78,"7,223元/平"
配套齐全，户型方正，产证齐全，可按揭,安宁公馆 -安宁高新区,3室2厅 | 152.55平米 | 南 北 | 精装 | 低楼层(共23层)  | 板楼,0人关注 / 1个月以前发布,150,"9,833元/平"
产权清晰，户型方正  南北通透  视野开阔，即买即住,兰州国资物业第三佳园 -交大,2室2厅 | 72.28平米 | 南 北 | 简装 | 低楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,56,"7,748元/平"
万达茂，奥体旁，交通方便，花园小区,天庆国际新城 -深沟桥,3室2厅 | 100.83平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 5个月以前发布,102,"10,117元/平"
此房满五年，正规两室两厅，无公摊，适合刚需,工农村南区 -天鹅湖,2室1厅 | 58平米 | 东 西 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,54,"9,311元/平"
此房户型较方正，产权清晰，房子简装修可直接入住！,天憬缘 -深沟桥,2室1厅 | 95平米 | 西南 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,85,"8,948元/平"
东岗东路    丰和丽园    新小区    采光好,丰和丽园 -东部,2室1厅 | 93.47平米 | 西南 | 其他 | 高楼层(共33层)  | 塔楼,2人关注 / 2个月以前发布,75,"8,024元/平"
东欧逸璟 2室1厅 南 北,东欧逸璟 -东部,2室1厅 | 105平米 | 南 北 | 简装 | 高楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,135,"12,858元/平"
万达茂，奥体旁，交通方便，花园小区,天庆国际新城 -深沟桥,3室2厅 | 100.83平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 5个月以前发布,102,"10,117元/平"
急售  陇商国际  精装三室  南壁通透,陇商国际 -兰州新区,3室2厅 | 118.86平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,0人关注 / 3个月以前发布,60,"5,048元/平"
西固 玉门街 新小区 南北通透 首付18万 可按揭,经纬城 -西固城,2室2厅 | 107.64平米 | 南 北 | 简装 | 中楼层(共30层)  | 暂无数据,0人关注 / 2个月以前发布,95,"8,826元/平"
采光充足，客厅带阳台，物业管理好····,文曲湖景园住宅小区 -兰州新区,3室2厅 | 103平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,44,"4,272元/平"
兰州国资物业第三佳园 2室2厅 南,兰州国资物业第三佳园 -交大,2室2厅 | 92.14平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,1人关注 / 2个月以前发布,65,"7,055元/平"
西固城 两室一厅  户型方正  单价低  总价低,玉门街195-209号 -西固城,2室1厅 | 68平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,58,"8,530元/平"
民东小区 2室1厅 东 西,民东小区 -火车站,2室1厅 | 68.75平米 | 东 西 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,90,"13,091元/平"
红星美凯龙商圈.康乐花园新上精装两居室.家具家电全新,康乐花园 -雁滩高新区,2室2厅 | 95.78平米 | 南 北 | 简装 | 中楼层(共30层)  | 塔楼,2人关注 / 5个月以前发布,95,"9,919元/平"
泰亨小区（何家庄东街/平凉路） 1室1厅 南 北,泰亨小区（何家庄东街/平凉路） -火车站,1室1厅 | 35平米 | 南 北 | 简装 | 高楼层(共9层)  | 板楼,0人关注 / 2个月以前发布,36,"10,286元/平"
火星街 兰石老房子 小户型   产权房,兰石家属院（郑家庄） -金港城,3室0厅 | 47.12平米 | 南 北 | 简装 | 低楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,51,"10,824元/平"
郑家庄兰石家属院 单位房 无公摊 总价低,兰石家属院（郑家庄） -金港城,1室0厅 | 27平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 8个月以前发布,38,"14,075元/平"
安宁  费家营十字  小户型  配套齐全,飞控仪器总厂家属院东区 -费家营,2室1厅 | 59平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,49,"8,306元/平"
科教城一期 南北通透 精装两室 随时看房,科教城雁滩一期园区 -雁滩高新区,2室2厅 | 100.87平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,105,"10,410元/平"
厂前小区 1室1厅 南 北,厂前小区 -兰炼十字,1室1厅 | 37.5平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,19,"5,067元/平"
盘旋路 万达商圈 小户型 交通便利 院子可停车,南河新村小区 -兰大盘旋路,2室1厅 | 47平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,48,"10,213元/平"
地铁口 地震局家属院 宁卧庄 两室 精装 非顶层,省地震局家属院（东岗西路） -兰大盘旋路,2室1厅 | 57.09平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,130,"22,772元/平"
两室两厅 南北朝向 户型方正 交通便利,静安小区 -西关南关,2室2厅 | 84.96平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,10人关注 / 一年前发布,98,"11,535元/平"
金城公园 准电梯房 2023年6月交付使用 可按揭,西固花园 -西固城,2室2厅 | 93.37平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,99,"10,603元/平"
小区人文素质高，此房南北通透，精装修,科教城東苑 -交大,4室2厅 | 147.83平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,0人关注 / 5个月以前发布,210,"14,206元/平"
鹏博风情广场优质好房尽情关注，看房随时,鹏博·风情广场 -兰州新区,3室1厅 | 118.21平米 | 南 北 | 其他 | 高楼层(共16层)  | 板楼,0人关注 / 13天以前发布,64.5,"5,457元/平"
高层复式 精装电梯房 南北通透 采光好,太阳岛 -雁滩高新区,4室2厅 | 232.61平米 | 南 北 | 精装 | 高楼层(共26层)  | 塔楼,7人关注 / 10个月以前发布,380,"16,337元/平"
此房满五唯一，南北通透，格局好，视野好，全天日照,北岸公馆 -安宁庭院,4室2厅 | 164平米 | 南 北 | 简装 | 低楼层(共10层)  | 板楼,7人关注 / 一年前发布,176,"10,732元/平"
万达茂，奥体旁，花园小区，交通方便,恒大名都 -秀川,4室2厅 | 167.75平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 一年前发布,210,"12,519元/平"
新港城精装复式出售 干净整洁 产权清晰,新港城 -北面滩,4室2厅 | 159平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,230,"14,466元/平"
地铁口世纪新村复式 精装修拎包入住 随时看,世纪新村C区 -东部,7室3厅 | 129.96平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,5人关注 / 5个月以前发布,188,"14,466元/平"
安宁营门滩 黄河沿线 阳光怡园大户型南北通透产权房,陽光怡园 -海关,3室2厅 | 155平米 | 南 北 | 简装 | 中楼层(共24层)  | 板楼,2人关注 / 9个月以前发布,189,"12,194元/平"
安宁营门滩 黄河沿线 阳光怡园大户型南北通透产权房,陽光怡园 -海关,3室2厅 | 155平米 | 南 北 | 简装 | 中楼层(共24层)  | 板楼,2人关注 / 9个月以前发布,189,"12,194元/平"
上河苑，一楼带花园，南北通透，公摊小大户型好房出售,上河苑 -吴家园,2室2厅 | 113.85平米 | 南 北 | 精装 | 低楼层(共9层)  | 板塔结合,14人关注 / 一年前发布,110,"9,662元/平"
精装大四室  带平台  南北四室  明厨明卫  可按揭,倚能黄河家园 -安宁庭院,4室2厅 | 248.23平米 | 南 北 | 精装 | 高楼层(共14层)  | 板楼,31人关注 / 一年前发布,465,"18,733元/平"
约克郡二号院 3室2厅 南 北,约克郡二号院 -碧桂园,3室2厅 | 188.02平米 | 南 北 | 其他 | 低楼层(共25层)  | 板楼,0人关注 / 6天以前发布,280,"14,893元/平"
兰州市城建物业家属院 3室1厅 东 西,兰州市城建物业家属院 -东部,3室1厅 | 66.95平米 | 东 西 | 精装 | 低楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,74,"11,054元/平"
农科院新村 2室2厅 南 北,农科院新村 -莫高大道,2室2厅 | 88.2平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 11天以前发布,88,"9,978元/平"
倚能黄河家园 4室2厅 南 北,倚能黄河家园 -安宁庭院,4室2厅 | 218.8平米 | 南 北 | 精装 | 高楼层(共14层)  | 板楼,0人关注 / 2个月以前发布,430,"19,653元/平"
万达公馆 5室2厅 南 北,万达公馆 -万达大润发,5室2厅 | 255.13平米 | 南 北 | 精装 | 高楼层(共39层)  | 板楼,3人关注 / 10个月以前发布,620,"24,302元/平"
雁滩高新区康乐花园187平复式带全套家具家电出售,康乐花园 -雁滩高新区,4室2厅 | 187.91平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,5人关注 / 一年前发布,310,"16,498元/平"
碧桂园天麓山 4室1厅 南 北,碧桂园天麓山 -碧桂园,4室1厅 | 147.33平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,3人关注 / 10个月以前发布,116,"7,874元/平"
此房户型方正，采光好，精装修，复式，楼层好,九洲城（B区） -九州,6室2厅 | 219.66平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 6个月以前发布,186,"8,468元/平"
急售|  西班牙风格  价格可谈  看房方便 小区环境优美,天麓山 -碧桂园,6室2厅 | 260平米 | 南 北 | 精装 | 3层  | 板楼 | 双拼别墅 ,16人关注 / 一年前发布,480,"18,462元/平"
：此房南北通透，户型方正，房前房后都有花园,北岸公馆 -安宁庭院,3室2厅 | 125平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,182,"14,560元/平"
安宁庭院下跃复式102平+120平 欧式精装附全套家具,安宁庭院 -十里店,3室3厅 | 101.26平米 | 南 | 精装 | 低楼层(共13层)  | 板塔结合,3人关注 / 6个月以前发布,160,"15,801元/平"
雁滩高新区 电梯房 三层大复式 精装修 带露台可按揭,基业豪庭 -雁滩高新区,6室2厅 | 221平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,226,"10,227元/平"
电梯房，精装房，复式楼，三室  两厅,馨韵佳苑 -吴家园,3室2厅 | 248.33平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,3人关注 / 一年前发布,307,"12,363元/平"
精装修，次顶层，满五唯一，采光好,雁京.罗马花园 -海关,3室2厅 | 143.78平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,2人关注 / 一年前发布,188,"13,076元/平"
精装复式河景房，配套成熟交通便利，地段成熟,御景东方 -万达大润发,4室2厅 | 273.12平米 | 南 北 | 精装 | 中楼层(共23层)  | 板楼,0人关注 / 2个月以前发布,440,"16,111元/平"
此房南北通透 环境优美，带全套家具家电出售,康桥郡 -碧桂园,6室3厅 | 312平米 | 南 北 | 精装 | 低楼层(共3层)  | 板塔结合,3人关注 / 一年前发布,620,"19,872元/平"
九州大复式 产权外带40㎡平台 精装修 采光好 可按揭,九洲城（B区） -九州,5室3厅 | 219.66平米 | 东 西 | 精装 | 高楼层(共8层)  | 板塔结合,10人关注 / 一年前发布,155,"7,057元/平"
百合园 2室2厅 南 北,百合园 -火车站,2室2厅 | 114.53平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,0人关注 / 一年前发布,118,"10,303元/平"
此房南北通透格局，中间楼层，正规两室两厅,东安家园 -火车站,2室2厅 | 94.3平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 8个月以前发布,108,"11,453元/平"
十里店 南街花园 户型好 两室 产权 可按揭,南街花园小区 -安宁庭院,2室1厅 | 89.51平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,11人关注 / 一年前发布,103,"11,508元/平"
此房满五年，无抵押，产权清晰、生活成本低,甘肃省外贸土产公司家属院 -东部,3室1厅 | 91.95平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,3人关注 / 8个月以前发布,104,"11,311元/平"
西固城两室一厅朝东户型，户型方正，中间楼层,合水路小区 -西固城,3室1厅 | 62.5平米 | 东 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,58,"9,280元/平"
哎！又上好房，户型好的毛坯房.,天庆国际新城 -深沟桥,3室2厅 | 141.72平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,3人关注 / 7个月以前发布,152,"10,726元/平"
西站十字必看好房 价格美丽 框架中层,点式小区 -建工局,2室2厅 | 52平米 | 西南 | 简装 | 中楼层(共8层)  | 暂无数据,9人关注 / 一年前发布,65,"12,500元/平"
西地所3室2厅东南通透 全明户型 电梯 精装修,西地所 -东部,3室2厅 | 86.28平米 | 东南 | 精装 | 低楼层(共15层)  | 板楼,17人关注 / 一年前发布,99,"11,475元/平"
电梯房 满五唯一，产权清晰 可按揭 孩子上学方便,天鹅湖小区东区 -天鹅湖,3室2厅 | 112.7平米 | 南 北 | 简装 | 高楼层(共8层)  | 暂无数据,3人关注 / 一年前发布,125,"11,092元/平"
