标题,开发商,房子信息,发布信息,售价/万,单价
碧桂园  洋房5楼  通透格局 中等装修,通辽碧桂园 -经济技术开发区,3室1厅 | 101.75平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,6人关注 / 一年前发布,66,"6,487元/平"
残联小区120平58万 房证满五年 拎包入住,残联小区 -老城区,3室1厅 | 120平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,52,"4,334元/平"
成熟小区  交通便利  出行方便,利业金灿家园 -铁南,4室2厅 | 138.5平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,115,"8,304元/平"
泽信水岸春城 2室2厅 北,泽信水岸春城 -老城区,2室2厅 | 85.69平米 | 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,54,"6,302元/平"
梓园电梯洋房希望物业精装修拎包入住,泽信梓园 -经济技术开发区,3室1厅 | 120平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 10个月以前发布,128,"10,667元/平"
龙兴世纪城 电梯4楼  159平 带车位,龙兴世纪城(科尔沁区) -经济技术开发区,3室2厅 | 159平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,120,"7,548元/平"
南北通透，不把山，不临街，采光无遮挡..........,村和新居 -老城区,5室2厅 | 251.61平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,170,"6,757元/平"
电梯中层    采光好  精装  装修,富景华庭二期 -老城区,3室2厅 | 138.4平米 | 南 北 | 其他 | 低楼层(共25层)  | 暂无数据,0人关注 / 一年前发布,120,"8,671元/平"
桥北 四中學区 ，3室2厅， 全屋实木装修,水域蓝湾C区D区 -经济技术开发区,3室2厅 | 141.33平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,87,"6,156元/平"
悦熙台别具一格装修东西都带还带个车位,泰丰·悦熙台 -经济技术开发区,2室1厅 | 115平米 | 南 | 其他 | 中楼层(共12层)  | 暂无数据,2人关注 / 10个月以前发布,115,"10,000元/平"
京汉君庭136平3居2卫精装有房证可贷款,京汉君庭 -经济技术开发区,3室2厅 | 136平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,95.2,"7,000元/平"
泽信悦圣湾   240.64   230万,泽信悦圣湾 -经济技术开发区,4室2厅 | 240.64平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 7个月以前发布,230,"9,558元/平"
交通便利，环境好，配套设施齐全，生活便利,平安西区 -老城区,3室1厅 | 133平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,72,"5,414元/平"
诚达 电梯12层 3室2卫 南北通透 无遮挡,诚达·龙庭国际 -老城区,3室2厅 | 143平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,105,"7,343元/平"
桥北集通凯宸佳苑   步梯楼六托七   中等装修,集通凯宸佳苑 -经济技术开发区,4室1厅 | 191平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,67,"3,508元/平"
美瑞 龙源  三居室   毛坯,美瑞龙源 -经济技术开发区,3室1厅 | 123.69平米 | 南 | 其他 | 中楼层(共29层)  | 暂无数据,2人关注 / 11个月以前发布,66,"5,336元/平"
京汉君庭电梯6楼  精装修拎包入住,京汉君庭 -经济技术开发区,3室2厅 | 142平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,4人关注 / 一年前发布,95,"6,691元/平"
楼层好，采光充足，配套设施齐全，视野宽阔 看房提前,富力·尚悦居 -经济技术开发区,3室1厅 | 132.62平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,88,"6,636元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,通辽碧桂园 -经济技术开发区,4室3厅 | 179.5平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,118,"6,574元/平"
舒适人文低密度家属楼，很舒适安逸,好旺角庄园 -老城区,3室1厅 | 142平米 | 南 北 | 其他 | 低楼层(共16层)  | 暂无数据,1人关注 / 一年前发布,80,"5,634元/平"
地税花园155平一楼带院子有房证可贷款,地税花园 -老城区,3室0厅 | 154.66平米 | 南 | 其他 | 低楼层(共5层)  | 暂无数据,0人关注 / 7个月以前发布,110,"7,113元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,财富中心 -老城区,4室1厅 | 170平米 | 南 北 | 其他 | 低楼层(共22层)  | 塔楼,1人关注 / 一年前发布,115,"6,765元/平"
民大南侧 2019年交付  室内近期现房  有房证的房子,亿通锦绣中华 -老城区,2室2厅 | 111平米 | 南 北 | 其他 | 高楼层(共30层)  | 暂无数据,2人关注 / 一年前发布,79,"7,118元/平"
市区东侧电梯中层，怡水馨园小区，有房证能贷款,怡水馨园 -老城区,4室2厅 | 173平米 | 南 北 | 其他 | 低楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,102,"5,896元/平"
通辽恒源瀚博一品 3室1厅 南,通辽恒源瀚博一品 -老城区,3室1厅 | 135.42平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,100,"7,385元/平"
视野开阔  配套设施齐全，交通便利，出行方便,万达华府 -老城区,3室1厅 | 138平米 | 南 北 | 其他 | 高楼层(共34层)  | 暂无数据,0人关注 / 8个月以前发布,117,"8,479元/平"
视野开阔  配套设施齐全，交通便利，出行方便,通辽碧桂园 -经济技术开发区,3室2厅 | 136.7平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,135,"9,876元/平"
水域蓝湾5楼 三室两卫 精装修 拎包入住 可贷款,水域蓝湾C区D区 -经济技术开发区,2室1厅 | 143平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,83,"5,805元/平"
精装修，拎包入住，临辽河公园 ；小区环境好,地王花园 -经济技术开发区,3室2厅 | 148.5平米 | 南 北 | 其他 | 高楼层(共8层)  | 暂无数据,1人关注 / 一年前发布,120,"8,081元/平"
龙兴世纪城   三居室   电梯高层   精装修   房证过二,龙兴世纪城(科尔沁区) -经济技术开发区,2室1厅 | 105平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,1人关注 / 8个月以前发布,62,"5,905元/平"
桥北 阿利坦银河湾 南北通透 三居两卫  160平 精装,阿利坦银河湾 -经济技术开发区,3室2厅 | 160平米 | 南 北 | 其他 | 低楼层(共22层)  | 板楼,0人关注 / 5个月以前发布,169,"10,563元/平"
房证满五唯一 3室2厅2卫  南北通透 看房方便,平安北区 -老城区,3室2厅 | 166平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,88,"5,302元/平"
璟苑电梯11楼 中等装修 三室两卫 带车位 带仓房,璟苑A区 -经济技术开发区,3室1厅 | 152平米 | 南 北 | 其他 | 高楼层(共12层)  | 暂无数据,0人关注 / 2个月以前发布,140,"9,211元/平"
新天地复式楼 毛坯 诚心出售 随时看房,新天地住宅小区 -经济技术开发区,4室2厅 | 264平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,106,"4,016元/平"
临河而居 177平 3室2卫 全天采光 价格可议,地王花园 -经济技术开发区,3室2厅 | 154平米 | 南 | 其他 | 高楼层(共19层)  | 暂无数据,3人关注 / 一年前发布,137,"8,897元/平"
地 王花园   147平3居精装婚房拎包入住可贷款,地王花园 -经济技术开发区,3室2厅 | 147平米 | 南 | 其他 | 高楼层(共10层)  | 板楼,0人关注 / 一年前发布,148,"10,069元/平"
成熟小区  交通便利  出行方便 精装三居室,水域蓝湾C区D区 -经济技术开发区,3室1厅 | 130.14平米 | 南 北 | 其他 | 中楼层(共5层)  | 板塔结合,0人关注 / 3个月以前发布,96,"7,377元/平"
房证刚下，通辽市司法小区步梯五楼。,通辽市司法小区 -老城区,3室1厅 | 131平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 10个月以前发布,75,"5,726元/平"
桥北大平层  四居室户型  随时看房子,新天地住宅小区 -经济技术开发区,4室2厅 | 223平米 | 南 | 其他 | 高楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,110,"4,933元/平"
房龄新环境好，房龄旧配套成熟， 楼层结构：高楼层,东方世纪城 -老城区,3室2厅 | 153.45平米 | 南 | 其他 | 中楼层(共25层)  | 暂无数据,0人关注 / 一年前发布,125,"8,146元/平"
亲水人家一期 3室2厅2卫 通透格局,亲水人家 -河西,3室2厅 | 124平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 7个月以前发布,55,"4,436元/平"
此房格局好，楼层适中，视野宽阔，采光好,信合小区(科尔沁区) -老城区,3室1厅 | 136.06平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,66,"4,851元/平"
希望小区   成熟小区  交通便利,平安西区 -老城区,3室2厅 | 128.53平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,3人关注 / 7个月以前发布,73,"5,680元/平"
3室两厅一厨一卫.毛坯，可随意装修,阿卡笛亚 -老城区,3室2厅 | 136平米 | 南 | 其他 | 中楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,95,"6,986元/平"
配套设施齐全，视野开阔交通便利，出行方便,西湖名都 -经济技术开发区,2室1厅 | 136平米 | 南 北 | 其他 | 中楼层(共28层)  | 暂无数据,0人关注 / 7个月以前发布,85,"6,250元/平"
市中万达跟前，电梯6楼，精装修，拎包入住，看房联系,东方盛世 -老城区,3室2厅 | 125.7平米 | 南 | 其他 | 低楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,95,"7,558元/平"
中信国际，134平， 26楼托27楼,中信国际 -老城区,2室2厅 | 134平米 | 南 北 | 其他 | 高楼层(共26层)  | 暂无数据,1人关注 / 一年前发布,80,"5,971元/平"
南北通透，不把山，不临街，采光无遮挡..........,紫云公馆 -老城区,3室2厅 | 146.36平米 | 南 | 其他 | 低楼层(共27层)  | 暂无数据,1人关注 / 一年前发布,96,"6,560元/平"
希望 电梯楼 三居室飞机户型 精装修基本没住拎包入住,泽信梓园B区 -经济技术开发区,3室2厅 | 120平米 | 南 北 | 其他 | 高楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,120,"10,000元/平"
城东 电梯10楼 3室格局  可贷款,天骄城 -老城区,3室1厅 | 134.77平米 | 南 | 其他 | 中楼层(共23层)  | 塔楼,2人关注 / 一年前发布,82,"6,085元/平"
泽信 旭园 一楼带院 三居两卫 通透户型 带地下100平米,泽信·旭园 -经济技术开发区,3室2厅 | 140.87平米 | 南 | 其他 | 低楼层(共9层)  | 暂无数据,1人关注 / 一年前发布,148,"10,507元/平"
视野开阔 配套设施齐全，交通便利，出行方便，,凯旋城 -经济技术开发区,2室1厅 | 97平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,63,"6,495元/平"
京汉馨家电梯视野好，格局好，采光好，哪哪都好！,京汉馨家 -经济技术开发区,3室2厅 | 112平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,4人关注 / 6个月以前发布,74,"6,608元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,通辽碧桂园 -经济技术开发区,3室1厅 | 125.5平米 | 南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 5个月以前发布,79,"6,295元/平"
地   王花园二期 三室一厅 两卫154平适合改善型客户,地王花园二期 -经济技术开发区,3室1厅 | 139平米 | 南 | 其他 | 低楼层(共32层)  | 板楼,5人关注 / 一年前发布,97,"6,979元/平"
京汉君庭 3-2-1-1 139.00m²,京汉君庭 -经济技术开发区,3室2厅 | 139平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,130,"9,353元/平"
京汉君庭 3-2-1-1 139.00m²,京汉君庭 -经济技术开发区,3室2厅 | 139平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,130,"9,353元/平"
美瑞龙源精装修房，证件齐全，可贷款,美瑞龙源 -经济技术开发区,3室1厅 | 132.08平米 | 南 西 北 | 精装 | 中楼层(共31层)  | 板楼,1人关注 / 一年前发布,95,"7,193元/平"
凯旋城 4室2厅 南 北,凯旋城 -经济技术开发区,4室2厅 | 188平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,3人关注 / 一年前发布,111,"5,905元/平"
楼层好，采光充足，配套设施齐全，视野宽阔 看房提前,通辽碧桂园 -经济技术开发区,3室2厅 | 140平米 | 南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,98,"7,000元/平"
视野开阔  配套设施齐全，交通便利，出行方便,水域蓝湾东郡 -经济技术开发区,3室1厅 | 130平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 5个月以前发布,93,"7,154元/平"
此房 南北 交通便利 精装修拎包,美瑞龙源 -经济技术开发区,3室1厅 | 144平米 | 南 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,72,"5,000元/平"
电业局小区步梯6拖7    拎包入住,电业局小区 -老城区,4室2厅 | 133.68平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,62,"4,638元/平"
龙庭国际 婚房装修 电梯6楼 精装修,诚达·龙庭国际 -老城区,3室2厅 | 136平米 | 南 北 | 其他 | 低楼层(共28层)  | 暂无数据,2人关注 / 一年前发布,105,"7,721元/平"
龙庭国际152平132万 精装修三室,诚达龙庭国际B区 -老城区,3室2厅 | 152平米 | 南 | 其他 | 高楼层(共24层)  | 暂无数据,0人关注 / 11个月以前发布,132,"8,685元/平"
市里百卉苑三层带院别墅 精装修拎包入住带库带院,永清二号 -老城区,4室3厅 | 269.56平米 | 北 南 | 其他 | 低楼层(共3层)  | 暂无数据,2人关注 / 一年前发布,280,"10,388元/平"
泽信水岸春城 3室2厅 南,泽信水岸春城 -老城区,3室2厅 | 119.84平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,108,"9,013元/平"
清水装修 希望开发 洋房小区 人车分流,泽信梓园 -经济技术开发区,3室2厅 | 139平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,213,"15,324元/平"
此房源没有产权纠纷，此房户型方正，采光好、,公路段家属楼 -老城区,3室1厅 | 84平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 10个月以前发布,42,"5,000元/平"
户型板正， 楼层好， 价位合适,村和新居 -老城区,3室1厅 | 128.7平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,53,"4,119元/平"
龙兴世纪城(科尔沁区) 3室1厅 南,龙兴世纪城(科尔沁区) -经济技术开发区,3室1厅 | 112平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,4人关注 / 一年前发布,74,"6,608元/平"
龙兴世纪城  电梯14楼  三室毛坯房,龙兴世纪城(科尔沁区) -经济技术开发区,3室1厅 | 112平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,1人关注 / 4个月以前发布,73,"6,518元/平"
阿卡迪亚 电梯23楼 南北通透 户型,阿卡笛亚 -老城区,2室2厅 | 136.45平米 | 南 北 | 其他 | 高楼层(共27层)  | 暂无数据,0人关注 / 一年前发布,85,"6,230元/平"
四中 附 小 沈铁河畔花园 通透 有房证 可按揭,河畔花园A区 -经济技术开发区,3室1厅 | 120平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,123,"10,250元/平"
成熟小区  交通便利  出行方便  看房子提前预约,万达华府 -老城区,2室1厅 | 105平米 | 南 北 | 其他 | 高楼层(共24层)  | 暂无数据,0人关注 / 一年前发布,66.5,"6,334元/平"
铁中北小区3-1-1-1 92.00m²,铁中北小区 -铁南,3室1厅 | 92平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,56,"6,087元/平"
水域蓝湾B区  步梯2楼  三室两卫  房证过二,水域蓝湾A区B区 -经济技术开发区,3室1厅 | 126平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,96,"7,620元/平"
房间宽敞明亮，，环境好，配套设施齐全，生活便利,檀香湾 -经济技术开发区,3室2厅 | 140.5平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,112,"7,972元/平"
市里  北国之春 南北通透 两居室 两卫 6托7的户型,北国之春(科尔沁区) -老城区,2室2厅 | 77.52平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 7个月以前发布,61.5,"7,934元/平"
龙庭秀舍 4室2厅 南,龙庭秀舍 -老城区,4室2厅 | 370平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,1人关注 / 一年前发布,460,"12,433元/平"
万达附.近 .毛坯 电梯中层 全天采光 使用面积大,东方盛世 -老城区,3室2厅 | 125平米 | 南 北 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,82,"6,560元/平"
西拉木伦公园西侧 步梯3楼 三室一厅 公摊小 带仓房,民族大学学苑小区 -老城区,3室1厅 | 63.99平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,40,"6,251元/平"
