标题,开发商,房子信息,发布信息,售价/万,单价
香榭丽舍新上精装三房 三开间朝南 基本未入住,香榭丽舍 -南环,3室2厅 | 141平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,7人关注 / 一年前发布,76,"5,391元/平"
广商逸墅叠墅 上下两层   无遮挡   户型方正,广商逸墅一期 -淮阳县,3室2厅 | 144.76平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 3个月以前发布,110,"7,599元/平"
普罗旺斯3-2-1-2 117.00m² 56 万,普罗旺斯 -西华县,3室2厅 | 117平米 | 南 | 毛坯 | 高楼层(共17层)  | 板塔结合,0人关注 / 6个月以前发布,50.5,"4,317元/平"
小区环境好，绿化高，去1周口和商水都很方便。,法姬娜欧洲城三期 -商水县,2室2厅 | 86.7平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 6个月以前发布,46,"5,306元/平"
明仁机关电梯房，楼层九层，三室两厅两卫,龙湖春天小区 -淮阳县,3室2厅 | 123平米 | 南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 11天以前发布,66,"5,366元/平"
龙润康城毛坯大三房 多层电梯洋房 品质小区 暖气入户,龙润·康城 -南广场万达商圈,3室2厅 | 140平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,9人关注 / 一年前发布,58,"4,143元/平"
法姬娜 三房，户型好，采光好 契税满二年,法姬娜欧洲城三期 -商水县,3室2厅 | 111平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,62,"5,586元/平"
法姬娜三期电梯小复式，精装修，拎包入住，可分期,法姬娜欧洲城三期 -商水县,2室2厅 | 87平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,52,"5,978元/平"
建业森林半岛临河观景房 精装修二房 拎包入住,建业森林半岛 -周师商圈,2室2厅 | 89.94平米 | 南 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,59,"6,560元/平"
此房精装修 一楼带大院 房子户型方正,方远国际花园西区 -郸城县,3室2厅 | 117平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 17天以前发布,78,"6,667元/平"
户型好  总价低  位置好  阳光好,建业城东区 -沈丘县,3室2厅 | 114平米 | 南 | 其他 | 低楼层(共9层)  | 板塔结合,0人关注 / 1个月以前发布,75,"6,579元/平"
带储藏室 满五唯一  中间楼层 采光充足,建业森林半岛 -周师商圈,3室2厅 | 114.06平米 | 南 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,65,"5,699元/平"
庆丰街人和小区，有证可以按揭 ，昌建外滩一号隔壁,人和小区 -周师商圈,3室2厅 | 140平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,4人关注 / 一年前发布,63.6,"4,543元/平"
孔桥新区 毛坯电梯房 三室两厅,孔桥新区 -郸城县,3室2厅 | 138平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 15天以前发布,48,"3,479元/平"
此房大平层四房，小区都是总高七层的。,蓝岳玫瑰园 -中原国际商贸城商圈,4室2厅 | 141.51平米 | 东南 南 | 毛坯 | 低楼层(共7层)  | 板楼,5人关注 / 一年前发布,100,"7,067元/平"
房子采光好。位置处在新区体育场，交通方便,华馨·观云山 -沈丘县,3室2厅 | 105平米 | 南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 13天以前发布,39,"3,715元/平"
东区建业世和府大三房洋房精装业主急售,建业世和府 -东新区商圈,3室2厅 | 144.6平米 | 南 | 精装 | 低楼层(共8层)  | 板塔结合,1人关注 / 一年前发布,120,"8,299元/平"
博研府，毛坯三室，随时可装修，价格美丽,博研府 -项城市,3室2厅 | 127.27平米 | 东 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,40,"3,143元/平"
此房户型不错 保持干净，看房方便 业主诚心出售,桂园 -项城市,3室2厅 | 126.68平米 | 东 东南 南 | 其他 | 高楼层(共22层)  | 暂无数据,0人关注 / 9天以前发布,47,"3,711元/平"
万达时代广场，三室两厅，户型方正，即买即装修,万达时代广场 -项城市,3室2厅 | 118平米 | 南 | 其他 | 低楼层(共24层)  | 暂无数据,0人关注 / 10天以前发布,65,"5,509元/平"
交1通1便利，环1境1优美，诚1心出售，看房1方便,国控睿智城锦城 -项城市,4室2厅 | 146.57平米 | 西 | 其他 | 低楼层(共16层)  | 暂无数据,0人关注 / 10天以前发布,79.5,"5,425元/平"
格局合理，不错的房子，小区位置很不错,项城建业城 -项城市,3室2厅 | 142平米 | 西 | 其他 | 低楼层(共9层)  | 暂无数据,0人关注 / 10天以前发布,80,"5,634元/平"
此房是毛坯房 好位置  出行方便  温泉水,华裕广场 -沈丘县,3室2厅 | 130平米 | 南 | 毛坯 | 高楼层(共26层)  | 塔楼,0人关注 / 10天以前发布,49,"3,770元/平"
小区环境优美出行方便九层电梯洋房,尚书府东宸 -沈丘县,4室2厅 | 136.2平米 | 南 | 其他 | 低楼层(共9层)  | 暂无数据,0人关注 / 11天以前发布,81,"5,948元/平"
简装电梯房，业主急于出售，看房方便,人民路800号 -西华县,3室2厅 | 130.11平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,35,"2,691元/平"
万科·溥天龙堂 3室2厅 南,万科·溥天龙堂 -南环,3室2厅 | 119.84平米 | 南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 10天以前发布,76,"6,342元/平"
小区地理位置优越，环境优美，鸟语花香，绿化高,华运凯旋城 -项城市,3室2厅 | 121平米 | 南 | 其他 | 低楼层(共31层)  | 暂无数据,0人关注 / 11天以前发布,56,"4,629元/平"
得房率高 视野好 无遮挡 采光好 房型正 楼层好,城中花园 -西华县,3室1厅 | 124.1平米 | 南 | 简装 | 11层  | 板塔结合,2人关注 / 3个月以前发布,60,"4,835元/平"
尚书府东宸，9层电梯洋房，5楼边户，可按揭,尚书府东宸 -沈丘县,4室2厅 | 136.27平米 | 南 | 其他 | 中楼层(共9层)  | 暂无数据,0人关注 / 10天以前发布,77,"5,651元/平"
名门世家商品房，业主诚心出售，看房方便,名门世家 -项城市,3室2厅 | 113.6平米 | 南 | 其他 | 中楼层(共19层)  | 暂无数据,0人关注 / 11天以前发布,39,"3,434元/平"
税满三房，中高楼层，采光充足，通风效果好,建业森林半岛 -周师商圈,3室2厅 | 119.94平米 | 南 | 毛坯 | 中楼层(共25层)  | 板塔结合,2人关注 / 一年前发布,71,"5,920元/平"
美景康城电梯复式楼，新装修未入住业主诚心出售！,美景康城 -商水县,5室2厅 | 110平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,12人关注 / 一年前发布,53,"4,819元/平"
新上！佳利金色东方！毛坯！业主诚心出售！,佳利金色东方佳苑 -文昌大道佳丽商圈,3室2厅 | 118平米 | 南 | 毛坯 | 高楼层(共26层)  | 塔楼,3人关注 / 一年前发布,65,"5,509元/平"
户型通透，有证可以分期，业主诚心出售，精装修未入住,奥兰未来城 -沈丘县,4室2厅 | 118平米 | 南 | 其他 | 低楼层(共25层)  | 板楼,0人关注 / 10天以前发布,69.9,"5,924元/平"
一楼有一院六一家属院，2房精装修,六一路小学家属院 -五一广场商圈,2室2厅 | 88平米 | 南 | 其他 | 低楼层(共5层)  | 板塔结合,0人关注 / 10天以前发布,39,"4,432元/平"
周师商圈，好地段，公摊小，业主诚心出售。,玖号院 -周师商圈,3室2厅 | 100.57平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,5人关注 / 5个月以前发布,56.5,"5,618元/平"
急急含泪出售建业森林半岛优质房源精装修一楼前后院,建业森林半岛 -周师商圈,3室2厅 | 133.52平米 | 东南 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,150,"11,235元/平"
和谐家园 毛坯 大三房 有证可按揭,和谐家园 -商水县,3室3厅 | 138.77平米 | 南 | 简装 | 高楼层(共16层)  | 平房,1人关注 / 一年前发布,54,"3,892元/平"
滨江国际 3室2厅2卫 有证可以按揭 看房方便,滨江国际星城 -五一广场商圈,3室2厅 | 123平米 | 南 | 简装 | 中楼层(共25层)  | 板楼,0人关注 / 一年前发布,70,"5,692元/平"
房子在三楼，带个大平台，价位也不高。,正岩城市花园 -七一路西段商圈,2室2厅 | 102.65平米 | 东 | 毛坯 | 低楼层(共3层)  | 板塔结合,12人关注 / 一年前发布,40,"3,897元/平"
佳利金色东方信苑 3室2厅 南,佳利金色东方信苑 -文昌大道佳丽商圈,3室2厅 | 120.62平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,67,"5,555元/平"
此房为中间楼层 户型方正，采光充足。,大富城二期 -西华县,3室2厅 | 124.76平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,9人关注 / 一年前发布,46,"3,688元/平"
御景湾 总高7层洋房  大4房 毛坯,御景湾 -项城市,4室2厅 | 143平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,80,"5,595元/平"
中国铁建  东来尚城  毛坯复式楼  有证税满,中国铁建·东来尚城 -维也纳商圈,5室3厅 | 214.35平米 | 南 | 毛坯 | 高楼层(共25层)  | 板楼,5人关注 / 一年前发布,98,"4,572元/平"
建业城洋房，前排观景房，客厅朝阳两卧朝阳。,项城建业城 -项城市,3室2厅 | 142.16平米 | 南 | 其他 | 低楼层(共9层)  | 暂无数据,0人关注 / 10天以前发布,92,"6,472元/平"
海通润园 3室2厅 南,海通润园 -西华县,3室2厅 | 105平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 13天以前发布,58,"5,524元/平"
此房为2梯3户采光好税满可按精装修拎包入住可随时看房,建业森林半岛 -周师商圈,2室2厅 | 89平米 | 南 | 其他 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,56,"6,293元/平"
证在手 视野宽阔 采光充足 前边无遮挡,美景康城 -商水县,3室2厅 | 114.8平米 | 南 | 简装 | 低楼层(共11层)  | 平房,0人关注 / 15天以前发布,46,"4,007元/平"
尚书府东宸，9层电梯洋房，5楼边户，可按揭,尚书府东宸 -沈丘县,4室2厅 | 136.27平米 | 南 | 其他 | 中楼层(共9层)  | 暂无数据,0人关注 / 10天以前发布,77,"5,651元/平"
佳利金色东方信苑 3室2厅 南,佳利金色东方信苑 -文昌大道佳丽商圈,3室2厅 | 120.62平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,67,"5,555元/平"
房子在三楼，带个大平台，价位也不高。,正岩城市花园 -七一路西段商圈,2室2厅 | 102.65平米 | 东 | 毛坯 | 低楼层(共3层)  | 板塔结合,12人关注 / 一年前发布,40,"3,897元/平"
此房为中间楼层 户型方正，采光充足。,大富城二期 -西华县,3室2厅 | 124.76平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,9人关注 / 一年前发布,46,"3,688元/平"
法姬娜荣盛家园 大三房 毛坯 契税两年 可按揭,荣盛家园 -商水县,3室2厅 | 127平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,55,"4,331元/平"
佳利名门  经典3房 业主房本在手  环境优美,佳利名门 -文昌大道佳丽商圈,3室2厅 | 105平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,3人关注 / 11个月以前发布,59,"5,620元/平"
贾鲁嘉苑均价3000交通便利看房方便..,贾鲁嘉苑L区 -川汇区政府商圈,3室2厅 | 129平米 | 南 | 其他 | 高楼层(共30层)  | 板楼,0人关注 / 9天以前发布,38,"2,946元/平"
法姬娜荣盛家园 多层2楼 毛坯 随意装修,荣盛家园 -商水县,3室2厅 | 139.49平米 | 南 | 毛坯 | 低楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,58,"4,159元/平"
海悦天地小区，大产权，高层。精装修房，随时过户。,海悦天地小区 -淮阳县,3室2厅 | 119平米 | 南 | 其他 | 高楼层(共26层)  | 平房,0人关注 / 9天以前发布,77,"6,471元/平"
碧水云天 电梯大三房 采光好 户型方正,碧水云天 -商水县,3室2厅 | 143平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,16人关注 / 一年前发布,67,"4,686元/平"
东湖帝景蓝湾，3室2厅1厨2卫，视野开阔。采光好。,东湖帝景蓝湾 -西华县,3室2厅 | 111.32平米 | 南 | 精装 | 6层  | 板楼,7人关注 / 一年前发布,48.8,"4,384元/平"
融辉城F区 电梯洋房 户型南北 通风 环境优雅！！,融辉城F区 -商水县,4室2厅 | 136.53平米 | 南 | 毛坯 | 中楼层(共8层)  | 板塔结合,3人关注 / 一年前发布,78,"5,714元/平"
融辉城二期，毛坯随意装修，采光充足，有证可分期,融辉城二期 -商水县,3室2厅 | 114.66平米 | 南 | 毛坯 | 高楼层(共18层)  | 平房,3人关注 / 一年前发布,56,"4,885元/平"
此房户型端正，视野广，无暗室，大露台！,普罗旺斯 -西华县,3室2厅 | 127.89平米 | 南 | 其他 | 高楼层(共21层)  | 板楼,0人关注 / 8天以前发布,71,"5,552元/平"
融辉理想城电梯三房，全屋空调，产权清晰可分期，,融辉理想城D1区 -商水县,3室2厅 | 127.78平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 7个月以前发布,60,"4,696元/平"
此房户型好 采光好  适合老人孩子居住,鑫源小区一期 -西华县,4室2厅 | 156.43平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,55.4,"3,542元/平"
房东急售，户型方正，价位合适，产权清晰,人民路739号 -西华县,3室2厅 | 116.59平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,26,"2,231元/平"
天泰花园好房出售   交通方便   有证可按揭,天泰花园 -西华县,4室2厅 | 140平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,40,"2,858元/平"
房子方正，视野广阔，采光好，交通方便，,建业城 -西华县,3室2厅 | 136.8平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,63,"4,606元/平"
该小区环境比较好，住宅人素质较高，干净整洁,普罗旺斯 -西华县,3室2厅 | 128平米 | 南 北 | 其他 | 中楼层(共21层)  | 板楼,0人关注 / 9天以前发布,59,"4,610元/平"
装修好的  增大露台  比较划算  边上就是实验,志远小区 -沈丘县,3室2厅 | 123平米 | 南 | 其他 | 高楼层(共22层)  | 板塔结合,0人关注 / 1个月以前发布,69.5,"5,651元/平"
国考锦城好楼层东边户，业主诚心出售，看房方便,国控睿智城锦城 -项城市,4室2厅 | 143.98平米 | 东 | 其他 | 高楼层(共16层)  | 暂无数据,0人关注 / 11天以前发布,80,"5,557元/平"
碧桂园天玺湾 3室1厅 南,碧桂园天玺湾 -东新区商圈,3室1厅 | 102平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 14天以前发布,57,"5,589元/平"
房子是9米多挑高户型好， 位置好，全天 采光。,升禾宽世界 -兰亭山水商圈,2室2厅 | 84平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,35,"4,167元/平"
毛坯房，交通便利，配套齐全   小区管理有序,周口东景国际名苑 -文昌大道佳丽商圈,2室2厅 | 45.76平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 板楼,0人关注 / 17天以前发布,40,"8,742元/平"
博研府 3室2厅 东,博研府 -项城市,3室2厅 | 132平米 | 东 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 7天以前发布,40,"3,031元/平"
博研府 3室2厅 南,博研府 -项城市,3室2厅 | 110平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 7天以前发布,33,"3,000元/平"
书香府邸 3室2厅 西,书香府邸 -项城市,3室2厅 | 115平米 | 西 | 其他 | 中楼层(共9层)  | 暂无数据,0人关注 / 7天以前发布,32,"2,783元/平"
梦灏御府北区 3室2厅 东,梦灏御府北区 -项城市,3室2厅 | 136.7平米 | 东 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 5天以前发布,81,"5,926元/平"
江南名苑 3室2厅 西,江南名苑 -项城市,3室2厅 | 124平米 | 西 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 5天以前发布,75,"6,049元/平"
阳光水岸.中层户型方正.交通便利,阳光水岸（项城市） -项城市,3室2厅 | 118平米 | 东 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 4天以前发布,45,"3,814元/平"
此小区户型方正，环境美，交通方便，业主诚心出售,阳光水岸（项城市） -项城市,4室2厅 | 146平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 7天以前发布,56,"3,836元/平"
此房是装修好的，东西齐全，交通方便,志远小区 -沈丘县,3室2厅 | 130平米 | 南 | 其他 | 高楼层(共22层)  | 板塔结合,0人关注 / 4天以前发布,69.8,"5,370元/平"
改善型住房，小区的环境很好，毛坯房可以随时装修,潘庄社区A区 -项城市,3室2厅 | 120平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 7天以前发布,35,"2,917元/平"
天鹏皇朝 3室2厅 南,天鹏皇朝 -南环,3室2厅 | 126.2平米 | 南 | 其他 | 中楼层(共28层)  | 板楼,0人关注 / 7天以前发布,57,"4,517元/平"
+小区环境优美。出行购物方便，，，，,大唐天龙郡 -沈丘县,3室2厅 | 134.47平米 | 南 | 其他 | 低楼层(共9层)  | 暂无数据,0人关注 / 5天以前发布,86,"6,396元/平"
此房有证，采光充足，配套设施齐全,大唐升龙城 -沈丘县,3室2厅 | 135.17平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 4天以前发布,70,"5,179元/平"
