标题,开发商,房子信息,发布信息,售价/万,单价
景苑花园 5室2厅 南 北,景苑花园 -一号公馆,5室2厅 | 239.92平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 10天以前发布,145,"6,044元/平"
不吃差价不收返费此房满两年，通透格局，视眼开阔，,保利拉菲公馆 -东亚,4室2厅 | 165.12平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,7人关注 / 一年前发布,147,"8,903元/平"
该小区地理位置好，出行方便出门菜市场,工商楼 -蒙中医院,2室1厅 | 72.84平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 5个月以前发布,27.5,"3,776元/平"
通顺街 胜利路 小  学人民公园环西劝业 全明户型,通顺西一区 -通顺,2室2厅 | 94.17平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,34.9,"3,707元/平"
不吃差价 不收返费钢37街坊 精装 4楼 标准户型,钢37小区 -包钢设计院,2室1厅 | 75平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,1人关注 / 4个月以前发布,49,"6,534元/平"
房主诚心出售 价格可议  有本配贷,解放路南小区 -南圪洞,2室1厅 | 58.33平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,30,"5,144元/平"
好房源南北通透格局低总价低首付随时可签,和平路西小区 -通顺,3室1厅 | 118.08平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,42,"3,557元/平"
南圪洞广场  一楼  出行方便 可以开店,南圪洞二区 -南圪洞,2室1厅 | 74.27平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,4人关注 / 一年前发布,37.7,"5,077元/平"
精装修 低首付 拎包入住现浇顶管道井三室两厅两卫,菜园小区 -蒙中医院,3室2厅 | 123.79平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,57,"4,605元/平"
南北格局，户型方正，配套齐全，出行方便，精装拎包,回中楼 -蒙中医院,2室2厅 | 93.14平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,1人关注 / 一年前发布,34,"3,651元/平"
钢28街坊盛星小区中装5楼，有钥匙随时看房！价格可,钢28号街坊 -包百,3室2厅 | 136.3平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,38人关注 / 9个月以前发布,91,"6,677元/平"
包百商圈 精装修 带家具 拎包入住,江南文枢苑二期 -包钢设计院,2室1厅 | 89.92平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,2人关注 / 一年前发布,98,"10,899元/平"
非顶层 采光好 小区环境好 南北通透,盛世嘉苑 -广汇,2室2厅 | 88.34平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,59,"6,679元/平"
业主诚意出售，小区绿化好，停车方便，看房方便。,矿机小区 -名人鞋城,2室2厅 | 110.85平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,45,"4,060元/平"
不吃差价 不收返费 包百旁 步行街里 户型是南北通透,钢28号街坊 -包百,3室2厅 | 141.44平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 8个月以前发布,84,"5,939元/平"
不吃差价不收返费富力城精装洋房楼层好视野无遮挡,富力城 -九原区,3室2厅 | 138.46平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,5人关注 / 7个月以前发布,106,"7,656元/平"
业主诚意出售，小区绿化好，停车方便，看车方便。,金昌511小区 -通顺,2室2厅 | 61.5平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,20,"3,253元/平"
不吃差价不收返费富力城精装洋房楼层好视野无遮挡,富力城 -九原区,3室2厅 | 138.46平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,5人关注 / 7个月以前发布,106,"7,656元/平"
西五街鑫厦小区一楼 公园路 环西劝业 低于市场价,鑫厦小区 -人民公园,2室2厅 | 99.16平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,47,"4,740元/平"
青山区万达广场旁 毛坯三居室 中楼层随时看房,振华二区 -口岸花园,3室2厅 | 141.73平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,1人关注 / 1个月以前发布,96,"6,774元/平"
房东诚心出售 快来看哇  有价可议  紧挨东大桥景观带,神龙南北 -蒙中医院,2室2厅 | 84.28平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,31,"3,679元/平"
业主急售西二区两居室，看房有钥匙,通顺西二区 -通顺,2室1厅 | 66.89平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 9个月以前发布,26,"3,887元/平"
青山区 振华二区 万达商圈 毛坯三楼 户型方正,振华二区 -口岸花园,3室2厅 | 141.73平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,1人关注 / 1个月以前发布,100,"7,056元/平"
全天采光好，有商圈，出行便捷。,矿机小区 -名人鞋城,3室1厅 | 100平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,42,"4,200元/平"
燕赵锦河湾南北通透户型。好楼层采光充足，有本可贷款,燕赵锦河湾 -鹿港小镇,2室2厅 | 94.82平米 | 南 北 | 简装 | 中楼层(共26层)  | 板楼,0人关注 / 4个月以前发布,82,"8,648元/平"
中建御兰世家毛坯 户型通透经典格局户型  无大税,中建御澜世家 -中建御澜世家,2室1厅 | 99.9平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,7人关注 / 6个月以前发布,74,"7,408元/平"
五二住宅一区 3室1厅 南 北,五二住宅一区 -二机二中双学区,3室1厅 | 101.63平米 | 南 北 | 简装 | 中楼层(共5层)  | 平房,1人关注 / 一年前发布,85,"8,364元/平"
不吃差价 不收返费，看房方便的，楼层相当好,迎宾小区 -万达,2室1厅 | 95.99平米 | 南 北 | 简装 | 中楼层(共6层)  | 塔楼,3人关注 / 8个月以前发布,70,"7,293元/平"
天福广场住宅，业主诚心出售带车位,天福广场 -青山区,3室2厅 | 143平米 | 南 北 | 简装 | 中楼层(共28层)  | 板楼,3人关注 / 7个月以前发布,95,"6,644元/平"
军官公寓 35 包百 植物园 三楼 三室两厅 118平 团 四,军官公寓 -包三十五中,3室2厅 | 117.73平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,13人关注 / 一年前发布,88,"7,475元/平"
不吃差价不收返费 明日星城 4楼大三居125平户型方正,明日星城知惠苑 -二旅社,3室2厅 | 125.25平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,94,"7,505元/平"
中间楼层采光良好，地理位置好，交通便利，精装婚房,区委宿舍楼 -蒙中医院,2室2厅 | 72.8平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,4人关注 / 9个月以前发布,35,"4,808元/平"
不吃差价 不收返费 随时看房 采光视野俱佳,东亚世纪城文馨苑 -东亚,2室2厅 | 109.56平米 | 北 南 | 简装 | 高楼层(共18层)  | 板楼,1人关注 / 4个月以前发布,85,"7,759元/平"
不吃差价不收返费小两室出售看赛罕塔拉城中草原视野好,富力城 -九原区,2室1厅 | 79.74平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 板楼,16人关注 / 11个月以前发布,50,"6,271元/平"
鹿港小镇 3室2厅 北 南,鹿港小镇 -鹿港小镇,3室2厅 | 135.74平米 | 北 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,95,"6,999元/平"
同道小 学 南二区 六楼带阁楼 大晒台 16年新装修,北梁新区南二区 -北梁新区,3室2厅 | 123.1平米 | 南 | 精装 | 高楼层(共5层)  | 暂无数据,5人关注 / 一年前发布,53,"4,306元/平"
此房 视野宽阔 采光充足 配套设施齐全,阿尔丁小区 -包头乐园,2室1厅 | 82.33平米 | 北 东 南 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 一年前发布,68,"8,260元/平"
鹿鸣苑 急售 零首富 价格可议 钥匙在手 随时看房,鹿鸣苑东区 -人民公园,2室2厅 | 70.75平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,28,"3,958元/平"
大连春意园步梯六楼，采光好，视野开阔。,春意园 -大连新型居住区,3室2厅 | 83.04平米 | 北 南 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,50,"6,022元/平"
万达花园小区 2室2厅 南,万达花园小区 -沙河街,2室2厅 | 84.57平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,54.8,"6,480元/平"
电梯洋房急售，无大税，随时看房，可议,新桃源小区 -万郡,3室2厅 | 180平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 5天以前发布,188,"10,445元/平"
赛汗塔拉友谊大街步梯二楼，舒适三居室，有阳台落地窗,友谊嘉园 -南开小学,3室1厅 | 113平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 5天以前发布,105,"9,293元/平"
正翔国际 3室2厅 南 北,正翔国际 -青山区,3室2厅 | 124平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 4天以前发布,145,"11,694元/平"
逸民园 3室1厅 南 北,逸民园 -大连新型居住区,3室1厅 | 111平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 5天以前发布,96,"8,649元/平"
颐和山庄 精装修 南北通透 三室两厅两卫,颐和山庄 -海威小区,3室2厅 | 136.69平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 18天以前发布,76,"5,561元/平"
精装修 复式结构 落地窗 采光好 一机三   二机二,都市花园一区 -二机二中双学区,3室2厅 | 172.64平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,4人关注 / 一年前发布,145,"8,399元/平"
总部经济园别墅 一二楼 带车库和单独车位 有小院,总部经济园 -一号公馆,4室3厅 | 298.28平米 | 南 北 | 其他 | 低楼层(共4层)  | 板楼,2人关注 / 6个月以前发布,360,"12,070元/平"
总部经济园别墅 一二楼 带车库和单独车位 有小院,总部经济园 -一号公馆,4室3厅 | 298.28平米 | 南 北 | 其他 | 低楼层(共4层)  | 板楼,2人关注 / 6个月以前发布,360,"12,070元/平"
包百维多利 交通四通八达 标准户型,都市豪庭 -包百,2室1厅 | 99.27平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,5人关注 / 一年前发布,94,"9,470元/平"
不吃差价不收返费嘉园泊景湾洋房三居室双阳卧拎包入住,嘉园泊景湾 -甲尔坝,3室2厅 | 142.72平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,2人关注 / 10个月以前发布,143,"10,020元/平"
南北通透，楼层较低，配套齐全，带电梯，不临街。,锡华商住楼 -106小商品城,3室1厅 | 125.56平米 | 南 北 | 毛坯 | 中楼层(共10层)  | 暂无数据,44人关注 / 一年前发布,80,"6,372元/平"
锦尚国际 三室两厅两卫  毛坯  诚心出售,锦尚国际 -锦林公园,3室2厅 | 143平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板楼,3人关注 / 11个月以前发布,125,"8,742元/平"
南北通透，楼层较低，配套齐全，带电梯，不临街。,锡华商住楼 -106小商品城,3室1厅 | 125.56平米 | 南 北 | 毛坯 | 中楼层(共10层)  | 暂无数据,23人关注 / 一年前发布,84.3,"6,714元/平"
不吃差价，不收返费，看房随时，户型方正,中建御澜世家 -中建御澜世家,3室2厅 | 143.97平米 | 南 北 | 其他 | 低楼层(共26层)  | 板塔结合,1人关注 / 6个月以前发布,110,"7,641元/平"
业主诚意出售，小区绿化好，停车方便,碧水嘉苑 -东大桥,3室2厅 | 144.8平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,65.5,"4,524元/平"
环西工贸楼 2室1厅 南 北,环西工贸楼 -通顺,2室1厅 | 94.78平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,42.8,"4,516元/平"
业主诚意出售，小区绿化好，停车方便，看房方便。,北梁新区南二区 -北梁新区,2室2厅 | 89.6平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,1人关注 / 一年前发布,56.8,"6,340元/平"
小区出行交通便利，生活配套齐全，采光好。,钢23小区 -八一公园,2室1厅 | 93.63平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,65,"6,943元/平"
此房无大税无抵押，精装修一楼 随时看房 带小院,友谊大街24号街坊 -昆区华联,2室1厅 | 59.49平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 12天以前发布,49.5,"8,321元/平"
不吃差价，不收返费，植物园对过， 南北通透，楼龄新,丰景佳苑 -阿尔丁植物园,2室2厅 | 95.51平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,72,"7,539元/平"
不吃差价不收返费富力2期 小区总共两栋环境好楼层好,富力城 -九原区,3室2厅 | 122平米 | 南 北 | 其他 | 高楼层(共29层)  | 板楼,4人关注 / 6个月以前发布,85,"6,968元/平"
此房满五，楼层好，视野宽阔，采光充足，价格的公道,区委楼 -蒙中医院,2室1厅 | 68平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,29,"4,265元/平"
团八街坊三段广源二区 3室2厅 南 北,团八街坊三段广源二区 -阿尔丁植物园,3室2厅 | 112.92平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,82,"7,262元/平"
"急售，价格可谈，无大税，可贷款,有钥匙，随时看房",尚书苑 -青山区,3室2厅 | 160.86平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,3人关注 / 10个月以前发布,106,"6,590元/平"
一不吃差价 不收返费一楼养老过度双优双阳卧,幸福路六号街坊 -劳动公园,2室1厅 | 66.99平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,23人关注 / 一年前发布,41,"6,121元/平"
不收卖方返费 不吃买方差价  ，少先二十好房出售。,少先二十街坊 -106小商品城,2室1厅 | 65.78平米 | 东南 | 其他 | 中楼层(共8层)  | 板塔结合,0人关注 / 4个月以前发布,53,"8,058元/平"
昆区步梯一楼，公园环抱，坐北朝南户型好,三阀门住宅楼 -阿尔丁植物园,2室2厅 | 98.24平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,80,"8,144元/平"
业主诚意出售，价格可议，非诚勿扰,锦绣南海城鸿龙湾唐苑 -南海,5室3厅 | 300平米 | 南 北 | 毛坯 | 低楼层(共10层)  | 塔楼,5人关注 / 一年前发布,160,"5,334元/平"
欧风丽景 -南北通透-户口清晰-看房方便-有钥匙,欧风丽景 -甲尔坝,2室2厅 | 242平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,3人关注 / 一年前发布,260,"10,744元/平"
物资公司宿舍楼..............,物资公司宿舍楼 -西脑包,3室2厅 | 149平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,78,"5,235元/平"
和平路东三区北小区、、、、、、、,和平路东三北小区 -南圪洞,3室2厅 | 124平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,62,"5,000元/平"
西脑包 6楼带阁楼晒台 08年房 采光好 有房本 诚意出售,康乐小区(东河区) -西脑包,2室1厅 | 83.3平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,46,"5,523元/平"
房龄新   视野宽阔    毛坯,天赐新城 -二旅社,2室1厅 | 98.28平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,64.9,"6,604元/平"
无贷款，一次性付款，您放心购买，让您踏实满意拥有。,物资公司宿舍楼 -西脑包,3室2厅 | 149.13平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,63,"4,225元/平"
房屋急卖，看房商议，看房方便，支持贷款,颐和山庄 -海威小区,3室2厅 | 134平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 暂无数据,5人关注 / 一年前发布,66,"4,926元/平"
颐和山庄精装的小三居，南北通透明厨明卫,颐和山庄 -海威小区,3室2厅 | 132平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,2人关注 / 10个月以前发布,66.8,"5,061元/平"
东河区康乐小区 毛坯有本配贷出售,康乐小区(东河区) -西脑包,3室2厅 | 135.7平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,47.5,"3,501元/平"
正翔国际 自带商圈  钢铁大街主路 出行方便,正翔国际 -青山区,3室2厅 | 179.94平米 | 南 北 | 精装 | 低楼层(共29层)  | 板楼,7人关注 / 一年前发布,193,"10,726元/平"
小区环境好，标准户型，安保设施齐全，保安24小时巡,颐和山庄 -海威小区,3室2厅 | 137平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼,6人关注 / 一年前发布,70,"5,110元/平"
业主诚意出售此房，配套齐全，看房方便。,明日星城知雅苑 -包钢设计院,2室2厅 | 100平米 | 南 北 | 简装 | 高楼层(共6层)  | 平房,4人关注 / 一年前发布,66,"6,600元/平"
昆区 吾悦广场、火车站旁 小区安静 绿化面积广 小错层,林南小区 -包头站,2室2厅 | 125.5平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,86,"6,853元/平"
诺德国际精装恒温恒湿恒氧，跑马大客厅，看房方便,中国中铁诺德国际花园 -南开小学,4室2厅 | 298平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,1人关注 / 一年前发布,321.5,"10,789元/平"
此房毛坯，格局美丽，价格实惠，四室两厅中间楼层,三江尊园 -中建御澜世家,3室2厅 | 141平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,7人关注 / 一年前发布,130,"9,220元/平"
民族东路 壹号公馆 向阳花苑 五楼带阁楼 买一层得两,向阳花苑 -一号公馆,3室2厅 | 140.14平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,7人关注 / 一年前发布,115,"8,207元/平"
