标题,开发商,房子信息,发布信息,售价/万,单价
格局好，楼层好，视野宽阔，采光充足,光华佳苑 -大中大,3室2厅 | 132.55平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 29天以前发布,77.8,"5,870元/平"
快乐城 九方商圈 柴桑春天 精装修 一房一厅 拎包入住,新湖柴桑春天十组团 -快乐城,1室1厅 | 45.52平米 | 东 西 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 23天以前发布,27,"5,932元/平"
万达商圈 中辉世纪城  精装三房  满五唯一 房东急售,中辉世纪城 -万达,3室2厅 | 120平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 8天以前发布,110,"9,167元/平"
新湖庐山国际  东边户 好楼层 大四室,新湖庐山国际 -万达,3室2厅 | 132平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 8天以前发布,158,"11,970元/平"
柴桑春天二区洋房一楼带大院子阳光房,柴桑春天二区 -快乐城,4室2厅 | 145平米 | 南 | 精装 | 低楼层(共4层)  | 板塔结合,0人关注 / 6天以前发布,186,"12,828元/平"
快乐城商圈 正规四房视野好 诚心卖有钥匙 价格可谈,联泰万泰城二期 -快乐城,4室2厅 | 188平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 4天以前发布,200,"10,639元/平"
一线江景房信华城市花园 精装大4室 适合三代住居,信华城市花园一期 -大中大,4室2厅 | 168平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 3天以前发布,135,"8,036元/平"
浔阳区满庭春旁御江一品毛坯3室,御江一品 -白水湖,3室2厅 | 106平米 | 南 | 毛坯 | 低楼层(共24层)  | 板楼,0人关注 / 3天以前发布,92,"8,680元/平"
浔阳满庭春旁御江一品纯毛坯三室,御江一品 -白水湖,3室2厅 | 105平米 | 南 | 毛坯 | 低楼层(共28层)  | 板楼,0人关注 / 3天以前发布,88,"8,381元/平"
南山公园保利庐山林语毛坯叠墅低价出售,保利庐山林语C区 -南山,4室2厅 | 178平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 6天以前发布,180,"10,113元/平"
此房满两年，原房东精装修，通透户型，全天阳光,浔海花园 -十里,5室2厅 | 202平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,0人关注 / 7天以前发布,115,"5,694元/平"
庐松苑 位置好 看房方便 房东精装 诚心出售,庐松苑 -白水湖,3室2厅 | 134.23平米 | 南 北 | 精装 | 高楼层(共7层)  | 塔楼,0人关注 / 5天以前发布,79.8,"5,946元/平"
房子真实在售，看房提前预约维护人，带地下室，院子,南山名苑 -南山,3室2厅 | 137.48平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 3天以前发布,173,"12,584元/平"
中梁首府，市府旁，地段好，环境好,中梁首府 -八里湖,4室2厅 | 161平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 7天以前发布,256,"15,901元/平"
联泰·万泰城一期 4室2厅 南,联泰·万泰城一期 -快乐城,4室2厅 | 188.05平米 | 南 | 毛坯 | 33层  | 板楼,0人关注 / 1天以前发布,200,"10,636元/平"
行署大院，一楼有院子出行方便，简装,行署大院中区 -和中广场,3室1厅 | 99平米 | 南 | 简装 | 低楼层(共1层)  | 暂无数据,0人关注 / 3天以前发布,190,"19,192元/平"
万达商圈，碧桂园精装交付，小区环境好，经典四房,碧桂园九玺 -十里,4室2厅 | 142平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 6天以前发布,135,"9,508元/平"
万达商圈，碧桂园精装修，户型方正，视野很好,碧桂园九玺 -十里,4室2厅 | 142平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 4天以前发布,138,"9,719元/平"
电梯复 式豪 华装修装修花了100万,东方塞纳 -开发区,5室2厅 | 162.64平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 4天以前发布,228,"14,019元/平"
信华城市花园一期 3室2厅 南,信华城市花园一期 -大中大,3室2厅 | 111.87平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 3天以前发布,80,"7,152元/平"
御江一品纯毛坯三室 适合养老住居,御江一品 -白水湖,3室2厅 | 106平米 | 南 | 毛坯 | 低楼层(共28层)  | 板楼,0人关注 / 3天以前发布,78,"7,359元/平"
广隆.滨江学府 采光充足 交通便利,广隆·滨江学府 -白水湖,3室2厅 | 117平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 6天以前发布,109,"9,317元/平"
中梁首府，市府旁，地段好，环境好,中梁首府 -八里湖,4室2厅 | 161平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 7天以前发布,256,"15,901元/平"
御江一品 3室2厅 南,御江一品 -白水湖,3室2厅 | 99.6平米 | 南 | 毛坯 | 低楼层(共28层)  | 板楼,0人关注 / 3天以前发布,91,"9,137元/平"
十里万达学院旁优质花园洋房，房东诚心出售！！！,华龙·莱茵美郡 -万达,3室2厅 | 132.28平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 19天以前发布,95.5,"7,220元/平"
阳光好，总价低.适合居住及刚需资金不多购房人群,庐峰小区 -白水湖,3室2厅 | 133平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,12人关注 / 一年前发布,68.5,"5,151元/平"
买一层得两层 毛坯复式 带大露台 国豪水岸城阳光三房,国豪水岸城 -开发区,4室2厅 | 124.14平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,97,"7,814元/平"
九龙广场旁 三兴花园新出 视野开阔 可拎包入住 诚售！,三兴花园 -新桥头,3室2厅 | 101平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,11人关注 / 一年前发布,68,"6,733元/平"
此房满五唯一，户型结构合理，南北通风好，阳光充足,浔阳东路141号 -白水湖,2室2厅 | 83.82平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 12天以前发布,48,"5,727元/平"
南山公园旁 ，拎包入住，看房请联系维护人。,万诚·中央公园 -南山,2室2厅 | 69.61平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 14天以前发布,65,"9,338元/平"
房东诚心出售，空置，想到九江买房。,金桥大市场 -瑞昌市,3室2厅 | 130.96平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 12天以前发布,79.8,"6,094元/平"
铁四局 大院 好停车 好停车 环境好 出行方便,中国中铁四局五公司社区 -万达,2室1厅 | 52平米 | 南 北 | 精装 | 中楼层(共5层)  | 平房,0人关注 / 12天以前发布,38,"7,308元/平"
房东很诚心，急售，急售，急售，，，，，，,金丰御园 -莲花,3室2厅 | 128平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 13天以前发布,58,"4,532元/平"
汽车站万达旁精装大四房，诚意出售。视线好,新湖庐山国际 -万达,4室2厅 | 158平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 16天以前发布,173.8,"11,000元/平"
南山公园  双峰  大三房   南北通透,海扬小区 -南山,3室2厅 | 153平米 | 南 北 | 精装 | 低楼层(共12层)  | 暂无数据,0人关注 / 12天以前发布,96,"6,275元/平"
宇龙湖畔花园 4室2厅 南 北,宇龙湖畔花园 -八里湖,4室2厅 | 143平米 | 南 北 | 精装 | 低楼层(共23层)  | 板塔结合,0人关注 / 10天以前发布,123,"8,602元/平"
九龙新城B区洋房 精装修 房东诚心出售 带车位,九龙新城B区 -八里湖,4室2厅 | 154平米 | 南 北 | 精装 | 高楼层(共8层)  | 板塔结合,0人关注 / 13天以前发布,316.8,"20,572元/平"
浔阳区大中大马狮 美的开发商 大四房 楼层好 诚心出售,美的天铂湾 -大中大,4室2厅 | 140平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 12天以前发布,140,"10,000元/平"
浔阳旁 正规三房 电梯房 户型正 位置好,阳光公馆 -白水湖,3室2厅 | 109.54平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,0人关注 / 12天以前发布,88,"8,034元/平"
四房两厅两卫，适合三代家人居住的高品质小区,江州华府 -柴桑区,4室2厅 | 123.6平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,20人关注 / 一年前发布,85,"6,878元/平"
带露台，精装修复式楼，全面采光，商圈成熟，看房方便,裕泰园小区 -万达,5室3厅 | 248平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,2人关注 / 6个月以前发布,137,"5,525元/平"
环境优美，户型方正，采光通风好，60平方阳光房,公园一号三期 -柴桑区,3室2厅 | 107.86平米 | 东南 | 精装 | 低楼层(共19层)  | 板塔结合,1人关注 / 8个月以前发布,72.8,"6,750元/平"
白水湖旁 单位宿舍房无公摊 三层复式房 精装拎包入住,九江发电厂生活区 -莲花,3室2厅 | 95.02平米 | 南 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 3个月以前发布,38.5,"4,052元/平"
火车站商圈，龙鑫花园小区，房子格局好，交通便利,龙鑫花园B区 -万达,3室2厅 | 136.48平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,78.5,"5,752元/平"
庐峰小区，大三房 阳光好精装修，位置好,庐峰小区 -白水湖,3室2厅 | 155平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,1人关注 / 9个月以前发布,82,"5,291元/平"
甘棠湖公园旁，三层复式楼带露台，诚心出售，价格可谈,甘棠湖花苑 -湖滨,5室3厅 | 189平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,29人关注 / 一年前发布,120,"6,350元/平"
此房南北通格局 采光充足 视野宽阔 生活设施配套齐全,庐山新城 -莲花,3室2厅 | 128.79平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,2人关注 / 6个月以前发布,55,"4,271元/平"
九方商圈，200平大平台，精装三房 户型正方,中航城 -八里湖,3室2厅 | 113.6平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,4人关注 / 8个月以前发布,128,"11,268元/平"
庐山左近 芳兰美庐 精装别墅 环境优美 交通便利,蔚蓝比华利 -莲花,4室2厅 | 126.2平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,6人关注 / 一年前发布,219.8,"17,417元/平"
柴桑春天洋房5+1复式 精装修 带大阳光房,新湖柴桑春天一区 -快乐城,4室3厅 | 172.58平米 | 南 西 北 | 精装 | 高楼层(共5层)  | 板塔结合,8人关注 / 4个月以前发布,165,"9,561元/平"
九江碧桂园双拼别墅 70年住宅产权 带花园 车位,九江碧桂園 -柴桑区,5室2厅 | 251.02平米 | 东南 | 毛坯 | 低楼层(共3层)  | 板楼,3人关注 / 10个月以前发布,200,"7,968元/平"
万达商圈   急售房东精装带家电家具   楼阁  入户花园,中茂铂宫 -万达,3室2厅 | 107.84平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,4人关注 / 一年前发布,93,"8,624元/平"
九江碧桂园双拼别墅 70年住宅产权 带花园 车位,九江碧桂園 -柴桑区,5室2厅 | 251.02平米 | 东南 | 毛坯 | 低楼层(共3层)  | 板楼,3人关注 / 10个月以前发布,200,"7,968元/平"
万达商圈   急售房东精装带家电家具   楼阁  入户花园,中茂铂宫 -万达,3室2厅 | 107.84平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,4人关注 / 一年前发布,93,"8,624元/平"
八里湖 市政府旁边 小区环境好 绿化高,水岸莲华 -八里湖,4室2厅 | 141.14平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,94,"6,661元/平"
柴 桑 春 天 精 装 房 ， 诚 意 出 售,新湖柴桑春天一区 -快乐城,3室2厅 | 137.46平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,0人关注 / 2个月以前发布,139,"10,113元/平"
房东诚心出售满五唯一贤母园边上的精装大三房,江南熙园 -柴桑区,3室2厅 | 120.99平米 | 北 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 8个月以前发布,63.3,"5,232元/平"
三开间大面积私房，带院子，好停车，,柳林路 -柴桑区,9室4厅 | 439.71平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,1人关注 / 2个月以前发布,210,"4,776元/平"
新装修 八米宽 两层半 单家独院 5室3卫 拎包入住,雷家林东路 -瑞昌市,5室2厅 | 223平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,1人关注 / 7个月以前发布,208,"9,328元/平"
八里湖水岸莲华大四房带装修直接拎包入住,水岸莲华 -八里湖,4室1厅 | 153.61平米 | 西南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 6天以前发布,145,"9,440元/平"
八里湖商圈 市政府体育馆 水岸莲华 楼层视线阳光好,水岸莲华 -八里湖,2室2厅 | 97.4平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 6天以前发布,73,"7,495元/平"
长虹小区 正规3房 长虹大道公交站 出入方便 买菜方便,长虹小区 -万达,3室1厅 | 76平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 7天以前发布,43,"5,658元/平"
万达商圈 南山公园 南山雅苑 盛世名都 洋房毛坯三房,极地·盛世名都 -南山,3室2厅 | 103.3平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,115,"11,133元/平"
大润发广场 4室2厅 南,大润发广场 -快乐城,4室2厅 | 103.13平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 2天以前发布,96,"9,309元/平"
天翼景城毛坯房，正规，诚意出售，,天翼景城 -开发区,3室2厅 | 86平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 7天以前发布,75,"8,721元/平"
少有的四房房源，楼层很好，毛坯可按自己的喜欢来装修,国豪景畔湾 -开发区,4室2厅 | 128平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 6天以前发布,112,"8,750元/平"
此房为开发区新小区电梯三居室 景观房,望江天悦Ⅲ期 -开发区,3室2厅 | 107.25平米 | 南 | 毛坯 | 低楼层(共34层)  | 暂无数据,0人关注 / 8天以前发布,75,"6,994元/平"
供暖供冷 九龙新城 边户不受高速影响 阳光好视野好,九龙新城C区 -八里湖,3室2厅 | 126.6平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 5天以前发布,152,"12,007元/平"
八里湖碧桂园君悦江山好房诚心出售，阳光视线好。,联发新旅君悦江山 -八里湖,4室1厅 | 131平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 7天以前发布,145,"11,069元/平"
此房正规三房，一线湖景房，楼层好采光视野好,观澜盛世 -开发区,3室2厅 | 135.14平米 | 南 | 毛坯 | 低楼层(共28层)  | 板塔结合,0人关注 / 3天以前发布,139,"10,286元/平"
户型方正，南北布局，生活便利，精装修,沿浔安置小区 -开发区,3室2厅 | 116.9平米 | 南 | 精装 | 高楼层(共16层)  | 板塔结合,0人关注 / 6天以前发布,68,"5,817元/平"
八里湖新区中辉御龙湾，好楼层小三房，诚意出售,中辉御龙湾 -八里湖,3室2厅 | 100平米 | 南 | 毛坯 | 高楼层(共24层)  | 板塔结合,0人关注 / 4天以前发布,160,"16,000元/平"
万达商圈配套，低价实用南北三房，有钥匙，随时可看,浔安小区一期 -万达,3室2厅 | 109.39平米 | 南 北 | 毛坯 | 高楼层(共13层)  | 板楼,0人关注 / 6天以前发布,65.8,"6,016元/平"
赣北商城社区 4室1厅 南,赣北商城社区 -十里,4室1厅 | 127平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 5天以前发布,70,"5,512元/平"
精装修，楼层好，，视野好，南北通透,民生·瞰江郡 -开发区,3室2厅 | 101.43平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 5天以前发布,69,"6,803元/平"
九颂山河博园 3室2厅 南 北,九颂山河博园 -柴桑区,3室2厅 | 87.58平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 3天以前发布,55,"6,280元/平"
湖滨北区，税费少，诚心出售，生活方便,湖滨小区北区 -湖滨,3室1厅 | 77.71平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 8天以前发布,135,"17,373元/平"
新桥头一楼带院子，户型好，交通便利,广隆·星澜湾 -新桥头,3室2厅 | 115.54平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 3天以前发布,90,"7,790元/平"
万达商圈 南山公园 南山雅苑 盛世名都 洋房毛坯三房,极地·盛世名都 -南山,3室2厅 | 116.68平米 | 南 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 5天以前发布,111,"9,514元/平"
中联城 3室2厅 南 北,中联城 -开发区,3室2厅 | 139平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,0人关注 / 4天以前发布,106,"7,626元/平"
快乐城联泰万泰城毛坯大两房，楼层好,联泰万泰城二期 -快乐城,2室2厅 | 91.27平米 | 南 | 毛坯 | 中楼层(共17层)  | 板塔结合,0人关注 / 3天以前发布,80,"8,766元/平"
万达商圈，碧桂园九玺，全人车分流小区。户型方正,碧桂园九玺 -十里,3室2厅 | 109平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 7天以前发布,96,"8,808元/平"
万达商圈 南山脚下 南山公园 盛世名都  70年产权住宅,极地·盛世名都 -南山,2室1厅 | 54平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 4天以前发布,50,"9,260元/平"
靠万达 铜锣湾 汽车站 两房总价低,怡居苑 -莲花,2室1厅 | 58.52平米 | 南 | 简装 | 高楼层(共17层)  | 板塔结合,0人关注 / 7天以前发布,30.5,"5,212元/平"
房东诚意出售，电梯洋房，南北通透，户型好看房方便，,广隆阳光城 -柴桑区,3室2厅 | 118.78平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,0人关注 / 7天以前发布,52.5,"4,420元/平"
精装修，带大院子，带车位，包增值税,锦天府 -新桥头,3室2厅 | 111.77平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 4天以前发布,131,"11,721元/平"
