标题,开发商,房子信息,发布信息,售价/万,单价
天下名筑毛坯三房 满两年 中高层 全明户型 随时看房,天下名筑 -老峰镇,3室2厅 | 110.48平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 4天以前发布,66,"5,974元/平"
毛坯新房，前面视野开阔，万达隔壁,天下名筑 -老峰镇,3室2厅 | 92.92平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,2人关注 / 一年前发布,74,"7,964元/平"
一楼带院子，采光好，毛坯可以随心装修。,杭派·滟澜香堤 -龙狮桥乡,3室2厅 | 112.32平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,9人关注 / 一年前发布,117,"10,417元/平"
滨江CBD商圈，置地皖江四季，新房交付,置地·皖江府 -龙狮桥乡,3室1厅 | 117.95平米 | 南 | 其他 | 低楼层(共17层)  | 板楼,2人关注 / 一年前发布,100,"8,479元/平"
置地皖江四季 品质小区 环境优美 房东诚心出售,置地皖江四季 -龙狮桥乡,3室2厅 | 133平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,4人关注 / 一年前发布,115,"8,647元/平"
安庆碧桂园钻石郡 3室2厅 南 北,安庆碧桂园钻石郡 -龙狮桥乡,3室2厅 | 132.22平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 14天以前发布,98,"7,412元/平"
万达旁 位置佳 毛坯可自由装修 户型好 楼层适中,碧桂园凤凰湾 -龙狮桥乡,3室2厅 | 105.52平米 | 南 | 毛坯 | 低楼层(共25层)  | 平房,23人关注 / 一年前发布,59,"5,592元/平"
1号公园 东部新城 中间楼层 户型正证满总价低,碧桂园1号公园 -龙狮桥乡,3室2厅 | 111.13平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,1人关注 / 一年前发布,75.8,"6,821元/平"
此房 开发商精装交通便利 成熟配套 业主诚意售,碧桂园1号公园 -龙狮桥乡,3室1厅 | 130.1平米 | 南 北 | 其他 | 高楼层(共30层)  | 板楼,0人关注 / 9天以前发布,88,"6,765元/平"
山水云间  毛坯三室  中间楼层 户型方正,碧桂园山水云间 -龙狮桥乡,3室2厅 | 113.04平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,12人关注 / 一年前发布,69.5,"6,149元/平"
万达广场旁  南北全明户型 户型方正 .,碧桂园山水云间 -龙狮桥乡,3室2厅 | 114平米 | 南 | 其他 | 低楼层(共20层)  | 板楼,0人关注 / 15天以前发布,70,"6,141元/平"
安庆东部新城苏宁商圈，配套齐全，交通便捷,安庆苏宁悦城 -龙狮桥乡,3室2厅 | 125.97平米 | 南 | 其他 | 低楼层(共9层)  | 暂无数据,0人关注 / 9天以前发布,130,"10,320元/平"
安庆碧桂园钻石郡 4室2厅 南,安庆碧桂园钻石郡 -龙狮桥乡,4室2厅 | 138平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 15天以前发布,118,"8,551元/平"
大发三期  精装小高层飞机户  好楼层  单价低,大发宜景城三期 -龙狮桥乡,3室2厅 | 116平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,0人关注 / 14天以前发布,95,"8,190元/平"
恒大绿洲电梯精装大三居高楼层出售,恒大绿洲 -龙狮桥乡,3室2厅 | 134.16平米 | 南 北 | 其他 | 21层  | 板塔结合,0人关注 / 1个月以前发布,86.8,"6,470元/平"
精装三房 视野开阔 证满  房东诚售,迎江御墅 -龙狮桥乡,3室2厅 | 88.32平米 | 南 | 精装 | 中楼层(共11层)  | 平房,8人关注 / 一年前发布,64.8,"7,337元/平"
一线江景  视野开阔  全天采光  房东诚心出售,碧桂园凤凰湾 -龙狮桥乡,4室1厅 | 139.52平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,5人关注 / 7个月以前发布,95,"6,810元/平"
此房户型方正 南北通透 楼层好 采光视野好,安庆碧桂园钻石郡 -龙狮桥乡,3室2厅 | 128.75平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,3人关注 / 一年前发布,88,"6,835元/平"
安庆碧桂园钻石郡 3室2厅 南 北,安庆碧桂园钻石郡 -龙狮桥乡,3室2厅 | 132平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 9天以前发布,138,"10,455元/平"
精装修，诚心出售，钥匙看房方便,绿地二期巴赫公馆 -龙狮桥乡,3室2厅 | 118.15平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,109,"9,226元/平"
新世纪花园：吾悦电梯房 中间楼层  三室两厅两卫 精装,新世纪花园 -新河,3室2厅 | 133.55平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 25天以前发布,118,"8,836元/平"
房子是洋房的，中上好楼层，采光视野好,博雅花苑 -大桥,3室2厅 | 117.1平米 | 南 | 毛坯 | 中楼层(共9层)  | 板楼,0人关注 / 29天以前发布,89.9,"7,678元/平"
置地皖江四季 3室2厅 南,置地皖江四季 -龙狮桥乡,3室2厅 | 133平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 2天以前发布,150,"11,279元/平"
水岸花都 3室1厅 南,水岸花都 -龙狮桥乡,3室1厅 | 102.88平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 2天以前发布,68.8,"6,688元/平"
绿地一期卡莎公馆 4室2厅 南 北,绿地一期卡莎公馆 -龙狮桥乡,4室2厅 | 120平米 | 南 北 | 其他 | 24层  | 板楼,0人关注 / 7天以前发布,100,"8,334元/平"
绿地一期卡莎公馆 5室1厅 南 北,绿地一期卡莎公馆 -龙狮桥乡,5室1厅 | 214.99平米 | 南 北 | 其他 | 24层  | 板楼,0人关注 / 2天以前发布,190,"8,838元/平"
水岸花都东部新城，上下两层复式，业主诚心出售,水岸花都 -龙狮桥乡,4室2厅 | 150.92平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,76.9,"5,096元/平"
京安花苑 2室2厅 南 北,京安花苑 -菱湖,2室2厅 | 94.63平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 3天以前发布,68,"7,186元/平"
绿地三期一楼通透户型，精装三房，看房提前联系，急售,绿地三期西斯莱公馆 -龙狮桥乡,3室2厅 | 110平米 | 南 北 | 其他 | 低楼层(共30层)  | 板楼,0人关注 / 2天以前发布,98.8,"8,982元/平"
江景房 精装三室 南北通透 随时看房,碧桂园1号公园 -龙狮桥乡,3室2厅 | 87.17平米 | 南 北 | 其他 | 高楼层(共30层)  | 板楼,0人关注 / 7天以前发布,65,"7,457元/平"
绿地二期巴赫公馆 3室2厅 南,绿地二期巴赫公馆 -龙狮桥乡,3室2厅 | 136.6平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 2天以前发布,118,"8,639元/平"
大发宜景城一期 3室2厅 南,大发宜景城一期 -龙狮桥乡,3室2厅 | 132.75平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 4天以前发布,105,"7,910元/平"
棋盘山路西一巷 2室1厅 南 北,棋盘山路西一巷 -华中路,2室1厅 | 65.38平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,0人关注 / 5天以前发布,46,"7,036元/平"
大发宜景城一期 3室2厅 南,大发宜景城一期 -龙狮桥乡,3室2厅 | 132.75平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 4天以前发布,105,"7,910元/平"
碧桂园1号公园 3室1厅 南,碧桂园1号公园 -龙狮桥乡,3室1厅 | 130.62平米 | 南 | 其他 | 中楼层(共30层)  | 板楼,0人关注 / 1天以前发布,75,"5,742元/平"
吾悦华府一期  四房双卫 双阳台 精装 满两年,新城吾悦华府一期 -新河,4室2厅 | 139.88平米 | 南 | 简装 | 高楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,139.9,"10,002元/平"
房子满五唯一，标准3房，通透性好，有钥匙看房方便。,红旗千和花园 -新河,4室2厅 | 143平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,2人关注 / 一年前发布,145,"10,140元/平"
碧桂园凤凰湾2梯2户南北全明飞机户，毛坯房,碧桂园凤凰湾 -龙狮桥乡,3室2厅 | 120平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,90,"7,500元/平"
山水云间 中间楼层 采光好 标准户型,碧桂园山水云间 -龙狮桥乡,2室2厅 | 92平米 | 南 北 | 其他 | 中楼层(共22层)  | 板楼,3人关注 / 一年前发布,74,"8,044元/平"
房屋精装修，东边户，中间楼层，采光视野明亮,绿地二期巴赫公馆 -龙狮桥乡,3室2厅 | 118平米 | 南 | 其他 | 高楼层(共26层)  | 板楼,0人关注 / 一年前发布,120,"10,170元/平"
绿地四期方正三房 面积充足 前后无遮挡,绿地四期卢浮公馆 -龙狮桥乡,3室2厅 | 121.45平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,4人关注 / 一年前发布,92,"7,576元/平"
万达商圈 大发一期 精装叠墅 南北通透 带小院和车位,大发宜景城一期 -龙狮桥乡,5室2厅 | 213平米 | 南 北 | 精装 | 低楼层(共4层)  | 板楼,0人关注 / 11天以前发布,238,"11,174元/平"
2022年11月新交付小区，小区环境优美，配套设施齐全,安庆苏宁悦城 -龙狮桥乡,4室2厅 | 141平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 10天以前发布,163,"11,561元/平"
苏宁悦城四室两厅两卫的小洋房，全明户型,安庆苏宁悦城 -龙狮桥乡,4室2厅 | 140平米 | 南 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 10天以前发布,168,"12,000元/平"
置地天玺，三室两厅两卫，楼层好，全明户型,置地天玺 -龙狮桥乡,3室2厅 | 127.46平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 11天以前发布,140,"10,984元/平"
东部新城 孵化园北边金山华府次新房 户型方正诚心出售,金山华府 -未知商圈,3室2厅 | 139.03平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 11天以前发布,56,"4,028元/平"
雨润中央新城，业主精装80万，目前自住，诚心出售。,雨润中央新城 -龙狮桥乡,3室2厅 | 150平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 15天以前发布,186,"12,400元/平"
安庆苏宁悦城，全新毛坯房，东边户，采光视野好,安庆苏宁悦城 -龙狮桥乡,3室2厅 | 125平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 15天以前发布,125.6,"10,048元/平"
：此房位置好，采光好，户型方正，业主自住精装修,绿地四期卢浮公馆 -龙狮桥乡,4室2厅 | 138.47平米 | 东南 | 精装 | 低楼层(共33层)  | 板楼,6人关注 / 5个月以前发布,138,"9,967元/平"
碧桂园山水云间全南户型，前无遮挡,碧桂园山水云间 -龙狮桥乡,3室1厅 | 123.43平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,98,"7,940元/平"
恒大绿洲小两口婚房，没有怎么入住过 诚心出售,恒大绿洲 -龙狮桥乡,3室2厅 | 115.52平米 | 北 | 精装 | 32层  | 板塔结合,2人关注 / 一年前发布,92,"7,964元/平"
此房为精装房，房子户型方正，房主自住精装修,碧桂园1号公园 -龙狮桥乡,4室2厅 | 176.1平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,11人关注 / 8个月以前发布,122,"6,928元/平"
满五年，精装修拎包可入住，双卫生间家人居住舒适,恒大绿洲 -龙狮桥乡,3室2厅 | 120.22平米 | 南 | 精装 | 33层  | 塔楼,3人关注 / 一年前发布,118,"9,816元/平"
三开间朝南 业主精装 满两年 诚心出售,碧桂园山水云间 -龙狮桥乡,3室2厅 | 125.35平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,6人关注 / 一年前发布,86,"6,861元/平"
一线江景无任何挡 奢华精装五房两卫  好楼层东边户,迎江御墅 -龙狮桥乡,5室2厅 | 205.88平米 | 南 | 精装 | 中楼层(共18层)  | 平房,16人关注 / 一年前发布,184,"8,938元/平"
钻石郡电梯洋房精装四房 满两年 公摊小得房率大有车位,安庆碧桂园钻石郡 -龙狮桥乡,4室2厅 | 144.98平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,137,"9,450元/平"
湖景精装三房 朝南面多 采光好 成熟物业 绿化好,恒大绿洲 -龙狮桥乡,3室2厅 | 102.58平米 | 南 | 精装 | 32层  | 板塔结合,2人关注 / 一年前发布,83,"8,092元/平"
大三房边户，南北通透，精装家具家电齐全,碧桂园1号公园 -龙狮桥乡,3室2厅 | 112.74平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,9人关注 / 一年前发布,70,"6,209元/平"
碧桂园山水云间双拼别墅，院子大，业主自己欧式装修,碧桂园山水云间 -龙狮桥乡,4室2厅 | 218.9平米 | 南 | 精装 | 3层  | 板楼 | 双拼别墅 ,4人关注 / 一年前发布,280,"12,792元/平"
碧桂园一号公园，房东精心自装，全新，拎包即住,碧桂园1号公园 -龙狮桥乡,3室2厅 | 111.54平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,91.8,"8,231元/平"
万达秦潭湖大别墅，小区环境优美，日照充足无遮挡,秦潭凤舞小区 -龙狮桥乡,4室2厅 | 167.51平米 | 南 | 精装 | 3层  | 暂无数据 | 联排别墅 ,1人关注 / 一年前发布,249,"14,865元/平"
绿地一期 一线品牌家装 飞机户型大三房,绿地一期卡莎公馆 -龙狮桥乡,3室2厅 | 110.92平米 | 南 北 | 精装 | 11层  | 板楼,6人关注 / 一年前发布,125,"11,270元/平"
龙山路高层，朝南户型，采光充足，视野开阔,龙山路 -宜城路,2室1厅 | 64.04平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 11天以前发布,45,"7,027元/平"
房子简单装修复式楼，拎包即住，采光通风好,梦都家园 -怀宁县,3室2厅 | 119.03平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,75,"6,301元/平"
迎江御墅双拼边户别墅 有大花园 满两年 价格优惠 诚售,迎江御墅 -龙狮桥乡,3室2厅 | 171.87平米 | 南 北 | 精装 | 3层  | 平房 | 双拼别墅 ,2人关注 / 2个月以前发布,208,"12,103元/平"
大发二期  精装复式  满5年  上面一层不在房产证面积,大发宜景城二期 -龙狮桥乡,5室1厅 | 115.47平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,7人关注 / 一年前发布,85.8,"7,431元/平"
老社区业主诚心出售，老式装修收拾的很干净。随时看房,三角商贸城 -怀宁县,3室2厅 | 108.24平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,50,"4,620元/平"
置地皖江府  滨江CBD 精品四房 高档小区 人车分流,置地·皖江府 -龙狮桥乡,4室2厅 | 133.86平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,2人关注 / 一年前发布,132,"9,862元/平"
全新毛坯房四室，楼间距大，采光和楼层都好。,置地·皖江府 -龙狮桥乡,4室2厅 | 132.29平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 一年前发布,122,"9,223元/平"
同安府，开发区新房，四室，户型好，采光佳，,同安府 -菱北,4室2厅 | 133平米 | 南 | 毛坯 | 中楼层(共16层)  | 板楼,0人关注 / 6天以前发布,129,"9,700元/平"
雨润香水百合 两室两厅精装修房子方正,雨润香水百合 -龙狮桥乡,2室2厅 | 97.79平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 3天以前发布,98,"10,022元/平"
林语棠一期 2室1厅 南,林语棠一期 -龙狮桥乡,2室1厅 | 85.4平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 2天以前发布,80,"9,368元/平"
棋盘山路精装两房，满两年，中间楼层,棋盘山路36号 -新河,2室1厅 | 56.6平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 8天以前发布,39.8,"7,032元/平"
好地段三房，户型方正，通风好 采光视野开阔,华中西路北二巷 -华中路,3室1厅 | 72.1平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 9天以前发布,60,"8,322元/平"
天下名筑 纯新 毛坯房通透户型 采光充足,天下名筑 -老峰镇,3室2厅 | 111.5平米 | 南 北 | 其他 | 中楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,73,"6,548元/平"
迎江御墅 5室2厅 南,迎江御墅 -龙狮桥乡,5室2厅 | 206平米 | 南 | 其他 | 低楼层(共18层)  | 平房,0人关注 / 30天以前发布,178,"8,641元/平"
新里程小区好房，阳光，视线，无忧,绿地新里城 -老峰镇,3室2厅 | 98平米 | 南 | 其他 | 高楼层(共27层)  | 暂无数据,1人关注 / 29天以前发布,63,"6,429元/平"
香水百合小区.小区地段优越，出行方便，,雨润香水百合 -龙狮桥乡,3室2厅 | 127.33平米 | 南 | 其他 | 低楼层(共11层)  | 板塔结合,0人关注 / 30天以前发布,120,"9,425元/平"
小区环境优雅，房子户型方正，采光视野很好,绿地新里城 -老峰镇,3室2厅 | 116平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 28天以前发布,78,"6,725元/平"
长江万里是长江边全新小区，楼间距大，采光好,安庆碧桂园·长江万里 -龙狮桥乡,3室2厅 | 112.96平米 | 南 | 其他 | 中楼层(共27层)  | 暂无数据,0人关注 / 20天以前发布,79,"6,994元/平"
万达旁 政务区 户型端正朝南格局 厅通阳台,金大地天元府 -老峰镇,3室2厅 | 127平米 | 南 | 其他 | 低楼层(共27层)  | 板楼,0人关注 / 19天以前发布,106,"8,347元/平"
百圣花苑 3室2厅 南,百圣花苑 -龙狮桥乡,3室2厅 | 122平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 18天以前发布,53,"4,345元/平"
置地天玺 3室1厅 南 北,置地天玺 -龙狮桥乡,3室1厅 | 157.06平米 | 南 北 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 18天以前发布,150,"9,551元/平"
林语棠中层东面户飞机户带两个车位出售,宜海林语棠三期 -龙狮桥乡,3室2厅 | 127.36平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 21天以前发布,132,"10,365元/平"
金山华府 3室2厅 南,金山华府 -未知商圈,3室2厅 | 139.45平米 | 南 | 其他 | 中楼层(共27层)  | 板楼,0人关注 / 22天以前发布,52,"3,729元/平"
金山华府 东部新城 毛坯三房 南北通透,金山华府 -未知商圈,3室2厅 | 139.34平米 | 南 北 | 其他 | 低楼层(共27层)  | 板楼,0人关注 / 29天以前发布,56,"4,019元/平"
迎江御墅 5室2厅 南,迎江御墅 -龙狮桥乡,5室2厅 | 206平米 | 南 | 其他 | 低楼层(共18层)  | 平房,0人关注 / 30天以前发布,178,"8,641元/平"
万达商圈，一线湖景，视野好，全天采光，带车位，满二,碧桂园凤凰湾 -龙狮桥乡,4室2厅 | 140平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板塔结合,0人关注 / 18天以前发布,85,"6,072元/平"
碧桂园1号公园 3室2厅 南 北,碧桂园1号公园 -龙狮桥乡,3室2厅 | 112平米 | 南 北 | 其他 | 低楼层(共30层)  | 板楼,0人关注 / 27天以前发布,83,"7,411元/平"
