标题,开发商,房子信息,发布信息,售价/万,单价
东站旁 梧桐邑满二税低 双阳双卫全明通透户型,华鹏梧桐邑 -东站,4室2厅 | 117.07平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 5天以前发布,68,"5,809元/平"
五一广场精装修3房带车位，拎包入住,山水华庭 -东站,3室2厅 | 98平米 | 南 北 | 精装 | 中楼层(共23层)  | 板楼,0人关注 / 5个月以前发布,105,"10,715元/平"
中建·宜城春晓 3室2厅 南,中建·宜城春晓 -东站,3室2厅 | 103.47平米 | 南 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,70,"6,766元/平"
兴润·秋语台 4室2厅 南 北 东,兴润·秋语台 -东站,4室2厅 | 135.62平米 | 南 北 东 | 精装 | 中楼层(共31层)  | 板塔结合,2人关注 / 4个月以前发布,115,"8,480元/平"
七里岗整栋私房三层336平米仅售92万,七里岗二巷39号 -夷陵区,6室3厅 | 336.93平米 | 东南 | 简装 | 低楼层(共3层)  | 暂无数据,8人关注 / 一年前发布,85,"2,523元/平"
水悦城 民生家园装修三房 满五 民生世家华翔世纪城旁,民生家园 -东山开发区,3室2厅 | 125.19平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,80,"6,391元/平"
轻奢风格，东易日盛装修，房东诚心出售,中铁龙盘湖世纪山水 -东站,3室2厅 | 129.83平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,132,"10,168元/平"
碧桂园豪庭一楼复式洋房带三面大花园地下车位诚意出售,碧桂园豪庭 -点军区,4室2厅 | 159.43平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,220,"13,800元/平"
万达旁一线江景房宜昌国际广场大平层满二390万带车位,宜昌国际广场 -万达,4室2厅 | 234平米 | 西南 | 毛坯 | 低楼层(共49层)  | 板楼,0人关注 / 9天以前发布,392,"16,753元/平"
江南URD那溪谷边户大三房，楼层好，税费低。,江南URD那溪谷 -点军区,4室2厅 | 138.17平米 | 东南 南 | 毛坯 | 中楼层(共31层)  | 暂无数据,0人关注 / 一年前发布,86,"6,225元/平"
独门独户，带一个大lu台，可看江，房间多,万豪公园里 -五一广场,6室2厅 | 172平米 | 南 | 毛坯 | 高楼层(共17层)  | 塔楼,0人关注 / 13天以前发布,155,"9,012元/平"
全新装修大三房，基本没入住，想拎包入住的不要走开。,中建宜昌之星C区 -五一广场,3室2厅 | 125.71平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,155,"12,330元/平"
中建宜昌之星东区 3室2厅 南,中建宜昌之星东区 -五一广场,3室2厅 | 113.47平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 4个月以前发布,108,"9,518元/平"
五一广场 东郡旁香城尚都 三房两卫带150平大露台,香城尚都 -五一广场,3室2厅 | 126.36平米 | 北 南 | 毛坯 | 低楼层(共31层)  | 塔楼,2人关注 / 5个月以前发布,105,"8,310元/平"
独门独户，带一个大lu台，可看江，房间多,万豪公园里 -五一广场,6室2厅 | 172平米 | 南 | 毛坯 | 高楼层(共17层)  | 塔楼,0人关注 / 13天以前发布,155,"9,012元/平"
万达旁一线江景房宜昌国际广场大平层满二390万带车位,宜昌国际广场 -万达,4室2厅 | 234平米 | 西南 | 毛坯 | 低楼层(共49层)  | 板楼,0人关注 / 9天以前发布,392,"16,753元/平"
江山多娇三期，一楼带院子，带车位，房本满五年,江山多娇三期 -五一广场,2室2厅 | 90.82平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 9天以前发布,102,"11,232元/平"
满五唯一 复式楼，60平带大露台 精装五房 品质生活,民益家园小区 -中南路,5室2厅 | 166.15平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,2人关注 / 2个月以前发布,79,"4,755元/平"
东山花园楼梯房顶楼复式总价低谢绝还价,东山花园 -东山开发区,4室2厅 | 155.97平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,7人关注 / 一年前发布,100,"6,412元/平"
房子朝向好，采光好，双阳台，交通便利,馨港 -夷陵区,3室2厅 | 128.22平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 31天以前发布,76.8,"5,990元/平"
急售 葛实小门口 镇镜花苑大门口 三室两厅 拎包入住,镇镜花苑 -葛洲坝,3室2厅 | 94.93平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,0人关注 / 26天以前发布,56,"5,900元/平"
万科理想城 3室2厅 南,万科理想城 -夷陵区,3室2厅 | 116平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 26天以前发布,88,"7,587元/平"
中国核建二二公司小区 2室1厅 东南,中国核建二二公司小区 -夷陵区,2室1厅 | 57.95平米 | 东南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 25天以前发布,30,"5,177元/平"
唐家湾 沙河公园 吾悦广场正规两房 看房有钥匙,北辰明珠 -东山开发区,2室2厅 | 82.47平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 18天以前发布,70,"8,488元/平"
清江润城小区毛坯三房出售，双阳台,清江润城四期 -夷陵区,3室2厅 | 131.73平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 23天以前发布,85,"6,453元/平"
地段好，出行方便，业主诚心卖，看房方便。,祥和路66号 -夷陵区,3室2厅 | 146平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 18天以前发布,62,"4,247元/平"
中南路商圈 上善谷精装120平 满五唯一 2梯2户拎包入住,上善谷南区 -中南路,3室1厅 | 120平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 21天以前发布,125,"10,417元/平"
水悦城 品质小区  央企开发商 质量有保障  随时可看房,保利时代 -东山开发区,2室2厅 | 84.18平米 | 南 东南 | 毛坯 | 低楼层(共30层)  | 板楼,0人关注 / 21天以前发布,70,"8,316元/平"
小高层，精装三房，120平，中层，满二年,碧桂园公园壹号 -东站,3室2厅 | 120平米 | 南 北 | 精装 | 高楼层(共17层)  | 暂无数据,0人关注 / 6天以前发布,97,"8,084元/平"
碧桂园公园壹号 4室1厅 东南,碧桂园公园壹号 -东站,4室1厅 | 129平米 | 东南 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 3天以前发布,110,"8,528元/平"
二十四中家属院 2室2厅 南,二十四中家属院 -华祥,2室2厅 | 90.51平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 14天以前发布,46,"5,083元/平"
江南URD那溪谷 4室2厅 南 北,江南URD那溪谷 -点军区,4室2厅 | 196.26平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 暂无数据,0人关注 / 3天以前发布,190,"9,682元/平"
碧桂园凤凰城 4室1厅 南,碧桂园凤凰城 -东站,4室1厅 | 131.19平米 | 南 | 精装 | 高楼层(共31层)  | 暂无数据,0人关注 / 1天以前发布,145,"11,053元/平"
城中半岛 3室2厅 东南,城中半岛 -五一广场,3室2厅 | 104平米 | 东南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 2天以前发布,100,"9,616元/平"
127平毛坯3房电梯中层仅售84万房东诚心出售,弘洋拉菲小镇 -东山开发区,3室1厅 | 127.87平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 1天以前发布,84,"6,570元/平"
西城明珠 3室1厅 南,西城明珠 -华祥,3室1厅 | 106.98平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 10天以前发布,57,"5,329元/平"
碧桂园公园壹号 3室1厅 南,碧桂园公园壹号 -东站,3室1厅 | 103平米 | 南 | 精装 | 低楼层(共30层)  | 暂无数据,0人关注 / 2天以前发布,85,"8,253元/平"
上合园 2室2厅 南,上合园 -中南路,2室2厅 | 75.45平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,60,"7,953元/平"
山水国际 4室2厅 东南,山水国际 -夷陵区,4室2厅 | 139.92平米 | 东南 | 毛坯 | 中楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,77.5,"5,539元/平"
中南路闹中取静商圈房，品质与口碑双在线,东辰壹号峰景 -杨岔路,3室2厅 | 110.65平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 26天以前发布,115,"10,394元/平"
此价格可谈，房子是满五年的 税费相对于还是比较少,运河佳苑 -体育场,3室2厅 | 120平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 29天以前发布,120,"10,000元/平"
离校近 价格优 学习成绩不发愁 家长省心年年都富有,瑞祥苑 -夷陵区,4室2厅 | 141.8平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,68.8,"4,852元/平"
星湖湾 3室2厅 东南,星湖湾 -夷陵区,3室2厅 | 139平米 | 东南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 28天以前发布,98,"7,051元/平"
发展大道精装四房 拎包入住 看房方便 满五唯一,清江润城四期 -夷陵区,4室2厅 | 131.77平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,92,"6,982元/平"
夷陵万达广场旁商圈成熟房东诚心出售,清江润城四期 -夷陵区,3室1厅 | 98.45平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 30天以前发布,68,"6,908元/平"
民惠小区 3室2厅 南,民惠小区 -中南路,3室2厅 | 86平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 31天以前发布,59.9,"6,966元/平"
五一广场 东郡 精装2房2厅 拎包入住 户型方正,东郡B区 -五一广场,2室2厅 | 82.64平米 | 东南 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 29天以前发布,73,"8,834元/平"
廊桥水岸 2室1厅 南 北,廊桥水岸 -杨岔路,2室1厅 | 97平米 | 南 北 | 精装 | 中楼层(共29层)  | 板塔结合,0人关注 / 31天以前发布,115,"11,856元/平"
罗河路101㎡简装三房 户型采光好,罗河路5号 -夷陵区,3室2厅 | 101.53平米 | 南 | 简装 | 低楼层(共4层)  | 暂无数据,0人关注 / 25天以前发布,42.8,"4,216元/平"
公园里137平四室二厅 精装带家电  102万,宏信公园里 -夷陵区,4室2厅 | 135.67平米 | 东南 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 30天以前发布,102,"7,519元/平"
伍家岗仁和医院小区  满五年  精装修  生活方便,夷陵大道410-1号 -五一广场,2室2厅 | 73.11平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 16天以前发布,46,"6,292元/平"
万达商圈御景名宅 带车位 一线正江景 满五年低税,御景名宅 -万达,3室1厅 | 121.04平米 | 东 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 15天以前发布,180,"14,872元/平"
水悦城，精装修，纯边户视野好，通透采光好。,弘洋卢浮公馆 -东山开发区,3室2厅 | 124.68平米 | 南 | 精装 | 中楼层(共31层)  | 平房,0人关注 / 15天以前发布,108,"8,663元/平"
城中金谷 精装三房 拎包入住 随时看房,城中金谷 -中南路,3室2厅 | 111.57平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 14天以前发布,95,"8,515元/平"
北山花园 2室1厅 南,北山花园 -万达,2室1厅 | 91.85平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 4天以前发布,90,"9,799元/平"
宜昌碧桂园 3室2厅 南,宜昌碧桂园 -点军区,3室2厅 | 117.77平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,1人关注 / 13天以前发布,72,"6,114元/平"
简装，大两室，视野开阔，采光通风好，随时看房,桂苑小区 -兴山县,2室1厅 | 95.44平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 3天以前发布,55,"5,763元/平"
恒大绿洲 2室2厅 南,恒大绿洲 -夷陵区,2室2厅 | 81.17平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 5天以前发布,60,"7,392元/平"
精装小三房，满五 视野开阔，采光通风好，随时看房,桑树拐小区 -兴山县,3室2厅 | 111.61平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 8天以前发布,84,"7,527元/平"
宜化新天地 3室2厅 南,宜化新天地 -中南路,3室2厅 | 127平米 | 南 | 精装 | 高楼层(共10层)  | 塔楼,0人关注 / 18天以前发布,125,"9,843元/平"
宜化新天地 3室2厅 东南 南,宜化新天地 -中南路,3室2厅 | 114.95平米 | 东南 南 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 15天以前发布,79,"6,873元/平"
东山大道101号 3室2厅 南,东山大道101号 -体育场,3室2厅 | 134.5平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 14天以前发布,133,"9,889元/平"
通透户型 经济实惠 环境优美 房东诚心出售,江畔大地 -中南路,3室2厅 | 97.72平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 17天以前发布,115,"11,769元/平"
漂亮精装大三房 看图心动看房也方便,通达南山悦 -中南路,3室2厅 | 123平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 10天以前发布,120,"9,757元/平"
此房公摊小，得房率高，满五税费低，小区绿化优美。,宜化新天地 -中南路,3室2厅 | 140.26平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 13天以前发布,128,"9,126元/平"
畔山曦苑 4室2厅 东南,畔山曦苑 -东山开发区,4室2厅 | 138平米 | 东南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 15天以前发布,103,"7,464元/平"
宏信公园里 中间楼层 满五唯一85万,宏信公园里 -夷陵区,4室2厅 | 136.62平米 | 南 | 毛坯 | 高楼层(共25层)  | 板楼,0人关注 / 9天以前发布,87,"6,369元/平"
英伦皇都顶楼复式 213平 200万 精装修,英伦皇都 -西陵区其他,4室2厅 | 213平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 11天以前发布,200,"9,390元/平"
中建之星东区 毛坯3室2厅2卫 前后带大Lu台,中建宜昌之星东区 -五一广场,3室2厅 | 113.73平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 板塔结合,0人关注 / 11天以前发布,108,"9,497元/平"
官桥丽苑精装两房，采光好，户型方正。,官桥丽苑 -宜都市,2室2厅 | 85平米 | 南 北 | 精装 | 高楼层(共16层)  | 板塔结合,0人关注 / 10天以前发布,48,"5,648元/平"
五一广场霸气四房，保持保养很好，房东素质高,香城尚都 -五一广场,4室2厅 | 141.88平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 9天以前发布,135,"9,516元/平"
恒大山水城精装大三房急售，装修保养好，看房方便。,恒大山水城 -东站,3室2厅 | 124.5平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 6个月以前发布,96,"7,711元/平"
实用面积200精装大复式山水华庭 还带子母车位,山水华庭 -东站,4室4厅 | 97.77平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,1人关注 / 一年前发布,170,"17,388元/平"
中建之星 精装三房 一线江景 带车位诚心出售,中建宜昌之星东区 -五一广场,3室2厅 | 109.61平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,1人关注 / 10个月以前发布,130,"11,861元/平"
伍家岗山水华庭满两年标准精装3房拎包入住,山水华庭 -东站,3室2厅 | 93.13平米 | 南 北 | 精装 | 中楼层(共28层)  | 塔楼,2人关注 / 一年前发布,98,"10,523元/平"
江山景苑B区高层景观大三居 满五年税费少,江山景苑B区 -五一广场,3室2厅 | 135.49平米 | 北 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,140,"10,333元/平"
东郡A区3-2-1-2 128.00m² 126 万,东郡A区 -五一广场,3室2厅 | 128平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,2人关注 / 一年前发布,106,"8,282元/平"
视野开阔 配套齐全  交通便利 格局好,万豪公园里 -五一广场,3室2厅 | 103.74平米 | 南 北 | 精装 | 低楼层(共17层)  | 平房,1人关注 / 一年前发布,92,"8,869元/平"
江山多娇四期一线江景房精装修未入住,江山多娇四期 -五一广场,3室2厅 | 109.81平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,159,"14,480元/平"
夷顺商厦 2室1厅 南,夷顺商厦 -五一广场,2室1厅 | 102.83平米 | 南 | 精装 | 低楼层(共17层)  | 塔楼,0人关注 / 7个月以前发布,78,"7,586元/平"
江山多娇二期 精装3室2厅1卫 拎包入住,江山多娇二期 -五一广场,3室2厅 | 105.45平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,108,"10,242元/平"
恒大山水城，绿化好，影城，会所，证满二,恒大山水城 -东站,3室2厅 | 88.95平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,1人关注 / 一年前发布,69,"7,758元/平"
金东方旁 江山景苑 精装大4房 拎包入住,江山景苑A区 -五一广场,4室2厅 | 162.84平米 | 西南 | 精装 | 中楼层(共19层)  | 板楼,4人关注 / 一年前发布,170.9,"10,495元/平"
金峡小区 3室2厅 南,金峡小区 -五一广场,3室2厅 | 124.13平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,3人关注 / 一年前发布,82,"6,606元/平"
地理环境优越 楼层好 采光通风好 家具新,恒大绿洲 -夷陵区,4室2厅 | 153.13平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 一年前发布,109,"7,119元/平"
长江市场独栋高档装修别墅 前后院大露台总占地一亩多,玛歌庄园 -夷陵区,6室3厅 | 326.86平米 | 东 南 西 北 | 精装 | 低楼层(共3层)  | 暂无数据,24人关注 / 一年前发布,490,"14,992元/平"
君临山水精装江景房房东降价急卖！,君临山水 -夷陵区,3室2厅 | 143平米 | 东南 | 精装 | 高楼层(共12层)  | 板楼,5人关注 / 一年前发布,89,"6,224元/平"
平云一路樟村坪宿舍精装修大三房75万拎包入住,樟村坪镇职工住宅楼 -夷陵区,4室2厅 | 137平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,11人关注 / 一年前发布,69,"5,037元/平"
精装修的别墅区，全新的，满两年，业主诚心卖。,无石山庄 -夷陵区,6室2厅 | 237平米 | 东南 | 精装 | 下叠(共5层)  | 暂无数据 | 叠拼别墅 ,8人关注 / 一年前发布,249,"10,507元/平"
