标题,开发商,房子信息,发布信息,售价/万,单价
高品质生活金品时代值得拥有。房本满二年,金品时代 -涿州,4室2厅 | 170平米 | 南 北 | 毛坯 | 17层  | 板塔结合,0人关注 / 15天以前发布,200,"11,765元/平"
房子属于 南北通透三居中间楼层家具家电齐全拎包入住,联合七号院 -涿州,3室2厅 | 126平米 | 南 北 | 简装 | 中楼层(共21层)  | 板楼,0人关注 / 一年前发布,125,"9,921元/平"
高铁东站西侧k2狮子城，少有三居，采光无遮挡,K2狮子城北区 -涿州,3室2厅 | 96.5平米 | 南 北 | 毛坯 | 24层  | 板塔结合,1人关注 / 一年前发布,135,"13,990元/平"
高铁新干线 南北通透三居室 精装修,高铁新干线 -涿州,3室2厅 | 91.93平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,102,"11,096元/平"
全阳小三居，主卧室窗户很大。满2年，税费低。,鸿坤理想湾北区 -涿州,3室2厅 | 90.84平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,0人关注 / 2个月以前发布,95,"10,458元/平"
房子是70年大产权，地处市区，配套好，业主急售,弘德缘 -涿州,2室1厅 | 82平米 | 东 | 简装 | 中楼层(共19层)  | 板塔结合,1人关注 / 一年前发布,50,"6,098元/平"
水尚仁佳小区三居毛坯可随意装修 随时看房,水尚仁佳 -涿州,3室1厅 | 96平米 | 南 | 简装 | 低楼层(共20层)  | 塔楼,1人关注 / 一年前发布,75,"7,813元/平"
通透大三局，市区好位置中间楼层通透户型,石油公司家属院 -涿州,3室2厅 | 138.9平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,85,"6,120元/平"
水岸花城南北通透大三居，格局好无遮挡采光好,水岸花城 -涿州,3室1厅 | 124.03平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,130,"10,482元/平"
精装修南北通透三居室70年大产权中间楼层采光好,鸿坤新维港 -涿州,3室2厅 | 122平米 | 北 南 | 精装 | 低楼层(共25层)  | 板塔结合,15人关注 / 一年前发布,88,"7,214元/平"
水岸花城南北通透三居室房本满二税费低可贷款随时看房,水岸花城 -涿州,3室1厅 | 110平米 | 南 北 | 简装 | 中楼层(共34层)  | 板塔结合,0人关注 / 一年前发布,92,"8,364元/平"
高铁新干线全阳三居室好楼层业主急售,高铁新干线 -涿州,3室1厅 | 89平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,105,"11,798元/平"
经典户型 南北通透 简单装修 拎包入住,鹏渤印象城牛津花园 -涿州,3室2厅 | 97平米 | 南 北 | 简装 | 23层  | 板塔结合,0人关注 / 一年前发布,98,"10,104元/平"
高铁新干线全阳三居室好楼层业主急售,高铁新干线 -涿州,3室1厅 | 89平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,105,"11,798元/平"
高铁新干线 3室1厅 南,高铁新干线 -涿州,3室1厅 | 99.72平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,120,"12,034元/平"
业主急售 精装空房 全明格局 无遮挡 人车分流,鹏渤印象城牛津花园 -涿州,3室2厅 | 96平米 | 南 | 精装 | 23层  | 板塔结合,9人关注 / 7个月以前发布,81,"8,438元/平"
北京出口三利中和城南北通透三居业主诚意出售,三利中和城二期 -涿州,3室1厅 | 101平米 | 南 北 | 毛坯 | 中楼层(共15层)  | 板楼,1人关注 / 11个月以前发布,85,"8,416元/平"
新！鸿坤理想湾通透三居，F户型有本 诚心出售,鸿坤理想湾北区 -涿州,3室2厅 | 93.36平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 板塔结合,15人关注 / 一年前发布,95,"10,176元/平"
南北通透 全明户型 电梯大三居 视野开阔,嵘御航城 -涿州,3室2厅 | 130.28平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板塔结合,3人关注 / 一年前发布,156,"11,975元/平"
花园社区南北通透大三居小区位置优越,香邑溪谷 -涿州,3室2厅 | 126.71平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,10人关注 / 一年前发布,128,"10,102元/平"
南北通透三居，无遮挡采光特好，环境优雅居住舒适,K2狮子城北区 -涿州,3室1厅 | 97平米 | 南 北 | 精装 | 24层  | 板塔结合,3人关注 / 一年前发布,135,"13,918元/平"
高铁东站 狮子城南北通透三居 精装修花了20万,K2狮子城北区 -涿州,3室2厅 | 93平米 | 南 北 | 精装 | 23层  | 板塔结合,2人关注 / 一年前发布,120,"12,904元/平"
契税票满二，双 卫 全面格局无遮挡舒适大三居,联合七号院 -涿州,3室2厅 | 113.7平米 | 南 西 北 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,95,"8,356元/平"
高铁东站旁 南北通透大三居 全明格局,鸿坤理想湾北区 -涿州,3室2厅 | 127平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 板塔结合,2人关注 / 一年前发布,150,"11,812元/平"
南北通透，精装修三居室，采光好！,鹏渤印象城牛津花园 -涿州,3室1厅 | 97.8平米 | 南 北 | 精装 | 23层  | 板塔结合,1人关注 / 一年前发布,87,"8,896元/平"
房本在办理无尾款南北通透中间楼层采光好,香邑溪谷 -涿州,3室1厅 | 95.22平米 | 南 北 | 简装 | 高楼层(共32层)  | 板塔结合,4人关注 / 一年前发布,96,"10,082元/平"
西丁 双塔 水上公园 带露台 三居室明厨明卫,联合小区六号院 -涿州,3室2厅 | 75.34平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,65,"8,628元/平"
此房全南向，位置好，采光充足，看房方便,高铁新干线 -涿州,3室1厅 | 90.74平米 | 南 | 其他 | 高楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,98,"10,801元/平"
南北通透三居，税费低，房本已满五。,一中家属院 -涿州,3室2厅 | 90平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,2人关注 / 一年前发布,66,"7,334元/平"
未来城A区 3室2厅 南 北,未来城A区 -莲池区,3室2厅 | 136平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板楼,14人关注 / 一年前发布,200,"14,706元/平"
高品质社区、南北通透，采光好，视野开阔，交通便利。,高铁新干线 -涿州,3室1厅 | 91.79平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,100,"10,895元/平"
三利中和城一期     三加一户型  房本满二,三利中和城一期 -涿州,4室2厅 | 100平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 塔楼,0人关注 / 11个月以前发布,110,"11,000元/平"
此房为高铁新干线南北通透 H户型双卫大三居,高铁新干线 -涿州,3室2厅 | 124平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,120,"9,678元/平"
托付一生的家园！香邑溪谷值得拥有的花园社区,香邑溪谷 -涿州,3室2厅 | 127.59平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,115,"9,014元/平"
精装修， 精品大三居出售，视野*好,名流枫景洋房 -涿州,3室2厅 | 117平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,85,"7,265元/平"
开发区优秀园林社区南北通透大三居中间层采光无遮挡,天地新城 -涿州,3室2厅 | 136.63平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,10人关注 / 一年前发布,120,"8,783元/平"
三居室毛坯大洋房，采光好无遮挡,鸿坤理想湾北区 -涿州,3室2厅 | 133.1平米 | 南 | 毛坯 | 高楼层(共7层)  | 板塔结合,8人关注 / 一年前发布,200,"15,027元/平"
好房要淘，进来看看，真实房源，5星经纪人为您服务,东方家园 -涿州,3室2厅 | 155平米 | 南 北 | 简装 | 7层  | 板楼,3人关注 / 一年前发布,111,"7,162元/平"
中高楼层，南北大三居，卧室窗户很大。,高铁新干线 -涿州,3室2厅 | 91.79平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 11个月以前发布,78,"8,498元/平"
南北通透，楼层好，采光充足，视野开阔。。。。。。。,高铁新干线 -涿州,3室2厅 | 125.1平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,140,"11,192元/平"
南北通三居带花园，采光充足，户型方正，诚意出售,高铁新干线 -涿州,3室1厅 | 99.67平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,0人关注 / 6个月以前发布,180,"18,060元/平"
南北通透大三居，采光好，视野好，小区环境好,华融现代城 -涿州,3室2厅 | 98平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,105,"10,715元/平"
鹏渤印象城牛津花园 3室1厅 北 南,鹏渤印象城牛津花园 -涿州,3室1厅 | 98.11平米 | 北 南 | 毛坯 | 23层  | 板塔结合,0人关注 / 5个月以前发布,90,"9,174元/平"
三居室采光好无遮挡0..........,华融现代城 -涿州,3室1厅 | 143.87平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,1人关注 / 一年前发布,200,"13,902元/平"
高铁新城高铁新干线全南小三居中间楼层,高铁新干线 -涿州,3室1厅 | 91.78平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,84,"9,153元/平"
南北通透大三居，采光好，视野好，小区环境好,华融现代城 -涿州,3室2厅 | 98平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,105,"10,715元/平"
桃园农药家属院 3室2厅 南 北,桃园农药家属院 -涿州,3室2厅 | 118平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,90,"7,628元/平"
联合七号院2期 南北通透三居 免费停车,联合七号院 -涿州,3室2厅 | 126.69平米 | 南 北 | 毛坯 | 中楼层(共21层)  | 板楼,3人关注 / 2个月以前发布,90,"7,104元/平"
高铁新干线，采光无遮挡，楼层好，位置好,高铁新干线 -涿州,3室1厅 | 91平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,90,"9,891元/平"
华阳路上南北通透三居2层无遮挡看房方便满五年,同善园小区 -涿州,3室2厅 | 139.9平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,150,"10,722元/平"
洋房【华融现代城】双明卫双阳台,华融现代城 -涿州,3室2厅 | 117.35平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,7人关注 / 一年前发布,128,"10,908元/平"
此房可满二年过户 高楼层全天采光 全南小三居,高铁新干线 -涿州,3室2厅 | 93平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,100,"10,753元/平"
德信公园北侧香邑溪谷上园经典三居室加一设备间 4居,香邑溪谷上园 -涿州,4室2厅 | 126平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板塔结合,5人关注 / 一年前发布,115,"9,127元/平"
洋房南北三居，毛坯随意装修，诚意出售,华融现代城 -涿州,3室1厅 | 117平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,0人关注 / 6个月以前发布,135,"11,539元/平"
朝南全阳三居，楼层采光好，全天无遮挡，视野开阔,高铁新干线 -涿州,3室2厅 | 126.26平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,2人关注 / 一年前发布,153,"12,118元/平"
高铁  鸿坤理想湾  精装三居 满二 全屋定制,鸿坤理想湾北区 -涿州,3室2厅 | 89.99平米 | 南 | 精装 | 低楼层(共25层)  | 板塔结合,1人关注 / 2个月以前发布,95,"10,557元/平"
集中供暖保利物业高品质社区，样板间户型3居现房,润卓天伦湾 -涿州,3室2厅 | 108.75平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板塔结合,0人关注 / 一年前发布,98,"9,012元/平"
集中供暖 人车分流 北京保利物业管家式服务,润卓天伦湾 -涿州,3室2厅 | 108平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板塔结合,1人关注 / 一年前发布,98,"9,075元/平"
范阳路 电梯洋房 一梯两户 838车站 三居双卫 税费低,中央公馆 -涿州,3室2厅 | 147.02平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,14人关注 / 一年前发布,150,"10,203元/平"
此房属于70年产权住宅，民水民电，东西向，中间楼....,鸿坤新维港 -涿州,3室1厅 | 118平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,98,"8,306元/平"
华融南北通透三居室，证快满二了，税费低,华融现代城 -涿州,3室2厅 | 98.04平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 6个月以前发布,140,"14,280元/平"
房子户型方正，南北双通透，采光好,高铁新干线 -涿州,3室1厅 | 98平米 | 南 北 | 简装 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,85,"8,674元/平"
冠云路 宏远景园 全明三居 中间楼层 房本满五税费低,宏远景园 -涿州,3室2厅 | 111.27平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,108,"9,707元/平"
钻石广场， 毛坯，三居采光充足，洋房户型,钻石广场 -涿州,3室1厅 | 117平米 | 南 北 | 毛坯 | 高楼层(共9层)  | 板楼,4人关注 / 一年前发布,128,"10,941元/平"
楼层好户型格局方正，视野好。采光好,鹏渤印象城牛津花园 -涿州,3室2厅 | 98.75平米 | 南 北 | 毛坯 | 23层  | 板塔结合,3人关注 / 一年前发布,90,"9,114元/平"
高铁新干线 3室2厅 南 北,高铁新干线 -涿州,3室2厅 | 135平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板塔结合,0人关注 / 一年前发布,155,"11,482元/平"
凯旋门房主急售，价格可聊，无房本,鸿盛凯旋门 -涿州,3室1厅 | 111.96平米 | 西南 | 毛坯 | 低楼层(共29层)  | 塔楼,4人关注 / 一年前发布,83,"7,414元/平"
华融现代城 全南经典户型，采光好，小区环境好,华融现代城 -涿州,3室2厅 | 92.99平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,42人关注 / 一年前发布,65,"6,990元/平"
南北通透，总价低，楼层好，没有遮挡，视野采光好,鹏渤印象城牛津花园 -涿州,3室2厅 | 108平米 | 南 北 | 毛坯 | 23层  | 板塔结合,0人关注 / 一年前发布,118,"10,926元/平"
"高铁理想湾 大H户型,中上间楼层，正常首付",鸿坤理想湾北区 -涿州,4室2厅 | 126平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,9人关注 / 一年前发布,175,"13,889元/平"
牛津花园3室2厅  南北双通透  明厨明卫  带拐角飘窗,鹏渤印象城牛津花园 -涿州,3室2厅 | 98平米 | 南 北 | 毛坯 | 23层  | 板塔结合,9人关注 / 一年前发布,98,"10,000元/平"
此房是南北通透的三室，毛坯，可以随意装修,鹏渤印象城牛津花园 -涿州,3室2厅 | 98平米 | 南 北 | 毛坯 | 23层  | 板塔结合,0人关注 / 一年前发布,100,"10,205元/平"
该小区位置好，属于市中的位置，70年产权住宅房,香邑溪谷上园 -涿州,3室1厅 | 121平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板塔结合,4人关注 / 一年前发布,110,"9,091元/平"
"高铁理想湾 大H户型,中上间楼层，正常首付",鸿坤理想湾北区 -涿州,4室2厅 | 126平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,9人关注 / 一年前发布,175,"13,889元/平"
南北通透 客厅卧室朝阳 洋房户型 很方正,高铁新干线 -涿州,3室2厅 | 138平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板塔结合,0人关注 / 一年前发布,188,"13,624元/平"
业主急售 阳光三居 南北通透 毛坯,K2狮子城北区 -涿州,3室2厅 | 96平米 | 南 北 | 毛坯 | 24层  | 板塔结合,3人关注 / 10个月以前发布,89,"9,271元/平"
钻石广场南北三居，业主诚意对外出售,钻石广场 -涿州,3室2厅 | 117平米 | 北 南 | 精装 | 高楼层(共9层)  | 板楼,4人关注 / 一年前发布,150,"12,821元/平"
金品时代，高 端社区，身份的象征,金品时代 -涿州,3室2厅 | 120平米 | 南 北 | 毛坯 | 18层  | 板塔结合,6人关注 / 一年前发布,180,"15,000元/平"
该小区位置好，属于市中的位置，70年产权住宅房,香邑溪谷上园 -涿州,3室1厅 | 121平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板塔结合,4人关注 / 一年前发布,110,"9,091元/平"
总高9层小洋房，高品质社区，南北通透，毛坯随心装,香邑溪谷悦都小区 -涿州,3室2厅 | 99平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,3人关注 / 一年前发布,120,"12,122元/平"
华融现代城 3室2厅 南 北,华融现代城 -涿州,3室2厅 | 96.1平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 一年前发布,105,"10,927元/平"
鸿坤南区 全阳三居 无遮挡 位置好 优质房源,高铁新干线 -涿州,3室1厅 | 87.58平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,11人关注 / 一年前发布,70,"7,993元/平"
【鹏渤印象城牛津花园】南北通透3居室，采光无遮挡。,鹏渤印象城牛津花园 -涿州,3室2厅 | 97平米 | 南 北 | 精装 | 23层  | 板塔结合,2人关注 / 一年前发布,110,"11,341元/平"
香邑溪谷悦都 南北通透 户型方正 一层 有下越,香邑溪谷悦都小区 -涿州,3室2厅 | 90平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 板楼,0人关注 / 一年前发布,105,"11,667元/平"
鹏渤印象城牛津花园 3室2厅 南 北,鹏渤印象城牛津花园 -涿州,3室2厅 | 98平米 | 南 北 | 毛坯 | 23层  | 板塔结合,3人关注 / 一年前发布,105,"10,715元/平"
