标题,开发商,房子信息,发布信息,售价/万,单价
市海景两房，东南朝向，户型方正，观小区园林,龍正中央海洋公園 -港口区,2室1厅 | 89平米 | 东南 | 毛坯 | 低楼层(共18层)  | 塔楼,1人关注 / 5个月以前发布,34.8,"3,911元/平"
着急出售 有证满2年，有房产证  带装修,瑞海尚都 -港口区,3室2厅 | 125.29平米 | 东南 南 | 简装 | 低楼层(共21层)  | 板塔结合,1人关注 / 9个月以前发布,51,"4,071元/平"
碧玉园 3室1厅 南,碧玉园 -港口区,3室1厅 | 129.86平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 4个月以前发布,60,"4,621元/平"
祥龙苑步梯4房  南北通透  视野开阔   房子保养好,祥龙苑 -港口区,4室2厅 | 145.54平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,3人关注 / 3个月以前发布,51,"3,505元/平"
急售！急售！海湾1号一线看海景,海湾1号 -港口区,3室2厅 | 87.22平米 | 西南 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 一年前发布,73.8,"8,462元/平"
此房证税满二，采光充足，楼层好，视野开,正茂·顶秀港湾 -港口区,4室2厅 | 159.83平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,2人关注 / 5个月以前发布,98,"6,132元/平"
翡翠园 三期 大三房 采光良好 有家具家电,翡翠园 -港口区,3室2厅 | 125.65平米 | 南 北 | 简装 | 中楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,85.4,"6,797元/平"
通透格局，视野宽阔，采光好地段好，办公/自住好地方,翡翠园 -港口区,3室2厅 | 126.78平米 | 南 北 | 简装 | 高楼层(共33层)  | 板塔结合,0人关注 / 5个月以前发布,66,"5,206元/平"
阳光海岸二期大三房一卫中装出售,龙光·阳光海岸二期 -港口区,3室2厅 | 123.04平米 | 西南 | 精装 | 低楼层(共17层)  | 板塔结合,2人关注 / 一年前发布,51,"4,145元/平"
精装修小区园林茂盛自带小湖达到45%,恒大御景湾 -港口区,3室2厅 | 136.56平米 | 南 北 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 3个月以前发布,88,"6,445元/平"
业主不想过来住了.卖掉做其他生意.非诚勿扰,台湾城 -港口区,4室2厅 | 137.16平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 8个月以前发布,75.5,"5,505元/平"
红林海湾146平三房两厅两卫，海景房，朝南，中等装修,晨华·红林海湾 -港口区,3室2厅 | 146.03平米 | 南 | 简装 | 中楼层(共31层)  | 板塔结合,2人关注 / 一年前发布,83,"5,684元/平"
海悦华府 一线海景大平层 视线开阔  适宜广泛,海悦华府 -港口区,4室2厅 | 186.44平米 | 西南 | 简装 | 中楼层(共26层)  | 板塔结合,11人关注 / 8个月以前发布,65,"3,487元/平"
恒大御景湾 3室1厅 南,恒大御景湾 -港口区,3室1厅 | 95.11平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,1人关注 / 一年前发布,65,"6,835元/平"
瑞海尚都三房朝南可看海。动静分离户型,瑞海尚都 -港口区,3室2厅 | 103平米 | 南 | 毛坯 | 低楼层(共21层)  | 板塔结合,2人关注 / 一年前发布,47.5,"4,612元/平"
此房满五，户型好，中间楼层，采光好的小三房,龙光阳光海岸三期 -港口区,3室2厅 | 88.97平米 | 西南 | 简装 | 中楼层(共18层)  | 板塔结合,12人关注 / 8个月以前发布,45.7,"5,137元/平"
此房视野开阔，户型方正，采光充足，交通便利,龙光阳光海岸三期 -港口区,3室2厅 | 124.31平米 | 东南 | 精装 | 中楼层(共5层)  | 板楼,4人关注 / 一年前发布,77,"6,195元/平"
四通八达现房出售，户型方正通透中高楼层高铁商圈,四通八达国际广场A区 -港口区,3室2厅 | 121.54平米 | 北 | 毛坯 | 中楼层(共28层)  | 暂无数据,2人关注 / 11个月以前发布,51,"4,197元/平"
户型好，低楼层，视野宽敞，采光充足，,龙光阳光海岸四期 -港口区,3室2厅 | 100.27平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,0人关注 / 一年前发布,54,"5,386元/平"
视野开阔，征税满五，精装修，拎包入住。,荣兴·亚太国际 -港口区,3室2厅 | 121.65平米 | 北 | 简装 | 高楼层(共27层)  | 暂无数据,0人关注 / 8个月以前发布,82.5,"6,782元/平"
新城国际 10室1厅 北 南,新城国际 -港口区,10室1厅 | 255.22平米 | 北 南 | 其他 | 高楼层(共20层)  | 暂无数据,0人关注 / 3个月以前发布,135,"5,290元/平"
台湾城好房急售！！！ 交通便利 已装修,台湾城 -港口区,3室1厅 | 112.42平米 | 北 | 简装 | 高楼层(共17层)  | 板塔结合,2人关注 / 一年前发布,50,"4,448元/平"
价格合理，敞亮，采光充足。配套设施齐全，交通便利。,瑞海尚都 -港口区,3室2厅 | 115.7平米 | 南 北 | 简装 | 高楼层(共30层)  | 暂无数据,3人关注 / 2个月以前发布,52,"4,495元/平"
欧景蓝湾大三房 交通便利  明窗明厨明卫,欧景蓝湾 -港口区,3室2厅 | 135.55平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,17人关注 / 一年前发布,45,"3,320元/平"
北部湾大道枫桥荔苑大三房，采光好通透，楼层好可贷款,枫桥荔苑 -港口区,3室2厅 | 144.53平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,63,"4,359元/平"
碧宸西海岸东西朝向，精装修海景房看，配套齐全大三房,碧宸西海岸 -港口区,3室2厅 | 142.15平米 | 东 西 | 精装 | 高楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,80,"5,628元/平"
精装修一线海景房，视野宽阔，交通便利..............,龙光阳光海岸三期 -港口区,2室1厅 | 107.75平米 | 西南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 6个月以前发布,65,"6,033元/平"
阳光海岸优质小区合院，品质高拎包入住,龙光·阳光海岸一期 -港口区,3室1厅 | 119.08平米 | 东南 西南 | 简装 | 中楼层(共4层)  | 板楼,5人关注 / 一年前发布,65,"5,459元/平"
富森领峰 三房两卫 楼层居中 看湖观海 装修新拎包入住,富森领峰 -港口区,3室1厅 | 112.67平米 | 南 | 精装 | 中楼层(共21层)  | 板塔结合,3人关注 / 8个月以前发布,69,"6,125元/平"
桂海东盟新城 大三房两厅两卫简装修,桂海东盟新城 -港口区,4室2厅 | 119.23平米 | 东南 | 精装 | 高楼层(共23层)  | 板塔结合,2人关注 / 1个月以前发布,57.5,"4,823元/平"
兴港华府小洋房，拓展面积大，一楼接地气，舒适安逸！,中冶兴港华府 -港口区,3室2厅 | 126.72平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,55,"4,341元/平"
港口区美满家园三房两厅两卫毛坯出售,美满家园 -港口区,3室2厅 | 117.8平米 | 南 | 毛坯 | 中楼层(共13层)  | 暂无数据,1人关注 / 一年前发布,50,"4,245元/平"
京澳大厦 三房两厅两卫 海景房 带100平大露台,京澳大厦 -港口区,3室2厅 | 154.9平米 | 南 西南 | 简装 | 高楼层(共20层)  | 暂无数据,11人关注 / 一年前发布,50,"3,228元/平"
京澳大厦 三房两厅两卫 海景房 带100平大露台,京澳大厦 -港口区,3室2厅 | 154.9平米 | 南 西南 | 简装 | 高楼层(共20层)  | 暂无数据,11人关注 / 一年前发布,50,"3,228元/平"
桂海东盟新城 大三房两厅两卫简装修,桂海东盟新城 -港口区,4室2厅 | 119.23平米 | 东南 | 精装 | 高楼层(共23层)  | 板塔结合,2人关注 / 1个月以前发布,57.5,"4,823元/平"
阳光海岸通透三室122平  拎包入住  满五唯一,龙光·阳光海岸二期 -港口区,3室2厅 | 122.01平米 | 南 | 简装 | 中楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,74.8,"6,131元/平"
海湾一号两房出售 好楼层 好价格,海湾1号 -港口区,3室1厅 | 88.49平米 | 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,3人关注 / 5个月以前发布,44.3,"5,007元/平"
瑞海尚都精装修 一线海景大三房,瑞海尚都 -港口区,3室2厅 | 119.07平米 | 南 | 简装 | 高楼层(共29层)  | 板塔结合,4人关注 / 7个月以前发布,58,"4,872元/平"
夏威夷豪庭141.17平海湖双景大三房,夏威夷豪庭 -港口区,3室2厅 | 141.17平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,85,"6,022元/平"
一线海景楼中楼 4房2卫双阳台加大露台,桂海东盟新城 -港口区,4室2厅 | 156.33平米 | 东 西 北 | 简装 | 高楼层(共23层)  | 板塔结合,3人关注 / 11个月以前发布,83,"5,310元/平"
业主有多处房产，需要资金周转，现房急售,中环花园 -港口区,5室3厅 | 220平米 | 北 | 毛坯 | 低楼层(共12层)  | 暂无数据,17人关注 / 10个月以前发布,78,"3,546元/平"
精装修  上下复式两层 独立门口出入  带花园院子,龙光·阳光海岸一期 -港口区,4室2厅 | 57.56平米 | 南 北 | 精装 | 低楼层(共27层)  | 塔楼,18人关注 / 一年前发布,52,"9,035元/平"
四房精装修，全新未入住，业主不在这边居住卖掉,碧桂园滨海城 -港口区,4室2厅 | 141.41平米 | 东南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 5个月以前发布,93.5,"6,612元/平"
小区环境优美，楼间距宽，人车分流，高楼层，户型方正,明珠园 -港口区,5室2厅 | 218平米 | 南 | 简装 | 低楼层(共31层)  | 板塔结合,1人关注 / 4个月以前发布,110,"5,046元/平"
凯乐园小区 5室2厅 南,凯乐园小区 -港口区,5室2厅 | 164.8平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,32人关注 / 一年前发布,41.5,"2,519元/平"
阳光海岸一期108平复式3房2卫带大露台,龙光·阳光海岸一期 -港口区,3室2厅 | 108.16平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,10人关注 / 3个月以前发布,68.8,"6,361元/平"
高铁2号 5室1厅 东南 南 北,高铁2号 -港口区,5室1厅 | 171.62平米 | 东南 南 北 | 毛坯 | 高楼层(共27层)  | 板塔结合,0人关注 / 6个月以前发布,81,"4,720元/平"
证税满二，没有解压，拎包入住，一线海景房。。。。。,瑞海尚都 -港口区,3室1厅 | 120.2平米 | 南 | 其他 | 中楼层(共29层)  | 板塔结合,0人关注 / 30天以前发布,58.89,"4,900元/平"
海湾公馆 3室2厅 南,海湾公馆 -港口区,3室2厅 | 119.8平米 | 南 | 其他 | 低楼层(共22层)  | 板塔结合,0人关注 / 26天以前发布,49,"4,091元/平"
富森领峰109平米朝南通透3房,富森领峰 -港口区,3室1厅 | 109平米 | 南 | 毛坯 | 低楼层(共28层)  | 板楼,0人关注 / 27天以前发布,71,"6,514元/平"
碧玉园 3室2厅 南 北,碧玉园 -港口区,3室2厅 | 130.17平米 | 南 北 | 其他 | 中楼层(共32层)  | 塔楼,0人关注 / 31天以前发布,66,"5,071元/平"
桂海·塞纳庄园 3室1厅 北,桂海·塞纳庄园 -港口区,3室1厅 | 120.57平米 | 北 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 30天以前发布,69,"5,723元/平"
证税满二毛坯随自己喜欢的风格随意装修，一线海景，,瑞海尚都 -港口区,3室2厅 | 119.07平米 | 南 | 简装 | 中楼层(共29层)  | 板塔结合,0人关注 / 23天以前发布,58,"4,872元/平"
桂海·塞纳庄园 4室1厅 西,桂海·塞纳庄园 -港口区,4室1厅 | 136.82平米 | 西 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 28天以前发布,135,"9,867元/平"
此房全新装修未入住，采光很好，客厅卧室都是通透的,晨华御府 -港口区,4室2厅 | 107平米 | 南 | 其他 | 低楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,90,"8,412元/平"
证税满二不需解压拎包入住房子带有露天大阳台。。。。,瑞海尚都 -港口区,3室2厅 | 124.5平米 | 南 北 | 其他 | 低楼层(共21层)  | 板塔结合,0人关注 / 30天以前发布,59.8,"4,804元/平"
南北通透海港城3房出售，价格实惠,海港城 -港口区,3室2厅 | 131.09平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,2人关注 / 1个月以前发布,49.8,"3,799元/平"
海港城 3室2厅 南,海港城 -港口区,3室2厅 | 105平米 | 南 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 29天以前发布,56,"5,334元/平"
四通八达国际广场A区 3室2厅 南 北,四通八达国际广场A区 -港口区,3室2厅 | 109.45平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板塔结合,0人关注 / 21天以前发布,47,"4,295元/平"
铜锣湾 3室2厅 南,铜锣湾 -港口区,3室2厅 | 137平米 | 南 | 其他 | 中楼层(共34层)  | 板塔结合,0人关注 / 30天以前发布,75.5,"5,511元/平"
此房满五唯一，大三房，带装修，户型方正。,龙光·阳光海岸一期 -港口区,3室1厅 | 121.3平米 | 东南 | 其他 | 低楼层(共24层)  | 塔楼,0人关注 / 19天以前发布,70,"5,771元/平"
格局楼层好，视野开阔，采光充足户型方正 看海,龙光阳光海岸四期 -港口区,3室1厅 | 93平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,0人关注 / 25天以前发布,40,"4,302元/平"
"此房源满二 唯一 顶楼,视野开阔,采光从足,景观好",晟大海湾城 -港口区,4室2厅 | 181平米 | 南 | 其他 | 高楼层(共31层)  | 板塔结合,0人关注 / 18天以前发布,77,"4,255元/平"
毛坯，户型方正.采光充足.视野宽阔.朝南.视野开阔,桂海世贸广场 -港口区,3室2厅 | 101平米 | 南 | 其他 | 低楼层(共27层)  | 板楼,0人关注 / 26天以前发布,49,"4,852元/平"
户型方正，采光好，位置地段好，出行方便,钻石园 -港口区,3室2厅 | 111.79平米 | 北 | 其他 | 中楼层(共38层)  | 板塔结合,0人关注 / 18天以前发布,49.2,"4,402元/平"
高楼层，户型方正，采光好，可以看海,龙光阳光海岸四期 -港口区,3室1厅 | 93.09平米 | 西 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 31天以前发布,46.5,"4,996元/平"
龙光阳光海岸五期 4室2厅 西南,龙光阳光海岸五期 -港口区,4室2厅 | 116.8平米 | 西南 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 28天以前发布,80,"6,850元/平"
视野广阔，采光充足，小区配套完善成熟，生活方便,德城.新世界 -港口区,3室2厅 | 117.52平米 | 南 | 其他 | 高楼层(共17层)  | 板楼,0人关注 / 23天以前发布,52.8,"4,493元/平"
采光好 通透户型 精装修 拎包入住 随时看房,龙光阳光海岸三期 -港口区,3室1厅 | 124平米 | 东南 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 16天以前发布,67,"5,404元/平"
锦泰现代城 3室2厅 东北,锦泰现代城 -防城区,3室2厅 | 116.19平米 | 东北 | 其他 | 高楼层(共31层)  | 板楼,0人关注 / 28天以前发布,37.5,"3,228元/平"
商发小区成熟配套，高楼层四房出售，价格可谈,商发住宅小区 -港口区,4室2厅 | 146平米 | 南 | 其他 | 高楼层(共12层)  | 板楼,0人关注 / 16天以前发布,65.7,"4,500元/平"
西湾上城 4室2厅 南,西湾上城 -港口区,4室2厅 | 158.65平米 | 南 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 26天以前发布,70,"4,413元/平"
乐天花园 5室3厅 南 北,乐天花园 -港口区,5室3厅 | 319平米 | 南 北 | 其他 | 高楼层(共11层)  | 板塔结合,0人关注 / 17天以前发布,135,"4,232元/平"
楼层好，小户型，视野宽阔，采光充足，配套设施齐全,泰城幸福雅居 -港口区,2室2厅 | 88.27平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 28天以前发布,37.5,"4,249元/平"
红林海湾电梯大两房看海毛坯出售56万,晨华·红林海湾 -港口区,2室2厅 | 104.67平米 | 东南 | 毛坯 | 低楼层(共31层)  | 板塔结合,0人关注 / 31天以前发布,56,"5,351元/平"
有大平台可以用的3楼，你敢想吗？利用率很高,海港城 -港口区,2室1厅 | 84.52平米 | 南 | 简装 | 低楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,38,"4,496元/平"
碧桂园滨海城 1室0厅 南,碧桂园滨海城 -港口区,1室0厅 | 49.89平米 | 南 | 简装 | 高楼层(共33层)  | 塔楼,0人关注 / 21天以前发布,28,"5,613元/平"
红林海湾电梯看海单间毛坯出售25万,晨华·红林海湾 -港口区,1室0厅 | 47.92平米 | 东 | 毛坯 | 低楼层(共31层)  | 板塔结合,0人关注 / 31天以前发布,25,"5,218元/平"
金石雅筑 2室2厅 南,金石雅筑 -港口区,2室2厅 | 90.63平米 | 南 | 其他 | 高楼层(共29层)  | 板塔结合,0人关注 / 19天以前发布,36,"3,973元/平"
老港口区海天云都一房一卫装修出售,海天云都 -港口区,1室1厅 | 53.43平米 | 南 | 简装 | 高楼层(共26层)  | 暂无数据,0人关注 / 16天以前发布,24,"4,492元/平"
精装高配，证税满二年，户型方正。南向,铜锣湾 -港口区,1室1厅 | 57.93平米 | 南 | 其他 | 中楼层(共34层)  | 板塔结合,0人关注 / 一年前发布,36,"6,215元/平"
铜锣湾带装修 2房产证 可以贷款,铜锣湾 -港口区,2室2厅 | 79.74平米 | 东南 | 其他 | 高楼层(共34层)  | 板塔结合,0人关注 / 一年前发布,43.5,"5,456元/平"
一线海景房，户型方正，，出行方便,龙光阳光海岸三期 -港口区,1室1厅 | 73.22平米 | 西南 | 其他 | 低楼层(共28层)  | 塔楼,1人关注 / 一年前发布,39,"5,327元/平"
坐落于比较繁华的小区，配套齐全,阳光海岸蔚蓝假日三期 -港口区,1室1厅 | 60.02平米 | 西南 | 其他 | 中楼层(共28层)  | 板塔结合,1人关注 / 一年前发布,30,"4,999元/平"
户型方正.采光充足.视野宽阔.交通便利.适合.养生.,龙光阳光海岸三期 -港口区,2室2厅 | 59.52平米 | 北 | 简装 | 高楼层(共21层)  | 板塔结合,13人关注 / 一年前发布,32,"5,377元/平"
卖点 此房税满五，楼层好，视野宽广，采光充足,龙光·阳光海岸二期 -港口区,1室0厅 | 30.57平米 | 东 | 其他 | 高楼层(共15层)  | 板塔结合,1人关注 / 一年前发布,17.8,"5,823元/平"
欧景蓝湾 2室1厅 东南,欧景蓝湾 -港口区,2室1厅 | 97.64平米 | 东南 | 毛坯 | 中楼层(共27层)  | 板塔结合,3人关注 / 一年前发布,43.9,"4,497元/平"
