标题,开发商,房子信息,发布信息,售价/万,单价
此房为毛坯4房 看小区园林 户型很好 楼层好,珠江·云锦 -雁峰区,4室2厅 | 128.22平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 5天以前发布,68.8,"5,366元/平"
凯旋名都 3室2厅 南,凯旋名都 -珠晖区,3室2厅 | 124.1平米 | 南 | 毛坯 | 高楼层(共28层)  | 板塔结合,0人关注 / 一年前发布,73.8,"5,947元/平"
园林小区，门禁管理。房东原装，扲包入住，价格美丽,杏林雅苑 -珠晖区,4室2厅 | 169.29平米 | 南 | 毛坯 | 低楼层(共29层)  | 暂无数据,0人关注 / 10个月以前发布,88,"5,199元/平"
华新 蒸水河畔 星美新外滩  毛坯三房 电梯中高层,星美新外滩 -蒸湘区,3室2厅 | 113.73平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 5个月以前发布,68,"5,980元/平"
华新太阳广场旁  都市春天  大四房  带车位,都市春天 -蒸湘区,4室2厅 | 183平米 | 南 | 精装 | 高楼层(共31层)  | 暂无数据,4人关注 / 一年前发布,85,"4,645元/平"
愉景新城 5室2厅 南,愉景新城 -蒸湘区,5室2厅 | 248平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 一年前发布,155,"6,250元/平"
莲湖广场，香江百货旁边。电梯房，精装拎包入住,华亿明珠 -蒸湘区,4室2厅 | 216平米 | 南 | 精装 | 低楼层(共29层)  | 暂无数据,0人关注 / 3个月以前发布,100,"4,630元/平"
红湘北路 裕康巷 步梯2楼四房两厅两卫 满五唯一税费低,裕康路12号 -蒸湘区,4室2厅 | 163.01平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,3人关注 / 9个月以前发布,58.8,"3,608元/平"
此房户型方正 小区人车分流停车方便 可以按揭,冠都现代城A1区 -蒸湘区,4室2厅 | 163.47平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,88.8,"5,433元/平"
金玛园小区，大庆路旁新小区，配套晚上,金玛园 -雁峰区,3室2厅 | 127平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,50,"3,938元/平"
雅士林欣城 毛坯现房 3室2厅2卫 客厅朝南 可以按揭,雅士林欣城 -石鼓区,3室2厅 | 114平米 | 东南 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 一年前发布,65.8,"5,772元/平"
华耀碧桂园十里江湾 5室2厅 南,华耀碧桂园十里江湾 -石鼓区,5室2厅 | 264.04平米 | 南 | 精装 | 低楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,165,"6,250元/平"
碧桂园物业，小区封闭式管理绿树丛荫，楼间距开阔，,华耀碧桂园十里江湾 -石鼓区,5室2厅 | 402.84平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 7个月以前发布,530,"13,157元/平"
石鼓区大型小区 帝景山庄毛坯现房 3室 户型好,珠江帝景山莊 -石鼓区,3室2厅 | 90.17平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,2人关注 / 6个月以前发布,59.8,"6,632元/平"
南向格局，小区物业好，视野宽阔，采光充足，配套齐全,华耀碧桂园十里江湾 -石鼓区,4室2厅 | 146平米 | 南 | 毛坯 | 低楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,86,"5,891元/平"
雅士林欣城小三房 南北通透 采光足,雅士林欣城 -石鼓区,3室2厅 | 143平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,86,"6,014元/平"
石鼓江景大平层，精装修省时省力,华耀碧桂园十里江湾 -石鼓区,4室2厅 | 167.6平米 | 南 | 精装 | 高楼层(共30层)  | 暂无数据,1人关注 / 7个月以前发布,94.8,"5,657元/平"
碧桂园十里江湾 户户带花园 精装大5房 大平层,华耀碧桂园十里江湾 -石鼓区,5室2厅 | 263平米 | 南 北 | 精装 | 高楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,168,"6,388元/平"
十里江湾精装修四房，小区地理位置佳，楼层好 采光佳,华耀碧桂园十里江湾 -石鼓区,4室2厅 | 129.4平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,1人关注 / 10个月以前发布,83,"6,415元/平"
华新 中天花园 毛坯6室 南北通透,中天花园 -蒸湘区,6室2厅 | 160平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 暂无数据,1人关注 / 8个月以前发布,49.8,"3,113元/平"
衡阳网红打卡点 愉景新城 毛坯3房 公摊少,愉景新城 -蒸湘区,3室2厅 | 106平米 | 南 | 毛坯 | 中楼层(共18层)  | 塔楼,5人关注 / 一年前发布,65.6,"6,189元/平"
俊景万和城，毛坯五房两厅两卫，视线好,俊景万和城 -蒸湘区,5室2厅 | 139.8平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 暂无数据,1人关注 / 4个月以前发布,120,"8,584元/平"
愉景新城 3室2厅 南,愉景新城 -蒸湘区,3室2厅 | 124平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,73,"5,888元/平"
融冠·水映豪庭 5室2厅 南 北,融冠·水映豪庭 -蒸湘区,5室2厅 | 182.53平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 暂无数据,1人关注 / 7个月以前发布,95,"5,205元/平"
高辉花苑，精装三房两厅两卫，采光好,高辉花苑 -蒸湘区,3室2厅 | 138平米 | 南 | 简装 | 低楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,61.8,"4,479元/平"
恒大绿洲 电梯中层满两年 小区环境优美,恒大绿洲 -蒸湘区,3室2厅 | 109.45平米 | 北 | 精装 | 中楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,75.5,"6,899元/平"
沐林美郡南区 3室2厅 南,沐林美郡南区 -蒸湘区,3室2厅 | 118平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,69,"5,848元/平"
大型高档小区，愉景新城，毛坯大4房,愉景新城 -蒸湘区,4室2厅 | 144.18平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,80,"5,549元/平"
立新小 学旁 香格里拉 毛坯三房两厅两卫 满两年,香格里拉 -蒸湘区,3室2厅 | 136平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 9个月以前发布,69,"5,074元/平"
平湖公园侧雁能顶秀天地，电梯中高层毛坯3房,雁能领秀天地 -蒸湘区,3室2厅 | 153.9平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,86.8,"5,641元/平"
珠江愉景新城3室2厅2卫1厨精装修好房,愉景新城 -蒸湘区,3室2厅 | 116.85平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,88,"7,532元/平"
一手房东现在便宜出售，看房方便。,雅士林御苑 -蒸湘区,3室2厅 | 111平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,60,"5,406元/平"
电梯小高层 通透户型双阳台 一梯两户 小区中间安静,雁能领秀天地 -蒸湘区,4室2厅 | 160.5平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,97.8,"6,094元/平"
珠江愉景新城3室2厅2卫1厨精装修好房,愉景新城 -蒸湘区,3室2厅 | 116.85平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,88,"7,532元/平"
冠佳西子莲花 4室2厅 南,冠佳西子莲花 -蒸湘区,4室2厅 | 131.72平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,78.8,"5,983元/平"
蒸水花苑 毛坯坯大四居 带80平大平台 买房得车位,蒸水花苑 -蒸湘区,4室2厅 | 181.5平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,8人关注 / 一年前发布,105,"5,786元/平"
衡阳网红打卡点 愉景新城 毛坯3房 公摊少,愉景新城 -蒸湘区,3室2厅 | 106平米 | 南 | 毛坯 | 中楼层(共18层)  | 塔楼,5人关注 / 一年前发布,65.6,"6,189元/平"
俊景万和城，毛坯五房两厅两卫，视线好,俊景万和城 -蒸湘区,5室2厅 | 139.8平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 暂无数据,1人关注 / 4个月以前发布,120,"8,584元/平"
仁济新村 4室2厅 南,仁济新村 -蒸湘区,4室2厅 | 142平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,2人关注 / 5个月以前发布,73.8,"5,198元/平"
急售 雅士林湘苑 精装大三房带家具家电  满五唯一,雅士林湘苑 -蒸湘区,3室2厅 | 146.16平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,99.8,"6,829元/平"
星美新外滩 毛坯四房 南北通透 业主诚心出手,星美新外滩 -蒸湘区,4室2厅 | 146平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,87,"5,959元/平"
蒸湘区一线江景房 纯南北通透 水映豪庭,融冠·水映豪庭 -蒸湘区,3室2厅 | 141平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,3人关注 / 一年前发布,84.8,"6,015元/平"
迎龙银港小区 6室3厅 南,迎龙银港小区 -蒸湘区,6室3厅 | 274平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,118,"4,307元/平"
香山明珠 4室2厅 南,香山明珠 -蒸湘区,4室2厅 | 141.88平米 | 南 | 毛坯 | 中楼层(共24层)  | 暂无数据,0人关注 / 2个月以前发布,72,"5,075元/平"
特变·水木融城 两房两厅一卫 满二,特变·水木融城 -蒸湘区,2室2厅 | 102平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,66,"6,471元/平"
万恒白金汉宫，南北通透大四房，装修风格任君发挥,万恒公馆 -蒸湘区,4室2厅 | 125平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,82.3,"6,584元/平"
华新 衡府别墅 前后三百平的入户花园 三层结构,衡府 -蒸湘区,5室2厅 | 380平米 | 南 | 毛坯 | 4层  | 暂无数据 | 联排别墅 ,2人关注 / 一年前发布,479.98,"12,632元/平"
电梯小高层 通透户型双阳台 一梯两户 小区中间安静,雁能领秀天地 -蒸湘区,4室2厅 | 160.5平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,97.8,"6,094元/平"
愉景新城 毛坯大平层江景房 6室3厅3卫 满2年,愉景新城 -蒸湘区,5室2厅 | 227平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 暂无数据,6人关注 / 一年前发布,139.8,"6,159元/平"
雁城世家 3室2厅 南,雁城世家 -蒸湘区,3室2厅 | 185平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,1人关注 / 一年前发布,92.5,"5,000元/平"
弘阳广场旁 2楼精装3室2厅2卫 户型好 配套成熟,廖家湾社区 -蒸湘区,3室2厅 | 129平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,53.8,"4,171元/平"
山水华苑 3室2厅 南 北,山水华苑 -蒸湘区,3室2厅 | 140平米 | 南 北 | 精装 | 低楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,68.8,"4,915元/平"
电梯洋房 一梯两户 房龄新 小高层,阳光美城 -蒸湘区,3室2厅 | 120平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,80,"6,667元/平"
南华旁都市村庄 电梯洋房 南北通透 有证可按揭,衡陽中房都市村荘 -蒸湘区,4室2厅 | 146.57平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,66,"4,503元/平"
世纪华城    毛坯三房   采光*好。,世纪华城 -蒸湘区,3室2厅 | 109平米 | 南 | 毛坯 | 中楼层(共28层)  | 暂无数据,16人关注 / 一年前发布,52,"4,771元/平"
此房已经满二年，实验旁 性价高，户型客厅卧室都很大,童星公寓 -雁峰区,3室2厅 | 137平米 | 南 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,41.8,"3,052元/平"
东江丽景 带车位出售  价格合适,东江丽景 -珠晖区,4室2厅 | 130平米 | 南 | 毛坯 | 中楼层(共8层)  | 塔楼,1人关注 / 一年前发布,63.8,"4,908元/平"
龙锦山庄 2室2厅 南,龙锦山庄 -珠晖区,2室2厅 | 89平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,46,"5,169元/平"
湘水明珠，1楼复2楼毛坯，房东诚心出售，看房方便,湘水明珠 -珠晖区,5室3厅 | 224平米 | 南 | 毛坯 | 低楼层(共28层)  | 塔楼,0人关注 / 一年前发布,120,"5,358元/平"
山水华庭 5室2厅 南,山水华庭 -蒸湘区,5室2厅 | 235平米 | 南 | 毛坯 | 低楼层(共25层)  | 暂无数据,6人关注 / 一年前发布,129,"5,490元/平"
绿化好邻里亲。邻市场医院湘江风光带 生活方便,金湘国际城 -珠晖区,5室2厅 | 144.19平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,97,"6,728元/平"
衡洲府电梯高层低价出售，寻有缘之人，全新毛坯。,衡洲府 -蒸湘区,3室2厅 | 141平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,1人关注 / 一年前发布,80,"5,674元/平"
"房东诚意出售此房,房东比较好沟通!",衡阳市中医院家属院 -蒸湘区,4室2厅 | 95.07平米 | 南 北 | 简装 | 高楼层(共8层)  | 暂无数据,7人关注 / 一年前发布,24.8,"2,609元/平"
东风路火车站凯旋名都精装四房出售。,凯旋名都 -珠晖区,4室2厅 | 139.07平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,5人关注 / 一年前发布,64.9,"4,667元/平"
要私人平台的看过来，白金汉宫毛坯3房,万恒公馆 -蒸湘区,3室2厅 | 100平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,1人关注 / 4个月以前发布,76.8,"7,680元/平"
南华苑 3室2厅 南,南华苑 -蒸湘区,3室2厅 | 128平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,63,"4,922元/平"
珠晖区新大桥精装三房.拎包入住，丰收菜园小区。,丰收菜园 -珠晖区,3室2厅 | 93平米 | 东南 | 精装 | 低楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,41,"4,409元/平"
阳光美城大型的新小区户型方正 采光好 两个公园,阳光美城 -蒸湘区,4室2厅 | 137平米 | 南 | 毛坯 | 中楼层(共31层)  | 暂无数据,1人关注 / 一年前发布,98,"7,154元/平"
楼层好，采光充足，配套设施齐全，交通便利,承天阁 -珠晖区,3室2厅 | 139.06平米 | 南 | 精装 | 中楼层(共20层)  | 暂无数据,0人关注 / 一年前发布,69.8,"5,020元/平"
万达商圈大型小区电梯中层，毛坯3房，看房方便,衡阳名郡 -蒸湘区,3室2厅 | 123平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,70,"5,692元/平"
一线江景房 视野开阔  房龄新.,愉景新城 -蒸湘区,3室2厅 | 123平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,1人关注 / 11个月以前发布,70.8,"5,757元/平"
带入户花园，户型好，光线很好，视野开阔.,银泰红城 -蒸湘区,3室2厅 | 131平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,17人关注 / 7个月以前发布,78.6,"6,000元/平"
"创景外滩园林小区中层毛坯3房,门禁管理,人车分流",创景外滩 -珠晖区,3室2厅 | 125平米 | 东南 | 毛坯 | 中楼层(共29层)  | 暂无数据,0人关注 / 一年前发布,82.5,"6,600元/平"
此房楼龄新 五房两厅一厨两卫 户型方正 楼层 采光好,俊景万和城 -蒸湘区,5室2厅 | 141.14平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 2个月以前发布,128,"9,070元/平"
愉景新城 124平 3房2厅 9.9成装修 看房方便,愉景新城 -蒸湘区,3室2厅 | 123.42平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,2人关注 / 6个月以前发布,83,"6,726元/平"
文昌雅居两房，小区环境安静，交通便利,文昌雅居 -蒸湘区,2室2厅 | 94平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,8人关注 / 一年前发布,40,"4,256元/平"
香江百货旁 毛呸3房2厅2卫1厨,欣雅花苑 -雁峰区,3室2厅 | 123平米 | 北 | 毛坯 | 高楼层(共9层)  | 暂无数据,34人关注 / 一年前发布,33.8,"2,748元/平"
雅士林御苑毛坯房 南北通透，4房2厅2卫有证可按揭,雅士林御苑 -蒸湘区,4室2厅 | 129.17平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 暂无数据,2人关注 / 5个月以前发布,63.8,"4,940元/平"
高铁花苑，电梯小高层，4房2厅2卫1厨，房东诚心出售，,高铁花苑 -珠晖区,4室2厅 | 172平米 | 南 | 毛坯 | 高楼层(共12层)  | 暂无数据,3人关注 / 一年前发布,69.8,"4,059元/平"
雁城国际公馆 高档装修 5房 拎包入住 产权在手,雁城国际公馆 -雁峰区,5室2厅 | 136.39平米 | 南 | 精装 | 高楼层(共31层)  | 暂无数据,2人关注 / 一年前发布,91.6,"6,717元/平"
沐林美郡，五房两厅四卫，南北向，视野采光好,沐林美郡南区 -蒸湘区,5室2厅 | 230平米 | 南 北 | 毛坯 | 低楼层(共19层)  | 板楼,3人关注 / 一年前发布,126,"5,479元/平"
创景外滩 全新毛坯房 位处湘江风光带 高档住宅,创景外滩 -珠晖区,4室2厅 | 177.4平米 | 东南 | 毛坯 | 中楼层(共31层)  | 暂无数据,0人关注 / 一年前发布,99.8,"5,626元/平"
陆家公园旁 电梯房 户型通透 不动产证满两年,特变·水木融城 -蒸湘区,4室2厅 | 133.77平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,2人关注 / 8个月以前发布,69.8,"5,218元/平"
滨江豪境 3室2厅 西 南,滨江豪境 -珠晖区,3室2厅 | 110平米 | 西 南 | 毛坯 | 高楼层(共28层)  | 暂无数据,1人关注 / 一年前发布,64.8,"5,891元/平"
珠江愉景南苑 4室2厅 南 北,珠江愉景南苑 -蒸湘区,4室2厅 | 139平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 暂无数据,4人关注 / 一年前发布,82,"5,900元/平"
户型各区功能明晰   实用高效   个性十足,东方巴黎 -珠晖区,3室2厅 | 131平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,4人关注 / 一年前发布,69.8,"5,329元/平"
盛世嘉园，4房2厅2卫1厨，房东诚心出售,盛世嘉园 -珠晖区,4室2厅 | 165平米 | 南 | 简装 | 中楼层(共25层)  | 塔楼,0人关注 / 一年前发布,73.8,"4,473元/平"
房价低，户型好，明亮通透，清水毛坯 3房,龙锦山庄 -珠晖区,3室2厅 | 109.6平米 | 南 | 毛坯 | 低楼层(共15层)  | 暂无数据,0人关注 / 2个月以前发布,61,"5,566元/平"
愉景湾  精装  南北通透  大四房,珠江愉景湾 -蒸湘区,4室2厅 | 178平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,1人关注 / 5个月以前发布,100,"5,618元/平"
此房满二年少税标准大四房，双阳台，景观好，视线好,沐林美郡北区 -蒸湘区,4室2厅 | 141平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 暂无数据,1人关注 / 6个月以前发布,75,"5,320元/平"
金色兰庭小区楼梯房，毛坯，阳台面积大，带大阳台,金色蓝庭 -珠晖区,3室2厅 | 118.44平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,58.8,"4,965元/平"
湘江风光小区，3房2厅2卫，毛坯,湘江风光 -珠晖区,3室2厅 | 140.3平米 | 东 东南 | 毛坯 | 低楼层(共27层)  | 塔楼,0人关注 / 一年前发布,68,"4,847元/平"
园林小区 金河湾1881 南北通透毛坯3房 满2年,金河湾·1881 -蒸湘区,3室2厅 | 126平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,73.8,"5,858元/平"
