标题,开发商,房子信息,发布信息,售价/万,单价
世纪花园竹园 3室2厅 南 北,世纪花园竹园 -张店区,3室2厅 | 188.59平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,4人关注 / 13天以前发布,163,"8,644元/平"
凯瑞溪园多层低楼层.附带储藏室.配套方便。出行便捷,凯瑞溪园 -张店区,3室2厅 | 127.46平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 11个月以前发布,130,"10,200元/平"
大两室带着双向阳台，大开间，全明户型 拎包入住带储,丽景翠苑 -张店区,2室2厅 | 110.59平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,8人关注 / 一年前发布,58.9,"5,326元/平"
南定教育小区 3室1厅 南,南定教育小区 -张店区,3室1厅 | 90.39平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,5人关注 / 4个月以前发布,50,"5,532元/平"
东岳盛景澜庭 3室2厅 南 北,东岳盛景澜庭 -张店区,3室2厅 | 149平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 12天以前发布,152,"10,202元/平"
客卧朝阳！精装未住电梯三居室！带车储！,圣联·智园 -张店区,3室2厅 | 117.46平米 | 南 北 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 10天以前发布,200,"17,028元/平"
王舍小区，温馨三室一厅多层3楼三证可贷款，价格面议,南西四路85号院 -张店区,3室2厅 | 93平米 | 西 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 9天以前发布,59.9,"6,441元/平"
楼层好采光好装修基本没住两室朝阳，小区内部园林风格,颐景园 -张店区,3室2厅 | 144.99平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,2人关注 / 6个月以前发布,112,"7,725元/平"
曦园三室，好楼层，hao华装修短住带车位储,曦园 -张店区,3室2厅 | 147.43平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 6个月以前发布,260,"17,636元/平"
此房满五  双卧朝阳  全明户型 好楼层,錦綉花城 -张店区,2室2厅 | 99.95平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,54,"5,403元/平"
五里桥生活区. 低楼层.附带储藏室.配套齐全.,五里桥生活区 -张店区,3室1厅 | 106.47平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,92,"8,641元/平"
带车储 双卫 好楼层 中间位置 不靠路沿街 毛坯新房,齐悦国际花园一期 -张店区,3室2厅 | 140平米 | 南 北 | 其他 | 中楼层(共23层)  | 板楼,0人关注 / 9天以前发布,190,"13,572元/平"
体坛小区 好楼层 带储藏室 采光好 随时看房,体坛小区 -张店区,2室2厅 | 82平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 15天以前发布,71,"8,659元/平"
八中世纪花园梅园多层三楼 有大车库,世纪花园梅园 -张店区,3室2厅 | 159.26平米 | 南 北 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 31天以前发布,160,"10,047元/平"
龙泰苑B区精装修，可拎包入住!,民泰▪龙泰苑 -张店区,3室2厅 | 125.54平米 | 南 北 | 精装 | 中楼层(共19层)  | 板塔结合,0人关注 / 3个月以前发布,164.9,"13,136元/平"
上柳泉！精装未住！楼层好！采光好！有钥匙随时看！,明博新城 -张店区,3室2厅 | 114平米 | 南 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 9天以前发布,138,"12,106元/平"
五里桥生活区 3室2厅 南,五里桥生活区 -张店区,3室2厅 | 94.97平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 9天以前发布,79,"8,319元/平"
龙喜花苑南区 2室2厅 南,龙喜花苑南区 -张店区,2室2厅 | 95.22平米 | 南 | 其他 | 低楼层(共12层)  | 板楼,0人关注 / 14天以前发布,110,"11,553元/平"
户型方正通透！元宝三室！现着急出售！,恒大正承世家 -张店区,3室2厅 | 146.82平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 塔楼,2人关注 / 1个月以前发布,100,"6,812元/平"
原始房主满五户型好采光充足交通便利,云涛小区北区 -桓台县,3室1厅 | 84平米 | 南 | 其他 | 高楼层(共4层)  | 板楼,0人关注 / 5个月以前发布,36,"4,286元/平"
名尚国际 5室1厅 南 北,名尚国际 -张店区,5室1厅 | 244平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 21天以前发布,360,"14,755元/平"
齐盛湖畔 精装未住 大四室 带车位储 临龙泰贵府,绿城紫薇园 -张店区,4室2厅 | 200平米 | 北 南 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 18天以前发布,300,"15,000元/平"
顶层内复式带露台，挑高客厅，户型好,黄金国际 -张店区,4室2厅 | 220平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,1人关注 / 22天以前发布,290,"13,182元/平"
中南春溪集湿地公园旁 四室南北通透 南北双阳台 带储,中南·春溪集 -张店区,4室2厅 | 142.12平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 24天以前发布,141.5,"9,957元/平"
淄川供电局住宅楼 3室2厅 南 北,淄川供电局住宅楼 -淄川区,3室2厅 | 110平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,0人关注 / 8天以前发布,48,"4,364元/平"
土产大院 3室2厅 南 北,土产大院 -淄川区,3室2厅 | 114平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,0人关注 / 20天以前发布,43,"3,772元/平"
福特尔嘉园 精装修 楼层好 客卧朝阳 南北通透，，，，,福特尔嘉园 -张店区,3室2厅 | 111.05平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,13人关注 / 一年前发布,92,"8,285元/平"
东方星城·樱花园 3室2厅 南 北,东方星城·樱花园 -张店区,3室2厅 | 137.5平米 | 南 北 | 其他 | 中楼层(共30层)  | 板楼,0人关注 / 5天以前发布,135,"9,819元/平"
龙泰国际复式，两个车位，储藏室，louwang位置,龙泰国际 -张店区,5室2厅 | 306.97平米 | 南 北 | 其他 | 高楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,520,"16,940元/平"
恒生花园 多层复式 采光好无遮挡,恒生城市花园 -张店区,5室2厅 | 173.68平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,135,"7,773元/平"
颐丰花园  重庆路  带车储   一楼,颐丰花园颐盛园 -张店区,3室2厅 | 181.84平米 | 南 北 | 其他 | 低楼层(共17层)  | 板楼,39人关注 / 一年前发布,210,"11,549元/平"
精致的生活需要房屋的点缀金洲花园满足您的一切需求,金洲花园 -桓台县,4室2厅 | 193平米 | 南 | 其他 | 高楼层(共12层)  | 板塔结合,7人关注 / 一年前发布,208,"10,778元/平"
玉泰花园 2室2厅 南 北,玉泰花园 -张店区,2室2厅 | 106平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 3天以前发布,79,"7,453元/平"
拎包入住 低公摊 带储 全明户型,石油大厦宿舍 -张店区,3室2厅 | 97.54平米 | 南 北 | 其他 | 中楼层(共6层)  | 塔楼,0人关注 / 一年前发布,66,"6,767元/平"
齐盛湖 毛坯三室  带车位 储  采光不错,乾盛慧泽佳园 -张店区,3室1厅 | 129平米 | 南 北 | 其他 | 中楼层(共27层)  | 板楼,0人关注 / 4天以前发布,119,"9,225元/平"
百盛花园 3室2厅 南 北,百盛花园 -张店区,3室2厅 | 122平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 3天以前发布,96,"7,869元/平"
华侨城七组团  169.7平  电梯中层    精装 带车储,中润·华侨城六组团 -张店区,3室2厅 | 168.89平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,3人关注 / 一年前发布,220,"13,027元/平"
此证满五 两卧一客朝阳 精装修 随时可签,怡海世家 -张店区,3室2厅 | 129.7平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 2天以前发布,105,"8,096元/平"
水岸怡居 3室1厅 南 北,水岸怡居 -淄川区,3室1厅 | 103.08平米 | 南 北 | 精装 | 低楼层(共12层)  | 板塔结合,0人关注 / 5天以前发布,66,"6,403元/平"
水岸华城 3室2厅 南 北,水岸华城 -淄川区,3室2厅 | 125.4平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 8天以前发布,24,"1,914元/平"
多层二楼，楼层矮，面积大，价格可谈,江南豪庭 -张店区,4室2厅 | 170平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 13天以前发布,170,"10,000元/平"
恒兴花园 3室2厅 南,恒兴花园 -张店区,3室2厅 | 136.6平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 4天以前发布,143,"10,469元/平"
恒兴花园 2室2厅 南,恒兴花园 -张店区,2室2厅 | 97.2平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 2天以前发布,83,"8,540元/平"
科技苑樱红村 3室2厅 南,科技苑樱红村 -张店区,3室2厅 | 134平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 7天以前发布,120,"8,956元/平"
恒大帝景 4室2厅 南 北,恒大帝景 -张店区,4室2厅 | 180.84平米 | 南 北 | 其他 | 低楼层(共32层)  | 板楼,11人关注 / 一年前发布,240,"13,272元/平"
精装四室 带车储 华侨城八组团 银泰城旁 好楼层采光佳,中润 · 华侨城八组团 -张店区,4室2厅 | 196.27平米 | 南 | 其他 | 高楼层(共11层)  | 板塔结合,2人关注 / 一年前发布,230,"11,719元/平"
尚景公寓 精装两室  全明户型 采光好 通风好,尚景公寓 -张店区,2室2厅 | 103.54平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,21人关注 / 一年前发布,68,"6,568元/平"
美达花园！莲池北 精装三室带储 客卧朝阳,美达花园 -张店区,3室2厅 | 106平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 5天以前发布,82,"7,736元/平"
东岳盛景澜庭 3室2厅 南 北,东岳盛景澜庭 -张店区,3室2厅 | 144平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 6天以前发布,157,"10,903元/平"
凯瑞景园大平层 四室两卫 带车位储藏室 精装修 户型好,凯瑞景园 -张店区,4室2厅 | 200平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,0人关注 / 14天以前发布,248,"12,400元/平"
凯旋门一期 2室2厅 南 北,凯旋门一期 -张店区,2室2厅 | 110平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 3天以前发布,96,"8,728元/平"
万达旁出门齐盛湖，多层大三室，公摊小，采光好,民泰龙凤苑 -张店区,3室2厅 | 143.97平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,37人关注 / 一年前发布,125,"8,683元/平"
莲池和七*中 多层3楼大三居 仅售95万！,莲池苑 -张店区,3室2厅 | 112.79平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 8天以前发布,95,"8,423元/平"
海泉帝景楼前无遮挡下楼就是公园精装四室急售,海泉帝景 -张店区,4室2厅 | 191.93平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,8人关注 / 6个月以前发布,142,"7,399元/平"
齐悦国际花园一期5-3-1-3 241.00m² 360 万,齐悦国际花园一期 -张店区,5室3厅 | 241.08平米 | 南 北 | 精装 | 高楼层(共20层)  | 板楼,0人关注 / 2个月以前发布,340,"14,104元/平"
全屋200万精装大四居带两车位储 中间好楼层全天无遮挡,齐悦国际花园一期 -张店区,4室2厅 | 270.65平米 | 南 北 | 其他 | 中楼层(共24层)  | 板楼,0人关注 / 15天以前发布,468,"17,292元/平"
南北通透，楼层好，采光好、视野开阔！,马尚供销社宿舍 -张店区,3室2厅 | 139.6平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 8天以前发布,119,"8,525元/平"
富贵家园三楼      经典元宝户型，两卧一客朝阳，,富贵家园 -张店区,3室2厅 | 143平米 | 北 南 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 7天以前发布,112,"7,833元/平"
恒兴花园 二期 2012年房龄新 带露台,恒兴花园 -张店区,2室2厅 | 87.84平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,50.8,"5,784元/平"
海泉帝景楼前无遮挡下楼就是公园精装四室急售,海泉帝景 -张店区,4室2厅 | 191.93平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,8人关注 / 6个月以前发布,142,"7,399元/平"
万达旁出门齐盛湖，多层大三室，公摊小，采光好,民泰龙凤苑 -张店区,3室2厅 | 143.97平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,37人关注 / 一年前发布,125,"8,683元/平"
科技苑樱红村 3室2厅 南,科技苑樱红村 -张店区,3室2厅 | 134平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 7天以前发布,120,"8,956元/平"
天润建设花园采光好，证全满5年，带半地上储，房龄新,天润·建设花园 -张店区,3室1厅 | 81平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 7天以前发布,50,"6,173元/平"
黄金国际 客卧朝阳 全天采光 临公园七中急售,黄金国际 -张店区,2室2厅 | 102.6平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,92,"8,967元/平"
恒大帝景 4室2厅 南 北,恒大帝景 -张店区,4室2厅 | 180.84平米 | 南 北 | 其他 | 低楼层(共32层)  | 板楼,11人关注 / 一年前发布,240,"13,272元/平"
鲁能齐林 采光好 视野好 装修好,鲁能齐林家园 -张店区,2室2厅 | 80.62平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,21人关注 / 一年前发布,57,"7,071元/平"
美达花园！莲池北 精装三室带储 客卧朝阳,美达花园 -张店区,3室2厅 | 106平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 5天以前发布,82,"7,736元/平"
精装四室 带车储 华侨城八组团 银泰城旁 好楼层采光佳,中润 · 华侨城八组团 -张店区,4室2厅 | 196.27平米 | 南 | 其他 | 高楼层(共11层)  | 板塔结合,2人关注 / 一年前发布,230,"11,719元/平"
祥瑞花园5室电梯复式，采光视野chao棒,祥瑞花园 -张店区,5室2厅 | 218.21平米 | 南 北 | 其他 | 高楼层(共12层)  | 塔楼,0人关注 / 3个月以前发布,270,"12,374元/平"
恒兴花园 二期 2012年房龄新 带露台,恒兴花园 -张店区,2室2厅 | 87.84平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,50.8,"5,784元/平"
莲池和七*中 多层3楼大三居 仅售95万！,莲池苑 -张店区,3室2厅 | 112.79平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 8天以前发布,95,"8,423元/平"
尚景公寓 精装两室  全明户型 采光好 通风好,尚景公寓 -张店区,2室2厅 | 103.54平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,21人关注 / 一年前发布,68,"6,568元/平"
东方星城·樱花园 2室2厅 南,东方星城·樱花园 -张店区,2室2厅 | 97平米 | 南 | 其他 | 中楼层(共24层)  | 板楼,0人关注 / 1天以前发布,89,"9,176元/平"
花山府第 3室2厅 南 北,花山府第 -张店区,3室2厅 | 149平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,0人关注 / 4天以前发布,119,"7,987元/平"
瑞丰苑南区 多层好楼层 客卧朝阳 采光好,瑞丰苑南区 -张店区,2室2厅 | 101平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 7天以前发布,82,"8,119元/平"
丽景翠苑多层3楼 采光充足 交通便利,丽景翠苑 -张店区,3室2厅 | 142.15平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 6天以前发布,119,"8,372元/平"
此房满五 居住 舒适 交通比较 方 便,嘉和乐园 -张店区,3室2厅 | 124.86平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 4天以前发布,87,"6,968元/平"
经开区吾悦广场旁天泰嘉亿城毛坯精典户三室,天泰·嘉亿城 -张店区,3室2厅 | 103平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 7天以前发布,93,"9,030元/平"
东方星城·樱花园 3室2厅 南,东方星城·樱花园 -张店区,3室2厅 | 117平米 | 南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 1天以前发布,120,"10,257元/平"
金石丽城 3室2厅 南 北,金石丽城 -张店区,3室2厅 | 153平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 2天以前发布,140,"9,151元/平"
百花园 2室2厅 南 北,百花园 -张店区,2室2厅 | 79平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 1天以前发布,47.5,"6,013元/平"
莲泽苑 3室2厅 南 北,莲泽苑 -张店区,3室2厅 | 117平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 1天以前发布,65,"5,556元/平"
阳光春城 2室1厅 南 北,阳光春城 -张店区,2室1厅 | 73.5平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,0人关注 / 7天以前发布,50,"6,803元/平"
时代名都 2室2厅 南 北,时代名都 -张店区,2室2厅 | 111.9平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 1天以前发布,78,"6,971元/平"
凯瑞安园 3室2厅 南,凯瑞安园 -张店区,3室2厅 | 124平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 6天以前发布,108,"8,710元/平"
外商居住區 5室4厅 南,外商居住區 -张店区,5室4厅 | 253平米 | 南 | 其他 | 3层  | 板楼 | 独栋别墅 ,0人关注 / 11天以前发布,260,"10,277元/平"
花漾城  精装 3室  106平  位置采光好,花漾城 -张店区,3室1厅 | 106平米 | 南 北 | 其他 | 低楼层(共23层)  | 板楼,0人关注 / 2天以前发布,93,"8,774元/平"
世纪花园多层2楼，大元宝户带大储藏室,世纪花园冬韵园 -张店区,3室2厅 | 155.53平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 6天以前发布,195,"12,538元/平"
安居生活区 3室2厅 南 北,安居生活区 -淄川区,3室2厅 | 126平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 4天以前发布,60,"4,762元/平"
