标题,开发商,房子信息,发布信息,售价/万,单价
金地檀境 前排 视野开阔 采光充足 诚心出售,金地檀境 -前关,3室2厅 | 104.15平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 8天以前发布,136,"13,059元/平"
房主楼层好，交通便利，配套齐全，老人学生都适合,李屯工联街 -瓦房店,1室1厅 | 41.66平米 | 西北 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 21天以前发布,26,"6,241元/平"
大华八期 清水两室 好楼层前排 诚心出售,大华锦绣华城八期 -庙岭,2室1厅 | 77.15平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,1人关注 / 17天以前发布,177,"22,943元/平"
南北通透，视野好，楼层好，采光充足。,南沙 -南沙,2室2厅 | 90.73平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 31天以前发布,119,"13,116元/平"
海湾城一期新上房源  装修保持好 品牌家具家电,大连海湾城一期 -华润海中国,2室1厅 | 88.67平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,4人关注 / 24天以前发布,109,"12,293元/平"
急售华南商圈多层洋房 南北通厅 楼层好 采光好,加州洋房 -华南,2室2厅 | 90.08平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 16天以前发布,165,"18,318元/平"
东港 星光耀广场 南向采光好 近凯丹 非填海,星光耀广场 -东港,2室1厅 | 86.75平米 | 南 | 其他 | 中楼层(共50层)  | 塔楼,2人关注 / 17天以前发布,99.5,"11,470元/平"
和平路轻轨站 5楼单价低 带仓房出售,414小区 -古城汇金,2室1厅 | 51平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,0人关注 / 21天以前发布,30,"5,883元/平"
此房精装修，南北户型，拎包入住，交通便利，配套齐全,岗林里 -东山,2室1厅 | 68.7平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 22天以前发布,59.8,"8,705元/平"
民主广场08年封闭小区 70年产权 北向海景房,海派优座 -民主广场,1室1厅 | 36.83平米 | 北 | 其他 | 高楼层(共30层)  | 塔楼,4人关注 / 16天以前发布,40,"10,861元/平"
和平广场70年产权二居室，诚意出售 价格合适,和平现代城 -和平广场,2室1厅 | 85.17平米 | 西南 | 简装 | 低楼层(共50层)  | 塔楼,6人关注 / 20天以前发布,120,"14,090元/平"
楼层好，价钱合适；精装好，采光视野好；手续清晰,东方圣克拉三期 -庙岭,2室1厅 | 75.36平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 25天以前发布,205,"27,203元/平"
303终点站南北两室有阳台拎包入住证件齐全,龙畔金泉五期K4区 -泉水龙畔金泉,2室1厅 | 85.28平米 | 南 北 | 简装 | 中楼层(共24层)  | 板楼,0人关注 / 18天以前发布,102,"11,961元/平"
"一线海景精装修3室,楼层采光视野好",水岸兰亭 -东山,3室2厅 | 96.93平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,2人关注 / 8天以前发布,82,"8,460元/平"
此房满五唯一，装修干净，交通方便，通风好,北京街南 -北京公园,3室1厅 | 94.08平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 4天以前发布,150,"15,944元/平"
精装修三居  报价含室内的家电家具 景观房源 环境好,星海国宝 -星海广场,4室2厅 | 193.09平米 | 南 北 | 精装 | 低楼层(共30层)  | 塔楼,16人关注 / 6个月以前发布,468,"24,238元/平"
房子精装上跃，通地下停车场，视野好，拎包入住,亿达春田馥园 -生态新城,6室2厅 | 139.85平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,6人关注 / 1个月以前发布,275,"19,664元/平"
前排下跃 带地上院子 样板间装修 小区人车分流,万科翡翠公园 -生态新城,3室2厅 | 108.82平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,16人关注 / 4个月以前发布,248,"22,790元/平"
丰源海景三跃四直观老虎滩公园大客厅大落地窗百万装修,丰源海景 -景山,4室2厅 | 244.97平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,14人关注 / 4个月以前发布,479,"19,554元/平"
林海新上低楼层三室南北带阳台手续清晰诚心卖,青云林海 -青云街,3室2厅 | 124.79平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,5人关注 / 28天以前发布,283,"22,679元/平"
南北通厅三室两卫，精装修直接入住,金海国际花园 -金华,3室2厅 | 125.24平米 | 南 北 | 精装 | 低楼层(共19层)  | 板楼,0人关注 / 27天以前发布,99,"7,905元/平"
精装修三室可以看海，中间楼层，40多万装修，急售急售,华润海中国五期 -华润海中国,3室1厅 | 139.41平米 | 南 北 | 精装 | 高楼层(共23层)  | 板楼,2人关注 / 17天以前发布,210,"15,064元/平"
东城天下精装电梯三室两厅两卫独立厨房餐厅 出行方便,东城天下 -东城,3室2厅 | 136.59平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,2人关注 / 19天以前发布,138,"10,104元/平"
中间位置三室精装修好楼层！！！！！,万科新都会 -体育新城,3室2厅 | 94.51平米 | 南 北 | 其他 | 高楼层(共9层)  | 板楼,2人关注 / 16天以前发布,190,"20,104元/平"
多层洋房带电梯 三室二卫南北品字户型 精装修 采光好,钰桥中央庭院 -泉水美域盛景,3室2厅 | 129.1平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,7人关注 / 27天以前发布,239,"18,513元/平"
甘井子区天下粮仓三室两厅，76和港湾，装修保持好。,大连港天下粮仓 -鹏辉,3室2厅 | 96.09平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,2人关注 / 30天以前发布,238,"24,769元/平"
中铁b区楼间距大，绿化好，中高楼层全天采光海景。,中铁诺德滨海花园B区 -七贤岭,3室2厅 | 91.39平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,3人关注 / 21天以前发布,235,"25,714元/平"
优质房源，五明大两室，诚心出售,华丰金山花园 -金三角,2室2厅 | 87.95平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,1人关注 / 31天以前发布,163,"18,534元/平"
楼层好  精装修保持的很好  房主诚心出售,纳帕溪谷御山 -金石滩,2室2厅 | 79.08平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 24天以前发布,72,"9,105元/平"
南向    精装   拎包入住   阳光充足,尚海华庭 -金湾新城,2室1厅 | 60.15平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,1人关注 / 27天以前发布,60,"9,976元/平"
39 望海 无坡南北向位置好出行方便,39中共建巷 -三八南,2室1厅 | 48.11平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,0人关注 / 17天以前发布,141,"29,308元/平"
湾里南精装修一室户型，拎包入住,湾里南小区 -金湾新城,1室1厅 | 47.37平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,1人关注 / 24天以前发布,45.8,"9,669元/平"
春海街 无坡 三室南北 阳光房,春海街 -寺儿沟,3室1厅 | 52.07平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 22天以前发布,85,"16,325元/平"
远洋荣域A4区 2室1厅 南 北,远洋荣域A4区 -华南,2室1厅 | 90.41平米 | 南 北 | 精装 | 低楼层(共30层)  | 塔楼,0人关注 / 23天以前发布,178,"19,689元/平"
店长推荐 北向小户型能看海，价钱优惠装修好，诚心卖,嘉和花样年华一期 -三八南,1室0厅 | 32.65平米 | 北 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 20天以前发布,59,"18,071元/平"
房主诚心出售，可小刀，近万达，南金中學，交通便利,中环城市广场 -开发区万达,2室2厅 | 84.74平米 | 南 东 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 31天以前发布,75.5,"8,910元/平"
此房位置好，采光充足，近轻轨站，出行方便,光伸外企公寓 -开发区万达,2室1厅 | 73.52平米 | 南 北 | 简装 | 低楼层(共7层)  | 塔楼,1人关注 / 24天以前发布,37.5,"5,101元/平"
70年产权，精装修两室 楼龄新 房主诚心卖,一方国际 -中山友好,2室1厅 | 85.48平米 | 西 | 精装 | 高楼层(共42层)  | 塔楼,1人关注 / 19天以前发布,240,"28,077元/平"
楼下沃尔玛婚房装修 领包入住 海景房 生活配套齐全,金州福佳新天地广场 -光明,1室1厅 | 50.67平米 | 北 | 简装 | 低楼层(共31层)  | 板楼,0人关注 / 28天以前发布,35.8,"7,066元/平"
解放路沿线3楼田字格户型几乎无坡,文明巷 -青云街,3室1厅 | 62.65平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 31天以前发布,82,"13,089元/平"
欧尚商圈 中高楼层 视野开阔 封闭小区 近车站配套齐全,龙畔金泉五期K4区 -泉水龙畔金泉,2室1厅 | 75.71平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 31天以前发布,99,"13,077元/平"
婚房精装修，中间楼层好，采光视野好，拎包入住,湾里南小区 -金湾新城,2室2厅 | 79.24平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 21天以前发布,77.7,"9,806元/平"
一室精装，户型方正，阳光满屋 位置好，装修好,东港林苑 -二七,1室1厅 | 43.71平米 | 西 | 精装 | 中楼层(共21层)  | 板楼,1人关注 / 19天以前发布,64,"14,642元/平"
聚焦房源：王家桥80芙蓉精装两室 位置好 近地铁 必卖,王家桥 -促进路,2室1厅 | 62.5平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 22天以前发布,96.8,"15,488元/平"
加州洋房精装修2室，好楼层视野采光好,加州洋房 -华南,2室2厅 | 99.33平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,5人关注 / 23天以前发布,149,"15,001元/平"
华南名贵两室南北通透诚心出售中间楼层,名贵山庄华丽园 -名贵,2室1厅 | 98.79平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 18天以前发布,131,"13,261元/平"
精装拎包住  二楼 采光好 近车站 户型规矩,绕山路 -莲花白云,1室1厅 | 37.49平米 | 西南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 22天以前发布,48,"12,804元/平"
精装修，维多利亚公馆，满足商务人士需求，海景视野,维多利亚公馆 -东港,1室1厅 | 51.76平米 | 西 | 简装 | 低楼层(共68层)  | 塔楼,0人关注 / 22天以前发布,86,"16,616元/平"
此房满5唯一，配套齐全，房主诚心卖房，产权清晰,青国青城 -金湾新城,1室1厅 | 53.6平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 17天以前发布,52,"9,702元/平"
翡翠春城 2室1厅 南 北,翡翠春城 -叠翠,2室1厅 | 77.18平米 | 南 北 | 简装 | 低楼层(共19层)  | 板楼,1人关注 / 17天以前发布,119,"15,419元/平"
伊景华园一室方正户型东南向 好楼层 采光好,伊景华园 -南山,1室1厅 | 55.49平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 28天以前发布,147,"26,492元/平"
前排视野采光好精装修实地看效果好,乾豪新界 -金湾新城,2室1厅 | 75.78平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 25天以前发布,74,"9,766元/平"
康馨壹品 两室两厅 户型方正  一楼带院子,康馨壹品 -金湾新城,2室2厅 | 78.19平米 | 南 北 | 精装 | 26层  | 板塔结合,1人关注 / 28天以前发布,94,"12,022元/平"
康馨园框架房，南北通厅，楼层好，老少皆宜,泡崖康馨园 -泡崖八区,2室1厅 | 88.03平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 23天以前发布,118,"13,405元/平"
此房满5唯一，配套齐全，房主诚心卖房，产权清晰,青国青城 -金湾新城,1室1厅 | 53.6平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 17天以前发布,52,"9,702元/平"
精装修，维多利亚公馆，满足商务人士需求，海景视野,维多利亚公馆 -东港,1室1厅 | 51.76平米 | 西 | 简装 | 低楼层(共68层)  | 塔楼,0人关注 / 22天以前发布,86,"16,616元/平"
加州洋房精装修2室，好楼层视野采光好,加州洋房 -华南,2室2厅 | 99.33平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,5人关注 / 23天以前发布,149,"15,001元/平"
二室两厅 精装修 电梯房 位置好 人车分流 封闭小区,恒大帝景 -锦绣,2室2厅 | 83.75平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,4人关注 / 27天以前发布,157,"18,747元/平"
大华八期 南北通厅 精装 总价低 诚心出售,大华锦绣华城八期 -庙岭,2室1厅 | 71.12平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,2人关注 / 17天以前发布,159,"22,357元/平"
房主诚售，三楼精装修，近路边位置好,开.东山小区 -东山,2室2厅 | 55.3平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 16天以前发布,51,"9,223元/平"
安盛万达商圈，地理位置好，交通便利，装修好,开发区万达广场 -开发区万达,1室0厅 | 41.32平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 28天以前发布,27.5,"6,656元/平"
东特新天地  房子保持良好 中间楼层 周二 汇文,东特新天地 -周水子,1室1厅 | 31.52平米 | 西南 | 精装 | 高楼层(共9层)  | 板楼,4人关注 / 24天以前发布,53,"16,815元/平"
2021年新装修，看房方便，价格可谈，欢迎咨询看房,金寓花园三期 -机场,2室2厅 | 108.44平米 | 南 北 | 精装 | 低楼层(共10层)  | 板楼,0人关注 / 30天以前发布,205,"18,905元/平"
金三角 山东路 两室 南北 中间楼层,秀山路 -山东路,2室1厅 | 50.76平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 16天以前发布,60,"11,821元/平"
五四路 和 三十四 两室 楼层3楼,34中云山街 -唐山街,2室1厅 | 66.43平米 | 东 西 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 16天以前发布,262,"39,441元/平"
万达广场精装修 楼下就是商场 适合白领 诚心出售,开发区万达广场 -开发区万达,1室0厅 | 36.66平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,3人关注 / 30天以前发布,20.5,"5,592元/平"
万科假日风景 2室2厅 东 南,万科假日风景 -万科假日,2室2厅 | 93.72平米 | 东 南 | 精装 | 中楼层(共18层)  | 板楼,4人关注 / 20天以前发布,131,"13,978元/平"
华南商圈 交通便利 精装修 采光好,宏都熙景 -华南,2室2厅 | 73.29平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,6人关注 / 28天以前发布,147,"20,058元/平"
俯瞰华南，视野好，采光充足，单价低,远洋荣域A2区 -华南,2室1厅 | 88.55平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,7人关注 / 23天以前发布,139.5,"15,754元/平"
二楼，南北向，精装修，急售，房款低。,松江小区 -甘井子,1室2厅 | 46.72平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 23天以前发布,55,"11,773元/平"
泡崖市场，南北两室，中间层，产权清晰，诚心卖，,泡崖七区 -泡崖市场,2室1厅 | 68.31平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 17天以前发布,84.5,"12,371元/平"
宏都熙景，纯洋房，楼层好，一梯两户，全明户型，急售,宏都熙景 -华南,2室2厅 | 91.06平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 22天以前发布,229,"25,149元/平"
高新园区精装修。全海景，全天阳光！南北大两室,君海阁 -万达,2室2厅 | 99.34平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,2人关注 / 26天以前发布,245,"24,663元/平"
福佳前排无遮挡中高层 房主自住 婚房精装两室 保持好,金州福佳新天地广场 -光明,2室2厅 | 81.94平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,1人关注 / 29天以前发布,78,"9,520元/平"
金宸联郡南北通透 西客厅 拎包入住 中间楼层 采光充足,金宸联郡 -金纺,2室1厅 | 67.09平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 22天以前发布,62,"9,242元/平"
店长推荐南北向华润品质中间层，房主急售，看房方便,华润考拉住区北园 -名贵,2室1厅 | 83.25平米 | 南 北 | 其他 | 低楼层(共22层)  | 塔楼,0人关注 / 10天以前发布,139,"16,697元/平"
封闭小区 精装修两室 好楼层采光佳 近轻轨 出行方便,枫丹丽城 -泉水美域盛景,2室1厅 | 83.07平米 | 东南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 12天以前发布,135,"16,252元/平"
孙家沟龙江路 无坡 带客厅近车站市场，早夜市，配套齐,孙家沟 -孙家沟,2室1厅 | 75.28平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 8天以前发布,90,"11,956元/平"
桥东巷无坡，近市场，采光好，视野好,桥东巷 -石道街,2室1厅 | 55.11平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,2人关注 / 13天以前发布,54,"9,799元/平"
良友小区，步梯四楼，小区绿化好地势平坦，位置挺好,良友小区 -瓦房店,2室1厅 | 73.1平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 10天以前发布,53.8,"7,360元/平"
龙畔金泉四期 2室1厅 南 北,龙畔金泉四期 -泉水龙畔金泉,2室1厅 | 80.01平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 15天以前发布,129.8,"16,223元/平"
亿锋二期前排不挡光 标准一室一厅,亿锋广场二期 -亿锋,1室1厅 | 46.34平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 15天以前发布,72,"15,538元/平"
友好街  业主精心装修  诚心出售  看房方便,友好街32号 -站前,2室1厅 | 75平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 10天以前发布,61,"8,134元/平"
