标题,开发商,房子信息,发布信息,售价/万,单价
团城山优质好房拎包入住，交通生活便利,扬子玉龙湾 -团城山,3室2厅 | 133.59平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,3人关注 / 6个月以前发布,105,"7,860元/平"
江天凤凰山庄电梯高层大三房，产证满两年，看房方便。,江天凤凰山庄 -团城山,3室2厅 | 123.11平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板塔结合,2人关注 / 一年前发布,72,"5,849元/平"
扬子玉龙湾电梯高层湖景房，毛坯大三房，产证满两年。,扬子玉龙湾 -团城山,3室2厅 | 125.3平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,0人关注 / 8个月以前发布,100,"7,981元/平"
黄石北站旁精装修大三房电梯高层拎包入住满两年,岭秀新城 -团城山,3室1厅 | 109.54平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,2人关注 / 一年前发布,68.8,"6,281元/平"
此套房源楼层适中，临湖采光好。,奥山磁湖天下 -沈家营,3室2厅 | 122.4平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,1人关注 / 6个月以前发布,104,"8,497元/平"
即将满二 三室两厅一厨两卫精装修白小旁 团城山好地段,天域·名流天地 -团城山,3室2厅 | 137.86平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,9人关注 / 一年前发布,102,"7,399元/平"
湖景小区 四房毛坯户型 诚意出售,航宇仁智山水 -楠竹林,4室2厅 | 180.38平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,190,"10,534元/平"
满两年税费少，房东一次都没住过，诚心出售~,岭秀新城 -团城山,3室2厅 | 119.33平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,24人关注 / 一年前发布,72,"6,034元/平"
此房格局好，装修好，可以拎包入住.,大上海广场玉兰雅苑 -武商,3室2厅 | 137.93平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 4个月以前发布,162,"11,746元/平"
急售急售急售团城山万达商圈毛坯三房电梯中高层满两年,美鑫·锦绣华庭 -团城山,3室2厅 | 100.7平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,42,"4,171元/平"
全南方正户型 采光好 满五唯一税费低 拎包即住,华森牧羊春城 -八卦嘴,3室2厅 | 103平米 | 东南 | 精装 | 中楼层(共12层)  | 板楼,1人关注 / 5个月以前发布,63,"6,117元/平"
带入户花园，一梯一户洋房，百事威2期，小区配套齐全,百事威·尊邸二期 -团城山,3室2厅 | 134.16平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,4人关注 / 8个月以前发布,83,"6,187元/平"
黄石大道138号 地段好 采光好 户型方正,黄石大道 -沈家营,3室2厅 | 95.32平米 | 东南 | 精装 | 中楼层(共10层)  | 暂无数据,0人关注 / 一年前发布,65,"6,820元/平"
武商边电梯温馨三房  视野开阔   可拧包入住,金鑫智华大厦 -武商,3室1厅 | 83.13平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,3人关注 / 6个月以前发布,75,"9,023元/平"
七中旁水云馨苑电梯精装大3房拎包住，证满2带入户花园,中卫水云馨苑 -楠竹林,3室1厅 | 130.59平米 | 南 | 精装 | 中楼层(共24层)  | 塔楼,7人关注 / 10个月以前发布,79,"6,050元/平"
沈家营精装修三房，生活设施齐全，价格优惠。,博雅花园 -沈家营,3室2厅 | 117.55平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,3人关注 / 一年前发布,66.8,"5,683元/平"
八栋口 小3房 简装 拎包入住 随时看房,冶电一村 -沈家营,3室2厅 | 70.34平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,2人关注 / 8个月以前发布,31.5,"4,479元/平"
中卫水云馨苑 电梯中层两房 户型好采光好,中卫水云馨苑 -楠竹林,3室2厅 | 101.78平米 | 东南 | 精装 | 高楼层(共24层)  | 板楼,2人关注 / 一年前发布,72,"7,075元/平"
恒大 帝景三室两厅厨一卫精装修电梯高层有钥匙全朝南,恒大帝景 -团城山,3室2厅 | 90.91平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,1人关注 / 7个月以前发布,80,"8,800元/平"
房子是朝南的户型，楼层好，视野开阔，交通便利,奥山星城 -黄金山,3室2厅 | 98.2平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 一年前发布,46,"4,685元/平"
王家里2007年房龄精装三房 满五唯一 楼梯房低层,王家里 -沈家营,3室2厅 | 121.46平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,5人关注 / 7个月以前发布,66.8,"5,500元/平"
冶电一村南北通透紧凑三居室 满二,冶电一村 -沈家营,3室1厅 | 70.19平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 9个月以前发布,35.8,"5,101元/平"
此房电梯房，通透户型，三面采光，精装修，湖景房,磁湖东城A区 -市中心,3室2厅 | 119.98平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,102,"8,502元/平"
八卦嘴，九中旁，，三室两厅两卫,常青花园 -八卦嘴,3室2厅 | 131.33平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,68,"5,178元/平"
此房方正大三房格局，楼层好，视野宽阔，采光好,万达华府 -万达,3室2厅 | 102.92平米 | 东南 | 精装 | 高楼层(共30层)  | 板楼,4人关注 / 5个月以前发布,88,"8,551元/平"
万达商圈，龙城山庄电梯高层精装小三房，满五唯一,龙城山庄 -万达,3室2厅 | 98平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,3人关注 / 一年前发布,50,"5,103元/平"
花湖新村2房2厅1卫82.82平满五带露台42万,花湖新村 -万达,2室2厅 | 82.82平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 8个月以前发布,38,"4,589元/平"
万达商圈 天方百花园 精装三房 底层户型通透 拎包入住,天方百花園 -万达,3室2厅 | 114.97平米 | 东南 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 3个月以前发布,73,"6,350元/平"
万达商圈中装两房楼梯高层带顶楼房间,天虹小区 -万达,2室2厅 | 93.55平米 | 东 南 北 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,45,"4,811元/平"
万达旁，楼梯装修三房，出行方便，房东诚心出售,博雅怡景花城 -万达,3室1厅 | 117平米 | 东 | 简装 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,53,"4,530元/平"
万达商圈精装大三房家电家电全带拎包入住,阳光花城新领地 -万达,3室2厅 | 119.86平米 | 南 | 精装 | 中楼层(共21层)  | 板楼,20人关注 / 一年前发布,66,"5,507元/平"
宝石名城 4室2厅 南,宝石名城 -万达,4室2厅 | 159.6平米 | 南 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 1个月以前发布,126,"7,895元/平"
三室两厅两卫精装修大三房 拎包即住 团城山万达广场旁,江天凤凰山庄 -团城山,3室2厅 | 122.73平米 | 南 北 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 3个月以前发布,85,"6,926元/平"
黄石绿城玉兰花园 品质小区 标准大两房,黄石绿城玉兰花园 -万达,2室2厅 | 72.97平米 | 南 北 | 简装 | 低楼层(共25层)  | 板楼,2人关注 / 5个月以前发布,68,"9,319元/平"
光福苑 大四房 精装修 真的好房,渝鄂光福苑 -万达,4室2厅 | 156.31平米 | 南 北 | 简装 | 高楼层(共9层)  | 板塔结合,0人关注 / 4个月以前发布,65,"4,159元/平"
万达商圈 户型方正 采光通透 看房方便,天虹小区 -万达,3室2厅 | 97.65平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 9个月以前发布,51.8,"5,305元/平"
品牌精装三房两厅两卫，采光充足,华森国际公馆 -万达,3室2厅 | 126.93平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,1人关注 / 一年前发布,128,"10,085元/平"
万达隔壁都市花苑，精装大三房三面采光拎包住,都市花苑 -万达,3室2厅 | 131.25平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,80,"6,096元/平"
万达旁宝石银都电梯高层3房2厅2卫119平婚房装修,宝石银都 -万达,3室2厅 | 117.99平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,2人关注 / 9个月以前发布,99.8,"8,459元/平"
有车库 精装修大三房 保养好 直接拎包入住,顺佳四季花城 -万达,3室2厅 | 154.24平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,91,"5,900元/平"
阳光花城新领地3-2-1-2 130.00m² 70 万,阳光花城新领地 -万达,3室2厅 | 133.47平米 | 东 | 精装 | 低楼层(共6层)  | 暂无数据,2人关注 / 10个月以前发布,70,"5,245元/平"
天虹金华庭，精装修，拎包入住型,天虹金华庭 -万达,3室2厅 | 105平米 | 东南 | 精装 | 高楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,83,"7,905元/平"
宏维人家，带入户花园毛坯房，品质小区，环境优美,宏维人家 -新城区,3室2厅 | 131.74平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板塔结合,7人关注 / 一年前发布,76,"5,769元/平"
黄石港电梯大三房，客厅主卧大阳台,花山苑书香世家 -万达,3室2厅 | 137.08平米 | 东南 | 简装 | 低楼层(共16层)  | 板塔结合,0人关注 / 一年前发布,82,"5,982元/平"
家园小区 3室2厅 南,家园小区 -万达,3室2厅 | 131.65平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,71.5,"5,432元/平"
陈家湾中楼层正规3房2000年房龄可以贷款,颐阳路537号 -八卦嘴,3室2厅 | 98.84平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,7人关注 / 一年前发布,47.5,"4,806元/平"
此房精装修，，依山傍水，满五唯一 ，诚心卖,裕华城 -万达,3室2厅 | 125.9平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,5人关注 / 10个月以前发布,85,"6,752元/平"
此房位置就在水机路，步梯房，采光佳。,华瑞南岸星城 -八卦嘴,3室2厅 | 103平米 | 南 北 | 精装 | 高楼层(共7层)  | 平房,2人关注 / 10个月以前发布,58,"5,632元/平"
房子是市西塞山区沿湖路的房子。,磁湖新都 -八卦嘴,3室2厅 | 140平米 | 东北 | 精装 | 中楼层(共16层)  | 板楼,11人关注 / 一年前发布,76,"5,429元/平"
大千枫叶苑，3室2厅1厨1卫，房东诚心出售。,千大枫叶苑 -沈家营,3室1厅 | 119.53平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板塔结合,0人关注 / 7个月以前发布,66,"5,522元/平"
电梯三房  此房满五多套，配套设施齐全,磁湖东路7号 -八卦嘴,3室2厅 | 122.44平米 | 南 北 | 简装 | 高楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,65,"5,309元/平"
两房中装，采光巨好 ，好晾晒满二，单价5000,南岳社区 -沈家营,2室2厅 | 77.28平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,39,"5,047元/平"
沿湖路 3室1厅 西南,沿湖路 -八卦嘴,3室1厅 | 93.52平米 | 西南 | 精装 | 低楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,47,"5,026元/平"
市内南京路社区步梯中层精装三房，三面采光阳光充足！,南京路8号 -武商,3室2厅 | 94.82平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,6人关注 / 5个月以前发布,62,"6,539元/平"
沿湖路十中旁繁华地段，中层大两房明厨明卫无暗房,沿湖路 -八卦嘴,2室2厅 | 86.28平米 | 东 东南 东北 | 简装 | 中楼层(共9层)  | 暂无数据,0人关注 / 8个月以前发布,50,"5,796元/平"
江南名居 2室2厅 东南,江南名居 -万达,2室2厅 | 100.55平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,75,"7,459元/平"
杭州西路上精装修大三房，产证满两年，近居然之家旁。,杭州公馆 -团城山,3室2厅 | 136.84平米 | 东南 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 3个月以前发布,99,"7,235元/平"
三室一厅一厨一卫业主诚心出售…,煤气小区 -八卦嘴,3室1厅 | 107.28平米 | 东南 | 简装 | 高楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,51,"4,754元/平"
《人民广场 电梯大4房》4500元每平 产证满五年有露台,福寿阁 -团城山,4室2厅 | 167.93平米 | 东 西 | 精装 | 高楼层(共9层)  | 板楼,29人关注 / 一年前发布,76.5,"4,556元/平"
黄石港 简单装修三居室 满两年 采光好,城市花园 -万达,3室1厅 | 124平米 | 南 北 | 简装 | 高楼层(共16层)  | 塔楼,9人关注 / 一年前发布,66,"5,323元/平"
万达华府  精装3房   南北通透,万达华府 -万达,3室2厅 | 127.29平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 7个月以前发布,98,"7,699元/平"
此房精装满二， 户型正  无遮挡视野好。,江泰春岸 -花湖,3室2厅 | 99.31平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 3个月以前发布,65,"6,546元/平"
黄石港万达商圈 精装大三房，X价比高,银海华山公馆 -万达,3室2厅 | 121.03平米 | 南 北 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 3个月以前发布,73,"6,032元/平"
新街口  简装 三房 楼梯  中层满五税费低,黄石大道54号副9号院 -万达,3室2厅 | 104.66平米 | 南 | 简装 | 中楼层(共10层)  | 板塔结合,1人关注 / 7个月以前发布,43,"4,109元/平"
磁湖边一梯一户精装边户三房采光好。,湖滨大道111号 -市中心,3室1厅 | 147.92平米 | 南 | 精装 | 高楼层(共8层)  | 暂无数据,5人关注 / 一年前发布,89.6,"6,058元/平"
二中生活区  电梯 三房 房东诚售,黄石二中生活区 -市中心,3室1厅 | 110.16平米 | 东 南 | 简装 | 低楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,69,"6,264元/平"
上窑批发市场楼上平台103平大三房.带家具家电随时看房,八泉街社区 -武商,3室2厅 | 103平米 | 东 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 7个月以前发布,40,"3,884元/平"
三房格局，南北通透，采光充足，生活交通便利.,东楚名居 -市中心,3室1厅 | 125.48平米 | 东南 北 | 精装 | 低楼层(共7层)  | 板塔结合,1人关注 / 7个月以前发布,90.8,"7,237元/平"
此房满五多套，楼层低 ，采光可以。。,726和谐幸福楼 -市中心,2室1厅 | 86.75平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,50,"5,764元/平"
市内江景  胜阳港精装三房 采光好生活便利,挹江南路9号 -市中心,3室2厅 | 110.4平米 | 东 | 精装 | 高楼层(共10层)  | 板楼,0人关注 / 10个月以前发布,88,"7,972元/平"
杭州路9号 4室1厅 东 西,杭州路9号 -市中心,4室1厅 | 137.38平米 | 东 西 | 简装 | 中楼层(共10层)  | 暂无数据,0人关注 / 4个月以前发布,110,"8,007元/平"
格局好双阳台、采光充足、交通便利,代司里小区 -市中心,3室2厅 | 107.86平米 | 南 北 | 简装 | 高楼层(共10层)  | 暂无数据,1人关注 / 5个月以前发布,43,"3,987元/平"
大上海.三室两厅.出售中....,威伊盛 -市中心,3室2厅 | 137平米 | 南 北 | 精装 | 中楼层(共23层)  | 板塔结合,2人关注 / 一年前发布,130,"9,490元/平"
市内 芜湖路好楼层大三房 南北通透满二税费低看房方便,芜湖路63号院 -市中心,3室2厅 | 169.67平米 | 南 北 | 简装 | 低楼层(共15层)  | 塔楼,0人关注 / 2个月以前发布,102,"6,012元/平"
大上海2期D区商品房141平大三房精装修中层湖景房,大上海广场玉兰雅苑 -武商,3室2厅 | 140.1平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,3人关注 / 5个月以前发布,170,"12,135元/平"
市内摩尔城旁高层电梯江景房，精装满五唯一,江天金色华邸 -市中心,4室2厅 | 165平米 | 东南 西南 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,140,"8,485元/平"
高层电梯准现房 精装俩房拎包入住 采光充足,亚光新村 -市中心,3室1厅 | 107.29平米 | 东南 | 简装 | 中楼层(共9层)  | 板楼,0人关注 / 4个月以前发布,60,"5,593元/平"
万利大厦电梯房户型方正采光通透交通登便利,万利大厦 -武商,3室2厅 | 102平米 | 东南 | 简装 | 高楼层(共16层)  | 板塔结合,3人关注 / 10个月以前发布,89,"8,726元/平"
黄石广电家属院急售房源低价转让,黄石广电公司家属院 -市中心,3室1厅 | 85.79平米 | 东南 | 简装 | 中楼层(共5层)  | 板楼,5人关注 / 8个月以前发布,48,"5,596元/平"
"武商量贩顺佳小区精装三房两厅一厨两卫,视野开阔",顺佳小区 -武商,3室2厅 | 128.78平米 | 东南 | 精装 | 中楼层(共9层)  | 板楼,7人关注 / 一年前发布,84.6,"6,570元/平"
磁湖边一梯一户精装边户三房采光好。,湖滨大道111号 -市中心,3室1厅 | 147.92平米 | 南 | 精装 | 高楼层(共8层)  | 暂无数据,5人关注 / 一年前发布,89.6,"6,058元/平"
二中生活区  电梯 三房 房东诚售,黄石二中生活区 -市中心,3室1厅 | 110.16平米 | 东 南 | 简装 | 低楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,69,"6,264元/平"
芜湖路13号4-2-1-2 134.03m² 85 万,芜湖路13号 -市中心,3室2厅 | 134.03平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 一年前发布,70,"5,223元/平"
武汉路电梯精装修三房，满五税费低，配套齐全拎包入住,昌宏大厦 -市中心,3室2厅 | 139.34平米 | 东南 | 精装 | 低楼层(共19层)  | 板塔结合,0人关注 / 1个月以前发布,98,"7,034元/平"
此房满五唯一，环境好，温馨的房子,明珠花园 -市中心,3室2厅 | 118.32平米 | 南 | 简装 | 中楼层(共10层)  | 暂无数据,2人关注 / 4个月以前发布,74,"6,255元/平"
康居人家，小三房，通风好，税费低！电梯房！,雄俊·康居人家 -八卦嘴,3室1厅 | 94.6平米 | 南 | 精装 | 低楼层(共13层)  | 板楼,1人关注 / 一年前发布,56,"5,920元/平"
