标题,开发商,房子信息,发布信息,售价/万,单价
了封闭小区龙城帝景 两室业主重新装修了 钥匙在手,龙城帝景 -中海,2室1厅 | 89.71平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 23天以前发布,59.5,"6,633元/平"
此小区出行方便，北邻江边音乐喷泉。,烽火C1区 -烽火丰满一实验,3室2厅 | 120平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,9人关注 / 9个月以前发布,36,"3,000元/平"
松北一区 2室1厅 南 北,松北一区 -松北,2室1厅 | 54平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,37,"6,852元/平"
楼层好  采光好 交通便利 随时看房,吉大水文局楼 -厦门街,2室1厅 | 68平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,37,"5,442元/平"
隆泰碧水山城B区  户型方正  支持商贷 公积金,隆泰碧水山城B区 -铁东,2室2厅 | 91平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,35,"3,847元/平"
和平花园哈达湾商圈交通便利楼层佳采光好,和平花园 -和平街,1室1厅 | 44.67平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,13,"2,911元/平"
东方伟业公园道一号 2室2厅 南 北,东方伟业公园道一号 -雾凇中路,2室2厅 | 80.34平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,57,"7,095元/平"
清新家园  简单装修   楼层偏高  出租合适,清新家园 -世纪广场,1室1厅 | 42.6平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,15,"3,522元/平"
朝中小区三楼。两室两厅，出行方便,朝中小区 -八家子早市,2室2厅 | 91平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,49,"5,385元/平"
小区环境好，户型好，视野宽阔，老少皆宜，封闭小区,盈胜花园 -八一,2室2厅 | 99.2平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,78,"7,863元/平"
松江中路，世贸广场，精装电梯房。,世贸广场 -江城广场,4室2厅 | 242平米 | 南 北 | 精装 | 高楼层(共33层)  | 平房,0人关注 / 1个月以前发布,350,"14,463元/平"
金地第七郡 前排凤凰层 毛坯现房可贷款 南北格局,金地·第七郡 -中东客运站,2室2厅 | 87.68平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,58,"6,615元/平"
广泽紫晶层 南北通透 拎包即住 可贷款 带车位,广泽紫晶城二期 -吉林一中,2室2厅 | 81.7平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,55,"6,732元/平"
苏宁小高电梯装修好可看房可议价,苏宁天润城 -苏宁,2室2厅 | 103平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,0人关注 / 10个月以前发布,55,"5,340元/平"
卢浮公馆 价格便宜 两室电梯2楼 可贷款,卢浮公馆 -雾凇中路,2室2厅 | 90.19平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,52,"5,766元/平"
大唐天下江山一期 毛坯房 头牌正望江 8800一平,大唐天下江山一期 -独立路,3室2厅 | 168.91平米 | 东 西 北 | 毛坯 | 高楼层(共34层)  | 板楼,37人关注 / 一年前发布,128,"7,579元/平"
封闭式小区 紫光绅苑二期   采光好视野佳,瀚星紫光绅苑2期 -松花江中学,2室2厅 | 86.28平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,83,"9,620元/平"
中海紫御东郡 南北 2室2厅 采光好,中海紫御东郡 -世纪广场,2室2厅 | 123平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,4人关注 / 一年前发布,110,"8,944元/平"
万科D区 精装三室 南北通透 采光好 支持贷款,万科城D区 -万科城,3室1厅 | 116平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,86.8,"7,483元/平"
多层四楼，精装修，南北朝向，诚心出售,园艺小区 -丰满二实验,2室2厅 | 62.05平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,36,"5,802元/平"
园林社区 中海国际社区 精装修,中海国际社区 -中海,2室1厅 | 96平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,86.4,"9,000元/平"
三室两卫带衣帽间 精装 好楼层 看房方便,御龙湾 -欧亚综合体,3室2厅 | 176平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 4天以前发布,125,"7,103元/平"
中海原山一期 多层2楼 精装拎包即住 大四居,中海国际社区原山一期 -中海,4室2厅 | 152.32平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 5天以前发布,123.8,"8,128元/平"
南北通透，精致家装，拎包入住。,華天佳苑锦湖东郡B区 -西安路,2室1厅 | 63平米 | 南 | 其他 | 低楼层(共30层)  | 塔楼,4人关注 / 一年前发布,36,"5,715元/平"
路弘地产  万达商圈   交通便利 环境好 适宜居住,路弘阳光铭苑 -万达广场,3室2厅 | 106.21平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 25天以前发布,93.4,"8,794元/平"
大H户型 精装修 南北通透 带个大花园,卢瓦尔小镇 -雾凇中路,2室2厅 | 97.71平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,0人关注 / 18天以前发布,94.8,"9,703元/平"
温馨居所 干净整洁 带品牌家具家电,西山林语 -雾凇中路,3室1厅 | 115.08平米 | 南 北 | 精装 | 高楼层(共23层)  | 塔楼,0人关注 / 16天以前发布,72.8,"6,327元/平"
精致装修 3室拎包入住 格局好 采光好,金域豪庭 -松花江中学,3室1厅 | 115平米 | 南 北 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 3天以前发布,83.5,"7,261元/平"
绿地国际花都 2室2厅 南 北,绿地国际花都 -雾凇中路,2室2厅 | 83.71平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 2天以前发布,62,"7,407元/平"
伴山郡 4室2厅 南 北,伴山郡 -中海,4室2厅 | 131.53平米 | 南 北 | 毛坯 | 中楼层(共13层)  | 板楼,0人关注 / 19天以前发布,85,"6,463元/平"
中海国际社区 3室1厅 南 北,中海国际社区 -中海,3室1厅 | 101平米 | 南 北 | 精装 | 低楼层(共16层)  | 板楼,0人关注 / 16天以前发布,79.5,"7,872元/平"
万科城D区  头排 126平 3室2卫  110万,万科城D区 -万科城,3室2厅 | 126平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 16天以前发布,110,"8,731元/平"
多层四楼，南北朝向，通透格局，采光好，适合各年龄段,桃源山庄 -雾凇中路,2室2厅 | 83平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 8天以前发布,48,"5,784元/平"
出行方便，户型方正，居住方便舒适配套设施齐全。,吉炭小区 -大润发二店,2室2厅 | 92平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 5天以前发布,42.8,"4,653元/平"
万科上东区 3室2厅 南,万科上东区 -万科城,3室2厅 | 113平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,0人关注 / 9天以前发布,82.8,"7,328元/平"
精装两室  复式 有电梯间  园里 封闭园区,筑石云 -星光江城,2室2厅 | 35.7平米 | 东 南 | 精装 | 中楼层(共19层)  | 板楼,2人关注 / 4个月以前发布,35,"9,804元/平"
南北通透，采光好，视野开阔，头牌望江，格局合理,中环·滨江花园 -世纪广场,3室2厅 | 156.02平米 | 南 北 | 简装 | 中楼层(共21层)  | 板楼,9人关注 / 一年前发布,166,"10,640元/平"
中海国际社区 毛坯 有车位出售,中海国际社区 -中海,2室2厅 | 113.66平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 8个月以前发布,90,"7,919元/平"
星光江城 一楼有50平大花园  精装三室,星光江城 -星光江城,3室2厅 | 130.45平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 5个月以前发布,96.8,"7,421元/平"
精装复式  侧望江   与万科隔江相望   年轻人的聚集地,筑石云 -星光江城,2室1厅 | 49.43平米 | 西 北 | 精装 | 低楼层(共20层)  | 板楼,0人关注 / 2个月以前发布,47,"9,509元/平"
年轻人的 首 选卢浮宫馆6越7 4室3厅2卫精装拎包即住,卢浮公馆 -雾凇中路,4室3厅 | 120.56平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,23人关注 / 一年前发布,75,"6,221元/平"
中海原山 电梯南北通透四室精装东山学府,中海国际社区原山二期 -中海,4室2厅 | 130.62平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 6个月以前发布,96,"7,350元/平"
精选好房源   装修好  两室一厅,松江绅苑 -万达广场,2室1厅 | 91.77平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 5个月以前发布,54.8,"5,972元/平"
筑石佳美景岸  精装婚房   家具家电全带  拎包入住,佳美景岸 -星光江城,2室1厅 | 75.29平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 3个月以前发布,55.8,"7,412元/平"
此房为万达江畔华城C区五号楼八楼,万达·江畔华城C区 -万达广场,2室1厅 | 86.95平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,67,"7,706元/平"
急售星光江城  可望江  南北通透  三室精装修,星光江城 -星光江城,3室1厅 | 112.4平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,1人关注 / 6个月以前发布,80,"7,118元/平"
伊利雅居园多层三楼采光好南北通透大H格局,伊利雅居園 -昌邑区政府,2室2厅 | 114.32平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 21天以前发布,65.9,"5,765元/平"
中海铂悦公馆一期 4室2厅 南 北,中海铂悦公馆一期 -中海,4室2厅 | 139平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,140,"10,072元/平"
翰林院 封闭式小区 ， 南北通透格局。,瀚林苑 -烽火丰满一实验,3室2厅 | 127.71平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 30天以前发布,119,"9,318元/平"
此房位晋好 视野宽阔，采光充足，配套设施齐全。,松北二区 -松北,2室2厅 | 117.26平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,114.8,"9,791元/平"
恒大华府次顶大平层，南望湖精装修，拎包入住，带车库,恒大华府 -中东,4室2厅 | 331平米 | 南 北 | 其他 | 高楼层(共13层)  | 板楼,0人关注 / 17天以前发布,280,"8,460元/平"
此房满两年 精装修 南北通透 带花园,万达·江畔华城C区 -万达广场,3室2厅 | 134.88平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 18天以前发布,124.5,"9,231元/平"
此房满两年 精装修 南北通透 楼层好,万达·江畔华城C区 -万达广场,3室2厅 | 102.9平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 18天以前发布,92,"8,941元/平"
锦绣花园(船营区) 3室2厅 南 北,锦绣花园(船营区) -农林街,3室2厅 | 167平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,0人关注 / 29天以前发布,140,"8,384元/平"
中华景苑30层 总高33层  望江  户型好精装修 交通便利,中华景苑 -丰满二实验,3室1厅 | 112.39平米 | 南 北 | 简装 | 高楼层(共33层)  | 板楼,0人关注 / 21天以前发布,89.8,"7,991元/平"
依山郡二期 南北通透 三室两卫 电梯8楼 可贷款,泽信依山郡 -桃源路,3室2厅 | 113平米 | 南 北 | 毛坯 | 高楼层(共8层)  | 暂无数据,0人关注 / 31天以前发布,81.8,"7,239元/平"
筑石佳岸H+1户型 精装婚房3室2卫一天未住,筑石云 -星光江城,3室2厅 | 125平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 19天以前发布,93,"7,440元/平"
采光充足，配套设施齐， 户型方正 精装修 电梯洋房,泊逸臺 -农林街,3室1厅 | 156平米 | 南 北 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 23天以前发布,135,"8,654元/平"
采光充足，配套设施齐，交通便利 出行方便 户型方正,西城首府东区 -西安路,2室1厅 | 102.3平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 28天以前发布,42,"4,106元/平"
公园道一号 精装修 南北通透 可贷款 个人精装修无甲醛,东方伟业公园道一号 -雾凇中路,3室2厅 | 121.8平米 | 南 北 | 精装 | 低楼层(共16层)  | 板塔结合,0人关注 / 25天以前发布,75.8,"6,224元/平"
南北通透，标准大H格局，精装修拎包入住,荣光花园 -二手车市场,2室2厅 | 85平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 23天以前发布,39.5,"4,648元/平"
铂悦公馆K区 3室2厅 南 北,铂悦公馆K区 -中海,3室2厅 | 127.32平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 18天以前发布,115,"9,033元/平"
半山郡 电梯小高 四居室 近绿洲公园  丰满公安分局,伴山郡 -中海,4室1厅 | 128平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 板楼,6人关注 / 一年前发布,83,"6,485元/平"
中海国际社区 2室2厅 南 北,中海国际社区 -中海,2室2厅 | 97.66平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 17天以前发布,79.8,"8,172元/平"
园丁园小区 3室2厅 南 北,园丁园小区 -长春路,3室2厅 | 140平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 5天以前发布,69.8,"4,986元/平"
万科上东区三室精装房源，全天采光，可望江、。,万科上东区 -万科城,3室1厅 | 115平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 4天以前发布,82,"7,131元/平"
小区环境好，邻里关系好，人文素质高,鸿博御园二区 -长春路,3室1厅 | 73.1平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 15天以前发布,48.8,"6,676元/平"
中海国际社区三室毛坯随时可看房,中海国际社区 -中海,2室1厅 | 96.62平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 4个月以前发布,72,"7,452元/平"
乐园二区，南北通透1楼，带个大院子，精装修地热,乐园小区二区 -西安路,2室2厅 | 90.4平米 | 南 北 | 其他 | 低楼层(共7层)  | 塔楼,0人关注 / 13天以前发布,59.8,"6,616元/平"
北面红事会和松花江 此房74平 售价48万 向南,佳美景岸 -星光江城,1室1厅 | 74平米 | 南 | 简装 | 中楼层(共30层)  | 板楼,0人关注 / 3天以前发布,48,"6,487元/平"
精装地热， 多层4楼 南北通透 落地窗,恒东花园 -八一,2室2厅 | 110.82平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,59.8,"5,397元/平"
北面红事会和松花江 此房74平 售价48万 向南,佳美景岸 -星光江城,1室1厅 | 74平米 | 南 | 简装 | 中楼层(共30层)  | 板楼,0人关注 / 3天以前发布,48,"6,487元/平"
上东区洋房全新毛坯现房 可塑性强 改造空间大,万科上东区 -万科城,4室2厅 | 143.5平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 11个月以前发布,152,"10,593元/平"
南北通透 精装修  一天没住过 诚心出售,黄兴小区 -农林街,2室2厅 | 65.5平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 5天以前发布,32,"4,886元/平"
不是顶楼，两室一厅，精装修带家具家电，诚心出售。,联吉小区（维北小区） -昌邑公安分局,2室1厅 | 52平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 3天以前发布,29.8,"5,731元/平"
碧水山城 2室1厅 南 北,碧水山城 -铁东,2室1厅 | 65平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 6天以前发布,43,"6,616元/平"
江南 电梯房 装修新 封闭小区 支持贷款,江南一号 -世纪广场,2室1厅 | 80平米 | 北 | 其他 | 高楼层(共29层)  | 塔楼,0人关注 / 4天以前发布,71.9,"8,988元/平"
紫金江尚2-1-1-1 79.80m² 55.8 万,紫金江尚 -八一,2室1厅 | 79.8平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 3天以前发布,55.8,"6,993元/平"
南北向 大H户型，采光好，交通便利，封闭小区，,朝阳花园 -世纪广场,3室2厅 | 134.75平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,1人关注 / 13天以前发布,70.5,"5,232元/平"
房主诚心出售，相中房子价格可议，支持贷款,瀚星紫光绅苑一期 -松花江中学,3室2厅 | 219平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,7人关注 / 一年前发布,195,"8,905元/平"
标准H+2户型，南北通透，望江望世纪广场，2年外，毛坯,伯爵盛世纪 -世纪广场,4室2厅 | 170平米 | 南 北 | 简装 | 高楼层(共29层)  | 塔楼,0人关注 / 1个月以前发布,79.8,"4,695元/平"
万科头排望江 212平 4室3卫  开间7.2米  随时看房,万科城B区 -万科城,4室2厅 | 212平米 | 南 | 精装 | 中楼层(共22层)  | 板楼,7人关注 / 一年前发布,245,"11,557元/平"
适合做婚房，适合养老，电梯房，采光号，无遮挡,多伦多花园 -中海,4室2厅 | 190.8平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,5人关注 / 一年前发布,185,"9,697元/平"
阳光水岸 193平户型 附带阳台 拎包即住,路弘·阳光水岸 -厦门街,4室3厅 | 193平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,130,"6,736元/平"
星光江城  精装修 电梯洋房  四室两厅三卫 包含车位,星光江城 -星光江城,4室2厅 | 186.63平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,160,"8,574元/平"
帕萨迪纳 多层一楼带花园带半地下 南北通透户型,帕萨迪纳 -中东,4室2厅 | 81平米 | 南 北 | 简装 | 低楼层(共5层)  | 板塔结合,0人关注 / 1个月以前发布,84,"10,371元/平"
万科城D区 3室2厅 南 北,万科城D区 -万科城,3室2厅 | 136.75平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 8天以前发布,165.8,"12,125元/平"
