标题,开发商,房子信息,发布信息,售价/万,单价
神农城，华晨御园毛坯大三房，中间楼层，价格可刀,华晨御园 -奥园城市广场,3室2厅 | 133.88平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 8天以前发布,83.8,"6,260元/平"
龙腾国际 3室2厅 东南,龙腾国际 -湖南工业大学,3室2厅 | 111.36平米 | 东南 | 毛坯 | 高楼层(共21层)  | 板塔结合,0人关注 / 8个月以前发布,78,"7,005元/平"
位置 好，交通发达，环境好适宜人居。,御景龙湾 -汽车城,4室1厅 | 123.74平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,68,"5,496元/平"
经世龙城 开发商的全新装修 户型好 小区环境好,经世龙城 -栗雨（美的城）,3室2厅 | 125.98平米 | 东南 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 2个月以前发布,82,"6,509元/平"
栗雨湖 环境好 精装修 户型好 可以直接入住,佳兆业金域天下三期 -栗雨（美的城）,3室2厅 | 114.83平米 | 东南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,69.8,"6,079元/平"
向阳广场商圈八达旁东风村手村6W就拥有拎包入住两房,大仙塘小区 -荷塘区,2室2厅 | 60.7平米 | 南 | 精装 | 中楼层(共4层)  | 暂无数据,0人关注 / 3个月以前发布,18.8,"3,098元/平"
位于文化园贺嘉土商圈，热闹地带。,曦美苑 -贺嘉土,2室2厅 | 93平米 | 西南 | 简装 | 低楼层(共30层)  | 塔楼,1人关注 / 一年前发布,57,"6,130元/平"
一梯一户纯板楼小高层正规3房，房东诚心卖,玫瑰御园 -湖南工业大学,3室2厅 | 122.76平米 | 西南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 6个月以前发布,73.8,"6,012元/平"
香山美境  精装大平层四房  南北通透落地窗,香山美境 -栗雨（美的城）,4室1厅 | 165.25平米 | 西南 东北 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 6个月以前发布,90,"5,447元/平"
全新精装，带墙暖，业主只住几个月,美的城 -栗雨（美的城）,3室1厅 | 120平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,3人关注 / 5个月以前发布,88,"7,334元/平"
此房满五不唯一，通透性好，采光好，交通便利,曹塘小区 -贺嘉土,3室2厅 | 87.04平米 | 东南 南 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 3个月以前发布,27.8,"3,194元/平"
尚格 满2年 电梯中间楼层 出价就谈 诚心出售,嶺秀天下 -荷塘区,4室2厅 | 142.94平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,68,"4,758元/平"
红旗广场 大润发旁 绿韵荷塘小区 毛坯四房,绿韵荷塘 -大润发,4室2厅 | 135.14平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 暂无数据,1人关注 / 2个月以前发布,68,"5,032元/平"
万达广场 三一歌雅郡  向阳广场 人车分流 拎包入住,歌雅郡 -向阳广场,4室2厅 | 134.2平米 | 东南 | 精装 | 中楼层(共27层)  | 板塔结合,1人关注 / 一年前发布,82,"6,111元/平"
精装大三房 离湘江风光带近  适合居家,湘江四季花园 -庆云山,3室2厅 | 144.51平米 | 南 | 精装 | 中楼层(共13层)  | 塔楼,1人关注 / 9个月以前发布,75.8,"5,246元/平"
此房户型好，位置好。市场价出手，带精装,城市风景（株洲） -庐山路,3室2厅 | 108.6平米 | 东南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,71,"6,538元/平"
恒大华府 神龙城旁 百万居家大盘 拎包入住 仅售79万,株洲恒大华府 -湖南工业大学,3室2厅 | 103.12平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,4人关注 / 3个月以前发布,78.8,"7,642元/平"
华府龙苑 全新毛坯标准大4房 仅售79 万 ！,华府龙苑 -株洲大道（体育馆）,4室2厅 | 145.76平米 | 南 | 毛坯 | 低楼层(共16层)  | 板塔结合,0人关注 / 2个月以前发布,73.5,"5,043元/平"
世贸广场旁 温馨3居室 总价23.8万 随时看房,长征村 -大润发,3室1厅 | 56.34平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,22,"3,905元/平"
楼层好。装修可以。看房方便，还有位置好。,厦华小区 -滨江广场,3室2厅 | 94.75平米 | 东 东南 | 精装 | 高楼层(共7层)  | 板楼,7人关注 / 7个月以前发布,31,"3,272元/平"
大江观邸 江景房 园林小区 毛坯房 满五唯一,大江观邸 -株洲大道（体育馆）,4室2厅 | 134.98平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 2个月以前发布,70,"5,186元/平"
芦淞市场 精装小三房 家具家电齐全 拎包入住,百江花园 -庆云山,3室1厅 | 89.96平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 4个月以前发布,53.8,"5,981元/平"
株洲大道旁 居家大三房  居住方便 配套成熟,莲花小区 -株洲大道（体育馆）,3室2厅 | 130.45平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,60,"4,600元/平"
蓝溪谷精装大三房 家电齐全 满2年 急售,美的蓝溪谷 -栗雨（美的城）,3室2厅 | 121.03平米 | 东南 | 精装 | 低楼层(共34层)  | 板塔结合,1人关注 / 3个月以前发布,79.8,"6,594元/平"
急售 正三房，楼层采光通风很好，户型周正,华晨御园 -奥园城市广场,3室2厅 | 100平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,4人关注 / 一年前发布,75,"7,500元/平"
美的城精装大三房 全瓷上墙，满五唯一 拎包入住,佳兆业金域天下三期 -栗雨（美的城）,3室2厅 | 112.71平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,2人关注 / 6个月以前发布,76,"6,743元/平"
此房是满两年，不唯一。税费低。位置好。,锦绣华都 -株洲大道（体育馆）,3室2厅 | 100.25平米 | 东 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,68.8,"6,863元/平"
武广国际学苑  满二  无尾款  随时过户,武广·国际学苑 -株洲西站,3室1厅 | 88.94平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,3人关注 / 6个月以前发布,85,"9,558元/平"
沃德歌谷实用三房全新毛坯业主诚意出售,沃德歌谷 -高家坳,3室2厅 | 104.73平米 | 南 | 毛坯 | 高楼层(共25层)  | 板楼,0人关注 / 2个月以前发布,63,"6,016元/平"
2路沿线 城轨旁 现代精装大两房,湘华社区 -向阳广场,2室2厅 | 47平米 | 东北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,26,"5,532元/平"
：楼层好 视野好 静坐与阳台 或阅书 或赏石山流水,中房天玺湾 -株洲西站,4室2厅 | 131.91平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 5个月以前发布,76,"5,762元/平"
佳兆业精装三房 湖景+山体公园,佳兆业金域天下三期 -栗雨（美的城）,3室2厅 | 95.41平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,1人关注 / 5个月以前发布,68,"7,128元/平"
毛呸大三房 户型周正  采光好 看房随时都可以,百江花园 -庆云山,3室2厅 | 133.24平米 | 南 | 毛坯 | 高楼层(共30层)  | 塔楼,1人关注 / 6个月以前发布,79.8,"5,990元/平"
芦淞区 金碧花园  全新毛坯大3 房  电梯房,金碧禦瓏 -庆云山,3室2厅 | 131.82平米 | 南 | 毛坯 | 低楼层(共25层)  | 塔楼,0人关注 / 2个月以前发布,82,"6,221元/平"
此房视野好，中间楼层交通方便。。。。。。。,城东小区 -红旗广场,3室1厅 | 77.61平米 | 东南 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,34,"4,381元/平"
"业主诚心出售,满两年，房产无纠纷,产权清晰,随时看房",佳兴万鸿 -红旗广场,3室2厅 | 141平米 | 东 | 精装 | 高楼层(共25层)  | 板楼,0人关注 / 3个月以前发布,79.8,"5,660元/平"
离芦淞市场近的新小区 出行购物很方便,雅立天骄阁 -庆云山,4室2厅 | 134.6平米 | 南 | 毛坯 | 高楼层(共25层)  | 塔楼,2人关注 / 一年前发布,77.8,"5,781元/平"
美的翰城 精装四房 中间楼层 满两年,美的翰城 -株洲西站,4室1厅 | 134.05平米 | 东南 | 精装 | 高楼层(共30层)  | 暂无数据,0人关注 / 4个月以前发布,132,"9,848元/平"
栗雨湖佳兆业二期毛坯大四房电梯20楼南北通透双阳台,佳兆业金域天下西区 -栗雨（美的城）,4室2厅 | 139平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,3人关注 / 3个月以前发布,78,"5,612元/平"
曼哈顿商圈 金路小区 精装大4房 161平 仅售105万,金路小区 -高家坳,4室2厅 | 161.45平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,1人关注 / 一年前发布,89.8,"5,563元/平"
一线江景房，毛坯3房2厅.视野很开阔。,五环 -醴陵市,3室2厅 | 104.94平米 | 东南 | 毛坯 | 中楼层(共31层)  | 板楼,3人关注 / 一年前发布,58.8,"5,604元/平"
汇侨文化园三期 3室2厅 南,汇侨文化园三期 -贺嘉土,3室2厅 | 117.52平米 | 南 | 精装 | 中楼层(共25层)  | 暂无数据,1人关注 / 1个月以前发布,70,"5,957元/平"
珠江花园三房南北通透精装环境优美,珠江花园 -神农城,3室2厅 | 106平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 7个月以前发布,49.6,"4,680元/平"
大湖塘一村 3室1厅 南,大湖塘一村 -神农城,3室1厅 | 79.73平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,28.8,"3,613元/平"
房子满2，精装大3房，1个阳台，采光好，欧式园林,恒大名都 -神农城,3室2厅 | 101平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,70,"6,931元/平"
成熟社区配套，户型周正，毛坯好房,学府港湾 -株洲北,3室2厅 | 138.86平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,60.8,"4,379元/平"
城发翰林府2期 3室1厅 东南,城发翰林府2期 -株洲北,3室1厅 | 106.61平米 | 东南 | 毛坯 | 高楼层(共33层)  | 暂无数据,3人关注 / 一年前发布,57,"5,347元/平"
楼层好 户型好 离服装市场近 出租快,金色地标 -庆云山,3室1厅 | 131.16平米 | 南 北 | 简装 | 中楼层(共27层)  | 塔楼,9人关注 / 一年前发布,54.8,"4,179元/平"
城南优 质栋房八室四厅 带两拱门面  国土出让,碧山花园 -醴陵市,8室4厅 | 599.2平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,198,"3,305元/平"
田心立交桥电梯三房带家具家电拎包入住,亿都国际 -田心,3室2厅 | 126平米 | 南 | 简装 | 高楼层(共26层)  | 暂无数据,0人关注 / 8个月以前发布,56.78,"4,507元/平"
此房我两套90平方打通的大平层，户型周正，视野很好,湘江名都 -神农城,2室2厅 | 93平米 | 南 | 毛坯 | 高楼层(共28层)  | 板塔结合,5人关注 / 一年前发布,64,"6,882元/平"
人民医院旁，正规三室两厅，楼层正好，位置不孬,野鸭冲 -新华东路,3室2厅 | 79.7平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,37.8,"4,743元/平"
建宁3房 交通便利 总价低 诚心出售,棉纺厂宿舍 -市中心医院,3室2厅 | 79平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,32,"4,051元/平"
珠江花园精装三房两厅一厨二卫急售,珠江花园 -神农城,3室2厅 | 127.65平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 11个月以前发布,54.8,"4,293元/平"
天台建宁 好地段 出行方便 物业安全  精装大三房,天台玉苑 -神农城,3室2厅 | 147平米 | 南 北 | 简装 | 低楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,80,"5,443元/平"
户型周正 带入户 单价5300 满两年诚心出售,天元新世界 -湖南工业大学,3室2厅 | 109.45平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 暂无数据,1人关注 / 3个月以前发布,56.8,"5,190元/平"
开元三村2楼纯毛坯三房两厅一厨二卫诚心出售！,开元三村 -神农城,3室2厅 | 139.49平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,68,"4,875元/平"
南北对流的户型 出门就是白鹤菱溪校门口 山水印象,华晨 · 山水印象 -株洲西站,3室2厅 | 131.6平米 | 南 北 | 精装 | 高楼层(共23层)  | 板塔结合,0人关注 / 1个月以前发布,75,"5,700元/平"
莱茵小镇，毛坯三房带景观阳台，诚心出售,中天恒基莱茵小镇 -田心,3室2厅 | 132.93平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,4人关注 / 7个月以前发布,55.98,"4,212元/平"
神农城旁 亿都漫城 大三房 北师大 好楼层 新小区,亿都漫城 -湖南工业大学,3室1厅 | 120.65平米 | 东南 | 毛坯 | 低楼层(共23层)  | 板塔结合,0人关注 / 1个月以前发布,76.8,"6,366元/平"
高家坳奇迹*市 小三房 价格优惠  楼层适中,锦云摩托车城 -龙泉,3室1厅 | 78.22平米 | 东南 | 简装 | 中楼层(共7层)  | 板塔结合,10人关注 / 一年前发布,28.8,"3,682元/平"
湘水湾四期 全新四房 视野开阔无遮挡 江景,晋合湘水湾四期 -神农城,3室2厅 | 157.58平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,4人关注 / 一年前发布,175,"11,106元/平"
仙岭居 首付十万  南北通透 门前可养花种菜,仙岭村安置小区 -马家河,3室2厅 | 123.61平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,9人关注 / 一年前发布,47.8,"3,868元/平"
已装电梯，此房位于泰山路，邻近炎帝广场，交通便利,新天地小区 -神农城,4室2厅 | 165.17平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,75,"4,541元/平"
看湖景，精装大四房带家电140平米，单价8200,株洲恒大华府 -湖南工业大学,4室2厅 | 140平米 | 东南 | 精装 | 高楼层(共32层)  | 板塔结合,6人关注 / 一年前发布,106,"7,572元/平"
比邻湘水湾  居家大三房  电梯小高层  出行便利,辉煌世纪 -神农城,3室2厅 | 129.51平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,69.8,"5,390元/平"
亿都新天地 毛坯三防 诚心售 价格可议,亿都新天地 -田心,3室2厅 | 100.67平米 | 东南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,56.8,"5,643元/平"
该房居住舒适度高楼层好视野开阔采光充足正规3室两厅.,碧海家园 -湖南工业大学,3室1厅 | 139.49平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,68,"4,875元/平"
好 ，位置很不错  业主诚心出售,华晨国际 -神农城,4室2厅 | 143.11平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 3个月以前发布,105,"7,338元/平"
神农城，天台，建宁精装大三房，可以拎包入住,天台玉苑 -神农城,3室1厅 | 135.88平米 | 南 | 精装 | 中楼层(共19层)  | 板楼,0人关注 / 2个月以前发布,79.8,"5,873元/平"
湘水湾四期 全新精装大三房 拎包入住,晋合湘水湾四期 -神农城,3室2厅 | 151.79平米 | 东南 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 7个月以前发布,206,"13,572元/平"
城发翰林府2期 3室2厅 东南,城发翰林府2期 -株洲北,3室2厅 | 105.78平米 | 东南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,57,"5,389元/平"
时代国际 3室2厅 南,时代国际 -株洲北,3室2厅 | 129.04平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,2人关注 / 7个月以前发布,52,"4,030元/平"
朝阳小区 楼梯二楼 精装三房 有钥匙,朝阳小区(天元区) -神农城,3室2厅 | 122.05平米 | 南 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 4个月以前发布,75,"6,146元/平"
人车分流，户型周正，公摊面积小,株洲碧桂园 -株洲北,3室2厅 | 88.39平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,1人关注 / 4个月以前发布,46.6,"5,273元/平"
位置好 亿都漫城 三房 毛坯 满2年 户型好 给你家,亿都漫城 -湖南工业大学,3室2厅 | 120.65平米 | 南 | 毛坯 | 高楼层(共23层)  | 板塔结合,0人关注 / 1个月以前发布,75,"6,217元/平"
户型周正 带入户 单价5300 满两年诚心出售,天元新世界 -湖南工业大学,3室2厅 | 109.45平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 暂无数据,1人关注 / 3个月以前发布,56.8,"5,190元/平"
建宁3房 交通便利 总价低 诚心出售,棉纺厂宿舍 -市中心医院,3室2厅 | 79平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,32,"4,051元/平"
人民医院旁，正规三室两厅，楼层正好，位置不孬,野鸭冲 -新华东路,3室2厅 | 79.7平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,37.8,"4,743元/平"
莲花路，玫瑰御园旁，带露台，可种花烧烤，诚心卖,竹山小区 -湖南工业大学,4室2厅 | 137.63平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,53.8,"3,910元/平"
此房满两年 户型周正 采光好，公交车通全市，,天台小区 -神农城,4室2厅 | 180.41平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,17人关注 / 一年前发布,96,"5,322元/平"
楼层好，视野宽阔，采光充足，配套设施齐全,锦艺锦湘悦 -龙泉,3室2厅 | 107.43平米 | 东南 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,69,"6,423元/平"
仙岭居 首付十万  南北通透 门前可养花种菜,仙岭村安置小区 -马家河,3室2厅 | 123.61平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,9人关注 / 一年前发布,47.8,"3,868元/平"
莱茵小镇，毛坯三房带景观阳台，诚心出售,中天恒基莱茵小镇 -田心,3室2厅 | 132.93平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,4人关注 / 7个月以前发布,55.98,"4,212元/平"
