标题,开发商,房子信息,发布信息,售价/万,单价
西咸新区秦创园低密度墅区叠拼诚意出售,阳光城壹号蔷薇溪谷 -秦都区,3室1厅 | 167.75平米 | 南 | 精装 | 上叠(共4层)  | 板楼 | 叠拼别墅 ,0人关注 / 6天以前发布,350,"20,865元/平"
南北通透2居室，满二临地铁 一梯两户小高层,怡水花园 -秦都区,2室2厅 | 82.27平米 | 南 北 | 简装 | 中楼层(共15层)  | 板楼,0人关注 / 5天以前发布,93,"11,305元/平"
户型方正 采光充足 业主诚心出售,长庆石化小区 -渭城区,3室2厅 | 68平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,43.9,"6,456元/平"
奥林匹克花园精装修  领包入住  可按揭,奥林匹克花园四期伦敦奥运村 -秦都区,2室2厅 | 33.86平米 | 南 北 | 精装 | 中楼层(共20层)  | 板塔结合,11人关注 / 6个月以前发布,53,"15,653元/平"
德祐优选 碧桂园精装三室未入住,碧桂园秦都府 -秦都区,3室2厅 | 115平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,1人关注 / 4个月以前发布,116,"10,087元/平"
奥林匹克花园 精装三室  满五  带车位  可按揭,奥林匹克花园四期伦敦奥运村 -秦都区,3室2厅 | 102.56平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,136,"13,261元/平"
大三居，满二的房子楼层比较好上下楼方便,文彩舫 -秦都区,3室2厅 | 137平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,105,"7,665元/平"
小三室也有两个卫生间  房子是小高层,福林海棠苑 -渭城区,3室2厅 | 112.73平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 3个月以前发布,85,"7,541元/平"
上林府精装高层 近地铁 能源金贸区 诚心出售,阳光城上林府 -秦都区,2室2厅 | 77.18平米 | 东南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,110,"14,253元/平"
精装 两室 世纪大道    房源经典户型,陈杨新界 -秦都区,2室2厅 | 92平米 | 南 | 其他 | 高楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,75,"8,153元/平"
此房满二，无增值税，视线开阔，采光充足，配套齐全,先河国际社区东区 -秦都区,1室1厅 | 52.14平米 | 南 | 其他 | 高楼层(共24层)  | 板塔结合,0人关注 / 1个月以前发布,59.5,"11,412元/平"
业主诚心出售，两室精装修，看房方便,陕广社区 -秦都区,2室1厅 | 101.5平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,7人关注 / 5个月以前发布,74,"7,291元/平"
此房布局合理，采光充足，小区楼龄新 适合居住,成国右岸 -渭城区,2室2厅 | 86.9平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,73.5,"8,458元/平"
奥林匹克花园5期全天采光毛坯两室可贷款,奥林匹克花园五期 -秦都区,2室1厅 | 76.54平米 | 南 | 其他 | 中楼层(共30层)  | 板塔结合,7人关注 / 9个月以前发布,98.8,"12,909元/平"
德佑优选+西华泰+一室精装+拎包住+满二+诚心售,华泰世纪华苑 -秦都区,1室1厅 | 49.2平米 | 东南 | 精装 | 中楼层(共27层)  | 板塔结合,11人关注 / 4个月以前发布,47.3,"9,614元/平"
泰禾嘉苑  精装婚房  大两居  中间楼层   交通便利,泰禾嘉苑 -渭城区,2室1厅 | 98平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,43人关注 / 5个月以前发布,76,"7,756元/平"
南北通透，采光好，不临街   精装修，拎包入住,西城国际 -秦都区,3室2厅 | 133.34平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,3人关注 / 6个月以前发布,116,"8,700元/平"
西咸新区 后期可能会拆 总价低 位置有发展,西北电力建设有限公司小区 -渭城区,2室1厅 | 55.26平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,25,"4,525元/平"
世纪大道地铁口 电梯房  二室 中间楼层,颐和名居 -秦都区,2室2厅 | 91.82平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,87,"9,476元/平"
沣东新城大品牌开发商一级资质物业,白桦林印象 -秦都区,2室2厅 | 94.15平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,137,"14,552元/平"
满五唯一 中间楼层 南北通透格局 视野好  配套齐全,吴办社区 -秦都区,3室1厅 | 84平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,2人关注 / 3个月以前发布,47,"5,596元/平"
精装三室，拎包入住，业主诚心出售，,南洋维也纳花园 -秦都区,3室2厅 | 124.32平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,116,"9,331元/平"
小区环境好  此房楼层好 采光无遮挡 小区人车分流,富怡花园 -秦都区,2室1厅 | 93.74平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,0人关注 / 1个月以前发布,81,"8,641元/平"
市中 心 中间楼层大两室诚心出售 纺机学 校,陕纺小区 -秦都区,2室2厅 | 102.75平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,3人关注 / 6个月以前发布,70,"6,813元/平"
成国右岸  精装3室  全明户型  领包入住,成国右岸 -渭城区,3室2厅 | 100平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 2个月以前发布,87,"8,700元/平"
房子正常出售，业主急售，精装修。,成国右岸 -渭城区,2室1厅 | 78.16平米 | 东南 | 精装 | 高楼层(共28层)  | 板塔结合,7人关注 / 9个月以前发布,68,"8,701元/平"
花园小区  精装小两室  南北通透 楼层低,三普中区 -渭城区,2室1厅 | 48.15平米 | 南 北 | 简装 | 低楼层(共4层)  | 板楼,6人关注 / 7个月以前发布,37,"7,685元/平"
长庆石化 品质小区 刚需两室 总价低 诚心卖,长庆石化小区 -渭城区,2室1厅 | 57.54平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,30,"5,214元/平"
集中供暖，小区安静，采光充足。。环境好,泰禾嘉苑 -渭城区,2室2厅 | 100.6平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,6人关注 / 4个月以前发布,65,"6,462元/平"
位置优越，高速出入口，公园旁，出行方便,丽彩 · 溪悦城 -秦都区,2室2厅 | 88.42平米 | 南 | 简装 | 低楼层(共31层)  | 板塔结合,1人关注 / 4个月以前发布,78,"8,822元/平"
丽彩精装俩室 业主急售 价格可谈,丽彩·珠泉新城 -秦都区,2室2厅 | 94.57平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 1个月以前发布,85,"8,989元/平"
世纪大道， 陈杨新界纯商品房，价格优美。,陈杨新界 -秦都区,2室2厅 | 90.11平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,75,"8,324元/平"
福伦小区 中间楼层  3室业主急售,福伦小区 -兴平市,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 8天以前发布,63,"4,922元/平"
世纪大道东段国润城沣东新城能源金贸区,国润城 -秦都区,2室2厅 | 79.8平米 | 南 | 简装 | 低楼层(共34层)  | 板塔结合,0人关注 / 5天以前发布,109,"13,660元/平"
文林路中间位置，电梯精装两室，中间楼层,文林佳苑 -秦都区,2室1厅 | 79.69平米 | 北 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 7天以前发布,70,"8,785元/平"
业主诚心卖，价格可协商，看房方便,干休所小区 -渭城区,2室1厅 | 57.13平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 7天以前发布,32,"5,602元/平"
185跟前 二十局三处西院 一楼 有双气 实用三室,中铁二十一局新院 -渭城区,3室1厅 | 82平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 8天以前发布,53.9,"6,574元/平"
社区成熟 交通便利 南北通透 采光充足,长庆石化小区 -渭城区,3室2厅 | 68平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 6天以前发布,48,"7,059元/平"
中华世纪城（西咸） 2室2厅 南,中华世纪城（西咸） -秦都区,2室2厅 | 91.6平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,1人关注 / 4天以前发布,81,"8,843元/平"
国润城优质洋房 四室两厅 南北通透 双轨地铁交通,国润城 -秦都区,4室2厅 | 164.37平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 4天以前发布,350,"21,294元/平"
沣东新城 上林路地铁口 低密社区 大平层,奥林匹克花园三期北京奥运村 -秦都区,4室2厅 | 142.87平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 7天以前发布,215,"15,049元/平"
西咸能源金贸区 世纪大道国润城 配套齐全,国润城 -秦都区,3室2厅 | 143.97平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 13天以前发布,307,"21,324元/平"
房子满二，无大税、业主诚心出售,奥林匹克花园三期北京奥运村 -秦都区,4室2厅 | 148.25平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 3天以前发布,185,"12,479元/平"
户型方正，业主急售，产证无抵押，，直接过户,海城大厦 -秦都区,3室2厅 | 136.63平米 | 南 北 | 简装 | 中楼层(共31层)  | 板塔结合,0人关注 / 1天以前发布,99.8,"7,305元/平"
二十局大型小区  双汽入户 看房有钥匙,中铁二十局集团咸阳基地 -渭城区,3室2厅 | 82.93平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 8天以前发布,49.8,"6,006元/平"
文林路西段 凌云小区 毛坯大三室 全明户型 随意装修,凌云小区 -秦都区,3室1厅 | 143平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 8天以前发布,92.8,"6,490元/平"
经典小三室，中楼层，精装修，户型方正,枫景苑 -秦都区,3室1厅 | 108.39平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3天以前发布,99,"9,134元/平"
房子全明户型，通风好，户型方正，采光充足；,荣城西苑 -秦都区,3室1厅 | 120.1平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 4天以前发布,108,"8,993元/平"
阳光城蔷薇溪谷三室洋房毛坯诚心出售,阳光城壹号蔷薇溪谷 -秦都区,3室2厅 | 143.16平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,255,"17,813元/平"
能源金贸区，中间楼层，采光好，小区环境好,阳光城壹号上林悦 -秦都区,4室2厅 | 128.74平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 22天以前发布,210,"16,312元/平"
怡景华庭 佳龙大沃城 双地铁口 精装三室 满二无大税,佳龙大沃城 -秦都区,3室2厅 | 107.16平米 | 南 北 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 30天以前发布,161,"15,025元/平"
西咸能源金贸区 世纪大道 国润城大平层 配套齐全,国润城 -秦都区,4室2厅 | 199.98平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 19天以前发布,398,"19,902元/平"
精装修，拎包入住，满五唯一免个税，带18平米地下室,博尚新都 -渭城区,4室2厅 | 132.58平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 15天以前发布,103,"7,769元/平"
能源金贸区，满二别墅，带车位，业主诚心出售,阳光城西西安小镇 -秦都区,4室2厅 | 273.65平米 | 南 | 其他 | 下叠(共5层)  | 板楼 | 叠拼别墅 ,0人关注 / 4天以前发布,550,"20,099元/平"
人民路陕科大芙蓉佳苑好户型四室精装,芙蓉佳苑 -秦都区,4室2厅 | 157.47平米 | 西 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 4天以前发布,140,"8,891元/平"
沣东自贸区   洋房满五唯一，带大花园。,阳光城西西安小镇 -秦都区,4室2厅 | 226.48平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,0人关注 / 14天以前发布,368,"16,249元/平"
中华小区 3室2厅 南 北,中华小区 -秦都区,3室2厅 | 146.11平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 10天以前发布,160,"10,951元/平"
湿地公园  简装小三室  南北通透  集中供暖,长庆石化小区 -渭城区,3室2厅 | 85.4平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 3天以前发布,51,"5,972元/平"
房子总价低，适合刚需客户，配套齐全，户型方正,咸阳新北小区 -渭城区,2室1厅 | 55.1平米 | 南 | 其他 | 高楼层(共7层)  | 塔楼,0人关注 / 3天以前发布,27,"4,901元/平"
大三室，诚心出售，采光好，配套完善,陕西省农业机械研究所 -秦都区,3室2厅 | 127平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 5天以前发布,58,"4,567元/平"
韩非路地铁口 三室房源 诚心出售,铁投V领郡 -秦都区,3室2厅 | 137.59平米 | 南 北 | 其他 | 低楼层(共27层)  | 板塔结合,0人关注 / 7天以前发布,158,"11,484元/平"
客厅很大的   【恬梦苑】实心售卖,恬梦园 -秦都区,3室2厅 | 130平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,90,"6,924元/平"
小区是成熟小区，物业费低，公摊面积小。,联盟三路付3号省商贸技校 -秦都区,3室2厅 | 93平米 | 南 北 | 简装 | 低楼层(共5层)  | 暂无数据,0人关注 / 2天以前发布,56,"6,022元/平"
阳光城官邸   精装四居室    采光无遮挡,阳光城壹号官邸 -秦都区,4室2厅 | 139.81平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 4天以前发布,216,"15,450元/平"
别墅小区，密度低 上叠，采光好 通风好,御河上院 -渭城区,4室2厅 | 181.8平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 23天以前发布,359,"19,747元/平"
毛坯三室南北通透中间楼层可随时看房诚心出售,沣渭怡心岛 -秦都区,3室1厅 | 131.73平米 | 南 北 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,133,"10,097元/平"
新装修 全屋壁布 可做婚房地铁口,新新佳园 -秦都区,2室2厅 | 90.36平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 16天以前发布,110,"12,174元/平"
房子是大三室，采光没有任何遮挡，满二无大税,愿景园小区 -渭城区,3室1厅 | 159.72平米 | 南 北 | 简装 | 高楼层(共11层)  | 暂无数据,0人关注 / 17天以前发布,140,"8,766元/平"
户型好 ，小区配套齐全 ，交通方便，视野宽阔,奥林匹克花园四期伦敦奥运村 -秦都区,2室2厅 | 40.11平米 | 南 北 | 精装 | 中楼层(共20层)  | 板塔结合,0人关注 / 14天以前发布,75,"18,699元/平"
2梯4户国润成东区 能源金贸区双地铁口！精装经典两室,国润城 -秦都区,2室2厅 | 87.38平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 12天以前发布,143,"16,366元/平"
大两室精装修 生活成本低 满五,瑞都丰苑 -秦都区,2室2厅 | 87.5平米 | 东南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 11天以前发布,57,"6,515元/平"
经典户型， 楼层好，大社区，交通便利，,华泰世纪华苑 -秦都区,3室2厅 | 94.68平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 11天以前发布,75,"7,922元/平"
能源金贸区满二简装三室  户型方正采光无遮挡,奥林匹克花园四期伦敦奥运村 -秦都区,3室2厅 | 102.88平米 | 南 | 简装 | 高楼层(共33层)  | 板塔结合,0人关注 / 8天以前发布,156,"15,164元/平"
精装全配自住，经济型三室，全明户型,阳光城上林府 -秦都区,3室2厅 | 99.33平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 10天以前发布,155,"15,605元/平"
大两居，房子格局好，配套完善，生活成本低。,留园公司惠民小区贰号院 -秦都区,2室2厅 | 91.47平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 9天以前发布,55,"6,013元/平"
愿景园 精装大三居 业主诚心出售,愿景园小区 -渭城区,3室2厅 | 150.69平米 | 南 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 7天以前发布,123,"8,163元/平"
新兴北路 茂源人家 中装两室 全明户型 简单收拾可入住,茂源人家 -渭城区,3室1厅 | 98.02平米 | 南 | 简装 | 高楼层(共4层)  | 板楼,0人关注 / 2天以前发布,67.9,"6,928元/平"
湿地公园  园林社区  精装三室  南北通透  带地下室,长庆石化小区 -渭城区,3室1厅 | 106.42平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 6天以前发布,91,"8,552元/平"
文林佳苑 3室2厅 南,文林佳苑 -秦都区,3室2厅 | 100.81平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 5天以前发布,82,"8,135元/平"
德佑精选，120多平大三室，精装修家居全带,力高御景湾 -秦都区,3室2厅 | 124.71平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 5天以前发布,135,"10,826元/平"
国润城双地铁口两室毛坯低楼层采光好,国润城 -秦都区,2室1厅 | 79.84平米 | 南 | 毛坯 | 低楼层(共34层)  | 板塔结合,0人关注 / 5天以前发布,117,"14,655元/平"
华泰三室精装  业主急售  看房方便,华泰玉景台 -秦都区,3室2厅 | 96.84平米 | 南 北 | 其他 | 中楼层(共34层)  | 板塔结合,0人关注 / 5天以前发布,135,"13,941元/平"
中间楼层     xian阳湖畔旁    南北通透,書香河畔 -秦都区,3室2厅 | 129.92平米 | 南 北 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 6天以前发布,155,"11,931元/平"
西西安小镇  优质别墅 ，诚心出售,阳光城西西安小镇 -秦都区,4室2厅 | 235.99平米 | 南 | 简装 | 下叠(共5层)  | 板楼 | 叠拼别墅 ,1人关注 / 25天以前发布,350,"14,832元/平"
铁站，地铁口，电梯房，全明户型，南北通透,旭光光明城 -秦都区,3室2厅 | 132.9平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 24天以前发布,150,"11,287元/平"
