标题,开发商,房子信息,发布信息,售价/万,单价
恒大名都 精三室 124平 南北向 看房方便,恒大名都 -银海区,3室2厅 | 124.28平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,5人关注 / 7个月以前发布,67,"5,392元/平"
锦绣佳苑，三房两厅一卫，毛坯朝南,锦绣佳苑 -海城区,3室2厅 | 84.03平米 | 南 | 毛坯 | 中楼层(共15层)  | 板塔结合,0人关注 / 一年前发布,52.8,"6,284元/平"
生活便利 位置优越   南北通透   三房二卫,安盛花园 -海城区,3室2厅 | 109.25平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,7人关注 / 10个月以前发布,39.5,"3,616元/平"
万达商圈 吾悦广场 菜市场大型公园 交通方便教育方便,融和海韵佳园 -银海区,3室1厅 | 90.55平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,6人关注 / 11个月以前发布,49.5,"5,467元/平"
一线海景现房，户户看海，高德古镇商圈,北部湾壹号 -海城区,3室1厅 | 134.98平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,2人关注 / 7个月以前发布,114.5,"8,483元/平"
此房满五不唯一，在北海大道主干道上，旁边购物方便,东珠华庭 -海城区,3室1厅 | 70.36平米 | 南 | 简装 | 中楼层(共12层)  | 塔楼,2人关注 / 一年前发布,34.8,"4,946元/平"
市花公园  新大润发旁 锦绣湾花园3房2厅精装修,锦绣湾花园 -银海区,3室2厅 | 89.25平米 | 南 | 简装 | 中楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,45,"5,043元/平"
新大润发旁边品质小区电梯4房有大露台,白金瀚宫二期 -银海区,4室2厅 | 84.46平米 | 北 南 | 精装 | 高楼层(共23层)  | 塔楼,13人关注 / 一年前发布,49,"5,802元/平"
园林小区 银滩旁 大都金沙湾 正规三房 价格实惠,大都·金沙湾 -银海区,3室2厅 | 80.15平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,50,"6,239元/平"
高层住宅，视野开阔，南北通透大三房，精装修,桐洋新城 -海城区,3室2厅 | 132.54平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,2人关注 / 6个月以前发布,69,"5,206元/平"
大润发商圈  宏海花园三房两厅  业主诚心出售,宏海花园 -银海区,3室2厅 | 86.06平米 | 东 | 精装 | 中楼层(共24层)  | 塔楼,7人关注 / 一年前发布,42.8,"4,974元/平"
房子地段很好，楼层也可以，出行方便，小区安静物业好,艺海苑 -银海区,3室1厅 | 88.46平米 | 南 北 | 简装 | 低楼层(共28层)  | 板塔结合,0人关注 / 一年前发布,53,"5,992元/平"
满五唯一，朝南采光充足，复式大五房,越亚天赐碧园 -海城区,5室1厅 | 196.47平米 | 南 | 毛坯 | 高楼层(共7层)  | 板塔结合,15人关注 / 一年前发布,105,"5,345元/平"
海城区 茶亭路 富丽华旁 碧海云天 两房出售,碧海云天 -海城区,3室2厅 | 87.87平米 | 北 | 精装 | 低楼层(共18层)  | 板塔结合,4人关注 / 一年前发布,37.8,"4,302元/平"
一线海景房 小区环境干净整洁  物业管理规范,阳光西海岸 -合浦县,3室1厅 | 88.75平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,1人关注 / 一年前发布,36,"4,057元/平"
恒大名都南北通透，中间楼层视野好，配套全 交通便利,恒大名都 -银海区,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,9人关注 / 10个月以前发布,79,"6,172元/平"
云南路电梯错层结构大三房   带大露台,景海豪庭 -海城区,3室2厅 | 145.75平米 | 南 北 | 简装 | 低楼层(共11层)  | 板塔结合,21人关注 / 一年前发布,69.9,"4,796元/平"
户型好楼层好采光好，，，，，，，，，，，，，，，，,同和泊湾 -海城区,3室2厅 | 89.29平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,40,"4,480元/平"
正虹海景湾 正规一房一厅 朝南户型 方正整洁干净,正虹海景湾 -海城区,1室1厅 | 51.59平米 | 东 | 简装 | 中楼层(共19层)  | 板塔结合,2人关注 / 4个月以前发布,26.8,"5,195元/平"
高档小区 海枫和苑4房 带大花园  户型好 朝南,海枫和苑 -海城区,4室2厅 | 122.94平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,4人关注 / 一年前发布,58,"4,718元/平"
东峰世纪公寓大三房两卫 拎包入住业主急售,东峰世纪公寓 -银海区,3室2厅 | 108.89平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,1人关注 / 5个月以前发布,58,"5,327元/平"
南北通透，大三房，海景房，户型方正,大都·金沙湾 -银海区,3室2厅 | 137.1平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,8人关注 / 一年前发布,73,"5,325元/平"
侨港旁边小3房，86平米，朝南。,岳麓海岸 -银海区,3室2厅 | 87.6平米 | 南 | 简装 | 低楼层(共17层)  | 板塔结合,16人关注 / 一年前发布,37,"4,224元/平"
新世纪大道 新大润发商圈 九州家园 电梯三房两,九州家园北区 -银海区,3室1厅 | 93.72平米 | 南 北 | 简装 | 高楼层(共22层)  | 板塔结合,13人关注 / 一年前发布,42.4,"4,525元/平"
万达商圈 同和水岸园林 南北通透大3房,同和水岸香堤 -银海区,3室2厅 | 90.41平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,20人关注 / 一年前发布,59.5,"6,582元/平"
满五唯一，证在手，看园景，精装修,嘉盛名都 -银海区,3室2厅 | 88.1平米 | 北 | 简装 | 低楼层(共33层)  | 板塔结合,25人关注 / 一年前发布,53,"6,016元/平"
宁春城商圈高铁站旁 业主诚意出售 国际新城毛坯三房,国际新城 -海城区,3室2厅 | 129.78平米 | 南 | 毛坯 | 高楼层(共21层)  | 板塔结合,2人关注 / 6个月以前发布,73,"5,625元/平"
南北通透双阳台 采光充足视野好，人车分流小区新,紫薇.英伦小镇 -银海区,3室1厅 | 94.67平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,2人关注 / 一年前发布,69,"7,289元/平"
迪亚小城二期 3室1厅 南,迪亚小城二期 -海城区,3室1厅 | 91.79平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,45,"4,903元/平"
新怡花園，户型方正，交通方便，,新怡花園 -海城区,4室2厅 | 131.28平米 | 北 南 | 精装 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,45.8,"3,489元/平"
财富新都大两房，通风采光好，出行方便,财富新都 -海城区,2室2厅 | 107.75平米 | 南 北 | 简装 | 低楼层(共12层)  | 塔楼,2人关注 / 6个月以前发布,31,"2,878元/平"
广东路万达，大3房2卫，南向采光好,越亚天赐良园 -银海区,3室2厅 | 85.62平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,28人关注 / 一年前发布,71,"8,293元/平"
沃尔玛与贵州路市场 恒大新城 3房2卫 大飘窗 双阳台,恒大新城 -海城区,3室2厅 | 138平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,12人关注 / 一年前发布,65.8,"4,769元/平"
东峰锦绣城3-2-1-2 113.03m²,东峰锦绣城 -海城区,3室2厅 | 113.03平米 | 北 | 精装 | 中楼层(共26层)  | 板塔结合,15人关注 / 一年前发布,49,"4,336元/平"
房子位于海城区，户型方正，交能便利,创基花园 -海城区,3室2厅 | 136.64平米 | 东南 | 简装 | 中楼层(共8层)  | 板塔结合,4人关注 / 一年前发布,46,"3,367元/平"
北云市场  碧海新城  精装3房,碧海新城 -海城区,3室2厅 | 76.52平米 | 西南 | 精装 | 高楼层(共18层)  | 塔楼,7人关注 / 11个月以前发布,39.9,"5,215元/平"
精装修，户型方正，品质楼盘，拎包入住,大都·金沙湾 -银海区,2室1厅 | 91.43平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,1人关注 / 2个月以前发布,48,"5,250元/平"
沃尔玛与贵州路市场 恒大新城 3房2卫 大飘窗 双阳台,恒大新城 -海城区,3室2厅 | 138平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,12人关注 / 一年前发布,65.8,"4,769元/平"
穗丰金湾 三房两卫 配套齐全 出行方便,穗丰金湾 -银海区,3室2厅 | 120.71平米 | 东 北 | 简装 | 高楼层(共30层)  | 板塔结合,0人关注 / 7个月以前发布,58,"4,805元/平"
华一·红树林 2室1厅 南,华一·红树林 -银海区,2室1厅 | 86.38平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,46,"5,326元/平"
东峰锦绣城3-2-1-2 113.03m²,东峰锦绣城 -海城区,3室2厅 | 113.03平米 | 北 | 精装 | 中楼层(共26层)  | 板塔结合,15人关注 / 一年前发布,49,"4,336元/平"
房子位于海城区，户型方正，交能便利,创基花园 -海城区,3室2厅 | 136.64平米 | 东南 | 简装 | 中楼层(共8层)  | 板塔结合,4人关注 / 一年前发布,46,"3,367元/平"
广东路万达，大3房2卫，南向采光好,越亚天赐良园 -银海区,3室2厅 | 85.62平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,28人关注 / 一年前发布,71,"8,293元/平"
品质小区，眺望大海，南北通透，精装修，出行方便,21度公馆 -银海区,3室2厅 | 89.85平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,3人关注 / 一年前发布,69,"7,680元/平"
小区环境好，住着舒服，适合养老度假,21度公馆 -银海区,3室2厅 | 89.05平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板塔结合,3人关注 / 6个月以前发布,62,"6,963元/平"
大两房，采光好，户型方正，住着舒服,21度公馆 -银海区,2室2厅 | 86.85平米 | 西南 | 精装 | 低楼层(共24层)  | 板塔结合,1人关注 / 4个月以前发布,57,"6,564元/平"
松涛花园123.79大三房，满五唯一,松涛花园 -海城区,3室2厅 | 123.79平米 | 南 | 简装 | 中楼层(共7层)  | 塔楼,6人关注 / 一年前发布,41.6,"3,361元/平"
市花公园 新大润发 贵兴市场 三房 海景房高铁站,锦绣湾花园 -银海区,3室2厅 | 86.76平米 | 南 | 简装 | 高楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,52,"5,994元/平"
小区环境好，适合养老度假，居住环境好,圣景龙湾 -银海区,3室2厅 | 84.39平米 | 南 北 | 简装 | 中楼层(共29层)  | 板塔结合,3人关注 / 8个月以前发布,65,"7,703元/平"
北海恒大海上帝景 2室1厅 南,北海恒大海上帝景 -海城区,2室1厅 | 77.99平米 | 南 | 其他 | 低楼层(共15层)  | 板塔结合,0人关注 / 1个月以前发布,65,"8,335元/平"
高德市场 电梯小高层 产权满5唯一 低首付,鑫泰花园 -海城区,2室2厅 | 83.83平米 | 北 | 其他 | 高楼层(共12层)  | 平房,0人关注 / 25天以前发布,31,"3,698元/平"
商圈成熟！动车站！格林香海精装5房  宁春城,格林香海 -海城区,5室2厅 | 183.19平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 24天以前发布,80,"4,368元/平"
出售 万达商圈 园辉新都 精装修大三房 高楼层,园辉新都 -银海区,4室2厅 | 125.36平米 | 南 西 北 | 其他 | 中楼层(共34层)  | 板塔结合,0人关注 / 27天以前发布,62,"4,946元/平"
龙云大厦 5室4厅 南 北,龙云大厦 -海城区,5室4厅 | 240平米 | 南 北 | 其他 | 高楼层(共23层)  | 板塔结合,0人关注 / 27天以前发布,84.8,"3,534元/平"
侨港商圈 大两房吉售，生费配套齐全，出行方便,蓝色之都 -银海区,2室2厅 | 88.4平米 | 南 北 | 简装 | 低楼层(共26层)  | 板楼,0人关注 / 31天以前发布,39.5,"4,469元/平"
贵兴市场旁 正规1房 新大润发商圈 生活便利,银州南寨小区 -银海区,1室1厅 | 54.12平米 | 南 北 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 17天以前发布,21,"3,881元/平"
银湾花园天宇公寓大两房，楼层好 采光好，生活便利,天宇公寓 -海城区,2室1厅 | 88.88平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 22天以前发布,37,"4,163元/平"
银滩西区海景房。。。。。。。。。。。,北海恒大海上帝景 -海城区,3室1厅 | 139平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 15天以前发布,160,"11,511元/平"
银滩森海豪庭，毛坯任意装，大3房诚心出售！,森海豪庭观海阁 -银海区,3室2厅 | 137.44平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,0人关注 / 5天以前发布,68,"4,948元/平"
朝南户型，客厅宽敞明亮，采光好，配套设施齐全,园辉新都 -银海区,3室2厅 | 93平米 | 南 北 | 简装 | 高楼层(共34层)  | 板塔结合,0人关注 / 7天以前发布,48,"5,162元/平"
海湾公馆 装修海景房 好位置 好物业,皇家海湾公馆 -银海区,2室2厅 | 78平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 15天以前发布,98,"12,565元/平"
茶亭路 富丽华海御 三房二厅二卫  高层 精装海景房,富麗華海御 -海城区,3室2厅 | 144.3平米 | 南 北 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 13天以前发布,156,"10,811元/平"
哈尔滨广场 2室1厅 南,哈尔滨广场 -银海区,2室1厅 | 90.16平米 | 南 | 简装 | 低楼层(共25层)  | 板塔结合,0人关注 / 3天以前发布,41,"4,548元/平"
東郡 3室1厅 南 北,東郡 -海城区,3室1厅 | 87.76平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 7天以前发布,50,"5,698元/平"
证在手，精装朝南3房2卫全明户型，拎包入住！,中南明珠 -海城区,3室1厅 | 85.74平米 | 南 西 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 7天以前发布,53,"6,182元/平"
迪亚小城二期 4室2厅 南 北,迪亚小城二期 -海城区,4室2厅 | 168平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 5天以前发布,121,"7,203元/平"
镒建世纪城 3室2厅 南,镒建世纪城 -银海区,3室2厅 | 121平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 11天以前发布,90,"7,439元/平"
迪亚小城二期 4室2厅 南 北,迪亚小城二期 -海城区,4室2厅 | 168平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 5天以前发布,121,"7,203元/平"
哈尔滨广场 2室1厅 南,哈尔滨广场 -银海区,2室1厅 | 90.16平米 | 南 | 简装 | 低楼层(共25层)  | 板塔结合,0人关注 / 3天以前发布,41,"4,548元/平"
茶亭路 富丽华海御 三房二厅二卫  高层 精装海景房,富麗華海御 -海城区,3室2厅 | 144.3平米 | 南 北 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 13天以前发布,156,"10,811元/平"
博雅花园 3室2厅 南 北,博雅花园 -海城区,3室2厅 | 124.5平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 14天以前发布,46.8,"3,760元/平"
银滩边海泰别墅区 度假旅居大两房80平,海泰别墅区 -银海区,2室2厅 | 80平米 | 南 西 | 简装 | 中楼层(共8层)  | 板塔结合,1人关注 / 12天以前发布,35,"4,375元/平"
南北通透，干净整洁的两房，，，，，,同和水岸香堤 -银海区,2室2厅 | 84平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 13天以前发布,53,"6,310元/平"
同和水岸香堤 2室2厅 南,同和水岸香堤 -银海区,2室2厅 | 82.36平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,0人关注 / 10天以前发布,45,"5,464元/平"
彰泰观江海一线海景房无遮挡看江看海,彰泰观江海 -银海区,2室2厅 | 63.09平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,0人关注 / 12天以前发布,50,"7,926元/平"
海城东区 电梯高层大两房 南北通透双阳台,丽馨苑东区 -海城区,2室2厅 | 90.3平米 | 南 北 | 简装 | 高楼层(共12层)  | 板楼,0人关注 / 5天以前发布,38,"4,209元/平"
在海一方 3室2厅 北,在海一方 -银海区,3室2厅 | 99平米 | 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 7天以前发布,57,"5,758元/平"
海湾公馆 看海看江 新房未住过 业主吉售,皇家海湾公馆 -银海区,2室1厅 | 78平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 15天以前发布,89,"11,411元/平"
金鸡大厦 2室2厅 北,金鸡大厦 -银海区,2室2厅 | 66.83平米 | 北 | 精装 | 中楼层(共16层)  | 塔楼,0人关注 / 8天以前发布,32,"4,789元/平"
茶亭路 富丽华海御 品质小区  二房二厅 高层 精装朝南,富麗華海御 -海城区,2室2厅 | 88平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 7天以前发布,69,"7,841元/平"
此房满五唯一，小区位置优越，户型方正，采光充足,中海花園 -海城区,4室2厅 | 127.27平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 1天以前发布,46,"3,615元/平"
可观江.可观海.视野宽阔.环境优美.,恒大名都 -银海区,3室1厅 | 109.12平米 | 北 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 1天以前发布,73.8,"6,764元/平"
海岸华府一区，前后花园大平层！,恒宇海岸华府一区 -银海区,4室2厅 | 143平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 15天以前发布,160,"11,189元/平"
富貴公寓 3室1厅 南 北,富貴公寓 -海城区,3室1厅 | 124.51平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,60,"4,819元/平"
恒大御景半岛 4室2厅 南 北,恒大御景半岛 -银海区,4室2厅 | 179.04平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 12天以前发布,135,"7,541元/平"
可观江.可观海.视野宽阔.环境优美.,恒大名都 -银海区,3室2厅 | 119.44平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 5个月以前发布,79.8,"6,682元/平"
香海花园 3室2厅 南 北,香海花园 -海城区,3室2厅 | 116平米 | 南 北 | 简装 | 低楼层(共20层)  | 塔楼,0人关注 / 5个月以前发布,62,"5,345元/平"
万达商圈   配套齐全    菜市场   交通方便  生活方便,金域熙城 -银海区,7室2厅 | 216.24平米 | 南 | 精装 | 高楼层(共24层)  | 塔楼,1人关注 / 6个月以前发布,120,"5,550元/平"
