标题,开发商,房子信息,发布信息,售价/万,单价
格局宽阔，采光充足好，楼层好，视野好 满五唯颐,颐景雅苑 -延安东路,3室2厅 | 128.45平米 | 南 | 精装 | 高楼层(共5层)  | 板塔结合,0人关注 / 18天以前发布,138,"10,744元/平"
星雨华府毛坯两房，总价低，适合刚需,星雨华府(淮安区) -生态新城,2室2厅 | 92.62平米 | 南 | 毛坯 | 低楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,115,"12,417元/平"
建华观园 3室2厅 南,建华观园 -生态新城,3室2厅 | 105平米 | 南 | 其他 | 中楼层(共30层)  | 暂无数据,0人关注 / 13天以前发布,136,"12,953元/平"
玖珑湾精装三房老证税少诚意出售随时看房,玖珑湾 -生态新城,3室2厅 | 86.89平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,90,"10,358元/平"
此房户型方正，楼层好，房东诚心出售，随时看房。,河畔花城 -翔宇大道,3室2厅 | 128平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 1个月以前发布,120,"9,375元/平"
雅居乐四房两卫户型方正，楼层好，全明采光,雅居乐▪富春山居 -迎宾大道,4室2厅 | 138.44平米 | 南 | 简装 | 高楼层(共28层)  | 塔楼,0人关注 / 2个月以前发布,118.8,"8,582元/平"
开发区品质楼盘 聚峰晴园   诚心出售价格好谈,聚峰晴园 -迎宾大道,3室2厅 | 116.24平米 | 南 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,102,"8,775元/平"
玖珑湾城果 视野开阔 房主急售,玖珑湾城果 -生态新城,3室2厅 | 110平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,115,"10,455元/平"
房东诚心售房，硬装到位添置家具家电，即可入住,玖珑湾城果 -生态新城,3室2厅 | 110平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,118,"10,728元/平"
大三房格局，交通便利，设施完善,上海新城 -翔宇大道,3室2厅 | 128.77平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 8天以前发布,108,"8,388元/平"
万达新亚毛坯两房，业主诚心出售,新天地荣府 -万达,2室2厅 | 92.7平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 27天以前发布,99,"10,680元/平"
高铁小镇 三室两厅两卫 双阳台 全天采光,碧桂园宋都高铁小镇 -徐杨,3室2厅 | 100.92平米 | 南 | 毛坯 | 中楼层(共17层)  | 塔楼,0人关注 / 6天以前发布,73,"7,234元/平"
房子是毛坯的，户型方正，采光很好，双阳台。,融侨悦城 -水渡口大道,3室2厅 | 119.95平米 | 南 | 毛坯 | 中楼层(共14层)  | 板楼,0人关注 / 3个月以前发布,120,"10,005元/平"
中南珑悦电梯三房两卫 采光好  毛坯 满二 看房便利,中南珑悦 -新城市广场,3室2厅 | 106.48平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板塔结合,0人关注 / 2个月以前发布,125,"11,740元/平"
淮海花园B1区 3室2厅 南,淮海花园B1区 -大运河文化广场,3室2厅 | 109平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,102,"9,358元/平"
文锦城锦苑 三房 毛坯 好楼层 采光好 满二 随时看房,文锦城锦苑 -新城市广场,3室2厅 | 118.88平米 | 南 | 毛坯 | 中楼层(共25层)  | 板塔结合,0人关注 / 3个月以前发布,132.8,"11,171元/平"
玖珑湾城果 开发商硬装  好楼层 随时看房,玖珑湾城果 -生态新城,3室2厅 | 129.78平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,135,"10,403元/平"
欣明开发全新小区，人车分流配套齐全，好楼层,文锦城翰林府 -新城市广场,3室2厅 | 107.77平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 塔楼,1人关注 / 3个月以前发布,120,"11,135元/平"
雅居乐，毛坯房，三房两卫，诚意出售。,雅居乐▪富春山居 -迎宾大道,3室2厅 | 120.95平米 | 南 | 其他 | 中楼层(共34层)  | 塔楼,0人关注 / 3个月以前发布,105,"8,682元/平"
钵池小区 3室2厅 毛坯房 看房方便,钵池小区 -迎宾大道,3室2厅 | 105.33平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,58.8,"5,583元/平"
生态新城 绿地三房 边户 随时看房,绿地世纪城五期 -生态新城,3室2厅 | 118.58平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,186,"15,686元/平"
建华观园 边户三房 采光充足 带新能源车位随时看,建华观园 -生态新城,3室2厅 | 125.67平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,150,"11,937元/平"
三房两厅两卫，毛坯可任意装修。。。。。。,金奥国际中心 -生态新城,3室2厅 | 121.55平米 | 南 北 | 其他 | 高楼层(共32层)  | 板楼,1人关注 / 5个月以前发布,175,"14,398元/平"
小区环境好.............,梧桐公馆二期 -生态新城,2室1厅 | 74平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 23天以前发布,150,"20,271元/平"
新城市广场毛坯三房老证税少好楼层诚意出售,新城市广场(淮安区) -新城市广场,3室2厅 | 112平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,0人关注 / 15天以前发布,130,"11,608元/平"
金润城商品房 好楼层 采光视野没遮挡,金润城 -淮阴区大润发,3室1厅 | 121.55平米 | 南 | 简装 | 高楼层(共20层)  | 板楼,0人关注 / 2个月以前发布,119,"9,791元/平"
奥林晴园多层一楼边户采光无遮挡业主诚心售房看房方便,奥林晴园 -外国语,3室1厅 | 92.57平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,85,"9,183元/平"
房子户型方正，诚心出售，全天采光，看房方便,茂华国际汇南区 -水渡口大道,5室2厅 | 173平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,250,"14,451元/平"
碧桂园宋都高铁小镇 3室2厅 南,碧桂园宋都高铁小镇 -徐杨,3室2厅 | 100平米 | 南 | 毛坯 | 中楼层(共17层)  | 塔楼,0人关注 / 8天以前发布,78,"7,800元/平"
碧桂园宋都高铁小镇 3室2厅 南,碧桂园宋都高铁小镇 -徐杨,3室2厅 | 100平米 | 南 | 毛坯 | 低楼层(共17层)  | 塔楼,0人关注 / 8天以前发布,73.8,"7,380元/平"
高铁小镇 三室两厅两卫 双阳台 全天采光,碧桂园宋都高铁小镇 -徐杨,3室2厅 | 101.5平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 3天以前发布,73,"7,193元/平"
小区环境好.............,中天翡丽湾 -生态新城,3室2厅 | 95.11平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 19天以前发布,102,"10,725元/平"
文锦城翰林府 3室2厅 南,文锦城翰林府 -新城市广场,3室2厅 | 99.5平米 | 南 | 毛坯 | 低楼层(共31层)  | 暂无数据,0人关注 / 1个月以前发布,99,"9,950元/平"
万达商圈 新城市广场 好楼层3房 双阳台,新城市广场(淮安区) -新城市广场,3室2厅 | 116.54平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,7人关注 / 4个月以前发布,119,"10,212元/平"
星雨华府 毛坯三房 好楼层 近森林公园,星雨华府(淮安区) -生态新城,3室2厅 | 105.14平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,138,"13,126元/平"
梧桐二期两房精装修，含车位，好楼层全天采光看房方便,梧桐公馆二期 -生态新城,2室1厅 | 87.12平米 | 南 | 其他 | 中楼层(共33层)  | 暂无数据,1人关注 / 1个月以前发布,154,"17,677元/平"
中南世纪锦城 3室2厅 南 北,中南世纪锦城 -生态新城,3室2厅 | 100平米 | 南 北 | 简装 | 高楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,116,"11,600元/平"
小区 绿 化 好，环 境 优 美，适 宜 居 住,融侨观邸 -水渡口大道,4室2厅 | 141.71平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,159,"11,221元/平"
新上房源 中央华府 家具家电齐全 满二,中央华府 -恒大名都,3室2厅 | 109.39平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 11天以前发布,100,"9,142元/平"
户型三房朝阳，双阳台，低楼层采光充足。,中央华府 -恒大名都,3室2厅 | 100.19平米 | 南 | 毛坯 | 低楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,85,"8,484元/平"
急售！天津路实小旁 精装 东边户 中间楼层 满五唯一！,郁金蓝湾 -大学城商圈,3室2厅 | 135.76平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,118,"8,692元/平"
水渡口板块！香格里拉！拎包即住！,香格里拉C区 -水渡口大道,2室2厅 | 90平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 25天以前发布,98,"10,889元/平"
佳和名苑 毛坯电梯两房 采光视野佳 交通便利,佳和名苑 -金地商业广场,2室1厅 | 83平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,1人关注 / 17天以前发布,65.8,"7,928元/平"
和达雅苑多层二楼，价值贼高，随时看房,和达雅苑A区 -水渡口大道,3室2厅 | 107.78平米 | 南 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 4天以前发布,97.8,"9,075元/平"
御景星城 山阳大道 新城市广场万达商圈 文锦城翰林府,御景星城 -金地商业广场,3室2厅 | 115.56平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,110,"9,519元/平"
香缇豪庭 3室2厅2卫 精装修 拎包入住,香缇豪庭 -迎宾大道,3室2厅 | 112.42平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,100,"8,896元/平"
温州花苑(清江浦区) 3室2厅 南,温州花苑(清江浦区) -万达,3室2厅 | 101平米 | 南 | 其他 | 中楼层(共5层)  | 板塔结合,0人关注 / 1个月以前发布,113,"11,189元/平"
鼎泰沁园 边户 新小区环境好 全天采光 看房方便,鼎泰·沁园 -大学城商圈,3室2厅 | 123.19平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 19天以前发布,122,"9,904元/平"
钱隆御景 3室2厅 南 北,钱隆御景 -恒大名都,3室2厅 | 116.76平米 | 南 北 | 其他 | 中楼层(共32层)  | 塔楼,0人关注 / 24天以前发布,99.5,"8,522元/平"
翔宇大道旁上海新城精装三房好楼层诚心出售,上海新城 -翔宇大道,3室2厅 | 136.05平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 15天以前发布,118,"8,674元/平"
急卖 南方花园（李曹）毛坯 满两年 好楼层 含储藏室,南方花园六期 -徐杨,2室2厅 | 78平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,38,"4,872元/平"
生态新城 梧桐公馆诚心出售毛坯两房 含储藏室 满二,梧桐公馆二期 -生态新城,2室2厅 | 86平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 4个月以前发布,158,"18,373元/平"
中天翡丽湾  靠东门  精装修没住过  采光没话说,中天翡丽湾 -生态新城,3室2厅 | 112平米 | 南 | 精装 | 高楼层(共24层)  | 暂无数据,0人关注 / 1个月以前发布,135,"12,054元/平"
房东诚意出售，装修自住，看房方便,香缇豪庭 -迎宾大道,2室1厅 | 85平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,2人关注 / 9个月以前发布,78,"9,177元/平"
金奥毛坯房，装修灵活，楼栋位置好,金奥国际中心 -生态新城,3室2厅 | 99.73平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,165,"16,545元/平"
玖珑湾诚品 精装修 好楼层 采光无遮挡,玖珑湾诚品 -生态新城,3室2厅 | 109.5平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 1个月以前发布,118,"10,777元/平"
次新小区 红小 红中旁 好楼层 采光好 纯毛坯,御景星城 -金地商业广场,3室2厅 | 110平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 5个月以前发布,102,"9,273元/平"
中天翡丽湾 3室2厅 南 北,中天翡丽湾 -生态新城,3室2厅 | 87.21平米 | 南 北 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,99,"11,352元/平"
板闸家苑精装两房 总价低 含自行车库 有证可贷款,板闸家苑 -生态新城,2室2厅 | 75平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,63,"8,400元/平"
房子满二年，毛坯洋房！户型动静分离，房子前面景观区,融侨悦城 -水渡口大道,3室2厅 | 126平米 | 南 | 毛坯 | 低楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,142,"11,270元/平"
装修好，楼层好，格局好，采光好，拎包入住,亿力未来城二期 -翔宇大道,3室2厅 | 120.84平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 17天以前发布,166.5,"13,779元/平"
华德力运河城 5室2厅 南,华德力运河城 -恒大名都,5室2厅 | 263.18平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,4人关注 / 3个月以前发布,183,"6,954元/平"
康城明珠，位置安静，交通便利，随时看房,康城明珠北区 -东大院,4室2厅 | 149.42平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,158,"10,575元/平"
本房户型方正，设计合理，阳光明媚,东冠逸轩 -翔宇大道,3室2厅 | 115.54平米 | 南 | 毛坯 | 低楼层(共24层)  | 塔楼,0人关注 / 1个月以前发布,130,"11,252元/平"
楼栋位置好，视野开阔，纯毛坯大三房，业主诚意出售！,中交香槟国际 -中南商圈,3室2厅 | 125.64平米 | 南 北 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 4个月以前发布,132,"10,507元/平"
闹中取静的地段 方正的布局设计 优雅清新的生活环境,郁金蓝湾 -大学城商圈,3室3厅 | 324.57平米 | 南 | 毛坯 | 4层  | 板楼 | 双拼别墅 ,2人关注 / 3个月以前发布,299.8,"9,237元/平"
新城悦隽130平三房两卫，开发商精装，满二,新城悦隽 -火车北站,3室2厅 | 130平米 | 南 | 其他 | 高楼层(共34层)  | 板塔结合,0人关注 / 13天以前发布,109,"8,385元/平"
碧桂园宋都高铁小镇 3室2厅 南 北,碧桂园宋都高铁小镇 -徐杨,3室2厅 | 100.02平米 | 南 北 | 其他 | 中楼层(共17层)  | 塔楼,0人关注 / 15天以前发布,75,"7,499元/平"
拎包入住，环境优美，交通便捷，,南浦佳园 -恒大名都,3室2厅 | 110.2平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,72,"6,534元/平"
九龙源著花园 4室2厅 南,九龙源著花园 -大学城商圈,4室2厅 | 160.45平米 | 南 | 精装 | 中楼层(共31层)  | 暂无数据,0人关注 / 9天以前发布,150,"9,349元/平"
好楼层，视野开阔，阳光充足，业主诚心出售！,福晟钱隆城 -中南商圈,3室1厅 | 102平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 11天以前发布,98,"9,608元/平"
房子是稀有毛坯现房，可以按照自己喜好来装修,北京如意国际花园 -北京西路,2室2厅 | 86.56平米 | 南 | 毛坯 | 高楼层(共16层)  | 板塔结合,1人关注 / 2个月以前发布,77,"8,896元/平"
户型方正 此房满5年，业主诚心出售，家具家电都齐全的,天和豪庭 -淮阴区大润发,3室2厅 | 101平米 | 南 | 其他 | 低楼层(共32层)  | 板楼,0人关注 / 5天以前发布,85,"8,416元/平"
房子满五唯一，省交个税，低楼层适合养老。,富豪花园北区 -北京西路,3室2厅 | 105平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 5天以前发布,96,"9,143元/平"
绿地世纪城四期 2室2厅 南,绿地世纪城四期 -生态新城,2室2厅 | 86.6平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 1个月以前发布,160,"18,476元/平"
星雨华府三房边户，房东诚心在出售的,星雨华府(淮安区) -生态新城,3室2厅 | 117.74平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,3人关注 / 7个月以前发布,143,"12,146元/平"
采光好，套型好，没有浪费面积，公摊面积少。,御花园B区 -长征小学,2室1厅 | 61平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,55.8,"9,148元/平"
黄元小区，新改建，户型好，，采光好,黄元小区 -白鹭湖,2室2厅 | 80.58平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,52,"6,454元/平"
中信山水名邸，精装3房，拎包即住,中信山水名邸 -翔宇大道,3室2厅 | 121.96平米 | 南 | 精装 | 高楼层(共22层)  | 板塔结合,0人关注 / 9天以前发布,118,"9,676元/平"
拱辰佳苑西区 3室2厅 南 北,拱辰佳苑西区 -中南商圈,3室2厅 | 97.97平米 | 南 北 | 精装 | 低楼层(共11层)  | 塔楼,1人关注 / 13天以前发布,74,"7,554元/平"
翔宇大道旁+婚房装修随时看房+价格美丽采光无遮挡,东湖怡景苑-怡园 -迎宾大道,4室1厅 | 164.02平米 | 南 | 精装 | 高楼层(共9层)  | 板塔结合,0人关注 / 16天以前发布,120,"7,317元/平"
维科·格蘭花園 3室2厅 南,维科·格蘭花園 -深圳路,3室2厅 | 135平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 11天以前发布,109,"8,075元/平"
恒大三期精装四房/家具家电齐全拎包即住/看好价可谈,恒大名都三期 -恒大名都,4室2厅 | 155.31平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 3个月以前发布,137,"8,822元/平"
郁金蓝湾旁书院名居精装小三房拎包入住西边户,书院名居 -大学城商圈,3室2厅 | 106.41平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,1人关注 / 1个月以前发布,102,"9,586元/平"
