标题,开发商,房子信息,发布信息,售价/万,单价
公馆贰号 2室1厅 西北,公馆贰号 -南岸西区,2室1厅 | 41.43平米 | 西北 | 其他 | 高楼层(共16层)  | 塔楼,0人关注 / 5天以前发布,32.8,"7,917元/平"
金科集美天辰，户型方正。xiao qu lv hua hao,金科集美天宸 -南溪区,4室2厅 | 115平米 | 东南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,98.6,"8,574元/平"
莫兰迪公馆醉便宜一套住房，房东出个人所得税，增值税,绿地·莫兰迪公馆 -南岸西区,4室2厅 | 139平米 | 南 | 毛坯 | 低楼层(共29层)  | 暂无数据,0人关注 / 5个月以前发布,105,"7,554元/平"
江景房清水实得面积大3室2厅..........,阳光碧水长滩 -新村,3室2厅 | 79平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,68.8,"8,709元/平"
岷江新区 全新精装；直接入住.,锦悦府 -上江北,3室2厅 | 97平米 | 东南 | 精装 | 中楼层(共14层)  | 暂无数据,8人关注 / 一年前发布,95.8,"9,877元/平"
三室两厅两卫，一线江景，横厅设计，房东诚心出售,恒旭江悦台 -江安县,3室2厅 | 114平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,4人关注 / 11个月以前发布,64.8,"5,685元/平"
顶楼跃层带露台 视野开阔，户型方正，通风采光好,阳光城珑山悦 -南岸西区,4室2厅 | 141平米 | 东 | 毛坯 | 中楼层(共4层)  | 板塔结合,1人关注 / 3个月以前发布,288,"20,426元/平"
邦泰天誉二期清水三房无遮挡视野开阔,邦泰天誉二期 -南岸西区,3室2厅 | 92平米 | 东北 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,112.8,"12,261元/平"
碧水山庄精装江景3房，电梯中层 视野开阔，拎包入住,碧水山庄 -南岸西区,3室2厅 | 137平米 | 西 | 精装 | 中楼层(共11层)  | 暂无数据,6人关注 / 6个月以前发布,96,"7,008元/平"
城区3室2厅1厨1卫，配套齐全，交通方便,银都广场 -江安县,3室2厅 | 110平米 | 东 | 简装 | 高楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,29.8,"2,710元/平"
邦泰白沙翡翠城清水套三双卫带车位,白沙翡翠城 -临港,3室2厅 | 103平米 | 南 | 其他 | 中楼层(共31层)  | 塔楼,4人关注 / 一年前发布,85,"8,253元/平"
房东急售 交通方便，户型方正，离岷江新区近读书方便,远达尚城 -上江北,3室2厅 | 105平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,70.8,"6,743元/平"
小高层洋房，清水三房，户型方正,远达第一城 -上江北,3室2厅 | 89.14平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,80.8,"9,065元/平"
凯丽滨江带大露台的房子三房两厅两卫,华恩凯丽滨江 -南溪区,3室2厅 | 93.3平米 | 东 | 精装 | 低楼层(共25层)  | 板塔结合,3人关注 / 7个月以前发布,72.8,"7,803元/平"
此房为平层，采光好，视野好，两梯两户，私密性好,丽雅江宸 -临港,4室2厅 | 198平米 | 北 | 毛坯 | 高楼层(共16层)  | 暂无数据,2人关注 / 5个月以前发布,246,"12,425元/平"
业主之前买成8900单价，大四房两梯三户，旁边川师付小,绿地莫奈公馆 -南岸西区,4室2厅 | 149平米 | 东南 | 毛坯 | 高楼层(共32层)  | 暂无数据,1人关注 / 5个月以前发布,135,"9,061元/平"
远达第一城央墅小区 4室2厅 东南,远达第一城央墅小区 -上江北,4室2厅 | 83平米 | 东南 | 毛坯 | 高楼层(共8层)  | 暂无数据,1人关注 / 一年前发布,115,"13,856元/平"
顶楼跃层，楼上带几十平露台，中庭搂 王,阳光碧水长滩 -新村,4室2厅 | 72.4平米 | 东南 | 毛坯 | 高楼层(共26层)  | 暂无数据,1人关注 / 一年前发布,89.8,"12,404元/平"
房子颂了20多平，买给老人住的，老人不来住，诚心卖,阳光碧水长滩 -新村,3室2厅 | 72.75平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,69.8,"9,595元/平"
房子使用面积105平，因为工作调动出售，中间楼层,阳光碧水长滩 -新村,3室2厅 | 81.49平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,78.8,"9,670元/平"
清水大三房，户型通透，带大阳台，采光好,邦泰天誉二期 -南岸西区,3室2厅 | 115平米 | 东南 | 毛坯 | 高楼层(共17层)  | 板楼,0人关注 / 5个月以前发布,149,"12,957元/平"
实得面积大，四个平层，适合商用或隔单间，诚心卖,丽雅江宸 -临港,5室3厅 | 125平米 | 南 | 毛坯 | 低楼层(共16层)  | 暂无数据,0人关注 / 1个月以前发布,180,"14,400元/平"
清水三房，看中庭，视野没遮挡，小区门口就是川师,绿地莫奈公馆 -南岸西区,3室2厅 | 101平米 | 南 | 毛坯 | 高楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,98.8,"9,783元/平"
低于合同价卖，江景房，中间楼层，单价仅6000多,阳光碧水长滩 -新村,3室2厅 | 72.75平米 | 东南 南 | 毛坯 | 中楼层(共33层)  | 塔楼,1人关注 / 4个月以前发布,50,"6,873元/平"
远达央墅清水3室双卫 跃层 带花园,远达第一城 -上江北,3室1厅 | 87平米 | 东南 | 毛坯 | 高楼层(共23层)  | 暂无数据,0人关注 / 5个月以前发布,90.8,"10,437元/平"
不动产权证已下，清水三房看中庭，业主诚心卖,碧桂园·时代之光 -南岸西区,3室2厅 | 100.7平米 | 南 | 毛坯 | 高楼层(共25层)  | 暂无数据,2人关注 / 6个月以前发布,95,"9,434元/平"
视野开阔         配套设施齐全,阳光碧水长滩 -新村,3室2厅 | 82.21平米 | 西南 | 其他 | 中楼层(共25层)  | 暂无数据,0人关注 / 10个月以前发布,74.8,"9,099元/平"
鹭湖宫二期 三室两厅两卫  精装 急售,远达鹭湖宫二期 -城北新区,3室2厅 | 95平米 | 东南 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,88.8,"9,348元/平"
凤凰小区钻石公寓，大户型，错层大客厅，朝向采光好,钻石公寓 -南岸东区,3室2厅 | 169平米 | 东南 | 简装 | 低楼层(共12层)  | 暂无数据,0人关注 / 一年前发布,90,"5,326元/平"
丽雅龙汐台 4室2厅 西南,丽雅龙汐台 -南岸西区,4室2厅 | 139平米 | 西南 | 毛坯 | 中楼层(共8层)  | 暂无数据,1人关注 / 1个月以前发布,196,"14,101元/平"
金沙江边水映金沙正看江清水大三房,水映金沙 -柏溪镇,3室2厅 | 95平米 | 南 | 毛坯 | 低楼层(共27层)  | 板楼,4人关注 / 一年前发布,68,"7,158元/平"
三江新区唯有边户带大花园200平米+,邦泰国际社区北区 -临港,5室3厅 | 139.59平米 | 东南 | 毛坯 | 低楼层(共3层)  | 暂无数据,7人关注 / 一年前发布,230,"16,477元/平"
四室两厅一厨两卫交通方便品质小区干净舒适老少皆宜。,巴黎春天 -柏溪镇,4室2厅 | 131.95平米 | 东南 | 简装 | 低楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,61,"4,623元/平"
楼层也好，                             视野开阔,阳光碧水长滩 -新村,3室2厅 | 81.49平米 | 西南 | 其他 | 中楼层(共33层)  | 塔楼,0人关注 / 7个月以前发布,69.9,"8,578元/平"
邦泰北区 花千墅 上叠带50平大露台 带车位,邦泰国际社区北区 -临港,5室2厅 | 139平米 | 西南 | 毛坯 | 低楼层(共3层)  | 暂无数据,3人关注 / 一年前发布,215,"15,468元/平"
南岸西区珑山悦精装三房房东急卖,阳光城珑山悦 -南岸西区,3室2厅 | 103平米 | 东 | 精装 | 低楼层(共17层)  | 暂无数据,8人关注 / 8个月以前发布,110,"10,680元/平"
临港优质叠拼别墅5房5卫，全中庭带花园，业主诚心出售,邦泰国际社区北区 -临港,5室2厅 | 139.55平米 | 西南 | 毛坯 | 低楼层(共3层)  | 塔楼,0人关注 / 3个月以前发布,245,"17,557元/平"
白沙鹭岛西区103平126万带车位,邦泰白沙鹭岛西区 -临港,4室2厅 | 103平米 | 东南 | 毛坯 | 高楼层(共32层)  | 暂无数据,2人关注 / 3个月以前发布,126,"12,234元/平"
临港白沙鹭岛西区 清水三房带车位出售,邦泰白沙鹭岛西区 -临港,3室2厅 | 89平米 | 西南 | 其他 | 高楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,95,"10,675元/平"
书香府第124平米，精装3房，房东缺钱急卖的,书香府第 -上江北,3室2厅 | 124.5平米 | 东 | 精装 | 低楼层(共26层)  | 暂无数据,0人关注 / 4个月以前发布,92,"7,390元/平"
高铁西站旁，大4房，房东急售   、,绿地莫奈公馆 -南岸西区,4室2厅 | 156平米 | 东南 | 毛坯 | 高楼层(共9层)  | 暂无数据,5人关注 / 一年前发布,168,"10,770元/平"
山水原著三期原香岭 3室2厅 南,山水原著三期原香岭 -南岸西区,3室2厅 | 103.96平米 | 南 | 毛坯 | 33层  | 塔楼,3人关注 / 6个月以前发布,97.8,"9,408元/平"
"树高•富邻金沙底商,房东诚心出售",富邻金沙 -中坝,1室0厅 | 179.43平米 | 南 | 其他 | 低楼层(共1层)  | 塔楼,0人关注 / 17天以前发布,310,"17,277元/平"
丽雅龙璟台大三房 纯中厅位置 景观大阳台 视野开阔,龙璟台 -南岸西区,3室2厅 | 109平米 | 东南 | 毛坯 | 中楼层(共25层)  | 暂无数据,2人关注 / 4个月以前发布,120,"11,010元/平"
远大第.一城清水三室两厅两卫出售。,远达第一城 -上江北,3室2厅 | 77平米 | 东南 | 毛坯 | 高楼层(共22层)  | 板塔结合,0人关注 / 11个月以前发布,58.8,"7,637元/平"
此房格局好 户型方正，楼层好 视野开阔 采光充足,翰林府邸 -临港,4室2厅 | 108平米 | 南 | 毛坯 | 低楼层(共28层)  | 暂无数据,6人关注 / 一年前发布,82,"7,593元/平"
临港白沙鹭岛西区 清水三房带车位出售,邦泰白沙鹭岛西区 -临港,3室2厅 | 89平米 | 西南 | 其他 | 高楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,95,"10,675元/平"
邦泰天誉二期115户型 带车位 产权清晰,邦泰天誉二期 -南岸西区,3室2厅 | 115平米 | 西南 | 简装 | 中楼层(共19层)  | 暂无数据,0人关注 / 9个月以前发布,134,"11,653元/平"
大地坡洋房顶楼大地坡洋房顶跃户型方正跃层采光好,蓝润泷门 -南岸西区,4室2厅 | 148.75平米 | 南 | 毛坯 | 高楼层(共10层)  | 暂无数据,0人关注 / 1个月以前发布,242.8,"16,323元/平"
龙璟台105户型  带车位 诚心出售！,龙璟台 -南岸西区,3室2厅 | 105平米 | 东南 | 毛坯 | 低楼层(共25层)  | 暂无数据,2人关注 / 4个月以前发布,140,"13,334元/平"
此房是一梯一户的内跃，二楼可以自己利用,鲁能峯璟 -南岸西区,3室1厅 | 147平米 | 东南 | 毛坯 | 高楼层(共17层)  | 暂无数据,5人关注 / 一年前发布,150,"10,205元/平"
丽雅江宸清水四房 空中跃层 看全中庭 大阳台,丽雅江宸 -临港,4室2厅 | 159平米 | 西 | 毛坯 | 低楼层(共20层)  | 暂无数据,0人关注 / 3个月以前发布,190,"11,950元/平"
南岸西区大地坡清水三房出售！！！,蓝润泷门 -南岸西区,3室2厅 | 116平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 4个月以前发布,105,"9,052元/平"
三江新区 临港大学城 临港中央 精装修房子出售,临港中央 -临港,3室2厅 | 85.5平米 | 东 | 精装 | 中楼层(共29层)  | 板塔结合,0人关注 / 1个月以前发布,93,"10,878元/平"
春江盛景清水三房两厅两卫，一线江景,春江盛景A区 -中坝,3室2厅 | 131平米 | 东南 | 毛坯 | 低楼层(共28层)  | 塔楼,0人关注 / 一年前发布,95,"7,252元/平"
临港三江新区标准四室带车位丽雅视野开阔看房方便,丽雅江宸 -临港,4室2厅 | 139.6平米 | 南 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 5个月以前发布,172,"12,321元/平"
南岸西区邦泰天誉五室两厅清水房出售,邦泰天誉一期 -南岸西区,5室2厅 | 167平米 | 西南 | 毛坯 | 高楼层(共10层)  | 板塔结合,0人关注 / 6个月以前发布,210,"12,575元/平"
双阳台可以看中庭，采光好，四周配套设施齐全交通便利,邦泰天誉二期 -南岸西区,3室2厅 | 121平米 | 西南 | 毛坯 | 中楼层(共17层)  | 暂无数据,2人关注 / 一年前发布,140,"11,571元/平"
急售 西区高铁站旁  新小区中楼层,绿地上海多伦公馆 -南岸西区,4室2厅 | 118.49平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,1人关注 / 4个月以前发布,116,"9,790元/平"
此房子满两年，产权清晰看房子方便，户型方正，单价低,丽雅龙城 -南岸西区,4室2厅 | 146.74平米 | 东南 | 精装 | 低楼层(共22层)  | 板塔结合,3人关注 / 5个月以前发布,170,"11,586元/平"
远达央墅楼中楼出售  带车位  楼上全部现浇已建好,远达第一城央墅小区 -上江北,3室2厅 | 75平米 | 东南 | 毛坯 | 高楼层(共23层)  | 暂无数据,1人关注 / 5个月以前发布,86.8,"11,574元/平"
南岸西区珑山悦精装三房房东急卖,阳光城珑山悦 -南岸西区,3室2厅 | 103平米 | 东 | 精装 | 低楼层(共17层)  | 暂无数据,8人关注 / 8个月以前发布,110,"10,680元/平"
白沙鹭岛西区103平126万带车位,邦泰白沙鹭岛西区 -临港,4室2厅 | 103平米 | 东南 | 毛坯 | 高楼层(共32层)  | 暂无数据,2人关注 / 3个月以前发布,126,"12,234元/平"
临港优质叠拼别墅5房5卫，全中庭带花园，业主诚心出售,邦泰国际社区北区 -临港,5室2厅 | 139.55平米 | 西南 | 毛坯 | 低楼层(共3层)  | 塔楼,0人关注 / 3个月以前发布,245,"17,557元/平"
江北 远达第一城 清水三室 诚心底价出售,远达第一城 -上江北,3室2厅 | 86平米 | 东 | 毛坯 | 低楼层(共23层)  | 暂无数据,0人关注 / 3个月以前发布,59.8,"6,954元/平"
华富戎州新城大带小露台，房东这两个月急售,华富戎州兴城 -上江北,3室2厅 | 97平米 | 东南 | 精装 | 高楼层(共10层)  | 暂无数据,0人关注 / 6个月以前发布,94,"9,691元/平"
华悦府顶楼跃层带字母车位，带楼顶花园,华悦府 -上江北,3室2厅 | 81平米 | 东 | 毛坯 | 高楼层(共8层)  | 暂无数据,3人关注 / 6个月以前发布,96.8,"11,951元/平"
上江北新区远达第一城三室两厅一厨一卫,远达第一城 -上江北,3室2厅 | 77.82平米 | 东南 | 毛坯 | 高楼层(共22层)  | 暂无数据,0人关注 / 8个月以前发布,58.5,"7,518元/平"
塞纳国际 清水3房  证在手 支持按揭,塞纳国际三期 -新村,3室2厅 | 93平米 | 东南 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,60,"6,452元/平"
"标准的四室两厅双卫 户型方正 ,标准的动静分区",山水原著三期原香岭 -南岸西区,4室2厅 | 138平米 | 南 | 毛坯 | 7层  | 板塔结合,7人关注 / 一年前发布,150,"10,870元/平"
带7米多长阳台，有个字母车位，可以停3个车，诚心卖,邦泰天誉二期 -南岸西区,3室2厅 | 115.74平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,13人关注 / 9个月以前发布,115,"9,937元/平"
地中海风格精装标准两房，很少住人，保养好，拎包入住,邦泰临港国际 -临港,2室2厅 | 72平米 | 南 | 精装 | 高楼层(共24层)  | 塔楼,1人关注 / 一年前发布,80,"11,112元/平"
清水四室二厅一厨双卫....大阳台，，随意装修,远达鹭湖宫二期 -城北新区,4室2厅 | 97.69平米 | 东南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 5个月以前发布,69.6,"7,125元/平"
位置好 交通方便 视野开阔 配套齐全,金江大厦 -西郊,3室2厅 | 134.2平米 | 东南 | 简装 | 低楼层(共28层)  | 塔楼,0人关注 / 一年前发布,82,"6,111元/平"
电梯三室两厅，户型方正，视野开阔，带车位一个,南雅世家 -江安县,3室2厅 | 109平米 | 北 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 11个月以前发布,64.8,"5,945元/平"
南岸西区天府印象清水顶楼跃层出售,天府映像 -南岸西区,5室2厅 | 175.43平米 | 东南 | 毛坯 | 高楼层(共6层)  | 平房,18人关注 / 一年前发布,102,"5,815元/平"
碧水长滩三房双卫，高楼层视野开阔无遮挡采光好,阳光碧水长滩 -新村,3室2厅 | 73平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 11个月以前发布,60,"8,220元/平"
鑫箐英精装三房 带车位  全屋品牌家具  拎包入住,鲁能鑫菁英 -南岸西区,3室2厅 | 105平米 | 东南 | 精装 | 中楼层(共22层)  | 塔楼,2人关注 / 3个月以前发布,102,"9,715元/平"
青龙街好房急售 房东诚心出售 价格可以小刀,青龙街19号 -南溪区,4室2厅 | 139平米 | 东北 | 精装 | 中楼层(共7层)  | 暂无数据,2人关注 / 7个月以前发布,65.6,"4,720元/平"
精装复式三房 电梯中层可以拎包入住，总价不高,南屏花园 -江安县,3室2厅 | 40.63平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,40.6,"9,993元/平"
电梯三室两厅，户型方正，视野开阔，带车位一个,南雅世家 -江安县,3室2厅 | 109平米 | 北 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 11个月以前发布,64.8,"5,945元/平"
：有一曼公园，有中国银行和中国工商银行等，有绿源,城中央-培根小镇 -城北新区,3室2厅 | 101平米 | 东南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 6个月以前发布,88,"8,713元/平"
宜宾学院B区 3室1厅 东南,宜宾学院B区 -上江北,3室1厅 | 79.39平米 | 东南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,53.8,"6,777元/平"
远大鹭湖宫一期清水正三房双卫出售,远达鹭湖宫一期 -城北新区,3室2厅 | 82.33平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板塔结合,1人关注 / 10个月以前发布,54.8,"6,657元/平"
