标题,开发商,房子信息,发布信息,售价/万,单价
清河庄园精装修全屋暖气拎包入住中间楼层税费低,清河庄园 -樊城东区,3室2厅 | 108.53平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 14天以前发布,99,"9,122元/平"
精装大三房 房本满二 采光充足 视野开阔 看房方便,东津世纪城10区御华苑 -东津区,3室2厅 | 136平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 8个月以前发布,114,"8,383元/平"
春园西路 民发盛特公园（诸葛亮广场南 ） 简装四室,民发盛特公园 -樊城西区,4室2厅 | 156平米 | 南 | 毛坯 | 低楼层(共31层)  | 板塔结合,23人关注 / 一年前发布,185,"11,859元/平"
南 北 通 大三房，毛坯随意装修·,东津世纪城10区御华苑 -东津区,3室2厅 | 137.48平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,2人关注 / 6个月以前发布,91,"6,620元/平"
长虹路 职工街里 高庄公寓 中装大3室 采光好 有钥匙,高庄公寓 -樊城西区,3室2厅 | 145.62平米 | 南 | 简装 | 高楼层(共8层)  | 塔楼,3人关注 / 一年前发布,90,"6,181元/平"
房子比较优质 停车方便。环境好无遮挡采光好,施营加油站家属院 -樊城西区,3室2厅 | 98.17平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,8人关注 / 一年前发布,82,"8,353元/平"
毛坯边户 随意装修 小三室  H1户型,东津世纪城16区天境台 -东津区,3室2厅 | 99.18平米 | 南 | 毛坯 | 中楼层(共23层)  | 板塔结合,5人关注 / 一年前发布,75.8,"7,643元/平"
长虹路万达广场紫贞公园大三房精装修拎包入住,万紫千红商住楼 -樊城西区,3室2厅 | 126.24平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,125,"9,902元/平"
吾悦广场绿地商圈五中旁花园景观小区东边户型*,国色天襄A区 -樊城西区,3室1厅 | 122.11平米 | 南 | 毛坯 | 中楼层(共20层)  | 板塔结合,15人关注 / 一年前发布,103,"8,436元/平"
都会山出门民发商场和学 校，房本满二，双阳台,民发·都会山世界城三期 -襄州区,3室2厅 | 125.61平米 | 南 | 毛坯 | 中楼层(共28层)  | 板塔结合,9人关注 / 7个月以前发布,110,"8,758元/平"
绿地3期 边户刚需3房低总价精装修,绿地中央广场香庭公馆 -樊城西区,3室2厅 | 106.61平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,4人关注 / 4个月以前发布,107,"10,037元/平"
边户小三房，精准修未住，视野采光好。,东津世纪城16区天境台 -东津区,3室2厅 | 100.02平米 | 东南 | 精装 | 中楼层(共26层)  | 板塔结合,1人关注 / 5个月以前发布,85,"8,499元/平"
新上满2年大三房   东边户，外地购房，诚心出售,中建状元府 -樊城西区,3室2厅 | 109.25平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,7人关注 / 8个月以前发布,90,"8,238元/平"
沃尔玛泛悦双商圈，满五唯一，有暖气！！,长虹路供电公司家属院 -樊城西区,3室2厅 | 99.77平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,4人关注 / 10个月以前发布,90,"9,021元/平"
吾悦信物中国色天襄B区 精装修大三房 满四年了,国色天襄B区 -樊城西区,3室2厅 | 124.39平米 | 南 北 | 其他 | 高楼层(共31层)  | 板塔结合,1人关注 / 4个月以前发布,109,"8,763元/平"
小区南排，中高楼层，全天晒太阳,东津世纪城9区菁华园 -东津区,3室2厅 | 102.23平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,2人关注 / 一年前发布,80,"7,826元/平"
小区门口业主外地换房诚售 看房有钥匙,东津世纪城16区天境台 -东津区,3室2厅 | 117平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,85,"7,265元/平"
东津世纪城新外滩户型方正带大花园,东津世纪城8区新外滩 -东津区,3室1厅 | 136.72平米 | 南 | 毛坯 | 低楼层(共24层)  | 板塔结合,0人关注 / 1个月以前发布,113,"8,266元/平"
此房产证满二税费少，前后无遮挡，精装修拎包入住,绿地中央广场香庭公馆 -樊城西区,3室2厅 | 130.54平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,18人关注 / 一年前发布,151,"11,568元/平"
上下两层真复式，采光好，看房方便。,东津世纪城14区崇文府 -东津区,3室2厅 | 201.03平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 2个月以前发布,134,"6,666元/平"
此房 楼层好 采光无遮挡 出行交通便利,中建状元府 -樊城西区,3室2厅 | 110.86平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 3个月以前发布,105,"9,472元/平"
视野开阔，经典小户型，纯毛坯，俯瞰实验,东津世纪城7区两江汇 -东津区,3室2厅 | 101.99平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 7个月以前发布,74.5,"7,305元/平"
纯毛坯，中间楼层，满二年，税费少,东津世纪城16区天境台 -东津区,3室2厅 | 122.04平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 3个月以前发布,90,"7,375元/平"
樊城区沃尔玛泛悦旁三室朝南停车方便,樊城区委家属院 -樊城西区,3室1厅 | 78.4平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,11人关注 / 6个月以前发布,69.6,"8,878元/平"
业主诚意出售，看房方便，看房有钥匙。,东津世纪城15区上和院 -东津区,3室2厅 | 116.86平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,1人关注 / 1个月以前发布,80,"6,846元/平"
产证满2年小区前排俯瞰市政花园看房有钥匙,东津世纪城16区天境台 -东津区,4室2厅 | 139.85平米 | 东南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,112,"8,009元/平"
好房子出售长虹路沃尔玛万达商圈地段好位置佳交通方便,金座大厦 -樊城东区,3室2厅 | 176.36平米 | 南 | 简装 | 高楼层(共16层)  | 板塔结合,9人关注 / 一年前发布,92,"5,217元/平"
名仕家 毛坯3房 格局好 满2年 电梯房 有空调,名仕家天下 -襄城区,3室2厅 | 128.67平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 板塔结合,6人关注 / 一年前发布,113.6,"8,829元/平"
民房商圈，南北互通格局好， 采光好，产权清晰,紫荆花園 -襄州区,3室1厅 | 115.79平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,98,"8,464元/平"
大四房价格美丽，右侧大李沟风景带，采光,绿地理想城 -樊城西区,4室2厅 | 143平米 | 南 | 毛坯 | 低楼层(共27层)  | 板楼,4人关注 / 6个月以前发布,128,"8,952元/平"
绿地大平层一梯两户板房 大客厅 大主卧 产证满两年,绿地理想城 -樊城西区,4室2厅 | 163.92平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,8人关注 / 4个月以前发布,164.8,"10,054元/平"
沃尔玛商圈错层式大三室户型方正满五唯一税费少,建苑小区 -樊城西区,3室1厅 | 139.61平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 5个月以前发布,91.5,"6,554元/平"
航宇幸福家园电梯 毛坯 三室，有暖气，停车方便,航宇幸福家园 -樊城西区,3室2厅 | 121.1平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,29人关注 / 一年前发布,82,"6,772元/平"
没有房贷，过户流程用时短，边户,航宇幸福家园 -樊城西区,3室2厅 | 117.89平米 | 南 | 毛坯 | 高楼层(共18层)  | 塔楼,5人关注 / 7个月以前发布,81,"6,871元/平"
好房子出售长虹路沃尔玛万达商圈地段好位置佳交通方便,金座大厦 -樊城东区,3室2厅 | 176.36平米 | 南 | 简装 | 高楼层(共16层)  | 板塔结合,9人关注 / 一年前发布,92,"5,217元/平"
名仕家 毛坯3房 格局好 满2年 电梯房 有空调,名仕家天下 -襄城区,3室2厅 | 128.67平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 板塔结合,6人关注 / 一年前发布,113.6,"8,829元/平"
中间楼层简单装修满五唯一单价便宜电梯房,丽明化工厂 -樊城东区,3室1厅 | 120.75平米 | 东 | 简装 | 高楼层(共12层)  | 暂无数据,0人关注 / 一年前发布,89,"7,371元/平"
实验长征机务段全新精装修未入住，家乐福华洋堂商圈,机务段小区 -樊城东区,3室2厅 | 87.07平米 | 南 | 精装 | 低楼层(共8层)  | 板楼,8人关注 / 一年前发布,76,"8,729元/平"
火车站家乐福三室长春小区二十。中,长春小区 -樊城东区,3室2厅 | 96.93平米 | 东南 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,73,"7,532元/平"
松鹤路新世纪家园，三房户型方正采光好，交通便利,新世纪家园 -樊城东区,3室2厅 | 141.48平米 | 南 | 简装 | 高楼层(共9层)  | 板楼,2人关注 / 一年前发布,85,"6,008元/平"
东津15区 精装三室两卫 南排视野 钥匙房 税少,东津世纪城15区上和院 -东津区,3室2厅 | 122.55平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,3人关注 / 8个月以前发布,104,"8,487元/平"
东津世纪城 102平小三房 小区门口 视野采光好,东津世纪城15区上和院 -东津区,3室2厅 | 101.88平米 | 北 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,3人关注 / 6个月以前发布,70,"6,871元/平"
东津世纪城10区:99㎡3房带装修80万+小区门口中层满二,东津世纪城10区御华苑 -东津区,3室2厅 | 98.58平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,11人关注 / 8个月以前发布,73.5,"7,456元/平"
汉江梦1958 满五唯一税少 毛坯 看房方便  阳台多,汉江梦1958 -樊城西区,3室2厅 | 144.77平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 5个月以前发布,121.5,"8,393元/平"
满五.采光好，毛坯房可随意装修，经典南北通四房,东津世纪城11区观澜郡 -东津区,4室2厅 | 136平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,102,"7,500元/平"
此房产证满2年，税费少，中高楼层视野好，诚心出售,东津世纪城15区上和院 -东津区,3室2厅 | 102.42平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,71,"6,933元/平"
长虹路  32中旁 现代城精装大三室,现代凯旋国际 -樊城东区,3室2厅 | 142.25平米 | 南 | 精装 | 低楼层(共28层)  | 塔楼,0人关注 / 5个月以前发布,134,"9,421元/平"
万达广场 紫贞公园 大三室 楼层好,航空花园 -樊城西区,3室2厅 | 148.46平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 5个月以前发布,158,"10,643元/平"
此房产证满2年，税费少，中高楼层视野好，诚心出售,东津世纪城11区观澜郡 -东津区,3室2厅 | 99平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 4个月以前发布,77,"7,778元/平"
舒适三房 配套齐全 交通便利 业主诚心出售,朗曼•梦公园 -樊城西区,3室1厅 | 124.72平米 | 东南 北 | 毛坯 | 中楼层(共29层)  | 板塔结合,0人关注 / 1个月以前发布,105,"8,419元/平"
东津102平顶楼复式精装位置好阳光充足出行方便漂亮,东津世纪城11区观澜郡 -东津区,3室2厅 | 102.27平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,6人关注 / 一年前发布,69,"6,747元/平"
世纪城12区复式楼  满二  高楼层 南北双阳台 带大露台,东津世纪城12区花漫里 -东津区,5室3厅 | 217.98平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,9人关注 / 一年前发布,145,"6,652元/平"
小区入门口满二，楼层好，入室花园户型方正诚心出售,东津世纪城11区观澜郡 -东津区,3室2厅 | 126.43平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 2个月以前发布,90,"7,119元/平"
成熟社区 配套齐全 交通便利 二汽工业区 钻石大道旁,经晨时代 -高新区,3室1厅 | 105.91平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,1人关注 / 4个月以前发布,53,"5,005元/平"
此房是的三房户型，双阳台，通风性能好,东津世纪城16区天境台 -东津区,3室2厅 | 123.09平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,17人关注 / 一年前发布,118,"9,587元/平"
毛坯观河景  看房有匙  毛坯随意操刀装修 诚意售,东津世纪城15区上和院 -东津区,4室2厅 | 139.85平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,19人关注 / 一年前发布,95,"6,793元/平"
小区比较成熟，户型方正，物业比较齐全,海容幸福里C区 -樊城西区,3室2厅 | 131.93平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 塔楼,14人关注 / 一年前发布,102,"7,732元/平"
小区南排 中高楼层 视野开阔 采光好 精装三房 税费少,东津世纪城11区观澜郡 -东津区,3室2厅 | 122.45平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,103,"8,412元/平"
东津世纪城户型好，便宜售，位置好视野开阔,东津世纪城9区菁华园 -东津区,3室2厅 | 98.65平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,70,"7,096元/平"
二汽商圈好房，配套设施齐全，交通便利,鼎府 -襄州区,3室2厅 | 112.28平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板塔结合,8人关注 / 一年前发布,82,"7,304元/平"
此房位于沃尔玛商圈，长虹路主干道,民发世纪新城 -樊城东区,3室2厅 | 151.25平米 | 南 | 精装 | 低楼层(共25层)  | 塔楼,25人关注 / 一年前发布,147,"9,720元/平"
金茂公寓3-2-1-1 114.07m² 85 万,金茂公寓 -樊城东区,3室2厅 | 114.07平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 10个月以前发布,78,"6,838元/平"
人民广场商圈，成熟单位热门好房，物业费少，停车方便,大修厂家属院 -樊城东区,2室1厅 | 79.98平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,6人关注 / 一年前发布,51,"6,377元/平"
岘山公园旁 停车方便  拎包入住 楼顶可以种菜养花,水利规划设计院家属院 -襄城区,3室2厅 | 119.32平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,90,"7,543元/平"
春园路 38中旁 毛坯两室 好小区 停车方便 集中供暖,航天春园 -樊城东区,2室1厅 | 59.66平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,45,"7,543元/平"
地理位置好。内环境优美，适合居住,储运家属院 -樊城东区,2室1厅 | 78.38平米 | 东南 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 6个月以前发布,50,"6,380元/平"
凤雏大桥和汉江一桥之间 花园洋房 丽江泊林电梯房,丽江泊林 -襄城区,3室2厅 | 132.29平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,150,"11,339元/平"
襄州财政局家属院，中高楼层 三房  交通便利,襄州区财政局家属院 -襄州区,3室2厅 | 113.09平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,65,"5,748元/平"
电信小区满二，高楼层，前排无遮挡采光好，近万达广场,电信小区(江山北路) -樊城东区,2室2厅 | 84.1平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,6人关注 / 一年前发布,60,"7,135元/平"
家乐福 商圈  小清河环境 低楼层汽配公司家属院好房,汽配公司家属院 -樊城东区,3室2厅 | 94.58平米 | 东南 | 简装 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,75,"7,930元/平"
户型方正 光线充足 视野宽阔 。。。,襄阳轴承厂十五街坊 -襄城区,3室2厅 | 111.61平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,85,"7,616元/平"
长途汽车站家属院大三居室楼层好,新站小区 -樊城东区,3室2厅 | 128.09平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,99,"7,729元/平"
此房两室一厅适合过度住房，户型方正，采光好,政府生活四区 -襄城区,3室1厅 | 58.5平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,9人关注 / 一年前发布,68,"11,624元/平"
小区门口位置  采光好出行方便  毛坯大三室可随意装修,东津世纪城16区天境台 -东津区,3室2厅 | 126.63平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,3人关注 / 一年前发布,90,"7,108元/平"
此房满五唯一，格局通透，楼层好，视野开阔,民发世界城浪琴苑 -襄州区,3室2厅 | 122平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,1人关注 / 一年前发布,125,"10,246元/平"
小区环境好 精装大三室 公摊小 拎包入住,巴黎印象小区 -襄州区,3室2厅 | 116.18平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,13人关注 / 一年前发布,42,"3,616元/平"
小区前排，视野开阔，采光充足，出行方便。,东津世纪城14区崇文府 -东津区,3室2厅 | 122.84平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,4人关注 / 一年前发布,85,"6,920元/平"
房子户型方正，南北通透，配套齐全生活便利,恒大名都二期 -襄城区,3室1厅 | 123.72平米 | 南 北 | 简装 | 低楼层(共33层)  | 板塔结合,6人关注 / 一年前发布,141,"11,397元/平"
