标题,开发商,房子信息,发布信息,售价/万,单价
高铁站  绿地云水谣  四室 带车位 带储藏室 南北通透,绿地云水谣 -高铁新区,4室2厅 | 151.67平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 塔楼,0人关注 / 7天以前发布,159,"10,484元/平"
嘉和新城 3室2厅 南 北,嘉和新城 -南开发区,3室2厅 | 138平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 8天以前发布,100,"7,247元/平"
泰山区 好户型 采光好 公摊小 停车免费 御碑楼 长城路,明珠公寓 -国际会展中心,3室2厅 | 143.85平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 5天以前发布,160,"11,123元/平"
海普凤凰城 2室2厅 南 北,海普凤凰城 -南开发区,2室2厅 | 91.5平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 6天以前发布,70,"7,651元/平"
多层洋房三楼 嘉和新城二期满二 高新书香世家 五矿,嘉和新城二期 -南开发区,3室2厅 | 139.44平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 7天以前发布,140,"10,041元/平"
物资公司宿舍 2室1厅 南,物资公司宿舍 -火车站,2室1厅 | 56平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 2天以前发布,85,"15,179元/平"
华新新城  精装三室 南北通透户型好楼层 带车位,华新新城 -南开发区,3室2厅 | 112平米 | 南 北 | 精装 | 中楼层(共25层)  | 塔楼,0人关注 / 5天以前发布,96.8,"8,643元/平"
利民小区 精装 金质楼层 户型好 采光好 看房方便,上高街道利民社区 -东湖公园,2室2厅 | 65.5平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 5天以前发布,62,"9,466元/平"
精装小高好楼层 海普凤凰城满二带配房 高新嘉和,海普凤凰城 -南开发区,2室2厅 | 93.6平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 6天以前发布,69.5,"7,426元/平"
圣山帝景精装2室，好楼层采光好，泰山区,聖山帝景 -体育中心,2室2厅 | 106平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 4天以前发布,91.8,"8,661元/平"
吾悦华府 3室2厅 北 南,吾悦华府 -宝龙城,3室2厅 | 108.19平米 | 北 南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 8天以前发布,140,"12,941元/平"
学府春天桃李园 正规三室 精装修 好楼层 带车位配房,学府春天桃李园 -方特大区,3室2厅 | 128平米 | 南 北 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 8天以前发布,140,"10,938元/平"
边户一楼带院50平 书香世家满二带配房 高新嘉和五矿,书香世家 -南开发区,3室2厅 | 99平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 3天以前发布,105,"10,607元/平"
鲁中花园 2室2厅 南,鲁中花园 -东湖公园,2室2厅 | 62平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 7天以前发布,62,"10,000元/平"
书香世家 3室2厅 南 北,书香世家 -南开发区,3室2厅 | 115.01平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 8天以前发布,104.8,"9,113元/平"
泰山新湖绿园 3室2厅 南 北,泰山新湖绿园 -岱岳区区委,3室2厅 | 131平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 5天以前发布,187,"14,275元/平"
麓秀易居 3室2厅 北 南,麓秀易居 -岱岳区区委,3室2厅 | 150.66平米 | 北 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,199,"13,209元/平"
精装修 拎包入住  南北通透  出行方便。,开元盛世裕园 -高铁新区,3室2厅 | 106.65平米 | 南 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 5天以前发布,103,"9,658元/平"
新上房源 中南佳期漫 集中供暖 大四室 无遮挡 采光好,中南佳期漫 -南开发区,4室1厅 | 140平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 5天以前发布,122,"8,715元/平"
吾悦华府 3室2厅 北 南,吾悦华府 -宝龙城,3室2厅 | 108.19平米 | 北 南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 8天以前发布,140,"12,941元/平"
麓秀易居 3室2厅 北 南,麓秀易居 -岱岳区区委,3室2厅 | 150.66平米 | 北 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,199,"13,209元/平"
精装修 拎包入住  南北通透  出行方便。,开元盛世裕园 -高铁新区,3室2厅 | 106.65平米 | 南 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 5天以前发布,103,"9,658元/平"
新上房源 中南佳期漫 集中供暖 大四室 无遮挡 采光好,中南佳期漫 -南开发区,4室1厅 | 140平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 5天以前发布,122,"8,715元/平"
华新新城 2室2厅 南 北,华新新城 -南开发区,2室2厅 | 95平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 4天以前发布,78,"8,211元/平"
青年路科技局宿舍 2室1厅 南 北,青年路科技局宿舍 -岱庙,2室1厅 | 75平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 3天以前发布,219,"29,200元/平"
华伟家园 2室2厅 南,华伟家园 -东湖公园,2室2厅 | 106平米 | 南 | 其他 | 中楼层(共23层)  | 板塔结合,0人关注 / 6天以前发布,115.8,"10,925元/平"
迎春，南关，两室朝阳，好楼层，产权清晰,东岳小区(徂徕路) -东湖公园,2室2厅 | 70.97平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5天以前发布,58,"8,173元/平"
东湖小区 华伟家园 好楼层 电梯房 证满两年,华伟家园 -东湖公园,2室2厅 | 103平米 | 南 | 其他 | 高楼层(共27层)  | 板塔结合,0人关注 / 4天以前发布,118.8,"11,534元/平"
财校宿舍  好楼层  迎胜双  好停车,财政学校宿舍 -天外村,3室2厅 | 86平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,1人关注 / 5天以前发布,180,"20,931元/平"
裕隆庄园 2室1厅 南 北,裕隆庄园 -徐家楼,2室1厅 | 83平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 5天以前发布,69,"8,314元/平"
电梯房 ，上下楼方便，三室两厅，采光充足,如意家园小区 -徐家楼,3室2厅 | 109.14平米 | 南 北 | 其他 | 中楼层(共31层)  | 板塔结合,0人关注 / 4天以前发布,105,"9,621元/平"
锦绣一方，岱庙博文 青年路南段 经典两室,锦绣一方 -南关,2室2厅 | 90.2平米 | 南 北 | 精装 | 低楼层(共5层)  | 暂无数据,0人关注 / 5天以前发布,87,"9,646元/平"
双龙居A区，公  务  员小区，三室，11层电梯洋房,双龙小区A区 -小井,3室2厅 | 125平米 | 南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 4天以前发布,174,"13,920元/平"
多层洋房一梯两户 海普凤栖湾满二带配房 五矿,凤栖湾小区 -南开发区,2室2厅 | 100.3平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 6天以前发布,88,"8,774元/平"
杏林佳苑 3室2厅 南,杏林佳苑 -东湖公园,3室2厅 | 109平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 1天以前发布,130,"11,927元/平"
交通局宿舍 3室2厅 南 北,交通局宿舍 -东湖公园,3室2厅 | 110.45平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 1天以前发布,102,"9,235元/平"
温泉西区 3室1厅 南 北,温泉西区 -红门,3室1厅 | 79平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 1天以前发布,155,"19,621元/平"
泰中宿舍  擂鼓石大街 满五唯一  文化路  迎胜,泰山中学宿舍 -天外村,3室2厅 | 89.05平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 4天以前发布,178,"19,989元/平"
金科桃花源 3室2厅 南,金科桃花源 -彩石溪,3室2厅 | 104.63平米 | 南 | 其他 | 低楼层(共4层)  | 暂无数据,0人关注 / 4天以前发布,238,"22,747元/平"
山东科技大学教工宿舍东院 3室1厅 南,山东科技大学教工宿舍东院 -红门,3室1厅 | 70.61平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 6天以前发布,136,"19,261元/平"
鲁商国际社区 2室2厅 西南 北,鲁商国际社区 -方特大区,2室2厅 | 88.68平米 | 西南 北 | 其他 | 高楼层(共22层)  | 板楼,0人关注 / 6天以前发布,88,"9,924元/平"
车站小区，位置三室两厅采光好，相中房子可议价。,车站小区 -火车站,3室1厅 | 78.78平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5天以前发布,80,"10,155元/平"
岱宗大街农大南门邮电局一宿舍文化路和迎胜2楼,邮电一宿舍 -火车站,3室1厅 | 83.5平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,0人关注 / 4天以前发布,140,"16,767元/平"
泰山区 恒大城 精装大三室 三室加客厅都朝南 裕园,恒大城 -高铁新区,3室2厅 | 105.5平米 | 南 | 其他 | 低楼层(共28层)  | 塔楼,0人关注 / 4天以前发布,85,"8,057元/平"
绿地云水谣二期 3室2厅 南 北,绿地云水谣二期 -高铁新区,3室2厅 | 105平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 1天以前发布,80,"7,620元/平"
开元盛世和园A区 3室2厅 南 北,开元盛世和园A区 -泮河景区,3室2厅 | 113平米 | 南 北 | 精装 | 低楼层(共30层)  | 塔楼,0人关注 / 4天以前发布,116,"10,266元/平"
开元盛世和园B区 3室1厅 南 北,开元盛世和园B区 -泮河景区,3室1厅 | 113.29平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 3天以前发布,127.88,"11,288元/平"
中达开元首府 3室1厅 南 北,中达开元首府 -高铁新区,3室1厅 | 123平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 1天以前发布,120,"9,757元/平"
东湖公园 迎春小区 好楼层 停车方便 利民社区 东岳,迎春小区 -东湖公园,2室1厅 | 60平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 15天以前发布,58,"9,667元/平"
大展新城国际  岳峰 精装修  好楼层  采光好,大展新城国际 -体育中心,1室1厅 | 47.81平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 7天以前发布,50,"10,459元/平"
万达旁 单位房 集中供暖 户型好 停车方便,金地佳苑 -国际会展中心,2室1厅 | 58平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 12天以前发布,54.5,"9,397元/平"
三室好楼层 东户 满二 毛坯随意装修 东岳鑫城,东岳鑫城 -高铁新区,3室2厅 | 112.59平米 | 南 北 | 其他 | 高楼层(共30层)  | 塔楼,0人关注 / 一年前发布,100,"8,882元/平"
南湖小区好楼层，空置房，南湖公园,南湖小区 -南湖公园,2室2厅 | 66.78平米 | 南 | 简装 | 中楼层(共4层)  | 板楼,1人关注 / 一年前发布,59,"8,835元/平"
过度房！好楼层，总价低青年路旁带储藏室房产证满五年,泰安市造纸厂宿舍区 -南关,1室1厅 | 58.67平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,1人关注 / 8个月以前发布,43.8,"7,466元/平"
长城东区 精装两室电梯房 中间楼层 装修全部用好料,长城东区 -万达广场,2室1厅 | 84.55平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,6人关注 / 一年前发布,99.8,"11,804元/平"
泰师 东岳科大东院中间楼层 两室朝阳温泉西区博文,山东科技大学教工宿舍东院 -红门,2室1厅 | 58.64平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,108,"18,418元/平"
温泉东区北院 2楼 2室 配房 满5 东岳,温泉小区东区 -红门,2室2厅 | 76.08平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,12人关注 / 一年前发布,95.6,"12,566元/平"
此房户型方正，两室朝阳，无浪费面积，配套齐全,泰安印染厂宿舍楼 -国际会展中心,2室1厅 | 58.49平米 | 南 | 其他 | 高楼层(共4层)  | 板楼,2人关注 / 一年前发布,59.9,"10,242元/平"
房源装修两室，带储藏室，有钥匙看房方便，欢迎来看。,鲁商中心 -泮河景区,2室2厅 | 87.95平米 | 南 | 精装 | 中楼层(共28层)  | 暂无数据,0人关注 / 1个月以前发布,90.8,"10,325元/平"
东边户 南北通透 精装修 带储藏室 全部家具家电 满二,东岳鑫城 -高铁新区,2室2厅 | 97平米 | 南 北 | 精装 | 高楼层(共28层)  | 塔楼,2人关注 / 一年前发布,75,"7,732元/平"
开元盛世和园四室好房，好楼层，采光视野好，满二,开元盛世和园B区 -泮河景区,4室2厅 | 146平米 | 南 | 毛坯 | 高楼层(共23层)  | 板楼,0人关注 / 1个月以前发布,125,"8,562元/平"
急售 学府春天 带配房 带车位 现房 好楼层  无遮挡,泰实·学府春天 -方特大区,4室2厅 | 136平米 | 南 北 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 30天以前发布,165,"12,133元/平"
大安绿视界 4室2厅 南 北,大安绿视界 -方特大区,4室2厅 | 146平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 29天以前发布,165,"11,302元/平"
东湖小区 精装 金质楼层  户型好 采光好 集暖,东湖社区 -东湖公园,3室2厅 | 124平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 25天以前发布,150,"12,097元/平"
岱岳区 联排别墅 上下三层 环境优美 配套齐全产权清晰,山和院子 -彩石溪,5室2厅 | 300平米 | 南 | 其他 | 3层  | 暂无数据 | 联排别墅 ,0人关注 / 17天以前发布,650,"21,667元/平"
西湖 崇信 别墅  花园洋房 新湖绿园,泰山新湖绿园 -岱岳区区委,6室2厅 | 420平米 | 南 北 | 其他 | 3层  | 暂无数据 | 双拼别墅 ,0人关注 / 29天以前发布,860,"20,477元/平"
带车位带配房，好楼层，正规三室，看房方便,苹果园小区 -体育中心,3室2厅 | 138平米 | 南 北 | 简装 | 低楼层(共23层)  | 板楼,0人关注 / 2个月以前发布,145,"10,508元/平"
墅质洋房 身份与地位象征 颐和院子 顶楼复式 观山露台,颐和院子 -宝龙城,3室2厅 | 153平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 板楼,0人关注 / 18天以前发布,325,"21,242元/平"
好楼层四室两厅两卫！ 有配房 龙湖公园里 泰汶景区,龙湖公园里 -徐家楼,4室2厅 | 134平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 17天以前发布,107.9,"8,053元/平"
华侨城 三室 南北双阳台 有钥匙 城东电梯房 任性装修,泰山华侨城 -小井,3室2厅 | 112平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 16天以前发布,97.8,"8,733元/平"
运舟小区 3室2厅 南 北,运舟小区 -南湖公园,3室2厅 | 80平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 15天以前发布,110,"13,750元/平"
泰山区恒大城 精装三室 朝阳户型,恒大城 -高铁新区,3室2厅 | 127平米 | 南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 18天以前发布,105,"8,268元/平"
御泉大院 6层电梯洋房 好楼层 带双车位 博文近,御泉大院 -红门,3室2厅 | 129平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 14天以前发布,359.8,"27,892元/平"
贵和天外上璟  电梯房  三室   好楼层,贵和 · 天外上璟 -泰安市委,3室2厅 | 119平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 16天以前发布,340,"28,572元/平"
仁和佳园 2室2厅 南,仁和佳园 -宝龙城,2室2厅 | 86.14平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,0人关注 / 11天以前发布,115,"13,351元/平"
志高国际对过国土局宿舍 一楼带活院 院子外有停车位,泰安市国土资源局宿舍 -宝龙城,3室1厅 | 80.44平米 | 南 北 | 毛坯 | 低楼层(共5层)  | 暂无数据,0人关注 / 12天以前发布,150,"18,648元/平"
中天雅和居 带阁楼，精装修 有配房 房产证满五,中天雅和居 -宝龙城,3室2厅 | 127.6平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 12天以前发布,218,"17,085元/平"
东岳大街北 单位宿舍 体育场西  三室  位置好,索道公司宿舍 -体育中心,3室2厅 | 121平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 15天以前发布,108,"8,926元/平"
精装三室 好楼层 前无遮挡  高铁 良辰美景,中达开元首府 -高铁新区,3室1厅 | 100平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 12天以前发布,84,"8,400元/平"
繁华地段，天悦府福佳斯 精装修好楼层集暖停车方便,福佳斯•天悦府 -南湖公园,2室2厅 | 102平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 11天以前发布,102,"10,000元/平"
南关大街 轴承厂宿舍 一楼带院 集中供暖 配套齐全,轴承厂宿舍 -南关,2室1厅 | 62.18平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 17天以前发布,61.8,"9,939元/平"
恒地乐活小镇 2室2厅 南 北,恒地乐活小镇 -方特大区,2室2厅 | 85平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 3天以前发布,90,"10,589元/平"
恒大城 精装修 带储藏室 高铁 爱琴海 泰安老街,恒大城 -高铁新区,4室2厅 | 159平米 | 南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 15天以前发布,145,"9,120元/平"
泰安技师学院教工宿舍楼一楼带院3-2-1-1 93.00m²,泰安技师学院教工宿舍楼 -宝龙城,3室2厅 | 93平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 11天以前发布,176,"18,925元/平"
金星 低楼层精装修 三室一厅 有十平米的露台 带储藏室,金星环卫宿舍 -南关,3室1厅 | 60平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 10天以前发布,60,"10,000元/平"
唐訾路 岱银宿舍 两室南北通透 停车方便 凤凰小区东岳,岱银集团职工宿舍区 -小井,2室1厅 | 69.3平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 10天以前发布,65,"9,380元/平"
