标题,开发商,房子信息,发布信息,售价/万,单价
青年路碱泉街兵二日月星光地暖电梯复式采光好人车分流,日光小区 -青年路,4室3厅 | 234.2平米 | 南 北 | 简装 | 高楼层(共13层)  | 板楼,12人关注 / 一年前发布,178,"7,601元/平"
长春路万达御园印象 电梯房两室 2室2厅 产证全可按揭,御园印象 -高新万达,2室2厅 | 82.68平米 | 南 北 | 简装 | 低楼层(共19层)  | 板楼,1人关注 / 一年前发布,72,"8,709元/平"
满五唯一无抵押无贷款多层四楼精装修三室两厅住在公园,龙润西湖小镇 -儿童村,3室2厅 | 100.86平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,103,"10,213元/平"
房子采光好，户型也不错，楼层适中居住度舒适,日光小区 -青年路,3室2厅 | 117.46平米 | 西 东 | 简装 | 中楼层(共13层)  | 板塔结合,3人关注 / 一年前发布,105,"8,940元/平"
荷兰小镇1期....5楼.多层南北通透91,荷兰小镇一期 -天汇汽车城,3室2厅 | 91.45平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,4人关注 / 6个月以前发布,53.8,"5,883元/平"
新天润三室蓝郡 大三室的 采光好,新天润三期蓝郡 -新天润,3室2厅 | 132.29平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,5人关注 / 一年前发布,100,"7,560元/平"
荷兰小镇一期 多层三室 带地下室 带阳台,荷兰小镇一期 -天汇汽车城,3室2厅 | 94.37平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,54,"5,723元/平"
距吾悦300米，小区正对59小，户型方正三室双卫,会展蓝湾 -红光山,3室2厅 | 143.11平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板楼,6人关注 / 一年前发布,125,"8,735元/平"
单位家属院 房子公摊小 交通便利,碧海云居 -王家梁,3室2厅 | 133平米 | 东 | 简装 | 高楼层(共27层)  | 塔楼,0人关注 / 6个月以前发布,110,"8,271元/平"
瑞祥苑，南北朝向，户型方正，出行方便,瑞祥苑 -南湖广场,3室2厅 | 137.3平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,89,"6,483元/平"
双宇博格达城精装大三室  产证在手房主急售,双宇博格达城 -天汇汽车城,3室2厅 | 145.9平米 | 南 | 精装 | 低楼层(共17层)  | 塔楼,0人关注 / 一年前发布,87.8,"6,018元/平"
三室 业主急卖 纯毛坯 新房 友好 高铁片区 新北园春,人大住宅 -西山,3室2厅 | 121.85平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,115,"9,438元/平"
交通便利   停车方便   商圈成熟   业主诚心出售,御园世家 -美居,3室1厅 | 97.1平米 | 南 北 | 精装 | 低楼层(共18层)  | 塔楼,8人关注 / 一年前发布,85,"8,754元/平"
出售翰林精装三室，南北通透，采光充足，视野宽阔钥匙,翰林尚苑 -碱泉街,3室2厅 | 110平米 | 南 北 | 精装 | 低楼层(共15层)  | 板楼,4人关注 / 一年前发布,109,"9,910元/平"
南湖广场 电梯高层 阳光绿岛 125平米3室 板楼南北通透,阳光绿岛小区 -南湖广场,3室2厅 | 125.17平米 | 南 北 | 简装 | 高楼层(共26层)  | 板楼,0人关注 / 3个月以前发布,135,"10,786元/平"
呈信铂晶湾 3室2厅 南 北,呈信铂晶湾 -创新广场,3室2厅 | 120.72平米 | 南 北 | 简装 | 低楼层(共30层)  | 板楼,14人关注 / 一年前发布,126,"10,438元/平"
宜品家春秋 精装大两室136平 单价5800,宜品家春秋 -油运司,2室2厅 | 136平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,18人关注 / 一年前发布,78,"5,736元/平"
房子是南北，采光好吧，三室两厅，价格便宜哦,泰琇小区 -油运司,3室2厅 | 101.11平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,59.8,"5,915元/平"
出售，荷兰小镇一期，三室，多层二楼，简单装修,荷兰小镇一期 -天汇汽车城,3室2厅 | 99.93平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,65,"6,505元/平"
中间楼层，南北通透，全明标准户型,质监佳苑 -长春路,3室2厅 | 118.61平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,11人关注 / 一年前发布,95.8,"8,077元/平"
变电小区河北路上海大厦旁华润万家,送变电高层小区 -长春路,3室2厅 | 133.18平米 | 南 北 | 简装 | 中楼层(共25层)  | 暂无数据,0人关注 / 10个月以前发布,110,"8,260元/平"
标户两室两厅，采光好，通透性好，居住舒适,金泰小区 -油运司,2室2厅 | 79.5平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,52.5,"6,604元/平"
房主急售红光山一龙半岛花园洋房价格便宜带地下车位,一龙半岛 -未知商圈,3室2厅 | 145.28平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 塔楼,10人关注 / 一年前发布,140,"9,637元/平"
商贸城 地 王旁，低楼层，儿室，小区环境好，南北通透,邮区中心局住宅小区 -未知商圈,2室2厅 | 80.48平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,62,"7,704元/平"
城市花园小区 3室2厅 南 北,城市花园小区 -珠江路,3室2厅 | 76.72平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,2人关注 / 5个月以前发布,68,"8,864元/平"
友好商圈  友好冷库 汇珉园好房出售 空户 随时看房,汇珉园 -友好,3室2厅 | 105.68平米 | 东 西 | 简装 | 高楼层(共14层)  | 板楼,6人关注 / 一年前发布,110,"10,409元/平"
出售美居长春路友好商场旁三室两厅两卫,绿苑雅筑 -美居,3室2厅 | 113平米 | 西 | 简装 | 低楼层(共20层)  | 板楼,2人关注 / 4个月以前发布,104,"9,204元/平"
荷兰小镇一期多层99平南北通透三室两厅一卫产证在手,荷兰小镇一期 -天汇汽车城,3室2厅 | 99.93平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,52.8,"5,284元/平"
美居商圈 三室两卫精品房源出售 业主急 卖,博雅居 -新市区,3室2厅 | 135.64平米 | 南 北 | 简装 | 低楼层(共12层)  | 暂无数据,7人关注 / 一年前发布,129.8,"9,570元/平"
出售日光精装三室，一梯两户，南北通透，视野宽阔,日光小区 -青年路,3室2厅 | 113.72平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,26人关注 / 一年前发布,96,"8,442元/平"
青年路优诗美地一期别墅简单装修户型好位置好采光充足,优诗美地一期 -青年路,5室2厅 | 283.85平米 | 南 北 | 简装 | 4层  | 暂无数据,2人关注 / 一年前发布,418,"14,727元/平"
经开万达    中建幸福里南区,中建幸福里南区 -秦郡,3室2厅 | 102.89平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,93,"9,039元/平"
水区 南湖 映象南湖 电梯小高层 三室 精装 壁挂炉,映象南湖 -南湖广场,3室2厅 | 132.88平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 5个月以前发布,131.8,"9,919元/平"
新市区 北京南路 鲤鱼山下通透 两居室,裕欣苑 -小西沟,2室1厅 | 77.79平米 | 东 西 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,52.3,"6,724元/平"
北京南路西单商场三室广安街275号独山子办事处,广安街275号 -铁路局,3室2厅 | 111.98平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,95,"8,484元/平"
高新政府旁！电梯通透三室！独立餐厅！客厅开间4.2米,国秀家园 -长春路,3室2厅 | 133平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,112,"8,422元/平"
新市区北京南路物资大院2局地铁口出现便利,物资大院 -新市区,2室1厅 | 69.31平米 | 东 西 | 简装 | 中楼层(共5层)  | 板楼,6人关注 / 9个月以前发布,45,"6,493元/平"
骑马山合和苑好房出售，南北向，户型采光好欲购从速,合和苑 -西山,3室2厅 | 138.62平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,3人关注 / 一年前发布,96,"6,926元/平"
小绿谷126坤盛园三室两厅一卫毛坯空户,坤盛园 -经开万达,3室2厅 | 130.53平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 暂无数据,2人关注 / 7个月以前发布,175,"13,407元/平"
2015年准新房 有钥匙 随时看房 诚意出售 空户口,中石华府 -医学院,3室2厅 | 111.83平米 | 东南 | 简装 | 中楼层(共30层)  | 塔楼,5人关注 / 7个月以前发布,120,"10,731元/平"
小区环境好，房子户型好，采光好，业主诚心出售。,自治区财政厅干部教育中心家属院 -未知商圈,3室2厅 | 97.93平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,4人关注 / 7个月以前发布,70,"7,148元/平"
华运小区 3室2厅 南 北,华运小区 -未知商圈,3室2厅 | 121.25平米 | 南 北 | 简装 | 高楼层(共6层)  | 平房,0人关注 / 5天以前发布,84.5,"6,970元/平"
空气清新，环境优美，高质量物业,绿城丁香花园 -水磨沟区,4室2厅 | 128.6平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 一年前发布,185,"14,386元/平"
水磨沟公园 绿城丁香花园二期 复式精装房带车位 出售,绿城丁香花园揽秀苑 -水磨沟公园,4室3厅 | 258.96平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,228,"8,805元/平"
华欣庄园小区 6室6厅 南 北,华欣庄园小区 -米东区,6室6厅 | 249平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,21人关注 / 一年前发布,102,"4,097元/平"
双宇博格达城 2室2厅 南 北,双宇博格达城 -天汇汽车城,2室2厅 | 92平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,2人关注 / 一年前发布,58.8,"6,392元/平"
荷兰小镇一期，多层三楼，户型方正，业主诚心出售,荷兰小镇一期 -天汇汽车城,3室2厅 | 93.49平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,55,"5,883元/平"
精装修好房，拎包入住，小区环境优美绿化很好,二号台公务员小区C区 -西站,3室1厅 | 110平米 | 南 北 | 精装 | 高楼层(共22层)  | 暂无数据,22人关注 / 一年前发布,69,"6,273元/平"
美居花田电影小镇 商流苑122.34平 电梯3居室,商流苑 -美居,3室2厅 | 122.34平米 | 南 | 简装 | 低楼层(共11层)  | 板塔结合,7人关注 / 一年前发布,94.5,"7,725元/平"
振荣小区 3室2厅 南 北,振荣小区 -大湾,3室2厅 | 131.86平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 11天以前发布,118,"8,949元/平"
保利林语 A区前排位置好  联排别墅中间户 随时看房,保利西山林语 -西山,5室1厅 | 367平米 | 南 北 | 毛坯 | 低楼层(共2层)  | 板楼,2人关注 / 5个月以前发布,358,"9,755元/平"
南北通透 标准户型 楼层好 采光好 精装修 可拎包入住,盛大花园 -儿童村,3室2厅 | 154平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,105,"6,819元/平"
沙区经开万达旁格林威治城精装四室可拎包入住南北通透,格林威治城 -经开万达,4室2厅 | 164.48平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,9人关注 / 一年前发布,140,"8,512元/平"
水区城建开发品质大盘，172.69㎡精装三室出售,紫美雅和 -水磨沟公园,4室2厅 | 172.69平米 | 南 北 | 毛坯 | 高楼层(共9层)  | 暂无数据,0人关注 / 一年前发布,158,"9,150元/平"
日光小区 4室2厅 东 西,日光小区 -青年路,4室2厅 | 220平米 | 东 西 | 简装 | 高楼层(共13层)  | 板塔结合,0人关注 / 5个月以前发布,220,"10,000元/平"
北京南路家乐福钻石苑1楼复式带花园您值得拥有~,康普百信钻石苑 -小西沟,5室2厅 | 239.85平米 | 南 | 简装 | 低楼层(共7层)  | 平房,9人关注 / 一年前发布,190,"7,922元/平"
天山区青年路日月星光复式南北通透好房出售,月光小区 -青年路,5室2厅 | 211平米 | 南 北 | 简装 | 高楼层(共14层)  | 板楼,1人关注 / 6个月以前发布,158,"7,489元/平"
此房格局好，楼层佳，视野宽阔，采光充足,绿城百合公寓 -红光山,4室2厅 | 273平米 | 北 南 | 毛坯 | 中楼层(共4层)  | 板楼,10人关注 / 一年前发布,430,"15,751元/平"
御园世家 4室2厅 南,御园世家 -美居,4室2厅 | 207平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,173,"8,358元/平"
创博大厦，电梯高层，出行便利，配套齐全,创博大厦 -未知商圈,2室1厅 | 61.93平米 | 东 北 | 精装 | 中楼层(共23层)  | 暂无数据,0人关注 / 一年前发布,80,"12,918元/平"
北园春汇嘉园 小户型 68平米 南北朝向价格便宜,汇嘉园 -油运司,2室1厅 | 68.44平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,53,"7,745元/平"
鲤鱼山路 赛博特 56 美居 华兵 百商 河滩 花田小镇,御园世家 -美居,2室2厅 | 83.75平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,2人关注 / 8个月以前发布,77,"9,195元/平"
荷兰小镇83平米精装多层南北通透,荷兰小镇一期 -天汇汽车城,2室2厅 | 83.98平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,53.5,"6,371元/平"
友好 冷库 新城花园贸易公司家属院好房出售,贸易公司家属院 -友好,1室1厅 | 55.19平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,57.8,"10,473元/平"
新市区北京南路小西沟地铁口百信钻石苑电梯两室,康普百信钻石苑 -小西沟,2室2厅 | 89平米 | 南 北 | 简装 | 中楼层(共20层)  | 板楼,3人关注 / 一年前发布,90,"10,113元/平"
"南北通透，采光好，三室,纯毛坯.",双宇博格达城 -天汇汽车城,3室2厅 | 93.74平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 塔楼,0人关注 / 6个月以前发布,59.5,"6,348元/平"
商贸城  七一酱园  经一路 钱塘江路,汇珅园 -商贸城,2室2厅 | 66.16平米 | 西 | 简装 | 低楼层(共7层)  | 板塔结合,2人关注 / 一年前发布,60,"9,069元/平"
广晟园 环境好  户型好单人 或情,广晟园 -仓房沟,1室1厅 | 41.8平米 | 南 | 简装 | 7层  | 板塔结合,4人关注 / 一年前发布,30.1,"7,201元/平"
彩云名邸通透户型大四室采光*好,彩云名邸 -商贸城,4室2厅 | 167.08平米 | 南 | 毛坯 | 中楼层(共28层)  | 板塔结合,1人关注 / 一年前发布,230,"13,766元/平"
房子楼层比较好，采光和视野好，房子拎包入住,荷兰小镇二期 -天汇汽车城,3室2厅 | 83.35平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 8个月以前发布,56.5,"6,779元/平"
两室 高层六楼采光充足  户型通透,飞晟凯旋名苑 -天汇汽车城,2室2厅 | 87.52平米 | 南 | 精装 | 低楼层(共22层)  | 板楼,0人关注 / 一年前发布,57,"6,513元/平"
双宇77平高层6楼精装修拎包住报价48万房主诚心卖,双宇博格达城 -天汇汽车城,2室1厅 | 77.71平米 | 南 北 | 精装 | 中楼层(共10层)  | 塔楼,2人关注 / 一年前发布,47,"6,049元/平"
户型好，精装修出行方便，配套齐全。,万美雅居 -商贸城,2室2厅 | 107.63平米 | 西 | 精装 | 27层  | 塔楼,1人关注 / 4个月以前发布,140,"13,008元/平"
友好 海韵花园 118平米电梯小高层 精装修,海韵花园小区 -友好,3室2厅 | 118平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 9个月以前发布,159,"13,475元/平"
二毛 天毛三厂家属院 小两室 小区环境好方便看房,针织厂三厂家属院 -医学院,2室1厅 | 60平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,45,"7,500元/平"
明德路发改委家属院，2室2厅标户，停车方便,发改委家属院 -人民广场,2室2厅 | 95.96平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,105,"10,943元/平"
荷兰小镇一期多层82平方的户型房。,荷兰小镇一期 -天汇汽车城,2室2厅 | 82.6平米 | 西南 | 简装 | 中楼层(共6层)  | 塔楼,1人关注 / 一年前发布,52.5,"6,356元/平"
七一酱园友好满五唯一 2室采光好户型好,建机小区 -商贸城,2室1厅 | 63.26平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,5人关注 / 一年前发布,48,"7,588元/平"
南北通透格局，楼层好，布局好，采光好，全明户型,香缇苑 -天汇汽车城,3室2厅 | 108.04平米 | 南 北 | 简装 | 低楼层(共18层)  | 暂无数据,0人关注 / 8个月以前发布,60,"5,554元/平"
百乐苑106平方，6500/平方 ，拎包入住，精装修,百商百乐苑三期 -仓房沟,3室2厅 | 106.19平米 | 南 北 | 简装 | 高楼层(共6层)  | 平房,3人关注 / 一年前发布,67,"6,310元/平"
医学院县医院御园世家赛博特铁路局博时基金,御园世家 -美居,3室2厅 | 113.67平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,4人关注 / 一年前发布,108.8,"9,572元/平"
"小区环境好，两室，成熟,,医疗 娱乐 交通 一切齐全",马德里春天小区 -木材厂,2室2厅 | 84.45平米 | 南 北 | 简装 | 低楼层(共24层)  | 板楼,1人关注 / 一年前发布,79,"9,355元/平"
房龄新 单价总价低 业主诚售 南北通透 楼层光线好,中央郡 -油运司,3室2厅 | 93.6平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板楼,0人关注 / 9个月以前发布,108,"11,539元/平"
