标题,开发商,房子信息,发布信息,售价/万,单价
精装修3房 视野开阔 南北通透 省心省力省时间,香榭丽舍 -风景城邦商圈,3室1厅 | 98.62平米 | 南 北 | 精装 | 14层  | 板塔结合,0人关注 / 6天以前发布,83,"8,417元/平"
碧桂园凤凰城幸福里挑高公寓精装修,碧桂园凤凰城幸福里 -碧桂园凤凰城,2室2厅 | 53.62平米 | 南 | 精装 | 中楼层(共14层)  | 塔楼,9人关注 / 一年前发布,36,"6,714元/平"
楼层好，视野宽阔，采光充足，配套设施完整，交通便利,恒大雅苑 -宝华商圈,2室2厅 | 87.92平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 一年前发布,72,"8,190元/平"
泰达青筑 精装公寓 生活交通方便 户型方正,泰达青筑 -宝华商圈,1室1厅 | 30平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,26人关注 / 一年前发布,17,"5,667元/平"
S6轻轨黄梅站 刚需小两房 低楼层,黄梅新村西区 -碧桂园凤凰城,2室1厅 | 55平米 | 南 | 毛坯 | 中楼层(共7层)  | 塔楼,80人关注 / 一年前发布,27,"4,910元/平"
凤凰新村70平两室一卫 精装修 房东诚售50.8w 价格实惠,凤凰新村 -丹阳城区商圈,2室2厅 | 70平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,49.8,"7,115元/平"
好房只等有缘人 海会新村 两室 精装 采光刺眼,海会新村 -丹阳城区商圈,2室2厅 | 50平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,40.8,"8,160元/平"
丁卯商圈精装室拎包入住吾悦广场旁交通生活便利,远洋香奈河畔二期 -官塘商圈,2室1厅 | 76平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,24人关注 / 一年前发布,49,"6,448元/平"
好房只等有缘人 海会新村 两室 精装 采光刺眼,海会新村 -丹阳城区商圈,2室2厅 | 50平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,40.8,"8,160元/平"
采光充足，交通便利，随时看房，四房两厅一厨两卫。,魏玛花园 -区政府商圈,4室2厅 | 138.38平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,70,"5,059元/平"
急售柏丽湾大两房 拎包入住有钥匙 环境好,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,2室2厅 | 88平米 | 南 | 简装 | 低楼层(共31层)  | 塔楼,0人关注 / 2个月以前发布,55,"6,250元/平"
急售 满二 现代简约风新房，中楼层，采光好,天正理想城 -宝华商圈,2室2厅 | 74.29平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,5人关注 / 6个月以前发布,70.5,"9,490元/平"
此房屋满二，楼层适中，光线充足,碧桂园凤凰城·凤仪苑 -碧桂园凤凰城,2室2厅 | 89平米 | 南 | 简装 | 低楼层(共30层)  | 塔楼,16人关注 / 一年前发布,45,"5,057元/平"
万善园一村2楼 全新装修 全屋空调 全屋定制家具,万善园二村东区（万善园） -丹阳华南商圈,2室2厅 | 76平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,6人关注 / 一年前发布,71,"9,343元/平"
京东紫晶  精装修 采光好  看房提前联系  中间楼层,京东紫晶 -宝华商圈,1室1厅 | 41.55平米 | 北 | 精装 | 中楼层(共34层)  | 板塔结合,10人关注 / 一年前发布,24,"5,777元/平"
碧桂园凤凰城柏丽湾，诚心出售，离地铁口近。,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,2室2厅 | 89平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,27人关注 / 9个月以前发布,54,"6,068元/平"
国企泰达，精装单居室，户型格局好，有大露台,泰达青筑 -宝华商圈,1室1厅 | 22平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,80人关注 / 一年前发布,13,"5,910元/平"
户型朝南 空间宽敞 阳光充足 改善房,世茂花园 -句容市区,2室2厅 | 88平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,4人关注 / 一年前发布,60,"6,819元/平"
此房 满二 无抵押 小区环境优美,碧桂园凤凰城翰林湾 -碧桂园凤凰城,2室1厅 | 88平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,21人关注 / 一年前发布,50.5,"5,739元/平"
交通便利环境优美， 纯毛坯房， 自己的房子自己设计。,碧桂园凤凰城 -碧桂园凤凰城,2室2厅 | 88平米 | 南 | 毛坯 | 低楼层(共29层)  | 塔楼,36人关注 / 一年前发布,47,"5,341元/平"
一房一厅一厨一卫，精装住宅性质单室套,碧桂园凤凰城幸福里 -碧桂园凤凰城,1室1厅 | 55平米 | 南 | 精装 | 高楼层(共25层)  | 塔楼,0人关注 / 2个月以前发布,43,"7,819元/平"
格局好，采光充足，大阳台，急售！！！,碧桂园凤凰城幸福里 -碧桂园凤凰城,2室2厅 | 87.24平米 | 南 | 精装 | 低楼层(共25层)  | 塔楼,2人关注 / 1个月以前发布,52,"5,961元/平"
毛坯三房高楼层小高层采光充足户型方正小区环境佳,远洋香奈城三期 -官塘商圈,3室2厅 | 110平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 板塔结合,1人关注 / 一年前发布,83,"7,546元/平"
金色阳光 简单装修 两房两厅一卫 有钥匙看房方便,金色阳光 -风景城邦商圈,2室2厅 | 88.3平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,16人关注 / 一年前发布,50,"5,663元/平"
实际面积不到90平方房主急卖换房,碧桂园华东科技新城 -碧桂园凤凰城,2室1厅 | 51.82平米 | 北 | 精装 | 中楼层(共19层)  | 塔楼,96人关注 / 9个月以前发布,23,"4,439元/平"
凤仪苑70年产权 住宅式公寓 已满2年,碧桂园凤凰城·凤仪苑 -碧桂园凤凰城,1室1厅 | 51平米 | 北 | 精装 | 高楼层(共29层)  | 塔楼,2人关注 / 3个月以前发布,25,"4,902元/平"
电梯洋房，诚心出售，价格可谈 ，,玉兰花园二期和园 -宝华商圈,3室2厅 | 93.89平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,10人关注 / 一年前发布,50,"5,326元/平"
招商国际E城 精装修 公寓 楼层好，阳光足，视野开阔,招商国际E城 -宝华商圈,2室2厅 | 71.04平米 | 东南 | 精装 | 高楼层(共23层)  | 塔楼,16人关注 / 一年前发布,40.2,"5,659元/平"
南徐精装修山景新房 中yang空调 全屋地暖 鸟瞰南山,中南银城樾府 -南徐商圈,3室2厅 | 101.35平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,1人关注 / 4个月以前发布,156,"15,393元/平"
恒大雅苑  楼层好 满2年 看房方便  视野开阔,恒大雅苑 -宝华商圈,4室2厅 | 175平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,8人关注 / 一年前发布,135,"7,715元/平"
仙林东   双地铁口 万达茂商圈  刚需好房,花山人家 -宝华商圈,3室2厅 | 101.1平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,12人关注 / 8个月以前发布,52,"5,144元/平"
丁卯简装，配套齐全，交通便利，有库,世纪名门 -丁卯商圈,2室1厅 | 95平米 | 南 北 | 简装 | 中楼层(共17层)  | 板塔结合,5人关注 / 一年前发布,67,"7,053元/平"
新房刚交付，楼龄新，小区品质高，采光无遮挡通风好,融创悦秀园 -丁卯商圈,3室2厅 | 126.6平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,185,"14,613元/平"
万科蓝山精装观景大三房全明采光前后无挡各付价格,万科蓝山 -南山商圈,3室2厅 | 121.79平米 | 南 北 | 精装 | 中楼层(共31层)  | 暂无数据,9人关注 / 10个月以前发布,117,"9,607元/平"
实惠，人民广场旁多层2楼精装三房没怎么住，拎包即住,永安新城家园西区 -区政府商圈,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,4人关注 / 一年前发布,85,"7,204元/平"
象山花园四期 3室2厅 南,象山花园四期 -红豆购物广场商圈,3室2厅 | 100平米 | 南 | 毛坯 | 中楼层(共20层)  | 暂无数据,3人关注 / 7个月以前发布,55,"5,500元/平"
镇江2022年4月26日后网签的首套房补贴80%的契税,中南公园物语 -红豆购物广场商圈,3室2厅 | 105.06平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 塔楼,0人关注 / 6个月以前发布,102,"9,709元/平"
象山花园四期 3室2厅 南,象山花园四期 -红豆购物广场商圈,3室2厅 | 100平米 | 南 | 毛坯 | 中楼层(共20层)  | 暂无数据,3人关注 / 7个月以前发布,55,"5,500元/平"
品牌家电精装修，好楼层，业主换房诚意出售43万可谈,瑞鑫嘉园 -大港新区,2室1厅 | 85平米 | 南 | 精装 | 中楼层(共25层)  | 塔楼,6人关注 / 一年前发布,42,"4,942元/平"
高楼层采光好，视野开阔，生活交通方便，有车库,南苑新村 -青年广场商圈,3室2厅 | 134.61平米 | 南 | 简装 | 中楼层(共8层)  | 板塔结合,3人关注 / 一年前发布,90,"6,686元/平"
港中新村中高层 85平 南北通风 采光佳 证满税少,港中新村四区 -大港新区,2室2厅 | 85平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,10人关注 / 4个月以前发布,24,"2,824元/平"
桃园新村 3室1厅 南,桃园新村 -三茅宫商圈,3室1厅 | 71平米 | 南 | 简装 | 低楼层(共4层)  | 板塔结合,1人关注 / 6个月以前发布,50,"7,043元/平"
万科蓝山一楼带花园，东边户，前后无遮挡，采光充足,万科蓝山 -南山商圈,3室1厅 | 122.97平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,2人关注 / 3个月以前发布,126,"10,247元/平"
精装一级品牌家电家具，配储藏室，,山泽园 -象山街办,3室1厅 | 111.86平米 | 南 北 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 3个月以前发布,101,"9,030元/平"
魏玛花园  精装房 拎包入住 港中门对门,魏玛花园 -区政府商圈,3室1厅 | 109平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,90,"8,257元/平"
朱方路209号 3室1厅 东南,朱方路209号 -三茅宫商圈,3室1厅 | 127.67平米 | 东南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,109,"8,538元/平"
美的城一区100平精装修现房东急售，价格看中可谈。,美的城 -市政府商圈,3室2厅 | 100平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,3人关注 / 1个月以前发布,89,"8,900元/平"
楼层好 全天采光 精装拎包入住 市口好,旭辉时代城 -青年广场商圈,4室2厅 | 143平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,1人关注 / 8个月以前发布,140,"9,791元/平"
急售 东边户 楼层好 户型方正 配套设施齐全 交通便利,天正理想城 -宝华商圈,4室1厅 | 120平米 | 南 | 毛坯 | 中楼层(共34层)  | 塔楼,2人关注 / 2个月以前发布,88,"7,334元/平"
仙林东  万达茂东  四季金辉精装修,四季金辉 -宝华商圈,3室1厅 | 87.2平米 | 南 | 简装 | 高楼层(共33层)  | 塔楼,5人关注 / 2个月以前发布,69,"7,913元/平"
画意江南138平 精装3房 带大露台 3开朝南,画意江南 -风景城邦商圈,3室2厅 | 138平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,9人关注 / 8个月以前发布,84,"6,087元/平"
美的城3区 3房2厅2卫 双阳台 全新装修 带地暖,美的城三区 -市政府商圈,3室2厅 | 119.37平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,13人关注 / 9个月以前发布,116,"9,718元/平"
中冶方正格局南北通透全明户型三房两卫改善刚需,万科沁园二期 -南徐商圈,3室2厅 | 132平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,0人关注 / 3个月以前发布,150,"11,364元/平"
南徐万科润园花园电梯洋房大两房婚装南北通透,万科润园 -南徐商圈,2室2厅 | 87平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,5人关注 / 7个月以前发布,99,"11,380元/平"
南徐板块，万科品质住宅，户型方正，生活配套齐全,万科沁园二期 -南徐商圈,3室2厅 | 119平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,1人关注 / 5个月以前发布,129,"10,841元/平"
凤熹台3-2-1-2 123.72m² 121.8 万,凤熹台 -丹阳华南商圈,3室2厅 | 123.72平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 10个月以前发布,117.8,"9,522元/平"
仙林东  万达茂东    恒大雅苑精装修,恒大雅苑 -宝华商圈,2室2厅 | 89平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,5人关注 / 8个月以前发布,72,"8,090元/平"
成熟小区 交通便利 新装未住 采光也很好,红星牡丹园 -万达商圈,2室1厅 | 90平米 | 南 北 | 精装 | 低楼层(共15层)  | 板塔结合,1人关注 / 1个月以前发布,98,"10,889元/平"
中营街一楼带院子朝南两房 院子大概20平 采光没有遮挡,中营街 -大市口商圈,2室1厅 | 62平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,0人关注 / 29天以前发布,97,"15,646元/平"
仓巷  装修清爽 生活方便配套齐全,仓巷 -大市口商圈,2室1厅 | 60.19平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 31天以前发布,93,"15,452元/平"
泰达公寓  朝南阳光好 视野好 楼层好 好出租,泰达青筑 -宝华商圈,1室1厅 | 30平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,26人关注 / 一年前发布,18.2,"6,067元/平"
九华山庄，优质房源，配套完善，交通便利,九华山庄芳庭苑 -南山商圈,1室1厅 | 60.2平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼,9人关注 / 一年前发布,33,"5,482元/平"
精装小两房  位置好出行方便  看房方便,宝华花园 -宝华商圈,2室1厅 | 60平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 3个月以前发布,39,"6,500元/平"
金山水城B区 2室1厅 南,金山水城B区 -金山商圈,2室1厅 | 58平米 | 南 | 毛坯 | 11层  | 板塔结合,10人关注 / 6个月以前发布,35,"6,035元/平"
黄梅新村精装单室套，家具家电打包,黄梅新村中区 -碧桂园凤凰城,2室1厅 | 55平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,15人关注 / 一年前发布,33,"6,000元/平"
一室一厅精装修拎包入住家具家电齐全,美林湾五区 -丁卯商圈,1室1厅 | 53.58平米 | 南 | 精装 | 低楼层(共16层)  | 板塔结合,10人关注 / 8个月以前发布,29,"5,413元/平"
凤仪70年产权小户型业主急售 业主诚心出售 价格可谈,碧桂园凤凰城·凤仪苑 -碧桂园凤凰城,1室1厅 | 50.38平米 | 北 | 精装 | 中楼层(共29层)  | 塔楼,3人关注 / 1个月以前发布,26,"5,161元/平"
翰林百米地铁交通方便视野开阔前后无遮挡采光十足,碧桂园凤凰城翰林湾 -碧桂园凤凰城,2室1厅 | 88平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,4人关注 / 6个月以前发布,52,"5,910元/平"
毛坯 房东急售 有钥匙 看房方便 可自主装修,臻岳君庭 -青年广场商圈,2室2厅 | 108平米 | 南 | 毛坯 | 低楼层(共12层)  | 板塔结合,2人关注 / 11个月以前发布,63,"5,834元/平"
黄梅新村两房朝南，户型好，总价低,黄梅新村西区 -碧桂园凤凰城,2室1厅 | 55平米 | 南 | 精装 | 低楼层(共7层)  | 塔楼,8人关注 / 一年前发布,34,"6,182元/平"
满两年。精装修，地铁口。拎包入住,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,2室2厅 | 89.63平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,5人关注 / 8个月以前发布,52,"5,802元/平"
（确实很便宜）悠然居55平急售27万钥匙在店随时可看,悠然居 -市政府商圈,1室1厅 | 55.5平米 | 南 | 毛坯 | 低楼层(共15层)  | 板塔结合,6人关注 / 3个月以前发布,27,"4,865元/平"
采光充足，配套设施齐全，交通便利，位置靠江苏大学,学林雅郡 -学府路商圈,1室1厅 | 35.66平米 | 南 | 简装 | 高楼层(共15层)  | 塔楼,1人关注 / 1个月以前发布,20,"5,609元/平"
万科蓝山 精装交付 楼层可 户型可,万科蓝山 -南山商圈,2室2厅 | 82.64平米 | 东 | 精装 | 高楼层(共34层)  | 板塔结合,65人关注 / 一年前发布,73,"8,834元/平"
益华广场推荐好房出售，好的楼层，喜欢的赶紧联系我吧,益华广场 -大港新区,1室1厅 | 46平米 | 南 | 简装 | 中楼层(共17层)  | 塔楼,0人关注 / 2个月以前发布,19.8,"4,305元/平"
金山水城A区 2室1厅 南,金山水城A区 -金山商圈,2室1厅 | 83平米 | 南 | 精装 | 低楼层(共9层)  | 板塔结合,2人关注 / 3个月以前发布,57,"6,868元/平"
楼层适中阳光好，有库房，小花园,黄梅新村中区 -碧桂园凤凰城,2室2厅 | 89平米 | 南 | 毛坯 | 高楼层(共7层)  | 板塔结合,8人关注 / 7个月以前发布,34.5,"3,877元/平"
凤鸣苑两房满二税少业主诚心出售,碧桂园凤凰城 -碧桂园凤凰城,2室2厅 | 88平米 | 南 | 精装 | 低楼层(共29层)  | 塔楼,4人关注 / 一年前发布,50,"5,682元/平"
别墅小区环境好，好楼层视野好，阳台见山一览别墅群。,香山壹境 -宝华商圈,2室2厅 | 71.76平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,52,"7,247元/平"
碧桂园凤凰城翰林湾 2室1厅 南,碧桂园凤凰城翰林湾 -碧桂园凤凰城,2室1厅 | 96.46平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,2人关注 / 1个月以前发布,63,"6,532元/平"
格局好 配套设施齐全 交通便利 成熟小区,2077运河印象 -丁卯商圈,1室1厅 | 49.75平米 | 南 | 精装 | 中楼层(共24层)  | 暂无数据,0人关注 / 7个月以前发布,30.6,"6,151元/平"
大市口  红旗三中 新装 永安路 地段繁华,永安路 -大市口商圈,2室0厅 | 32.12平米 | 东南 | 精装 | 低楼层(共4层)  | 暂无数据,0人关注 / 1个月以前发布,48.8,"15,194元/平"
视野开阔，采光充足，配套设施相当完善，交通便利 。,金山水城B区 -金山商圈,2室1厅 | 58.07平米 | 南 | 简装 | 11层  | 板塔结合,1人关注 / 1个月以前发布,39,"6,717元/平"
华东科技新城，地铁口，业主诚心出售,碧桂园华东科技新城 -碧桂园凤凰城,1室1厅 | 55平米 | 南 北 | 精装 | 高楼层(共19层)  | 塔楼,19人关注 / 一年前发布,24,"4,364元/平"
楼层好，采光充足，配套设施完整，交通便利,仙林悦城 -宝华商圈,2室2厅 | 67.3平米 | 南 | 简装 | 高楼层(共33层)  | 塔楼,1人关注 / 1个月以前发布,51,"7,579元/平"
