标题,开发商,房子信息,发布信息,售价/万,单价
安德门商圈 银城物业 交通便利 楼层采光无遮挡,时光澔韵 -小行,3室2厅 | 113.54平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,5人关注 / 2个月以前发布,420,"36,992元/平"
满五年且唯一 精装两房 房主诚心出售,天润城第十六街区北区 -桥北,2室1厅 | 86.51平米 | 南 | 其他 | 中楼层(共32层)  | 板塔结合,1人关注 / 22天以前发布,156,"18,033元/平"
次顶楼采光好精装修品牌家具家电,银亿东城第九街区 -麒麟镇,2室1厅 | 76.68平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,1人关注 / 18天以前发布,155,"20,214元/平"
满五年 唯一 配套完善 交通便利 低起点,台园 -南苑,1室1厅 | 41.48平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 30天以前发布,120,"28,930元/平"
镇江路 虎踞北路 一楼大院子 阳光好 交通便利,镇江路 -挹江门,2室1厅 | 48.87平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,2人关注 / 27天以前发布,158,"32,331元/平"
公园式小区 精装拎包入住 人车分流 弘阳物业,弘阳旭日上城二区 -桥北,3室1厅 | 138.27平米 | 南 北 | 其他 | 高楼层(共34层)  | 板楼,1人关注 / 24天以前发布,358,"25,892元/平"
好房在售   五台花园   户型方正    大四房,五台花园 -华侨路,4室2厅 | 127.23平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,5人关注 / 29天以前发布,827,"65,001元/平"
江北新区旭日上城一区全明双卫大三房诚心出售,弘阳旭日上城一区 -桥北,3室2厅 | 127.09平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,265,"20,852元/平"
此房满五唯一，房龄新，小区环境好，视野好，交通便利,天安恒隆花园 -升州路,3室2厅 | 122.39平米 | 南 北 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 19天以前发布,630,"51,475元/平"
万和源居 地铁口 采光好 精装修,万和源居 -万达广场,3室2厅 | 133.9平米 | 南 | 简装 | 高楼层(共26层)  | 板塔结合,2人关注 / 20天以前发布,535,"39,956元/平"
此房满二，户型方正南北通透，高楼层视野好，业主诚售,正荣润峯 -奥南,4室2厅 | 143.41平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,2人关注 / 20天以前发布,835,"58,225元/平"
树人 金陵湾 精装3房 满3年 诚心出售 不占用 采光好,恒盛金陵湾 -定淮门大街,3室2厅 | 121.65平米 | 南 | 精装 | 中楼层(共51层)  | 板塔结合,6人关注 / 30天以前发布,725,"59,598元/平"
常府街 新街口商圈  中间楼层  房主诚心卖,小火瓦巷 -新街口,3室1厅 | 67.82平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,2人关注 / 31天以前发布,375,"55,294元/平"
河西仁恒江景房 精装三房自住保养好 高楼层视野采光好,仁恒江湾城一期 -奥体,3室2厅 | 138.08平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 25天以前发布,848,"61,414元/平"
仁恒江湾城品质 视野开阔 精装修保养如新,仁恒江湾城二期 -奥体,3室2厅 | 153平米 | 南 | 其他 | 中楼层(共32层)  | 板楼,8人关注 / 26天以前发布,950,"62,092元/平"
卫桥新村 带大院子  苜蓿园交通便利 停车方便好房,卫桥新村 -月牙湖,2室1厅 | 67.39平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,6人关注 / 19天以前发布,268,"39,769元/平"
树人 金陵湾 精装3房 满3年 诚心出售 不占用 采光好,恒盛金陵湾 -定淮门大街,3室2厅 | 121.65平米 | 南 | 精装 | 中楼层(共51层)  | 板塔结合,6人关注 / 30天以前发布,725,"59,598元/平"
南湖 集庆门大街 省二中医院旁 中楼层东边户 采光好,安泰村 -南苑,2室1厅 | 49.04平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 23天以前发布,158,"32,219元/平"
武定新村黄房子 满五年唯一  户型方正 业主诚心,武定新村 -秦虹,3室2厅 | 84.5平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,0人关注 / 18天以前发布,285,"33,728元/平"
古平岗电梯房 精装 有车位 全明户型,古平岗小区 -龙江,2室1厅 | 67.84平米 | 东 北 | 其他 | 中楼层(共24层)  | 板楼,2人关注 / 17天以前发布,180,"26,534元/平"
雨花安德门 精装修 楼层好 采光无遮挡 近河西双地铁,金蕊家苑 -安德门,2室1厅 | 88.68平米 | 南 北 | 其他 | 高楼层(共10层)  | 板楼,3人关注 / 23天以前发布,305,"34,394元/平"
鼓楼滨江 一期世茂滨江 希尔顿酒店旁 一线江景无挡,世茂滨江新城 -热河南路,4室2厅 | 161.96平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,5人关注 / 18天以前发布,699,"43,159元/平"
俯瞰小区园林景观 视野开阔 2019年居家精装 光线十足,天启花园 -凤凰西街,3室1厅 | 143.91平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,3人关注 / 21天以前发布,850,"59,065元/平"
此房满五年唯一，南北通，全明房型，小区中间,天润城第六街区 -桥北,2室1厅 | 93.35平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 22天以前发布,138,"14,784元/平"
旭日上城经典三居室 大开间 通透采光 看房方便,弘阳旭日上城一区 -桥北,3室2厅 | 109.41平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,2人关注 / 26天以前发布,226,"20,657元/平"
三房 南北，户型方正，边户，采光视野好，诚心卖房,澄园 -南苑,2室2厅 | 78平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 24天以前发布,285,"36,539元/平"
五老村 西安门 常府街地铁站 天同苑 04年商品房带电梯,天同苑 -瑞金路,4室2厅 | 162.88平米 | 东南 南 | 其他 | 中楼层(共21层)  | 塔楼,1人关注 / 18天以前发布,445,"27,321元/平"
01年商品房带阁楼 带固定车位 有地下室 满五年唯一,发园 -南苑,3室1厅 | 86.48平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,12人关注 / 30天以前发布,258,"29,834元/平"
采光视野好 一层两户 家装 户型方正 南北通透,天润城第五街区 -桥北,3室2厅 | 130.05平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 19天以前发布,215,"16,533元/平"
中航四房 房龄新 环境好 带院子 看房方便,中航樾府 -百家湖,4室2厅 | 125.63平米 | 南 北 | 精装 | 低楼层(共14层)  | 板楼,1人关注 / 24天以前发布,490,"39,004元/平"
免个税，银城和汇文，电梯高楼层，非顶楼，全明东边户,金舟花园 -龙江,3室2厅 | 104.1平米 | 南 | 其他 | 高楼层(共9层)  | 板塔结合,3人关注 / 25天以前发布,565,"54,275元/平"
满五唯一，精装修，采光不遮挡，业主诚心出售,天润城第十六街区北区 -桥北,3室2厅 | 130.01平米 | 南 西 北 | 精装 | 低楼层(共32层)  | 板塔结合,1人关注 / 17天以前发布,220,"16,922元/平"
泰山新村 快速路旁  浦东花园通透大三房 双卫,浦东花园 -泰山街道,3室2厅 | 132.03平米 | 南 | 其他 | 中楼层(共9层)  | 板楼,0人关注 / 15天以前发布,199,"15,073元/平"
楼层好 小区中间 南北通透 阳光炸裂,挪威森林 -将军大道,3室2厅 | 125.2平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,2人关注 / 19天以前发布,365,"29,154元/平"
银龙花园 双南一北 小区中间 总价低  带地下室 急卖,银龙花园一期南区 -月牙湖,3室1厅 | 86.58平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,2人关注 / 25天以前发布,186,"21,484元/平"
江北新区盘城新居 刚需两房 楼层好采光好 出门公交站,盘城新居 -浦口其它,2室2厅 | 84.69平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,3人关注 / 23天以前发布,99,"11,690元/平"
吾悦广场旁 蓝光公园一号 电梯洋房 精装4房  换房诚售,蓝光公园1号 -板桥,4室2厅 | 140.64平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 20天以前发布,408,"29,011元/平"
莫愁湖畔，地铁口，电梯大三房，精装修,莫园新寓 -水西门,3室2厅 | 110.09平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 28天以前发布,389,"35,335元/平"
装修好，满五年，楼层采光很好，业主诚心卖,银城东苑毓秀苑 -卫岗,3室2厅 | 103.72平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,1人关注 / 29天以前发布,518,"49,943元/平"
地铁口 百家湖旁 正规三室 边户 满五年 精装修 急,高尔夫国际花园 -百家湖,3室1厅 | 103.03平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,3人关注 / 27天以前发布,316,"30,671元/平"
含产权车位 开发商装修 位置静 价格能谈 保养新,藏龙御景 -九龙湖,3室1厅 | 139.42平米 | 南 北 东 | 其他 | 低楼层(共28层)  | 板楼,3人关注 / 20天以前发布,438,"31,416元/平"
此房双卧朝南，楼层好，采光好，,汉中门大街3号 -汉中门大街,3室1厅 | 101.56平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 26天以前发布,340,"33,478元/平"
一期 中高楼层少有户型东边户 三南 婚装未住 即将满二,中海燕矶听潮 -燕子矶,3室2厅 | 106.69平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,1人关注 / 16天以前发布,439,"41,148元/平"
鼓楼主城区和会街中间楼层精装修三房,和会街 -三牌楼,3室1厅 | 76.37平米 | 南 北 | 其他 | 中楼层(共9层)  | 板楼,2人关注 / 21天以前发布,272,"35,617元/平"
近地铁 改善双卫飞机户型一梯一户 居家装修 满五唯一,威尼斯水城第八街区 -桥北,3室2厅 | 141.17平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,5人关注 / 19天以前发布,234,"16,576元/平"
北区中间位置精装修大三房 双阳台 飞机户型 采光好,托乐嘉吉邻居 -将军大道,3室2厅 | 145.51平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,3人关注 / 18天以前发布,468,"32,163元/平"
江北新区盘城新居 刚需两房 楼层好采光好 出门公交站,盘城新居 -浦口其它,2室2厅 | 84.69平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,3人关注 / 23天以前发布,99,"11,690元/平"
楼层好 小区中间 南北通透 阳光炸裂,挪威森林 -将军大道,3室2厅 | 125.2平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,2人关注 / 19天以前发布,365,"29,154元/平"
集庆门大街 商品房 双南户型 视野佳业主诚售 看房方便,云河湾 -南湖,2室2厅 | 86.91平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,3人关注 / 16天以前发布,378,"43,494元/平"
近地铁 改善双卫飞机户型一梯一户 居家装修 满五唯一,威尼斯水城第八街区 -桥北,3室2厅 | 141.17平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,5人关注 / 19天以前发布,234,"16,576元/平"
地铁口大三房，飞机户无浪费面积，采光好,欧陆经典花园 -百家湖,3室2厅 | 125.51平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,9人关注 / 30天以前发布,325,"25,895元/平"
和燕路恒基金满庭精装修的3房中上楼层采光好,恒基金满庭 -小市,3室2厅 | 103.71平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,4人关注 / 17天以前发布,410,"39,534元/平"
地铁口 朝东采光无遮挡 精装修,君临国际 -华侨路,1室1厅 | 33.36平米 | 东 | 精装 | 中楼层(共44层)  | 塔楼,0人关注 / 18天以前发布,108,"32,375元/平"
鼓楼 精装 低密度洋房 业主诚售 闹中取静  万科物业,万科红郡 -红山,4室2厅 | 178.32平米 | 南 北 | 简装 | 低楼层(共8层)  | 板塔结合,47人关注 / 8个月以前发布,890,"49,911元/平"
顶跃好房  空中花园 精装修 一级采光 诚心出售,云锦美地合锦苑 -南湖,4室2厅 | 142.2平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,39人关注 / 4个月以前发布,469,"32,982元/平"
建邺河西奥体大街郦城御园叠墅精装,郦城御园 -奥体,6室2厅 | 319.26平米 | 南 | 精装 | 下叠(共4层)  | 板楼 | 叠拼别墅 ,76人关注 / 一年前发布,1680,"52,622元/平"
虎踞北路 察哈尔路 金城花园 商品房 顶跃 低总价,金城花园 -挹江门,5室2厅 | 124.44平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,22人关注 / 6个月以前发布,280,"22,501元/平"
大四房两卫  满五唯一   精装修  交通方便 湖景房,翠岛花城荷田苑 -宁南,4室2厅 | 190.92平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,3人关注 / 1个月以前发布,660,"34,570元/平"
百家湖湖景 电梯房 顶跃 带露台 一梯两户,枫情家园 -百家湖,4室2厅 | 207.02平米 | 南 | 其他 | 高楼层(共12层)  | 板塔结合,13人关注 / 3个月以前发布,519,"25,071元/平"
此房满五唯一户型南北通透采光好业主诚心卖房,阅城国际花园悠然园 -宁南,4室2厅 | 147.25平米 | 南 北 | 精装 | 高楼层(共10层)  | 板塔结合,6人关注 / 2个月以前发布,688,"46,724元/平"
岔路口南方花园 顶跃带露台 有储藏室固定车位交通便利,南方花园C组团 -岔路口,3室2厅 | 125.04平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 31天以前发布,260,"20,794元/平"
地铁口精装大复式  3个大露台  多个卧室  空中别墅,威尼斯水城第十一街区 -桥北,6室2厅 | 246.46平米 | 东 南 西 北 | 其他 | 高楼层(共32层)  | 塔楼,2人关注 / 1个月以前发布,450,"18,259元/平"
河西万达 集庆门大街地铁站 品质小区 满五年唯一,金地名京 -湖西街,1室1厅 | 43.82平米 | 东 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 15天以前发布,165,"37,655元/平"
满五唯一 80平车库+100平大露台 精装修拎包住 房龄新,湖滨世纪花园 -百家湖,4室2厅 | 195.07平米 | 南 北 | 精装 | 低楼层(共2层)  | 板楼,202人关注 / 一年前发布,510,"26,145元/平"
成熟商圈 配套完善 生活便利 采光佳,积善新寓睦和园 -万达广场,4室2厅 | 101.12平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,54人关注 / 一年前发布,289,"28,580元/平"
精装两房，有地暖、采光无遮挡，小区环境好,凤凰西街152号 -凤凰西街,2室1厅 | 78.56平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 26天以前发布,390,"49,644元/平"
小两房 精装修 一号线地铁  70年产权 带燃气,同曦新贵之都 -百家湖,2室1厅 | 46.34平米 | 东 | 精装 | 中楼层(共16层)  | 塔楼,4人关注 / 31天以前发布,113,"24,385元/平"
太平南路222号 2室0厅 东,太平南路222号 -新街口,2室0厅 | 52.7平米 | 东 | 简装 | 低楼层(共7层)  | 板塔结合,0人关注 / 25天以前发布,249,"47,249元/平"
2016年婚装 诚心出售 中高楼层 采光通风好两卧室+书房,阳光聚宝山庄 -樱驼花园,2室2厅 | 99.23平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 21天以前发布,290,"29,226元/平"
春江新城鸿觉坊 2室1厅 南,春江新城鸿觉坊 -铁心桥,2室1厅 | 61.38平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 25天以前发布,172,"28,023元/平"
低总价两房 视野开阔 采光充足 双地铁,润泰花园 -桥北,2室1厅 | 72.92平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,3人关注 / 22天以前发布,120,"16,457元/平"
业主诚心出售看中能谈楼层好采光好配套齐房龄新,小杨村小区 -五老村,2室1厅 | 53.6平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 30天以前发布,175,"32,650元/平"
香溢紫郡花园 精装修 满五年唯一 环境优美 物业贴心,新城香溢紫郡 -高新区,2室2厅 | 78.9平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,2人关注 / 30天以前发布,152,"19,265元/平"
精装修，保养好，满五唯一，看房方便，采光无遮挡,天润城第十六街区北区 -桥北,2室2厅 | 89.73平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 21天以前发布,165,"18,389元/平"
解放门 科利华满五年鸡鸣寺采光佳,解放门 -玄武门,2室1厅 | 52.82平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 29天以前发布,344,"65,127元/平"
朋友诚心出售 带储藏室  楼层好,天景山公寓春秀苑 -东山镇,2室1厅 | 65.84平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 16天以前发布,135,"20,505元/平"
新上二期 三开间朝南 全新装修 别墅视野 拎包入住,银城蓝溪郡 -正方新城,3室2厅 | 88.34平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 25天以前发布,148,"16,754元/平"
龙湖北宸星座挑高公寓，户型方正，通风采光十足。,龙湖北宸星座 -高新区,2室2厅 | 34平米 | 北 | 精装 | 高楼层(共20层)  | 板楼,1人关注 / 27天以前发布,66,"19,412元/平"
竹山路武夷绿洲两房，中间楼层满五年唯一，有储藏室,武夷绿洲观竹苑 -科学园,2室1厅 | 65.87平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 19天以前发布,188,"28,542元/平"
店长推荐 精装修带暖气有车位 全明采光好带储藏室,金盛公寓 -岔路口,2室2厅 | 72.77平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,5人关注 / 27天以前发布,186,"25,560元/平"
弘阳时光里，复式跳高，中间楼层，采光好，近地铁,弘阳时光里一区 -高新区,2室2厅 | 61.86平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,3人关注 / 21天以前发布,166,"26,835元/平"
珠江路  一枝园  两房精装修 拎包入住 户型方正,一枝园小区 -长江路,2室1厅 | 49.63平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 20天以前发布,239,"48,157元/平"
