标题,开发商,房子信息,发布信息,售价/万,单价
开元上府高品质精装洋房 证过二 带产权子母车位带负一,开元上府 -新闻大厦,4室2厅 | 233.94平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 1个月以前发布,369,"15,774元/平"
精装 小三室 带车位 证过二年 好楼层,荣盛•沂河馨苑A区 -锦绣外滩,3室2厅 | 85.72平米 | 南 北 | 精装 | 高楼层(共16层)  | 板塔结合,4人关注 / 9个月以前发布,83,"9,683元/平"
华润西向 两室毛坯 新交房 便宜出,华润中心公寓 -二中,2室1厅 | 83.08平米 | 西 | 毛坯 | 高楼层(共39层)  | 暂无数据,9人关注 / 4个月以前发布,47,"5,658元/平"
华信国际   精装两室   南北通透,华信国际 -沂水县,2室2厅 | 89平米 | 南 北 | 简装 | 低楼层(共27层)  | 暂无数据,0人关注 / 2个月以前发布,54,"6,068元/平"
万科新都会顶复单独大露台好位置诚心出售看房方便,鲁商万科新都会 -伦达国贸城,4室2厅 | 191平米 | 南 | 毛坯 | 高楼层(共14层)  | 暂无数据,0人关注 / 4个月以前发布,150,"7,854元/平"
翡翠园环境优美适宜居住的好地方,致远翡翠园 -大学城,3室2厅 | 140.58平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,19人关注 / 一年前发布,143,"10,173元/平"
颐高上海街 70年产权 精装两室 复式 证过二 看房方便,颐高上海街二期 -北城-实验中学,2室1厅 | 87.04平米 | 东 | 精装 | 高楼层(共23层)  | 板楼,34人关注 / 一年前发布,97,"11,145元/平"
滨河新天地精装两室证过二全天采光,滨河新天地 -北城-北城人民医院,2室1厅 | 82.5平米 | 南 | 简装 | 中楼层(共30层)  | 塔楼,0人关注 / 3个月以前发布,75,"9,091元/平"
涑河国际城河景房  证过二 刚需自住两室 首付13W,涑河·国际城A区 -前十街,2室1厅 | 68.88平米 | 南 | 精装 | 中楼层(共22层)  | 板楼,1人关注 / 3个月以前发布,65,"9,437元/平"
滨河大道 解放路 永恒华府 证过二 2室 精装修 户型好,交运永恒华府 -新东关,2室1厅 | 80平米 | 西北 | 精装 | 低楼层(共35层)  | 塔楼,1人关注 / 1个月以前发布,70,"8,750元/平"
旭洋城市风景  经典一室   方正小房子,旭洋城市风景 -人民广场,1室1厅 | 45.44平米 | 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,38人关注 / 一年前发布,33,"7,263元/平"
印刷小区，靠万阅城，颐华苑，人民广场,印刷小区 -人民广场,1室0厅 | 25.68平米 | 东 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 1个月以前发布,31,"12,072元/平"
大两室，楼层好，诚信出售 随时看房,怡和国际 -火车站,2室2厅 | 82.09平米 | 南 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 8个月以前发布,53,"6,457元/平"
滨河边 外滩香格里拉 精装 1东向观河，70年住宅,外滩香格里拉小区 -东方不夜城,1室1厅 | 50平米 | 东 | 精装 | 中楼层(共29层)  | 板塔结合,0人关注 / 1个月以前发布,34,"6,800元/平"
金雀新城精装未住，全明户型 好楼层，采光充足，,金雀新城 -新闻大厦,1室1厅 | 59.07平米 | 北 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 1个月以前发布,60,"10,158元/平"
万兴都1室1厅 初中   十二中 家门口就是三小,万兴都公寓 -新东关,1室1厅 | 54.93平米 | 南 | 精装 | 低楼层(共29层)  | 塔楼,2人关注 / 1个月以前发布,39,"7,100元/平"
沂龙湾慧园 人车分离 两室朝阳 中间楼层,沂龙湾慧园 -北城-实验中学,2室1厅 | 90.18平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,10人关注 / 4个月以前发布,109,"12,087元/平"
急售环球香樟园精装小一室好楼层采光好双气地暖大产权,环球·香樟园 -北城-鲁商中心,1室1厅 | 48平米 | 南 | 简装 | 低楼层(共24层)  | 板楼,1人关注 / 6个月以前发布,50,"10,417元/平"
温馨小公寓南向一室一厅大落地窗，格局户型很好,深莞城 -火车站,2室1厅 | 65平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,34人关注 / 一年前发布,23,"3,539元/平"
精装装修的很现代风格大家进去看都可以,致远翡翠传奇 -双月湖公园,1室1厅 | 44.82平米 | 西 西北 北 | 简装 | 低楼层(共18层)  | 板楼,15人关注 / 一年前发布,25,"5,578元/平"
永恒华府 小两室户型好 有证可抵款 可上学 可以看河景,交运永恒华府 -新东关,2室1厅 | 49平米 | 北 | 毛坯 | 中楼层(共35层)  | 塔楼,47人关注 / 一年前发布,49,"10,000元/平"
户型周正，干净明亮。楼层位置好，阳光充足。,富利湾 -王羲之故居,1室0厅 | 41平米 | 南 | 简装 | 高楼层(共5层)  | 板塔结合,1人关注 / 3个月以前发布,15,"3,659元/平"
沂景华庭一室公寓70年大产权诚心出售,沂景华庭 -东方不夜城,1室1厅 | 35平米 | 北 | 简装 | 低楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,20,"5,715元/平"
通达路 涑河畔 五重园林 精装两室,恒大中央广场 -隆达客运站,2室2厅 | 96.84平米 | 南 | 精装 | 高楼层(共40层)  | 板楼,0人关注 / 3个月以前发布,89,"9,191元/平"
房子 是东向 精装修 拎包入住  看房提前联系,银座中心 -和谐广场,1室1厅 | 40.23平米 | 东 | 精装 | 低楼层(共27层)  | 塔楼,3人关注 / 3个月以前发布,51,"12,678元/平"
"汇通大润发 70年产权 生活方便 ,视野好，采光好",汇通大润发广场 -东方不夜城,1室1厅 | 62平米 | 南 | 精装 | 低楼层(共29层)  | 塔楼,0人关注 / 1个月以前发布,45,"7,259元/平"
金泰公寓精装修  出行方便交通 便利,金泰公寓 -前十街,1室0厅 | 26平米 | 东 南 | 精装 | 中楼层(共29层)  | 塔楼,1人关注 / 2个月以前发布,14,"5,385元/平"
大成郡 精装两室 好楼层 带储藏室  诚意卖 随时看房,阜丰大成郡 -北城-沂龙湾大桥,2室2厅 | 83平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,6人关注 / 4个月以前发布,80,"9,639元/平"
华信国际   精装  契税过二,华信国际 -沂水县,2室2厅 | 89平米 | 南 | 精装 | 低楼层(共27层)  | 暂无数据,11人关注 / 8个月以前发布,55,"6,180元/平"
精装修，证过二，视野宽阔，好楼层,爱琴海(兰山区) -北城-沂龙湾大桥,2室1厅 | 78平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,2人关注 / 3个月以前发布,79,"10,129元/平"
三合院三室两厅，便宜45万，好楼层,三合园 -平安路,3室2厅 | 103平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 1个月以前发布,45,"4,369元/平"
颐高上海街二期 精装两室证过二看房方便 诚心出售,颐高上海街二期 -北城-实验中学,2室2厅 | 70平米 | 西 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 一年前发布,89,"12,715元/平"
万象汇旁 复式两层公寓 真是没谁了 急售急售急售！,华润中心公寓 -二中,2室1厅 | 41平米 | 西 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,29.8,"7,269元/平"
位于沂州路与考棚街的便宜房子，免费停车。,朝阳小区(兰山区) -新东关,2室1厅 | 59.15平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,46,"7,777元/平"
景城花园1-1-311----是多层三楼，步行梯，,史丹利景城花园 -沂水县,1室1厅 | 31.33平米 | 北 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 3个月以前发布,13.8,"4,405元/平"
焦庄佳园，鲁班公司开发的商品房,鲁班·焦莊佳園 -火车站,2室1厅 | 90.57平米 | 南 北 | 简装 | 中楼层(共28层)  | 板塔结合,1人关注 / 4个月以前发布,68,"7,509元/平"
镇委家属院 两室 69平 看房提前联系,镇委南家属院 -沂水县,2室1厅 | 69.41平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,42.6,"6,138元/平"
环球国际东向精装修两室，好楼层证过二,环球国际 -北城-实验中学,2室1厅 | 69.83平米 | 东 北 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 5个月以前发布,83,"11,887元/平"
环球香樟园 精装70年一室 证过二 随时看房子！,环球·香樟园 -北城-鲁商中心,1室1厅 | 45.23平米 | 南 | 精装 | 低楼层(共24层)  | 塔楼,1人关注 / 5个月以前发布,51,"11,276元/平"
宝丽未来城 精装三室，全明户型，视野宽阔，采光充足,宝丽未来城 -火车站,3室2厅 | 110平米 | 南 | 简装 | 高楼层(共30层)  | 塔楼,0人关注 / 2个月以前发布,70,"6,364元/平"
北园华府精装三室 东边户 带车位南边通透拎包即可入住,北园华府 -东方不夜城,3室1厅 | 116.72平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 1个月以前发布,138,"11,824元/平"
泰美花园 六楼  上学 方便 大两室,泰美花园 -北城-长沙路西片区,2室1厅 | 67平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,9人关注 / 一年前发布,42,"6,269元/平"
临沂大学宿舍区南  两室一厅一厨一卫    证过二,临沂大学南宿舍区南 -二中,2室1厅 | 72平米 | 南 | 简装 | 低楼层(共4层)  | 板楼,0人关注 / 1个月以前发布,62,"8,612元/平"
北城二期万城花开精装三室带家具家电房东诚心出售,万城花开 -北城-长沙路西片区,3室2厅 | 125平米 | 南 北 | 精装 | 低楼层(共20层)  | 塔楼,358人关注 / 9个月以前发布,114,"9,120元/平"
1梯1户2卫 免费车位  两室朝阳  客厅朝阳,意林公馆 -北城-沂龙湾大桥,3室1厅 | 108平米 | 南 北 | 简装 | 高楼层(共33层)  | 板楼,5人关注 / 2个月以前发布,118,"10,926元/平"
罗庄，南北通透，大阳台，过五唯一，广场位置,美华金地嘉园 -双月湖公园,3室2厅 | 132平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,73,"5,531元/平"
杏坛文化城， 好户型 ，全天采光，证过二省税费,杏坛中心城 -北城-实验中学,3室2厅 | 141平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,1人关注 / 1个月以前发布,187,"13,263元/平"
证过二急卖汀香郡 视野不遮挡河景房 精装未住有车库,汀香郡 -北城-临沂第三十五中,4室2厅 | 146平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,260,"17,809元/平"
青年宜居 简装三室 采光好 经济适用房 上学便利,青年宜居 -北城-长沙路东区,3室1厅 | 90.91平米 | 北 南 | 简装 | 低楼层(共17层)  | 板塔结合,28人关注 / 10个月以前发布,65,"7,150元/平"
1梯1户2卫 免费车位  两室朝阳  客厅朝阳,意林公馆 -北城-沂龙湾大桥,3室1厅 | 108平米 | 南 北 | 简装 | 高楼层(共33层)  | 板楼,5人关注 / 2个月以前发布,118,"10,926元/平"
罗庄，南北通透，大阳台，过五唯一，广场位置,美华金地嘉园 -双月湖公园,3室2厅 | 132平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,73,"5,531元/平"
临沂大学宿舍区南  两室一厅一厨一卫    证过二,临沂大学南宿舍区南 -二中,2室1厅 | 72平米 | 南 | 简装 | 低楼层(共4层)  | 板楼,0人关注 / 1个月以前发布,62,"8,612元/平"
安泰金升华府 115平精装 沂蒙路旁 报价150万,安泰金升华府 -北城-长沙路西片区,3室2厅 | 115平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 3个月以前发布,139,"12,087元/平"
老城位置，小三室好户型，价格合适业主诚心出售,旭洋城市风景 -人民广场,3室2厅 | 94.5平米 | 南 | 精装 | 高楼层(共12层)  | 板塔结合,0人关注 / 2个月以前发布,156,"16,508元/平"
双月湖公园，证满五年过户省，大产权三室两厅，带车库,美华金地嘉园 -双月湖公园,3室2厅 | 159平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,7人关注 / 6个月以前发布,75,"4,717元/平"
户型方正，全天无遮挡 精装修三室，房子受看。,致远翡翠传奇 -双月湖公园,3室2厅 | 123平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,75,"6,098元/平"
环球丹桂园 精品小高层 经典三室 精装修 带产权车位,环球丹桂园 -北城-五洲湖,3室2厅 | 92平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,20人关注 / 6个月以前发布,165,"17,935元/平"
颐华苑小区 证过五 省税 近人民广场 大润发 泰盛,颐华苑小区 -人民广场,3室1厅 | 109.81平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 1个月以前发布,110,"10,018元/平"
白鹭金岸电梯洋房，精装未住，证过二，带储藏室，急售,金昌白鹭金岸普罗旺斯 -青啤广场,3室1厅 | 115平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,128,"11,131元/平"
位置好 人民医院 万兴都 交通方便,水利局家属院 -新东关,3室1厅 | 117.41平米 | 南 北 | 简装 | 中楼层(共6层)  | 塔楼,1人关注 / 8个月以前发布,123,"10,477元/平"
高品质万科新都会现房顶复洋气楼层价格可议,鲁商万科新都会 -伦达国贸城,4室2厅 | 176平米 | 南 北 | 精装 | 高楼层(共13层)  | 暂无数据,1人关注 / 一年前发布,150,"8,523元/平"
此房精装修带车位，交通便利。业主诚意卖,鲁商金悦城 -平安路,3室2厅 | 117.8平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,1人关注 / 1个月以前发布,106,"8,999元/平"
急 售！翡翠传奇电梯 精装修 中间楼层 带储藏室,致远翡翠传奇 -双月湖公园,2室2厅 | 103.88平米 | 南 | 简装 | 中楼层(共21层)  | 板塔结合,10人关注 / 11个月以前发布,49,"4,717元/平"
天河景苑 3室 带车位 带21平左右储藏室 诚心出售,天河景苑 -北城-北城人民医院,3室2厅 | 139平米 | 南 | 简装 | 低楼层(共17层)  | 板楼,2人关注 / 3个月以前发布,170,"12,231元/平"
泰和花园，一楼，精装，带大车库,泰和花园 -河东妇幼保健院,3室2厅 | 127.03平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,81,"6,377元/平"
精装三室   户型方正 采光充足,恒通佳园 -北城-北城人民医院,3室2厅 | 104.93平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,1人关注 / 2个月以前发布,88,"8,387元/平"
翔宇生活广场，解放路蓝田步行街，小高层,翔宇生活广场 -兰田步行街,4室2厅 | 179.47平米 | 南 北 | 简装 | 低楼层(共11层)  | 平房,3人关注 / 4个月以前发布,178,"9,919元/平"
三江领秀 前排 精装三室 证过二 急售 随时看房,翔宇三江领秀 -河东吾悦广场,3室2厅 | 140.69平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,11人关注 / 8个月以前发布,125,"8,885元/平"
急售！青啤早安时区 精致三室  全明户型 客厅通阳台,青啤早安时区 -青啤广场,3室1厅 | 88平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,69,"7,841元/平"
金桂园 罗六路好位置 证过二好楼层120平带车库,金桂园(罗六路) -双月湖公园,3室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 4个月以前发布,79,"6,584元/平"
证已过二 精装修  随时过户 好楼层,天基黄金水岸 -人民公园,3室1厅 | 98.74平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,140,"14,179元/平"
今年12月份证过二  精装修  好楼层 房东诚意卖,伊丽莎白东岸 -东夷文化园,3室2厅 | 113.83平米 | 南 北 | 精装 | 高楼层(共9层)  | 板塔结合,1人关注 / 4个月以前发布,96,"8,434元/平"
小区是滨河万人社区，环境优美，容积低,新东关新凤苑 -新东关,3室2厅 | 205.92平米 | 南 北 | 简装 | 低楼层(共31层)  | 板塔结合,18人关注 / 一年前发布,135,"6,556元/平"
荣盛凯恩花园  证过二 业主急售,荣盛·凯恩花园 -东方不夜城,3室2厅 | 113平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,13人关注 / 4个月以前发布,101,"8,939元/平"
银凤陶瓷家属院小三室好楼层房产证已满两年省过户费,山东银凤陶瓷集团家属院 -罗庄陶瓷城,3室1厅 | 64平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,29,"4,532元/平"
御山河电梯洋房 好楼层 南北透透的户型 急售,御山河 -东夷文化园,3室2厅 | 128.95平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 1个月以前发布,106,"8,221元/平"
70大产权  户型方正  罗庄区大产权房  湖南崖,美华金地嘉园 -双月湖公园,3室2厅 | 110平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,13人关注 / 7个月以前发布,39.9,"3,628元/平"
名仕雅苑3居精装低楼层证过二可贷款房东急售,名仕雅苑 -沂河实验小学,3室2厅 | 105平米 | 北 | 精装 | 低楼层(共11层)  | 板楼,7人关注 / 4个月以前发布,63,"6,000元/平"
证过二，采光好，好楼层，好户型，着急出售,金昌白鹭金岸普罗旺斯 -青啤广场,3室2厅 | 115.2平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,118,"10,244元/平"
百年国企 7层电梯洋房  楼层好 南北通透 采光充足,青啤早安时区 -青啤广场,3室2厅 | 121.91平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 8个月以前发布,93,"7,629元/平"
