标题,开发商,房子信息,发布信息,售价/万,单价
高新佳园三期丨中间楼层丨单价4000多丨本满二丨首付16,高新佳园三期 -高新区,3室2厅 | 126.71平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,53,"4,183元/平"
户型方正，无增值税，看房方便。,左岸新城 -高新区,3室2厅 | 119.36平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板塔结合,16人关注 / 一年前发布,66.9,"5,605元/平"
高新一路南北通透的，现房中间楼层，即买即装。,东方文苑 -高新区,3室1厅 | 137.06平米 | 南 北 | 简装 | 低楼层(共25层)  | 板塔结合,0人关注 / 3个月以前发布,78,"5,691元/平"
高新大道旁 品质电梯房  宽敞大三室  143平 64万满二,蘭亭雅居 -高新区,3室2厅 | 142.18平米 | 南 北 | 毛坯 | 高楼层(共21层)  | 板塔结合,6人关注 / 一年前发布,61,"4,291元/平"
宝平路 精装修两室 南北通透 拎包入住 业主急售,凌云·锦绣新城 -群众路,2室1厅 | 92.64平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,44,"4,750元/平"
桥南  滨河南路 五楼 大三室 精装  南北全明 带双阳台,滨河南路2号院 -桥南,3室2厅 | 127.12平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,36,"2,832元/平"
桥南精装大三室可拎包入住是一个美好的居住,景宏名园 -桥南,3室2厅 | 126.33平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 11个月以前发布,53.8,"4,259元/平"
桥南火炬路精装大三室看房方便无大税,万祥臻品 -桥南,3室2厅 | 140.16平米 | 南 北 | 简装 | 低楼层(共18层)  | 塔楼,1人关注 / 10个月以前发布,55,"3,925元/平"
渭水苑 小高层 一梯两户 南北通风 户型好 交通便利,渭水苑B区 -高新区,3室2厅 | 135平米 | 南 北 | 简装 | 低楼层(共12层)  | 板塔结合,1人关注 / 3个月以前发布,71,"5,260元/平"
房子南北通透，户型正，交通便利,姜谭路7号院 -姜谭路,3室2厅 | 136.63平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,13人关注 / 一年前发布,36,"2,635元/平"
高新六路 东城国际 有本满二 可按揭 电梯中间 可看房,東城國際 -高新区,3室2厅 | 125.02平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 3个月以前发布,75.6,"6,048元/平"
桥南优势区域 精装修大三室南北通透全明户型 可按揭,绿舟小区 -桥南,3室2厅 | 147.71平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,18人关注 / 一年前发布,43,"2,912元/平"
该房屋在繁华路段，交通方便，实用面积大,宝鸡市盐业总公司住宅楼 -上马营,2室1厅 | 81.71平米 | 南 北 | 精装 | 7层  | 板楼,0人关注 / 一年前发布,38.3,"4,688元/平"
联盟路 电梯 3室2厅2卫 精装修 出售,轩苑世家Ⅱ期 -陈仓园,3室2厅 | 124.01平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,76,"6,129元/平"
联盟大桥周  边 两室房源低价出售，河堤公园旁,陈仓园铁路住宅A区 -陈仓园,2室1厅 | 72.85平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 7个月以前发布,21,"2,883元/平"
此房视野好，楼层好，采光充足，交通方便，南北通透。,恒源小区 -大庆路,2室2厅 | 102平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,2人关注 / 11个月以前发布,41.9,"4,108元/平"
宏文路  紧缺三室 毛坯 盛世花园 看房有钥匙,盛世花园 -大庆路,3室2厅 | 142平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板楼,20人关注 / 一年前发布,65,"4,578元/平"
业主诚心出售，地段好，可拎包入住,七一七总队西院 -大庆路,2室2厅 | 95.52平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 7个月以前发布,43,"4,502元/平"
河景房精装修拎包入住中间楼层业主诚心出售,三迪加州阳光小区 -三迪,4室1厅 | 118.33平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,1人关注 / 7个月以前发布,82,"6,930元/平"
此房简单装修南北通透视野宽阔 配套完善 房本满五唯一,百翠园 -新福路,3室2厅 | 115.96平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,0人关注 / 4个月以前发布,63,"5,433元/平"
供电局家属院南区三室两厅一楼房子，适合养老。,宝鸡供电局家属院南区 -大庆路,3室2厅 | 97平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,5人关注 / 一年前发布,41.5,"4,279元/平"
银泰城.宝鸡大剧院.三室中间楼层.楼龄新户型好可按揭,东岭新时代二期 -陈仓园,3室2厅 | 125.21平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,77,"6,150元/平"
宝工厂小区 1室1厅 南 北,宝工厂小区 -新福路,1室1厅 | 55平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 1个月以前发布,11,"2,000元/平"
新福路繁华地段大三室 毛坯中间楼层 满二,豪城C天下 -新福路,3室2厅 | 134.35平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,60,"4,466元/平"
瑞丰上城 三室两厅 南北 精装修,瑞丰上城 -大庆路,3室2厅 | 115.79平米 | 南 北 | 精装 | 高楼层(共24层)  | 塔楼,3人关注 / 一年前发布,65,"5,614元/平"
大庆路繁华地段，低楼层拎包入住,雅典丽舍小区 -大庆路,2室2厅 | 91.08平米 | 东 西 | 简装 | 低楼层(共7层)  | 塔楼,6人关注 / 10个月以前发布,38.5,"4,228元/平"
市政府旁，三室两卫全明格局楼层好大阳台,枫露兰湾 -大庆路,3室2厅 | 113.46平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,20人关注 / 一年前发布,48,"4,231元/平"
.视野宽阔.采光充足.配套设施齐全，交通便利,宝鸡供电局东区家属院 -大庆路,2室2厅 | 106.95平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,29.8,"2,787元/平"
低价位，低首付，低楼层，能贷款。无大税,七一七总队西院 -大庆路,2室2厅 | 102.85平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,3人关注 / 11个月以前发布,45,"4,376元/平"
精装四居室 一楼带花园 无大税,三迪加州阳光小区 -三迪,4室2厅 | 163.72平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,34人关注 / 一年前发布,80.8,"4,936元/平"
陈仓园 两室 经典户型 低总价 可按揭,陈仓园铁路住宅B区 -陈仓园,2室1厅 | 71.94平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,5人关注 / 6个月以前发布,16.8,"2,336元/平"
斗鸡大庆路单位房大三居拎包入住！,宝鸡供电局东区家属院 -大庆路,3室2厅 | 122.46平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,13人关注 / 一年前发布,33,"2,695元/平"
此房源在世纪荟萃南边联盟6号住宅小区,联盟路6号院小区 -陈仓园,3室2厅 | 148.59平米 | 南 | 简装 | 13层  | 板楼,0人关注 / 3个月以前发布,76,"5,115元/平"
金台区  陈仓路   三室   中等装修,雅典丽舍小区 -大庆路,3室2厅 | 129.75平米 | 南 北 | 简装 | 中楼层(共7层)  | 塔楼,6人关注 / 一年前发布,50,"3,854元/平"
大庆路繁华地段精装修好楼层经典三室好房,盛世观邸 -三迪,3室2厅 | 136.54平米 | 南 北 | 精装 | 33层  | 板塔结合,7人关注 / 一年前发布,77,"5,640元/平"
斗鸡宏文路5楼总高6层南北通透可按揭急售,123号大院 -大庆路,2室2厅 | 104.29平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,28,"2,685元/平"
大庆路  电力新苑   三室一厅  简装,电力新苑 -大庆路,3室2厅 | 91.81平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,16人关注 / 一年前发布,29.9,"3,257元/平"
大庆路 经纬花园 2室  有钥匙 随时看 可贷款,经纬花园 -大庆路,2室1厅 | 75.24平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,29,"3,855元/平"
电梯小高层一梯两户，全明户型房本满二，,豪城天下F区 -新福路,2室2厅 | 100.98平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,48.5,"4,803元/平"
宏文路  紧缺三室 毛坯 盛世花园 看房有钥匙,盛世花园 -大庆路,3室2厅 | 142平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板楼,20人关注 / 一年前发布,65,"4,578元/平"
桥南优势区域 精装修大三室南北通透全明户型 可按揭,绿舟小区 -桥南,3室2厅 | 147.71平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,18人关注 / 一年前发布,43,"2,912元/平"
该房屋在繁华路段，交通方便，实用面积大,宝鸡市盐业总公司住宅楼 -上马营,2室1厅 | 81.71平米 | 南 北 | 精装 | 7层  | 板楼,0人关注 / 一年前发布,38.3,"4,688元/平"
宝十路中楼层，适合过渡，看房方便,宝鸡供电局家属院北区 -上马营,2室1厅 | 65.25平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,13.8,"2,115元/平"
宏文路大型小区优质经典两室好房,西建·康城 -大庆路,2室2厅 | 92.23平米 | 南 北 | 简装 | 中楼层(共6层)  | 塔楼,8人关注 / 一年前发布,40,"4,337元/平"
东高新 复 式 两房 满五年唯一 采光好视野无遮挡,阳光上东 -高新区,2室2厅 | 47.52平米 | 南 北 | 简装 | 中楼层(共16层)  | 板塔结合,0人关注 / 一年前发布,26.7,"5,619元/平"
高新繁华地段，环境优美，景观大阳台，大三室,水木清華 -高新区,3室2厅 | 116.18平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,68,"5,853元/平"
此房视野宽阔，采光充足，品质装修,三迪世纪新城白金汉 -三迪,3室2厅 | 123.75平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,70,"5,657元/平"
满五年且唯一产权清晰，无大税，税费少。房子空置..,渭水苑B区 -高新区,3室1厅 | 134.74平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 板楼,55人关注 / 一年前发布,53.5,"3,971元/平"
大庆路  繁华地段  多层中间楼层   2室房子,宝鸡供电局东区家属院 -大庆路,2室2厅 | 90.09平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,39,"4,330元/平"
大庆路繁华地段 凯旋城三室房源,凯旋城 -大庆路,3室2厅 | 128.64平米 | 南 | 简装 | 低楼层(共27层)  | 板塔结合,6人关注 / 一年前发布,69.5,"5,403元/平"
金台区 新福路 豪城天下一梯两户 温馨两居室 带露台,豪城天下B区 -新福路,2室2厅 | 87.26平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,35人关注 / 一年前发布,28.8,"3,301元/平"
南北通透户型，适合过度的年轻人,轴承厂家属院 -群众路,2室1厅 | 65.17平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,17.5,"2,686元/平"
高新广场 华厦世界城 三室 地段好,华厦·世界城 -高新区,3室2厅 | 110.29平米 | 南 北 | 简装 | 中楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,73,"6,619元/平"
高新八路 太谷桥头 高尔夫大两室 南北通透 业主急售,百合高尔夫印象小区 -高新区,2室1厅 | 97.82平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,41,"4,192元/平"
南北通透     一梯两户   大户型,团结花园A区 -大庆路,3室2厅 | 118.97平米 | 北 南 | 简装 | 低楼层(共7层)  | 板塔结合,7人关注 / 一年前发布,55,"4,624元/平"
业主诚心出售    精装！！！！！！！！！！！,东区CLASS -大庆路,4室2厅 | 166.23平米 | 北 南 | 简装 | 27层  | 塔楼,5人关注 / 一年前发布,76.8,"4,621元/平"
大庆路繁华地段精装修大三室房。,团结花园D区 -大庆路,3室2厅 | 128.47平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,60,"4,671元/平"
采光好，交通便利 小区绿化高，人车分流，配套齐全,东岭新时代二期 -陈仓园,3室2厅 | 136.91平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,2人关注 / 3个月以前发布,72,"5,259元/平"
东岭全明户型，大四室，精装修，河景房，拎包入住,东岭新时代二期 -陈仓园,4室2厅 | 145.96平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,20人关注 / 一年前发布,116,"7,948元/平"
上马营二号小区房子，出行方便安全,上马营二号小区 -上马营,2室2厅 | 96.53平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,7人关注 / 一年前发布,19.8,"2,052元/平"
业主急售新建路精装修三室住宅楼一套,天上人间都市花园 -火车站,3室2厅 | 130平米 | 南 北 | 简装 | 中楼层(共6层)  | 塔楼,1人关注 / 7个月以前发布,58,"4,462元/平"
宝铁华苑        独栋  一梯四户,宝铁华苑小区 -上马营,2室2厅 | 70平米 | 西 | 简装 | 7层  | 板楼,2人关注 / 一年前发布,28,"4,000元/平"
上马营优质小区    楼层好   地段佳   看房方便,宝铁华苑小区 -上马营,2室1厅 | 64.18平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 7个月以前发布,22,"3,428元/平"
业主诚心出售新建路精装修大三室住宅楼一套,滨河花园(渭滨区) -火车站,3室2厅 | 141平米 | 西北 | 简装 | 高楼层(共30层)  | 板塔结合,1人关注 / 8个月以前发布,59.9,"4,249元/平"
急售 急售 成本价格，华通，人民街旁！精装修,烟草小区 -火车站,2室1厅 | 66.06平米 | 南 北 | 简装 | 7层  | 板塔结合,1人关注 / 一年前发布,14.8,"2,241元/平"
要结婚了  买房  装修   此房可以一步到位,西建·康城 -大庆路,2室2厅 | 104.64平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,34人关注 / 一年前发布,40,"3,823元/平"
西铁斗鸡小区 2室2厅 南,西铁斗鸡小区 -大庆路,2室2厅 | 66.09平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,22.5,"3,405元/平"
此房南北通透，楼层低，大三室，采光好,测绘小区 -新福路,3室2厅 | 127.15平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 板楼,2人关注 / 一年前发布,56,"4,405元/平"
陈仓园二区 带楼台 2室 南北房 产权清晰看房方便，,陈仓园二区 -陈仓园,2室2厅 | 113.07平米 | 西南 | 简装 | 高楼层(共7层)  | 板楼,12人关注 / 一年前发布,37,"3,273元/平"
斗鸡繁华地段 多层2室 业主急售,西建·康城 -大庆路,2室2厅 | 92.23平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,4人关注 / 一年前发布,37,"4,012元/平"
楼层好 房子保干净 视野开阔 大型小区 环境优美,豪城天下F区 -新福路,2室2厅 | 84.64平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,44.3,"5,234元/平"
斗中路斗鸡ZHONGXUE家属院简装两室低价出售,斗鸡中学家属院 -大庆路,2室1厅 | 91平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,28,"3,077元/平"
业主急售 新福园 两室一厅 二楼 拎包住 南北通透,新福园二区 -新福路,2室1厅 | 74.66平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,30.5,"4,086元/平"
加州精装四室 南北通透中间楼层采光视野好！,三迪加州阳光小区 -三迪,4室2厅 | 118.72平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,7人关注 / 7个月以前发布,78,"6,571元/平"
大庆路 小三室 看房方便 简单装修,电力新苑 -大庆路,3室2厅 | 93.63平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,33,"3,525元/平"
大庆路繁华地段，房子户型方正，朝向好，南北通透,锦苑小区(金台区) -大庆路,2室2厅 | 102.14平米 | 南 北 | 简装 | 7层  | 板塔结合,1人关注 / 4个月以前发布,39.5,"3,868元/平"
宏文路 两室 中间楼层 首付10万 看房方便 价位可谈,经纬花园 -大庆路,2室1厅 | 67.76平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,16人关注 / 一年前发布,26,"3,838元/平"
业主诚心出售，地段好，可拎包入住,七一七总队西院 -大庆路,2室2厅 | 95.52平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 7个月以前发布,43,"4,502元/平"
小区内空间大绿化好，不临街安静，房子全明户型，,宝十路38号院 -上马营,3室1厅 | 116.99平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,103人关注 / 一年前发布,42.8,"3,659元/平"
上马营优质小区    楼层好   地段佳   看房方便,宝铁华苑小区 -上马营,2室1厅 | 64.18平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 7个月以前发布,22,"3,428元/平"
新建路中段   中间楼层   xuequfang出售,新建路西段2号院 -火车站,2室1厅 | 45.04平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,13.2,"2,931元/平"
一梯两户，明厨明卫，，生活交通便利,上马营二号小区 -上马营,2室2厅 | 88.55平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,26.8,"3,027元/平"
业主诚心出售新建路精装修大三室住宅楼一套,滨河花园(渭滨区) -火车站,3室2厅 | 141平米 | 西北 | 简装 | 高楼层(共30层)  | 板塔结合,1人关注 / 8个月以前发布,59.9,"4,249元/平"
