标题,开发商,房子信息,发布信息,售价/万,单价
金港静园，带20平大露台，精装2+1户型，业主诚心卖,金港静园 -路北区,2室1厅 | 97.52平米 | 南 北 | 精装 | 低楼层(共23层)  | 板楼,0人关注 / 29天以前发布,123,"12,613元/平"
开平西新苑 拎包入住 诚心出售 设施齐全,西新苑北区 -开平区,3室1厅 | 89平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,66,"7,416元/平"
唐城精装三室  水系花园  自住房 随时看,唐城·壹零壹 -路北区,3室1厅 | 126平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,7人关注 / 6个月以前发布,260,"20,635元/平"
龙泽悦府 毛坯的小房子 楼层不错 采光无遮挡,建华南里龙泽悦府 -路北区,3室2厅 | 109平米 | 南 北 | 其他 | 中楼层(共17层)  | 板楼,91人关注 / 一年前发布,90,"8,257元/平"
市政楼 一层 南北通大三居 有小院 有都地下室,唐山市政楼 -路北区,3室2厅 | 121平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,39人关注 / 一年前发布,176,"14,546元/平"
尚座 9层洋房 3室南北通 采光好 有地下室 不临街！,尚座花园 -路北区,3室2厅 | 139.52平米 | 南 北 | 简装 | 中楼层(共9层)  | 板楼,1人关注 / 1个月以前发布,200,"14,335元/平"
环境优雅，舒适，小区绿化多，挨着人民公园,雅颂居 -路北区,3室2厅 | 167.69平米 | 南 北 | 简装 | 中楼层(共29层)  | 板楼,24人关注 / 一年前发布,365,"21,767元/平"
二层！随时看！老本唯一！好户型！,光明西里甲区 -路北区,3室1厅 | 82平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,1人关注 / 1个月以前发布,145,"17,683元/平"
荣盛▪湖畔郦舍洪阳家园 3室2厅 南 北,荣盛▪湖畔郦舍洪阳家园 -丰南区,3室2厅 | 118.6平米 | 南 北 | 简装 | 中楼层(共26层)  | 暂无数据,7人关注 / 6个月以前发布,83,"6,999元/平"
河头里大三室，精装修，带家具家电,河头里 -丰南区,3室2厅 | 139平米 | 南 北 | 其他 | 中楼层(共25层)  | 板塔结合,0人关注 / 1个月以前发布,110,"7,914元/平"
万达商品区两居，全明户型，中间楼层，采光不受影响,万达广场F区 -路南区,2室1厅 | 89平米 | 南 | 其他 | 中楼层(共34层)  | 板楼,5人关注 / 一年前发布,110,"12,360元/平"
祥荣里小区 配套齐全 采光好层次好,祥荣里小区 -路北区,3室2厅 | 90平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,52人关注 / 9个月以前发布,75,"8,334元/平"
鹭港精装修，有本可贷款，采光好，视野开阔,鹭港小区 -路北区,4室2厅 | 160平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,7人关注 / 5个月以前发布,240,"15,000元/平"
少有的洋房小高层 老本房主诚心出售,丽景琴园三期 -路北区,3室2厅 | 155平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,30人关注 / 11个月以前发布,245,"15,807元/平"
南湖片区  南湖春晓二期  高楼层视野好  老本税费低,南湖春晓桂雨苑 -路南区,3室2厅 | 114平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,9人关注 / 4个月以前发布,165,"14,474元/平"
万达商品区两居，全明户型，中间楼层，采光不受影响,万达广场F区 -路南区,2室1厅 | 89平米 | 南 | 其他 | 中楼层(共34层)  | 板楼,5人关注 / 一年前发布,110,"12,360元/平"
老本 南北通透格局 采光好 无遮挡 交通便利,新秀路1号院 -丰南区,3室1厅 | 106平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,17人关注 / 一年前发布,55,"5,189元/平"
范大里茂华府 3室2厅 南 北,范大里茂华府 -路北区,3室2厅 | 115平米 | 南 北 | 其他 | 低楼层(共34层)  | 板塔结合,0人关注 / 31天以前发布,140,"12,174元/平"
少有的洋房小高层 老本房主诚心出售,丽景琴园三期 -路北区,3室2厅 | 155平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,30人关注 / 11个月以前发布,245,"15,807元/平"
南湖片区  南湖春晓二期  高楼层视野好  老本税费低,南湖春晓桂雨苑 -路南区,3室2厅 | 114平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,9人关注 / 4个月以前发布,165,"14,474元/平"
万科翡翠系精装房，楼栋位置好，层次好,万科翡翠蓝山 -高新区,3室2厅 | 125平米 | 南 北 | 精装 | 中楼层(共16层)  | 暂无数据,3人关注 / 4个月以前发布,179,"14,320元/平"
吾悦广场商圈 南北通透，户型方正， 全天采光 老本,凤凰湖畔 -路北区,4室2厅 | 151平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,33人关注 / 一年前发布,199,"13,179元/平"
鹭港小区 3室1厅 北 南,鹭港小区 -路北区,3室1厅 | 118平米 | 北 南 | 精装 | 高楼层(共10层)  | 板塔结合,2人关注 / 2个月以前发布,156,"13,221元/平"
香木林 老本可贷款 小高层 诚信卖 随时看,宏翔里香木林 -路北区,3室2厅 | 113.42平米 | 南 北 | 简装 | 低楼层(共10层)  | 暂无数据,9人关注 / 4个月以前发布,165,"14,548元/平"
忍痛割爱，位置好，交通便利，价格包含部分家具家电。,碧玉华府 -路北区,3室1厅 | 131平米 | 南 | 简装 | 高楼层(共19层)  | 板楼,1人关注 / 1个月以前发布,165,"12,596元/平"
唐人起居 3室2厅 南 北,唐人起居 -路北区,3室2厅 | 149平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 2个月以前发布,298,"20,000元/平"
免个税 兴泰里 双阳面两室 中间楼层 采光视野无遮挡,兴泰里 -路南区,2室1厅 | 78平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,6人关注 / 5个月以前发布,68,"8,718元/平"
渤海豪庭精装修 中间楼层 单价低看房子方便 配套齐全,渤海豪庭 -路南区,2室1厅 | 92平米 | 南 北 | 简装 | 低楼层(共30层)  | 板楼,9人关注 / 9个月以前发布,99,"10,761元/平"
老本采光好，通风好，小区环境优美，产权清晰,鹭港小区 -路北区,1室1厅 | 47.02平米 | 北 | 精装 | 中楼层(共26层)  | 板塔结合,10人关注 / 一年前发布,51,"10,847元/平"
玫瑰庄园两居室  好楼层不挡光  配套齐 生活方便,兴源里玫瑰庄园 -路北区,2室1厅 | 71.56平米 | 东南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 7个月以前发布,91.9,"12,843元/平"
24万带小棚子 ，采光好，养老必备,新兴楼(丰南区) -丰南区,2室1厅 | 59.15平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,6人关注 / 4个月以前发布,24,"4,058元/平"
48号小区 2室1厅 南,48号小区 -路北区,2室1厅 | 56平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,65,"11,608元/平"
偏坡楼 1室1厅 南,偏坡楼 -路南区,1室1厅 | 38平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,0人关注 / 3个月以前发布,43,"11,316元/平"
国防楼 一层 南北通透 配套全 出行方便 可做底商,国防楼社区 -路南区,2室1厅 | 47平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,6人关注 / 一年前发布,60.6,"12,894元/平"
满五唯一房主诚心售房随时可看随时可签,明珠都市花園 -丰南区,2室2厅 | 92平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,60,"6,522元/平"
新华联广场精装一居    南北通透 位置好 生活便利,新华联广场 -路南区,1室1厅 | 62.06平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,3人关注 / 3个月以前发布,37,"5,962元/平"
湖岸新城的房子，一梯两户，南北通透，价格低，首付低,湖岸新城 -丰南区,2室1厅 | 93.7平米 | 南 北 | 简装 | 低楼层(共22层)  | 板楼,8人关注 / 7个月以前发布,53,"5,657元/平"
精装修养老二层  拎包入住出门就是远洋城 南北通,鹤祥园小区 -路北区,2室2厅 | 86.77平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,5人关注 / 4个月以前发布,146.9,"16,930元/平"
南北户型，采光好，交通便利，购物方便，精装修交房,万科公园大道•顺泰园 -路北区,2室1厅 | 84.58平米 | 北 南 | 精装 | 低楼层(共18层)  | 板楼,28人关注 / 一年前发布,108,"12,769元/平"
采光充足 视野好 出行方便 配套齐全,天一广场 -路北区,1室1厅 | 48.61平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 6个月以前发布,52,"10,698元/平"
龙泉北楼  三层好层次 学‘区 老本唯一税费低,龙泉北楼 -高新区,1室1厅 | 36平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,41.5,"11,528元/平"
华彩唐人街壹号 2室2厅 南,华彩唐人街壹号 -丰南区,2室2厅 | 89.07平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,4人关注 / 5个月以前发布,73,"8,196元/平"
翰林雅居 ，楼层好视野好。宽敞明亮，采光通风良好。,翰林雅居 -高新区,2室1厅 | 88.9平米 | 南 | 毛坯 | 低楼层(共27层)  | 板楼,23人关注 / 一年前发布,106,"11,924元/平"
楼层好！户型好！小区环境好！交通便利！有本,湖岸新城 -丰南区,2室1厅 | 86.27平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,56.8,"6,584元/平"
祥富里 价格可以议 急售 看房方便 无遮挡 老本,祥富里 -路北区,2室1厅 | 70平米 | 北 南 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,83,"11,858元/平"
恒大精装修的房主，70年产权。物业好。,恒大学庭 -高新区,1室1厅 | 67.2平米 | 西北 | 精装 | 高楼层(共24层)  | 板楼,8人关注 / 一年前发布,63,"9,375元/平"
盛泰庄园 两室南北通精装修 可贷款 随时看房 全天采光,盛泰庄园 -路南区,2室1厅 | 88.71平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,2人关注 / 一年前发布,80,"9,019元/平"
祥富里 价格可以议 急售 看房方便 无遮挡 老本,祥富里 -路北区,2室1厅 | 70平米 | 北 南 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,83,"11,858元/平"
诚心出售价格可议，配套齐全，南北通，交通便利！,友谊里 -路南区,2室1厅 | 59.68平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,5人关注 / 一年前发布,60,"10,054元/平"
"房屋总价低,无压力,带家具家电直接入住",银丰小区 -丰南区,1室1厅 | 57平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 9个月以前发布,31,"5,439元/平"
采光充足 交通便利 随时看房 房主诚心出售此房老本,银城花园 -丰南区,2室1厅 | 78平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,38,"4,872元/平"
华润橡树湾东南向两居诚心出售采光好！,华润▪橡树湾 -路北区,2室1厅 | 76.22平米 | 东南 | 精装 | 高楼层(共24层)  | 板楼,1人关注 / 2个月以前发布,134,"17,581元/平"
业主急售 产权清晰 十层采光好 价格小刀,金色和园 -路南区,2室2厅 | 90平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,2人关注 / 3个月以前发布,118,"13,112元/平"
"户型好,,采光好..........",翔云家园二期 -丰南区,3室2厅 | 110.3平米 | 西 | 简装 | 中楼层(共26层)  | 板楼,4人关注 / 9个月以前发布,78,"7,072元/平"
老本省税，楼层好，南北通透，采光充足,光明东里 -路北区,2室1厅 | 48平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,3人关注 / 9个月以前发布,52,"10,834元/平"
定福里！三层！老本！友谊+友谊！诚心出售！,定福里 -路南区,1室0厅 | 36平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,2人关注 / 4个月以前发布,42,"11,667元/平"
新天地美域 两室 南北通 中间楼层 看房方便 价格可议,新天地美域十六区 -路北区,2室1厅 | 80平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,71人关注 / 一年前发布,55,"6,875元/平"
蓝湾一期双阳面，中上层次南面全天采光，可公积金贷款,万科金域蓝湾一期 -路北区,2室2厅 | 89.63平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,12人关注 / 一年前发布,109.5,"12,217元/平"
恒大悦府 6层  总高11层 一室 50平米 53万,恒大悦府 -路北区,1室1厅 | 50平米 | 南 | 简装 | 中楼层(共11层)  | 塔楼,23人关注 / 一年前发布,51,"10,200元/平"
光明西里乙区 1室1厅 南 西,光明西里乙区 -路北区,1室1厅 | 47.28平米 | 南 西 | 简装 | 中楼层(共4层)  | 板楼,10人关注 / 一年前发布,59,"12,479元/平"
热力楼  4层  南北通 2居室,热力楼 -路北区,2室1厅 | 66平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,64,"9,697元/平"
仁泰里 商品 带大平米地下 有本 装修材质没挑 可贷款,仁泰里 -路北区,2室2厅 | 99.44平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,3人关注 / 一年前发布,95,"9,554元/平"
翔云西里 新上 南北通两居室 老本可贷款 低楼层,翔云西里 -路北区,2室1厅 | 62平米 | 南 北 | 简装 | 低楼层(共3层)  | 板楼,0人关注 / 1个月以前发布,70.6,"11,388元/平"
湖岸新城   精装修  交通便利   生活方便,湖岸新城 -丰南区,2室1厅 | 70.69平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,2人关注 / 8个月以前发布,42,"5,942元/平"
富泰庄园 南北通 毛坯随便装 随时看房 采光好,富泰庄园 -路南区,2室1厅 | 68平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,6人关注 / 一年前发布,63,"9,265元/平"
凤凰世嘉，干净两居，位置好，邻近世嘉实小，看房方便,凤凰世嘉 -路北区,2室2厅 | 71.98平米 | 南 | 简装 | 低楼层(共24层)  | 板楼,24人关注 / 一年前发布,90,"12,504元/平"
锦绣天地 2室1厅 南,锦绣天地 -丰南区,2室1厅 | 70.37平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,55,"7,816元/平"
格局设计合理，热门地段。大城山500米。,建华南里龙泽悦府 -路北区,2室1厅 | 87.65平米 | 南 | 精装 | 低楼层(共21层)  | 板楼,21人关注 / 一年前发布,89,"10,155元/平"
祥丰里二层户型方正 产权清晰 大客厅 业主诚心出售,祥丰里小区 -路北区,2室1厅 | 75平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 8个月以前发布,95,"12,667元/平"
次方老本看房方便可贷款视野好采光好,站前南铁路楼 -路北区,2室1厅 | 48.46平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,2人关注 / 11个月以前发布,41,"8,461元/平"
爱琴海  标准南北通两大间  看房有钥匙 老本可贷款,健康楼社区 -路北区,2室0厅 | 59平米 | 南 北 | 简装 | 高楼层(共4层)  | 板楼,0人关注 / 9个月以前发布,70,"11,865元/平"
现房在售，地理位置优越。。。。。。。,山西南里 -路北区,3室1厅 | 69.79平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,13人关注 / 8个月以前发布,75,"10,747元/平"
此房南北通透！视野开阔！产权明细！户型好！！,冯大里新村 -路北区,2室1厅 | 67平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,12人关注 / 一年前发布,56,"8,359元/平"
颐祥园 三层好层次 南北通 落地窗 前后没遮挡 采光好,颐祥园小区 -路北区,2室1厅 | 63.18平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,8人关注 / 一年前发布,68,"10,763元/平"
南园公寓二期 1室1厅 南 北,南园公寓二期 -路北区,1室1厅 | 47平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,42,"8,937元/平"
恒大学庭 2室1厅 南,恒大学庭 -高新区,2室1厅 | 66平米 | 南 | 简装 | 高楼层(共26层)  | 板楼,3人关注 / 4个月以前发布,68,"10,304元/平"
优质好房 3层 户型方正，公摊小，看房方便，不临不把,华岩东里社区 -路北区,3室1厅 | 76.48平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 1个月以前发布,85,"11,115元/平"
此房满五，楼层好，采光好，配套设施齐全，交通便利。,丰源南里裕丰楼 -路北区,2室2厅 | 92.25平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,5人关注 / 5个月以前发布,110,"11,925元/平"
精装修 楼层好 高品质  老本可贷款,友谊南楼 -路北区,2室1厅 | 58.8平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,1人关注 / 8个月以前发布,68,"11,565元/平"
6小区 一层南北格局 独立客厅 93年房子 支持各种贷款,纺织小区 -丰润区,2室1厅 | 62平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,65,"10,484元/平"
祥富里花园的经典二层两居室诚意出售,祥富里 -路北区,2室1厅 | 61.5平米 | 西南 北 | 精装 | 低楼层(共6层)  | 暂无数据,9人关注 / 8个月以前发布,67,"10,895元/平"
仁泰里 精装修 着急卖 拎包入住 中间楼层,仁泰里 -路北区,2室1厅 | 67.52平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,4人关注 / 一年前发布,54,"7,998元/平"
洪阳家园 老本 可贷款 家具家电 诚心出售,荣盛▪湖畔郦舍洪阳家园 -丰南区,2室2厅 | 85.89平米 | 南 | 简装 | 低楼层(共26层)  | 板塔结合,0人关注 / 4个月以前发布,58,"6,753元/平"
培仁理  两室一卫一厨，出售，简单装修，无车位。,培仁里 -路北区,2室1厅 | 51平米 | 南 | 精装 | 低楼层(共3层)  | 板楼,6人关注 / 5个月以前发布,46,"9,020元/平"
房主诚心出售 凤凰世嘉 优质房源,凤凰世嘉 -路北区,2室2厅 | 83平米 | 南 北 | 简装 | 低楼层(共24层)  | 板楼,28人关注 / 一年前发布,105,"12,651元/平"
