标题,开发商,房子信息,发布信息,售价/万,单价
西部新城 园林小区 电梯房 装修保养好 关门卖拎包入住,阳光路苑三期 -城南片区,3室2厅 | 76.36平米 | 西 | 其他 | 低楼层(共18层)  | 塔楼,1人关注 / 7天以前发布,58.8,"7,701元/平"
邛海畔 精装套三双卫 一梯两户 洋房社区 通透户型,兰台府 -城南片区,3室2厅 | 97.43平米 | 东 | 精装 | 中楼层(共9层)  | 塔楼,0人关注 / 19天以前发布,168,"17,244元/平"
海河好房 此房满五年 业主安心出售  所以才忍痛割爱,海河帝景B区 -城南片区,3室2厅 | 138.53平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,3人关注 / 6个月以前发布,129,"9,313元/平"
此房位于月亮湖公园旁，两梯四户。布局合理，户型方正,南山国际社区 -城南片区,4室2厅 | 175.38平米 | 东南 南 | 毛坯 | 低楼层(共9层)  | 板塔结合,6人关注 / 一年前发布,160,"9,124元/平"
十     小     旁    户型方正,张家屯巷3号 -市中心片区,3室2厅 | 124.01平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,85.5,"6,895元/平"
月亮湖公园旁，朝南底跃，带前后俩花园,南山国际社区 -城南片区,5室2厅 | 191.91平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,4人关注 / 9个月以前发布,160,"8,338元/平"
此房满五唯一，出小区大门就是临河公园,铁路家园 -市中心片区,3室2厅 | 97.72平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,76.6,"7,839元/平"
西部新城，朝东、套三双卫的清水房！,树高·翡丽庄园 -西部新城片区,3室2厅 | 86.51平米 | 东 | 其他 | 中楼层(共16层)  | 塔楼,1人关注 / 一年前发布,93,"10,751元/平"
州一医院，四小，交通，医疗、菜市齐全,州政协小区 -老城片区,4室2厅 | 120.44平米 | 南 北 | 其他 | 低楼层(共6层)  | 平房,0人关注 / 2个月以前发布,104.6,"8,685元/平"
视野很开阔，户型采光好 。很安静,合信邛海湾B区 -三岔口片区,3室2厅 | 79平米 | 南 | 其他 | 中楼层(共20层)  | 板楼,0人关注 / 12天以前发布,110,"13,925元/平"
电梯套三   户型方正   东南朝向  月城  满五唯一税低,中信国际花城 -长安片区,3室2厅 | 109.8平米 | 东南 | 其他 | 低楼层(共19层)  | 塔楼,0人关注 / 3个月以前发布,89.8,"8,179元/平"
城中区出行方便；教育、生活配套齐全！,四川省西昌长途线路局 -市中心片区,2室2厅 | 68平米 | 东 | 其他 | 低楼层(共4层)  | 板楼,0人关注 / 12天以前发布,54.8,"8,059元/平"
通透的洋房设计，双阳台，房东急售,领地·阑台府 -城南片区,3室2厅 | 97平米 | 南 | 其他 | 低楼层(共8层)  | 板楼,0人关注 / 16天以前发布,128,"13,196元/平"
汽车十九队家属区 3室2厅 南,汽车十九队家属区 -市中心片区,3室2厅 | 108.9平米 | 南 | 其他 | 高楼层(共4层)  | 板楼,0人关注 / 12天以前发布,84.8,"7,787元/平"
高古城路一楼带院坝可使用好房出售,高古城路 -会理县,3室2厅 | 125.83平米 | 南 北 | 简装 | 低楼层(共4层)  | 暂无数据,2人关注 / 5个月以前发布,68.8,"5,468元/平"
东西朝向，采光好，视野开阔，停车方便，安全性高,黎溪工委家属院 -会理县,3室2厅 | 123平米 | 东 西 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 5个月以前发布,66.8,"5,431元/平"
航天道1号 3室2厅 南,航天道1号 -长安片区,3室2厅 | 111平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼,0人关注 / 一年前发布,95,"8,559元/平"
长安枫丹丽舍二期四室房东自己精心装修的房子急卖,悦城枫丹丽舍二期 -长安片区,4室2厅 | 110.8平米 | 东 | 其他 | 低楼层(共18层)  | 板楼,1人关注 / 9个月以前发布,127.9,"11,544元/平"
长安新华书店南北通透，剪力墙，房间使用空间充足,长安新华书店 -长安片区,3室2厅 | 108.78平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,73.2,"6,730元/平"
房东急售，价格好谈，精装修，领包入住,大昌小区北区 -市中心片区,3室2厅 | 102.3平米 | 东 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,85.8,"8,388元/平"
此房楼层好采光充足，商圈成熟配套实施齐全,光彩·城市风景小区 -市中心片区,3室2厅 | 118平米 | 东南 | 其他 | 中楼层(共11层)  | 板楼,1人关注 / 一年前发布,98,"8,306元/平"
顶跃，带个大平台。房子方正。交通方便。,鑫合阳光 -长安片区,4室2厅 | 149.49平米 | 南 北 | 其他 | 高楼层(共16层)  | 板塔结合,0人关注 / 16天以前发布,125,"8,362元/平"
园林化小区，配套完善。安静宜居，生活方便。,金厦攀星花園 -市中心片区,4室2厅 | 151.99平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 16天以前发布,124,"8,159元/平"
：此房视野宽阔 ，采光通透。清水房源 空间面积大。,水晶城 -市中心片区,3室2厅 | 135.74平米 | 东 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 11天以前发布,115,"8,473元/平"
元天街小区房，户型方正采光好，视野开阔,元天街99号大院 -会理县,2室1厅 | 67.69平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,36.8,"5,437元/平"
长安菜市标准套三出售，剪力墙，中间楼层，户型方正,长安花园一期 -长安片区,3室2厅 | 91.36平米 | 东北 | 其他 | 中楼层(共7层)  | 塔楼,4人关注 / 9个月以前发布,79,"8,648元/平"
新班车站 3室2厅 交通便利 小区环境干净舒适 适合居住,时代地标 -德昌县,3室2厅 | 102.77平米 | 南 | 其他 | 中楼层(共16层)  | 板楼,0人关注 / 17天以前发布,56.8,"5,527元/平"
长安 城北片区 诚心出售 简装套二,西昌特种钢管厂 -市中心片区,2室2厅 | 71.84平米 | 东南 | 其他 | 高楼层(共4层)  | 塔楼,0人关注 / 2个月以前发布,58.8,"8,185元/平"
标准三室两厅   诚心出售   看房方便,长安中路州建设三处 -市中心片区,3室2厅 | 97.24平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,83,"8,536元/平"
胜利路国土局 3室1厅 南,胜利路国土局 -市中心片区,3室1厅 | 116.27平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 16天以前发布,83,"7,139元/平"
海河公园旁，洋房设计，一梯两户，小区环境好,领地·阑台府 -城南片区,3室2厅 | 97平米 | 南 北 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 16天以前发布,149,"15,361元/平"
三岔口西路，交通便利，采光通透，适合居住,四川广播电视台505发射传播台 -三岔口片区,2室2厅 | 68.96平米 | 东 | 简装 | 高楼层(共4层)  | 平房,1人关注 / 7个月以前发布,53,"7,686元/平"
沃尔玛片区佳信阳光 精装套二带家具家电,佳信阳光 -市中心片区,2室1厅 | 87平米 | 东南 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 8个月以前发布,73.8,"8,483元/平"
海河片区 精装套三双卫  业主诚心出售,海河帝景B区 -城南片区,3室2厅 | 111.83平米 | 东南 | 其他 | 高楼层(共7层)  | 板楼,4人关注 / 6个月以前发布,93.8,"8,388元/平"
海河边独门独院带花园 清水房 三层+两层  私家停车位,领地·阑台府 -城南片区,4室2厅 | 170.22平米 | 南 北 | 毛坯 | 3层  | 板楼 | 联排别墅 ,0人关注 / 6个月以前发布,250,"14,687元/平"
一环路 阳光片区 剪力墙 保养好 停车方便,龙腾小区 -三岔口片区,3室2厅 | 108平米 | 南 | 其他 | 高楼层(共7层)  | 平房,0人关注 / 11天以前发布,89,"8,241元/平"
此房户型好，大户型套五，带30多平米院坝。,复烤厂小区 -三岔口片区,3室2厅 | 112.62平米 | 南 | 其他 | 低楼层(共4层)  | 塔楼,2人关注 / 一年前发布,98.8,"8,773元/平"
东南朝向，采光好，精装修，保养好,水厂小区 -老城片区,3室2厅 | 130.64平米 | 东南 | 其他 | 中楼层(共16层)  | 塔楼,0人关注 / 1个月以前发布,118,"9,033元/平"
房子户型方正，房子坐北朝南，户型好，采光好,新仓库变电站 -三岔口片区,3室1厅 | 119.75平米 | 东 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,96.8,"8,084元/平"
城东新仓库标准三室两厅老式装修,西昌市民政小区 -三岔口片区,3室2厅 | 124.31平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 一年前发布,96.8,"7,787元/平"
城东户型漂亮，带车位，精装套三双卫没住过,春天阳光 -三岔口片区,3室2厅 | 105.35平米 | 东 | 精装 | 中楼层(共16层)  | 塔楼,0人关注 / 11天以前发布,145,"13,764元/平"
外 滩  1 6  区  好   房   出  售,外滩16区 -城南片区,4室2厅 | 134.54平米 | 南 | 其他 | 低楼层(共14层)  | 塔楼,3人关注 / 8个月以前发布,150,"11,150元/平"
海河边领地兰台府，一梯两户洋房，小区环境好,领地·阑台府 -城南片区,3室2厅 | 97.61平米 | 南 北 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,159,"16,290元/平"
东延线  使用面积大  明厨明卫套三双卫,合信邛海湾B区 -三岔口片区,3室2厅 | 79.86平米 | 西 | 其他 | 中楼层(共20层)  | 板塔结合,0人关注 / 13天以前发布,110,"13,775元/平"
此房满五唯一，税费低，户型方正，带储物间、大套三,南苑小区A区 -三岔口片区,3室2厅 | 116.88平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,83.8,"7,170元/平"
亲买房这套你可以关注一下肯定满意,鹭洲·威尼斯半岛 -三岔口片区,3室2厅 | 93.35平米 | 南 | 其他 | 中楼层(共20层)  | 板楼,0人关注 / 2个月以前发布,128.8,"13,798元/平"
民族风情园和海河旁，俯瞰海河泸山风景区，精致套二,新城锦绣 -城南片区,2室2厅 | 72.84平米 | 东南 | 精装 | 低楼层(共15层)  | 塔楼,0人关注 / 2个月以前发布,80,"10,983元/平"
南山御墅二期精装套四出售 正对公园,南山国际社区御墅 -城南片区,4室2厅 | 105.63平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,5人关注 / 7个月以前发布,138,"13,065元/平"
东城清水大套五跃层 带大阳台正朝南 视野观景效果好,公園2018 -三岔口片区,6室2厅 | 260.77平米 | 南 西 | 其他 | 高楼层(共18层)  | 塔楼,8人关注 / 8个月以前发布,195,"7,478元/平"
老城区五小旁，小区环境好，配套方便，适合居住,什字街10号 -老城片区,3室2厅 | 92.69平米 | 东南 | 其他 | 中楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,83,"8,955元/平"
领地凯旋公馆，朝南精装修日照采光好,领地凯旋公馆 -三岔口片区,3室2厅 | 89平米 | 南 | 其他 | 高楼层(共20层)  | 板塔结合,1人关注 / 6个月以前发布,126,"14,158元/平"
三岔口精装大套三诚心出售 地段优越,凉山州商业银行 -三岔口片区,3室2厅 | 117.58平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,91.8,"7,808元/平"
房朝南 采光充足 小区环境好 交通便利,凉山彝族自治州民族体育馆 -三岔口片区,3室2厅 | 91.66平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 14天以前发布,87.5,"9,547元/平"
"视野很开阔，户型采光好 ,很安静",合信邛海湾B区 -三岔口片区,3室2厅 | 65平米 | 东南 | 其他 | 中楼层(共20层)  | 板塔结合,0人关注 / 14天以前发布,86,"13,231元/平"
河东大道二段3号 5室2厅 东南,河东大道二段3号 -三岔口片区,5室2厅 | 173.59平米 | 东南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 9天以前发布,188,"10,831元/平"
万达广场旁，，电梯套三双卫，户型方正，单价便宜。,铁投·邛海壹号 -三岔口片区,3室2厅 | 85.99平米 | 西北 | 其他 | 高楼层(共20层)  | 塔楼,0人关注 / 9天以前发布,95,"11,048元/平"
公园2018精装修套四好房出售,公園2018 -三岔口片区,4室2厅 | 143.3平米 | 南 | 精装 | 低楼层(共19层)  | 塔楼,5人关注 / 一年前发布,153,"10,677元/平"
标准套三，户型方正，价格便宜，生活交通方便,凉山彝族自治州广播电视台 -三岔口片区,3室2厅 | 113.83平米 | 东南 | 精装 | 高楼层(共4层)  | 板楼,2人关注 / 一年前发布,87.5,"7,687元/平"
金色学府，套四，清水房带车位出售,正黄金色学府 -西部新城片区,4室2厅 | 94.16平米 | 东南 | 其他 | 低楼层(共18层)  | 板楼,1人关注 / 9个月以前发布,89.8,"9,537元/平"
阳光城文澜府 3室2厅 东南 南,阳光城文澜府 -西部新城片区,3室2厅 | 97平米 | 东南 南 | 毛坯 | 高楼层(共19层)  | 塔楼,0人关注 / 13天以前发布,83,"8,557元/平"
带花园电梯房，三室俩厅俩卫，单价低,西昌市地税局宁远小区职工住宅 -老城片区,3室2厅 | 121.89平米 | 东南 | 精装 | 9层  | 平房,2人关注 / 5个月以前发布,86.8,"7,122元/平"
乐荟城 4室2厅 东,乐荟城 -三岔口片区,4室2厅 | 165.82平米 | 东 | 其他 | 中楼层(共20层)  | 塔楼,0人关注 / 11天以前发布,170,"10,253元/平"
万达旁边  精品套三 低总价     优质房源,合信邛海湾B区 -三岔口片区,3室2厅 | 79平米 | 东南 | 其他 | 中楼层(共20层)  | 板楼,0人关注 / 11天以前发布,95,"12,026元/平"
标准套三，采光好，视野开阔，出门就能逛公园,铁路家园 -市中心片区,3室2厅 | 98.21平米 | 西北 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 14天以前发布,61.8,"6,293元/平"
"视野很开阔，户型采光好 ,很安静",合信邛海湾B区 -三岔口片区,3室2厅 | 79平米 | 东南 | 其他 | 中楼层(共20层)  | 板楼,0人关注 / 12天以前发布,98,"12,406元/平"
精装套三，房子新装修，地段好，,老达达超市木里干休所 -老城片区,3室2厅 | 77.25平米 | 北 | 其他 | 低楼层(共4层)  | 暂无数据,7人关注 / 8个月以前发布,57.8,"7,483元/平"
精装套三，房子新装修，地段好，,老达达超市木里干休所 -老城片区,3室2厅 | 77.25平米 | 北 | 其他 | 低楼层(共4层)  | 暂无数据,7人关注 / 8个月以前发布,57.8,"7,483元/平"
精装套三电梯单价低，小区生活成本低，,美姑县教师安居小区 -老城片区,3室2厅 | 110平米 | 西 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 7天以前发布,73.8,"6,710元/平"
二八一小区 3室2厅 东南,二八一小区 -市中心片区,3室2厅 | 66.28平米 | 东南 | 精装 | 高楼层(共4层)  | 暂无数据,0人关注 / 3天以前发布,59,"8,902元/平"
会理县蔬菜公司家属院三室两厅一厨两卫出售,蔬菜公司家属院 -会理县,3室2厅 | 120.59平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,84,"6,966元/平"
邦泰花园城 3室2厅 西北,邦泰花园城 -西部新城片区,3室2厅 | 74平米 | 西北 | 其他 | 高楼层(共9层)  | 暂无数据,0人关注 / 3天以前发布,108.5,"14,663元/平"
金色学府   精装套三    拎包入住   看房方便,正黄金色学府 -西部新城片区,3室2厅 | 72.58平米 | 东 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 3天以前发布,85,"11,712元/平"
文汇路二八一小区全新精装套三钥匙在手关门卖,二八一小区 -市中心片区,3室2厅 | 66.28平米 | 北 | 其他 | 高楼层(共4层)  | 暂无数据,0人关注 / 6天以前发布,59,"8,902元/平"
沃尔玛 昌平建材小区 大客厅 单价低 首付低 地段繁华,昌平建材小区 -城南片区,3室2厅 | 134.26平米 | 南 | 其他 | 中楼层(共16层)  | 塔楼,0人关注 / 5天以前发布,92,"6,853元/平"
东明巷单家独院  停车方便  居住舒适出行方便,东明巷 -会理县,6室3厅 | 181平米 | 东 西 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 3天以前发布,220,"12,155元/平"
此房楼层好，采光充足，朝东对小区中庭，国企开发商，,铁投·邛海壹号 -三岔口片区,3室2厅 | 96.42平米 | 东南 | 其他 | 高楼层(共19层)  | 板塔结合,0人关注 / 7天以前发布,115,"11,927元/平"
火把广场旁边， 电梯精装套二， 配套完善,金地丽都 -三岔口片区,2室2厅 | 82.97平米 | 东北 | 其他 | 高楼层(共17层)  | 塔楼,0人关注 / 7天以前发布,85,"10,245元/平"
此房产证满五，格局好，楼层好，配套设施齐全，,南苑钰楼 -三岔口片区,3室2厅 | 118.16平米 | 南 | 精装 | 低楼层(共14层)  | 板塔结合,0人关注 / 6天以前发布,116,"9,818元/平"
海河帝景B区 4室2厅 南,海河帝景B区 -城南片区,4室2厅 | 131.68平米 | 南 | 其他 | 高楼层(共7层)  | 板塔结合,0人关注 / 1天以前发布,125,"9,493元/平"
健康路一楼带花园，满五唯一税费低，使用面积大,健康路税务局 -三岔口片区,4室1厅 | 95.96平米 | 南 | 其他 | 低楼层(共4层)  | 平房,0人关注 / 7天以前发布,84,"8,754元/平"
