标题,开发商,房子信息,发布信息,售价/万,单价
兰亭花园！四五楼复式！带倆露台！精装修！,蘭亭花園 -理想城,5室3厅 | 142.75平米 | 南 北 | 精装 | 高楼层(共4层)  | 暂无数据,29人关注 / 7个月以前发布,125,"8,757元/平"
此房满五唯一 南北朝向 采光好 能贷款,新荣小区二区 -新乡站,2室1厅 | 64.28平米 | 南 北 | 简装 | 高楼层(共6层)  | 塔楼,0人关注 / 13天以前发布,26.8,"4,170元/平"
平原博物馆旁 新乡市东区 单价6千的房子，还是电梯房,文渊花园 -大学城,3室1厅 | 141.36平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,95.5,"6,756元/平"
双阳台，动静分离，采光好，通透性好，房东急售,正豪·上海公馆 -牧野公园,4室2厅 | 191.94平米 | 西 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,158,"8,232元/平"
电梯洋房，双层楼，挑空客厅，采光好，大窗户。,长顺家园 -柳青路,4室2厅 | 241.4平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 19天以前发布,235,"9,735元/平"
房子是老证，证件齐全，户型好，采光好,文化小区 -市中心医院,4室2厅 | 151平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,69.8,"4,623元/平"
风光小区 满五 两室一厅 有钥匙随时能看房,风光园小区 -新乡站,2室1厅 | 80.37平米 | 东 西 | 其他 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,40,"4,977元/平"
铁西新村  一楼 三居室  简单装修  老证,博筑铁西新村 -新乡站,3室2厅 | 116.93平米 | 西 南 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,66,"5,645元/平"
带车库，户型方正，采光充足，满 五不 唯 一,和平巷 -新乡站,2室2厅 | 86.44平米 | 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,35.8,"4,142元/平"
房子不是用来欣赏的，而是用来享受的,新城花园 -高铁东站,3室2厅 | 172.68平米 | 南 | 其他 | 中楼层(共19层)  | 板楼,10人关注 / 一年前发布,91.2,"5,282元/平"
诚城紫钰 南北通透  新乡学院附属小,诚城紫钰 -大学城,3室2厅 | 141.93平米 | 南 北 | 其他 | 高楼层(共30层)  | 板楼,3人关注 / 一年前发布,142,"10,005元/平"
精装修，南北通透；洋房户型，看房方便,深业世纪村 -大学城,4室2厅 | 176平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,220,"12,500元/平"
此房老证满五唯一，产权清晰，税费低,西工房小区 -八里营,3室1厅 | 70.55平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,15人关注 / 一年前发布,28,"3,969元/平"
三院旁，文化小区3楼，南北通透，钥匙在手，急售,文化小区 -市中心医院,3室2厅 | 121.63平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,68,"5,591元/平"
成熟社区  临体育场    小胖东来      交通便利,卫滨区健康路16号院 -新乡站,2室2厅 | 104.12平米 | 北 南 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,61,"5,859元/平"
景润苑毛坯三房，南北通，满五唯一！,景润苑 -八里营,3室2厅 | 103平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 板楼,5人关注 / 一年前发布,66.8,"6,486元/平"
精装修！拎包入住！房子舒适度较高！楼层好无遮挡！,文渊花园 -大学城,3室1厅 | 143平米 | 西 西南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,101,"7,063元/平"
东站近检查院家属院，步梯三楼简装三室，老证58万,红旗区市检察院家属院 -汽车东站,3室2厅 | 100.2平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,57,"5,689元/平"
东郡府苑 南北通透三室 看房有钥匙 业主诚心出售,东郡府苑西苑 -伟业,3室2厅 | 133.14平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,1人关注 / 8个月以前发布,105,"7,887元/平"
价格合适，全明户型，干净温馨，随时看房,一机电家属院 -市中心医院,3室2厅 | 123.07平米 | 西 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 10个月以前发布,60,"4,876元/平"
此房老证，满五唯一，楼层低，户型好,京广花园 -二十七中,3室2厅 | 106.89平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,60,"5,614元/平"
饮马口 单价4300 商品房 户型房子 位置好,平原路331号 -牧野公园,3室2厅 | 139.08平米 | 西 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,58.5,"4,207元/平"
源湖园小区 八一路是个很适合居住的地方小区双气,源湖园 -八里营,3室2厅 | 120平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,62.8,"5,234元/平"
户型合理，采光无遮挡，格局好，配套设施齐全，。。,馨景家园 -新建街,2室2厅 | 88.34平米 | 东 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,37.3,"4,223元/平"
采光比较好，格局好，楼层好，采光通风都不错。,卫滨区纺织站家属院 -新建街,3室1厅 | 83平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,7人关注 / 一年前发布,28,"3,374元/平"
电梯房小高层 南北300平私人平台！ 看房方便 有钥匙,深业世纪村 -大学城,3室2厅 | 149.94平米 | 南 北 | 其他 | 低楼层(共9层)  | 板楼,11人关注 / 一年前发布,163,"10,872元/平"
产权清晰，步梯公摊小，采光充足，各个功能间合理,红旗区监察局楼 -牧野公园,2室2厅 | 88.35平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,37.2,"4,211元/平"
非顶层 南北通 精装修 看房方便 满五唯一,高村路272号 -二十七中,2室2厅 | 67.59平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,29.9,"4,424元/平"
楼层适中，比较方便，采光好，有钥匙,诚城•常青藤 -大学城,3室2厅 | 128.54平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,107,"8,325元/平"
3室2厅，户型美丽，带小车库。,化轻公司机务段小区 -市中心医院,3室2厅 | 98平米 | 南 | 其他 | 高楼层(共6层)  | 平房,1人关注 / 7个月以前发布,43.8,"4,470元/平"
四室双卫户型，楼栋位置在小区中间，视野开阔。,正阳花园 -橄榄城,4室1厅 | 167平米 | 东 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,88.5,"5,300元/平"
恒泰丽景 毛坯大3室南北通透 带地下室一间看房方便,丽景庭院 -新建街,3室2厅 | 143平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 10个月以前发布,69,"4,826元/平"
此房老证，房东诚心出售，看房方便，小区环境优美,青青家园(红旗区) -橄榄城,3室1厅 | 130.89平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,5人关注 / 一年前发布,82.5,"6,304元/平"
顶层复式，带露台精装修，采光好...,金谷阳光 -柳青路,4室2厅 | 129平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,7人关注 / 一年前发布,110,"8,528元/平"
东区复式，业主很诚心，看房很方便,紫郡 -大学城,5室2厅 | 226平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,11人关注 / 一年前发布,190,"8,408元/平"
低楼层 姜庄街xiaoxue 老证 全明户型,道清花园 -新乡站,2室2厅 | 72.78平米 | 西南 | 精装 | 低楼层(共6层)  | 板楼,10人关注 / 一年前发布,39.2,"5,387元/平"
近紫台一品！步梯四楼大三室只要29万！不能按揭,解放大道南256号 -市中心医院,3室2厅 | 88.69平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,27人关注 / 一年前发布,27.9,"3,146元/平"
新运小区七号院 3室1厅 南 北,新运小区七号院 -市中心医院,3室1厅 | 66.08平米 | 南 北 | 其他 | 高楼层(共4层)  | 板塔结合,4人关注 / 一年前发布,34.8,"5,267元/平"
南北直通双阳台，三卧朝南，宝龙城市广场旁边,宝龙世家 -宝龙,4室2厅 | 143平米 | 南 北 | 其他 | 高楼层(共32层)  | 板楼,30人关注 / 一年前发布,143,"10,000元/平"
近紫台一品！步梯四楼大三室只要29万！不能按揭,解放大道南256号 -市中心医院,3室2厅 | 88.69平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,27人关注 / 一年前发布,27.9,"3,146元/平"
三院 胖东来 三房 配套齐全 商场众多,化轻公司机务段小区 -市中心医院,3室2厅 | 108平米 | 南 北 | 其他 | 高楼层(共6层)  | 平房,1人关注 / 一年前发布,40.5,"3,750元/平"
三室二厅，低楼层一楼，适宜老人养老，小区环境幽静,荷苑小区 -八里营,3室2厅 | 124平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,66.5,"5,363元/平"
兰亭花园、一梯两户小高层、明德就在门口、定国湖商圈,蘭亭花園 -理想城,4室2厅 | 153.68平米 | 南 北 | 毛坯 | 中楼层(共15层)  | 板塔结合,10人关注 / 8个月以前发布,144.8,"9,423元/平"
东区好房源，房东好，房子好。。。,牧野花园 -伟业,3室2厅 | 140平米 | 南 北 | 其他 | 高楼层(共24层)  | 板楼,4人关注 / 一年前发布,105,"7,500元/平"
业主诚心出售，看房有钥匙，随时看房,博筑铁西新村 -新乡站,3室2厅 | 111.45平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,7人关注 / 8个月以前发布,42,"3,769元/平"
户型方正，顶楼平台是自己的单独的,文化小区 -市中心医院,4室2厅 | 151平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,64.5,"4,272元/平"
带车位地下室 出售东区三房，价格美丽，中间楼层,华恩城西区 -定国湖,3室2厅 | 126.81平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,11人关注 / 一年前发布,94,"7,413元/平"
富晟家园三室两厅一厨一卫信息具体描述,富晟家园 -新悦城,3室2厅 | 96.78平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,19人关注 / 一年前发布,69,"7,130元/平"
二楼，标准三室，南北通透，支持按揭,新荣小区 -新乡站,3室2厅 | 113平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,81.5,"7,213元/平"
风湖边精装舒适大两房..全湖景。,绿地缤纷城二期 -平原新区,2室2厅 | 86平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,8人关注 / 一年前发布,39,"4,535元/平"
东旭小区 中楼层 位置佳 两室两厅 127平方,东旭小区 -宝龙,2室2厅 | 127平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,79,"6,221元/平"
文化小区 、户型方正 价格美丽 业主诚心出售,文化小区 -市中心医院,4室2厅 | 155.13平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,15人关注 / 一年前发布,75,"4,835元/平"
此房老证2000年的房子南北通透 户型方正 户型好采光,农机公司家属院 -市中心医院,2室2厅 | 90.47平米 | 南 西 北 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,68,"7,517元/平"
东区高铁旁，三英里，精装洋房。,诚城三英里 -高铁东站,4室2厅 | 137平米 | 东 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 3个月以前发布,105,"7,665元/平"
此房为老证，户型三室，楼层好  看房有钥匙,诚城三英里 -高铁东站,3室2厅 | 110.8平米 | 东 南 | 其他 | 高楼层(共30层)  | 板楼,0人关注 / 6天以前发布,66,"5,957元/平"
宝龙南边高品质低密度宜居益生活您值得拥有,宝龙国际社区 -宝龙,3室2厅 | 138平米 | 南 北 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 7天以前发布,109,"7,899元/平"
老证一楼南北透通户型方正采光好,新乡市一商局住宅楼 -市中心医院,3室2厅 | 109平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,65.2,"5,982元/平"
南北通透，燃气入户，带独立小车库,牧野区市制药厂家属院 -牛村,3室1厅 | 67.12平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,2人关注 / 一年前发布,25.5,"3,800元/平"
老新辉路 风光园小区 温馨两室 双气小区 老证 四楼,风光园小区 -新乡站,2室2厅 | 85.13平米 | 东 西 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,39,"4,582元/平"
平原胡湖畔春天 经典三室 双卫 诚心出售,信合湖畔春天 -高铁东站,3室2厅 | 137.52平米 | 北 南 | 毛坯 | 中楼层(共17层)  | 板楼,1人关注 / 一年前发布,70,"5,091元/平"
精装大四室，大客厅大卧室，南北双阳台,牧野区市委家属院 -牧野公园,4室2厅 | 159.13平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,17人关注 / 一年前发布,94,"5,908元/平"
东区定国湖近、美好城电梯洋房复式！挑空带平台南北通,美好城 -高铁东站,6室3厅 | 131平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,2人关注 / 7个月以前发布,159.5,"12,176元/平"
步梯3楼，满五唯一，过户费用低,文化小区 -市中心医院,2室2厅 | 82平米 | 东 西 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 9个月以前发布,35.8,"4,366元/平"
就在平原湖里面，小区环境好，可以看到湖,新城花园 -高铁东站,3室2厅 | 149.67平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,81.8,"5,466元/平"
周   边生活便利，南北通透，楼层适中,七中家属院 -二十七中,3室2厅 | 150.43平米 | 东 西 | 简装 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,56.8,"3,776元/平"
交通方便   配套齐全  健民一巷,健民一巷 -新乡站,2室2厅 | 75.21平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,71.8,"9,547元/平"
人民西路，户型方正，采光充足，老证，看房方便,卫滨区步步高机务小区 -八里营,3室2厅 | 128.55平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,51.8,"4,030元/平"
步行街 老证 电梯中层 姜庄 22 双气已使用 有钥匙,东方文化商业步行街 -新乡站,4室2厅 | 134平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,2人关注 / 8个月以前发布,102,"7,612元/平"
三卧朝南，南北直通，产权清晰，带独立大车库,牧野区化机厂家属院 -胜利北街,3室2厅 | 120.33平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,48.5,"4,031元/平"
骆驼湾的独院  一二楼带院  有证 有钥匙可以随时看房,天元小区 -市政府,5室2厅 | 217.4平米 | 南 | 简装 | 低楼层(共2层)  | 暂无数据,32人关注 / 一年前发布,125,"5,750元/平"
宁馨苑 1 2层复式有后院40平方地下室你想拥有吗,宁馨苑 -恒大,5室3厅 | 193.78平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,18人关注 / 一年前发布,142,"7,328元/平"
步行街 老证 电梯中层 姜庄 22 双气已使用 有钥匙,东方文化商业步行街 -新乡站,4室2厅 | 134平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,2人关注 / 8个月以前发布,102,"7,612元/平"
周   边生活便利，南北通透，楼层适中,七中家属院 -二十七中,3室2厅 | 150.43平米 | 东 西 | 简装 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,56.8,"3,776元/平"
满五唯一带地下室阁楼租赁车位，出行方便,馨景家园 -新建街,3室2厅 | 101.26平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,57.5,"5,679元/平"
二层独院，总价低，休闲养老二相宜,李庄村 -西王村,4室3厅 | 152平米 | 南 北 | 简装 | 低楼层(共2层)  | 暂无数据,41人关注 / 一年前发布,45,"2,961元/平"
出城入市，交通便利，盛世年华，尽享繁华,盛润盛世年华 -橄榄城,3室1厅 | 106.6平米 | 东 南 | 毛坯 | 低楼层(共22层)  | 板塔结合,26人关注 / 一年前发布,65,"6,098元/平"
东方家园 采光好    毛坯四室两厅两卫  有钥匙,东方家园 -理想城,4室2厅 | 195.84平米 | 南 北 | 其他 | 高楼层(共12层)  | 板楼,3人关注 / 8个月以前发布,188.9,"9,646元/平"
格局通透 客厅带大阳台采光好 带阳台,蘭亭花園 -理想城,3室2厅 | 116平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,20人关注 / 一年前发布,91,"7,845元/平"
水利局家属院，标准三室，户型方正，随时入住。,水利局家属院 -市中心医院,3室2厅 | 118平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,68,"5,763元/平"
此房为满五唯一，装修过的两居，拎包入住，随时看房,漂染厂家属院 -黄岗,2室2厅 | 78.38平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,17,"2,169元/平"
明德新一中！让孩子每天多睡半小时,东方家园 -理想城,3室2厅 | 143平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,26人关注 / 一年前发布,141.3,"9,882元/平"
学 校就在家门口 电梯中上层 采光视野好 毛坯随意装修,东方家园 -理想城,3室1厅 | 143平米 | 南 北 | 其他 | 中楼层(共17层)  | 板楼,4人关注 / 5个月以前发布,134.5,"9,406元/平"
铁西新村，精装修，拎包入住。楼层低,博筑铁西新村 -新乡站,3室2厅 | 118平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,52.8,"4,475元/平"
新乡东区，环境好，户型好三室，,信合湖畔春天 -高铁东站,3室2厅 | 120.36平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,4人关注 / 一年前发布,58,"4,819元/平"
