标题,开发商,房子信息,发布信息,售价/万,单价
嘉荟新城东区精装122平拎包入住,嘉荟新城东区 -丹阳开发区商圈,3室1厅 | 122平米 | 南 | 精装 | 低楼层(共18层)  | 平房,1人关注 / 31天以前发布,89.8,"7,361元/平"
玉乳泉二楼毛坯 两房朝南户型好,玉乳泉小区 -丹阳城区商圈,2室2厅 | 84.53平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,62.8,"7,430元/平"
健康公寓高层 3室精装修 采光好 出行方便,健康公寓 -丹阳城区商圈,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 10个月以前发布,76,"5,847元/平"
经典户型，楼层好，采光好，三房户型。,水云新村 -丹阳城区商圈,3室1厅 | 112.85平米 | 南 北 | 精装 | 中楼层(共6层)  | 塔楼,1人关注 / 一年前发布,90,"7,976元/平"
华阳苑 3室1厅 南 北,华阳苑 -丹阳城区商圈,3室1厅 | 89平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,4人关注 / 一年前发布,64.9,"7,293元/平"
视野宽阔，采光充足，交通便利，生活购物方便,水云新村 -丹阳城区商圈,3室2厅 | 113平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,4人关注 / 10个月以前发布,59.8,"5,293元/平"
水云新村，两房朝南，楼层好，采光视野好,水云新村 -丹阳城区商圈,3室2厅 | 112.85平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,85.8,"7,604元/平"
南北通透格局，楼层好，视野宽阔，采光充足,南门花园 -丹阳城区商圈,4室3厅 | 178平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 一年前发布,163.8,"9,203元/平"
此房南北朝向，采光好，精装修，可拎包入住,锦轩华庭 -丹阳华南商圈,4室2厅 | 155平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 一年前发布,147.6,"9,523元/平"
迎宾花园 出门即五中 精装3房保养新 含17平自行车库,迎宾花园 -丹阳城区商圈,3室2厅 | 115平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,1人关注 / 11个月以前发布,93.8,"8,157元/平"
此房南北通透格局好，视野宽阔，采光充足,迎宾花园 -丹阳城区商圈,3室2厅 | 109平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,89.8,"8,239元/平"
恒大名都3-2-1-2 158.00m² 159.8 万,恒大名都 -丹阳城区商圈,3室2厅 | 158平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 一年前发布,157,"9,937元/平"
华云公寓 三房两卫 中间楼层 采光好,华云公寓 -丹阳华南商圈,3室2厅 | 118.37平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,95,"8,026元/平"
金鹰旁南门花园电梯房3室2卫精准靓房,南门花园 -丹阳城区商圈,3室2厅 | 134.61平米 | 南 北 | 精装 | 低楼层(共23层)  | 板楼,2人关注 / 一年前发布,130.8,"9,717元/平"
开发区新房，出行方便，密度小，环境安逸,粤港臻园 -丹阳开发区商圈,2室2厅 | 92平米 | 南 | 毛坯 | 高楼层(共24层)  | 塔楼,1人关注 / 6个月以前发布,82.8,"9,000元/平"
吾悦旁 嘉源首府精装独门独户124.53平3房 诚心出售,嘉源首府（丹阳市） -丹阳开发区商圈,3室2厅 | 124.53平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 7个月以前发布,127.8,"10,263元/平"
爱家尚城3-2-1-2 137.00m² 159.8 万,爱家尚城 -丹阳城区商圈,4室2厅 | 137平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,153.8,"11,227元/平"
中南复式，华南商圈，房东诚意出售,中南君悦府 -丹阳华南商圈,4室2厅 | 143平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 暂无数据,2人关注 / 一年前发布,172.8,"12,084元/平"
花园洋房，低密度小区 带20平大院子,天颐城和园 -丹阳城区商圈,车位 | 134.05平米 | 南 北  | 板塔结合,5人关注 / 一年前发布,149.8,"11,175元/平"
市区好房推荐，三室大房，通透，全天采光,千禧花园 -丹阳城区商圈,3室2厅 | 116平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,81.8,"7,052元/平"
房满5年，精装，拎包入住随时可看,鑫福苑 -丹阳城区商圈,5室2厅 | 113.8平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,92.8,"8,155元/平"
采光好 视野开阔 无遮挡 有房产证可以随时过户,上善雅苑 -丹阳华南商圈,3室2厅 | 115平米 | 南 | 毛坯 | 低楼层(共31层)  | 暂无数据,1人关注 / 11个月以前发布,108.6,"9,444元/平"
房东诚心出售万善上院127平3房2卫,万善上院 -丹阳华南商圈,3室2厅 | 127平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 11个月以前发布,175,"13,780元/平"
华南 上善雅苑  全新精装 全天采光 拎包入住 仅122.8,上善雅苑 -丹阳华南商圈,3室2厅 | 98平米 | 南 北 | 精装 | 高楼层(共29层)  | 暂无数据,2人关注 / 9个月以前发布,122.8,"12,531元/平"
丹阳南二环大桥下 上善雅苑 87平 精装修2室96.8万,上善雅苑 -丹阳华南商圈,2室2厅 | 87平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,1人关注 / 4个月以前发布,96.8,"11,127元/平"
楼层好，全天采光无遮挡，视野开阔，配套齐全。,万善上院 -丹阳华南商圈,3室2厅 | 135.8平米 | 南 | 精装 | 低楼层(共27层)  | 暂无数据,2人关注 / 一年前发布,153.8,"11,326元/平"
市区精装高层住宅，附带地下车位，俯瞰城市全景。,金色家园(丹阳市) -丹阳城区商圈,2室1厅 | 107平米 | 东南 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 一年前发布,138.5,"12,944元/平"
省丹中南面，楼层好，采光好，拎包入住,永康公寓(丹阳市) -丹阳城区商圈,3室1厅 | 100平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,83.8,"8,380元/平"
楼层高，视野好，采光好，新装修，拎包入住,凤凰新村 -丹阳城区商圈,3室2厅 | 93平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,11人关注 / 一年前发布,63.8,"6,861元/平"
房龄新，2房朝南.采光透气好.楼层好.毛坯电梯房,南门花园二期 -丹阳城区商圈,3室1厅 | 93平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 6个月以前发布,94,"10,108元/平"
华南新村3室1厅1厨1卫，精致装修,華南新村 -丹阳华南商圈,3室1厅 | 90平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,70.8,"7,867元/平"
迎春小区3-2-1-1 94.00m² 81.8 万,迎春小区 -丹阳开发区商圈,3室2厅 | 94平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,81.8,"8,703元/平"
新新家园 多层中间楼层 采光视野好,新新家園 -丹阳华南商圈,3室2厅 | 126平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 8个月以前发布,99,"7,858元/平"
开发区金凤凰花园精装3室有储物间，采光好 拎包入住,金凤凰花园 -丹阳开发区商圈,3室2厅 | 150平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,151.5,"10,100元/平"
采光好，前后无遮挡 卫生间设计干湿分区，干净卫生,金宛新村 -丹阳城区商圈,3室2厅 | 121.17平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,70,"5,778元/平"
交通便利，配套齐全，南北通透，采光好。,香草新村 -丹阳城区商圈,2室2厅 | 82.59平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,49.8,"6,030元/平"
吾悦华府公馆142平·高层毛胚,吾悦华府公馆 -丹阳开发区商圈,4室2厅 | 142.21平米 | 南 | 毛坯 | 高楼层(共34层)  | 暂无数据,0人关注 / 1个月以前发布,152,"10,689元/平"
此房高楼层，南北通透，视野宽阔，无遮挡,东方商城 -丹阳开发区商圈,3室2厅 | 139平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,89,"6,403元/平"
金凤凰花园125平，3室2厅2卫，精装,金凤凰花园 -丹阳开发区商圈,3室2厅 | 125平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,106.2,"8,496元/平"
满5年的精装修，采光充足，户型方正。,泰豪公寓 -丹阳城区商圈,3室2厅 | 161平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,140.8,"8,746元/平"
恒大名都4-1-1-2 159.00m² 142.8 万,恒大名都 -丹阳城区商圈,4室1厅 | 159平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,142.8,"8,982元/平"
上善雅苑 3室1厅 南,上善雅苑 -丹阳华南商圈,3室1厅 | 100平米 | 南 | 精装 | 中楼层(共29层)  | 暂无数据,0人关注 / 3个月以前发布,119.8,"11,980元/平"
此房电梯房，楼层好，位置好，户型好精装，拎包入住。,宜和B区 -丹阳城区商圈,3室2厅 | 131平米 | 南 北 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,175,"13,359元/平"
恒大名都，精装采光好，交通便利,恒大名都 -丹阳城区商圈,3室2厅 | 111平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 一年前发布,108.6,"9,784元/平"
国信嘉源3室改2室，精装修楼层好拎包住。,宜和B区 -丹阳城区商圈,2室2厅 | 97平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,118.8,"12,248元/平"
户型方正.楼层好.采光好.精装.生活求学交通便捷,曲园小区 -丹阳开发区商圈,3室2厅 | 116平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,95,"8,190元/平"
曲园小区6楼3室118平78万，精装，20平露台，有独库,曲园小区 -丹阳开发区商圈,3室2厅 | 117.6平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,75.8,"6,446元/平"
：环境好，房龄新。电梯房.配套全.出行便捷.河景房,恒大名都 -丹阳城区商圈,4室2厅 | 160平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,6人关注 / 一年前发布,130,"8,125元/平"
此房满五，市中芯，交通便利，生活设施齐全,阳光花园小区 -丹阳城区商圈,2室2厅 | 135平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,95.8,"7,097元/平"
面积达，空间大，市口好，采光好,阳光花园小区 -丹阳城区商圈,3室2厅 | 122平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,102.8,"8,427元/平"
恒大名都 4室2厅 南,恒大名都 -丹阳城区商圈,4室2厅 | 213.99平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 一年前发布,202,"9,440元/平"
丹桂园5楼3室一卫精装修·拎包入住,丹桂园 -丹阳城区商圈,3室1厅 | 89平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,79.8,"8,967元/平"
曲园小区  3房2厅1卫  104平  88万,曲园小区 -丹阳开发区商圈,3室2厅 | 104平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,88,"8,462元/平"
视野宽阔，采光充足，交通便利，生活购物方便,水云新村 -丹阳城区商圈,3室2厅 | 92.7平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 11个月以前发布,60.8,"6,559元/平"
曲园小区114平三室两厅 楼层佳 前后大露台采光充足,曲园小区 -丹阳开发区商圈,3室2厅 | 114平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,86.8,"7,615元/平"
香草新村正则3居室采光好视野好,香草新村 -丹阳城区商圈,3室2厅 | 93平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,65.8,"7,076元/平"
新香草苑 3室2厅 南,新香草苑 -丹阳城区商圈,3室2厅 | 132平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,103.8,"7,864元/平"
锦尚名都多层三室两卫精装修房屋,锦尚名都 -丹阳华南商圈,3室2厅 | 131平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,11人关注 / 一年前发布,116.8,"8,917元/平"
景泽园 华南 多层公摊少 精装拎包住,龙凤新村 -丹阳华南商圈,3室2厅 | 141.45平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,100,"7,070元/平"
华南片区高品质小区，低楼层，低单价，压力小。,锦尚名都 -丹阳华南商圈,3室2厅 | 131平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,4人关注 / 一年前发布,133,"10,153元/平"
此房满两年，楼层好，视野宽阔，采光充足,华都锦城·幸福里 -丹阳华南商圈,3室2厅 | 110平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,2人关注 / 一年前发布,137.8,"12,528元/平"
锦尚名都4楼90平，两室两厅一卫，精装，售价98.8万,锦尚名都 -丹阳华南商圈,2室2厅 | 90平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,93.8,"10,423元/平"
业主诚心出售，楼层好采光好，全新装修，拎包入住,昆仑华府 -丹阳华南商圈,3室2厅 | 104平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 11个月以前发布,119.8,"11,520元/平"
恒大名都4-1-1-2 159.00m² 142.8 万,恒大名都 -丹阳城区商圈,4室1厅 | 159平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,142.8,"8,982元/平"
上善雅苑 3室1厅 南,上善雅苑 -丹阳华南商圈,3室1厅 | 100平米 | 南 | 精装 | 中楼层(共29层)  | 暂无数据,0人关注 / 3个月以前发布,119.8,"11,980元/平"
市区精装高层住宅，附带地下车位，俯瞰城市全景。,金色家园(丹阳市) -丹阳城区商圈,2室1厅 | 107平米 | 东南 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 一年前发布,138.5,"12,944元/平"
康乐公寓 顶楼复式 买一层得两层,康乐公寓 -丹阳城区商圈,3室1厅 | 95平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,53.8,"5,664元/平"
省丹中南面，楼层好，采光好，拎包入住,永康公寓(丹阳市) -丹阳城区商圈,3室1厅 | 100平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,83.8,"8,380元/平"
楼层高，视野好，采光好，新装修，拎包入住,凤凰新村 -丹阳城区商圈,3室2厅 | 93平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,11人关注 / 一年前发布,63.8,"6,861元/平"
满五唯一 楼层好 采光无遮挡 通风好,百合苑 -丹阳城区商圈,3室2厅 | 131.1平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,95.8,"7,308元/平"
房龄新，2房朝南.采光透气好.楼层好.毛坯电梯房,南门花园二期 -丹阳城区商圈,3室1厅 | 93平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 6个月以前发布,94,"10,108元/平"
恒大名都，精装采光好，交通便利,恒大名都 -丹阳城区商圈,3室2厅 | 111平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 一年前发布,108.6,"9,784元/平"
国信嘉源3室改2室，精装修楼层好拎包住。,宜和B区 -丹阳城区商圈,2室2厅 | 97平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,118.8,"12,248元/平"
恒大名都 4室2厅 南,恒大名都 -丹阳城区商圈,4室2厅 | 213.99平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 一年前发布,202,"9,440元/平"
户型方正.楼层好.采光好.精装.生活求学交通便捷,曲园小区 -丹阳开发区商圈,3室2厅 | 116平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,95,"8,190元/平"
此房电梯房，楼层好，位置好，户型好精装，拎包入住。,宜和B区 -丹阳城区商圈,3室2厅 | 131平米 | 南 北 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,175,"13,359元/平"
南门花园二期，中间楼层，毛坯可塑性高，适合多人居住,南门花园二期 -丹阳城区商圈,4室2厅 | 154平米 | 东南 南 | 毛坯 | 高楼层(共33层)  | 板楼,2人关注 / 一年前发布,142,"9,221元/平"
曲园小区6楼3室118平78万，精装，20平露台，有独库,曲园小区 -丹阳开发区商圈,3室2厅 | 117.6平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,75.8,"6,446元/平"
丹桂园5楼3室一卫精装修·拎包入住,丹桂园 -丹阳城区商圈,3室1厅 | 89平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,79.8,"8,967元/平"
：环境好，房龄新。电梯房.配套全.出行便捷.河景房,恒大名都 -丹阳城区商圈,4室2厅 | 160平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,6人关注 / 一年前发布,130,"8,125元/平"
曲园小区  3房2厅1卫  104平  88万,曲园小区 -丹阳开发区商圈,3室2厅 | 104平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,88,"8,462元/平"
此房满五，市中芯，交通便利，生活设施齐全,阳光花园小区 -丹阳城区商圈,2室2厅 | 135平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,95.8,"7,097元/平"
面积达，空间大，市口好，采光好,阳光花园小区 -丹阳城区商圈,3室2厅 | 122平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,102.8,"8,427元/平"
房子满5唯一.楼层好.采光好.户型好..河景房.风景秀丽,千家乐园小区 -丹阳城区商圈,3室2厅 | 123平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,93.9,"7,635元/平"
国信宜和，小区旁边步行五百米就是省丹中、人民医院，,宜和C区 -丹阳城区商圈,3室2厅 | 114平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 11个月以前发布,150.8,"13,229元/平"
碧桂园顶复精装大三室装修好采光好视野好,丹阳碧桂园 -丹阳华南商圈,3室2厅 | 140.7平米 | 东 南 北 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 一年前发布,163.8,"11,642元/平"
迎春小区中间楼层，3室2厅2卫，精装，诚心出售,迎春小区 -丹阳开发区商圈,3室2厅 | 144平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,118,"8,195元/平"
