标题,开发商,房子信息,发布信息,售价/万,单价
精装修 产证在手满二 户型方正 采光无遮挡,宝华花园 -宝华商圈,3室2厅 | 100.99平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2天以前发布,60,"5,942元/平"
碧桂园大学印象 一梯一户 精装带地暖 全南户型,碧桂园大学印象 -宝华商圈,4室1厅 | 123.08平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,7人关注 / 4个月以前发布,105,"8,532元/平"
仙林东恒大雅苑大平层精装30万一次未住诚心出售湖景房,恒大雅苑 -宝华商圈,4室2厅 | 167平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,14人关注 / 10个月以前发布,165,"9,881元/平"
此房是高层 精装修 看房方便 基本生活便利,碧桂园仙林东郡 -宝华商圈,4室2厅 | 119.52平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,1人关注 / 一年前发布,106,"8,869元/平"
京东紫晶 边户 大四房 配套齐全 带菜场 生活设施齐全,京东紫晶 -宝华商圈,4室2厅 | 117平米 | 南 | 毛坯 | 低楼层(共35层)  | 板楼,0人关注 / 8个月以前发布,108,"9,231元/平"
急售 仙林东宝华 恒大雅苑 双地铁 配套齐全 户型方正,恒大雅苑 -宝华商圈,2室2厅 | 89.27平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,84,"9,410元/平"
东边户 楼层好 采光充足 配套设施齐全,碧桂园翡翠华府 -宝华商圈,3室1厅 | 115平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 23天以前发布,126,"10,957元/平"
学林苑经典户型108平 南北双阳台 看房有钥匙诚心出售,碧桂园凤凰城 -碧桂园凤凰城,3室2厅 | 108平米 | 东 南 东南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 24天以前发布,95,"8,797元/平"
朗诗设计 小区环境好 配套齐全 近地铁 强烈推荐,天正理想城 -宝华商圈,2室2厅 | 74.29平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 22天以前发布,85,"11,442元/平"
满两年，毛坯，得房率高，洋房产品,逸品汤山三期 -碧桂园凤凰城,3室2厅 | 103平米 | 东南 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,61,"5,923元/平"
本房源真实出售，看中可谈，价格合适,碧桂园凤凰城 -碧桂园凤凰城,4室2厅 | 122平米 | 东 东南 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 23天以前发布,97,"7,951元/平"
房型好，户型方正，南北三房，浪费面积小,碧桂园凤凰城水蓝湾 -碧桂园凤凰城,3室2厅 | 123.32平米 | 东 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 27天以前发布,72,"5,839元/平"
准新房  带车位  精装修大四房,碧桂园凤凰城星悦湾 -碧桂园凤凰城,4室2厅 | 143.63平米 | 南 | 简装 | 低楼层(共33层)  | 塔楼,0人关注 / 23天以前发布,121.8,"8,481元/平"
星悦湾精装修，精典小三房，得房率高,碧桂园凤凰城星悦湾 -碧桂园凤凰城,3室1厅 | 89.63平米 | 南 西 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 21天以前发布,71,"7,922元/平"
九曲花苑 电梯洋房 中间楼层  适合改善居住,九曲花苑 -宝华商圈,2室2厅 | 91.22平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 23天以前发布,101,"11,073元/平"
两房朝南，户型格局好，明厨明卫，客厅卧室大,泰达青筑 -宝华商圈,2室2厅 | 80.88平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 19天以前发布,70,"8,655元/平"
难得的小高层，四开间朝南，满二有钥匙随时看房,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,4室2厅 | 142平米 | 南 北 | 精装 | 低楼层(共17层)  | 塔楼,0人关注 / 21天以前发布,99,"6,972元/平"
学林苑4房2厅2卫，南北通透，精装修交付，有车位,碧桂园凤凰城 -碧桂园凤凰城,4室2厅 | 121.09平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 18天以前发布,86,"7,103元/平"
地铁口精装三房，楼层好，视野无遮挡,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 116平米 | 南 北 | 简装 | 高楼层(共32层)  | 塔楼,0人关注 / 23天以前发布,72,"6,207元/平"
碧桂园保利时代天汇 3室2厅 南 北,碧桂园保利时代天汇 -句容市区,3室2厅 | 128.8平米 | 南 北 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 26天以前发布,107,"8,308元/平"
公园尚城 3室2厅 南 北,公园尚城 -句容市区,3室2厅 | 103平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板楼,1人关注 / 26天以前发布,77,"7,476元/平"
此房户型方正 采光好 视野好  随时过户,四季金辉 -宝华商圈,1室2厅 | 88平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,0人关注 / 23天以前发布,90,"10,228元/平"
好楼层 ，好位置 ，环境好， 看房方便,維也納花園 -句容市区,2室2厅 | 90.11平米 | 南 | 毛坯 | 高楼层(共22层)  | 板塔结合,1人关注 / 18天以前发布,90,"9,988元/平"
城西 花语墅 电梯房 迷你小别墅 3室2卫,宝地花语墅 -句容市区,3室2厅 | 91.64平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 22天以前发布,109.8,"11,982元/平"
房子已经满二，无增值税，前后视野很好，采光好,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室1厅 | 134.11平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 20天以前发布,89,"6,637元/平"
满二，家电家具齐全 拎包入住 满两年,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室1厅 | 91.4平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 17天以前发布,70,"7,659元/平"
此房所处苑区湖景优美，视野开阔,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 99.51平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,23人关注 / 一年前发布,89,"8,944元/平"
仙林东 宝华镇    香山意境小区 看房方便,香山壹境 -宝华商圈,3室2厅 | 76.97平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 7个月以前发布,69,"8,965元/平"
仙林万达茂旁 央企开发 远洋心里 毛坯三房,远洋心里 -宝华商圈,3室1厅 | 92.52平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,17人关注 / 一年前发布,93,"10,052元/平"
房主急售！低密度高品质洋房！配套齐全,九曲花苑 -宝华商圈,3室2厅 | 82.2平米 | 西南 | 毛坯 | 低楼层(共6层)  | 塔楼,1人关注 / 7个月以前发布,81,"9,855元/平"
户型好，楼层好，采光好，业主诚心出售,碧桂园仙林东郡 -宝华商圈,2室1厅 | 83.83平米 | 北 南 | 精装 | 中楼层(共23层)  | 板楼,3人关注 / 7个月以前发布,85,"10,140元/平"
本小区环境优美 碧桂园物业 此房位置好 无遮挡 急售,碧桂园仙林东郡 -宝华商圈,2室2厅 | 83平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 一年前发布,82,"9,880元/平"
户型方正，布局合理，视野开阔。全天采光,御东国际 -句容市区,4室2厅 | 87.99平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板塔结合,0人关注 / 一年前发布,103,"11,706元/平"
户型方正，采光无遮挡，中间楼层，业主诚心出售,碧桂园世纪城邦 -句容,3室2厅 | 99.23平米 | 南 | 简装 | 中楼层(共30层)  | 板楼,2人关注 / 一年前发布,59.8,"6,027元/平"
环境优美 交通便利 采光好 楼间距大  物业好,碧桂园仙林东郡 -宝华商圈,3室2厅 | 96.39平米 | 北 南 | 精装 | 低楼层(共18层)  | 板楼,7人关注 / 一年前发布,100,"10,375元/平"
：此房满两年，楼层位置好，得房率高，舒适性好,嘉烨·御花园 -句容市区,4室2厅 | 142平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,5人关注 / 一年前发布,139.8,"9,846元/平"
精装三居室，小区配套完善，年轻人居住选它！,碧桂园保利时代天汇 -句容市区,3室2厅 | 101.33平米 | 南 北 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 10个月以前发布,109.8,"10,836元/平"
采光户型好，楼间距宽敞。。。。。。,芳邻雅居 -句容市区,3室2厅 | 106.83平米 | 东南 | 精装 | 中楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,80,"7,489元/平"
生活配套便捷，交通便利，距离公园0.5公里,香江公馆 -句容市区,3室2厅 | 91.42平米 | 东南 | 毛坯 | 低楼层(共32层)  | 塔楼,0人关注 / 一年前发布,80,"8,751元/平"
好楼层，高档小区，环境好，采光好,金樾公馆 -句容市区,3室2厅 | 100.77平米 | 南 | 毛坯 | 高楼层(共23层)  | 板塔结合,2人关注 / 一年前发布,108,"10,718元/平"
西岗小区，崇明，华阳，全新精装三房，家电家具齐全,西岗小区 -句容市区,3室2厅 | 89平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 15天以前发布,83.8,"9,416元/平"
满五不唯一，多层电梯洋房，楼层居中视野 宽阔,水畔御景 -句容市区,3室2厅 | 121平米 | 东 | 毛坯 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,118,"9,753元/平"
房屋户型方正房屋宽敞布局分明采光好交通便利,天玺华府 -句容市区,3室2厅 | 87.93平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 一年前发布,90,"10,236元/平"
南京东 近地铁 配套齐全 交通便利,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 90.54平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 10个月以前发布,59,"6,517元/平"
上書房3-2-1-1 115.00m² 115 万,上書房 -句容市区,3室2厅 | 115平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,100,"8,696元/平"
招商国际E城 满两年价格可谈 好楼层,招商国际E城 -宝华商圈,2室1厅 | 69.63平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,65.6,"9,422元/平"
南京东 S6地铁口 碧桂园凤凰城 柏丽湾三房精装修出售,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 116.19平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,5人关注 / 一年前发布,72,"6,197元/平"
地铁口大三房。阳光辣眼睛，前方无遮挡,嘉烨·御花园 -句容市区,3室2厅 | 120平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,4人关注 / 一年前发布,108,"9,000元/平"
南京东 近地铁 配套齐全 交通便利,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 90.54平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 10个月以前发布,59,"6,517元/平"
精装大两房，装修好，拎包入住，采光好,碧桂园仙林东郡 -宝华商圈,2室2厅 | 82.46平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,78,"9,460元/平"
满两年，楼层好，采光足，视野好，户型方正,恒大雅苑 -宝华商圈,2室2厅 | 88.06平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 8个月以前发布,87,"9,880元/平"
此房 满二 无抵押 户型方正 景观楼层 面靠地铁口,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 133平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 一年前发布,130,"9,775元/平"
满两年税费少，三房朝南中间楼层采光好,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 90.54平米 | 南 东南 东 | 精装 | 中楼层(共32层)  | 塔楼,14人关注 / 一年前发布,65,"7,180元/平"
汤山东黄梅新村精装修三房东边户含28平米朝南大车库,黄梅新村东区 -碧桂园凤凰城,3室2厅 | 107.51平米 | 南 北 | 精装 | 中楼层(共7层)  | 塔楼,6人关注 / 一年前发布,65,"6,046元/平"
南京东 近地铁 交通便利 配套齐全,碧桂园凤凰城幸福里 -碧桂园凤凰城,3室2厅 | 119.02平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 8个月以前发布,82,"6,890元/平"
柏丽湾地铁口温馨舒适明光大三房,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 135.36平米 | 南 北 | 简装 | 中楼层(共30层)  | 塔楼,0人关注 / 5个月以前发布,101,"7,462元/平"
满2年节省购房成本，门店托管钥匙不耽误看房时间。,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室2厅 | 105.56平米 | 南 | 简装 | 中楼层(共32层)  | 塔楼,0人关注 / 10个月以前发布,86,"8,148元/平"
碧桂园凤凰城柏丽湾精装大四房，户型方正,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,4室2厅 | 273.78平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,2人关注 / 一年前发布,235,"8,584元/平"
南京东  近地铁 户型方正 得房率高,黄梅新村西区 -碧桂园凤凰城,3室2厅 | 106.22平米 | 南 | 毛坯 | 高楼层(共7层)  | 塔楼,4人关注 / 一年前发布,50,"4,708元/平"
水蓝湾12栋 正面湖景 急急 带车位 随时看房,碧桂园凤凰城水蓝湾 -碧桂园凤凰城,3室1厅 | 133.29平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 3个月以前发布,98,"7,353元/平"
湖景边户三房两卫 全明中高楼层视野开阔阳光辣眼,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室2厅 | 117.21平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 10个月以前发布,70,"5,973元/平"
翰林湾好楼层 精装交付 大三房,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 134.06平米 | 南 东 | 简装 | 中楼层(共30层)  | 塔楼,3人关注 / 一年前发布,99,"7,385元/平"
幸福里低密度二次精装大三房南北通透,碧桂园凤凰城幸福里 -碧桂园凤凰城,3室2厅 | 135.06平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 8个月以前发布,105,"7,775元/平"
翰林湾 温馨三房 位置好 采光好,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 91.4平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,2人关注 / 9个月以前发布,64,"7,003元/平"
碧桂园凤凰城芷兰湾 3室1厅 南 北,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室1厅 | 117平米 | 南 北 | 其他 | 低楼层(共33层)  | 塔楼,0人关注 / 13天以前发布,68,"5,812元/平"
精装温馨小三房，拎包入住，家具家电齐全,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室1厅 | 90.36平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 7个月以前发布,90,"9,961元/平"
小区环境优美内有人工湖出行便利近商场户型方正,碧桂园凤凰城凤鸣苑 -碧桂园凤凰城,5室2厅 | 269.46平米 | 南 | 简装 | 高楼层(共29层)  | 塔楼,6人关注 / 3个月以前发布,164,"6,087元/平"
汤山东黄梅新村108平米大三房好户型,黄梅新村中区 -碧桂园凤凰城,3室2厅 | 108.49平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,61,"5,623元/平"
"此房满二，南北通透格局，采光好，视野好,交通便利。",碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 133.47平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 5个月以前发布,108,"8,092元/平"
业主急售碧桂园凤凰城小三房，有钥匙，满二年,碧桂园凤凰城水蓝湾 -碧桂园凤凰城,3室1厅 | 92.44平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,22人关注 / 5个月以前发布,66,"7,140元/平"
精装修可直接拎包入住，南北双阳台，位置佳，采光好,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室2厅 | 125.8平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,120,"9,539元/平"
南京城东 S6地铁口50米 满五年 刚需精装三房,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 115.96平米 | 南 | 简装 | 低楼层(共32层)  | 塔楼,0人关注 / 4个月以前发布,85,"7,331元/平"
芷兰湾  3房   自住装修拎包入住  有车位,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室2厅 | 117.16平米 | 南 北 | 简装 | 中楼层(共32层)  | 塔楼,3人关注 / 1个月以前发布,89,"7,597元/平"
此房满二唯一，户型朝南，配套设施齐全，交通便利,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 99.82平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 一年前发布,67,"6,713元/平"
芷兰湾  3房   自住装修拎包入住  有车位,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室2厅 | 117.16平米 | 南 北 | 简装 | 中楼层(共32层)  | 塔楼,3人关注 / 1个月以前发布,89,"7,597元/平"
黄梅新村 东区经济适用房 好楼层,黄梅新村东区 -碧桂园凤凰城,3室2厅 | 107.51平米 | 南 | 毛坯 | 中楼层(共7层)  | 塔楼,0人关注 / 一年前发布,48,"4,465元/平"
小区环境优美，物业好，诚心出售，交通便利。,台北上上城 -句容市区,3室2厅 | 98.7平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,78,"7,903元/平"
我看过这个小区，理想型小区，适合居住,兴都碧水铭苑 -句容市区,3室1厅 | 121.27平米 | 东 东南 南 | 精装 | 高楼层(共34层)  | 板塔结合,2人关注 / 一年前发布,102,"8,411元/平"
温馨舒适3室2卫，毛坯房，大门口,公园尚城 -句容市区,3室1厅 | 109.19平米 | 南 | 毛坯 | 低楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,77.8,"7,126元/平"
城西  天悦容城  纯毛坯三房两厅一卫！,天悦容城 -句容市区,3室2厅 | 114平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 12天以前发布,71,"6,229元/平"
香溪湾3-1-1-2 120.06m² 120 万）,香溪湾 -句容市区,3室1厅 | 120.06平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,2人关注 / 一年前发布,100,"8,330元/平"
御东国际小高层楼房得房率高房东靠谱,御东国际 -句容市区,3室1厅 | 114平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,1人关注 / 一年前发布,105,"9,211元/平"
房子格局好楼层好采光足视野好主卧朝南主卧带飘窗,恒大雅苑 -宝华商圈,3室2厅 | 174.54平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 一年前发布,169,"9,683元/平"
户型好 三房朝南 精工装修 视野开阔近轻轨 生活便利,碧桂园凤凰城临湖苑 -碧桂园凤凰城,4室2厅 | 176.4平米 | 南 北 | 精装 | 低楼层(共30层)  | 塔楼,1人关注 / 一年前发布,150,"8,504元/平"
