标题,开发商,房子信息,发布信息,售价/万,单价
翠竹新村 未占用 随时看房 价格好谈,翠竹新村 -红梅,2室1厅 | 67.21平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,7人关注 / 3个月以前发布,76.8,"11,427元/平"
新小区户型方正毛坯三房，看放有钥匙，随时等你来约！,弘阳燕澜湾 -兰陵街道,3室2厅 | 111平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 塔楼,0人关注 / 18天以前发布,185,"16,667元/平"
华润凯旋门二期 4室2厅2卫 50万精装修 2个车位,华润凯旋门二期 -茶山,4室2厅 | 142.92平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 23天以前发布,310,"21,691元/平"
地铁口 凤凰名城大平层纯毛坯 得房率高 诚心卖,凤凰名城 -新桥,4室2厅 | 160.42平米 | 东南 南 | 毛坯 | 中楼层(共34层)  | 塔楼,0人关注 / 22天以前发布,205,"12,779元/平"
金色新城东区小高层中层精装二室二厅有车位采光好,金色新城东区 -南大街,2室2厅 | 98平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 8天以前发布,168,"17,143元/平"
晋陵文锦二室二厅高层头排采光好,晋陵文锦 -南大街,2室2厅 | 87.71平米 | 南 | 精装 | 高楼层(共34层)  | 暂无数据,0人关注 / 8天以前发布,268,"30,556元/平"
莱蒙城精装三房 诚心出售 价格能谈,莱蒙城公园里 -湖塘镇,3室2厅 | 118.61平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 7天以前发布,230,"19,392元/平"
吾悦商圈聚湖雅苑三开间朝南精装 楼层好,聚湖雅苑 -湖塘镇,3室1厅 | 128.08平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 4天以前发布,190,"14,835元/平"
大学城旁 精装修 业主诚心出售 随时可看,中奥珑郡 -湖塘镇,3室2厅 | 89.72平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 7天以前发布,160,"17,834元/平"
莱蒙城中 央府 精装修 诚心出售 随时可看,中央府东区 -湖塘镇,3室2厅 | 87.46平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 7天以前发布,170,"19,438元/平"
新市府，飞龙吾悦万和城旁，金地格林郡楼层好设施齐全,金地格林郡 -三井,3室2厅 | 95.86平米 | 东南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 3天以前发布,169,"17,630元/平"
新城•悠活城 3室1厅 南,新城•悠活城 -薛家,3室1厅 | 75.2平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 6天以前发布,95,"12,633元/平"
新市飞龙商圈，绿都万和城小区中别墅旁，精装修。,绿都万和城2区 -三井,3室2厅 | 124.75平米 | 南 | 精装 | 低楼层(共22层)  | 板塔结合,0人关注 / 2天以前发布,226.8,"18,181元/平"
飞龙吾悦旁  精装修未入住 无遮挡 随时可看房,绿都万和城阳湖郡 -三井,4室2厅 | 168平米 | 南 | 精装 | 低楼层(共20层)  | 板塔结合,0人关注 / 4天以前发布,380,"22,620元/平"
飞龙吾悦旁 纯毛坯 中间楼层 诚心出售,绿都万和城阳湖郡 -三井,3室2厅 | 116平米 | 南 | 毛坯 | 中楼层(共20层)  | 板塔结合,0人关注 / 6天以前发布,230,"19,828元/平"
香溢紫郡 3室2厅 东南,香溢紫郡 -青龙,3室2厅 | 100.43平米 | 东南 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 6天以前发布,158,"15,733元/平"
世茂香槟湖3.1期 5室2厅 东南,世茂香槟湖3.1期 -三井,5室2厅 | 157平米 | 东南 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 1天以前发布,238,"15,160元/平"
白马公馆远离高架精装自住好房大三房安家之选,白马公馆 -薛家,3室2厅 | 114.99平米 | 东南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 29天以前发布,195,"16,958元/平"
路劲城洋房底复，199平，精装200万，急售,路劲城三期 -湖塘镇,5室3厅 | 197平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,690,"35,026元/平"
"此房格局好,全天采光,户型方正 洋房 视野宽阔",四季雅苑4区 -东城街道,3室1厅 | 92平米 | 东南 | 精装 | 高楼层(共27层)  | 暂无数据,0人关注 / 23天以前发布,138,"15,000元/平"
常州产权 精装三房  中高楼层 诚心出售 拎包即住,祥龙苑 -璜土,3室2厅 | 137.81平米 | 南 | 精装 | 高楼层(共23层)  | 板塔结合,0人关注 / 25天以前发布,149,"10,812元/平"
飞龙吾悦旁 居住舒适 配套齐全 交通便利,银河湾第一城一期 -三井,3室1厅 | 96.94平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 21天以前发布,170,"17,537元/平"
天润园 好楼栋 位置豪-华大平层 装修保养很好有车位,天润园 -河海,4室2厅 | 222.61平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 23天以前发布,445,"19,991元/平"
中海龙城花园三期 精装三房二卫 满五唯一,中海龙城花园 -三井,3室2厅 | 97.43平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼,0人关注 / 24天以前发布,235,"24,120元/平"
莱蒙小时代，4室，精装修，中间楼层，诚心出售价可谈,莱蒙小时代 -南大街,4室1厅 | 143.15平米 | 南 | 精装 | 中楼层(共47层)  | 板楼,0人关注 / 29天以前发布,458,"31,995元/平"
大名城西区满五三开间朝南，精装，好楼层，拎包即住,大名城西区 -三井,3室2厅 | 162.22平米 | 南 北 | 精装 | 中楼层(共38层)  | 板塔结合,0人关注 / 21天以前发布,295,"18,186元/平"
5楼带阁楼三开间朝南位置好电动车库诚意出售价格可谈,翠竹新村北区 -红梅,4室2厅 | 113.03平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 29天以前发布,128,"11,325元/平"
新城尚东花园北区，精装三朝南开间诚心出售价格可谈,新城尚东区花园北区 -红梅,3室1厅 | 113.72平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 18天以前发布,208,"18,291元/平"
吾悦湖塘桥初中 武柴新村 户型周正 业主诚售,武柴新村 -湖塘镇,3室1厅 | 64.58平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 20天以前发布,70,"10,840元/平"
业主诚售，地铁口， 视眼开阔，绿化面积高,凤凰名城 -新桥,3室2厅 | 130平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,0人关注 / 19天以前发布,170,"13,077元/平"
金新御园精装三房 前排无遮挡 采光没影响 诚心出售,金新御园 -青龙,3室2厅 | 106.5平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,1人关注 / 25天以前发布,195,"18,310元/平"
19年交付新小区 1梯1户 品质物业 精装 拎包住,城市中央美居 -永红,4室2厅 | 131.25平米 | 南 | 精装 | 低楼层(共17层)  | 暂无数据,0人关注 / 25天以前发布,277,"21,105元/平"
宝龙国际花园，好楼层，诚心出售,宝龙国际花园 -北港,4室2厅 | 161平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 17天以前发布,305,"18,945元/平"
含车位 精装60万 中.央空调地暖 3房2卫+储藏室 保养好,世茂香槟湖二期 -三井,3室2厅 | 138.17平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 20天以前发布,300,"21,713元/平"
水木年华 中上楼层 装修不到两年 诚意出售,水木年华 -三井,2室2厅 | 126.61平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 27天以前发布,185,"14,612元/平"
满五唯一 精装三房 采光好 房东诚心出售,绿地世纪城A区 -新闸,3室1厅 | 87.87平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,0人关注 / 18天以前发布,136,"15,478元/平"
好房满五省税。价格可谈。看房方便。交通便利。,香缇湾花园 -红梅,2室2厅 | 95平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 29天以前发布,152,"16,000元/平"
宝龙国际花园，好楼层，诚心出售,宝龙国际花园 -北港,4室2厅 | 161平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 17天以前发布,305,"18,945元/平"
新出 精装保养好 锦绣天地三房两厅两卫 房东诚心出售,锦绣天地 -河海,3室2厅 | 96.84平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 16天以前发布,200,"20,653元/平"
恐龙园 世茂香槟湖 空中复式 精装5房 诚心出售,世茂香槟湖一期 -三井,5室2厅 | 266.13平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,450,"16,910元/平"
BRT旁 精装 带露台 房东诚心出售 自住，保养好,新城首府一期 -五星,4室2厅 | 246平米 | 东南 | 精装 | 高楼层(共36层)  | 板塔结合,1人关注 / 22天以前发布,600,"24,391元/平"
世茂香槟湖！精装别墅！前后院子！诚意出售！,世茂香槟湖3.1期 -三井,5室3厅 | 380平米 | 南 | 精装 | 3层  | 板塔结合 | 联排别墅 ,0人关注 / 1个月以前发布,1250,"32,895元/平"
雅居乐星河湾新出顶楼复式 精装修 视野开阔，无遮挡,雅居乐星河湾 -三井,4室2厅 | 215平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,0人关注 / 28天以前发布,550,"25,582元/平"
豪郡花苑别墅纯毛坯六房三厅一厨五卫,豪郡花园 -青龙,5室2厅 | 363.06平米 | 南 | 毛坯 | 4层  | 板塔结合 | 联排别墅 ,0人关注 / 20天以前发布,785,"21,622元/平"
3.3米大平层 百米楼间距 挑高客厅  实际面积400平,雅居乐星河湾 -三井,5室2厅 | 217平米 | 南 | 精装 | 高楼层(共20层)  | 板楼,10人关注 / 9个月以前发布,625,"28,802元/平"
此房满五联排别墅视野开阔采光充足,阳光花园(新北) -三井,5室2厅 | 218.09平米 | 南 | 精装 | 低楼层(共2层)  | 板塔结合,2人关注 / 6个月以前发布,730,"33,473元/平"
秀江南精装两套联排边户 室内电梯 车库直接入户,长兴秀江南 -未知商圈,5室2厅 | 292.09平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,1人关注 / 4个月以前发布,900,"30,813元/平"
关河路西新桥旁北新巷  复式2层  拎包入住  诚心出售,北新巷小区 -五星,4室2厅 | 172.28平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 6个月以前发布,199,"11,551元/平"
尚枫澜湾好位置别墅 带花园全天采光 诚意出 随时看房,尚枫澜湾 -三井,6室2厅 | 350平米 | 南 | 简装 | 2层  | 暂无数据 | 联排别墅 ,0人关注 / 1个月以前发布,880,"25,143元/平"
商圈地段，地段好，采光好，精装户型.,复兴家园 -兰陵街道,9室4厅 | 300.03平米 | 南 | 精装 | 低楼层(共3层)  | 板塔结合,1人关注 / 5个月以前发布,560,"18,665元/平"
大名城毛坯四房两卫，楼层好，视野开阔,大名城西区 -三井,4室2厅 | 198.05平米 | 南 | 毛坯 | 中楼层(共38层)  | 板塔结合,0人关注 / 3个月以前发布,380,"19,188元/平"
近地铁，近万达，楼下菜场，配套齐全,新荷花园 -河海,4室2厅 | 239.96平米 | 南 北 | 精装 | 高楼层(共9层)  | 板塔结合,0人关注 / 一年前发布,380,"15,836元/平"
常发2套68平打通做4居室出售 户型好 楼层棒 看房方便,常发嘉园 -湖塘镇,4室2厅 | 68.6平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,13人关注 / 7个月以前发布,105,"15,307元/平"
新城公馆品质小区，优越位置，优质物业，闹中取静,新城公馆尊域 -湖塘镇,3室2厅 | 150.15平米 | 南 | 精装 | 低楼层(共16层)  | 板塔结合,3人关注 / 一年前发布,279,"18,582元/平"
恐龙园旁 品质别墅 随时看房 价格好谈,香树湾云景 -未知商圈,5室2厅 | 215.98平米 | 南 | 精装 | 低楼层(共4层)  | 暂无数据,0人关注 / 2个月以前发布,680,"31,485元/平"
拎包入住，龙湖物业，品质小区，看房方便。,龙湖原山 -三井,5室3厅 | 202.7平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,1人关注 / 1个月以前发布,1380,"68,081元/平"
近龙湖天街 星鑫家园 采光好 户型方正,星鑫家园西区 -五星,4室2厅 | 206平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,7人关注 / 5个月以前发布,179,"8,690元/平"
洋房底复带花园 装修百万新风地暖实用面积400平含车位,泰盈八千里 -西林,5室2厅 | 250.39平米 | 南 | 精装 | 低楼层(共5层)  | 板塔结合,3人关注 / 8个月以前发布,480,"19,171元/平"
房东诚心出售.看房方便.价格可谈,新城公馆尊域 -湖塘镇,4室1厅 | 185平米 | 南 | 精装 | 低楼层(共16层)  | 板塔结合,0人关注 / 14天以前发布,355,"19,190元/平"
房子满二唯一，户型方正，全天采光，带80多平院子。,复兴家园 -兰陵街道,9室2厅 | 283.58平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,16人关注 / 7个月以前发布,390,"13,753元/平"
新城首  府 BRT旁 精装 带露台 房东诚心出售,新城首府一期 -五星,5室2厅 | 233.9平米 | 南 | 精装 | 高楼层(共37层)  | 板塔结合,0人关注 / 3个月以前发布,520,"22,232元/平"
临湖独栋别墅 内外双湖 花园一亩地 环境好 太湖庄园,太湖庄园 -雪堰镇,4室4厅 | 500平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 17天以前发布,1260,"25,200元/平"
红梅公园旁 天顺御和苑毛坯5房,天顺御和苑 -茶山,5室2厅 | 235.34平米 | 南 | 毛坯 | 低楼层(共15层)  | 板塔结合,0人关注 / 8个月以前发布,785,"33,356元/平"
中央花园(天宁区) 5室2厅 南,中央花园(天宁区) -红梅,5室2厅 | 178.55平米 | 南 | 精装 | 高楼层(共22层)  | 板塔结合,0人关注 / 11天以前发布,450,"25,204元/平"
天域大平层 四开间朝南 精装修 看房提前预约,新城公馆-天域 -湖塘镇,4室1厅 | 205平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 11天以前发布,460,"22,440元/平"
佳兆业凤凰湖壹号 洋房 一楼复式带地下室 带院子,佳兆业凤凰湖壹号 -薛家,5室2厅 | 219.71平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,5人关注 / 9个月以前发布,295,"13,427元/平"
星河国际二区 前排无遮挡。采光好。视野开阔房东诚售,星河国际一期二区 -湖塘镇,5室2厅 | 193平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,1人关注 / 一年前发布,510,"26,425元/平"
精装修 中楼层 地段好 紫金城大平层,紫金城南区 -湖塘镇,4室2厅 | 217.26平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 16天以前发布,480,"22,094元/平"
金色新城 顶复 大四房 两阳台加阳光房和露台,金色新城东区 -南大街,4室2厅 | 152.42平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 3个月以前发布,215,"14,106元/平"
龙湖郦城上叠别墅 精装修带大露台 诚意售,龙湖郦城 -青龙,4室2厅 | 206平米 | 南 | 精装 | 下叠(共3层)  | 板塔结合 | 叠拼别墅 ,2人关注 / 6个月以前发布,740,"35,923元/平"
新北区新城樾府精装交付房东诚售,新城樾府 -三井,4室2厅 | 186.11平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,1人关注 / 5个月以前发布,580,"31,165元/平"
华亭苑 精装复式大平层 挑高客厅 全天采光 视野好,华亭苑 -河海,6室2厅 | 397.99平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,12人关注 / 8个月以前发布,599.8,"15,071元/平"
满5唯一 小高层 南北通 户型方正 采光好 顶楼复式,金梅花园 -三井,4室2厅 | 167平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 11天以前发布,245,"14,671元/平"
雨润城，妇幼北侧，四开间，纯毛坯带露台，含双车位,雨润城 -北港,4室2厅 | 199.01平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,5人关注 / 6个月以前发布,324,"16,281元/平"
房户型格局好，楼层好、视野宽阔、采光充足,南祥村 -五星,8室1厅 | 231.66平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,2人关注 / 6个月以前发布,296,"12,778元/平"
花东五村大平层，中等装修，满3年，业主诚心出售,花东五村 -湖塘镇,5室2厅 | 179.95平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,6人关注 / 一年前发布,145,"8,058元/平"
此房满五唯一 边户采光好 地上三层 地下一层,世茂香槟湖南区 -三井,7室2厅 | 253.91平米 | 南 | 精装 | 3层  | 板塔结合 | 联排别墅 ,0人关注 / 2个月以前发布,1500,"59,077元/平"
紫荆公园旁龙洲伊都精装大平层品牌家具家电户型采光好,龙洲伊都 -青龙,5室2厅 | 216.58平米 | 东南 | 精装 | 高楼层(共26层)  | 板塔结合,3人关注 / 7个月以前发布,590,"27,242元/平"
香树湾花园好房出售户型好交通方便,香树湾云景 -未知商圈,6室2厅 | 224.99平米 | 南 北 | 精装 | 低楼层(共2层)  | 暂无数据,32人关注 / 一年前发布,498,"22,135元/平"
一号线地铁口 凤凰名城楼层好户型好业主诚售随时可看,凤凰名城 -新桥,2室2厅 | 87.93平米 | 南 北 | 精装 | 高楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,145,"16,491元/平"
房子楼层好 产权清晰 房东诚心出售,怡盛花园 -三井,2室2厅 | 82.42平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,175,"21,233元/平"
锦绣天地 2室2厅 南,锦绣天地 -河海,2室2厅 | 78.25平米 | 南 | 简装 | 中楼层(共34层)  | 板塔结合,0人关注 / 24天以前发布,155,"19,809元/平"
花园菜场BRT口嘉宏云顶精装三房两卫中楼层高,嘉宏云顶 -永红,3室2厅 | 126平米 | 西南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 23天以前发布,228,"18,096元/平"
