标题,开发商,房子信息,发布信息,售价/万,单价
视野好，采光好，户型方正，配套设施齐全，交通便利,东海岸 -河东北区,4室2厅 | 120.2平米 | 西南 | 精装 | 低楼层(共28层)  | 塔楼,10人关注 / 10个月以前发布,96,"7,987元/平"
美好家园 大3房双卫 145平 居住繁华地段，不吵闹,农业公司宿舍 -北门区,3室2厅 | 145平米 | 东 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,51.8,"3,573元/平"
工程小区三室两厅单卫，居家适宜。,工程小区 -射洪县,3室2厅 | 92.6平米 | 南 | 简装 | 中楼层(共9层)  | 暂无数据,0人关注 / 13天以前发布,41.8,"4,515元/平"
此房满2年，出行方便，户型方正，居住方便舒适,阳光花园 -北门区,3室2厅 | 125.62平米 | 西 | 简装 | 高楼层(共8层)  | 板楼,4人关注 / 一年前发布,43,"3,424元/平"
城北 精装 套三双卫  可按揭,在水一方山水滨江社区 -射洪县,3室2厅 | 105.51平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,1人关注 / 7个月以前发布,61.8,"5,858元/平"
阳光丽城小区交通便利 小区环境干净舒适 适合居住,阳光丽城 -大英县,3室2厅 | 116平米 | 东南 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,41.8,"3,604元/平"
龙腾御锦平层2室空间宽敞产权齐全,龙腾御锦 -河东南区,2室2厅 | 91.92平米 | 西南 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 一年前发布,63.8,"6,941元/平"
射洪纯别墅小区 独栋别墅 环境优美 户型方正 诚心出售,鹭屿洲国际社区 -射洪县,4室2厅 | 220.35平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 3个月以前发布,113,"5,129元/平"
此房出行方便，户型方正，采光通透，居住舒适,香溪苑 -北门区,4室2厅 | 168平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,82,"4,881元/平"
未来城洋房精装大四房带花园  户型方正   交通便利,遂宁花园未来城 -北门区,4室2厅 | 135平米 | 东 | 精装 | 低楼层(共12层)  | 平房,5人关注 / 一年前发布,96.6,"7,156元/平"
河东 龙腾御锦 精装两房 适合年轻人或者养老,龙腾御锦 -河东南区,2室1厅 | 50.07平米 | 东南 | 精装 | 中楼层(共16层)  | 塔楼,0人关注 / 2个月以前发布,46.8,"9,347元/平"
生活圈层丰富.户型方正.采光好.拎包入住,银河路110号 -射洪县,3室2厅 | 74.99平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,18,"2,401元/平"
北门湿地公园旁成熟小区大三房 海绵工程 可停车,永明丽景 -北门区,3室2厅 | 136.37平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 10个月以前发布,61.8,"4,532元/平"
宣传部宿舍 精装大三房 户型方正 拎包入住 诚售,宣传部宿舍 -北门区,4室2厅 | 186.09平米 | 东 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 9个月以前发布,82,"4,407元/平"
北固小区精装3房业主诚心出售目前价格39万可谈,北固雅居 -北门区,3室1厅 | 83.64平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,39.8,"4,759元/平"
城南三室双卫 精装修 可按揭 七带八 楼顶可自己利用,滨江河畔南区 -射洪县,3室2厅 | 112.84平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,66,"5,849元/平"
城北小区 三室  交通便利 小区环境干净舒适 适合居住,水竹园四巷 -射洪县,3室1厅 | 91.57平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,29.8,"3,255元/平"
首付低，该房精装修，地理位置优越，采光好，户型方正,明月星城 -北门区,3室2厅 | 139.97平米 | 东 | 精装 | 高楼层(共17层)  | 塔楼,1人关注 / 一年前发布,83.8,"5,987元/平"
依山美郡小区交通便利 小区环境干净舒适 适合居住,依山美郡 -大英县,3室2厅 | 84平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,60.8,"7,239元/平"
新城品质小区 精装修 房东诚心出售 价可议 可按揭,大英印象 -大英县,3室2厅 | 114平米 | 东北 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,57.8,"5,071元/平"
同仁居交通便利 小区环境干净舒适 适合居住,同仁居 -射洪县,4室2厅 | 180平米 | 北 | 其他 | 低楼层(共9层)  | 暂无数据,0人关注 / 12天以前发布,60,"3,334元/平"
户型方正.基础设施齐全.生活设施 离平安公园近,紫光尚城 -射洪县,2室2厅 | 94.8平米 | 南 | 毛坯 | 高楼层(共27层)  | 塔楼,0人关注 / 11天以前发布,48,"5,064元/平"
交通便利 小区环境干净舒适 适合居住,卫校宿舍 -射洪县,3室2厅 | 128平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 10天以前发布,38.79,"3,031元/平"
公园口  三室  精装修  拎包入住 可按揭,红星路70附3号 -射洪县,3室2厅 | 83.11平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,41.8,"5,030元/平"
滨江河畔南区 2室2厅 南,滨江河畔南区 -射洪县,2室2厅 | 88.12平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,48,"5,448元/平"
司法局小区交通便利 小区环境干净舒适 适合居住,司法局宿舍 -大英县,3室2厅 | 141平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 3个月以前发布,45.8,"3,249元/平"
户型方正 楼层适中  生活配套齐全,紫光尚城 -射洪县,3室2厅 | 111.8平米 | 南 | 毛坯 | 高楼层(共27层)  | 塔楼,0人关注 / 11天以前发布,56,"5,009元/平"
香溪苑 六跃七的房子 步梯精装修,香溪苑 -北门区,4室2厅 | 170.69平米 | 东南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 14天以前发布,85,"4,980元/平"
美好家园 大3房双卫 145平 居住繁华地段，不吵闹,农业公司宿舍 -北门区,3室2厅 | 145平米 | 东 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,51.8,"3,573元/平"
奥城南区 步梯三楼 精装三房双卫,奥城花园南区 -河东北区,3室2厅 | 116.79平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,93.8,"8,032元/平"
龙腾御锦精装大两室两厅两卫一厨，采光好，朝向中庭,龙腾御锦 -河东南区,2室2厅 | 50.5平米 | 东南 | 精装 | 中楼层(共11层)  | 塔楼,3人关注 / 6个月以前发布,52.8,"10,456元/平"
黄鹤楼公寓4-2-1-2 189.30m² 148 万,黄鹤楼公寓 -市中区,4室2厅 | 189.3平米 | 南 | 其他 | 高楼层(共13层)  | 暂无数据,2人关注 / 一年前发布,93.8,"4,956元/平"
泰佳尔阳光城3-2-1-2 141.00m² 72 万,泰佳尔阳光城 -南门区,3室2厅 | 138.57平米 | 东南 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 1个月以前发布,69.8,"5,038元/平"
三室两厅     带一个小的书房,大于中学小区 -射洪县,3室2厅 | 125.02平米 | 北 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,46,"3,680元/平"
此房满二，业主诚心出售，欧洲新城步梯小高层,荣兴遂州新城 -河东南区,4室2厅 | 127平米 | 东南 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 13天以前发布,130,"10,237元/平"
繁荣公寓位于紫云公寓右面射高旁边花园小区,诚信花园繁荣公寓 -射洪县,3室2厅 | 113平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 7个月以前发布,60,"5,310元/平"
万达商圈，使用面积大，清水房，诚心出售,东城绿洲B区 -河东北区,3室2厅 | 140.64平米 | 东南 | 毛坯 | 中楼层(共32层)  | 塔楼,16人关注 / 一年前发布,87,"6,187元/平"
城北小区 户型方正3室 采光好 税低 可拎包入住,天晓巷21号 -射洪县,3室2厅 | 109平米 | 南 | 简装 | 低楼层(共8层)  | 暂无数据,0人关注 / 31天以前发布,36.8,"3,377元/平"
此房为四房，户型方正，采光充足，视野广阔，大阳台。,天宏领地 -南门区,4室2厅 | 73.89平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,53.8,"7,282元/平"
城中  遂中教师宿舍  3室  急售,遂中老校区教师宿舍 -市中区,3室2厅 | 102.1平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,9人关注 / 7个月以前发布,46.2,"4,525元/平"
北门两房带屋顶花园，户型方正，位置优越,近水楼台 -西山路区,4室2厅 | 102.92平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 2个月以前发布,82.8,"8,046元/平"
步梯妖层，装修新色，带露台阳光棚，红木家具，,银河嘉园 -西山路区,4室3厅 | 238.13平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,145.8,"6,123元/平"
"滨江路二桥头江景房,单价6000多 三室双卫",滨海名城 -南门区,3室2厅 | 128平米 | 东 | 简装 | 低楼层(共28层)  | 暂无数据,0人关注 / 9天以前发布,81.8,"6,391元/平"
中铁龙城 2室2厅 东南,中铁龙城 -河东北区,2室2厅 | 88.76平米 | 东南 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 13天以前发布,86,"9,690元/平"
山屿湖5跃6跃7带花园 精装关门卖 诚心出售价钱可谈,山屿湖 -仁里场区,4室2厅 | 147平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 11天以前发布,195,"13,266元/平"
河东万达旁 电梯精装大四房 拎包入住,东城一品 -河东北区,4室2厅 | 154.94平米 | 南 | 精装 | 中楼层(共23层)  | 塔楼,0人关注 / 15天以前发布,113,"7,294元/平"
河东 保利江语城精装三房 诚心出售,保利江语城 -河东北区,3室2厅 | 83.2平米 | 东 | 精装 | 低楼层(共28层)  | 塔楼,3人关注 / 5个月以前发布,107,"12,861元/平"
装修房+客厅带阳台，明厨明卫+标准套三双卫+保养度好,东城一品 -河东北区,3室2厅 | 126平米 | 东南 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 13天以前发布,92,"7,302元/平"
碧水逸景 4室2厅 南 北,碧水逸景 -市中区,4室2厅 | 183.11平米 | 南 北 | 简装 | 高楼层(共20层)  | 塔楼,0人关注 / 9天以前发布,106,"5,789元/平"
安置房小区都是熟人，好相处，物业费0.6元，有停车场,乘龙苑 -未知商圈,2室1厅 | 67平米 | 东 东南 南 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 7天以前发布,28,"4,180元/平"
玉泉街110号3-1-1-1 87.70m²,玉泉街110号 -南门区,3室1厅 | 87.7平米 | 东南 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,38,"4,333元/平"
翰林名苑精装1室出售，楼层好，产权满2年，喊价48.8万,翰林名苑 -市中区,1室1厅 | 48.77平米 | 西 | 其他 | 低楼层(共33层)  | 塔楼,0人关注 / 5天以前发布,48.8,"10,007元/平"
此房装修漂亮，出行方便，户型方正，居住方便舒适,兴和·铂金公馆 -河东南区,1室1厅 | 35平米 | 西南 | 精装 | 中楼层(共22层)  | 塔楼,0人关注 / 6天以前发布,33.8,"9,658元/平"
此房户型方正，居住舒适，朝小区中庭,西山美邸 -射洪县,2室2厅 | 84.39平米 | 东 | 其他 | 中楼层(共29层)  | 暂无数据,0人关注 / 6天以前发布,26.8,"3,176元/平"
纪经委小区 2室2厅 东,纪经委小区 -市中区,2室2厅 | 98平米 | 东 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 5天以前发布,50,"5,103元/平"
大型花园小区 中庭安静采光好无遮挡免增值税,城南丽景 -南门区,2室2厅 | 86.5平米 | 东 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 4天以前发布,48.8,"5,642元/平"
小区位于商务区，小区配套齐全，,紫东街94号 -市中区,2室2厅 | 65平米 | 东 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 4天以前发布,29.8,"4,585元/平"
体育馆旁，红旭铂玉城两室两厅一卫直接拎包入住,红旭铂玉城 -射洪县,2室2厅 | 81平米 | 南 | 其他 | 中楼层(共31层)  | 暂无数据,0人关注 / 4天以前发布,42.8,"5,284元/平"
体育馆旁铂玉城，两室两厅一卫直接拎包入住,红旭铂玉城 -射洪县,2室2厅 | 81平米 | 南 | 其他 | 中楼层(共31层)  | 暂无数据,0人关注 / 4天以前发布,42.8,"5,284元/平"
南门滨江华府精装两房，看房方便，诚心出售,滨江华府 -南门区,2室2厅 | 74.84平米 | 东南 | 精装 | 低楼层(共31层)  | 塔楼,0人关注 / 5天以前发布,59.8,"7,991元/平"
遂宁花园未来城 3室2厅 南,遂宁花园未来城 -北门区,3室2厅 | 87平米 | 南 | 其他 | 中楼层(共27层)  | 塔楼,0人关注 / 1天以前发布,68,"7,817元/平"
出行方便，户型方正，商场，居住方便舒适,碧桂园中环壹号 -物流港区,3室2厅 | 92平米 | 东南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,71,"7,718元/平"
房子是大4房，中间楼层 朝向好  户型好,天鹅湖3期 -蓬溪县,4室2厅 | 111平米 | 东 | 其他 | 中楼层(共34层)  | 暂无数据,0人关注 / 1个月以前发布,33,"2,973元/平"
遂州中路867号 3室2厅 东南,遂州中路867号 -北门区,3室2厅 | 133平米 | 东南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,65,"4,888元/平"
标准三房双卫 朝正南 纯中庭 看房方便 诚心出售,邦泰河东院子 -河东北区,3室2厅 | 118平米 | 南 | 其他 | 低楼层(共12层)  | 暂无数据,0人关注 / 1个月以前发布,130,"11,017元/平"
帝一江岸 3室2厅 西北,帝一江岸 -河东北区,3室2厅 | 124平米 | 西北 | 其他 | 高楼层(共28层)  | 塔楼,0人关注 / 1个月以前发布,108,"8,710元/平"
西山美邸清水现浇房，3室2厅2卫,西山美邸 -射洪县,3室2厅 | 127平米 | 南 | 其他 | 高楼层(共29层)  | 暂无数据,0人关注 / 1个月以前发布,45.5,"3,583元/平"
奥城花园北区 3室2厅 东,奥城花园北区 -河东北区,3室2厅 | 85平米 | 东 | 其他 | 高楼层(共28层)  | 塔楼,0人关注 / 29天以前发布,87,"10,236元/平"
鹭屿洲国际社区别墅交通便利 小区环境干净舒适,鹭屿洲国际社区 -射洪县,5室2厅 | 212平米 | 南 西南 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 1个月以前发布,99.8,"4,708元/平"
商务区   电 梯   精装三室,遂州中路200号 -市中区,3室1厅 | 87平米 | 东南 | 其他 | 高楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,45.8,"5,265元/平"
介福桥 单位宿舍好楼层 温馨改3房 有小区门卫,机电宿舍 -市中区,3室2厅 | 91.7平米 | 东 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 28天以前发布,55,"5,998元/平"
城北小 学旁3楼 正规大三房出售 看房方便,平安巷 -市中区,3室2厅 | 103平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 29天以前发布,46,"4,467元/平"
出行方便，户型方正，商场，居住方便舒适,碧桂园中环壹号 -物流港区,4室2厅 | 114平米 | 东南 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,75,"6,579元/平"
新城区现浇步梯中间楼层自住装修房产证在手可按揭,开元新城 -大英县,3室2厅 | 97平米 | 东南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,46.6,"4,805元/平"
新城名居 交通便利 小区环境干净舒适 适合居住,中枢新城名居 -射洪县,2室2厅 | 84.96平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 30天以前发布,52.8,"6,215元/平"
业主诚心出售，产权满两年，随时可以看房,荣兴遂州新城 -河东南区,2室2厅 | 74.58平米 | 东 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,66,"8,850元/平"
广寒简装套三   采光好   小区有物管   欢迎实地看房,台洪小区 -射洪县,3室2厅 | 109平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 29天以前发布,33,"3,028元/平"
正黄金域香江 4室2厅 东,正黄金域香江 -射洪县,4室2厅 | 129平米 | 东 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 27天以前发布,88,"6,822元/平"
城南聚正苑，好楼层，户型方正，采光通透,聚正苑 -射洪县,3室2厅 | 138平米 | 西 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,49.8,"3,609元/平"
碧桂园 中环壹号 近 华翔城 鹭栖湖 绿然 人民医院,碧桂园中环壹号 -物流港区,4室2厅 | 133.6平米 | 东 | 毛坯 | 中楼层(共16层)  | 暂无数据,0人关注 / 25天以前发布,77.8,"5,824元/平"
户型方正  采光好  交通便利,聚德楼 -南门区,3室2厅 | 109.6平米 | 东南 西南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 25天以前发布,36,"3,285元/平"
南门电梯中层 精装三房双卫 拧包入住,鑫嘉园万象新天 -南门区,3室2厅 | 86.85平米 | 东南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,68.8,"7,922元/平"
经典四房双卫 视野开阔  还可任意装修,天鹅湖二期 -蓬溪县,4室2厅 | 110.52平米 | 南 | 其他 | 高楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,35,"3,167元/平"
丽阳花园 三室两厅 错层 商品房 户型采光良好,摩托厂宿舍 -南门区,3室2厅 | 115平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 27天以前发布,50.8,"4,418元/平"
