标题,开发商,房子信息,发布信息,售价/万,单价
步行街小两室带装修；无高税；    产权在手,三公街9号 -北湖公园,2室1厅 | 48.5平米 | 东 东南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,28,"5,774元/平"
标准的套三户型，三房单卫，朝向好，平台大。,南充恒大中航城 -清泉坝,3室1厅 | 79平米 | 南 | 简装 | 低楼层(共33层)  | 塔楼,7人关注 / 9个月以前发布,70,"8,861元/平"
南门坝电梯房 精装修三居中间楼层采光视野好,阳光威尼斯 -南门坝,3室2厅 | 120平米 | 西南 | 其他 | 高楼层(共7层)  | 暂无数据,27人关注 / 一年前发布,55,"4,584元/平"
英伦城邦，3室2厅1卫，简约装修，拎包入住,英伦城邦 -白土坝,3室2厅 | 86.9平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,33人关注 / 一年前发布,80,"9,206元/平"
房子位于五星花园天赐名店户型方正，出行购物方便,文化路152号 -五星花园,4室2厅 | 135.4平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,50,"3,693元/平"
此房无高税 户型方正  地段不用说好的很巴适得板,玉屏花苑 -西山风景区,2室2厅 | 95.14平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 10个月以前发布,40.8,"4,289元/平"
嘉陵主城电梯中间楼层 ，精装修，采光好，房东急售,九洲名苑 -嘉陵广场,3室2厅 | 95.7平米 | 南 北 | 精装 | 中楼层(共27层)  | 塔楼,2人关注 / 5个月以前发布,69.8,"7,294元/平"
小区位置繁华，环境清幽，房间安静宽敞，房东急售,种子大院 -西山运动场,4室2厅 | 106平米 | 东 南 | 简装 | 中楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,46.8,"4,416元/平"
碧桂园 中间楼层 一线江景房 带车位,碧桂园 -文峰,3室2厅 | 101平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 4个月以前发布,73.5,"7,278元/平"
永辉隔壁，优质房源  大面积，,南虹路三段37号 -嘉陵广场,4室1厅 | 139.28平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,8人关注 / 一年前发布,50.8,"3,648元/平"
此房无高税，户型方正，配套设施完善。,怡和花园 -西山运动场,3室2厅 | 127.73平米 | 南 北 | 简装 | 高楼层(共9层)  | 板楼,4人关注 / 一年前发布,45,"3,524元/平"
此房位于五星花园繁华地段，电梯房，楼层中，采光好,新世纪购物广场 -五星花园,4室2厅 | 125.1平米 | 南 | 简装 | 中楼层(共31层)  | 塔楼,8人关注 / 一年前发布,75,"5,996元/平"
蓝光香江国际大盘小区配套齐全 大三房 朝中庭,蓝光·香江国际 -南门坝,4室2厅 | 95.84平米 | 东 东南 西南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 一年前发布,105,"10,956元/平"
顺庆主城区 三桥桥头位置 工作生活学习比较便利,得泰大市场 -人民花园,3室2厅 | 135.99平米 | 东南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,52.9,"3,890元/平"
西山片区 中间楼层 3室2厅1厨1卫,工行小区 -西山风景区,3室2厅 | 93.3平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,42,"4,502元/平"
碧桂园105.5平68万，证件齐全无高税，业主诚心出售,碧桂园 -文峰,3室2厅 | 105.5平米 | 东 南 | 简装 | 中楼层(共32层)  | 塔楼,2人关注 / 一年前发布,61,"5,782元/平"
急售！ 清水三房两卫 嘉陵主城区希望城旁南湖凯旋广场,南湖凯旋广场 -南湖,3室2厅 | 95.16平米 | 东南 | 毛坯 | 高楼层(共23层)  | 塔楼,0人关注 / 9个月以前发布,64.8,"6,810元/平"
城中宁静地，税少费用低，业主精装房，刚需值值值。,宏合小区 -王府井,3室2厅 | 110平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,11人关注 / 一年前发布,49.5,"4,500元/平"
顺庆主城区4房双卫交通方便配套齐全,恒河外滩金融街 -南门坝,4室2厅 | 121.55平米 | 北 东北 | 毛坯 | 中楼层(共28层)  | 塔楼,7人关注 / 一年前发布,92,"7,569元/平"
南门坝商圈 交通便利 成熟片区,文明街44号 -大西街,3室2厅 | 130.18平米 | 东 | 简装 | 中楼层(共7层)  | 板楼,8人关注 / 一年前发布,39,"2,996元/平"
此房位于江东大道七段，江东绿道公园,滨江景城 -江东大道,3室2厅 | 97.1平米 | 东南 | 毛坯 | 中楼层(共16层)  | 塔楼,21人关注 / 一年前发布,58,"5,974元/平"
大三房，中间楼层，户型方正，拎包入住,阳春家园 -王府井,3室2厅 | 119.91平米 | 东南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,55,"4,587元/平"
顺庆区南门坝品质大盘蓝光香江国际,蓝光·香江国际 -南门坝,3室2厅 | 116.75平米 | 南 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 9个月以前发布,102,"8,737元/平"
明宇二期 6+1带花园   小区中庭    户型方正  不临街,明宇•帝壹家东区 -南门坝,4室2厅 | 151.16平米 | 东南 | 精装 | 高楼层(共6层)  | 暂无数据,37人关注 / 一年前发布,79,"5,227元/平"
顺庆主城区4房双卫交通方便配套齐全,恒河外滩金融街 -南门坝,4室2厅 | 121.55平米 | 北 东北 | 毛坯 | 中楼层(共28层)  | 塔楼,7人关注 / 一年前发布,92,"7,569元/平"
户型方正，采光好，出行方便，小区环境好。,蓝光·香江国际 -南门坝,3室2厅 | 90.3平米 | 南 | 毛坯 | 中楼层(共34层)  | 塔楼,0人关注 / 6个月以前发布,79.95,"8,854元/平"
公园大地永辉旁中虹国际 清水三房双卫 电梯中间楼层,中虹国际二区 -嘉陵广场,3室2厅 | 107平米 | 东南 | 毛坯 | 中楼层(共30层)  | 塔楼,18人关注 / 一年前发布,60,"5,608元/平"
川北购物广场旁  三楼、大三房双卫  户型方正,火花路179号 -嘉陵广场,3室2厅 | 130.62平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 1个月以前发布,43,"3,292元/平"
高品质小区，精装三房双卫江景房，全新家具，中间楼层,蓝光COCO香江一期三区 -清泉坝,3室2厅 | 72.35平米 | 东南 | 精装 | 中楼层(共28层)  | 塔楼,6人关注 / 一年前发布,82,"11,334元/平"
房子装修好地段位置在五星花园出行购物方便,西门坝街40号 -西门市场,3室2厅 | 78.28平米 | 东南 | 精装 | 中楼层(共9层)  | 暂无数据,2人关注 / 5个月以前发布,35.8,"4,574元/平"
户型方正，楼层好。采光充足，配套设施成熟,华诺国际三区 -王府井,3室2厅 | 89.84平米 | 东南 | 毛坯 | 高楼层(共18层)  | 塔楼,35人关注 / 一年前发布,57.8,"6,434元/平"
罗曼威森 3室2厅 东北,罗曼威森 -西山运动场,3室2厅 | 93.33平米 | 东北 | 毛坯 | 中楼层(共17层)  | 塔楼,0人关注 / 1个月以前发布,58,"6,215元/平"
视野开阔，交通便利，朝小区中庭，安静舒适,龙川半岛 -西山风景区,3室2厅 | 109平米 | 南 北 | 毛坯 | 低楼层(共19层)  | 塔楼,11人关注 / 一年前发布,64.8,"5,945元/平"
功能格局明显，面积大，无高税，采光好，户型方正,南充恒大中航城 -清泉坝,4室2厅 | 104.47平米 | 东南 | 毛坯 | 低楼层(共33层)  | 塔楼,10人关注 / 一年前发布,81.6,"7,811元/平"
延安路金鱼岭小可巷正规2室下楼就是菜市场医院,小可巷 -延安路,2室2厅 | 78.9平米 | 东南 | 简装 | 高楼层(共8层)  | 暂无数据,26人关注 / 一年前发布,16.5,"2,092元/平"
市政新区精装套三，房东诚心出售，看房方便。,南充公館 -市政新区,3室2厅 | 88.94平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,9人关注 / 一年前发布,71,"7,983元/平"
中间楼层，视野开阔，小区可停大小车，业主急售,农科巷11号 -西山运动场,3室2厅 | 124平米 | 南 | 简装 | 低楼层(共9层)  | 板楼,1人关注 / 一年前发布,46,"3,710元/平"
嘉陵区  精装三房双卫  视野开阔  可看江 随时看房,舒巢一品 -嘉陵广场,3室2厅 | 101平米 | 东南 | 精装 | 中楼层(共18层)  | 塔楼,2人关注 / 5个月以前发布,71.8,"7,109元/平"
房子采光好，实得面积大，出行便利,北湖路228号 -北湖公园,2室1厅 | 53.03平米 | 东南 南 | 简装 | 高楼层(共8层)  | 平房,1人关注 / 1个月以前发布,23,"4,338元/平"
单位房，户型方正，采光好，楼层适中,广电小区 -西山运动场,3室2厅 | 92.13平米 | 东南 | 简装 | 中楼层(共8层)  | 板楼,8人关注 / 一年前发布,43.8,"4,755元/平"
慢城八岛 别墅江景小区 一楼带花园带下跃 有产权,泰合慢城八岛 -江东大道,3室2厅 | 114.84平米 | 东南 | 毛坯 | 低楼层(共6层)  | 暂无数据,28人关注 / 一年前发布,90,"7,837元/平"
顺庆区延安路 正规三房，精装修，售价很适中。,龙吟水郡 -延安路,3室2厅 | 113.01平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,59.5,"5,266元/平"
金鱼岭水电设计院大三房；产权在手；无高税,水电设计院 -延安路,3室2厅 | 128.34平米 | 东 东南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,47,"3,663元/平"
急售 凤山丽景清水三房 看房方便,凤山丽景 -南湖,3室1厅 | 84.36平米 | 南 | 毛坯 | 中楼层(共12层)  | 板塔结合,5人关注 / 一年前发布,48,"5,690元/平"
正阳路龙吟水郡6+1 采光好带露台 配套齐全交通便利,龙吟水郡 -延安路,5室2厅 | 184.43平米 | 东南 | 毛坯 | 高楼层(共6层)  | 板楼,4人关注 / 7个月以前发布,74.8,"4,056元/平"
精装大两室  中间楼层  采光好,新世纪购物广场 -五星花园,2室2厅 | 86.66平米 | 南 | 简装 | 高楼层(共31层)  | 塔楼,2人关注 / 7个月以前发布,49,"5,655元/平"
精装领包入住 滨江大道 业主诚心出售,望江阁 -延安路,3室1厅 | 114.06平米 | 东南 | 其他 | 高楼层(共6层)  | 板塔结合,1人关注 / 4个月以前发布,55,"4,823元/平"
优质好房  大家多多带看多多成 交,南湖凯旋广场 -南湖,3室2厅 | 95平米 | 东南 | 毛坯 | 低楼层(共23层)  | 塔楼,21人关注 / 一年前发布,57,"6,000元/平"
本房是6+1清水房，单价低，带顶跃的，实得面积多。,蝶院 -江东大道,3室2厅 | 128.27平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,29人关注 / 一年前发布,78,"6,081元/平"
滨江大道三桥头泰合尚渡清水大三房户型方正朝小区中庭,泰合尚渡 -延安路,3室2厅 | 124.48平米 | 东 | 毛坯 | 低楼层(共33层)  | 塔楼,4人关注 / 一年前发布,82,"6,588元/平"
茶盘路现浇多层洋房嘉楠绿洲中间楼层3房2卫出售,嘉楠绿洲 -南湖,3室2厅 | 96.37平米 | 东南 | 毛坯 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,47.3,"4,909元/平"
滨江大道  精装套三  户型方正 采光佳,滨江首座 -延安路,3室2厅 | 98.12平米 | 东 | 精装 | 低楼层(共32层)  | 塔楼,2人关注 / 7个月以前发布,68,"6,931元/平"
顺庆主城区 南门坝1227广场旁 两层loft繁华地段。,悦府 -南门坝,3室1厅 | 110.5平米 | 东南 | 毛坯 | 中楼层(共26层)  | 塔楼,1人关注 / 5个月以前发布,105,"9,503元/平"
滨江大道  精装套三  户型方正 采光佳,滨江首座 -延安路,3室2厅 | 98.12平米 | 东 | 精装 | 低楼层(共32层)  | 塔楼,2人关注 / 7个月以前发布,68,"6,931元/平"
小区中庭带花园 精装有钥匙 户型方正 随时看房,明宇·帝壹家西区 -南门坝,3室2厅 | 120.58平米 | 南 西南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,75.79,"6,286元/平"
清泉坝蓝光coco香江毛坯三房，动静分区，通风效果好,蓝光COCO香江2期 -清泉坝,3室1厅 | 71.24平米 | 南 | 毛坯 | 中楼层(共27层)  | 塔楼,12人关注 / 一年前发布,55,"7,721元/平"
出入方便，附带前后花园，丰富生活,恒大悦龙台 -江东大道,3室2厅 | 147.28平米 | 东南 | 毛坯 | 低楼层(共9层)  | 塔楼,0人关注 / 1个月以前发布,103,"6,994元/平"
临江小区，大四房，单价才六千多点，房东只卖一个月,滨江景城 -江东大道,4室2厅 | 139.5平米 | 东南 | 毛坯 | 中楼层(共18层)  | 塔楼,39人关注 / 一年前发布,84,"6,022元/平"
房东急售，价格很便宜，价格可议,滨江首座 -延安路,2室2厅 | 87平米 | 东 | 毛坯 | 低楼层(共32层)  | 塔楼,44人关注 / 一年前发布,53.5,"6,150元/平"
大盘小区环境好 房子户型好，采光好,蓝光·香江国际 -南门坝,3室2厅 | 88.83平米 | 西南 | 毛坯 | 低楼层(共18层)  | 塔楼,11人关注 / 一年前发布,74.3,"8,365元/平"
优质楼层，适合老年人养老居住，装修很不错。,文明街 -南门坝,2室2厅 | 81.21平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,1人关注 / 2个月以前发布,42.1,"5,185元/平"
嘉陵区 天庐旁 洋房顶跃 复式楼中楼 无高税 随时看房,华尔兹庄园 -南湖,5室3厅 | 118.55平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 7个月以前发布,67.5,"5,694元/平"
天庐江景洋房，中间楼层，双证齐全无高税,天庐一区 -南湖,3室2厅 | 124.92平米 | 东南 | 毛坯 | 中楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,79.8,"6,389元/平"
无高税，交易简单，卧室带阳台，宽敞明亮，可拎包入住,文化路234号附1号 -北湖公园,2室2厅 | 81.03平米 | 东南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 4个月以前发布,59,"7,282元/平"
南高门口，涪江路**，大阳台采光好，急卖，急急急,涪江路159号西门旺角 -西门市场,3室2厅 | 92.7平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,10人关注 / 8个月以前发布,26.8,"2,892元/平"
低楼层有小区停车，顺庆繁华地段诚意出售,惠丰花园 -火车站,2室2厅 | 89.4平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板塔结合,6人关注 / 一年前发布,35,"3,915元/平"
综合市场，民欣街，白塔旁，楼上做了防水,民欣街16号 -川东北金融中心,3室2厅 | 91.16平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,13人关注 / 8个月以前发布,21,"2,304元/平"
此房无高税，户型方正，采光良好,香洲郡 -嘉陵广场,3室2厅 | 135.67平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 10个月以前发布,71.8,"5,293元/平"
三房，房东地板价出售，  ，西门车站，位置好,表方街46号 -金泉路,3室2厅 | 99.13平米 | 西南 南 | 简装 | 高楼层(共9层)  | 板楼,73人关注 / 一年前发布,26,"2,623元/平"
顺庆主城区，配套很成熟，交通四通八达,骏达小区 -五星花园,3室2厅 | 105平米 | 东南 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,30.8,"2,934元/平"
嘉陵区新南 高旁 6+1顶跃 简单装修 无高税 大4房,塞纳印象 -嘉陵广场,4室2厅 | 108平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼,9人关注 / 10个月以前发布,45,"4,167元/平"
火车站 中心医院宿舍电梯高层非顶楼 大三房两卫可停车,中心医院宿舍 -火车站,3室2厅 | 131.52平米 | 南 | 简装 | 高楼层(共9层)  | 板楼,1人关注 / 4个月以前发布,54.8,"4,167元/平"
玉屏公园旁 出行方便 生活配套齐全 采光好,水岸花都三期 -西山风景区,3室2厅 | 126.74平米 | 东南 | 精装 | 低楼层(共7层)  | 板楼,14人关注 / 一年前发布,54,"4,261元/平"
清泉坝高品质电梯洋房，小区环境优美，紧挨江边公园,中南·世纪城 -清泉坝,3室2厅 | 108.84平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,101,"9,280元/平"
带车位 2楼中庭 滨江大道 清水房 没有住过,望江阁 -延安路,3室2厅 | 137.52平米 | 东南 | 毛坯 | 低楼层(共6层)  | 板塔结合,0人关注 / 5个月以前发布,63,"4,582元/平"
奥斯汀3室2厅 交通便利 小区环境干净舒适 适合居住,奥斯汀小镇 -嘉陵广场,3室2厅 | 94.5平米 | 东南 | 简装 | 低楼层(共6层)  | 塔楼,18人关注 / 一年前发布,55,"5,821元/平"
延安路金鱼岭水电设计院环境优美可停大小车，价格好谈,水电设计院 -延安路,3室2厅 | 114.27平米 | 东南 | 简装 | 低楼层(共8层)  | 平房,7人关注 / 一年前发布,45.6,"3,991元/平"
主城区大三房 无高税 ，低总价，格局通透,金鱼岭路 -延安路,3室2厅 | 110.35平米 | 南 北 | 简装 | 高楼层(共8层)  | 暂无数据,5人关注 / 7个月以前发布,28.8,"2,610元/平"
"此房是房东自己装修 家具家电齐全 产权清晰 ,",鹤鸣东路261号 -王府井,3室2厅 | 128.07平米 | 南 | 精装 | 中楼层(共4层)  | 暂无数据,85人关注 / 一年前发布,47,"3,670元/平"
金鱼岭花园正三房首付低价格便宜,金鱼岭花园B区 -延安路,3室2厅 | 104.98平米 | 东南 | 简装 | 高楼层(共8层)  | 暂无数据,30人关注 / 一年前发布,29,"2,763元/平"
江东大道湿地公园旁 精装套三 房东诚心出售,江东华府 -江东大道,3室2厅 | 93.39平米 | 西北 | 精装 | 中楼层(共26层)  | 塔楼,12人关注 / 一年前发布,73.8,"7,903元/平"
电梯房，有小院，满五唯一，生活配套成熟,长生巷151号 -滨江大道,3室2厅 | 75.6平米 | 东南 | 简装 | 高楼层(共9层)  | 暂无数据,3人关注 / 8个月以前发布,28.6,"3,784元/平"
三室两厅两卫，大户型，电梯洋房 中间楼层,江都华宸西苑 -江东大道,3室2厅 | 107平米 | 东南 | 毛坯 | 中楼层(共11层)  | 暂无数据,5人关注 / 5个月以前发布,74.5,"6,963元/平"
