标题,开发商,房子信息,发布信息,售价/万,单价
南岗区 学府地铁好房 复旦街 哈西 枫蓝国际 采光充足,枫蓝国际 -哈西商圈,1室1厅 | 62.83平米 | 南 | 精装 | 32层  | 板楼,1人关注 / 8个月以前发布,68,"10,823元/平"
建河街 2室1厅 南,建河街 -公路大桥,2室1厅 | 48平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 15天以前发布,45.8,"9,542元/平"
正大龙生 3楼  两室一厅  没冷山不挡光  诚心出售,正大龙生家园 -南十四道街商圈,2室1厅 | 51.5平米 | 东 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 11天以前发布,33,"6,408元/平"
河松四楼南向院里不临街双公园双地铁,河松小区一期 -公路大桥,2室1厅 | 61.32平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 14天以前发布,39.8,"6,491元/平"
瀾悦東方 2室1厅 东 南,瀾悦東方 -动力区,2室1厅 | 90平米 | 东 南 | 简装 | 低楼层(共13层)  | 板塔结合,0人关注 / 11天以前发布,75,"8,334元/平"
上方小区 2室1厅 南 北,上方小区 -团结萧红校哈站北秀宾馆,2室1厅 | 62平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 11天以前发布,60,"9,678元/平"
南北通透 光照充足 楼层好  地理位置优越 交通发达,红河一街区 -太平商圈,2室1厅 | 65.41平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 12天以前发布,52.5,"8,027元/平"
金马花园 2室1厅 南 北,金马花园 -哈尔滨新区,2室1厅 | 78平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 8天以前发布,39.8,"5,103元/平"
南郡·香醍雅诺 1室0厅 东南,南郡·香醍雅诺 -哈西商圈,1室0厅 | 50平米 | 东南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 9天以前发布,32,"6,400元/平"
太平桥商圈育英小区 南北通透两室明厅 精装修拎包住,育英小区 -太平商圈,2室2厅 | 109.5平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 8天以前发布,85,"7,763元/平"
盟科万城 大两室H格局  明卫 诚意出售,盟科万城 -哈西商圈,2室1厅 | 103.55平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 3个月以前发布,120,"11,589元/平"
新新怡园地铁口两室明厅精装没大税看房方便,新新怡园 -松北商圈,2室1厅 | 108.67平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,8人关注 / 6个月以前发布,85,"7,822元/平"
吉星小区 5楼 格局好 出行方便 交通便利,吉星小区 -龙塔,2室1厅 | 117.39平米 | 西北 | 简装 | 低楼层(共17层)  | 暂无数据,2人关注 / 3个月以前发布,88,"7,497元/平"
道里 安阳路 海富康城 两室 有地铁,海富康城 -公路大桥,2室1厅 | 55.86平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,26人关注 / 8个月以前发布,37,"6,624元/平"
哈西  龙泽金水尚都东区  业主诚心出售  看房方便,龙泽金水尚都东区 -哈西商圈,2室1厅 | 93.89平米 | 南 北 | 精装 | 中楼层(共23层)  | 板楼,137人关注 / 一年前发布,69.98,"7,454元/平"
人和街果戈里 二楼 三室 使用56米58万可谈,人和街 -儿童公园,3室1厅 | 75.89平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,81人关注 / 一年前发布,51.8,"6,826元/平"
虹桥  会展小区  两室  拎包入住,会展家园小区 -南岗会展商圈,2室1厅 | 77.74平米 | 东 西 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 6个月以前发布,52.8,"6,792元/平"
两室一厅，交通便利，出行方便，看房随时。,珠江帝景 -南岗会展商圈,2室1厅 | 76平米 | 南 北 | 简装 | 高楼层(共16层)  | 板楼,5人关注 / 7个月以前发布,70,"9,211元/平"
格局板正，视野开阔，采光充足，配套设施齐全房屋状..,革新街 -革新教堂,1室1厅 | 47.56平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,5人关注 / 3个月以前发布,26,"5,467元/平"
2010年的房产  格局板正 高层 采光号 拎包即住,橄榄城 -哈东站商圈,1室1厅 | 68.95平米 | 西 | 简装 | 中楼层(共25层)  | 板楼,1人关注 / 一年前发布,55,"7,977元/平"
龙跃金水湾 1室1厅 东,龙跃金水湾 -安埠商圈,1室1厅 | 57.27平米 | 东 | 精装 | 高楼层(共18层)  | 板楼,5人关注 / 8个月以前发布,51.8,"9,045元/平"
此房东西通透格局好小区环境好小区24小时有保安，，，,阳光绿色家园 -南岗会展商圈,1室1厅 | 43.09平米 | 东 西 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 4个月以前发布,47.3,"10,978元/平"
虹桥  会展小区  两室  拎包入住,会展家园小区 -南岗会展商圈,2室1厅 | 77.74平米 | 东 西 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 6个月以前发布,52.8,"6,792元/平"
马家沟校区。一室，总价低，月供低。楼层好，,中和街 -儿童公园,1室1厅 | 34.73平米 | 西南 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 9个月以前发布,19.9,"5,730元/平"
菜艺街 香安小区 格局板正 交通便利 无冷不挡,菜艺街 -菜艺商圈,2室1厅 | 48.79平米 | 东 西 | 精装 | 中楼层(共8层)  | 塔楼,3人关注 / 一年前发布,36.4,"7,461元/平"
宣威街宣德街交口，南北通透，自家装修拎包入住，马家,宣威街 -宣西宣庆体院,2室1厅 | 67.68平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 5个月以前发布,40.8,"6,029元/平"
此房满五  电梯房  价格可谈,迎宾小区 -工农大街,2室1厅 | 119.32平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,30人关注 / 一年前发布,64.8,"5,431元/平"
格兰云天 精装修 封闭小区 交通便利,格兰云天 -动力区,1室1厅 | 57.21平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,15人关注 / 一年前发布,41,"7,167元/平"
汉阳街 2室1厅 南 北,汉阳街 -西大桥商圈,2室1厅 | 59.06平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,17人关注 / 11个月以前发布,31,"5,249元/平"
汇雄商圈 柏悦星城 两室明厅 自家高装,柏悦星城 -先锋路商圈,2室1厅 | 91.71平米 | 东 | 精装 | 高楼层(共29层)  | 板楼,13人关注 / 一年前发布,75.8,"8,266元/平"
恒祥城二期   钻石楼层  精装修  两室 无大税,恒祥城二期 -哈西商圈,2室1厅 | 83.64平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,88.8,"10,617元/平"
众合城 好楼层  精装修两室 地铁口 无大税,众和城 -松北商圈,1室1厅 | 73.76平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,2人关注 / 1个月以前发布,56,"7,593元/平"
威廉公馆  小区环境好  毛坯 无大税,世茂威廉公馆 -松北商圈,1室2厅 | 95.08平米 | 南 | 毛坯 | 低楼层(共15层)  | 板塔结合,1人关注 / 一年前发布,65.5,"6,889元/平"
滨才城一楼带花园 出行购物方便,滨才城一期 -哈尔滨新区,2室1厅 | 86.96平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,47,"5,405元/平"
世纪花园c区房主着急出售，交通方便，随时看房。,世纪花园C区 -松北商圈,2室1厅 | 102.83平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,78,"7,586元/平"
前进家园 好户型 采光很好 房证满五 装修好 看房方便,前进家园 -松北商圈,2室2厅 | 93.36平米 | 南 北 | 精装 | 低楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,69.9,"7,488元/平"
明珠公寓 2室2厅 东 西,明珠公寓 -南岗会展商圈,2室2厅 | 120.93平米 | 东 西 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,105,"8,683元/平"
城市之星 装修好拎包即住 房证下证满二年 格局好,城市之星 -松北商圈,1室1厅 | 53.57平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 3个月以前发布,69.8,"13,030元/平"
青年城邦 一室明厅 精装修 拎包入住 观江房,青年城邦小区 -靖宇公园,1室1厅 | 61.69平米 | 东北 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 4个月以前发布,61,"9,889元/平"
美晨家园电梯房使用85米88万精装修带40米露台,美晨家园 -顾乡大街,2室1厅 | 102.22平米 | 南 西 北 | 精装 | 高楼层(共19层)  | 板塔结合,67人关注 / 一年前发布,69,"6,751元/平"
万达华园高层品质电梯房 业主诚心出售,万达华园 -松北商圈,2室1厅 | 92.05平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 10个月以前发布,78,"8,474元/平"
格局好，楼层好，视野开阔，采光充足，配套设施齐全,香榭丽苑 -龙塔,3室2厅 | 114.38平米 | 南 西 | 精装 | 中楼层(共26层)  | 板楼,1人关注 / 1个月以前发布,108,"9,443元/平"
西大桥 哈工大 曲线街 瓦街 砖街 西大直街 曲线小区,瓦街 -哈特百脑汇教化工大,2室1厅 | 60.25平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,3人关注 / 2个月以前发布,40.5,"6,722元/平"
格局板正 简单装修 三阳房 拎包即住,南棵绿荫小区一期 -哈东站商圈,2室1厅 | 56.14平米 | 东 | 简装 | 高楼层(共7层)  | 板楼,8人关注 / 9个月以前发布,17.5,"3,118元/平"
万达华园 中间楼层 精装修 看房方便,万达华园 -松北商圈,2室1厅 | 91.89平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,2人关注 / 1个月以前发布,79,"8,598元/平"
精致好房下楼凯德交通便利配套齐全,天合俊景 -顾乡凯德广场,2室1厅 | 55.85平米 | 西南 | 简装 | 高楼层(共24层)  | 板楼,1人关注 / 2个月以前发布,57,"10,206元/平"
奋斗 92年4楼 可公积金贷款,光明街 -花园铁岭继红校,1室1厅 | 43.21平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,61,"14,118元/平"
两室格局好 户型不错  哈南地铁口 出行生活便利,哈南铁路小区 -哈南商圈,2室1厅 | 77.62平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,43.8,"5,643元/平"
房本满五唯一，精装修，业主诚心出售，电梯房,北岸明珠 -松北商圈,2室2厅 | 126.4平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,11人关注 / 6个月以前发布,115,"9,099元/平"
保利公园九号 精装修一居室 明厅 采光好,保利公园九号 -松北商圈,1室2厅 | 63.69平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 10个月以前发布,49.8,"7,820元/平"
此房位置好 无遮挡 采光足 配套齐全,CBD瑞城 -哈尔滨新区,1室1厅 | 62.74平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,32.8,"5,228元/平"
林兴小区 凯德商圈 凯德广场 师大夜市儿,林兴小区 -师大附小沙曼小区,1室0厅 | 33.82平米 | 东南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,21,"6,210元/平"
此房位置好 无遮挡 采光足 配套齐全,CBD瑞城 -哈尔滨新区,1室1厅 | 62.74平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,32.8,"5,228元/平"
沃华水岸、两室一厅、拎包入住、3楼、封闭院,沃华水岸 -太平商圈,2室1厅 | 68.24平米 | 东 西 | 简装 | 中楼层(共8层)  | 板楼,9人关注 / 一年前发布,55,"8,060元/平"
医大二院 近地铁 院里 正规一室 精装修 楼层好 南向,枫蓝国际 -哈西商圈,1室1厅 | 64.6平米 | 南 | 精装 | 32层  | 板楼,4人关注 / 11个月以前发布,72,"11,146元/平"
罗马公园两室明厅南北通透中间楼层住装修好拎包住,罗马公元 -安埠商圈,2室1厅 | 93.72平米 | 南 北 | 精装 | 中楼层(共27层)  | 板塔结合,9人关注 / 一年前发布,93,"9,924元/平"
绿海花园 电梯房 两室明厅南北通透 毛坯房随意装修,绿海花园 -动力区,2室1厅 | 87.62平米 | 南 北 | 简装 | 高楼层(共22层)  | 板楼,18人关注 / 一年前发布,67,"7,647元/平"
门口就有地铁站，还有大润发，买东西方便,金瑞林城 -动力区,2室1厅 | 78.31平米 | 西南 | 精装 | 低楼层(共30层)  | 板楼,4人关注 / 9个月以前发布,74,"9,450元/平"
封闭式小区环境 交通出行便利 适合人群,柒季城 -哈尔滨新区,1室1厅 | 49.11平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,3人关注 / 2个月以前发布,16.5,"3,360元/平"
南北通透 2室一厅 2013年房产可贷款 视野好,长江小区 -先锋路商圈,2室1厅 | 92.38平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,1人关注 / 3个月以前发布,46,"4,980元/平"
明珠公寓 两室明厅 阳光充足 视野寇阔 可公积金贷款,明珠公寓 -南岗会展商圈,2室1厅 | 102.54平米 | 西南 | 精装 | 低楼层(共33层)  | 塔楼,2人关注 / 一年前发布,82.7,"8,066元/平"
工人文化宫地铁 4楼 1室精装 26万 84年,巴山街 -革新教堂,1室1厅 | 37.41平米 | 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,25.5,"6,817元/平"
福顺尚景  两室明厅  采光好   楼层好  装修好,福順尚景 -顾乡凯德广场,2室1厅 | 87.5平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,17人关注 / 一年前发布,92,"10,515元/平"
欧洲新城 三室大明厅 南北通透精装修看房方便,欧洲新城 -西大桥商圈,3室1厅 | 120平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,33人关注 / 一年前发布,83,"6,917元/平"
比乐街与黑山街交汇处  私产住宅  出行方便  提前联系,黑山街 -革新教堂,2室1厅 | 92.25平米 | 东 西 | 简装 | 高楼层(共7层)  | 板楼,10人关注 / 一年前发布,28.5,"3,090元/平"
时代广场 会展 红博 红旗大街 黄河路 艺汇家 比优特,时代广场 -龙塔,2室2厅 | 124.26平米 | 东 | 精装 | 中楼层(共19层)  | 板楼,0人关注 / 2个月以前发布,109,"8,772元/平"
赣水路5楼南北两室明厅H户型03年建成采光充足,赣南小区 -南岗会展商圈,2室1厅 | 94.26平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,10人关注 / 8个月以前发布,59.8,"6,345元/平"
哈西鸿朗花园 两室可贷款 看房方便,鸿朗花园南区 -哈西商圈,2室1厅 | 107.91平米 | 西 北 | 精装 | 高楼层(共18层)  | 板塔结合,5人关注 / 一年前发布,82,"7,599元/平"
泰山家园  2楼  建筑94.82米  南北  交通便利,泰山家园 -南岗会展商圈,2室1厅 | 94.82平米 | 北 南 | 简装 | 低楼层(共6层)  | 板楼,11人关注 / 11个月以前发布,74.5,"7,857元/平"
进乡街 两室明厅 通透户型 电梯房 中间楼层全天采光,祥和家园 -动力区,2室1厅 | 105.49平米 | 东 西 | 精装 | 高楼层(共19层)  | 板楼,2人关注 / 一年前发布,68,"6,447元/平"
枫蓝国际正规一室一厅，西南向，户型好,枫蓝国际 -哈西商圈,1室1厅 | 59.18平米 | 南 西 | 精装 | 33层  | 塔楼,0人关注 / 1个月以前发布,50,"8,449元/平"
封闭小区绿化好房子精装修拎包就入住,龙跃金水湾 -安埠商圈,2室1厅 | 81.43平米 | 西 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,81,"9,948元/平"
墅公馆 好楼层视野好精装修拎包即住 俯瞰整个松北,墅公馆 -松北商圈,2室1厅 | 104.01平米 | 南 北 | 精装 | 高楼层(共24层)  | 暂无数据,3人关注 / 8个月以前发布,79,"7,596元/平"
此房采光好 交通便利配套齐全湿乎乎居住养老,滨江新城好民居 -玛克威,2室1厅 | 101.77平米 | 南 北 | 简装 | 中楼层(共30层)  | 板楼,13人关注 / 7个月以前发布,82,"8,058元/平"
会展家园 经典小户型 采光好 虹桥 会展商圈 拎包住,会展家园小区 -南岗会展商圈,2室1厅 | 68.76平米 | 东 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,42.5,"6,181元/平"
南北通透而且带车位只留卧室物品其余不要了,悦城 -哈西商圈,2室1厅 | 103.52平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,17人关注 / 一年前发布,129,"12,462元/平"
哈慈 精装2室明厅 视野好 无遮挡 房子满5年,林机小区 -动力区,2室1厅 | 101.68平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,59.8,"5,882元/平"
金泰湖滨绿茵 2室1厅 东 南,金泰湖滨绿茵 -松北商圈,2室1厅 | 89.63平米 | 东 南 | 简装 | 高楼层(共26层)  | 板楼,4人关注 / 一年前发布,65,"7,253元/平"
此房无大税，房子装修新，保持好，视野好，看房方便,万达·秀园 -松北商圈,2室1厅 | 87.96平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,95,"10,801元/平"
，房子采光好，视野开阔，交通方便，拎包入住,民益街 -团结萧红校哈站北秀宾馆,2室1厅 | 57.99平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,4人关注 / 8个月以前发布,52,"8,968元/平"
保利公园九号 2室1厅 急售  采光好 视野佳,保利公园九号 -松北商圈,2室1厅 | 81.1平米 | 南 西 北 | 精装 | 高楼层(共6层)  | 板楼,14人关注 / 7个月以前发布,45,"5,549元/平"
小两室户型 采光好 楼间距大  三阳房,前进家园 -松北商圈,2室1厅 | 56.07平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 4个月以前发布,49,"8,740元/平"
民益街团结米数大价格美丽地点好南北通透价可谈方便看,民益街 -团结萧红校哈站北秀宾馆,2室1厅 | 63平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,2人关注 / 一年前发布,45,"7,143元/平"
出售南岗区海城街一室一厅36米29.8万,海城街 -团结萧红校哈站北秀宾馆,1室1厅 | 36平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,23.9,"6,639元/平"
视野开阔 交通便利 就近有早市 公交站,南棵绿荫小区一期 -哈东站商圈,2室1厅 | 84.25平米 | 东 西 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 6个月以前发布,43,"5,104元/平"
