标题,开发商,房子信息,发布信息,售价/万,单价
地理位置好，小区环境好，户型通透 采光好，读书方便,电信花园 -八字门,3室1厅 | 127.78平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,77.88,"6,095元/平"
洛王街道  藕塘坡社区  精装跃式大三房保养好证齐可贷,藕塘坡社区 -洛王,3室2厅 | 117.8平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,72,"6,113元/平"
市区地段，成熟完善的小区，交通四通八达,锦绣华城 -东升社区,3室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,98,"9,075元/平"
十二中，全新精装三房，拎包入住，诚心出售,天力大厦 -火车站,3室2厅 | 114平米 | 南 | 精装 | 低楼层(共15层)  | 板塔结合,11人关注 / 一年前发布,84.5,"7,413元/平"
映岭苑小区 3室2厅 南,映岭苑小区 -东升社区,3室2厅 | 140.35平米 | 南 | 精装 | 低楼层(共8层)  | 板楼,5人关注 / 一年前发布,73.8,"5,259元/平"
房子简单装修，户型周正 。。。。..,洛王社区 -洛王,3室2厅 | 123平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,53,"4,309元/平"
洛王冷水铺【红日家园】装修四房接受贷款拎包入住,红日家园 -冷水铺,4室2厅 | 105平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,48,"4,572元/平"
北湘苑： 3房 居4楼 简装  证件齐全,北湘苑 -步行街,3室1厅 | 80.29平米 | 南 北 | 简装 | 高楼层(共4层)  | 暂无数据,8人关注 / 一年前发布,39,"4,858元/平"
民院学府一线湖景园林小区电梯房,民院学府 -齐家岭,3室2厅 | 138.52平米 | 南 | 毛坯 | 低楼层(共27层)  | 板楼,1人关注 / 一年前发布,56,"4,043元/平"
大润发 天伦城 精装楼中楼 保养很好 满二接受贷款,天伦城 -天伦城,5室3厅 | 216.36平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,172,"7,950元/平"
十中对 面  中间楼层 毛坯电梯三房,佳利壹品苑 -天伦城,3室2厅 | 110平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板塔结合,8人关注 / 一年前发布,95,"8,637元/平"
洛王社区，琵琶王立交桥，港九湾，精装修大两房，证齐,港九湾 -洛王,2室2厅 | 83平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,12人关注 / 一年前发布,65,"7,832元/平"
东茅岭步行街商圈  左岸巴陵精装 拎包入住,左岸·巴陵 -炮台山,3室2厅 | 120平米 | 南 北 | 精装 | 高楼层(共17层)  | 板塔结合,9人关注 / 一年前发布,80,"6,667元/平"
鹰山社区 广济医院，岳纺大门口 富川鸿景园精装修三房,鸿景园 -岳纺,3室2厅 | 127平米 | 南 北 | 精装 | 高楼层(共22层)  | 板楼,1人关注 / 一年前发布,85,"6,693元/平"
王家河畔 二医院 八字门 雷锋山嘉园,雷峰山嘉園 -东升社区,4室2厅 | 148平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 板塔结合,0人关注 / 一年前发布,88,"5,946元/平"
洞庭美域精装房户型周正采光好证件齐全满二年接受贷款,洞庭美域 -岳阳楼区,3室1厅 | 92.85平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,13人关注 / 一年前发布,47.8,"5,149元/平"
玉鑫巴陵星城  毛坯大三房 走一手过户 诚心出售。,玉鑫巴陵星城 -五里牌,3室2厅 | 133平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,5人关注 / 一年前发布,99.9,"7,512元/平"
房子在四楼，位置好，业主很诚心，价格还是可以谈,幸福家园 -螺丝港,4室2厅 | 160平米 | 东南 | 毛坯 | 中楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,82,"5,125元/平"
天伦城 市政府 大润发 十中 四房精装修 拎包入住,天伦城 -天伦城,4室2厅 | 159平米 | 南 | 精装 | 高楼层(共10层)  | 暂无数据,10人关注 / 一年前发布,135,"8,491元/平"
五里牌 巴陵中路 巴陵星城 沃尔玛商圈 南靠天伦国际,玉鑫巴陵星城 -五里牌,3室2厅 | 108平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,5人关注 / 一年前发布,105,"9,723元/平"
天伦城 十中花板桥小  学  高层电梯房,板桥幸福小区 -新路口,3室2厅 | 100.76平米 | 南 | 毛坯 | 高楼层(共29层)  | 暂无数据,9人关注 / 一年前发布,72,"7,146元/平"
湘岳兰庭 ：毛坯三房 随时可以交易，巴陵中路 妇幼,湘岳兰庭 -新路口,3室1厅 | 149平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,11人关注 / 一年前发布,67.5,"4,531元/平"
花板桥 紫荆华庭旁 电梯毛坯两房 地下车位 随时看房,景阖家园 -新路口,2室2厅 | 93平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,63,"6,775元/平"
王家河畔 雷锋山 紫园小区 精装三房 满五年可贷款,雷锋山紫园小区 -雷锋山,3室2厅 | 106.35平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,15人关注 / 一年前发布,60.8,"5,717元/平"
3房2厅1厨1卫，拎包入住。有证,枫树新村社区 -海棠社区,3室2厅 | 90平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,9人关注 / 一年前发布,55.8,"6,200元/平"
此房证件齐全接受贷款，小区环境优美方便停车,湖南省第五工程公司岳阳分公司 -岳纺,3室2厅 | 114.5平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,64.8,"5,660元/平"
步行街 中医院旁 枫桥尚城 精装三房 带露台 拎包入住,枫桥尚城 -岳城,3室2厅 | 140平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,1人关注 / 7个月以前发布,115,"8,215元/平"
东升 长岭嘉园 毛坯大三房 证齐满二可贷 配套完善,金威长岭嘉园 -东升社区,3室2厅 | 127平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,100,"7,875元/平"
市区  楼梯房，南北通，交通便利,线路所小区 -新路口,3室2厅 | 136.88平米 | 南 | 其他 | 中楼层(共7层)  | 塔楼,0人关注 / 一年前发布,74,"5,407元/平"
岳阳楼 洞庭湖小 学 金茂旁 精装大三房 证齐可贷款,岳阳楼区教育小区 -九华山,3室2厅 | 122.8平米 | 南 | 精装 | 低楼层(共15层)  | 暂无数据,1人关注 / 一年前发布,82,"6,678元/平"
金桥花园 南湖全湖景精装四房两厅一个大平台,金桥花园 -花板桥,4室2厅 | 178平米 | 南 | 精装 | 中楼层(共19层)  | 暂无数据,5人关注 / 一年前发布,220,"12,360元/平"
花板桥步步高 十中旁 天伦国际 园林小区 精装两房,天伦国际 -五里牌,3室2厅 | 87.32平米 | 南 | 精装 | 中楼层(共31层)  | 暂无数据,5人关注 / 一年前发布,108,"12,369元/平"
证件齐全，满两年，接受贷款，采光好，诚心出售。,枫树新村社区 -海棠社区,2室1厅 | 73平米 | 北 | 简装 | 高楼层(共7层)  | 板楼,14人关注 / 一年前发布,32.5,"4,453元/平"
王家河畔电梯高层非顶楼精装大三房南北朝向证齐可贷,裕隆国际 -八字门,3室2厅 | 134平米 | 南 | 精装 | 高楼层(共28层)  | 塔楼,5人关注 / 一年前发布,90,"6,717元/平"
南湖 美食街 电梯 精装三房 诚售 证齐可贷 拎包入住,欣登中央公園 -无效,3室2厅 | 143.51平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 4个月以前发布,90,"6,272元/平"
八字门北港，十九 ，十五单位精装电梯一梯两户大四房,华岭佳园 -八字门,4室2厅 | 175平米 | 南 北 | 精装 | 低楼层(共19层)  | 板楼,0人关注 / 一年前发布,122.88,"7,022元/平"
火车站，沃尔玛，汇金国际三房两厅已装修出售,汇金国际城上城 -五里牌,3室2厅 | 123平米 | 南 北 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 一年前发布,100,"8,131元/平"
八字门园林洋房小区 富兴鹏城 有地下室 带花园,富兴鹏城 -八字门,5室3厅 | 142.28平米 | 南 北 | 毛坯 | 低楼层(共5层)  | 板楼,5人关注 / 一年前发布,160,"11,246元/平"
南湖尚书山 楼中楼五房五厅 带露台车库大杂物间可贷,新桂苑 -南湖,5室5厅 | 300平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,180,"6,000元/平"
王家河畔 精装修保养好 大四房  价格优惠,亮山花园 -八字门,4室2厅 | 181平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,98,"5,415元/平"
珍珠山大三房，采光充足，视野效果好，价格美丽,天邦珍珠湾 -八字门,3室2厅 | 140.1平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,3人关注 / 一年前发布,125,"8,923元/平"
王家河畔，三立小区，精装大三房，拎包入住，可贷,三立小区 -雷锋山,3室2厅 | 147平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,70,"4,762元/平"
此房满五格局好视野宽广配套齐全交通便利出门千亩湖,湘天国际花园 -苗圃,4室2厅 | 158.2平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,7人关注 / 一年前发布,85,"5,373元/平"
此房证满五不唯一，格局好，采光好，户型周正,天伦城 -天伦城,5室3厅 | 220平米 | 南 | 精装 | 高楼层(共10层)  | 暂无数据,3人关注 / 一年前发布,185.5,"8,432元/平"
花板桥 市政府 天伦城 大润发 十 中 天伦步行街,天伦城 -天伦城,4室2厅 | 158.5平米 | 南 | 精装 | 高楼层(共10层)  | 板塔结合,6人关注 / 一年前发布,132,"8,329元/平"
八字门  电梯   精装    两房,滨水·新境界 -八字门,2室2厅 | 83平米 | 南 | 其他 | 高楼层(共16层)  | 板楼,0人关注 / 一年前发布,85,"10,241元/平"
亮山花园 王家河旁，复式楼中楼 诚心出售,亮山花园 -八字门,5室2厅 | 234平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,9人关注 / 一年前发布,90,"3,847元/平"
东郡  三房两厅 毛坯房 证件满二 接受贷款,东郡首府 -八字门,3室2厅 | 124平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,3人关注 / 一年前发布,86.8,"7,000元/平"
十五中珍珠山 精装4房 蓝盾新天地 加车位116 接受贷款,蓝盾·新天地 -八字门,4室2厅 | 163.7平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,4人关注 / 一年前发布,108,"6,598元/平"
房子楼层好，户型周正， 采光好 ，地段好,君临嘉龙公馆 -五里牌,3室2厅 | 129平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,82.8,"6,419元/平"
地理位置好，楼层好，出行方便，教育资源充足,南湖新苑 -南湖,3室2厅 | 106.91平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,2人关注 / 7个月以前发布,75,"7,016元/平"
南湖千亩湖，湘天国际精装大三房，顶楼带天台可装电梯,湘天国际花园 -苗圃,4室2厅 | 167平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,3人关注 / 一年前发布,98,"5,869元/平"
南湖 金鹗山旁 3房朝南 户型好 安静 不临路 价格可谈,制药二厂家属区 -苗圃,3室2厅 | 110平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,59,"5,364元/平"
水利水电勘察设计院  大五房 通透采光 好停车,岳阳市水利水电勘测设计院 -五里牌,5室2厅 | 132平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,12人关注 / 一年前发布,55,"4,167元/平"
该房源 户型周正，采光通风好，,群和家园 -八字门,5室2厅 | 175.47平米 | 南 北 | 毛坯 | 中楼层(共19层)  | 板楼,5人关注 / 一年前发布,116,"6,611元/平"
八字门王家河二医院园林小区（滨水天悦 入户,滨水天悦 -八字门,3室2厅 | 124.7平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,31人关注 / 一年前发布,106,"8,501元/平"
新路口线路所小区房 精装三室 实木家居 拎包入住,线路所小区 -新路口,3室2厅 | 123.42平米 | 南 北 | 精装 | 中楼层(共7层)  | 塔楼,4人关注 / 一年前发布,68,"5,510元/平"
千亩湖  湘天国际花园  精装房保养好  证件满五年,湘天国际花园 -苗圃,3室2厅 | 143.5平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,95,"6,621元/平"
八字门检察院单位房 紫东名苑特大三房 好房子,紫东名苑 -八字门,3室2厅 | 145平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,100,"6,897元/平"
十五，十九，北港。珍珠山，园林小区，户型周正,英伦世家 -八字门,3室1厅 | 117平米 | 南 北 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 6个月以前发布,110,"9,402元/平"
此房户型周正，通透三房，业主诚心出售。,富兴嘉城 -八字门,3室2厅 | 111平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,13人关注 / 一年前发布,68,"6,127元/平"
此房证满五不唯一，格局好，采光好，户型周正,天伦城 -天伦城,5室3厅 | 220平米 | 南 | 精装 | 高楼层(共10层)  | 暂无数据,3人关注 / 一年前发布,185.5,"8,432元/平"
八字门  电梯   精装    两房,滨水·新境界 -八字门,2室2厅 | 83平米 | 南 | 其他 | 高楼层(共16层)  | 板楼,0人关注 / 一年前发布,85,"10,241元/平"
花板桥 市政府 天伦城 大润发 十 中 天伦步行街,天伦城 -天伦城,4室2厅 | 158.5平米 | 南 | 精装 | 高楼层(共10层)  | 板塔结合,6人关注 / 一年前发布,132,"8,329元/平"
八字门检察院单位房 紫东名苑特大三房 好房子,紫东名苑 -八字门,3室2厅 | 145平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,100,"6,897元/平"
南湖 ，4室两厅 座北朝南 地理位置好,南湖新苑 -南湖,4室2厅 | 158.66平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,97.5,"6,146元/平"
千亩湖  湘天国际花园  精装房保养好  证件满五年,湘天国际花园 -苗圃,3室2厅 | 143.5平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,95,"6,621元/平"
该房源 户型周正，采光通风好，,群和家园 -八字门,5室2厅 | 175.47平米 | 南 北 | 毛坯 | 中楼层(共19层)  | 板楼,5人关注 / 一年前发布,116,"6,611元/平"
南湖千亩湖，湘天国际精装大三房，顶楼带天台可装电梯,湘天国际花园 -苗圃,4室2厅 | 167平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,3人关注 / 一年前发布,98,"5,869元/平"
南湖 金鹗山旁 3房朝南 户型好 安静 不临路 价格可谈,制药二厂家属区 -苗圃,3室2厅 | 110平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,59,"5,364元/平"
八字门园林洋房小区 富兴鹏城 有地下室 带花园,富兴鹏城 -八字门,5室3厅 | 142.28平米 | 南 北 | 毛坯 | 低楼层(共5层)  | 板楼,5人关注 / 一年前发布,160,"11,246元/平"
南湖新区规划局 中桂园大四房 电梯毛坯 出售,中桂园 -南湖新区,4室2厅 | 181平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,8人关注 / 一年前发布,77,"4,255元/平"
南湖尚书山 楼中楼五房五厅 带露台车库大杂物间可贷,新桂苑 -南湖,5室5厅 | 300平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,180,"6,000元/平"
王家河畔 精装修保养好 大四房  价格优惠,亮山花园 -八字门,4室2厅 | 181平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,98,"5,415元/平"
珍珠山大三房，采光充足，视野效果好，价格美丽,天邦珍珠湾 -八字门,3室2厅 | 140.1平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,3人关注 / 一年前发布,125,"8,923元/平"
此房满五格局好视野宽广配套齐全交通便利出门千亩湖,湘天国际花园 -苗圃,4室2厅 | 158.2平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,7人关注 / 一年前发布,85,"5,373元/平"
东郡  三房两厅 毛坯房 证件满二 接受贷款,东郡首府 -八字门,3室2厅 | 124平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,3人关注 / 一年前发布,86.8,"7,000元/平"
十五中珍珠山 精装4房 蓝盾新天地 加车位116 接受贷款,蓝盾·新天地 -八字门,4室2厅 | 163.7平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,4人关注 / 一年前发布,108,"6,598元/平"
房子楼层好，户型周正， 采光好 ，地段好,君临嘉龙公馆 -五里牌,3室2厅 | 129平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,82.8,"6,419元/平"
王家河畔，三立小区，精装大三房，拎包入住，可贷,三立小区 -雷锋山,3室2厅 | 147平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,70,"4,762元/平"
亮山花园 王家河旁，复式楼中楼 诚心出售,亮山花园 -八字门,5室2厅 | 234平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,9人关注 / 一年前发布,90,"3,847元/平"
地理位置好，楼层好，出行方便，教育资源充足,南湖新苑 -南湖,3室2厅 | 106.91平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,2人关注 / 7个月以前发布,75,"7,016元/平"
花板桥步步高 十中旁 天伦国际 园林小区 精装两房,天伦国际 -五里牌,3室2厅 | 87.32平米 | 南 | 精装 | 中楼层(共31层)  | 暂无数据,5人关注 / 一年前发布,108,"12,369元/平"
洞庭湖畔。产权清晰，电梯湖景四房。,洞庭美域 -岳阳楼区,4室2厅 | 139平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,66.5,"4,785元/平"
岳阳碧桂园大别墅，上下三层，带前庭后院。可按揭。,岳阳碧桂園 -城陵矶,5室2厅 | 230平米 | 南 | 毛坯 | 3层  | 平房 | 双拼别墅 ,7人关注 / 一年前发布,239,"10,392元/平"
阳光美居 三室两厅 精装修 交通出行方便,阳光美居 -冷水铺,3室2厅 | 126平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 24天以前发布,94,"7,461元/平"
