标题,开发商,房子信息,发布信息,售价/万,单价
攀大学院旁两室电梯房朝小区中庭出行出售,龙箐花园小区 -九附二+九附六,2室1厅 | 85平米 | 东 南 西北 | 简装 | 高楼层(共11层)  | 暂无数据,0人关注 / 2天以前发布,32.8,"3,859元/平"
仁和区多功能房二室改三室家具家电齐全好房出售,攀枝花大道南段409号 -仁和区,3室2厅 | 70.1平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,18,"2,568元/平"
东区上市楼盘炳四区二十五中小旁精装三室,恒大城 -炳三区,3室2厅 | 101平米 | 东南 | 精装 | 中楼层(共32层)  | 暂无数据,1人关注 / 5个月以前发布,62,"6,139元/平"
炳三区 恒大城精装三室两厅两卫 采光好,恒大城 -炳三区,3室2厅 | 107平米 | 东南 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 8个月以前发布,63.8,"5,963元/平"
此房商品房，格局通透，楼层好，视野开阔，交通便利,普达阳光康和北苑 -仁和区,3室2厅 | 106平米 | 南 | 毛坯 | 中楼层(共5层)  | 暂无数据,0人关注 / 6个月以前发布,100,"9,434元/平"
急售金海世纪城精装小高层三室带家具家电出售,金海世纪城 -炳三区,3室2厅 | 102平米 | 东南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 4个月以前发布,92,"9,020元/平"
普达康和北苑三室两厅 带花园 带车位 小区环境优美,普达阳光康和北苑 -仁和区,3室2厅 | 104平米 | 东北 | 毛坯 | 中楼层(共4层)  | 暂无数据,0人关注 / 2个月以前发布,120,"11,539元/平"
观涛苑 3室2厅 东 东南,观涛苑 -电影院+中心广场,3室2厅 | 125平米 | 东 东南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,41,"3,280元/平"
万象城精装三室楼层好出行便利周 边生活配套齐全,华芝万象城 -九附二+九附六,3室2厅 | 103平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 6个月以前发布,75,"7,282元/平"
上路桥小区 3室2厅 西北,上路桥小区 -电影院+中心广场,3室2厅 | 122.74平米 | 西北 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 4个月以前发布,46,"3,748元/平"
东区好房出售，全屋实木精装，户型方正，居住方便舒适,印象马德里 -九附二+九附六,3室2厅 | 130平米 | 东南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,98,"7,539元/平"
交通便利购物方便适合居住小区环境优美,星瑞时代广场二期 -清香坪,2室1厅 | 69平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 一年前发布,51.9,"7,522元/平"
炳一区精装小两室，成熟地段，配套齐全，拎包入住,金海泊林郡 -九附二+九附六,2室2厅 | 57.68平米 | 东南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 3个月以前发布,37,"6,415元/平"
南山花园单价3千多大三室122平好房出售,紫薇苑 -南山,3室2厅 | 122平米 | 东南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,35,"2,869元/平"
攀大三中旁花溪谷精装房大三室业主诚心出售,金海花溪谷 -九附二+九附六,3室2厅 | 114平米 | 南 北 | 精装 | 中楼层(共27层)  | 暂无数据,1人关注 / 5个月以前发布,65,"5,702元/平"
公园大地全屋简欧装修全屋大品牌家装家电,金泰公园大地 -炳三区,3室2厅 | 110.25平米 | 南 北 | 精装 | 低楼层(共28层)  | 暂无数据,0人关注 / 1个月以前发布,103.98,"9,432元/平"
康养房叠墅带大花园3室2厅适合养老,普达阳光康和北苑 -仁和区,3室2厅 | 104平米 | 东南 | 毛坯 | 中楼层(共4层)  | 暂无数据,1人关注 / 一年前发布,95,"9,135元/平"
御林景秀精装大三室出售户型方正看房方便,御林景秀 -炳三区,3室2厅 | 117平米 | 东 | 精装 | 中楼层(共22层)  | 暂无数据,1人关注 / 10个月以前发布,83,"7,095元/平"
普达阳光，一楼带大花园，采光好，环境好,普达阳光康和北苑 -仁和区,3室2厅 | 84平米 | 东北 | 毛坯 | 低楼层(共4层)  | 暂无数据,0人关注 / 一年前发布,95,"11,310元/平"
普达阳光康养度假区仁和区3室2卫,普达阳光康和北苑 -仁和区,3室2厅 | 101平米 | 南 北 | 毛坯 | 低楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,100,"9,901元/平"
和苑小区 大跃层  顶楼带花园  视野无遮挡,和苑小区 -仁和区,4室2厅 | 151平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,86,"5,696元/平"
东区老电影院川惠酒店 曼哈顿 精装电梯房,曼哈顿 -电影院+中心广场,2室2厅 | 71平米 | 东南 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 一年前发布,35,"4,930元/平"
阳城龙庭  两室两厅  精装优质房,阳城龙庭 -九附二+九附六,2室2厅 | 85平米 | 东南 | 精装 | 低楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,53,"6,236元/平"
阳城龙庭2室精装保持很新价格可谈,阳城龙庭 -九附二+九附六,2室2厅 | 86平米 | 南 | 精装 | 低楼层(共27层)  | 暂无数据,0人关注 / 4个月以前发布,52,"6,047元/平"
中冶金沙精装3室出售，满五唯一，拎包入住,中冶金沙 -九附二+九附六,3室2厅 | 88平米 | 东南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,55,"6,250元/平"
炳二区阳光骊景精装三室 楼层高视野开阔 出行方便,阳光骊景 -九附二+九附六,3室2厅 | 95.88平米 | 东南 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 7个月以前发布,53,"5,528元/平"
炳三区 金域阳光 精装套三 保持九成新 拎包入住,金域阳光 -炳三区,3室2厅 | 90平米 | 东南 | 精装 | 中楼层(共32层)  | 暂无数据,1人关注 / 6个月以前发布,78.8,"8,756元/平"
炳三区恒大城精装三室双卫诚心出售,恒大城 -炳三区,3室2厅 | 113平米 | 东南 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 4个月以前发布,73,"6,461元/平"
君临江山 3室2厅 东南,君临江山 -九附二+九附六,3室2厅 | 108平米 | 东南 | 精装 | 低楼层(共22层)  | 暂无数据,0人关注 / 1个月以前发布,65,"6,019元/平"
地龙箐攀钢房区 3室1厅 南,地龙箐攀钢房区 -九附二+九附六,3室1厅 | 80平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 5个月以前发布,26,"3,250元/平"
出行方便，户型方正，居住方便舒适生活配套成熟,澜苑 -仁和区,4室2厅 | 124平米 | 东南 | 简装 | 中楼层(共24层)  | 暂无数据,0人关注 / 3个月以前发布,90,"7,259元/平"
沙沟教师苑套三双卫精装房东诚心出售,沙沟教师苑家属楼 -仁和区,3室2厅 | 123平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,60,"4,879元/平"
小区环境好  出行方便  保持7成新   地势平  户型通透,鸿福家园 -仁和区,3室2厅 | 110平米 | 东南 | 简装 | 中楼层(共9层)  | 暂无数据,0人关注 / 2个月以前发布,46,"4,182元/平"
阳城龙庭小高层 精装房 事业开阔 装修保持好,阳城龙庭 -九附二+九附六,3室2厅 | 95平米 | 东南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,70,"7,369元/平"
水岸沙湾 4室2厅 东南,水岸沙湾 -仁和区,4室2厅 | 133平米 | 东南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,100,"7,519元/平"
湖光小区中间楼层精装三室楼梯房户型方正采光好,湖光市检察院家属楼 -竹湖园,3室2厅 | 122.8平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 3个月以前发布,46,"3,746元/平"
仁和上城澜苑精装三室 中间楼层视野好 河景房,澜苑 -仁和区,3室2厅 | 89.93平米 | 南 | 精装 | 中楼层(共24层)  | 暂无数据,0人关注 / 3个月以前发布,82,"9,119元/平"
天悦湾 房子三室两厅一卫 面积98平 价格看上再说,金泰天悦湾 -炳三区,3室2厅 | 98平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,1人关注 / 10个月以前发布,63,"6,429元/平"
视野好，精装跃层，俯瞰整个普达湖。还有车位。,普达阳光国际康养度假区 -仁和区,3室2厅 | 88.3平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 2个月以前发布,87,"9,853元/平"
金瓯广场小区 1室1厅  拎包入住 出行方便,云锦金瓯广场 -九附二+九附六,1室1厅 | 64平米 | 南 北 | 精装 | 高楼层(共23层)  | 暂无数据,0人关注 / 4个月以前发布,40,"6,250元/平"
弯腰树 精装三室 装修好 保持好 早上晒太阳,虹桥巷 -仁和区,3室2厅 | 84.5平米 | 东 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,37.8,"4,474元/平"
东区金曦苑点电梯房 中层 拎包入住,金曦苑 -九附二+九附六,3室2厅 | 95.6平米 | 东南 | 精装 | 高楼层(共22层)  | 暂无数据,0人关注 / 6个月以前发布,58,"6,067元/平"
沃尔玛对 面开明苑精装修跃层带楼顶花园可使用,开明苑 -九附二+九附六,4室2厅 | 169.18平米 | 东南 | 精装 | 高楼层(共22层)  | 暂无数据,0人关注 / 1个月以前发布,90,"5,320元/平"
曼哈顿精装三室，位置好，出行方便，装修保持好,曼哈顿 -电影院+中心广场,3室2厅 | 98平米 | 东南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,48,"4,898元/平"
阳光骊璟房型方正通透 配套齐全,阳光骊景 -九附二+九附六,3室2厅 | 96平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,49,"5,105元/平"
三中电梯公寓 3室2厅 东南,三中电梯公寓 -九附二+九附六,3室2厅 | 172平米 | 东南 | 精装 | 中楼层(共26层)  | 塔楼,0人关注 / 2个月以前发布,75,"4,361元/平"
攀枝花公园君悦苑三室两厅出行方便，位置好,君悦苑 -电影院+中心广场,3室2厅 | 119平米 | 南 北 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,63,"5,295元/平"
江景房 西海岸 配套设施齐全 成熟小区 望江苑,望江苑 -电影院+中心广场,3室2厅 | 108平米 | 南 北 | 简装 | 低楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,37,"3,426元/平"
炳草岗二街房旁精装三室30万，楼层低，配套成熟,花城中街66号 -电影院+中心广场,3室1厅 | 81.09平米 | 东南 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,30,"3,700元/平"
此房东南朝向，视野好采光佳楼下就是大型商场成熟配套,银泰商业城 -仁和区,3室2厅 | 105.09平米 | 东南 | 毛坯 | 中楼层(共26层)  | 暂无数据,1人关注 / 3个月以前发布,58,"5,520元/平"
三 中旁板式精装家具家电齐全两室精致好房,阳光骊景 -九附二+九附六,2室2厅 | 72平米 | 东南 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 6个月以前发布,39,"5,417元/平"
金泰豪园 3室2厅 东南,金泰豪园 -仁和区,3室2厅 | 120.8平米 | 东南 | 简装 | 低楼层(共17层)  | 暂无数据,1人关注 / 3个月以前发布,53.8,"4,454元/平"
半岛阳光 3室2厅 东南,半岛阳光 -仁和区,3室2厅 | 118平米 | 东南 | 精装 | 高楼层(共17层)  | 暂无数据,0人关注 / 3个月以前发布,77,"6,526元/平"
湖光菜市场门口湖滨路精装大3室家具家电齐全拎包入住,湖滨路30号 -竹湖园,3室2厅 | 135.56平米 | 东南 | 精装 | 低楼层(共10层)  | 暂无数据,0人关注 / 8个月以前发布,50,"3,689元/平"
普达阳光康和假日精装三室两厅，环境优美，居住舒适,普达阳光康和假日 -仁和区,3室2厅 | 110平米 | 东南 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 2个月以前发布,105,"9,546元/平"
华芝御景城一期精装顶跃带花园私家花园,华芝御景城御苑一二期 -仁和区,4室2厅 | 110.81平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 8个月以前发布,110,"9,927元/平"
普达品质洋房带花园边户房东诚心出售,普达阳光康和北苑 -仁和区,3室2厅 | 103平米 | 东南 | 毛坯 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,120,"11,651元/平"
炳三区铜锣湾广场可落户水电气三通,铜锣湾广场 -炳三区,2室2厅 | 40平米 | 东南 | 精装 | 高楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,45,"11,250元/平"
梨树坪好房出售家具家电齐全可拎包入住,梨树坪 -清香坪,3室2厅 | 101.6平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,31,"3,052元/平"
鹭栖花园套三双卫带车位，房东换房，诚心出售,鹭栖花园 -仁和区,3室2厅 | 117平米 | 东 东南 | 毛坯 | 低楼层(共28层)  | 塔楼,0人关注 / 一年前发布,56,"4,787元/平"
公园里的房子 三室两厅一卫 中间楼层 随时可看,华恒中央公园 -西区,2室2厅 | 64.96平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 3个月以前发布,35,"5,388元/平"
仁和繁华地段 银泰泰悦居 清水大四室 采光好 通风好,银泰城泰悦居 -仁和区,4室2厅 | 127.8平米 | 东南 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,76.8,"6,010元/平"
华芝新到房源精装修领包入住保持较新,华芝御景城御苑一二期 -仁和区,3室2厅 | 116平米 | 东南 | 精装 | 低楼层(共31层)  | 塔楼,0人关注 / 2个月以前发布,76,"6,552元/平"
竹湖园劳动大厦旁，通湖巷两室两厅，交通便利居住舒适,通湖巷 -竹湖园,2室2厅 | 89平米 | 南 北 | 简装 | 高楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,32,"3,596元/平"
万象城旁中冶金沙，位置好，房东诚心出售,中冶金沙 -九附二+九附六,2室2厅 | 80.65平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,40,"4,960元/平"
攀研院的房子，天桥上4楼，装修保持好,攀研院生活区 -电影院+中心广场,3室2厅 | 102平米 | 东南 | 精装 | 高楼层(共9层)  | 暂无数据,0人关注 / 2个月以前发布,43,"4,216元/平"
万象城三室双卫111平米价格可小刀包更名,华芝万象城 -九附二+九附六,3室2厅 | 111平米 | 东 东南 | 毛坯 | 低楼层(共33层)  | 板塔结合,2人关注 / 3个月以前发布,62,"5,586元/平"
东区 金瓯 机场路 万达旁 精装电梯房,良康花园 -九附二+九附六,3室2厅 | 128平米 | 东南 | 精装 | 高楼层(共25层)  | 暂无数据,0人关注 / 9个月以前发布,62,"4,844元/平"
海德堡小区 4室2厅  清水房出售 房东急售,海德堡 -炳三区,4室2厅 | 133平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 塔楼,0人关注 / 4个月以前发布,72,"5,414元/平"
炳草岗二中家属楼一梯一户3室出售出行方便价格美丽,二街坊巷1号 -电影院+中心广场,3室2厅 | 123平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,39,"3,171元/平"
攀钢总医院二室二厅简装拧包入住,木棉苑 -瓜子坪,2室2厅 | 66.52平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,18,"2,706元/平"
炳三区104平大三室精装修出行方便配套完善读四十中,金海世纪城 -炳三区,3室2厅 | 103.53平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,86,"8,307元/平"
小区朝小区方向安静 ，采光好，小区平稳,金泰天悦湾 -炳三区,3室2厅 | 95平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 一年前发布,67.6,"7,116元/平"
阳光骊景两室高维持度拎包入住好房,阳光骊景 -九附二+九附六,2室2厅 | 95.8平米 | 东南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,41,"4,280元/平"
炳三区金域阳光精装修 三室两厅,金域阳光 -炳三区,3室2厅 | 117平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 一年前发布,100,"8,548元/平"
五十一鑫岛车站楼层好三室二厅阳光通透价格可谈,601地质队家属楼 -仁和区,3室2厅 | 74平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 7个月以前发布,25,"3,379元/平"
上海花园房东急售一楼带50平花园价格可小刀,上海花园 -仁和区,3室2厅 | 135平米 | 东南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,94,"6,963元/平"
南山花园大三室，居住方便舒适，空气质量好,南山花园 -南山,3室2厅 | 126平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,36,"2,858元/平"
42中小 大三房 南北通透 豪花装修 诚心出售,金域阳光 -炳三区,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,108,"9,000元/平"
仁和弯腰树三室 菜市场背后 房东诚心出售,华西巷128号 -仁和区,3室2厅 | 96平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,33,"3,438元/平"
仁和东风学 校旁 大三室  中间楼层  可直接拎包入住,蔬菜公司家属楼 -仁和区,3室2厅 | 127.38平米 | 东北 | 精装 | 中楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,49.8,"3,910元/平"
仁和华芝御景城三室双卫  视野好 品牌装修 拎包入住,华芝御景城御苑一二期 -仁和区,3室2厅 | 98平米 | 东南 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,75,"7,654元/平"
领誉一期新装修三室双卫诚心出售，看房方便,领誉一期 -仁和区,3室2厅 | 116.33平米 | 东南 | 精装 | 高楼层(共22层)  | 暂无数据,0人关注 / 2个月以前发布,77,"6,620元/平"
