标题,开发商,房子信息,发布信息,售价/万,单价
此房是B区临河户型的精装四房全屋中 央空调报价88万！,溶江小区 -经开区,4室2厅 | 141.37平米 | 西南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 7天以前发布,88,"6,225元/平"
乾州世纪广场旁边毛坯大四房俯视整个世纪广场！！,湘泉纯水岸 -乾州,4室2厅 | 157平米 | 东 | 毛坯 | 中楼层(共29层)  | 塔楼,0人关注 / 1天以前发布,90,"5,733元/平"
房子位于溶江B区，人员出入大，适合出租或开店,溶江小区 -经开区,1室1厅 | 39.05平米 | 北 | 简装 | 低楼层(共33层)  | 板楼,0人关注 / 7天以前发布,26.8,"6,863元/平"
溶江小区，毛坯四房两厅，看河，带车位,溶江小区 -经开区,4室2厅 | 146.92平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,82.8,"5,636元/平"
世纪山水洋房出售，毛坯房装修可以自己设计,世纪山水 -乾州,3室2厅 | 130.2平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 暂无数据,0人关注 / 25天以前发布,86.8,"6,667元/平"
精装修，从未入住。3+1户型南北。通透,吉盟天下一期 -吉首,4室2厅 | 118平米 | 东南 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 28天以前发布,64.8,"5,492元/平"
吉首三小口口 单位四房房30万诚心急售,州检察院宿舍 -吉首,4室2厅 | 89.87平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 18天以前发布,30,"3,339元/平"
附 小旁 溶江小区A区毛坯四房 采光好 小区环境好,溶江小区 -经开区,4室2厅 | 147平米 | 西南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 20天以前发布,79.8,"5,429元/平"
经开区 单位三房 急售 户型通透 长阳台 居家舒适,滨溪花园小区 -经开区,3室2厅 | 104.77平米 | 东南 | 毛坯 | 高楼层(共16层)  | 塔楼,6人关注 / 一年前发布,49.8,"4,754元/平"
吉盟天下经济适用房，采光无死角。,吉盟天下一期 -吉首,3室2厅 | 89.14平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,1人关注 / 10个月以前发布,35,"3,927元/平"
经开区3房，毛坯，可以看看，房子真的可以,仁安·御香山 -经开区,3室2厅 | 107.07平米 | 东南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 一年前发布,55.8,"5,212元/平"
人民法院旁边交通方便旁边医院三房！！,乾邮嘉苑 -乾州,3室2厅 | 141平米 | 南 | 毛坯 | 高楼层(共13层)  | 板塔结合,1人关注 / 一年前发布,49.8,"3,532元/平"
乾州单位房 大平层视野开扩 有4个阳台可以使用,湘西州人事局宿舍 -乾州,4室2厅 | 196.86平米 | 东南 | 毛坯 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,65.8,"3,343元/平"
九龙山庄，133.95平米，大三房毛坯房53.8万,九龍山莊 -乾州,3室2厅 | 133.95平米 | 南 | 毛坯 | 中楼层(共10层)  | 板楼,0人关注 / 5个月以前发布,48.8,"3,644元/平"
中宇和园毛坯三房急处理，交通便利,中宇和园 -乾州,3室2厅 | 142.32平米 | 东 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 5个月以前发布,62,"4,357元/平"
观景房房东急售  这个小区唯一一套 契税满2年交通方便,金盛阳光 -吉首,2室2厅 | 97.46平米 | 南 | 毛坯 | 高楼层(共19层)  | 暂无数据,0人关注 / 一年前发布,38.5,"3,951元/平"
位置吉首 视角开阔 中等楼层自由装修视野好,半山公馆 -吉首,2室2厅 | 123.75平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,46.5,"3,758元/平"
此房满二唯一，格局舒适，楼层好，视野宽阔，采光充足,牯牛城 -经开区,2室2厅 | 89平米 | 东南 | 毛坯 | 高楼层(共30层)  | 板楼,2人关注 / 一年前发布,45.8,"5,147元/平"
毛坯三房 边户带花园坐北朝南带车位  两层地下室,仁安·御香山 -经开区,3室2厅 | 131.94平米 | 东 | 毛坯 | 低楼层(共7层)  | 板楼,1人关注 / 一年前发布,95,"7,201元/平"
45万就可拿下乾州地段装修2房，免停车费,太丰雅苑名校居 -乾州,2室2厅 | 89平米 | 西南 西 | 简装 | 中楼层(共8层)  | 板楼,3人关注 / 4个月以前发布,44.8,"5,034元/平"
单位电梯房，很好的楼层，房东诚心，采光视野好,博源新康 -乾州,4室2厅 | 168.68平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 塔楼,3人关注 / 11个月以前发布,66.8,"3,961元/平"
雅溪通透4房，小区人车分流，环境舒适,吉盟天下一期 -吉首,4室2厅 | 130.66平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,46.8,"3,582元/平"
大汉新城 简装2房 采光通透 视野开阔 电梯2房证件齐全,大汉新城 -吉首,2室1厅 | 89.6平米 | 南 | 简装 | 高楼层(共28层)  | 板塔结合,0人关注 / 10个月以前发布,41.3,"4,610元/平"
滨江新城 3室2厅 南,滨江新城 -乾州,3室2厅 | 145.78平米 | 南 | 毛坯 | 低楼层(共28层)  | 板塔结合,1人关注 / 一年前发布,63.8,"4,377元/平"
房东诚心出售，价格很优惠，出行方便,机械厂宿舍 -吉首,3室2厅 | 98.82平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 7个月以前发布,26.6,"2,692元/平"
房子户型好，楼层采光很好，位置好出行方便,永成公寓 -吉首,3室2厅 | 120.04平米 | 西南 | 精装 | 中楼层(共24层)  | 塔楼,0人关注 / 5个月以前发布,61.6,"5,132元/平"
世纪广场边，交通便利，配套齐全，直接拎包入住.,嘉园·金桂园 -乾州,3室2厅 | 130.84平米 | 东 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,55,"4,204元/平"
吉盟天下，通透户型双阳台，生活交通方便,吉盟天下一期 -吉首,4室2厅 | 130.66平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,47.8,"3,659元/平"
吉盟天下 全屋品牌家装 房东急卖 随时可看房,吉盟天下一期 -吉首,2室2厅 | 114.6平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,6人关注 / 一年前发布,59.8,"5,219元/平"
鸿锦国际城 三室两厅 户型周正 采光充足 随时看房,鸿锦国际 -吉首,3室2厅 | 108.23平米 | 西南 南 | 毛坯 | 高楼层(共34层)  | 暂无数据,3人关注 / 一年前发布,47.8,"4,417元/平"
乾州，单位4房，免物业费和停车费，带一个杂物间,工商局住宅楼 -乾州,4室2厅 | 151.62平米 | 东南 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,47,"3,100元/平"
溶江小区 5室2厅 南,溶江小区 -经开区,5室2厅 | 184.04平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,4人关注 / 一年前发布,90,"4,891元/平"
小区人车分流。交通方便。离广场很进,华商国际城 -乾州,3室2厅 | 118.09平米 | 东南 | 简装 | 高楼层(共16层)  | 塔楼,4人关注 / 6个月以前发布,62,"5,251元/平"
南北户型 临河小高层 一梯两户 朝南三居室,湘泉城市花园 -吉首,3室2厅 | 126.79平米 | 东 | 精装 | 低楼层(共12层)  | 板楼,1人关注 / 一年前发布,49.8,"3,928元/平"
馨苑小区 4室2厅 南,馨苑小区 -吉首,4室2厅 | 228.68平米 | 南 | 毛坯 | 高楼层(共24层)  | 暂无数据,1人关注 / 一年前发布,113,"4,942元/平"
乾州 世纪广场地段单位房 精装四房 免物业费 免停车费,州卫计委宿舍 -乾州,4室2厅 | 162.72平米 | 东 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,48.8,"3,000元/平"
房子全新装修，家电齐全，户型周正，楼层好,九龍山莊 -乾州,3室2厅 | 132.41平米 | 北 | 精装 | 中楼层(共11层)  | 板塔结合,6人关注 / 8个月以前发布,57,"4,305元/平"
房子带有小院子可以种种花花草草，诚心出售,溶江小区 -经开区,4室2厅 | 141.19平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,2人关注 / 一年前发布,73.8,"5,227元/平"
空气对流，视眼开阔，房间较大，业主要到外地发展,溶江小区 -经开区,4室2厅 | 140.13平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,75,"5,353元/平"
大汉新城，可以2套单身公寓的小3房，适合投 资老板们,大汉新城 -吉首,3室2厅 | 85.1平米 | 东 | 毛坯 | 中楼层(共30层)  | 塔楼,13人关注 / 一年前发布,29.8,"3,502元/平"
业主诚心出售军天学府苑装修单身公寓,军天学府苑小区 -乾州,1室1厅 | 44.48平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,4人关注 / 7个月以前发布,22,"4,947元/平"
繁华地段电梯四房 房子保存好 出入便利,财信商贸中心 -吉首,4室2厅 | 153平米 | 西南 | 精装 | 中楼层(共23层)  | 塔楼,3人关注 / 一年前发布,69.8,"4,563元/平"
乾州，伟业菜市场旁，人民南路主路边，中间楼层,伟业小区二期 -乾州,3室2厅 | 113.24平米 | 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,45,"3,974元/平"
吉首精房4装，电梯小高层一梯一户，户型方正，采光好,吉首碧桂园 -吉首,4室2厅 | 141.94平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,2人关注 / 7个月以前发布,73,"5,144元/平"
州府旁溶江一号三房 房东诚心卖，有钥匙随时看房,溶江一号 -经开区,3室2厅 | 126.37平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 4个月以前发布,65.8,"5,207元/平"
影视大厦旁，设计合理，户型周正，，采光好，出入方便,团结广场商住楼 -吉首,3室2厅 | 96平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 16天以前发布,38,"3,959元/平"
经开区小区人车分流 视野采光好 证件齐全,金磊凤凰山 -经开区,3室2厅 | 126平米 | 东南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 一年前发布,48.8,"3,874元/平"
九龙山庄毛坯3房，小区环境优美，配套设施齐全,九龍山莊 -乾州,3室2厅 | 127.02平米 | 南 | 毛坯 | 高楼层(共9层)  | 板楼,1人关注 / 一年前发布,46.8,"3,685元/平"
乾州 九龙山庄 户型周正 采光好 视野开 阔,九龍山莊 -乾州,3室2厅 | 130.49平米 | 南 | 毛坯 | 高楼层(共10层)  | 板塔结合,5人关注 / 一年前发布,45,"3,449元/平"
乾州路段交通便利购物方便中高楼层,利贞杏园 -乾州,3室2厅 | 125.88平米 | 西北 | 简装 | 高楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,47.8,"3,798元/平"
文艺路电梯房正规1房1厅，有三个窗户采光好房子是边户,湘域中央 -吉首,1室1厅 | 50.59平米 | 东 | 简装 | 中楼层(共19层)  | 板塔结合,2人关注 / 一年前发布,23.8,"4,705元/平"
乾州芙蓉九龙大门口，电梯房带车位单价3959,五福家园 -乾州,3室2厅 | 131.33平米 | 南 北 | 毛坯 | 高楼层(共9层)  | 板楼,1人关注 / 3个月以前发布,46.8,"3,564元/平"
房子朝南，位子好，采光好，户型周正，生活交通方便,富康新村 -吉首,3室2厅 | 134.23平米 | 北 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 一年前发布,52.8,"3,934元/平"
经开区大户型价格合理，高层俯视全城，妙！,文瑞泽宇 -经开区,4室2厅 | 137.88平米 | 东南 | 毛坯 | 高楼层(共26层)  | 板塔结合,3人关注 / 7个月以前发布,52,"3,772元/平"
低密度小高层3房简装拎包可住适用房,拓展▪桂芳园 -乾州,3室2厅 | 122.58平米 | 南 东 | 简装 | 低楼层(共7层)  | 板楼,3人关注 / 一年前发布,49.5,"4,039元/平"
世纪山水大平层下带子母车位一块出售的好房,世纪山水 -乾州,4室2厅 | 188.86平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 10个月以前发布,123.8,"6,556元/平"
临河复式楼带一个大露台和一个车库采光无遮无挡,水畔铭城 -吉首,5室2厅 | 210.99平米 | 东南 | 毛坯 | 高楼层(共9层)  | 板楼,9人关注 / 一年前发布,65,"3,081元/平"
吉首电梯房.122平，39万，双阳台，户型方正，证件齐全,西郊嘉苑 -吉首,3室2厅 | 122.55平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 16天以前发布,38.8,"3,167元/平"
吉盟天下一期 4室2厅 东南,吉盟天下一期 -吉首,4室2厅 | 119.73平米 | 东南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,35.8,"2,991元/平"
溶江小区精装四房 可直通车库 中间楼层 房东工作调动,溶江小区 -经开区,4室2厅 | 141平米 | 南 | 精装 | 中楼层(共28层)  | 暂无数据,0人关注 / 9个月以前发布,83.8,"5,944元/平"
华商国际，通透电梯3房，交通出行便利，采光通风都好,华商国际城 -乾州,3室2厅 | 113.58平米 | 东南 | 毛坯 | 中楼层(共22层)  | 暂无数据,1人关注 / 4个月以前发布,57.8,"5,089元/平"
乾州电梯精装三房，位置合适出行方便，装修保存完好,博源新康 -乾州,3室2厅 | 125.15平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,2人关注 / 3个月以前发布,55.8,"4,459元/平"
出售帝景豪庭精装电梯2房家电齐全 直接入住,帝景豪庭 -吉首,2室1厅 | 42平米 | 南 | 精装 | 中楼层(共27层)  | 暂无数据,3人关注 / 6个月以前发布,26.8,"6,381元/平"
溶江c区凤凰层，房东价格合理，视野宽广。采光好,溶江小区 -经开区,3室2厅 | 124.13平米 | 北 | 毛坯 | 高楼层(共29层)  | 塔楼,4人关注 / 9个月以前发布,60,"4,834元/平"
房东诚心出售，户型采光好，楼层不错，价格优惠,物资大市场宿舍 -吉首,3室2厅 | 121.44平米 | 西 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 6个月以前发布,41,"3,377元/平"
店长推荐，华商国际城旁，41.3万金沙园小区，中装三房,金沙园 -乾州,3室2厅 | 116.34平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 6个月以前发布,41,"3,525元/平"
农贸市场旁，双阳台三房 价格实惠 证件齐全,博源新康 -乾州,3室2厅 | 125平米 | 南 | 毛坯 | 低楼层(共7层)  | 板塔结合,3人关注 / 8个月以前发布,39.8,"3,184元/平"
溶江小区140平大四房78.8万,溶江小区 -经开区,4室2厅 | 140.13平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 一年前发布,72.8,"5,196元/平"
电梯小高层 住家安静舒适 3534一平 户型通透,乾邮嘉苑 -乾州,4室2厅 | 161.25平米 | 北 | 毛坯 | 中楼层(共13层)  | 板塔结合,3人关注 / 一年前发布,53.8,"3,337元/平"
世纪广场旁小高层电梯3房，出门就是主干道,湘州陽光 -乾州,3室2厅 | 134.29平米 | 东南 | 精装 | 中楼层(共11层)  | 暂无数据,10人关注 / 9个月以前发布,62.8,"4,677元/平"
鸿锦国际 朝南 精装三房两厅二卫,鸿锦国际 -吉首,3室2厅 | 121.53平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 2个月以前发布,62.8,"5,168元/平"
吉首市中电梯三房出售，采光视野无遮挡。,财信商贸中心 -吉首,3室2厅 | 135平米 | 西南 | 简装 | 中楼层(共27层)  | 塔楼,0人关注 / 一年前发布,54.8,"4,060元/平"
乾州地段，标准两房诚心出售，可随时看房，有钥匙。,湘州陽光 -乾州,2室2厅 | 74.25平米 | 东南 | 简装 | 中楼层(共11层)  | 暂无数据,0人关注 / 25天以前发布,38,"5,118元/平"
房东诚售 装修两室 视野开阔无遮挡  即买即收租,大汉新城 -吉首,2室2厅 | 83.99平米 | 南 西南 | 简装 | 高楼层(共28层)  | 板塔结合,0人关注 / 15天以前发布,31.8,"3,787元/平"
业主工作调动，置换变现，三房，视野好,宏大广场 -经开区,3室2厅 | 118平米 | 东南 | 毛坯 | 高楼层(共31层)  | 塔楼,0人关注 / 2天以前发布,62,"5,255元/平"
全新装修未入住，中层电梯三房，小区环境好,金坪家园 -乾州,3室2厅 | 95平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 1天以前发布,46,"4,843元/平"
世纪山水精装三房 配套齐全 可领包入住,世纪山水 -乾州,3室2厅 | 98.78平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,2人关注 / 7个月以前发布,63.8,"6,459元/平"
改善住宅 步步高旁  精装三房 才装修几年 保持9成新,鸿锦国际 -吉首,3室2厅 | 124.77平米 | 东南 南 | 精装 | 高楼层(共34层)  | 暂无数据,0人关注 / 27天以前发布,58,"4,649元/平"
实用三房 好楼层 即买即装修 小区配套成熟,恒盛家园 -乾州,3室2厅 | 123平米 | 南 | 毛坯 | 低楼层(共9层)  | 塔楼,0人关注 / 27天以前发布,40.8,"3,318元/平"
吉首市好地段  精装大四房  户型周正拎包入住 急售,财信商贸中心 -吉首,4室2厅 | 153平米 | 东南 | 精装 | 中楼层(共27层)  | 塔楼,0人关注 / 21天以前发布,68.8,"4,497元/平"
御香山洋房诚心卖，双阳台通透，价格实在可谈,仁安·御香山 -经开区,3室2厅 | 127.58平米 | 南 | 毛坯 | 中楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,69.8,"5,472元/平"
文艺路电梯小三房，购物上学方便,湘德雅居 -吉首,3室2厅 | 94.47平米 | 东南 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 22天以前发布,50,"5,293元/平"
文艺路①卜片区新上电梯房 喜欢的来看。,诚达中港花园 -吉首,3室2厅 | 115.69平米 | 南 | 精装 | 低楼层(共11层)  | 暂无数据,1人关注 / 3个月以前发布,46.8,"4,046元/平"
溶江小区人工湖边  业主带大院子一起打包出售,溶江小区 -经开区,5室2厅 | 178.75平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板塔结合,1人关注 / 8个月以前发布,100,"5,595元/平"
楼层好，交通购物方便，免停车，小区环境好，,市林业局宿舍 -吉首,3室2厅 | 124.24平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 26天以前发布,42.8,"3,445元/平"
世纪山水 湖景房，视野好 保持新,世纪山水 -乾州,3室2厅 | 110.49平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 20天以前发布,73,"6,607元/平"
乾州广场旁地段中装三房公积金可取可贷56.8万售,华成中央尚都 -乾州,3室2厅 | 85.7平米 | 东 | 简装 | 低楼层(共24层)  | 塔楼,4人关注 / 9个月以前发布,53.8,"6,278元/平"
