标题,开发商,房子信息,发布信息,售价/万,单价
出售 沈抚新区  电梯洋房 精装修 三室户型,德商国际花园 -沈抚新区,3室2厅 | 97平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 26天以前发布,64.5,"6,650元/平"
房源位置好，户型好，价格可以看房方便。,万科金域蓝湾 -沈抚新区,3室2厅 | 115平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 6个月以前发布,70,"6,087元/平"
御府龙湾3室两厅。交通便利。采光好。视野开阔。,御府龙湾 -沈抚新区,3室1厅 | 93.3平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,8人关注 / 10个月以前发布,38,"4,073元/平"
德商春天里 南北通透 三室两厅一卫 园区优美 配套成熟,德商春天里 -沈抚新区,3室2厅 | 89平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,0人关注 / 5个月以前发布,55.5,"6,236元/平"
沈抚新区绿地别墅南侧湿地公园诚心出售,绿地四季印象 -沈抚新区,4室3厅 | 225.75平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 板楼,7人关注 / 一年前发布,132,"5,848元/平"
南北通透  好户型  物业好 小区好,沈抚万科城市之光 -沈抚新区,3室2厅 | 98平米 | 南 北 | 精装 | 中楼层(共20层)  | 板楼,1人关注 / 一年前发布,69,"7,041元/平"
交通便利。采光好。视野开阔。南北通透。,浑河城 -其它,3室2厅 | 134.7平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 9个月以前发布,60,"4,455元/平"
万科物业，楼层好，业主诚心出售,万科金域蓝湾 -沈抚新区,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,106.5,"8,193元/平"
沈抚新区绿地剑桥三室两厅一卫精装修出售,绿地剑桥 -沈抚新区,3室2厅 | 91.85平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,40.2,"4,377元/平"
电梯河景房 南北户型 北向近浑河 21年新交付房源,沈抚中南熙悦 -沈抚新区,3室1厅 | 87.65平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 暂无数据,1人关注 / 2个月以前发布,42.8,"4,884元/平"
锦绣澜湾D区3-1-1-2 118.00m² 53 万,锦绣澜湾D区 -沈抚新区,3室1厅 | 118平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板楼,1人关注 / 2个月以前发布,52,"4,407元/平"
沈抚万科城市之光 3室2厅 南 北,沈抚万科城市之光 -沈抚新区,3室2厅 | 100.98平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,3人关注 / 5个月以前发布,81,"8,022元/平"
房源未满二年，格局好，采光好，配套全,沈抚中南熙悦 -沈抚新区,3室2厅 | 105平米 | 南 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 4个月以前发布,70,"6,667元/平"
同城一品3-2-1-2 111.69m² 46 万,同城一品 -沈抚新区,3室2厅 | 111.69平米 | 南 北 | 毛坯 | 高楼层(共8层)  | 板楼,0人关注 / 4个月以前发布,43,"3,850元/平"
房主急售 花园洋一 带南向40平花园 采光好 无遮挡,德商春天里 -沈抚新区,3室1厅 | 89平米 | 南 北 | 毛坯 | 低楼层(共8层)  | 板楼,4人关注 / 5个月以前发布,59.8,"6,720元/平"
格林景苑101平二室二厅一卫.急售,格林景苑 -顺城区,2室2厅 | 101.95平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,80人关注 / 一年前发布,30.9,"3,031元/平"
万科金域蓝湾大三室。顶楼，交付装修。满五唯一,万科金域蓝湾 -沈抚新区,3室2厅 | 164.5平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,10人关注 / 一年前发布,80,"4,864元/平"
精装修 南北大户型 通风采光好 通透格局 近浑河,锦绣澜湾C区 -沈抚新区,3室1厅 | 108.37平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,8人关注 / 10个月以前发布,53,"4,891元/平"
沈抚万科城市之光3-2-1-1 101.00平65 万,沈抚万科城市之光 -沈抚新区,3室2厅 | 101平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,61.8,"6,119元/平"
中金公元启城三室两厅一卫南北通透格局好 楼层 采光好,中金公元启城 -沈抚新区,3室2厅 | 108.73平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 7个月以前发布,66,"6,071元/平"
万科130户型 喜欢大房子的来,沈抚万科城市之光 -沈抚新区,3室2厅 | 130.77平米 | 南 北 东 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 5个月以前发布,105,"8,030元/平"
绿地剑桥精装洋一    拎包入住,绿地剑桥 -沈抚新区,3室2厅 | 96.86平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,71.7,"7,403元/平"
沈抚新区 德商国际花园 五号院 成熟小区 配套齐全,德商国际花园 -沈抚新区,3室1厅 | 97平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,62,"6,392元/平"
此房户型好 采光充足 视野开阔 南北标户,德商国际花园 -沈抚新区,3室2厅 | 100平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,1人关注 / 2个月以前发布,57.9,"5,790元/平"
沈抚新区明骏雅居四室 户型方正 格局好随时看房,明骏雅居 -沈抚新区,4室2厅 | 141平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板楼,2人关注 / 6个月以前发布,77,"5,461元/平"
业主急售中南熙悦客卧分离3室住宅在浑河边69万,沈抚中南熙悦 -沈抚新区,3室2厅 | 105平米 | 南 | 精装 | 中楼层(共28层)  | 暂无数据,1人关注 / 6个月以前发布,70,"6,667元/平"
本房为精装修南北户型 采光好 河景房 拎包入住,沈抚中南熙悦 -沈抚新区,3室2厅 | 103.78平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,68,"6,553元/平"
沈抚万科城市之光3-2-1-1 102.00平 79 万）,沈抚万科城市之光 -沈抚新区,3室2厅 | 102平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,79,"7,746元/平"
此房源急售，位置娄王前排，中间户，采光特好,中金公元启城 -沈抚新区,2室2厅 | 84.01平米 | 南 北 | 其他 | 低楼层(共26层)  | 板楼,0人关注 / 19天以前发布,57,"6,785元/平"
隆润国际 小户型  交通便利 配套齐全,隆润国际 -沈抚新区,2室1厅 | 66.21平米 | 东 | 毛坯 | 低楼层(共25层)  | 板楼,0人关注 / 22天以前发布,18,"2,719元/平"
万科城市之光六期南北三室精装出售,沈抚万科城市之光 -沈抚新区,3室2厅 | 99平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 31天以前发布,78,"7,879元/平"
万科城市之光精装三室出售价格合适,沈抚万科城市之光 -沈抚新区,3室2厅 | 100平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 31天以前发布,78.1,"7,810元/平"
（沈抚万科城市之光3-2-1-1 101.00平 79 万）,沈抚万科城市之光 -沈抚新区,3室2厅 | 101平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 26天以前发布,78.2,"7,743元/平"
洋房电梯入户  户型好  南北通透  近轻轨交通便利,明骏雅居 -沈抚新区,3室2厅 | 124.62平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 25天以前发布,94.8,"7,608元/平"
沈抚中南熙悦3-2-1-2 105.00平 65.5 万）,沈抚中南熙悦 -沈抚新区,3室2厅 | 105平米 | 南 | 其他 | 高楼层(共28层)  | 板楼,0人关注 / 29天以前发布,65,"6,191元/平"
本房为22年新交付商品房 洋房楼层好 南北格局 采光好,沈抚中南熙悦 -沈抚新区,3室2厅 | 100平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 23天以前发布,71,"7,100元/平"
此房南北通透格局好、视野开阔、采光充足。,明骏雅居 -沈抚新区,3室2厅 | 141.62平米 | 南 北 | 其他 | 低楼层(共25层)  | 板楼,0人关注 / 16天以前发布,109,"7,697元/平"
此房源精装南北通透格局，采光好，无遮挡，配套全,德商国际花园 -沈抚新区,2室1厅 | 101.22平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,4人关注 / 5个月以前发布,55,"5,434元/平"
此房满二 南向 采光好 有独立卫生间和厨房 看房方便,亿丰中心 -沈抚新区,1室1厅 | 43.51平米 | 南 | 其他 | 高楼层(共28层)  | 塔楼,0人关注 / 5个月以前发布,22.3,"5,126元/平"
房主诚心出售本房 此房为西南向房子 卫生间厨房有窗,亿丰中心 -沈抚新区,1室1厅 | 47.82平米 | 南 | 其他 | 高楼层(共28层)  | 塔楼,2人关注 / 5个月以前发布,22.3,"4,664元/平"
沈抚中金80平3室 中间户号楼层 下楼就是公园 交通方便,中金公元启城 -沈抚新区,3室2厅 | 80平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,59,"7,375元/平"
沈抚新区德商国际一室一厅精装修出售,德商国际花园 -沈抚新区,1室1厅 | 59.35平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,33,"5,561元/平"
沈抚新区德商国际花园一室一厅精装修出售,德商国际花园 -沈抚新区,1室1厅 | 59.12平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 27天以前发布,37,"6,259元/平"
房主诚心出售本房  南北户型 楼层好 采光视野好,沈抚中南熙悦 -沈抚新区,2室2厅 | 75平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 21天以前发布,40,"5,334元/平"
本房为电梯河景房  南北户型 近浑河滨河花园 环境好,浑河城 -其它,2室2厅 | 100.74平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 24天以前发布,49,"4,865元/平"
沈抚中南熙悦优质南北通透格局，配套全,沈抚中南熙悦 -沈抚新区,2室2厅 | 75平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 29天以前发布,41,"5,467元/平"
房子南北通透精装，满五唯一，看房方便,万科金域蓝湾 -沈抚新区,2室2厅 | 89.9平米 | 南 北 | 其他 | 高楼层(共28层)  | 板楼,0人关注 / 26天以前发布,55,"6,118元/平"
南北朝向标准户型 有轻轨公交出行方便,融创东环海逸长洲 -沈抚新区,2室2厅 | 93平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,3人关注 / 9个月以前发布,60,"6,452元/平"
地 理 位 置 优 越 南 北 通透  精 装 修 拎 包 入 住,锦绣澜湾D区 -沈抚新区,2室2厅 | 84.29平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,3人关注 / 6个月以前发布,41,"4,865元/平"
此房满五，没有抵押，采光无遮挡，户型南北通透,悦鑫国际 -沈抚新区,2室2厅 | 113.67平米 | 南 北 | 其他 | 低楼层(共27层)  | 板楼,1人关注 / 8个月以前发布,54,"4,751元/平"
急售 沈抚新区中南熙悦次新房出售南北两室满二唯一,沈抚中南熙悦 -沈抚新区,2室2厅 | 76.35平米 | 南 北 | 其他 | 中楼层(共27层)  | 板楼,0人关注 / 3个月以前发布,37,"4,847元/平"
新交付商品房 南北格局 通风好 楼层好 北向临河,沈抚中南熙悦 -沈抚新区,2室2厅 | 76.74平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 暂无数据,0人关注 / 1个月以前发布,38,"4,952元/平"
精装两室，南北通透，全明户型，满五唯一,德商春天里 -沈抚新区,2室1厅 | 76.51平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,1人关注 / 1个月以前发布,41,"5,359元/平"
悦府鑫诚！成熟小区！高层！小户型！,悦府鑫城 -沈抚新区,1室1厅 | 51平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,2人关注 / 11个月以前发布,23.5,"4,608元/平"
此房户型好，楼层好，标准南北通透户型，诚意出售,锦绣澜湾D区 -沈抚新区,2室2厅 | 104.04平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,1人关注 / 9个月以前发布,39.9,"3,836元/平"
急售 和美小区 沈抚新区 二楼,和美家园 -沈抚新区,2室1厅 | 82.55平米 | 东 | 其他 | 低楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,28,"3,392元/平"
房子南北通透清水，位置好，不挡光，看房方便,中金公元启城 -沈抚新区,2室2厅 | 94平米 | 南 北 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 3天以前发布,56,"5,958元/平"
房子南北通透清水，位置好，不挡光，看房方便,中金公元启城 -沈抚新区,1室1厅 | 57平米 | 南 北 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 4天以前发布,42,"7,369元/平"
房子南北通透精装，满五唯一，看房方便,万科金域蓝湾 -沈抚新区,3室2厅 | 168平米 | 南 北 | 其他 | 高楼层(共28层)  | 板楼,0人关注 / 9天以前发布,150,"8,929元/平"
河景房 南北格局 北向临河 干湿分离卫生间,沈抚中南熙悦 -沈抚新区,2室2厅 | 78平米 | 南 北 | 其他 | 低楼层(共28层)  | 暂无数据,0人关注 / 12天以前发布,38,"4,872元/平"
万科城市之光 南北通透  大开间电梯房 诚意出售,沈抚万科城市之光 -沈抚新区,3室2厅 | 115平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,79.8,"6,940元/平"
河景高层房 南北通透 房主诚心出售本房 看房方便,沈抚中南熙悦 -沈抚新区,3室2厅 | 89.6平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,0人关注 / 5个月以前发布,47,"5,246元/平"
沈抚万科城市之光3-1-1-1 96.00平 66 万,沈抚万科城市之光 -沈抚新区,3室1厅 | 96平米 | 南 北 | 精装 | 高楼层(共20层)  | 板楼,1人关注 / 4个月以前发布,66.6,"6,938元/平"
沈抚德商国际花园南北3室住宅房龄新55万价格可议,德商国际花园 -沈抚新区,3室2厅 | 94.06平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,56,"5,954元/平"
21年新交付房源 河景房 南北户型 视野采光好,沈抚中南熙悦 -沈抚新区,3室1厅 | 85平米 | 南 北 | 其他 | 高楼层(共27层)  | 板楼,2人关注 / 3个月以前发布,55.5,"6,530元/平"
近轻轨 育才 交通便利  地理位置优越,明骏雅居 -沈抚新区,3室2厅 | 105平米 | 南 北 | 其他 | 低楼层(共25层)  | 板楼,1人关注 / 4个月以前发布,53,"5,048元/平"
本房源为22年新交付清水房源 北向临河 有滨河花园,沈抚中南熙悦 -沈抚新区,3室2厅 | 105平米 | 南 北 | 其他 | 高楼层(共28层)  | 暂无数据,0人关注 / 1个月以前发布,45,"4,286元/平"
标准南北，开间大，厨房大，屋内保持的干净,沈抚万科城市之光 -沈抚新区,3室2厅 | 96平米 | 南 北 | 其他 | 低楼层(共20层)  | 板楼,0人关注 / 4个月以前发布,68,"7,084元/平"
房主急售，一层门市，成熟底商。,圣大英伦国际 -沈抚新区,1室1厅 | 37.2平米 | 南 | 简装 | 低楼层(共1层)  | 板楼,0人关注 / 4个月以前发布,42.1,"11,318元/平"
金鼎世纪城    交通便利   畅游沈抚两地,金鼎世纪城 -沈抚新区,2室2厅 | 87.88平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 一年前发布,49.5,"5,633元/平"
德商国际花园！小户型！59平毛坯房！,德商国际花园 -沈抚新区,1室2厅 | 59.12平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,33,"5,582元/平"
业主急售 此房电梯洋房，南北通透格局不临街 出行便利,德商国际花园 -沈抚新区,2室2厅 | 96.44平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,52.5,"5,444元/平"
沈抚新区！圣大英伦国际！精品房源！,圣大英伦国际 -沈抚新区,2室1厅 | 87.8平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,40.5,"4,613元/平"
沈抚新区国际鑫城98.21平简装出售,国际鑫城 -沈抚新区,2室2厅 | 98.21平米 | 南 北 | 简装 | 中楼层(共33层)  | 板楼,3人关注 / 一年前发布,39.8,"4,053元/平"
房主急售，一层门市，成熟底商，格局好，两个一起卖，,圣大英伦国际 -沈抚新区,1室1厅 | 34.04平米 | 南 | 简装 | 低楼层(共1层)  | 板楼,0人关注 / 4个月以前发布,38.1,"11,193元/平"
德商国际花园 1室1厅 南,德商国际花园 -沈抚新区,1室1厅 | 41平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,1人关注 / 1个月以前发布,21.6,"5,269元/平"
沈抚新区德商春天里两室简装出售,德商春天里 -沈抚新区,2室1厅 | 56.22平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,5人关注 / 一年前发布,34.9,"6,208元/平"
圣大英伦国际1-1-1-1 61.40平 24.9 万,圣大英伦国际 -沈抚新区,1室1厅 | 61.4平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 4个月以前发布,25,"4,072元/平"
沈抚新区中金公园启城94平南北二室二厅一卫,中金公元启城 -沈抚新区,2室2厅 | 93.9平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,12人关注 / 一年前发布,46.8,"4,985元/平"
沈抚新区中环天地  楼层好  南北通透 近生命之环,中环天地 -其它,2室1厅 | 62.54平米 | 南 北 | 简装 | 高楼层(共27层)  | 板楼,0人关注 / 一年前发布,31,"4,957元/平"
中环天地 大两室 随意装修  交通便利,中环天地 -其它,2室2厅 | 89.23平米 | 南 | 毛坯 | 低楼层(共27层)  | 板楼,0人关注 / 11个月以前发布,45,"5,044元/平"
和欣家园 南北两室 格局好采光好,和欣家园 -沈抚新区,2室1厅 | 73.39平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,32人关注 / 一年前发布,15.5,"2,113元/平"
沈抚新区 刘尔小区 干净整洁 交通便利,幸福之城刘尔家园 -沈抚新区,2室1厅 | 60平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,8人关注 / 一年前发布,23.1,"3,850元/平"
和欣家园 南北两室 格局好采光好,和欣家园 -沈抚新区,2室1厅 | 73.39平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,32人关注 / 一年前发布,15.5,"2,113元/平"
电梯 精装修小户型 家具家电齐全 看房方便 诚心出售,亿丰中心 -沈抚新区,1室1厅 | 43.5平米 | 南 | 其他 | 高楼层(共28层)  | 塔楼,2人关注 / 5个月以前发布,21.3,"4,897元/平"
临街一层门市 位置好 房主诚心出售 目前出租中,德商春天里 -沈抚新区,1室1厅 | 86.52平米 | 南 | 简装 | 低楼层(共1层)  | 板楼,3人关注 / 5个月以前发布,84,"9,709元/平"
