标题,开发商,房子信息,发布信息,售价/万,单价
主城区电梯小高层户型方正得房率高配套齐全,金石•凤凰城 -魏都区,3室2厅 | 143.76平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 7天以前发布,121,"8,417元/平"
鹿鸣湖壹号二期悦府 3室2厅 东南,鹿鸣湖壹号二期悦府 -魏都区,3室2厅 | 115.37平米 | 东南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,85,"7,368元/平"
天宝盛世，得房率高，南海街，配套齐全，鹿鸣湖,天宝盛世花园 -建安区,3室1厅 | 135.92平米 | 东 南 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 3个月以前发布,81.99,"6,033元/平"
精装修未入住 包税 品牌家具家电 一梯一户 中层,瑞贝卡·和天下 -魏都区,3室2厅 | 140.91平米 | 南 北 | 精装 | 中楼层(共29层)  | 板塔结合,1人关注 / 7个月以前发布,130,"9,226元/平"
文化街二中，单价很合适的房子，可小刀,县人民武装部家属院 -魏都区,3室1厅 | 107.6平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,36.5,"3,393元/平"
2000年的房子，满五唯一，户型好,豫中置业 -魏都区,3室2厅 | 107.5平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,2人关注 / 5个月以前发布,40,"3,721元/平"
南海街 饮马河旁 恒大绿洲精装三房,恒大绿洲 -魏都区,3室2厅 | 132.19平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,102,"7,717元/平"
鹿鸣湖壹号二期悦府 3室2厅 东南,鹿鸣湖壹号二期悦府 -魏都区,3室2厅 | 115.37平米 | 东南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,85,"7,368元/平"
天宝盛世，得房率高，南海街，配套齐全，鹿鸣湖,天宝盛世花园 -建安区,3室1厅 | 135.92平米 | 东 南 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 3个月以前发布,81.99,"6,033元/平"
文化街二中，单价很合适的房子，可小刀,县人民武装部家属院 -魏都区,3室1厅 | 107.6平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,36.5,"3,393元/平"
精装修未入住 包税 品牌家具家电 一梯一户 中层,瑞贝卡·和天下 -魏都区,3室2厅 | 140.91平米 | 南 北 | 精装 | 中楼层(共29层)  | 板塔结合,1人关注 / 7个月以前发布,130,"9,226元/平"
出售文峰广场北邻3室1厅80平方满5唯1南北通风采光好,广播局家属院 -魏都区,3室1厅 | 80.42平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,16人关注 / 8个月以前发布,28,"3,482元/平"
府西雅园，电梯洋房，公摊小，毛坯南北通透，,三达府西雅园 -魏都区,3室2厅 | 135.96平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,138,"10,151元/平"
店东推荐户型方正此房位置和采光都很好经典小三室,北海腾飞花园 -建安区,3室1厅 | 88平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,1人关注 / 4个月以前发布,47,"5,341元/平"
三八路商圈配套齐 新世纪广场旁 带储 可按揭步梯二楼,生产资料公司家属院 -魏都区,3室2厅 | 143.12平米 | 东 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,61.8,"4,319元/平"
东区高铁片区精装三室，有证可按揭,空港新城二期 -建安区,3室1厅 | 85.48平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,0人关注 / 5个月以前发布,62,"7,254元/平"
房东诚心出售，配套齐全，户型方正，优质房源,许继花园 -魏都区,3室2厅 | 140平米 | 南 北 | 简装 | 中楼层(共16层)  | 平房,0人关注 / 一年前发布,96,"6,858元/平"
出行方便。出门许继大道，出行方便，采光充足,工行家属院(魏都区) -魏都区,3室2厅 | 110.11平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,6人关注 / 一年前发布,45,"4,087元/平"
许昌市人民医院家属院 3室2厅 南,许昌市人民医院家属院 -魏都区,3室2厅 | 108平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,66,"6,112元/平"
铁东路有证满五唯一 通风效果很好,百禾·中央都市公寓 -长葛市,3室2厅 | 144.08平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 4个月以前发布,40,"2,777元/平"
满五唯一 小区环境优美 采光充足,六合苑 -长葛市,3室2厅 | 111.65平米 | 南 | 毛坯 | 中楼层(共17层)  | 板塔结合,5人关注 / 一年前发布,46.5,"4,165元/平"
东区好位置，马上满五唯一的房子!!,创业园小区 -长葛市,3室2厅 | 148.94平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,2人关注 / 9个月以前发布,76,"5,103元/平"
颍川路简装大四室，配套实施齐全，拎包入住,世纪鑫城 -长葛市,4室2厅 | 181.52平米 | 南 北 | 简装 | 低楼层(共19层)  | 塔楼,1人关注 / 4个月以前发布,79.5,"4,380元/平"
錦華小區 3室2厅 南,錦華小區 -长葛市,3室2厅 | 128平米 | 南 | 简装 | 高楼层(共6层)  | 塔楼,14人关注 / 一年前发布,28,"2,188元/平"
北海千玺乐苑    精装小三室    户型方正,千玺乐苑 -建安区,2室2厅 | 88.47平米 | 南 | 简装 | 中楼层(共28层)  | 板楼,0人关注 / 3个月以前发布,41,"4,635元/平"
凤凰佳苑 3室2厅 南,凤凰佳苑 -长葛市,3室2厅 | 134.33平米 | 南 | 毛坯 | 高楼层(共19层)  | 板楼,3人关注 / 7个月以前发布,54,"4,020元/平"
简单装修四室，拎包入住，全明户型，视野好，停车方便,文苑新家 -建安区,4室1厅 | 98.58平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 5个月以前发布,37,"3,754元/平"
1楼，3室2厅1厨1卫，带30平花园,天明城 -建安区,3室2厅 | 105.67平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,7人关注 / 一年前发布,88,"8,328元/平"
满五唯一 菁华名家 九弟商场旁 生活便利,菁华名家 -魏都区,3室1厅 | 94.26平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,34人关注 / 一年前发布,48,"5,093元/平"
精装可做婚房出门都是游园购物方便,罗马阳光小区 -魏都区,3室2厅 | 135.88平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,92,"6,771元/平"
瑞贝卡和天下一梯一户，三开间朝南的户型,瑞贝卡·和天下 -魏都区,3室2厅 | 139.12平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 板塔结合,2人关注 / 2个月以前发布,108,"7,764元/平"
低密度社区，三房好楼层，有证可按揭,阳光花墅 -魏都区,3室2厅 | 144.26平米 | 南 | 毛坯 | 中楼层(共27层)  | 板楼,6人关注 / 7个月以前发布,82,"5,685元/平"
位于南海街鹿鸣湖旁，户型好，配套设施齐全,瑞贝卡兴天下 -魏都区,3室2厅 | 105.81平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,2人关注 / 3个月以前发布,80,"7,561元/平"
豫中桂圆小三室，功能齐全，居住舒适,豫中桂园 -魏都区,3室1厅 | 89.43平米 | 南 | 简装 | 中楼层(共30层)  | 板塔结合,3人关注 / 一年前发布,63,"7,045元/平"
森林半岛一楼带院  三室两厅  毛坯房 随意装修,北海森林半岛 -建安区,3室2厅 | 137.6平米 | 西南 | 毛坯 | 低楼层(共8层)  | 板楼,9人关注 / 8个月以前发布,98,"7,123元/平"
毛坯房，可随意装修，双阳台，采光好，交通便利,豫中桂园 -魏都区,3室2厅 | 128.45平米 | 南 | 毛坯 | 高楼层(共5层)  | 暂无数据,0人关注 / 7个月以前发布,76,"5,917元/平"
许由莊園3-2-1-2 138.33m,许由莊園 -魏都区,3室2厅 | 138.33平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,54.9,"3,969元/平"
满五唯一，观景楼层，两梯三户，随时过户,天宝盛世花园 -建安区,3室2厅 | 133.58平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,4人关注 / 8个月以前发布,84,"6,289元/平"
品质小区，地理位置优越，户型方正，楼层好，格局好,恒达名门尚居 -魏都区,4室2厅 | 185.85平米 | 东南 | 毛坯 | 高楼层(共17层)  | 板塔结合,7人关注 / 一年前发布,148,"7,964元/平"
低密度社区，三房好楼层，有证可按揭,阳光花墅 -魏都区,3室2厅 | 144.26平米 | 南 | 毛坯 | 中楼层(共27层)  | 板楼,6人关注 / 7个月以前发布,82,"5,685元/平"
位于南海街鹿鸣湖旁，户型好，配套设施齐全,瑞贝卡兴天下 -魏都区,3室2厅 | 105.81平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,2人关注 / 3个月以前发布,80,"7,561元/平"
距离健康路，一中近的房源，三楼非顶层,区委25号院 -魏都区,3室1厅 | 72.95平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,20人关注 / 一年前发布,44.5,"6,101元/平"
户型方正   通透性好   采光充足  配套齐全,天明城 -建安区,3室2厅 | 108.36平米 | 东 东南 | 毛坯 | 高楼层(共30层)  | 板楼,2人关注 / 一年前发布,79,"7,291元/平"
魏文路精装三室拎包入住六千多一平,大正·壹品蓝湾 -魏都区,3室2厅 | 134.91平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,7人关注 / 7个月以前发布,89.99,"6,671元/平"
高铁东站 空港新城  三室 户型合理 有证可按揭,空港新城二期 -建安区,3室1厅 | 88.93平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,30人关注 / 一年前发布,63,"7,085元/平"
许由路  县外贸家属院有钥匙看房,许昌县外贸家属院 -魏都区,3室2厅 | 143.37平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,53.8,"3,753元/平"
东区南海街好楼层 单价低 户型方正,瑞贝卡·和天下 -魏都区,3室2厅 | 111平米 | 南 | 毛坯 | 低楼层(共29层)  | 板塔结合,38人关注 / 一年前发布,82,"7,388元/平"
满五唯一，南北通透，采光好。生活配套齐全。,五一路办事处家属院 -魏都区,3室2厅 | 146平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,46.8,"3,206元/平"
满五唯一 菁华名家 九弟商场旁 生活便利,菁华名家 -魏都区,3室1厅 | 94.26平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,34人关注 / 一年前发布,48,"5,093元/平"
精装可做婚房出门都是游园购物方便,罗马阳光小区 -魏都区,3室2厅 | 135.88平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,92,"6,771元/平"
简单装修四室，拎包入住，全明户型，视野好，停车方便,文苑新家 -建安区,4室1厅 | 98.58平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 5个月以前发布,37,"3,754元/平"
1楼，3室2厅1厨1卫，带30平花园,天明城 -建安区,3室2厅 | 105.67平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,7人关注 / 一年前发布,88,"8,328元/平"
许都公园旁健发御园精装130平大三室有车位,健发御园四期 -魏都区,3室2厅 | 130平米 | 南 | 精装 | 高楼层(共20层)  | 板楼,14人关注 / 一年前发布,122,"9,385元/平"
学府名苑四室两厅好楼层 南北通透 客厅朝南,学府名苑 -魏都区,4室2厅 | 123.88平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,54人关注 / 一年前发布,85,"6,862元/平"
祥瑞小区 步梯4楼  户型方正 南北通透 诚心出售,祥瑞小区 -魏都区,3室2厅 | 162.09平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,7人关注 / 一年前发布,94,"5,800元/平"
满五唯一，户型方正，三开间朝南，中间楼层，小区新,恒大翡翠华庭 -魏都区,3室2厅 | 134平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,108,"8,060元/平"
急卖 步梯好楼层 公摊小 拎包入住 小区自带幼儿园,万象新天 -魏都区,3室2厅 | 141.79平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,8人关注 / 一年前发布,69.9,"4,930元/平"
：此房毛坯，可任意装修，满足客户要求 户型比较方正,鼎鑫鑫悦广场 -魏都区,3室2厅 | 128平米 | 南 | 毛坯 | 低楼层(共28层)  | 塔楼,13人关注 / 一年前发布,100,"7,813元/平"
此房满二唯一，通风效果好，交通便利，电梯房，采光好,一品名家 -长葛市,3室2厅 | 124.71平米 | 南 西 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,51,"4,090元/平"
此房户型方正，采光充足，配套齐全，拎包入住,城市花园 -长葛市,3室2厅 | 129.44平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,2人关注 / 4个月以前发布,52.9,"4,087元/平"
东转盘  优质房源  满五唯一,金色家园 -长葛市,3室2厅 | 127平米 | 东南 | 简装 | 中楼层(共18层)  | 板楼,4人关注 / 一年前发布,54.5,"4,292元/平"
豫中桂圆小三室，功能齐全，居住舒适,豫中桂园 -魏都区,3室1厅 | 89.43平米 | 南 | 简装 | 中楼层(共30层)  | 板塔结合,3人关注 / 一年前发布,63,"7,045元/平"
南海街 仲央公园旁 瑞贝卡兴天下毛坯三房 南北通风,瑞贝卡兴天下 -魏都区,3室2厅 | 131.21平米 | 东南 | 毛坯 | 中楼层(共26层)  | 板楼,4人关注 / 7个月以前发布,104.9,"7,995元/平"
3+1户型，两梯两户小高层，南北透通,瑞贝卡兴天下 -魏都区,3室2厅 | 141平米 | 南 | 毛坯 | 中楼层(共16层)  | 板楼,0人关注 / 3个月以前发布,115,"8,157元/平"
东区好房鹿鸣湖畔经典大三室诚意出售,腾飞鹿鸣湖畔 -建安区,3室2厅 | 144.81平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,12人关注 / 一年前发布,120,"8,287元/平"
此房满二唯一，通风效果好，交通便利，电梯房，采光好,一品名家 -长葛市,3室2厅 | 124.71平米 | 南 西 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,51,"4,090元/平"
东转盘  优质房源  满五唯一,金色家园 -长葛市,3室2厅 | 127平米 | 东南 | 简装 | 中楼层(共18层)  | 板楼,4人关注 / 一年前发布,54.5,"4,292元/平"
位置好.成熟小区.配套好.让你生活无忧,恒大绿洲 -魏都区,3室2厅 | 116.08平米 | 西北 | 精装 | 中楼层(共33层)  | 板楼,4人关注 / 一年前发布,82.5,"7,108元/平"
此房 视野宽阔 采光充足 配套设施齐全 交通便利，，，,金色家园 -长葛市,3室2厅 | 131.96平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,47.8,"3,623元/平"
盛世名苑小区房东人挺好的房屋现在空置无抵押,盛世名苑 -长葛市,3室2厅 | 143.9平米 | 东 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,40,"2,780元/平"
精装修满五唯一，南北通透 拎包入住，,城市花园 -长葛市,3室2厅 | 135.25平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,49.8,"3,683元/平"
县运输公司家属院3-2-1-1 95.00m²,县运输公司家属院 -魏都区,3室2厅 | 95平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,26.8,"2,822元/平"
河畔家园 电梯大三室 有储藏室车位 可按揭,河畔家园 -魏都区,3室2厅 | 139.66平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,6人关注 / 一年前发布,69,"4,941元/平"
一楼带院，小院50平左右，户型方正，适合老人小孩居住,阳光佳苑(长葛市) -长葛市,3室2厅 | 132平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,3人关注 / 8个月以前发布,61.5,"4,660元/平"
满五唯一三房两卫双阳台 高低配社区 中间楼层可按揭,阳光花墅 -魏都区,3室2厅 | 138.9平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,15人关注 / 一年前发布,83,"5,976元/平"
户型南北通透，采光充足，物业费低,铁路家属院南院 -魏都区,3室1厅 | 75.13平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,31.9,"4,246元/平"
东湖旁恒达溪地，小高层三房好楼层可按揭,恒达NAPA溪地 -魏都区,3室2厅 | 118.86平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,14人关注 / 5个月以前发布,82,"6,899元/平"
此房满五唯一，户型好，楼层好，视野开阔，采光充足,一峰城市广场 -长葛市,3室2厅 | 116.18平米 | 南 北 | 精装 | 中楼层(共20层)  | 板塔结合,1人关注 / 4个月以前发布,61.5,"5,294元/平"
二橡胶厂家属院 2室1厅 南,二橡胶厂家属院 -魏都区,2室1厅 | 69.26平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,26,"3,754元/平"
滨河花园 2室1厅 南 北,滨河花园 -魏都区,2室1厅 | 102.39平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,54,"5,274元/平"
房子满五年唯一 步梯5层南北通风 空气流通,工行家属院(魏都区) -魏都区,2室1厅 | 75.15平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 30天以前发布,31,"4,126元/平"
西湖公园旁 市政家属院 中间楼层 证件齐全,西湖南街市政家属院 -魏都区,2室1厅 | 56.14平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 28天以前发布,39,"6,947元/平"
卓越香格里拉 车位,卓越香格里拉 -长葛市,车位 | 227.17平米 | 东 南 西 北  | 暂无数据,0人关注 / 3个月以前发布,110,"4,843元/平"
大润发旁 有证能分期 视野开阔,名人名家小区 -长葛市,3室1厅 | 129.25平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,50.5,"3,908元/平"
宇龙广场 2室1厅 南,宇龙广场 -长葛市,2室1厅 | 110.89平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,2人关注 / 7个月以前发布,65,"5,862元/平"
