标题,开发商,房子信息,发布信息,售价/万,单价
奥体谷德锦商圈 电梯三室，楼层采光好，交通便利,鸢都新城 -奥体中心,3室1厅 | 118.47平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 8天以前发布,73.8,"6,230元/平"
近玉清，两室精装修，楼层好，采光好。,润福家园 -东明学校,2室1厅 | 74.57平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,45.8,"6,142元/平"
阳光假日小高层大三室，北苑实验近+乐川街小近,恒信阳光假日 -北苑实验,3室2厅 | 111平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 塔楼,8人关注 / 一年前发布,78,"7,028元/平"
北海路旁 凤凰嘉苑 电梯洋房！婚房精装修 H户型,华安凤凰嘉苑 -凤凰山片区,3室2厅 | 139.81平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 3个月以前发布,141,"10,086元/平"
此房楼座位置好，不挡光，楼层佳，商圈配套齐全,中海大观天下三期 -市府东南,3室2厅 | 128平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,11人关注 / 8个月以前发布,98,"7,657元/平"
品质小区茂华爱琴海新房三室 低价售,茂华爱琴海 -北苑实验,3室2厅 | 131.15平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,3人关注 / 3个月以前发布,105,"8,007元/平"
奎文单位房 多层三楼 通透户型 带地下室,虞新街供销社宿舍 -新华中学,3室2厅 | 93.16平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,17人关注 / 8个月以前发布,62,"6,656元/平"
新华日向近南北通透 H户型 带大院子 无遮挡,三联宿舍 -新华中学,3室2厅 | 121.5平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,12人关注 / 11个月以前发布,143,"11,770元/平"
市府东南精装大 H户型 南北通透 全天采光,博观熙岸 -市府东南,3室2厅 | 121.89平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,7人关注 / 10个月以前发布,152,"12,471元/平"
歌尔绿城桃园里，精装未住，楼层好，采光好，智谷近,歌尔绿城桃园里 -高新实验,3室2厅 | 111.65平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,10人关注 / 一年前发布,101,"9,047元/平"
弥水未来旁天泰紫金府中间楼层带车位 双阳台钥匙房,天泰紫金府 -寿光市,3室2厅 | 137平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 2个月以前发布,93,"6,789元/平"
精装修未住，楼层好，出门菜市场，生活方便,樱园西区 -樱园,3室1厅 | 83.43平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,58.9,"7,060元/平"
中间楼层，精装修。客厅朝阳3居室，带地下室，出2年税,金域华府(高新技术产业开发区) -潍坊学院,3室2厅 | 103平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,5人关注 / 4个月以前发布,79,"7,670元/平"
盛世旁 潍柴单位房 好 楼层  精装微住 地下室,潍柴佳苑 -潍柴动力,3室1厅 | 124平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,113,"9,113元/平"
明德，北海路观景，晶立方，10万实木精装未住，三室,和扬·晶立方 -新华路北,3室1厅 | 95平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,68.7,"7,232元/平"
万达北，无遮挡采光好，装修未住，看房有钥匙,金都时代新城 -则尔庄,3室2厅 | 135.2平米 | 南 北 | 精装 | 中楼层(共22层)  | 板楼,3人关注 / 4个月以前发布,93,"6,879元/平"
标三全明户型，店里有钥匙，随时看房。,鑫润香岸花园 -文华学校,3室1厅 | 97.7平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,49.8,"5,098元/平"
潍柴单位房万达近同心园多层2楼好房急售采光充足,同心园小区 -则尔庄,2室2厅 | 70.28平米 | 南 北 | 精装 | 低楼层(共7层)  | 板塔结合,3人关注 / 7个月以前发布,39,"5,550元/平"
泰祥花苑，中间楼层，采光好，大H户型，南北通透。,泰祥花苑 -南部新区,3室2厅 | 136.8平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,73.8,"5,395元/平"
北海路 新华路近 明德旁 大三居,书林苑 -新华路北,3室2厅 | 140平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 3个月以前发布,89,"6,358元/平"
动静分离户型！带车位，精装修，婚房，全天采光,中海大观天下三期 -市府东南,3室2厅 | 124.59平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,6人关注 / 4个月以前发布,116,"9,311元/平"
潍坊学院近，金宸公馆银行单位房，人车分流,金宸公馆 -金融广场,3室2厅 | 143.5平米 | 南 北 | 简装 | 中楼层(共23层)  | 板楼,8人关注 / 一年前发布,125,"8,711元/平"
歌尔绿城桃园里 绿城物业 H户型  带精装修 91万,歌尔绿城桃园里 -高新实验,3室2厅 | 102.3平米 | 南 北 | 精装 | 低楼层(共23层)  | 板楼,1人关注 / 1个月以前发布,91,"8,896元/平"
春景花园3室2厅，南北通透，带家电家具和地下室,春景花园 -高新实验,3室2厅 | 100.19平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,8人关注 / 4个月以前发布,75,"7,486元/平"
德润兰庭H户型 全天采光   小区唯一的在售户型,德润兰庭 -新华路北,3室2厅 | 129.67平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,99.8,"7,697元/平"
小区位置好 物业服务好 适合居住,富氏壹号公馆 -东明学校,3室2厅 | 112.82平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 3个月以前发布,80,"7,091元/平"
渤海路旁佳乐家北邻 电梯8楼 精装未住  三室,龙凤花园 -坊子佳乐家,3室1厅 | 118平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 4个月以前发布,69.8,"5,916元/平"
新华路 精装未住，新海枫景 多层2楼 三室好房 随时看,东城新海枫景 -锦绣学校,3室1厅 | 89.8平米 | 南 北 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 1个月以前发布,69.6,"7,751元/平"
品质小区 H户型 楼间距宽 位置优越 全天无遮挡,中南保利樾府 -高新实验,3室2厅 | 135平米 | 南 北 | 毛坯 | 中楼层(共20层)  | 板楼,0人关注 / 一年前发布,123,"9,112元/平"
市府旁  植物园 唐宁府 精装大三居  楼层好带地下室,唐宁府北区 -梨园,3室2厅 | 119.71平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,98,"8,187元/平"
高档社区，物业好地理位置优越，临吾悦广场，配套齐,金砖城 -南部新区,3室2厅 | 144.68平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,104,"7,189元/平"
智谷 浞河 城市广场  115平三室  两室朝阳客厅朝阳,高新城市广场 -智谷学校,3室2厅 | 115.32平米 | 南 北 | 简装 | 高楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,97.5,"8,455元/平"
：高新实验旁现房，已下证，上市房企开发，物业好,中南熙悦 -高新实验,3室2厅 | 133.79平米 | 东 北 | 简装 | 低楼层(共20层)  | 板楼,6人关注 / 9个月以前发布,126,"9,418元/平"
全年采光，东华，东明， 南边有谷德广场，生活便利。,新富公寓 -东明学校,3室2厅 | 115平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,15人关注 / 10个月以前发布,88,"7,653元/平"
万达北，无遮挡采光好，装修未住，看房有钥匙,金都时代新城 -则尔庄,3室2厅 | 135.2平米 | 南 北 | 精装 | 中楼层(共22层)  | 板楼,3人关注 / 4个月以前发布,93,"6,879元/平"
大观天下 楼层好 位置佳 动静分离户型带地下室,中海大观天下三期 -市府东南,3室2厅 | 126平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,100,"7,937元/平"
潍柴单位房万达近同心园多层2楼好房急售采光充足,同心园小区 -则尔庄,2室2厅 | 70.28平米 | 南 北 | 精装 | 低楼层(共7层)  | 板塔结合,3人关注 / 7个月以前发布,39,"5,550元/平"
新上好房 大观天下三期大三室两卫精装修全天采光,中海大观天下三期 -市府东南,3室2厅 | 128平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,100.8,"7,875元/平"
雨有车位，精装修，客厅朝阳，带地下室，中间楼层,北大锦城 -潍坊学院,3室2厅 | 128.5平米 | 南 北 | 精装 | 高楼层(共21层)  | 板楼,0人关注 / 1个月以前发布,115,"8,950元/平"
中南星城 精装H户型3室 带车位 好楼层,中南世纪星城 -寿光市,3室2厅 | 131.36平米 | 南 北 | 精装 | 高楼层(共22层)  | 板塔结合,0人关注 / 2个月以前发布,99,"7,537元/平"
高新北歌尔近明德，精装微住，经典三室,恒信学府 -金三角,3室1厅 | 112.85平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,3人关注 / 3个月以前发布,79.8,"7,072元/平"
经典H户型，多层好楼层，出行方便 生活丰富,金色嘉园 -开发区管委会,3室2厅 | 134.16平米 | 南 北 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 6个月以前发布,78,"5,814元/平"
高新区东华近，北海路旁，歌尔佳乐家近,新富专家公寓 -东明学校,3室1厅 | 101平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,63.8,"6,317元/平"
恒信玫瑰公馆  智群近 多层三楼 精装修出税,恒信·玫瑰公馆 -奥体中心,3室2厅 | 98平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,72.8,"7,429元/平"
户型南北通透，两卧室南向，精装未住的三居房子,歌尔绿城桃园里 -高新实验,3室2厅 | 102.52平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,93.9,"9,160元/平"
歌尔开发青年改善社区 H户型三室绿城物业管理视野开阔,歌尔绿城桃园里 -高新实验,3室2厅 | 115.18平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,122,"10,593元/平"
金樱近，十甲市场近，精装修，动静分离户型！。,中海大观天下三期 -市府东南,3室2厅 | 102平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,89,"8,726元/平"
此房满二出税，南北通透格局，好楼层，精装修。,恒信伯爵公馆 -雷沃重工,3室1厅 | 91.53平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 6个月以前发布,68,"7,430元/平"
此房满二出税，南北通透格局，好楼层，精装修。,恒信伯爵公馆 -雷沃重工,3室1厅 | 91.53平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 6个月以前发布,68,"7,430元/平"
金樱近，十甲市场近，精装修，动静分离户型！。,中海大观天下三期 -市府东南,3室2厅 | 102平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,89,"8,726元/平"
高新北歌尔近明德，精装微住，经典三室,恒信学府 -金三角,3室1厅 | 112.85平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,3人关注 / 3个月以前发布,79.8,"7,072元/平"
铭海花园东区，大H户型带电梯，南北通透，楼层好。,铭海花园东区 -谷德广场,3室2厅 | 141平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板塔结合,3人关注 / 一年前发布,115,"8,157元/平"
户型南北通透，两卧室南向，精装未住的三居房子,歌尔绿城桃园里 -高新实验,3室2厅 | 102.52平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,93.9,"9,160元/平"
歌尔开发青年改善社区 H户型三室绿城物业管理视野开阔,歌尔绿城桃园里 -高新实验,3室2厅 | 115.18平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,122,"10,593元/平"
谷德商圈  东明旁  多层一楼  精装修H户型  拎包入住,艺景嘉园 -谷德广场,3室2厅 | 153.25平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,130,"8,483元/平"
德润开发虞河旁精装三室，婚房出售,德润兰庭 -新华路北,3室2厅 | 123平米 | 南 北 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,104,"8,456元/平"
房子房型方正，纯大h户型 两卧室客厅朝阳，看房方便,华安紫宸公馆 -新华路北,3室2厅 | 140.56平米 | 南 北 | 毛坯 | 高楼层(共22层)  | 板塔结合,0人关注 / 1个月以前发布,110,"7,826元/平"
盛世御景苑 3室1厅 南 北,盛世御景苑 -北苑实验,3室1厅 | 117平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 2个月以前发布,85,"7,265元/平"
市区繁华地段 精装好楼层大三室 带车位 采光充足,中南世纪城 -寿光市,3室2厅 | 140平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,109,"7,786元/平"
全新小区，自带下沉式广场，带免费车位，大H户型,博裕壹号 -开发区管委会,3室1厅 | 126.61平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 塔楼,0人关注 / 1个月以前发布,73,"5,766元/平"
智谷旁 162平 4室大平层  双阳台 采光好 店长力荐,高新城市广场 -智谷学校,4室2厅 | 162.32平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板楼,6人关注 / 4个月以前发布,128,"7,886元/平"
南北通透。大H户型，没有物业费，有免费停车位。,中国人寿干部家属院 -万达,3室2厅 | 112平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,9人关注 / 7个月以前发布,77,"6,875元/平"
枫丹壹号院 小高层三居 H户型 带地下室金马公学,枫丹壹号院 -市府东南,3室2厅 | 144平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,22人关注 / 10个月以前发布,130,"9,028元/平"
楼层很好，不挡光，带着精装修，拎包入住,中海大观天下三期 -市府东南,3室1厅 | 117.29平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,91.5,"7,802元/平"
此房精装修，没住过，带地下室，出税,双羊新城 -坊子佳乐家,3室1厅 | 94.53平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,65.8,"6,961元/平"
胜利街新华路 优选楼层 采光通风好 精装两室 满二,置地公馆 -新华中学,2室2厅 | 104平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,20人关注 / 一年前发布,81,"7,789元/平"
采光好，出行方便，小区配套设施完善,圣菲漫步三期 -福乐多,3室2厅 | 143.5平米 | 南 北 | 精装 | 低楼层(共27层)  | 板塔结合,2人关注 / 一年前发布,70,"4,879元/平"
万达北 精装三室 紫金花园 领包入住,紫金花园 -锦绣学校,3室2厅 | 104.09平米 | 南 北 | 精装 | 中楼层(共30层)  | 板塔结合,3人关注 / 2个月以前发布,75,"7,206元/平"
一楼带院，位置优越，交通便利。,农行宿舍 -泰华,2室2厅 | 78.9平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,19人关注 / 一年前发布,52,"6,591元/平"
市府东南 植物园 H户型 精装修采光好视野开阔,凯旋国际花园 -市府东南,3室1厅 | 145平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,7人关注 / 5个月以前发布,103,"7,104元/平"
福乐多近 生活配套齐全 电梯洋房中高楼层,泰华金泰名苑 -福乐多,2室2厅 | 102.55平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 1个月以前发布,57.6,"5,617元/平"
十甲近，瀚声旁，中间楼层，物业好,中南熙悦 -高新实验,3室2厅 | 133.79平米 | 南 北 | 毛坯 | 中楼层(共20层)  | 板楼,0人关注 / 一年前发布,136,"10,166元/平"
胜利街中央生活城 好物业精装出税拎包入住,中央生活城 -新华中学,3室2厅 | 147.47平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 6个月以前发布,155,"10,511元/平"
联排别墅一二层带院子精装修，南北通透无遮挡,东北关村 -十笏园,3室2厅 | 115.79平米 | 南 北 | 精装 | 低楼层(共2层)  | 暂无数据,11人关注 / 6个月以前发布,118.8,"10,260元/平"
市府南枫丹壹号院带车位带地下室看房方便,枫丹壹号院 -市府东南,3室2厅 | 144.4平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,147,"10,181元/平"
学府生活城  精装修未住 全年不挡光 带地下室,众成学府生活城 -东明学校,4室2厅 | 147平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,1人关注 / 3个月以前发布,138,"9,388元/平"
佳乐家近，三室2厅，全明户型，小区绿化，环境好,丹桂里 -新华路佳乐家,3室2厅 | 114.42平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,82.8,"7,237元/平"
人民近，新华日向，公路局单位房，多层3楼,交通局宿舍 -新华中学,3室2厅 | 102.8平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,2人关注 / 1个月以前发布,89,"8,658元/平"
电梯房9层，精装修，带车位出售，总价低，偏H户型,东金一号B区 -金融广场,3室2厅 | 133.75平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,118,"8,823元/平"
依山傍水！多层电梯洋房，H户型，精装未住！佳乐家近,奥园水榭春天 -坊子佳乐家,3室1厅 | 105平米 | 南 北 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,79.8,"7,600元/平"
