标题,开发商,房子信息,发布信息,售价/万,单价
泰达润景园北苑 2室2厅 南,泰达润景园北苑 -柳叶湖,2室2厅 | 99.5平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 2天以前发布,83.8,"8,423元/平"
大小河街，三一旁，万建精装三房，电梯好楼层拎包入住,万建紫庭 -三闾,3室1厅 | 87.76平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 31天以前发布,65.8,"7,498元/平"
桃花源府西区 3室1厅 南,桃花源府西区 -桥南,3室1厅 | 121平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,0人关注 / 22天以前发布,72,"5,951元/平"
地区医院 沅江畔 精装好户 配套设施全齐 拎包即可入住,沅江公馆 -地区医院,3室2厅 | 121平米 | 南 | 精装 | 低楼层(共15层)  | 板塔结合,0人关注 / 23天以前发布,86,"7,108元/平"
万达旁精装三房 楼层好 拎包入住 丁玲公园 白马湖公园,芙蓉盛世 -白马湖,3室2厅 | 106平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,1人关注 / 31天以前发布,79,"7,453元/平"
康桥 · 蓝湾 3室2厅 南,康桥 · 蓝湾 -白马湖,3室2厅 | 125.23平米 | 南 | 精装 | 低楼层(共23层)  | 塔楼,0人关注 / 22天以前发布,98.8,"7,890元/平"
桃花源府东区 4室2厅 南,桃花源府东区 -桥南,4室2厅 | 125.73平米 | 南 | 毛坯 | 中楼层(共30层)  | 暂无数据,0人关注 / 22天以前发布,72,"5,727元/平"
桃花源府东区 3室1厅 南,桃花源府东区 -桥南,3室1厅 | 120.8平米 | 南 | 毛坯 | 低楼层(共30层)  | 暂无数据,0人关注 / 22天以前发布,63.5,"5,257元/平"
保利中央公园二期 4室2厅 南 北,保利中央公园二期 -柳叶湖,4室2厅 | 141.6平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,113,"7,981元/平"
文理学院 精装三房 公摊面积小 拎包入住,恒润领域 -文理学院,3室2厅 | 94平米 | 东南 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 1个月以前发布,75,"7,979元/平"
锦华苑 4室2厅 南,锦华苑 -北站,4室2厅 | 165.96平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 23天以前发布,75,"4,520元/平"
德山新城 3室2厅 东南,德山新城 -德山,3室2厅 | 106平米 | 东南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 20天以前发布,65,"6,133元/平"
采光充足，交通方便，带地下停车场，精装拎包入住,桃花源府东区 -桥南,3室2厅 | 103平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 28天以前发布,67.8,"6,583元/平"
公园旁 三开间朝南  大学生居住过的房子,阳明湖畔 -桥南,3室2厅 | 104平米 | 南 | 精装 | 中楼层(共26层)  | 暂无数据,1人关注 / 30天以前发布,65.8,"6,327元/平"
滨江新城 3室2厅 南,滨江新城 -桥南,3室2厅 | 120.86平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 23天以前发布,59.8,"4,948元/平"
穿紫河全景，东方美景，电梯房。带平台买一层得两层,东方美景二期 -柳叶湖,3室2厅 | 137平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,1人关注 / 30天以前发布,88.8,"6,482元/平"
万达湖公馆A1区 3室2厅 南,万达湖公馆A1区 -白马湖,3室2厅 | 125平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 24天以前发布,140,"11,200元/平"
西城水恋 3室2厅 南,西城水恋 -文理学院,3室2厅 | 107.43平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 19天以前发布,62.8,"5,846元/平"
2房做到通透户型，出门就是芷兰，身价倍增的小区,华电新城 -芷兰,2室2厅 | 88.16平米 | 南 | 毛坯 | 低楼层(共27层)  | 板塔结合,0人关注 / 26天以前发布,70.5,"7,997元/平"
卫门口 步行街 步梯好楼层 购物方便,畔池花园 -步行街,3室2厅 | 128平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 26天以前发布,72,"5,625元/平"
火车站 水果市场 精装三室 带车位 诚心出售,星河城 -火车站,3室2厅 | 102平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 20天以前发布,85,"8,334元/平"
五强溪 2室2厅 南,五强溪 -五强溪,2室2厅 | 88.28平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 19天以前发布,42.8,"4,849元/平"
20万精装，基本全新，业主诚心出售，满二年，公摊少,恒润领域 -文理学院,3室2厅 | 93.6平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 31天以前发布,72,"7,693元/平"
火车站 欢乐城 电梯中层 才装修两年,柳荷鑫苑 -芷兰,3室2厅 | 146.8平米 | 南 | 其他 | 中楼层(共17层)  | 板塔结合,0人关注 / 29天以前发布,105,"7,153元/平"
万达湖公馆C区 2室2厅 南,万达湖公馆C区 -白马湖,2室2厅 | 99平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 16天以前发布,95.8,"9,677元/平"
顺沅南金城 3室2厅 南 北,顺沅南金城 -桥南,3室2厅 | 115平米 | 南 北 | 毛坯 | 高楼层(共20层)  | 暂无数据,0人关注 / 18天以前发布,63,"5,479元/平"
高山街 吉立小区 好位置 业主急卖 3楼好楼层,吉立小区 -高山街,3室2厅 | 128.14平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 18天以前发布,60,"4,683元/平"
龙湖，湘雅旁边，市民之家，实景现房,龙湖双珑原著 -火车站,3室2厅 | 129.94平米 | 南 北 | 其他 | 低楼层(共30层)  | 板塔结合,0人关注 / 18天以前发布,130,"10,005元/平"
广德花苑 3室2厅 南,广德花苑 -甘露寺,3室2厅 | 132.16平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 19天以前发布,98,"7,416元/平"
楠沙小区 2室2厅 南 北,楠沙小区 -三闾,2室2厅 | 85.49平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 20天以前发布,49.8,"5,826元/平"
城中 西园小区 永乐花园 吉星花园 步梯大三房 单价低,吉星花园 -宏大,3室2厅 | 141平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 29天以前发布,52,"3,688元/平"
三一翡翠湾 2室2厅 南,三一翡翠湾 -三闾,2室2厅 | 78.22平米 | 南 | 其他 | 高楼层(共27层)  | 板塔结合,1人关注 / 19天以前发布,65.8,"8,413元/平"
紫东苑 三一翡翠湾 大小河街 好润佳,紫东苑 -三闾,3室2厅 | 138平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,0人关注 / 18天以前发布,88,"6,377元/平"
满5年住房 格局好 有小区 有院子 停车方便,玫瑰苑 -三闾,3室2厅 | 110平米 | 南 | 简装 | 低楼层(共7层)  | 板塔结合,0人关注 / 24天以前发布,65,"5,910元/平"
龙湖，湘雅 ，市民之家，实景现房,龙湖双珑原著 -火车站,3室2厅 | 129平米 | 南 北 | 其他 | 低楼层(共30层)  | 板塔结合,0人关注 / 18天以前发布,108.8,"8,435元/平"
恒大华府，柳叶湖车站，星语林精装三房，通透采光好,星语林创客大街 -柳叶湖,3室2厅 | 101.5平米 | 南 北 | 精装 | 高楼层(共25层)  | 板塔结合,0人关注 / 28天以前发布,81.8,"8,060元/平"
市民之家，湘雅医院，财鑫广场，龙湖实景现房,龙湖双珑原著 -火车站,3室2厅 | 108平米 | 南 | 其他 | 低楼层(共30层)  | 板塔结合,0人关注 / 18天以前发布,80,"7,408元/平"
芷兰  恒大华府 紫竹苑3室2厅2卫出售,紫竹苑 -芷兰,3室2厅 | 130平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 27天以前发布,80,"6,154元/平"
三闾小区 3室2厅 南,三闾小区 -三闾,3室2厅 | 91.57平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 21天以前发布,48.8,"5,330元/平"
高山街 好位置 吉立小区  大三房 急急急,吉立小区 -高山街,3室2厅 | 128.14平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 18天以前发布,55,"4,293元/平"
城中　西园小区旁边，电梯毛胚三房，毛胚现房,城投新熙里 -宏大,3室2厅 | 125.49平米 | 南 | 毛坯 | 低楼层(共30层)  | 暂无数据,0人关注 / 21天以前发布,90,"7,172元/平"
育才学府 3室2厅 南,育才学府 -宏大,3室2厅 | 131.57平米 | 南 | 其他 | 高楼层(共24层)  | 暂无数据,0人关注 / 29天以前发布,98.6,"7,495元/平"
步行街   一中  卫门口  电梯中层四房,金地香榭 -步行街,4室2厅 | 170.92平米 | 南 | 精装 | 中楼层(共13层)  | 板塔结合,0人关注 / 22天以前发布,87,"5,091元/平"
江南城区 阳明湖 鼎卫豪苑毛坯大4房城诚意出售,房聚江南郡 -桥南,4室2厅 | 163平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 27天以前发布,71,"4,356元/平"
桥南市场 国龙  外运宿舍精装4房家具家电齐全拎包入住,外运宿舍 -桥南,4室2厅 | 169.34平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 17天以前发布,51.8,"3,059元/平"
带200平大露台，带独立车库，2楼,东方星城 -三闾,2室2厅 | 93平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 25天以前发布,69.2,"7,441元/平"
恒大御龙天峰 3室2厅 南,恒大御龙天峰 -火车站,3室2厅 | 112.02平米 | 南 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 18天以前发布,80.88,"7,221元/平"
城投蓉国新赋 3室2厅 南,城投蓉国新赋 -白马湖,3室2厅 | 123平米 | 南 | 其他 | 高楼层(共28层)  | 暂无数据,0人关注 / 17天以前发布,100,"8,131元/平"
此房南北朝向，格局好，视野采光充足,城投十里外滩 -桥南,3室2厅 | 113平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 17天以前发布,61.8,"5,470元/平"
祥泰·锦和苑 3室2厅 南,祥泰·锦和苑 -火车站,3室2厅 | 126平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 17天以前发布,90,"7,143元/平"
火车站欢乐城，泽云精装修三房，中间楼层采光好,泽云幸福里 -火车站,3室2厅 | 99平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,0人关注 / 16天以前发布,68.8,"6,950元/平"
万达商圈 电梯中层 业主诚意出售,芙蓉国际公馆 -白马湖,2室2厅 | 80平米 | 南 | 精装 | 高楼层(共15层)  | 板塔结合,0人关注 / 16天以前发布,67.9,"8,488元/平"
盛唐四月天 3室2厅 南,盛唐四月天 -地区医院,3室2厅 | 139.43平米 | 南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 14天以前发布,61.8,"4,433元/平"
恒大影城 华联 大小河街 德国小镇,星语林汀湘湖畔 -柳叶湖,3室2厅 | 93平米 | 南 北 | 其他 | 中楼层(共16层)  | 板塔结合,1人关注 / 18天以前发布,68,"7,312元/平"
龙湖双珑原著 4室2厅 南 北,龙湖双珑原著 -火车站,4室2厅 | 158平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 16天以前发布,160,"10,127元/平"
盛唐四月天 3室2厅 南,盛唐四月天 -地区医院,3室2厅 | 139.43平米 | 南 | 简装 | 中楼层(共30层)  | 板塔结合,0人关注 / 14天以前发布,61.1,"4,383元/平"
盛唐四月天 3室2厅 南,盛唐四月天 -地区医院,3室2厅 | 139.43平米 | 南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 14天以前发布,60.5,"4,340元/平"
柳叶湖车站  精装修  恒大华府 碧桂园！,七里桥堡 -柳叶湖,3室2厅 | 103.41平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 14天以前发布,69.8,"6,750元/平"
诚信·枫林逸景 3室2厅 南,诚信·枫林逸景 -白马湖,3室2厅 | 126平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 14天以前发布,85,"6,747元/平"
盛唐四月天 3室2厅 南,盛唐四月天 -地区医院,3室2厅 | 139.43平米 | 南 | 其他 | 中楼层(共30层)  | 板塔结合,0人关注 / 14天以前发布,60.5,"4,340元/平"
火车站 高铁站 湘雅医院 高峰安置小区3房2厅2卫出售,高峰安置小区 -火车站,3室2厅 | 124.51平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 17天以前发布,58,"4,659元/平"
盛唐四月天 3室2厅 南,盛唐四月天 -地区医院,3室2厅 | 139.43平米 | 南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 14天以前发布,61.1,"4,383元/平"
盛唐四月天 3室2厅 南,盛唐四月天 -地区医院,3室2厅 | 139.43平米 | 南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 14天以前发布,61.1,"4,383元/平"
盛唐四月天 3室2厅 南,盛唐四月天 -地区医院,3室2厅 | 139.43平米 | 南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 14天以前发布,61.1,"4,383元/平"
致远·乐路口 3室1厅 南,致远·乐路口 -三岔路,3室1厅 | 133平米 | 南 | 其他 | 高楼层(共24层)  | 板楼,0人关注 / 13天以前发布,73.5,"5,527元/平"
荷塘月色 3室2厅 南,荷塘月色 -火车站,3室2厅 | 110平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 13天以前发布,65,"5,910元/平"
东方美景二期 3室2厅 南 北,东方美景二期 -柳叶湖,3室2厅 | 143平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 18天以前发布,90,"6,294元/平"
大小河街旁边  中间楼层  拎包入住,紫桥二区桃园 -紫桥,3室2厅 | 127平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 14天以前发布,76.8,"6,048元/平"
紫薇佳园二期 3室2厅 南,紫薇佳园二期 -桥南,3室2厅 | 127.8平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 16天以前发布,66.8,"5,227元/平"
不动产证不满两年，红本在手，单价实惠，交易简单快捷,天润·汇景公园 -三闾,3室2厅 | 79平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 12天以前发布,62,"7,849元/平"
三一翡翠湾 3室2厅 南 北,三一翡翠湾 -三闾,3室2厅 | 91.11平米 | 南 北 | 其他 | 高楼层(共27层)  | 板塔结合,0人关注 / 13天以前发布,80,"8,781元/平"
盛唐四月天 3室2厅 南,盛唐四月天 -地区医院,3室2厅 | 139.43平米 | 南 | 其他 | 中楼层(共30层)  | 板塔结合,0人关注 / 14天以前发布,60.5,"4,340元/平"
盛唐四月天 3室2厅 南,盛唐四月天 -地区医院,3室2厅 | 139.43平米 | 南 | 其他 | 中楼层(共30层)  | 板塔结合,0人关注 / 14天以前发布,60.5,"4,340元/平"
"城投十里外滩4-1-1-2,139.78平售价95 万",城投十里外滩 -桥南,4室1厅 | 139.78平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 11天以前发布,95,"6,797元/平"
德泰花园 4室2厅 南,德泰花园 -三闾,4室2厅 | 171.93平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,85.8,"4,991元/平"
恒大华府 园林大师杰作 美丽的人工湖景,常德恒大华府 -芷兰,3室2厅 | 139平米 | 南 | 其他 | 中楼层(共29层)  | 板塔结合,1人关注 / 一年前发布,140,"10,072元/平"
房子满2年，坐北朝南，电梯房，双阳台，采光好，通透,怡景福園 -火车站,4室2厅 | 154平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,120,"7,793元/平"
My Dream House主席的赞美  城市之花,泓鑫▪城市花园 -北站,4室2厅 | 181.6平米 | 南 | 其他 | 高楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,123,"6,774元/平"
常德市鼎城区农业局宿舍 4室2厅 南,常德市鼎城区农业局宿舍 -芷兰,4室2厅 | 150平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,100,"6,667元/平"
城西文理学院里仁居毛坯通透大三房,里仁居小区 -文理学院,3室2厅 | 125.06平米 | 南 | 其他 | 低楼层(共32层)  | 板楼,14人关注 / 一年前发布,80,"6,397元/平"
柳叶大道邮政单位房正规大三房出售,邮政新村 -鸿升,3室2厅 | 160平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,100,"6,250元/平"
柳叶湖   国企品质 保利物业 全明格局,保利中央公园 -柳叶湖,4室2厅 | 124平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,0人关注 / 7个月以前发布,105,"8,468元/平"
文理学院  里仁居 次新小区 人车分流 业主诚心出售,里仁居小区 -文理学院,4室2厅 | 145.79平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 10个月以前发布,92,"6,311元/平"
湘雅医院，市民之家，新高铁站，长沙郡德学院。,龙湖双珑原著 -火车站,4室2厅 | 143平米 | 南 北 | 其他 | 中楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,120,"8,392元/平"
湖消防支队宿舍 4室2厅 南 北,湖消防支队宿舍 -滨湖公园,4室2厅 | 150.16平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,79.8,"5,315元/平"
文理学院 毛坯四房 白马湖公园,里仁居小区 -文理学院,4室2厅 | 145.93平米 | 南 | 其他 | 高楼层(共30层)  | 板塔结合,3人关注 / 一年前发布,90,"6,168元/平"
火车站版块，精装修交付，户型周正，采光充足,恒大御龙天峰 -火车站,4室2厅 | 135.86平米 | 南 | 精装 | 高楼层(共8层)  | 板塔结合,0人关注 / 2个月以前发布,145,"10,673元/平"
柳叶湖 保利中 央公园 户型周正采光好 诚心卖,保利中央公园 -柳叶湖,3室2厅 | 118平米 | 东南 | 其他 | 中楼层(共34层)  | 板塔结合,2人关注 / 一年前发布,95,"8,051元/平"
屈原公园，毛坯三房，一线江景.,中建滨江府 -五强溪,4室2厅 | 140.18平米 | 南 北 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,118,"8,418元/平"
柳叶湖 保利中 央公园 户型周正采光好 诚心卖,保利中央公园 -柳叶湖,4室2厅 | 124平米 | 南 | 其他 | 低楼层(共34层)  | 板塔结合,2人关注 / 一年前发布,93,"7,500元/平"
房龄新，环境好，户型佳，双阳台设计,桃花源府东区 -桥南,4室2厅 | 145平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,85,"5,863元/平"
金沅丽景  芷兰 大小河街  德国小镇,金沅丽景 -芷兰,4室2厅 | 156.39平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,90,"5,755元/平"
此房满五唯一，电梯毛坯房 业主诚心出售。。。,博大·江山如画一期 -桥南,4室2厅 | 131平米 | 南 | 其他 | 低楼层(共17层)  | 板塔结合,5人关注 / 一年前发布,69.5,"5,306元/平"
阳明湖畔，过江隧道，紫御豪庭小区,紫御豪庭 -桥南,4室2厅 | 142平米 | 南 | 其他 | 中楼层(共31层)  | 板塔结合,1人关注 / 一年前发布,86.8,"6,113元/平"
