标题,开发商,房子信息,发布信息,售价/万,单价
石桥区樊华精装修，拎包入住，户型通透，采光好,樊华似锦二期 -高新,2室1厅 | 81.07平米 | 东 | 精装 | 低楼层(共23层)  | 塔楼,0人关注 / 6天以前发布,78,"9,622元/平"
高水 长虹世纪城旁边 长虹五区 精装修三室 拎包入住,长虹五区 -高水,3室1厅 | 77平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 5天以前发布,59.8,"7,767元/平"
满五年。3室2厅2卫1阳台、方正实用且厅朝南大,明月小区 -江油,3室2厅 | 112.98平米 | 南 北 | 精装 | 低楼层(共7层)  | 平房,0人关注 / 5天以前发布,45,"3,984元/平"
胜利街旁地震后电梯四楼大三房出售,涪江路西四巷22号 -江油,3室2厅 | 120平米 | 东 东南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 3天以前发布,65,"5,417元/平"
满五年。3室2厅2卫1阳台、方正实用且厅朝南大,明月小区 -江油,3室2厅 | 129平米 | 东南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 7天以前发布,53,"4,109元/平"
出门明月岛公园，别野小区，精装中间楼层，带暖气片,水岸花都(江油市) -江油,3室2厅 | 133.39平米 | 东南 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 2天以前发布,56,"4,199元/平"
樊华似锦一期精装套三双卫，业主急售,樊华似锦一期 -高新,3室1厅 | 106平米 | 南 北 | 精装 | 低楼层(共22层)  | 板塔结合,0人关注 / 6天以前发布,93,"8,774元/平"
田森·奥林春天二期 3室1厅 西,田森·奥林春天二期 -科创园区,3室1厅 | 121平米 | 西 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 刚刚发布,132,"10,910元/平"
石桥铺一楼上跃，带花园，精装修，随时可以看,钰浦花園 -高新,5室2厅 | 227.12平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 15天以前发布,186,"8,190元/平"
离外国语。教育园区近房东急售卢卡美郡装修新色,富临·卢卡美郡 -科创园区,3室1厅 | 123.66平米 | 东南 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 5天以前发布,139,"11,241元/平"
人工湖旁 顶跃户型 双阳台 出门就是公园,倍特景苑A区 -科创园区,3室2厅 | 159平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,140,"8,806元/平"
高新区涪城万达石桥铺此房源，欢迎带看。,远大·美域 -高新,4室3厅 | 269.13平米 | 南 | 简装 | 4层  | 板塔结合 | 联排别墅 ,2人关注 / 一年前发布,600,"22,295元/平"
朝南临江玻璃大门四间打通的大面积比较好租,万达SOHO -火车站,1室0厅 | 218.49平米 | 南 | 精装 | 中楼层(共22层)  | 板楼,0人关注 / 8个月以前发布,155,"7,095元/平"
园艺山 人工湖旁 长兴星城 精装顶跃 带平台花园,长兴星城一期 -科创园区,4室2厅 | 100.86平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,11人关注 / 一年前发布,175,"17,351元/平"
南河广场旁大户型 中间楼层 4室2厅 可拎包入住出售,绵阳市审计局 -涪城,4室2厅 | 163.8平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,145,"8,853元/平"
此房满2年税费低户型方正采光好,美立方 -高新,4室2厅 | 122.11平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,133.9,"10,966元/平"
证件齐全，户型方正，交通便利，采光充足，配套齐全,景福花园 -富乐山,4室3厅 | 184.23平米 | 东南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,112,"6,080元/平"
沈家坝框架结构跃层带库房存和车库,瑞兴小区 -富乐山,5室2厅 | 254.1平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,3人关注 / 7个月以前发布,165,"6,494元/平"
连排别墅，前后花园，双露台，私家车库,长虹研发中心别墅区 -游仙,5室3厅 | 248.15平米 | 东北 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 8个月以前发布,200,"8,060元/平"
急售：湖景联排别墅，带前后大花园大露台,长虹研发中心别墅区 -游仙,6室3厅 | 344.84平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,2人关注 / 7个月以前发布,279.8,"8,114元/平"
大套四地理位置好交通便利陪读购物都可以,红星街44号 -涪城,4室3厅 | 159.6平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,139,"8,710元/平"
卢卡美郡精装修四跃五，带电梯，带露台，可拎包入住,富临·卢卡美郡 -科创园区,4室2厅 | 227.89平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,9人关注 / 8个月以前发布,260,"11,410元/平"
顶跃带大露台，一线江景房，视野开阔.,桂丰御景 -丰谷,7室3厅 | 178.45平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,17人关注 / 8个月以前发布,68,"3,811元/平"
绵阳市仙海风景区长虹独栋临湖别墅,长虹研发中心别墅区 -游仙,7室6厅 | 526.4平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,8人关注 / 一年前发布,540,"10,259元/平"
置换卢卡美郡近入口处端头位置1楼带大花园3百平精装修,富临·卢卡美郡 -科创园区,4室2厅 | 168平米 | 南 | 精装 | 低楼层(共5层)  | 板塔结合,13人关注 / 11个月以前发布,285,"16,965元/平"
格局好通透，带大花园，上下三层带车库，全明户型,龙溪汉帝顿 -青义,5室3厅 | 234.57平米 | 东南 | 毛坯 | 低楼层(共3层)  | 塔楼,19人关注 / 一年前发布,249,"10,616元/平"
优质独栋别墅 适合一家人居住 带前后花园,聚贤山庄 -科创园区,8室2厅 | 370平米 | 南 | 毛坯 | 低楼层(共3层)  | 板楼,2人关注 / 一年前发布,680,"18,379元/平"
卢卡美郡大四室精装，大平台直接入住,富临·卢卡美郡 -科创园区,4室2厅 | 164平米 | 西南 | 精装 | 中楼层(共5层)  | 板塔结合,22人关注 / 一年前发布,185,"11,281元/平"
豪 华装修   南北通透   带地暖和中 央空调  拎包入住,优山美郡 -科创园区,5室3厅 | 218.89平米 | 南 北 | 精装 | 7层  | 板塔结合,21人关注 / 一年前发布,456,"20,833元/平"
精装修，房间通透宽敞，明厨明卫，房间多,亚川水岸枫景 -丰谷,4室2厅 | 148.3平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,1人关注 / 8个月以前发布,58,"3,911元/平"
2跃3精装带花园露台健身房拎包入住,优山美郡 -科创园区,5室3厅 | 174.18平米 | 东南 | 精装 | 地下室(共7层)  | 板塔结合,8人关注 / 一年前发布,282,"16,191元/平"
园艺山人工湖旁银都领地叠拼别墅，精装五房带双露台！,银都领地西区 -科创园区,5室2厅 | 197平米 | 南 | 精装 | 下叠(共5层)  | 板塔结合 | 叠拼别墅 ,11人关注 / 11个月以前发布,225,"11,422元/平"
绵阳先锋路两室两厅，楼层不高。随时看房,市政公司家属区(先锋路) -国际城,2室2厅 | 69.6平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,47,"6,753元/平"
房子是三连跃 视野很好 临江  带大露台屋顶花园,小岛花园城·尚岛国际 -科学城,5室3厅 | 263.2平米 | 东南 | 精装 | 高楼层(共16层)  | 板塔结合,0人关注 / 1个月以前发布,318,"12,083元/平"
富临花园一楼大四室 使用面积大，看房方便,富临花园 -涪城,4室2厅 | 150平米 | 东南 | 简装 | 低楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,106,"7,067元/平"
高铁站，中间楼层，长实，精装，拎包入住，可按揭,蟠龙小区 -江油,4室2厅 | 113.31平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,12人关注 / 一年前发布,28.8,"2,542元/平"
正临江房，精装房，带车位一起出售哈。价格实惠。,龙汇花园 -南河坝,4室2厅 | 187.27平米 | 东南 | 精装 | 中楼层(共25层)  | 板塔结合,9人关注 / 一年前发布,249,"13,297元/平"
小区环境安静   户型方正  布局合理,虹色景苑 -科创园区,5室2厅 | 192平米 | 东南 | 精装 | 高楼层(共7层)  | 板塔结合,14人关注 / 一年前发布,98,"5,105元/平"
多层楼房，户型方正，中间楼层，明厨明卫，生活便利。,会临巷四号院 -大都会,4室2厅 | 140.38平米 | 东南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,97,"6,910元/平"
临实小 精装200万+空调地暖+屋顶花园,爱喜·嘉年华 -涪城,4室3厅 | 243.88平米 | 南 | 精装 | 高楼层(共23层)  | 塔楼,0人关注 / 1个月以前发布,243,"9,964元/平"
可看江，可观铁牛广场，下楼就可以跳广场舞，,勇拓洋楼二期 -铁牛广场,5室3厅 | 235平米 | 东南 | 精装 | 低楼层(共15层)  | 塔楼,26人关注 / 一年前发布,183.5,"7,809元/平"
南河坝 体育馆旁 安江名园    三连跃,安江名园 -涪城,7室3厅 | 272.84平米 | 西南 | 精装 | 高楼层(共25层)  | 塔楼,15人关注 / 10个月以前发布,339,"12,425元/平"
位置佳，楼间距开阔，户型方正，证满两年，看房方便。,阳光清华C区 -科创园区,4室3厅 | 137.19平米 | 西北 | 精装 | 低楼层(共6层)  | 板塔结合,14人关注 / 一年前发布,130,"9,476元/平"
地段好，中间楼层，户型方正，通透格局。,文昌街6号院 -涪城,3室2厅 | 106.09平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 24天以前发布,72,"6,787元/平"
电梯！3室2卫精装修拎包入住证满,神州时代名城 -科创园区,3室2厅 | 95.54平米 | 东 西 | 其他 | 低楼层(共7层)  | 塔楼,1人关注 / 1个月以前发布,76,"7,955元/平"
时代名城黄 jin 楼层标准三室两厅一厨两卫拎包入住,神舟·时代名城 -科创园区,3室2厅 | 100.46平米 | 东北 | 其他 | 中楼层(共6层)  | 塔楼,0人关注 / 28天以前发布,67.5,"6,720元/平"
精装修，满两年，楼层好，业主诚意出售,三江国际丽城▪澜岸 -经开区,3室2厅 | 118.91平米 | 东南 | 其他 | 高楼层(共21层)  | 塔楼,0人关注 / 17天以前发布,120,"10,092元/平"
海润广场正3房，精装满2诚售！,中玮海润广场 -经开区,3室2厅 | 89平米 | 西南 东北 | 其他 | 高楼层(共29层)  | 塔楼,0人关注 / 21天以前发布,89.8,"10,090元/平"
4楼高新区布鲁斯国际旁三室两卫精装修楼层拎包入住,全鑫公寓 -高新,3室2厅 | 113.54平米 | 南 | 其他 | 高楼层(共4层)  | 暂无数据,0人关注 / 27天以前发布,77,"6,782元/平"
东原长岛  精装修几乎全新  高楼层采光好 拎包入住,东原长岛 -越王楼,3室2厅 | 85.55平米 | 西南 | 其他 | 高楼层(共22层)  | 板塔结合,0人关注 / 20天以前发布,99,"11,573元/平"
此房满2年，交通便利，视野好，户型方正,荣盛小区 -南河坝,5室3厅 | 156.09平米 | 东 东南 | 其他 | 高楼层(共8层)  | 板楼,0人关注 / 17天以前发布,165,"10,571元/平"
903旁精装大三室河景房，一梯两户电梯小高层出售,昌明怡景 -江油,3室2厅 | 147.6平米 | 南 北 | 其他 | 中楼层(共11层)  | 塔楼,0人关注 / 26天以前发布,72,"4,879元/平"
溪山美郡 顶跃 洋房  户型好 采光通透,溪山美郡 -江油,5室2厅 | 195.57平米 | 东南 | 其他 | 高楼层(共4层)  | 板塔结合,0人关注 / 31天以前发布,155,"7,926元/平"
此房满两年，户型方正，朝向好，通风采光可以,涪城区高等级公路管理处.长虹大道北段51号 -高水,2室1厅 | 89.63平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,51,"5,691元/平"
小区实惠的低楼层装修房，带密码锁,双江路460号 -江油,2室1厅 | 45.22平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,12,"2,654元/平"
电梯中间楼层 朝南临江 户型方正 精装修  满两年,枫璟398F区 -高新,2室2厅 | 83.92平米 | 西南 | 精装 | 中楼层(共27层)  | 塔楼,0人关注 / 1个月以前发布,71,"8,461元/平"
高水虹高市场，步梯6楼，朝南户型方正， 可拎包入住。,虹高小区 -高水,2室1厅 | 90.02平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 30天以前发布,39,"4,333元/平"
新华集团公司 2室2厅 北,新华集团公司 -涪城,2室2厅 | 92.03平米 | 北 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,58,"6,303元/平"
西科大老校区热闹街精装两室出售拎包入住看房方便,兴龙街32号 -青义,2室2厅 | 77.32平米 | 东 西 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 27天以前发布,36,"4,656元/平"
富临 实 小旁 精装两室 拎包入住 楼层好 配套齐全,神州*南都 -经开区,2室2厅 | 77.73平米 | 东南 | 精装 | 低楼层(共22层)  | 塔楼,0人关注 / 30天以前发布,73,"9,392元/平"
枫景398A区拎包入住小套三，,枫璟•398A区 -高新,3室2厅 | 80.96平米 | 东南 | 简装 | 低楼层(共26层)  | 板楼,0人关注 / 18天以前发布,75,"9,264元/平"
火炬实小近 居家装修2室 户型方正 采光好 楼层好,3536 -高新,2室2厅 | 81.74平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 22天以前发布,48.8,"5,971元/平"
真正的拎包入住，优质房！！！！！！,银座家园 -江油,2室2厅 | 89.33平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 27天以前发布,38.7,"4,333元/平"
宝龙旁精装两室带屋顶花园出售、、、,上海广场·名仕新苑 -江油,2室1厅 | 75.01平米 | 东南 南 | 其他 | 高楼层(共26层)  | 板塔结合,0人关注 / 25天以前发布,47.5,"6,333元/平"
成绵路，步梯三楼，简装大两室，采光通透。,成绵路二号小区 -大都会,2室1厅 | 83.47平米 | 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 19天以前发布,66,"7,908元/平"
国际城一期跃层，双面采光，户型方正，采光好.,长虹国际城一期 -国际城,1室1厅 | 93.82平米 | 西南 | 其他 | 中楼层(共15层)  | 板塔结合,0人关注 / 11天以前发布,88,"9,380元/平"
半山蓝湾房东诚心出售看房方便有钥匙,半山蓝湾 -科创园区,9室3厅 | 300平米 | 东南 | 其他 | 3层  | 板塔结合 | 双拼别墅 ,6人关注 / 10个月以前发布,415,"13,834元/平"
领地天屿 清水四室 户型方正 中间楼层视野开阔,领地﹒天屿 -经开区,4室2厅 | 133平米 | 东南 | 毛坯 | 中楼层(共23层)  | 板塔结合,0人关注 / 1个月以前发布,138,"10,376元/平"
万达三期横厅好房  采光好  楼下就是公园,万达天澜 -经开区,3室2厅 | 110平米 | 南 西南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 31天以前发布,102,"9,273元/平"
小区环境优美，楼间距宽，通透户型，中间楼层,世茂云锦 -科创园区,4室2厅 | 117平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,116,"9,915元/平"
三汇玫瑰花城   毛坯三居室     楼层好  格局也好,三汇玫瑰花城 -经开区,3室2厅 | 79平米 | 东南 | 毛坯 | 高楼层(共28层)  | 塔楼,0人关注 / 30天以前发布,88,"11,140元/平"
三汇玫瑰花城   毛坯三居室     楼层好  格局也好,三汇玫瑰花城 -经开区,3室2厅 | 79平米 | 东南 | 毛坯 | 高楼层(共28层)  | 塔楼,0人关注 / 30天以前发布,88,"11,140元/平"
房东急售体育公园旁正临江三室双卫，涪江公园尽收眼底,万达天澜 -经开区,3室2厅 | 110平米 | 东南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,120,"10,910元/平"
大套三，户型方正，业主诚心出售此房！,神州*南都 -经开区,3室2厅 | 109.93平米 | 东南 | 毛坯 | 高楼层(共27层)  | 板塔结合,0人关注 / 29天以前发布,98.8,"8,988元/平"
东辰旁 标准套三 带露台 诚意出售,阳光清华C区 -科创园区,3室2厅 | 112平米 | 东南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 25天以前发布,100,"8,929元/平"
橡树郡清水大三室两厅一厨两卫.,长虹橡树郡 -经开区,3室1厅 | 106.56平米 | 西南 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,80,"7,508元/平"
国际城商圈精装三房楼层好户型方正,剑南路西段68号院 -国际城,3室3厅 | 108平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 30天以前发布,76,"7,038元/平"
恒大品质楼盘，清水三房，户型方正，居家舒适,恒大翡翠湾 -经开区,3室2厅 | 109.4平米 | 南 | 毛坯 | 低楼层(共20层)  | 板塔结合,0人关注 / 24天以前发布,95,"8,684元/平"
经开万达优质清水三室 港式横厅临江房,万达天澜 -经开区,3室2厅 | 109平米 | 东 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 23天以前发布,98,"8,991元/平"
房子买一层楼上还有一层，6跃7的。7楼带平台,溢阳商住楼 -火车站,2室2厅 | 98平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,3人关注 / 1个月以前发布,46.8,"4,776元/平"
绵州水郡精装三室      户型方正,绵州水郡三期 -芙蓉,3室2厅 | 122平米 | 东南 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 1个月以前发布,139.8,"11,460元/平"
东湖1号，已满两年，清水中高楼层,凯越东湖1号 -芙蓉,3室2厅 | 107平米 | 东南 | 毛坯 | 高楼层(共16层)  | 平房,0人关注 / 22天以前发布,77.8,"7,272元/平"
中泱大道五期，南北朝向，看小区中庭。,中泱大道5期天誉 -江油,3室2厅 | 137平米 | 东南 | 毛坯 | 低楼层(共30层)  | 暂无数据,0人关注 / 21天以前发布,83,"6,059元/平"
