标题,开发商,房子信息,发布信息,售价/万,单价
好房推荐盛世雲景153平仅售90万,盛世雲景 -卫东区,4室2厅 | 153.36平米 | 东 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 25天以前发布,90,"5,869元/平"
户型方正 楼层适中 视野开阔  优质,常绿·林溪美地 -新华区,3室2厅 | 123平米 | 东 | 毛坯 | 高楼层(共29层)  | 暂无数据,0人关注 / 6个月以前发布,79,"6,423元/平"
精装三房 拎包住 产权清晰  随时能签约,常绿·大阅城 -新华区,3室2厅 | 125平米 | 西 | 精装 | 高楼层(共29层)  | 暂无数据,0人关注 / 2个月以前发布,86,"6,880元/平"
开源路步行街7.1世界三室毛坯诚心出售,鹰城7.1大厦 -卫东区,3室2厅 | 141.5平米 | 东南 | 毛坯 | 高楼层(共30层)  | 暂无数据,8人关注 / 一年前发布,66,"4,665元/平"
此房有证满二年，户型好，采光好，位置好生活交通便利,常绿·林溪美地 -新华区,3室2厅 | 125平米 | 西南 西 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 一年前发布,77,"6,160元/平"
桂圆毛坯东户  户型方正 东户 储藏室另算,建业桂园 -新华区,3室2厅 | 124平米 | 东 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,77,"6,210元/平"
凌云路九九绿墅园小区二期5+6+7,九九绿墅園 -新华区,4室2厅 | 160平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,6人关注 / 11个月以前发布,105,"6,563元/平"
沁园小区西路119平二楼三卧室朝南，大客厅,沁园西路11号 -湛河区,3室2厅 | 119平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,1人关注 / 11个月以前发布,61.9,"5,202元/平"
一楼毛坯房.有证可贷款.有钥匙.带储藏室.110万,湖光·凤舞园 -新华区,3室2厅 | 139平米 | 西 | 毛坯 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,98,"7,051元/平"
金玉花园 小高层复式 253平 5室 一线湖景 采光好,金玉花园 -新华区,6室2厅 | 253平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,158,"6,246元/平"
自主小公寓 后期可自改 诚意出售,常绿·林溪美地 -新华区,2室2厅 | 91平米 | 北 | 毛坯 | 低楼层(共29层)  | 暂无数据,0人关注 / 7个月以前发布,56,"6,154元/平"
银基御府三期～129平大三房～通阳台～位置好,银基誉府名铸 -湛河区,3室2厅 | 129平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,95,"7,365元/平"
京华金域蓝湾毛坯房，地段良好，采光良好,京华金域蓝湾 -湛河区,3室2厅 | 128平米 | 南 | 毛坯 | 中楼层(共29层)  | 平房,1人关注 / 7个月以前发布,98,"7,657元/平"
大悦城前排，大三室，采光不挡，采光充足，随时看房；,常绿·大阅城 -新华区,3室2厅 | 122平米 | 南 北 | 毛坯 | 低楼层(共21层)  | 板塔结合,0人关注 / 1个月以前发布,70,"5,738元/平"
小区前排位置，一楼带院子，带地下车位，买一层加一层,常绿林溪天悦 -新华区,4室2厅 | 137.7平米 | 西 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,230,"16,703元/平"
楼层好，采光好，随意装修，蓝湾新城南北通透三室,蓝湾新城 -新华区,3室2厅 | 142平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 暂无数据,2人关注 / 一年前发布,93,"6,550元/平"
林溪美地3室现房，全天采光充足得楼顶花园！,常绿·林溪美地 -新华区,3室2厅 | 118平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,3人关注 / 一年前发布,62,"5,255元/平"
出售中梁壹号院三室两厅一卫前后无遮挡高层视野好,中梁壹号院 -新华区,3室2厅 | 110平米 | 南 北 | 简装 | 中楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,77,"7,000元/平"
蓝湾翠园，毛坯现房，南北通风，看房湖，有钥匙,蓝湾翠园 -新华区,3室2厅 | 125平米 | 东 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,92,"7,360元/平"
开源路 丹尼斯旁   4室 4楼总高7层  有证 单价4800多,华侨公司家属院 -卫东区,4室2厅 | 132平米 | 南 西 | 简装 | 中楼层(共7层)  | 暂无数据,3人关注 / 8个月以前发布,63.5,"4,811元/平"
离湖一路之隔！湛景苑东户采光好，看房有钥匙,湛景苑 -新华区,3室2厅 | 142平米 | 南 | 简装 | 中楼层(共25层)  | 暂无数据,0人关注 / 7个月以前发布,110,"7,747元/平"
急售急售新华路带平台大乘领仕馆119平三室,大乘领仕馆 -湛河区,3室2厅 | 119平米 | 南 | 毛坯 | 低楼层(共22层)  | 暂无数据,0人关注 / 6个月以前发布,59.5,"5,000元/平"
中梁好户型大3室，视野开阔无遮挡，环境好！,中梁壹号院 -新华区,3室2厅 | 122平米 | 东 | 毛坯 | 中楼层(共33层)  | 塔楼,3人关注 / 一年前发布,78.5,"6,435元/平"
出售中梁壹号院三室两厅一卫前后无遮挡高层视野好,中梁壹号院 -新华区,3室2厅 | 112.52平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,76,"6,755元/平"
新城区临湖前排，大唐一品澜山湖景房，4室观景4符画,大唐一品澜山 -新华区,4室2厅 | 154平米 | 西北 | 毛坯 | 中楼层(共26层)  | 板塔结合,6人关注 / 11个月以前发布,115,"7,468元/平"
瑞府湖景房  南北通透 三室 带车位  更名随时看,荣邦瑞府 -新华区,3室2厅 | 145.18平米 | 南 北 | 毛坯 | 中楼层(共22层)  | 暂无数据,0人关注 / 3个月以前发布,118,"8,128元/平"
新城区精装三室，户型方正，好楼层，诚心出售,常绿·林溪美地 -新华区,3室1厅 | 118平米 | 南 北 | 精装 | 中楼层(共30层)  | 暂无数据,0人关注 / 8个月以前发布,82,"6,950元/平"
楼层好，南北双阳台，采光充足，视野开阔，诚心出售,林溪美境 -新华区,3室2厅 | 123.56平米 | 东 东北 | 毛坯 | 中楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,83,"6,718元/平"
建业十八城 毛坯顶层复式 户型合理 南北通透 采光好,建业十八城 -新华区,5室3厅 | 238平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,185,"7,774元/平"
湖景复式，前后露台，0375四室三厅简装复式，随时看房,0375·首府 -新华区,4室2厅 | 190平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,2人关注 / 7个月以前发布,135,"7,106元/平"
业主急售：翠林蓝湾140平，三室两厅两卫精装拎包住,翠林蓝湾A区 -新华区,3室2厅 | 139.98平米 | 南 西 北 | 精装 | 高楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,84,"6,001元/平"
如果错过这套大三房，还会有下一套吗？,公积金家属院 -新华区,3室2厅 | 150平米 | 西南 | 毛坯 | 中楼层(共11层)  | 暂无数据,11人关注 / 一年前发布,65,"4,334元/平"
嘉荷天城 3室2厅 南,嘉荷天城 -湛河区,3室2厅 | 140.1平米 | 南 | 精装 | 高楼层(共24层)  | 暂无数据,0人关注 / 2个月以前发布,82,"5,853元/平"
开源路 丹尼斯旁   4室 4楼总高7层  有证 单价4800多,华侨公司家属院 -卫东区,4室2厅 | 132平米 | 南 西 | 简装 | 中楼层(共7层)  | 暂无数据,3人关注 / 8个月以前发布,63.5,"4,811元/平"
交通便利 小区环境干净舒适 适合居住,平顶山恒大珺睿府 -湛河区,3室2厅 | 99.74平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 2个月以前发布,78,"7,821元/平"
桃花源精装6加7复式，带前后露台,桃花源小区 -湛河区,4室2厅 | 92平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 5个月以前发布,66,"7,174元/平"
金华苑 三楼 四室两厅两卫带家具家电出售！,金华苑 -卫东区,4室2厅 | 162平米 | 东 南 西 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,98,"6,050元/平"
九龙广场126平3室2厅2卫，毛坯有证满2连廊设计,九龙广场 -湛河区,3室2厅 | 126平米 | 东南 | 毛坯 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,73.5,"5,834元/平"
蓝欣家园，电梯房中间楼层，三室两厅两卫有证可按揭。,蓝欣家园 -湛河区,3室1厅 | 89平米 | 东北 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,37,"4,158元/平"
瑞鑫苑 精装修大三室 空房 全屋壁布 有证满二,瑞鑫苑 -湛河区,3室2厅 | 108平米 | 西北 | 精装 | 高楼层(共31层)  | 暂无数据,4人关注 / 11个月以前发布,63,"5,834元/平"
倾城小区 108平 3-2-1-1 简单装修 拎包入住,倾城小区 -湛河区,3室2厅 | 108平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,72,"6,667元/平"
恒大珺睿府125平3室两厅两卫,平顶山恒大珺睿府 -湛河区,3室2厅 | 123.48平米 | 东 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,96,"7,775元/平"
银基御府三期～129平大三房～通阳台,银基誉府名铸 -湛河区,3室2厅 | 129平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,86,"6,667元/平"
凤凰花园三室两厅 交通便利 环境干净舒适 适合居住,凤凰花园A03春华苑 -新华区,3室2厅 | 120平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 一年前发布,94,"7,834元/平"
新城区湖景房，一品澜山精装三室，南北双阳台,大唐一品澜山 -新华区,3室2厅 | 142平米 | 西南 西 | 精装 | 高楼层(共26层)  | 板塔结合,2人关注 / 6个月以前发布,98,"6,902元/平"
银基誉府西户大三室双阳台视野好,银基誉府 -湛河区,3室2厅 | 131平米 | 西 | 毛坯 | 中楼层(共33层)  | 暂无数据,7人关注 / 一年前发布,97,"7,405元/平"
此房位于姚电大道西段：恒大名都小区，环境优美。,平顶山恒大名都 -湛河区,3室2厅 | 137平米 | 南 北 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,108,"7,884元/平"
常绿九天庄园高层130平四室，精装修，诚意出售,常绿·九天庄园 -新华区,4室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 3个月以前发布,105,"8,077元/平"
金玉花园 三室两厅两卫交通便利小区环境干净舒适居住,金玉花园 -新华区,3室2厅 | 131平米 | 东 | 毛坯 | 低楼层(共18层)  | 暂无数据,3人关注 / 一年前发布,75,"5,726元/平"
林溪天悦洋房让你住的更舒适，人车分流，安全到家！,常绿林溪天悦 -新华区,3室2厅 | 127平米 | 东 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,120,"9,449元/平"
现房，改善居住环境就来常绿林溪天悦低密度高品质生活,常绿林溪天悦 -新华区,3室2厅 | 126平米 | 东 | 毛坯 | 高楼层(共7层)  | 暂无数据,0人关注 / 7个月以前发布,126,"10,000元/平"
建业开发，必出精品，人车分流，绿化面大，是你理想家,建业十八城 -新华区,3室2厅 | 135.3平米 | 东 | 毛坯 | 高楼层(共33层)  | 暂无数据,1人关注 / 7个月以前发布,86,"6,357元/平"
蓝湾翠园中间座落，不临街，观湖景现房大平层带车位售,蓝湾翠园 -新华区,4室2厅 | 191平米 | 西 | 毛坯 | 高楼层(共30层)  | 暂无数据,1人关注 / 7个月以前发布,159,"8,325元/平"
恒大名都105平精装3室2厅1卫，有证满二 可贷款,平顶山恒大名都 -湛河区,3室2厅 | 105平米 | 东南 | 精装 | 高楼层(共33层)  | 暂无数据,1人关注 / 7个月以前发布,72.8,"6,934元/平"
18层的小高层  一梯2户，公摊少 居住舒服,大乘领仕馆 -湛河区,3室2厅 | 118.52平米 | 西南 西 | 毛坯 | 低楼层(共18层)  | 板楼,4人关注 / 一年前发布,63,"5,316元/平"
领创大地城前排 125平有证有暖可贷款 南北双阳台.,领创大地城 -湛河区,3室2厅 | 125平米 | 东 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 8个月以前发布,96,"7,680元/平"
业主心态业主换房急售，产权清晰安全，可以贷款,领创大地城 -湛河区,3室2厅 | 125平米 | 南 | 毛坯 | 高楼层(共34层)  | 暂无数据,0人关注 / 3个月以前发布,96,"7,680元/平"
蓝湾新城3室两厅两卫毛坯房看房方便,蓝湾新城 -新华区,3室2厅 | 136平米 | 南 | 毛坯 | 中楼层(共29层)  | 塔楼,2人关注 / 一年前发布,90,"6,618元/平"
新城大厦旁；阳光景湖 一梯两户小高层  5500每平有证,阳光景湖小区 -新华区,3室2厅 | 157平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,4人关注 / 4个月以前发布,80,"5,096元/平"
一线湖景房，中梁壹号院毛坯3房，南北格局,中梁壹号院 -新华区,3室2厅 | 127平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 暂无数据,1人关注 / 10个月以前发布,85,"6,693元/平"
过个马路到湖边，新装修130平大三房，南北通透，地暖,逸居印象 -新华区,3室2厅 | 130平米 | 南 北 | 精装 | 低楼层(共29层)  | 暂无数据,2人关注 / 一年前发布,98,"7,539元/平"
什么叫真正特价房，看看这套你会明白！忍痛急售,金玉花园 -新华区,3室2厅 | 140平米 | 东 | 毛坯 | 中楼层(共17层)  | 暂无数据,11人关注 / 一年前发布,76,"5,429元/平"
住洋房户更舒适，户型通透双阳台，环境优美观景园,中梁壹号院 -新华区,4室2厅 | 129平米 | 东 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,100,"7,752元/平"
矿工路豆腐王大酒店隔壁阳光小区138平三室两厅一卫,阳光小区(阳光路) -卫东区,3室2厅 | 138平米 | 东 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,60,"4,348元/平"
西湖印象高品质小区，人车分流，装修50万带车位诚售,西湖印象花园 -新华区,3室2厅 | 138平米 | 西南 | 精装 | 中楼层(共16层)  | 暂无数据,3人关注 / 一年前发布,198,"14,348元/平"
银基誉府三期 六号楼 东南户 中间楼层 有钥匙随时可看,银基誉府名铸 -湛河区,3室1厅 | 99.53平米 | 东南 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,77,"7,737元/平"
大悦城前排三室的，毛坯房楼层好，南北通风。,常绿·大阅城 -新华区,3室2厅 | 113平米 | 东南 | 毛坯 | 中楼层(共18层)  | 塔楼,4人关注 / 11个月以前发布,71,"6,284元/平"
春华国际 前排观景房  户型方正 可贷款,春华国际茗都 -湛河区,3室2厅 | 130平米 | 西 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 6个月以前发布,88,"6,770元/平"
南苑小区两室一厅一厨一卫 交通便利 小区干净舒适,大乘领仕馆 -湛河区,3室2厅 | 125平米 | 西 | 毛坯 | 高楼层(共18层)  | 暂无数据,1人关注 / 8个月以前发布,58,"4,640元/平"
优诗美地小区 三室两厅两卫 交通电力小区环境干净舒,优诗美地花园 -湛河区,3室2厅 | 148.58平米 | 东 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,85,"5,721元/平"
（市政成熟地段） （地暖）只要77万，有证，君临天下,君临天下 -新华区,3室2厅 | 121平米 | 东南 | 精装 | 低楼层(共24层)  | 平房,5人关注 / 一年前发布,77,"6,364元/平"
包更名凤凰花园公务员小区187平大平层带双储藏 带车位,凤凰花园A02秋实苑 -新华区,4室2厅 | 186.83平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板塔结合,0人关注 / 7个月以前发布,142,"7,601元/平"
龙腾国际，95万，精装空房，东南户，双阳台,龙腾国际 -湛河区,3室2厅 | 148平米 | 东南 | 精装 | 低楼层(共33层)  | 板楼,3人关注 / 一年前发布,92,"6,217元/平"
江南世家二楼户型好有暖气诚意卖房,江南世家 -湛河区,3室2厅 | 143平米 | 东 东南 | 简装 | 低楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,79,"5,525元/平"
全湖景房，有密码随时看房，诚意出售,建业十八城 -新华区,3室2厅 | 134平米 | 西 | 毛坯 | 高楼层(共33层)  | 暂无数据,1人关注 / 一年前发布,85,"6,344元/平"
观湖大三室，满五唯一，随时过户,湖光·凤舞园 -新华区,3室2厅 | 139平米 | 东 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,92,"6,619元/平"
出行方便，户型方正。全款可更名。,金玉花园 -新华区,4室2厅 | 160平米 | 东 | 毛坯 | 中楼层(共17层)  | 暂无数据,3人关注 / 一年前发布,92,"5,750元/平"
精装四室两厅两卫拎包入住，实地看房效果更好,常绿·大阅城 -新华区,4室2厅 | 122平米 | 东 | 精装 | 高楼层(共24层)  | 暂无数据,0人关注 / 3个月以前发布,85,"6,968元/平"
林溪美境 3室2厅 西南,林溪美境 -新华区,3室2厅 | 108平米 | 西南 | 毛坯 | 中楼层(共33层)  | 板塔结合,2人关注 / 6个月以前发布,70,"6,482元/平"
金玉花园毛坯140平的三室两厅两卫，全款更名！全款,金玉花园 -新华区,3室2厅 | 140平米 | 西南 | 毛坯 | 低楼层(共31层)  | 暂无数据,4人关注 / 一年前发布,68,"4,858元/平"
荣邦花园二期房子114平三室两厅一卫 好楼层 有高税,荣邦花园二期 -卫东区,3室2厅 | 114平米 | 西 | 毛坯 | 高楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,85,"7,457元/平"
平安景苑122平3室2厅2卫毛坯户型方正采光好有证可贷款,平安景苑 -湛河区,3室2厅 | 122平米 | 东 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 2个月以前发布,57,"4,673元/平"
